Genre,original_index,unique_index
"Adventure,Family,Fantasy",142,85
"Animation,Adventure,Comedy",143,19
"Animation,Adventure,Drama",144,88
"Animation,Family,Fantasy",145,89
"Animation,Adventure,Family",146,90
"Animation,Adventure,Comedy",147,19
"Animation,Adventure,Family",148,90
"Animation,Adventure,Comedy",149,19
"Animation,Adventure,Comedy",150,19
"Animation,Comedy,Family",151,18
"Animation,Adventure,Comedy",152,19
"Animation,Comedy,Family",153,18
"Animation,Action,Adventure",154,84
"Crime,Drama,Musical",155,91
"Comedy,Drama,Romance",156,64
"Comedy,Romance",157,9
"Comedy,Romance,Sport",158,92
"Comedy,Crime,Drama",159,93
"Romance,Sports & Fitness,Science Fiction & Fantasy,Comedy",160,94
Drama,161,32
"Biography,Crime,Drama",162,95
"Crime,Drama,Mystery",163,33
Comedy,164,55
"Comedy,Drama,Fantasy",165,41
Comedy,166,55
"Drama,Musical,Romance",167,96
"Drama,Musical & Performing Arts,Classics,Comedy",168,97
"Drama,Western",169,98
"Adventure,History,Western",170,99
"Action,Adventure",171,100
"Drama,Romance,War",172,101
"Drama,War",173,66
"Western,Classics",174,102
"Drama,Western",175,98
Western,176,103
"Comedy,Western",177,104
"Adventure,Comedy,Romance",178,105
"Action,Adventure,Drama",179,63
"Adventure,Drama,History",180,59
"Drama,Romance",181,34
"Comedy,Drama,Romance",182,64
"Science Fiction & Fantasy,Kids & Family",183,106
"Adventure,Comedy,Drama",184,62
Drama,185,32
"Comedy,Music,Romance",186,107
"Comedy,Drama",187,10
Drama,188,32
"Drama,Romance",189,34
"Action,Crime,Thriller",190,72
"Crime,Drama,Thriller",191,73
"Animation,Comedy",192,108
Comedy,193,55
"Comedy,Drama,Romance",194,64
"Action,Comedy,Crime",195,109
"Comedy,Crime,Drama",196,93
"Comedy,Drama,Romance",197,64
"Action,Comedy,Crime",198,109
"Crime,Drama,Thriller",199,73
"Drama,Romance,Sport",200,110
"Adventure,Drama,Romance",201,111
"Comedy,Horror",202,48
"Crime,Drama,Thriller",203,73
"Drama,Romance",204,34
"Comedy,Drama,Romance",205,64
"Crime,Romance,Thriller",206,112
"Action,Crime,Drama",207,24
"Crime,Drama,Mystery",208,33
"Crime,Thriller,Drama",209,113
"Action,Crime,Drama",210,24
"Adventure,Comedy",211,114
"Action,Crime,Drama",212,24
"Action,Crime,Drama",213,24
"Action,Thriller",214,12
"Crime,Drama,Mystery",215,33
"Drama,Thriller",216,20
"Comedy,Romance",217,9
Western,218,103
"Action,Crime,Drama",219,24
Drama,220,32
"Crime,Mystery",221,115
"Comedy,Drama",222,10
Drama,223,32
"Action,Adventure,Drama",224,63
"Drama,Sport",225,116
"Thriller,War,Action",226,117
"Drama,Classics",227,118
"Comedy,Western",228,104
"Adventure,Western",229,119
Western,230,103
"Romance,War,Western",231,120
Drama,232,32
"Biography,Drama",233,43
"Drama,Horror,Thriller",234,121
Drama,235,32
Drama,236,32
"Comedy,Drama",237,10
"Action,Adventure,Sci-Fi",238,82
Drama,239,32
"Comedy,Drama",240,10
"Crime,Drama,Thriller",241,73
"Comedy,Romance",242,9
"Crime,Thriller",243,122
"Drama,Sci-Fi,Thriller",244,123
"Comedy,Crime,Romance",245,124
"Action,Adventure,Comedy",246,125
"Adventure,Biography,Drama",247,126
Drama,248,32
Comedy,249,55
"Crime,Drama,Thriller",250,73
"Drama,Musical,Romance",251,96
"Adventure,Crime",252,127
"Action,Adventure",253,100
"Action,Sci-Fi",254,76
Sci-Fi,255,128
"Action,Mystery,Thriller",256,129
"Action,Thriller,War",257,130
"Action,Thriller",258,12
"Crime,Drama,Thriller",259,73
"Drama,Romance",260,34
Documentary,261,11
"Drama,Romance",262,34
"Drama,History,Thriller",263,131
"Fantasy,Horror,Sci-Fi",264,132
"Comedy,Crime,Fantasy",265,133
Family,266,134
"Drama,Musical,Romance",267,96
"Adventure,Horror,Sci-Fi",268,135
Comedy,269,55
"Adventure,Drama",270,136
"Adventure,Romance",271,137
"Adventure,Drama,History",272,59
"Comedy,Horror",273,48
"Comedy,Crime,Drama",274,93
,275,138
"Action,Adventure,Romance",276,139
"Horror,Thriller",277,46
"Drama,Thriller",278,20
"Drama,Romance",279,34
"Biography,Drama,History",280,140
Drama,281,32
"Drama,Thriller",282,20
"Comedy,Drama",283,10
"Drama,Music,Musical",284,141
"Comedy,Romance",285,9
"Drama,Romance",286,34
"Comedy,Crime,Drama",287,93
"Adventure,Drama",288,136
"Action,Drama,Thriller",289,142
"Action,Crime,Fantasy",290,143
"Animation,Action,Adventure",291,84
"Action,Adventure",292,100
"Comedy,Drama",293,10
Thriller,294,5
"Crime,Thriller",295,122
"Drama,Mystery,Thriller",296,13
"Action,Adventure,Drama",297,63
"Drama,Romance",298,34
"Comedy,Romance",299,9
"Comedy,Romance",300,9
"Comedy,Romance",301,9
"Comedy,Fantasy,Romance",302,144
"Comedy,Romance",303,9
"Comedy,Drama,Romance",304,64
Comedy,305,55
"Comedy,Musical,Romance",306,28
"Action,Adventure,Thriller",307,22
"Action,Crime,Thriller",308,72
"Action,Adventure,Sci-Fi",309,82
"Action,Adventure,Sci-Fi",310,82
"Drama,Action & Adventure,Science Fiction & Fantasy",311,145
"Action,Adventure,Sci-Fi",312,82
"Action,Adventure,Fantasy",313,15
"Action,Adventure,Sci-Fi",314,82
Drama,315,32
"Horror,Sci-Fi",316,146
"Comedy,Drama,Romance",317,64
Horror,318,49
Horror,319,49
"Horror,Thriller",320,46
"Horror,Thriller",321,46
"Horror,Mystery,Thriller",322,0
"Drama,Romance,Thriller",323,14
"Drama,Romance",324,34
"Comedy,Crime,Thriller",325,147
"Comedy,Fantasy",326,148
"Adventure,Drama",327,136
"Documentary,History",328,149
"Action,Drama",329,150
"Adventure,Fantasy,Romance",330,151
"Adventure,Crime,Drama",331,152
"Crime,Drama,Romance",332,65
"Drama,Thriller",333,20
"Drama,Romance",334,34
"Action,Crime,Thriller",335,72
"Comedy,Crime",336,153
Drama,337,32
"Action,Adventure,Drama",338,63
Documentary,339,11
"Comedy,Fantasy,Horror",340,154
"Fantasy,Horror,Mystery",341,155
"Horror,Mystery",342,79
"Horror,Sci-Fi",343,146
"Drama,Sci-Fi",344,77
"Documentary,Crime",345,156
"Action,Crime,Drama",346,24
"Action,Drama,Thriller",347,142
"Crime,Drama,Thriller",348,73
"Crime,Drama",349,21
Drama,350,32
"Drama,Thriller",351,20
"Romance,Sci-Fi,Thriller",352,157
"Comedy,Crime,Drama",353,93
"Drama,Sci-Fi,Thriller",354,123
"Drama,Fantasy",355,158
"Biography,Drama,History",356,140
"Mystery,Thriller",357,159
Comedy,358,55
"Drama,Horror,Romance",359,160
"Horror,Mystery,Thriller",360,0
"Mystery,Thriller",361,159
Drama,362,32
Comedy,363,55
"Drama,Romance,War",364,101
Drama,365,32
"Drama,Romance",366,34
"Drama,Romance",367,34
"Comedy,Musical,Romance",368,28
"Drama,Romance",369,34
"Drama,Romance",370,34
"Drama,Romance",371,34
Comedy,372,55
Drama,373,32
Drama,374,32
"Crime,Drama,Thriller",375,73
"Drama,Romance",376,34
"Drama,Romance",377,34
"Drama,Fantasy,Horror",378,161
"Horror,Mystery,Thriller",379,0
Drama,380,32
"Crime,Drama,Mystery",381,33
"Horror,Mystery",382,79
Documentary,383,11
Drama,384,32
"Adventure,Drama,History",385,59
"Crime,Drama,Thriller",386,73
"Action,Crime,Drama",387,24
Drama,388,32
"Crime,Horror",389,162
"Crime,Drama",390,21
"Drama,Horror,Thriller",391,121
"Drama,Romance",392,34
Documentary,393,11
"Comedy,Drama,Romance",394,64
"Comedy,Romance",395,9
Comedy,396,55
"Comedy,Drama,Romance",397,64
Comedy,398,55
"Drama,Romance",399,34
Comedy,400,55
"Comedy,Fantasy,Romance",401,144
"Action,Adventure,Comedy",402,125
Comedy,403,55
"Comedy,Fantasy,Romance",404,144
Comedy,405,55
"Comedy,Romance",406,9
Comedy,407,55
"Adventure,Comedy,Horror",408,163
"Adventure,Comedy,Sci-Fi",409,164
"Action,Comedy",410,165
"Action,Comedy,Crime",411,109
Comedy,412,55
"Comedy,Sport",413,166
"Comedy,Romance",414,9
"Comedy,Fantasy",415,148
"Biography,Comedy,Drama",416,29
"Crime,Thriller",417,122
"Horror,Mystery,Thriller",418,0
Comedy,419,55
"Comedy,Drama",420,10
"Action,Comedy,Sci-Fi",421,167
"Action,Fantasy,Horror",422,168
"Action,Adventure,Sci-Fi",423,82
"Action,Sci-Fi,Thriller",424,169
"Action,Adventure,Sci-Fi",425,82
"Drama,Action & Adventure,Romance,Mystery & Suspense",426,170
"Crime,Drama,Thriller",427,73
"Crime,Drama,Romance",428,65
"Action,Adventure,Crime",429,171
"Action,Comedy,Sci-Fi",430,167
"Horror,Sci-Fi",431,146
"Sci-Fi,Horror",432,172
"Drama,Horror,Romance",433,160
"Adventure,Romance,Sci-Fi",434,173
Horror,435,49
"Comedy,Fantasy",436,148
Drama,437,32
Documentary,438,11
Western,439,103
Western,440,103
"Comedy,Western",441,104
Comedy,442,55
"Biography,Drama,History",443,140
"Musical,Romance",444,174
Drama,445,32
"Crime,Drama,Film-Noir",446,54
"Comedy,Drama,Musical",447,175
"Comedy,Musical,Romance",448,28
Musical,449,176
"Comedy,Musical,Romance",450,28
Comedy,451,55
"Drama,Western",452,98
"Drama,Romance",453,34
"Comedy,Romance",454,9
"Comedy,Romance",455,9
"Adventure,Comedy",456,114
Drama,457,32
"Comedy,Family,Drama",458,177
"Biography,Drama,History",459,140
Drama,460,32
"Biography,Drama,Romance",461,178
"Drama,Family,Romance",462,179
"Family,Drama,Comedy",463,180
"Drama,Family,Musical",464,181
Drama,465,32
"Drama,Mystery,Thriller",466,13
"Drama,Family",467,182
"Horror,Sci-Fi",468,146
"Comedy,Fantasy,Horror",469,154
"Comedy,Horror",470,48
Documentary,471,11
"Comedy,Drama",472,10
Comedy,473,55
"Comedy,Horror",474,48
Horror,475,49
"Comedy,Horror",476,48
"Comedy,Horror",477,48
"Comedy,Horror",478,48
Horror,479,49
Horror,480,49
"Drama,Romance",481,34
"Action,Crime,Thriller",482,72
Drama,483,32
"Crime,Drama,Mystery",484,33
"Comedy,Drama,Fantasy",485,41
"Thriller,War",486,183
Thriller,487,5
Documentary,488,11
"Drama,Mystery,Thriller",489,13
"Mystery,Sci-Fi,Thriller",490,184
"Adventure,Comedy",491,114
"Drama,Mystery,Romance",492,69
"Comedy,Drama,Romance",493,64
"Comedy,Drama,Music",494,185
"Mystery & Suspense,Drama",495,186
"Family,Western",496,187
"Action,Drama",497,150
"Action,Thriller",498,12
"Action,War",499,188
"Drama,Romance",500,34
Documentary,501,11
"Horror,Mystery",502,79
"Adventure,Mystery,Thriller",503,61
"Action,Horror,Sci-Fi",504,189
"Horror,Thriller",505,46
"Drama,Family",506,182
"Action,Adventure,Mystery",507,190
"Crime,Drama,Thriller",508,73
"Crime,Drama,Sci-Fi",509,191
"Adventure,Fantasy",510,86
"Drama,War",511,66
"Horror,Sci-Fi,Thriller",512,192
"Crime,Drama",513,21
Horror,514,49
"Comedy,Drama,Fantasy",515,41
"Comedy,Horror,Thriller",516,7
Horror,517,49
"Adventure,Horror,Action",518,193
"Drama,Action & Adventure",519,194
"Biography,Drama,Family",520,195
"Drama,Romance",521,34
"Drama,Sport",522,116
Drama,523,32
"Biography,Drama,History",524,140
Drama,525,32
"Comedy,Crime,Romance",526,124
"Documentary,Biography,Comedy",527,196
"Crime,Thriller",528,122
"Family,Sci-Fi",529,197
"Drama,Thriller",530,20
"Action,Adventure,Comedy",531,125
"Horror,Mystery",532,79
"Action,Horror",533,23
"Action,Drama",534,150
"Comedy,Drama,Romance",535,64
"Comedy,Drama,Sport",536,198
"Drama,Mystery & Suspense,Comedy",537,199
"Crime,Drama",538,21
"Animation,Adventure,Comedy",539,19
"Animation,Adventure,Comedy",540,19
"Crime,Drama,History",541,200
"Action,Western,Adventure",542,201
"Action,Adventure,Drama",543,63
"Comedy,Drama",544,10
"Comedy,Drama",545,10
"Comedy,Drama,Romance",546,64
"Drama,Romance,Thriller",547,14
"Comedy,Drama,Romance",548,64
Horror,549,49
"Horror,Thriller",550,46
"Romance,Western",551,202
"Adventure,War,Western",552,203
Drama,553,32
Drama,554,32
Western,555,103
"Adventure,Comedy,Family",556,204
"Comedy,Drama,Family",557,205
"Action,Adventure,Comedy",558,125
"Comedy,Drama,Family",559,205
"Adventure,Comedy,Family",560,204
"Documentary,Music",561,206
"Documentary,Music",562,206
"Biography,Drama,Music",563,207
"Comedy,Drama",564,10
Action,565,50
"Drama,Romance",566,34
Comedy,567,55
"Action,Drama,Music",568,208
"Drama,Romance",569,34
"Drama,Romance",570,34
"Comedy,Romance",571,9
"Comedy,Drama,Romance",572,64
"Action,Adventure,Fantasy",573,15
"Action,Sci-Fi",574,76
"Crime,Drama,Thriller",575,73
Horror,576,49
"Action,Crime,Drama",577,24
"Comedy,Crime,Thriller",578,147
"Action,Thriller",579,12
Comedy,580,55
"Action,Crime,Mystery",581,209
"Action,Comedy,Crime",582,109
"Comedy,Crime,Mystery",583,210
"Crime,Drama,Thriller",584,73
"Drama,Mystery,Thriller",585,13
"Comedy,Drama,Fantasy",586,41
"Crime,Drama",587,21
"Crime,Drama",588,21
"Comedy,Drama",589,10
"Crime,Drama,Thriller",590,73
Drama,591,32
"Comedy,Romance",592,9
"Comedy,Western",593,104
"Action,Adventure,Western",594,211
"Action,Crime,Mystery",595,209
"Biography,Crime,Drama",596,95
Drama,597,32
"Crime,Drama,Mystery",598,33
"Mystery,Sci-Fi,Thriller",599,184
"Comedy,Sci-Fi",600,212
"Drama,Fantasy,Horror",601,161
"Horror,Sci-Fi",602,146
"Adventure,Fantasy,Sci-Fi",603,213
Western,604,103
Western,605,103
"Romance,Western",606,202
"Comedy,War",607,214
Drama,608,32
"Crime,Drama,Romance",609,65
"Comedy,Musical,Romance",610,28
Comedy,611,55
Documentary,612,11
"Comedy,Crime,Romance",613,124
"Drama,Comedy",614,215
"Horror,Documentary",615,216
"Sci-Fi,Horror",616,172
Drama,617,32
"Comedy,Musical,Fantasy",618,217
"Comedy,Horror,Thriller",619,7
Comedy,620,55
"Drama,Romance",621,34
"Crime,Drama,Thriller",622,73
"Mystery,Romance,Thriller",623,218
"Action,Crime,Drama",624,24
Drama,625,32
Drama,626,32
"Drama,Mystery,Romance",627,69
"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",628,219
"Animation,Adventure,Comedy",629,19
"Documentary,Biography",630,3
"Action,Adventure,Fantasy",631,15
Documentary,632,11
Documentary,633,11
"Comedy,Crime,Drama",634,93
"Musical,Romance,Western",635,220
"Comedy,Drama,Romance",636,64
"Crime,Drama,Film-Noir",637,54
Documentary,638,11
Documentary,639,11
Drama,640,32
Drama,641,32
"Drama,Film-Noir",642,221
"Comedy,Drama",643,10
"Horror,Thriller",644,46
"Horror,Thriller",645,46
Documentary,646,11
"Adventure,Comedy,Family",647,204
"Adventure,Comedy,Family",648,204
"Animation,Adventure,Comedy",649,19
"Adventure,Biography,Drama",650,126
Horror,651,49
"Horror,Sci-Fi",652,146
"Drama,Mystery,Thriller",653,13
Documentary,654,11
Documentary,655,11
"Horror,Mystery,Thriller",656,0
"Documentary,Comedy",657,4
"Animation,Family,Fantasy",658,89
Drama,659,32
"Crime,Drama,Thriller",660,73
"Comedy,Romance",661,9
"Comedy,Drama",662,10
"Action,Adventure,Romance",663,139
Documentary,664,11
"Documentary,Biography,Fantasy",665,222
"Comedy,Crime",666,153
"Action,Adventure,Comedy",667,125
"Comedy,Crime,Horror",668,223
"Drama,Fantasy,Horror",669,161
"Biography,Drama",670,43
"Action,Crime,Thriller",671,72
Comedy,672,55
"Drama,Western",673,98
Western,674,103
Comedy,675,55
Drama,676,32
"Drama,Romance",677,34
"Comedy,Crime,Fantasy",678,133
Documentary,679,11
Documentary,680,11
Documentary,681,11
Drama,682,32
"Action,Adventure,Crime",683,171
"Action,Adventure,Drama",684,63
"Drama,Thriller,Western",685,224
"Documentary,Crime,Drama",686,225
Documentary,687,11
"Documentary,Biography",688,3
Horror,689,49
Documentary,690,11
"Action,Crime,Drama",691,24
Documentary,692,11
"Action,Adventure,Biography",693,226
"Action,Adventure,Drama",694,63
Drama,695,32
"Crime,Drama,Thriller",696,73
"Crime,Drama,Thriller",697,73
"Adventure,Sci-Fi,Thriller",698,227
"Action,Adventure",699,100
"Drama,Action & Adventure,Romance,Comedy",700,228
"Comedy,Romance",701,9
"Action,Adventure,Sci-Fi",702,82
"Documentary,Biography,Comedy",703,196
"Action,Sci-Fi",704,76
"Action,Sci-Fi",705,76
"Adventure,Fantasy",706,86
Documentary,707,11
Documentary,708,11
"Comedy,Horror",709,48
"Comedy,Horror",710,48
"Biography,Drama,History",711,140
Horror,712,49
"Drama,Thriller",713,20
"Mystery,Thriller",714,159
"Crime,Drama,Romance",715,65
"Crime,Sci-Fi,Thriller",716,229
"Documentary,Drama,Mystery",717,230
"Action,Thriller",718,12
"Comedy,Crime,Drama",719,93
"Documentary,Action,History",720,231
"Comedy,Horror,Sci-Fi",721,80
"Comedy,Drama",722,10
Drama,723,32
"Comedy,Drama,Romance",724,64
"Comedy,Drama,Romance",725,64
Comedy,726,55
Comedy,727,55
"Comedy,Crime",728,153
"Comedy,Drama,Thriller",729,232
"Biography,Drama",730,43
"Crime,Drama,Thriller",731,73
Drama,732,32
"Action,Adventure,Fantasy",733,15
"Mystery,Sci-Fi,Thriller",734,184
"Mystery,Thriller",735,159
"Horror,Sci-Fi",736,146
"Action,Drama,Horror",737,1
"Fantasy,Horror,Sci-Fi",738,132
"Action,Mystery,Romance",739,233
"Adventure,Crime,Drama",740,152
Western,741,103
"Romance,Western",742,202
"Biography,Drama,History",743,140
Western,744,103
"Comedy,Short",745,234
Comedy,746,55
Comedy,747,55
"Documentary,Comedy,Horror",748,235
"Comedy,Horror",749,48
"Fantasy,Horror,Sci-Fi",750,132
"Comedy,Horror,Thriller",751,7
Horror,752,49
Horror,753,49
"Drama,Music,Musical",754,141
"Crime,Drama,Fantasy",755,236
"Documentary,Crime",756,156
Drama,757,32
"Horror,Mystery,Thriller",758,0
"Comedy,Drama",759,10
"Comedy,Horror,Mystery",760,237
"Comedy,Romance",761,9
"Action,Adventure,Drama",762,63
Drama,763,32
"Comedy,Drama,Romance",764,64
Drama,765,32
"Action & Adventure,Comedy",766,47
Sci-Fi,767,128
"Drama,Horror,Sci-Fi",768,238
Western,769,103
Western,770,103
Drama,771,32
"Action,Comedy,Crime",772,109
"Comedy,Drama",773,10
"Comedy,Romance",774,9
"Drama,Music,Mystery",775,239
Drama,776,32
"Action,Adventure,Fantasy",777,15
"Adventure,Comedy,Sci-Fi",778,164
"Action,Crime,Drama",779,24
Comedy,780,55
"Horror,Romance,Sci-Fi",781,240
"Action,Adventure,Family",782,241
Drama,783,32
Drama,784,32
"Adventure,Comedy,Sci-Fi",785,164
"Animation,Comedy,Family",786,18
"Comedy,Family,Sci-Fi",787,74
"Documentary,Biography,Family",788,242
Comedy,789,55
"Animation,Adventure,Family",790,90
"Comedy,Drama,Family",791,205
"Comedy,Crime,Family",792,243
"Adventure,Family,Fantasy",793,85
Family,794,134
"Animation,Comedy,Family",795,18
"Comedy,Romance",796,9
"Comedy,Drama",797,10
"Adventure,Comedy,Family",798,204
"Comedy,Family,Romance",799,244
"Comedy,Drama,Romance",800,64
"Comedy,Family,Sport",801,245
"Comedy,Family",802,246
"Documentary,Drama,Family",803,247
"Documentary,Biography,Drama",804,248
"Documentary,Biography,Family",805,242
"Documentary,Biography,Family",806,242
"Comedy,Crime,Romance",807,124
"Animation,Adventure,Comedy",808,19
"Documentary,Biography,Family",809,242
"Documentary,Biography,Family",810,242
"Animation,Adventure,Comedy",811,19
"Animation,Adventure,Comedy",812,19
"Animation,Comedy,Family",813,18
"Animation,Adventure,Comedy",814,19
"Animation,Adventure,Comedy",815,19
"Animation,Comedy,Family",816,18
"Comedy,Drama,Romance",817,64
"Animation,Family,Comedy",818,249
"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy",819,250
"Animation,Adventure,Comedy",820,19
"Animation,Action,Adventure",821,84
"Action,Adventure,Sci-Fi",822,82
"Animation,Adventure,Comedy",823,19
"Animation,Adventure,Comedy",824,19
"Animation,Adventure,Comedy",825,19
"Animation,Adventure,Family",826,90
"Animation,Adventure,Comedy",827,19
"Animation,Adventure,Comedy",828,19
"Animation,Action,Comedy",829,251
"Drama,Family,Fantasy",830,252
"Drama,Sport",831,116
"Comedy,Drama,Family",832,205
"Comedy,Family",833,246
"Adventure,Comedy,Family",834,204
"Animation,Adventure,Comedy",835,19
Comedy,836,55
"Animation,Family,Fantasy",837,89
"Comedy,Crime,Drama",838,93
"Adventure,Family,Fantasy",839,85
"Comedy,Family,Fantasy",840,253
"Action,Adventure,Family",841,241
"Documentary,Biography,Family",842,242
"Animation,Comedy,Family",843,18
"Animation,Comedy,Family",844,18
"Animation,Adventure,Comedy",845,19
"Animation,Adventure,Comedy",846,19
Comedy,847,55
"Animation,Comedy,Fantasy",848,254
"Comedy,Family,Sci-Fi",849,74
"Comedy,Fantasy",850,148
"Family,Comedy",851,255
"Animation,Adventure,Drama",852,88
"Comedy,Family,Music",853,256
"Action,Adventure,Comedy",854,125
"Animation,Adventure,Comedy",855,19
"Comedy,Drama,Music",856,185
"Drama,Kids & Family",857,257
"Documentary,Drama,Family",858,247
"Documentary,Drama,Family",859,247
"Documentary,Biography,Family",860,242
"Documentary,Biography,Family",861,242
"Comedy,Drama,Fantasy",862,41
"Documentary,Family",863,258
"Documentary,Adventure,Family",864,259
"Documentary,Drama,Family",865,247
"Documentary,Drama,Family",866,247
"Documentary,History,Music",867,260
"Animation,Adventure,Comedy",868,19
"Animation,Action,Adventure",869,84
Comedy,870,55
"Animation,Comedy,Drama",871,261
"Animation,Comedy,Family",872,18
"Animation,Adventure,Comedy",873,19
"Animation,Action,Adventure",874,84
"Adventure,Family,Fantasy",875,85
"Drama,Family",876,182
"Animation,Adventure,Comedy",877,19
"Drama,Family,Thriller",878,262
"Adventure,Family",879,263
Comedy,880,55
"Animation,Action,Adventure",881,84
"Animation,Adventure,Comedy",882,19
"Animation,Action,Adventure",883,84
"Animation,Adventure,Comedy",884,19
"Animation,Romance",885,264
"Animation,Adventure,Comedy",886,19
"Animation,Comedy,Family",887,18
"Animation,Adventure,Comedy",888,19
"Animation,Adventure,Comedy",889,19
"Action,Adventure,Horror",890,265
"Animation,Adventure,Comedy",891,19
"Animation,Adventure,Comedy",892,19
"Animation,Adventure,Comedy",893,19
"Animation,Adventure,Comedy",894,19
"Animation,Adventure,Comedy",895,19
"Animation,Action,Adventure",896,84
"Adventure,Comedy,Sci-Fi",897,164
"Animation,Adventure,Comedy",898,19
"Animation,Action,Adventure",899,84
"Animation,Adventure,Comedy",900,19
"Animation,Adventure,Family",901,90
"Action,Adventure,Drama",902,63
"Animation,Adventure,Comedy",903,19
"Comedy,Drama,War",904,266
"Animation,Action,Adventure",905,84
"Animation,Action,Adventure",906,84
"Animation,Adventure,Comedy",907,19
"Animation,Adventure,Comedy",908,19
"Animation,Action,Adventure",909,84
"Animation,Adventure,Comedy",910,19
"Animation,Adventure,Comedy",911,19
"Action & Adventure,Science Fiction & Fantasy",912,267
"Action,Adventure,Sci-Fi",913,82
"Action,Adventure,Fantasy",914,15
"Action,Sci-Fi,Thriller",915,169
"Action,Adventure,Fantasy",916,15
