Name,Description,original_index,unique_index
Old Acquaintance,"Old friends Kit Marlowe and Millie Drake adopt contrasting lifestyles: Kit is a single, critically acclaimed author while married Millie writes popular pulp novels.",70,70
Junior,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",71,71
Where Love Has Gone,A divorced couple's teen-age daughter stands trial for stabbing her mother's latest lover.,72,72
Three Who Loved,John Hanson (Conrad Nagel) is a bank teller and invests in stocks. He and his best friend (another bank teller) Phil Wilson (Robert Ames) live at a boarding house run by his Swedish ...,73,73
The Unknown Man,"Prominent attorney Brad Mason takes on the defense of Rudi Walchek, a young hit-man hoodlum accused of murder. Convinced of the youthful thug's innocence, Mason get him acquitted. Later, he...",74,74
The Roadhouse Murder,"To gain fame, a reporter arranges to be suspected of murder.",75,75
Meet the Baron,"The famous Baron Munchausen dumps two dimwits in the African jungle. A rescue team mistakes one of them for the missing Baron, and returns them to the US, where they're greeted as heroes. ...",76,76
Buck Privates,"Bud and Lou enlist in the army in order to escape being hauled off to jail, and soon find themselves in boot camp. To their dismay, the company's drill instructor is none other than the cop...",77,77
Here Come the Co-eds,Lou and Bud become caretakers at an all girls college. During their misadventures the duo raise money to free the school from its traditionally minded landlord.,78,78
Abbott and Costello Meet the Keystone Kops,"Harry and Willie buy the Edison Movie Studio in the year 1912 from Joseph Gorman, a confidence man. They follow Gorman to Hollywood where, as stunt men, they find him directing movies as Sergei Trumanoff and stealing the studio payroll.",79,79
Uncle Tom's Cabin,Slavery tears apart a black family in the South before the start of the Civil War.,80,80
Kings of the Sun,"On the coast of the Gulf of Mexico, the Native American tribe of chief Black Eagle clashes with the Mayan tribe of king Balam.",81,81
Flight from Ashiya,A helicopter rescue team tries to save the survivors of a shipwreck off the coast of Japan during a raging typhoon.,82,82
Sphinx,"Egyptologist Erica Baron finds more than she bargained for during her long-planned trip to The Land of the Pharoahs - murder, theft, betrayal, love, and a mummy's curse!",83,83
The Bostonians,A Boston feminist and a conservative Southern lawyer contend for the heart and mind of a beautiful and bright girl unsure of her future.,84,84
Absence of Malice,"When a prosecutor leaks a false story that a liquor warehouse owner is involved in the murder of an union head, the man's life begins to unravel.",85,85
Hud,"Hud Bannon is a ruthless young man who tarnishes everything and everyone he touches. Hud represents the perfect embodiment of alienated youth, out for kicks with no regard for the ...",86,86
Sullivan's Travels,A director of escapist films goes on the road as a hobo to learn about Life...which gives him a rude awakening.,87,87
North West Mounted Police,"Texas Ranger Dusty Rivers ('Isn't that a contradiction in terms?', another character asks him) travels to Canada in the 1880s in search of Jacques Corbeau, who is wanted for murder. He ...",88,88
Virginia City,Union officer Kerry Bradford escapes from Confederate Prison and is set to Virginia City in Nevada. Once there he finds that the former commander of his prison Vance Irby is planning to send $5 million in gold to save the Confederacy.,89,89
Stanley and Livingstone,"When American newspaperman and adventurer Henry M. Stanley comes back from the western Indian wars, his editor James Gordon Bennett sends him to Africa to find Dr. David Livingstone, the ...",90,90
Pocketful of Miracles,A New York gangster and his girlfriend attempt to turn street beggar Apple Annie into a society lady when the peddler learns her daughter is marrying royalty.,91,91
Mr. Deeds Goes to Town,"Longfellow Deeds, a simple-hearted Vermont tuba player, inherits a fortune and has to contend with opportunist city slickers.",92,92
Platinum Blonde,"A young woman from a very rich family impulsively marries a reporter, but each assumes the other is the one whose lifestyle must change.",93,93
The Miracle Woman,"After Florence Fallon's father dies unappreciated in the church where he preached for many years, she becomes embittered and loses faith. She teams up with Horsby, a con man, and performs ...",94,94
Shopworn,"A poor but honest and hardworking waitress from way across the tracks meets and falls in love with a college student from the upper-stuffy class, but the Mama of the intended objects to the...",95,95
Baby Face,"A young woman uses her body and her sexuality to help her climb the social ladder, but soon begins to wonder if her new status will ever bring her happiness.",96,96
Three on a Match,"Although Vivian Revere is seemingly the most successful of a trio of reunited schoolmates, she throws it away by descending into a life of debauchery and drugs.",97,97
Midnight Mary,"A young woman is on trial for murder. In flashback, we learn of her struggles to overcome poverty as a teenager -- a mistaken arrest and prison term for shoplifting and lack of employment ...",98,98
Heroes for Sale,"The saga of Tom Holmes - a man of principles - from the Great War to the Great Depression. Will he ever get a break? His war heroics earn fame and a medal for someone else, and his wounds ...",99,99
The Kennel Murder Case,"Philo Vance, accompanied by his prize-losing Scottish terrier, investigates the locked-room murder of a prominent and much-hated collector whose broken Chinese vase provides an important clue.",100,100
Another Thin Man,An explosives manufacturer suspects a young man is out to kill him. He calls in Nick and Nora (with new baby) to sort things out.,101,101
Love Crazy,"A series of misunderstandings on their fourth wedding anniversary lead an architect and his wife to break up, but he pretends to be insane and even poses as his own sister in order to win her back.",102,102
Evelyn Prentice,The neglected wife of a high profile attorney dallies with a unscrupulous womanizer and finds herself involved in blackmail and murder.,103,103
Shadow of the Thin Man,Nick and Nora are at their wise-cracking best as they investigate murder and racketeering at a local race-track.,104,104
The Apple,"Musical set in the 'future', e.g. 1994. A young couple enters the world of the music industry, but also the world of drugs.",105,105
The Nut Job 2,The continuation of Surly's adventures.,106,106
Lethal Weapon 2,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,107,107
The Limey,An extremely volatile and dangerous Englishman goes to Los Angeles to find the man he considers responsible for his daughter's death.,108,108
The Last Seduction,A devious sexpot steals her husband's drug money and hides out in a small town where she meets the perfect dupe for her next scheme.,109,109
Miller's Crossing,"Tom Regan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",110,110
Flubber,"An absent-minded professor discovers 'flubber,' a rubber-like super-bouncy substance.",111,111
"Now, Voyager",Boston spinster blossoms under therapy and finds impossible romance.,112,112
Anatomy of a Murder,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",113,113
War Room,"A seemingly perfect family looks to fix their problems with the help of Miss Clara, an older, wiser woman.",114,114
Highlander: Endgame,"Immortals Connor and Duncan Macleod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",115,115
The Grapes of Wrath,"A poor Midwest family is forced off of their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",116,116
Ben-Hur,"When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",117,117
Planet of the Apes,"An astronaut crew crash lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",118,118
The Omega Man,Army doctor Robert Neville struggles to create a cure for the plague that wiped out most of the human race.,119,119
Silent Running,"In a future where all flora is extinct on Earth, an astronaut is given orders to destroy the last of Earth's botany, kept in a greenhouse aboard a spacecraft.",120,120
WarGames,"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.",121,121
Evil Dead,"Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods. The evil presence possesses them until only one is left to fight for survival.",122,122
Saw III,Jigsaw kidnaps a doctor to keep him alive while he watches his new apprentice put an unlucky citizen through a brutal test.,123,123
Final Destination 3,"In this third installment of the Final Destination series, a student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself which seeks out those who escaped their fate.",124,124
The Final Destination,"After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end.",125,125
Return of the Living Dead II,"Curious kids unearth the barrels that helped revive the dead of the first film, which proves the second time's an undead charm.",126,126
Night of the Creeps,"Alien brain parasites, entering humans through the mouth, turn their host into a killing zombie. Some teenagers start to fight against them.",127,127
From Beyond,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.",128,128
Absentia,"A woman and her sister begin to link a mysterious tunnel to a series of disappearances, including that of her own husband.",129,129
The Dark Knight Rises,"Eight years after the Joker's reign of anarchy, the Dark Knight is forced to return from his imposed exile to save Gotham City from the brutal guerrilla terrorist Bane with the help of the enigmatic Catwoman.",130,130
Dune,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis when they assassinate his father and free their desert world from the emperor's rule.,131,131
Battle Los Angeles,A squadron of U.S. Marines becomes the last line of defense against a global invasion.,132,132
American Fetish,"When the son of an alleged killer inherits a 'blue movie' that may be the key to solving a 50 year old murder, he finds himself drawn into a forbidden world of sexual obsession. But the ...",133,133
Osmosis Jones,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",134,134
Clash of the Titans,A film adaption of the myth of Perseus and his quest to battle both Medusa and the Kraken monster to save the Princess Andromeda.,135,135
The Vampire Lovers,Seductive vampire Carmilla Karnstein and her family target the beautiful and the rich a remote area of late 18th century Gemany.,136,136
The Mummy,"In 1895, British archaeologists find and open the tomb of Egyptian Princess Ananka with nefarious consequences.",137,137
Dracula,The ancient vampire Count Dracula arrives in England and begins to prey upon the virtuous young Mina.,138,138
King Kong,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal giant gorilla who takes a shine to their female blonde star.,139,139
Super Size Me,"While examining the influence of the fast food industry, Morgan Spurlock personally explores the consequences on his health of a diet of solely McDonald's food for one month.",140,140
Alice in Wonderland,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",141,141
Harry Potter and the Prisoner of Azkaban,"It's Harry's third year at Hogwarts; not only does he have a new 'Defense Against the Dark Arts' teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry.",142,142
Shrek,"After his swamp is filled with magical creatures, an ogre agrees to rescue a princess for a villainous lord in order to get his land back.",143,143
The Lion King,Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.,144,144
Beauty and the Beast,"Belle, whose father is imprisoned by the Beast, offers herself instead, unaware her captor to be an enchanted prince.",145,145
Tarzan,A man raised by gorillas must decide where he really belongs when he discovers he is a human.,146,146
The Emperor's New Groove,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",147,147
Brother Bear,"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.",148,148
The Road to El Dorado,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado.",149,149
Shark Tale,"When a son of a gangster shark boss is accidently killed while on the hunt, his would-be prey and his vegetarian brother both decide to use the incident to their own advantage.",150,150
Happy Feet,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",151,151
Rango,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",152,152
Cloudy with a Chance of Meatballs,"A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.",153,153
Madagascar: Escape 2 Africa,"The animals try to fly back to New York City, but crash-land on an African wildlife refuge, where Alex is reunited with his parents.",154,154
West Side Story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",155,155
An Unmarried Woman,A wealthy woman from Manhattan's Upper East Side struggles to deal with her new identity and her sexuality after her husband of 16 years leaves her for a younger woman.,156,156
Starting Over,"A divorced man falls in love, but somehow he can't get over his ex-wife. This affects his love life in comic ways. Based on Dan Wakefield's novel.",157,157
Semi-Tough,A three-way friendship between two free-spirited professional football players and the owner's daughter becomes compromised when two of them become romantically involved.,158,158
The Longest Yard,"A sadistic warden asks a former pro quarterback, now serving time in his prison, to put together a team of inmates to take on (and get pummeled by) the guards.",159,159
Heaven Can Wait,"Opting for light entertainment after the critical satire of Shampoo (1975), producer-director-writer-star Warren Beatty remade the 1941 comic fantasy Here Comes Mr. Jordan. Dimly amiable L.A. Rams quarterback Joe Pendleton (Beatty) is prematurely called to Heaven by an over-eager escort (Buck Henry, who co-directed) after a traffic accident. When archangel Mr. Jordan (James Mason) discovers the error, he offers to return Joe to his body, only to find that it has been cremated. On the verge of,playing in the Super Bowl, Joe demands a fit body rather than the old about-to-be-murdered industrialist Farnsworth he has been offered, but he reconsiders when he sees environmentalist Betty Logan (Julie Christie) in Farnsworth's house. Assuming Farnsworth's body while keeping his sweet self, Joe hires his beloved coach Max Corkle (Jack Warden) to get him in shape (after convincing Max who he really is), sets Farnsworth's business on an eco-friendly path, and romances Betty. Farnsworth's homicidal wife (Dyan Cannon) and secretary (Charles Grodin), however, are still determined to succeed in their plan to kill him. When Mr. Jordan finally finds the Super Bowl body Joe wanted, Joe has to trade his old self for the new life -- but will he remember his love for Betty? Heaven Can Wait offered contemporary yet old-fashioned escapism and tapped into the late-1970s vogue for nostalgic fun, becoming one of 1978's most popular summer movies after Grease. Updating the original while following its blueprint, Beatty and co-writer Elaine May switched Joe's sport and turned Joe into a man of his '70s moment, adoring Betty for her convictions and favoring 'green' policies over corporate greed. Gently breathing life into a classic form, Heaven Can Wait found romantic innocence in a jaded time, and it went on to receive nine Oscar nominations, including Best Picture.",160,160
Bugsy,"Brutal and batty as a March hare, notorious gangster Bugsy Siegel played a crucial role in making Las Vegas the gambling capitol of the United States. This arresting biopic starring Warren Beatty offers a remarkably cliché-free look at the mobster's life and times.",161,161
Hoffa,A film based on the story of legendary union figure Jimmy Hoffa.,162,162
The Pledge,A retiring police chief pledges to catch the killer of a young child.,163,163
Father of the Bride Part II,"In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",164,164
L.A. Story,"With the help of a talking freeway billboard, a 'wacky weatherman' tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early-90s Los Angeles.",165,165
The Lonely Guy,A writer for a greeting card company learns the true meaning of loneliness when he comes home to find his girlfriend in bed with another man.,166,166
Pennies from Heaven,"During the Great Depression, a sheet music salesman seeks to escape his dreary life through popular music and a love affair with an innocent school teacher.",167,167
Pennies From Heaven,"In this sentimental musical drama, Bing Crosby is in jail on a trumped-up charge. Crosby meets a condemned prisoner and promises the doomed man to look after his little girl. The girl's grandfather is also part of the 'deal,' and soon the footloose Crosby finds himself overwhelmed by his responsibilities.",168,168
The Spoilers,"In Nome, Alaska, miner Roy Glennister and his partner Dextry, financed by saloon entertainer Cherry Malotte, fight to save their gold claim from crooked commissioner Alexander McNamara.",169,169
Allegheny Uprising,"In British colonial America, Captain Swanson's adherence to the rules results in Trader Callendar's selling to the Indians under cover of a government permit. Jim Smith won't sit still for ...",170,170
Blood Alley,"His ship seized by the Chinese Communists, American Merchant Captain Tom Wilder languishes in prison but Chinese villagers help him escape to sail them to Hong-Kong.",171,171
The Fighting Seabees,"Construction workers in World War II in the Pacific are needed to build military sites, but the work is dangerous and they doubt the ability of the Navy to protect them. After a series of ...",172,172
They Were Expendable,A dramatized account of the role of the American PT Boats in the defense of the Philippines in World War II.,173,173
Fort Apache,"The soldiers at Fort Apache may disagree with the tactics of their glory-seeking new commander. But to a man, they're duty-bound to obey - even when it means almost certain disaster. John Wayne, Henry Fonda and many familiar supporting players from master director John Ford's 'stock company' saddle up for the first film in the director's famed cavalry trilogy (She Wore a Yellow Ribbon and Rio Grande are the others). Roughhouse camaraderie, sentimental vignettes of frontier life, massive action,sequences staged in Monument Valley - all are part of Fort Apache. So is Ford's exploration of the West's darker side. Themes of justice, heroism and honor that Ford would revisit in later Westerns are given rein in this moving, thought-provoking film that, even as it salutes a legend, gives reasons to question it.",174,174
The Shootist,A dying gunfighter spends his last days looking for a way to die with a minimum of pain and a maximum of dignity.,175,175
The Sons of Katie Elder,Ranch owner Katie Elder's four sons determine to avenge the murder of their father and the swindling of their mother.,176,176
North to Alaska,"Sam and George strike gold in Alaska. George sends Sam to Seattle to bring George's fiancée back to Alaska. Sam finds she is already married, and returns instead with Angel. Sam, after ...",177,177
Donovan's Reef,"'Guns' Donovan prefers carousing with his pals Doc Dedham and 'Boats' Gilhooley, until Dedham's high-society daughter Amelia shows up in their South Seas paradise.",178,178
Hatari!,A group of men trap wild animals in Africa and sell them to zoos. Will the arrival of a female wildlife photographer change their ways ?,179,179
The Way Back,"Siberian gulag escapees travel 4,000 miles by foot to freedom in India.",180,180
Loving Annabelle,Annabelle is the wise-beyond-her-years newcomer to an exclusive Catholic girls school. Having been expelled from her first two schools she's bound to stir some trouble. Sparks fly between ...,181,181
The Incredibly True Adventure of Two Girls in Love,An adventurous love story between two young women of different social and economic backgrounds who find themselves going through all the typical struggles of a new romance.,182,182
The Borrowers,"Mary Norton's children's books about a family of four-inch-tall people who share accommodations with giant 'beans' (as in 'human bein's') are brought to the screen in beautifully scaled detail, but neither the story nor the characters come alive.",183,183
A Walk in the Woods,"After spending two decades in England, Bill Bryson returns to the U.S., where he decides the best way to connect with his homeland is to hike the Appalachian Trail with one of his oldest friends.",184,184
Interior. Leather Bar.,Filmmakers James Franco and Travis Mathews re-imagine the lost 40 minutes from 'Cruising' as a starting point to a broader exploration of sexual and creative freedom.,185,185
Who's That Girl,"An uptight New York tax lawyer gets his life turned upside down, all in a single day, when he's asked to escort a feisty and free-spirited female ex-convict whom asks him to help prove her innocence of her crime.",186,186
Desperately Seeking Susan,"A bored suburban housewife, seeking adventure to her life, accidentally gets hit on the head, wakes up with amnesia, and is mistaken for a free-spirited New York City drifter named Susan.",187,187
Hollywood Mouth,"In Hollywood, a film buff gets involved with selling a Faberge egg.",188,188
Some Came Running,"In the post-war, the alcoholic and bitter veteran military and former writer Dave Hirsch returns from Chicago to his hometown Parkman, Indiana. He is followed by Ginnie Moorehead, a vulgar ...",189,189
RocknRolla,"In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged out rock 'n' roller presumed to be dead but very much alive -- has a multi-million dollar prize fall into...",190,190
Vulgar,A man who performs as a children's birthday party clown tries to piece his life back together after being gang-raped.,191,191
Jay and Silent Bob's Super Groovy Cartoon Movie,"Jay and Silent Bob hit the lottery jackpot, and use their cash windfall to become crime-fighting superheroes.",192,192
Jay and Silent Bob Strike Back,"The comic 'Bluntman and Chronic' is based on real-life stoners Jay and Silent Bob, so when they get no profit from a big-screen adaptation they set out to wreck the movie.",193,193
