City,HospitalOwner,original_index,unique_index,count
guntersville,government - hospital district or authority,173,23,24
guntersville,government - hospital district or authority,174,23,24
guntersville,government - hospital district or authority,175,23,24
guntersville,government - hospital district or authority,176,23,24
guntersville,government - hospital district or authority,177,23,24
guntersville,government - hospital district or authority,178,23,24
guntersville,government - hospital district or authority,179,23,24
guntxrsvillx,government - hospital district or authority,180,24,1
guntersville,government - hospital district or authority,181,23,24
guntersville,government - hospital district or authority,182,23,24
guntersville,government - hospital district or authority,183,23,24
guntersville,government - hospital district or authority,184,23,24
guntersville,government - hospital district or authority,185,23,24
guntersville,government - hospital district or authority,186,23,24
guntersville,government - hospital district or authority,187,23,24
guntersville,government - hospital district or authority,188,23,24
guntersville,government - hospital district or authority,189,23,24
guntersville,government - hospital district or authority,190,23,24
guntersville,government - hospital district or authority,191,23,24
guntersville,government - hospital district or authority,192,23,24
guntersville,government - hospital district or authority,193,23,24
birmingham,voluntary non-profit - private,194,0,44
birmingham,voluntary non-profit - private,195,0,44
birmingham,voluntary non-profit - private,196,0,44
birmingham,voluntary non-profit - private,197,0,44
birmingham,voluntary non-profit - private,198,0,44
birmingham,voluntary non-profit - private,199,0,44
birmingham,voluntary non-profit - private,200,0,44
birmingham,voluntary non-profit - private,201,0,44
birmingham,voluntary non-profit - private,202,0,44
birmingham,voluntary non-profit - private,203,0,44
birmingham,voluntary non-profit - private,204,0,44
birmingham,voluntary non-profit - private,205,0,44
birmingham,voluntary non-profit - private,206,0,44
birmixgham,voluntary non-profit - private,207,25,1
birmingham,voluntary non-profit - private,208,0,44
birmingham,voluntary non-profit - private,209,0,44
birmingham,voluntary non-profit - private,210,0,44
birmingham,voluntary non-profit - private,211,0,44
bxrmxngham,voluntary non-profit - private,212,26,1
birmingham,voluntary non-profit - private,213,0,44
birmingham,voluntary non-profit - private,214,0,44
birmingham,voluntary non-profit - private,215,0,44
birmingham,volunxary non-profix - privaxe,216,27,1
birmingham,voluntary non-profit - private,217,0,44
birmingham,voluntary nonxprofit x private,218,28,1
fort payne,voluntary non-profit - church,219,29,22
fort payne,voluntary non-profit - church,220,29,22
fort payne,voluntaryxnon-profitx-xchurch,221,30,1
fort payne,voluntary non-profit - church,222,29,22
fort payne,voluntary non-profit - church,223,29,22
fort payne,voluntary non-profit - church,224,29,22
fort payne,voluntary non-profit - church,225,29,22
fort payne,voluntary non-profit - church,226,29,22
fort payne,voluntary non-profit - church,227,29,22
fort payxe,voluntary non-profit - church,228,31,1
fort payne,voluntary non-profit - church,229,29,22
fort payne,voluntary non-profit - church,230,29,22
fort payne,voluntary non-profit - church,231,29,22
fort payne,voluntary non-profit - church,232,29,22
fort payne,voluntary non-profit - church,233,29,22
fort payne,voluntary non-profit - church,234,29,22
fort payne,voluntary non-profit - church,235,29,22
fort payne,voluntary non-profit - church,236,29,22
fort payne,voluntary non-profit - church,237,29,22
fort payne,voxuntary non-profit - church,238,32,1
fort payne,voluntary non-profit - church,239,29,22
fort payne,voluntary non-profit - church,240,29,22
fort payne,voluntary non-profit - church,241,29,22
fort payne,voluntary non-profit - church,242,29,22
fort payne,voluntary non-profit - church,243,29,22
thomasville,government - federal,244,33,24
thomasville,government - federal,245,33,24
thomasville,government - federal,246,33,24
thomasville,governxent - federal,247,34,1
thomasville,government - federal,248,33,24
thomasville,government - federal,249,33,24
thomasville,government - federal,250,33,24
thomasville,government - federal,251,33,24
thomasville,government - federal,252,33,24
thomasville,government - federal,253,33,24
thomasville,government - federal,254,33,24
thomasville,government - federal,255,33,24
thomasville,government - federal,256,33,24
thomasville,government - federal,257,33,24
thomasville,government - federal,258,33,24
thomasville,government - federal,259,33,24
thomasville,government - federal,260,33,24
thomasville,government - federal,261,33,24
thomasville,government - federal,262,33,24
thomasville,government - federal,263,33,24
thomasville,government - federal,264,33,24
thomasville,government - federal,265,33,24
thomasville,government - federal,266,33,24
thomasville,government - federal,267,33,24
thomasville,government - federal,268,33,24
alabaster,voluntary non-profit - church,269,35,25
alabaster,voluntary non-profit - church,270,35,25
alabaster,voluntary non-profit - church,271,35,25
alabaster,voluntary non-profit - church,272,35,25
alabaster,voluntary non-profit - church,273,35,25
alabaster,voluntary non-profit - church,274,35,25
alabaster,voluntary non-profit - church,275,35,25
alabaster,voluntary non-profit - church,276,35,25
alabaster,voluntary non-profit - church,277,35,25
alabaster,voluntary non-profit - church,278,35,25
alabaster,voluntary non-profit - church,279,35,25
alabaster,voluntary non-profit - church,280,35,25
alabaster,voluntary non-profit - church,281,35,25
alabaster,voluntary non-profit - church,282,35,25
alabaster,voluntary non-profit - church,283,35,25
alabaster,voluntary non-profit - church,284,35,25
alabaster,voluntary non-profit - church,285,35,25
alabaster,voluntary non-profit - church,286,35,25
alabaster,voluntary non-profit - church,287,35,25
alabaster,voluntary non-profit - church,288,35,25
alabaster,voluntary non-profit - church,289,35,25
alabaster,voluntary non-profit - church,290,35,25
alabaster,voluntary non-profit - church,291,35,25
alabaster,voluntary non-profit - church,292,35,25
alabaster,voluntary non-profit - church,293,35,25
birmingham,voluntary non-profit - private,294,0,44
birmingham,voluntary non-profit - private,295,0,44
birmingham,voluntary non-profit - private,296,0,44
birmingham,voluntary non-profit - private,297,0,44
birmingham,voluntary non-profit - private,298,0,44
birmingham,voluntary non-profit - private,299,0,44
birmingham,voluntary non-profit - private,300,0,44
birmingham,voluntary non-profit - private,301,0,44
birmingham,voluntary non-profit - private,302,0,44
birmingham,voluntary non-profit - private,303,0,44
birmingham,voluntary non-profit - private,304,0,44
birmingham,voluntary non-profit - private,305,0,44
birmingham,voluntary non-profit - private,306,0,44
birmingham,voluntary non-profit - private,307,0,44
birmingham,voluntary non-profit - private,308,0,44
birmingham,voluntary non-profit - private,309,0,44
birmingham,voluntary non-profit - private,310,0,44
axxistox,proprietary,311,36,1
anniston,proprietary,312,37,25
anniston,prxprietary,313,38,1
anniston,proprietary,314,37,25
anniston,proprietary,315,37,25
anniston,proprietary,316,37,25
anniston,proprietary,317,37,25
anniston,proprietary,318,37,25
anniston,proprietary,319,37,25
anniston,proprietary,320,37,25
anniston,proprietary,321,37,25
anniston,proprietary,322,37,25
anniston,proprietary,323,37,25
anniston,proprietary,324,37,25
anniston,proprietary,325,37,25
anniston,proprietary,326,37,25
anniston,proprietary,327,37,25
anniston,proprietary,328,37,25
anniston,proprietary,329,37,25
anniston,proprietary,330,37,25
dothan,proprietary,331,39,16
dothan,proxrietary,332,40,1
dothan,proprietary,333,39,16
dothan,proprietary,334,39,16
dothan,proprietary,335,39,16
dothan,proprietary,336,39,16
dothan,proprietary,337,39,16
dothan,proprietary,338,39,16
dothan,proprietary,339,39,16
dothan,proprietary,340,39,16
dothan,proprietary,341,39,16
dothan,proprietary,342,39,16
dothan,proprietary,343,39,16
dothan,proprietary,344,39,16
dothan,proprietary,345,39,16
dothan,proprietary,346,39,16
dothan,proprietary,347,39,16
birmingham,voluntary non-profit - other,348,41,5
birmingham,voluntary non-profit - other,349,41,5
birmingham,voluntary non-profit - other,350,41,5
birmingham,voluntary non-profit - other,351,41,5
birmingham,voluntary non-profit - other,352,41,5
decatur,government - hospital district or authority,353,42,1
winfield,proprietary,354,43,23
winfield,proprietary,355,43,23
winfield,prxprietary,356,44,1
winfield,proprietary,357,43,23
winfield,proprietary,358,43,23
winfield,proprietary,359,43,23
winfield,proprietary,360,43,23
winfield,proprietary,361,43,23
winfield,proprietary,362,43,23
winfield,proprietary,363,43,23
winfield,proprietary,364,43,23
winfield,proprietary,365,43,23
winfield,proprietary,366,43,23
winfielx,proprietary,367,45,1
winfield,proprietary,368,43,23
winfield,proprietary,369,43,23
winfield,proprietary,370,43,23
winfield,proprietary,371,43,23
winfield,proprietary,372,43,23
winfield,proprietary,373,43,23
winfield,proprietary,374,43,23
winfield,proprietary,375,43,23
winfield,proprietary,376,43,23
winfield,proprietary,377,43,23
winfield,proprietary,378,43,23
mobile,government - state,379,46,13
mobile,government - state,380,46,13
mobile,government - state,381,46,13
mobile,government - state,382,46,13
mobile,government - state,383,46,13
mobile,government - state,384,46,13
mobile,government - state,385,46,13
mobile,government - state,386,46,13
mobile,government - state,387,46,13
mobile,government - state,388,46,13
mobile,government - state,389,46,13
mobile,government - state,390,46,13
mobile,government - state,391,46,13
prattville,voluntary non-profit - private,392,47,20
prattville,voluntary non-profit - private,393,47,20
prattville,voluntary non-profit - private,394,47,20
prattville,voluntary non-profit - private,395,47,20
prattville,voluntary non-profit - private,396,47,20
prattville,voluntary non-profit - private,397,47,20
prattville,voluntary non-profit - private,398,47,20
prattville,voluntary non-profit - private,399,47,20
prattville,voluntary non-profit - private,400,47,20
prattville,voluntary non-profit - private,401,47,20
prattville,voluntary non-profit - private,402,47,20
prattville,voluntary non-profit - private,403,47,20
prattville,voluntary non-profit - private,404,47,20
prattville,voluntary non-profit - private,405,47,20
prattville,voluntary non-profit - private,406,47,20
prattville,voluntary non-profit - private,407,47,20
prattville,voluntary non-profit - private,408,47,20
prattville,voluntary non-profit - private,409,47,20
prattville,voluntary non-profit - private,410,47,20
prattville,voluntary non-profit - private,411,47,20
russellville,proprietary,412,48,2
russellville,proprietary,413,48,2
sylacauga,voluntary non-profit - other,414,49,18
sylacauga,voluntary non-profit - other,415,49,18
sylacauga,voluntary non-profit - other,416,49,18
sylacauga,voluntary non-profit - other,417,49,18
sylacauga,voluntary non-profit - other,418,49,18
sylacauga,voluntary non-profit - other,419,49,18
sylacauga,voluntary non-profit - other,420,49,18
sylacauga,voluntary non-profit - other,421,49,18
sylacauga,voluntary non-profit - other,422,49,18
sylacauga,voluntary non-profit - other,423,49,18
sylacauga,voluntary non-profit - other,424,49,18
sylacauga,voluntary non-profit - other,425,49,18
sylacauga,voluntary non-profit - other,426,49,18
sylacauga,voluntary non-profit - other,427,49,18
sylacauga,voluntary non-profit - other,428,49,18
sylacauga,voluntary non-profit - other,429,49,18
sylacauga,voluntary non-profit - other,430,49,18
sylacauga,voluntary non-profit - other,431,49,18
anchorage,proprietary,432,50,16
anchorage,proprietary,433,50,16
anchorage,proprietary,434,50,16
anchorage,proprietary,435,50,16
anchorage,proprietary,436,50,16
anchoraxe,proprietary,437,51,1
anchorage,proprietary,438,50,16
anchorage,proprietary,439,50,16
anchorage,proprietary,440,50,16
anchorage,proprietary,441,50,16
anchorage,proprietary,442,50,16
anchorage,proprietary,443,50,16
anchorage,proprietary,444,50,16
anchorage,proprietary,445,50,16
anchorage,proprietary,446,50,16
anchorage,proprietary,447,50,16
anchorage,proprietary,448,50,16
anchorage,proxrietary,449,52,1
bethel,government - federal,450,53,2
bethel,government - federal,451,53,2
sheffield,government - hospital district or authority,452,3,23
sheffield,government - hospital district or authority,453,3,23
sheffield,government - hospital district or authority,454,3,23
sheffield,government - hospital district or authority,455,3,23
sheffield,gxvernment - hxspital district xr authxrity,456,54,1
sheffield,government - hospital district or authority,457,3,23
sheffield,government - hospital district or authority,458,3,23
sheffield,government - hospital district or authority,459,3,23
sheffield,government - hospital district or authority,460,3,23
sheffield,government - hospital district or authority,461,3,23
sheffield,government - hospital district or authority,462,3,23
sheffield,government - hospital district or authority,463,3,23
sheffield,government - hospital district or authority,464,3,23
sheffield,government - hospital district or authority,465,3,23
ozark,government - hospital district or authority,466,55,23
ozark,government - hospital district or authority,467,55,23
ozark,government - hospital district or authority,468,55,23
ozark,government - hospital district or authority,469,55,23
ozark,government - hospital district or authority,470,55,23
ozark,government - hospital district or authority,471,55,23
ozark,government - hospital district or authority,472,55,23
ozark,government - hospital district or authority,473,55,23
ozarx,government - hospital district or authority,474,56,1
ozark,government - hospital district or authority,475,55,23
ozark,government - hospital district or authority,476,55,23
ozark,government - hospital district or authority,477,55,23
ozark,government - hospital district or authority,478,55,23
ozark,government - hospital district or authority,479,55,23
ozark,government - hospital district or authority,480,55,23
ozark,government - hospital district or authority,481,55,23
ozark,government - hospital district or authority,482,55,23
ozark,government - hospital district or authority,483,55,23
ozark,government - hospital district or authority,484,55,23
xzark,government - hospital district or authority,485,57,1
ozark,government - hospital district or authority,486,55,23
ozark,government - hospital district or authority,487,55,23
ozark,government - hospital district or authority,488,55,23
ozark,government - hospital district or authority,489,55,23
ozark,government - hospital district or authority,490,55,23
centre,voluntary non-profit - private,491,58,24
centre,voluntary non-profit - private,492,58,24
centre,voluntaryxnon-profitx-xprivate,493,59,1
centre,voluntary non-profit - private,494,58,24
centre,voluntary non-profit - private,495,58,24
centre,voluntary non-profit - private,496,58,24
centre,voluntary non-profit - private,497,58,24
centre,voluntary non-profit - private,498,58,24
centre,voluntary non-profit - private,499,58,24
centre,voluntary non-profit - private,500,58,24
centre,voluntary non-profit - private,501,58,24
centre,voluntary non-profit - private,502,58,24
centre,voluntary non-profit - private,503,58,24
centre,voluntary non-profit - private,504,58,24
centre,voluntary non-profit - private,505,58,24
centre,voluntary non-profit - private,506,58,24
centre,voluntary non-profit - private,507,58,24
centre,voluntary non-profit - private,508,58,24
centre,voluntary non-profit - private,509,58,24
centre,voluntary non-profit - private,510,58,24
centre,voluntary non-profit - private,511,58,24
centre,voluntary non-profit - private,512,58,24
centre,voluntary non-profit - private,513,58,24
centre,voluntary non-profit - private,514,58,24
centre,voluntary non-profit - private,515,58,24
montgomery,voluntary non-profit - church,516,60,23
montxomery,voluntary non-profit - church,517,61,1
montgomery,voluntary non-profit - church,518,60,23
montgomery,voluntary non-profit - church,519,60,23
montgomery,voluntary non-profit - church,520,60,23
montgomery,voluntary non-profit - church,521,60,23
montgomery,voluntary non-profit - church,522,60,23
montgomery,voluntary non-profit - church,523,60,23
montgomery,voluntary non-profit - church,524,60,23
montgomery,voluntary non-profit - church,525,60,23
montgomery,volxntary non-profit - chxrch,526,62,1
montgomery,voluntary non-profit - church,527,60,23
montgomery,voluntary non-profit - church,528,60,23
montgomery,voluntary non-profit - church,529,60,23
montgomery,voluntary non-profit - church,530,60,23
montgomery,voluntary non-profit - church,531,60,23
montgomery,voluntary non-profit - church,532,60,23
montgomery,voluntary non-profit - church,533,60,23
montgomery,voluntary non-profit - church,534,60,23
montgomery,voluntary non-profit - church,535,60,23
montgomery,voluntary non-profit - church,536,60,23
montgomery,voluntary non-profit - church,537,60,23
montgomery,voluntary non-profit - church,538,60,23
montgomery,voluntary non-profit - church,539,60,23
montgomery,voluntary non-profit - church,540,60,23
montgomery,voluntary non-profit - private,541,63,25
montgomery,voluntary non-profit - private,542,63,25
montgomery,voluntary non-profit - private,543,63,25
montgomery,voluntary non-profit - private,544,63,25
montgomery,voluntary non-profit - private,545,63,25
montgomery,voluntary non-profit - private,546,63,25
montgomery,voluntary non-profit - private,547,63,25
montgomery,voluntary non-profit - private,548,63,25
montgomery,voluntary non-profit - private,549,63,25
montgomery,voluntary non-profit - private,550,63,25
montgomery,voluntary non-profit - private,551,63,25
montgomery,voluntary non-profit - private,552,63,25
montgomery,voluntary non-profit - private,553,63,25
montgomery,voluntary non-profit - private,554,63,25
montgomery,voluntary non-profit - private,555,63,25
montgomery,voluntary non-profit - private,556,63,25
montgomery,voluntary non-profit - private,557,63,25
montgomery,voluntary non-profit - private,558,63,25
montgomery,voluntary non-profit - private,559,63,25
montgomery,voluntary non-profit - private,560,63,25
montgomery,voluntary non-profit - private,561,63,25
montgomery,voluntary non-profit - private,562,63,25
montgomery,voluntary non-profit - private,563,63,25
montgomery,voluntary non-profit - private,564,63,25
montgomery,voluntary non-profit - private,565,63,25
valley,voluntary non-profit - other,566,64,22
valley,voluntary non-profit - other,567,64,22
valley,voluntary non-profit - other,568,64,22
valley,voluntary non-profit - other,569,64,22
valley,voluntary non-profit - other,570,64,22
valley,voluntary non-profit - other,571,64,22
valley,voluntary non-profit - otxer,572,65,1
valley,voluntary non-profit - other,573,64,22
valley,voluntary non-profit - other,574,64,22
valley,voluntary non-profit - other,575,64,22
valley,voluntary non-profit - other,576,64,22
valley,voluntary non-profit - other,577,64,22
vallex,voluntary non-profit - other,578,66,1
valley,voluntary non-profit - other,579,64,22
valley,voluntary non-profit - other,580,64,22
valley,voluntary non-profit - other,581,64,22
valley,voluntary non-profit - other,582,64,22
valley,voluntary non-profit - other,583,64,22
valley,voluntary non-profit - other,584,64,22
valley,voluntary non-profit - other,585,64,22
valley,voluntary non-profit - other,586,64,22
valley,voluntary non-profit - other,587,64,22
valley,voluntary non-profit - other,588,64,22
valley,voluntary non-profit - other,589,64,22
vxlley,voluntary non-profit - other,590,67,1
elba,voluntary non-profit - other,591,68,24
elba,voluntary non-profit - other,592,68,24
elba,voluntary non-profit - other,593,68,24
elba,voluntary non-profit - other,594,68,24
elba,voluntary non-profit - other,595,68,24
elba,voluntary non-profit - other,596,68,24
elba,voluntary non-profit - other,597,68,24
elba,voluntary non-profit - other,598,68,24
elba,voluntary non-profit - other,599,68,24
elba,voluntary non-profit - other,600,68,24
exba,voluntary non-profit - other,601,69,1
elba,voluntary non-profit - other,602,68,24
elba,voluntary non-profit - other,603,68,24
elba,voluntary non-profit - other,604,68,24
elba,voluntary non-profit - other,605,68,24
elba,voluntary non-profit - other,606,68,24
elba,voluntary non-profit - other,607,68,24
elba,voluntary non-profit - other,608,68,24
elba,voluntary non-profit - other,609,68,24
elba,voluntary non-profit - other,610,68,24
elba,voluntary non-profit - other,611,68,24
elba,voluntary non-profit - other,612,68,24
elba,voluntary non-profit - other,613,68,24
elba,voluntary non-profit - other,614,68,24
elba,voluntary non-profit - other,615,68,24
opelika,government - hospital district or authority,616,70,25
opelika,government - hospital district or authority,617,70,25
opelika,government - hospital district or authority,618,70,25
opelika,government - hospital district or authority,619,70,25
opelika,government - hospital district or authority,620,70,25
opelika,government - hospital district or authority,621,70,25
opelika,government - hospital district or authority,622,70,25
opelika,government - hospital district or authority,623,70,25
opelika,government - hospital district or authority,624,70,25
opelika,government - hospital district or authority,625,70,25
opelika,government - hospital district or authority,626,70,25
opelika,government - hospital district or authority,627,70,25
opelika,government - hospital district or authority,628,70,25
opelika,government - hospital district or authority,629,70,25
opelika,government - hospital district or authority,630,70,25
opelika,government - hospital district or authority,631,70,25
opelika,government - hospital district or authority,632,70,25
opelika,government - hospital district or authority,633,70,25
opelika,government - hospital district or authority,634,70,25
opelika,government - hospital district or authority,635,70,25
opelika,government - hospital district or authority,636,70,25
opelika,government - hospital district or authority,637,70,25
opelika,government - hospital district or authority,638,70,25
opelika,government - hospital district or authority,639,70,25
opelika,government - hospital district or authority,640,70,25
wedowee,government - local,641,71,24
wedowee,government - local,642,71,24
wedowee,government - local,643,71,24
wedowee,government - local,644,71,24
wedowee,government - local,645,71,24
wedowee,government - local,646,71,24
wedowee,government - local,647,71,24
wedowee,government - local,648,71,24
wedowee,government - local,649,71,24
wedowee,government - local,650,71,24
wedowee,government - local,651,71,24
wedowee,government - local,652,71,24
wedowee,government - local,653,71,24
wxdowxx,government - local,654,72,1
wedowee,government - local,655,71,24
wedowee,government - local,656,71,24
wedowee,government - local,657,71,24
wedowee,government - local,658,71,24
wedowee,government - local,659,71,24
wedowee,government - local,660,71,24
wedowee,government - local,661,71,24
wedowee,government - local,662,71,24
wedowee,government - local,663,71,24
wedowee,government - local,664,71,24
wedowee,government - local,665,71,24
birmingham,government - state,666,73,24
birmingham,government - state,667,73,24
birmingham,government - state,668,73,24
birmingham,government - state,669,73,24
birmingham,government - state,670,73,24
birmingham,government - state,671,73,24
birmingham,government - state,672,73,24
birmingham,government - state,673,73,24
birmingham,government - state,674,73,24
birmingham,government - state,675,73,24
birmingham,government - state,676,73,24
birmingham,government - state,677,73,24
birmingham,government - state,678,73,24
birmingham,government - state,679,73,24
birmingham,government - state,680,73,24
birmingham,government - state,681,73,24
birmingham,government - state,682,73,24
birmingham,government - state,683,73,24
birmingham,government - state,684,73,24
birmingham,government - state,685,73,24
birmingham,government - state,686,73,24
birmingham,government - state,687,73,24
birmingham,government - state,688,73,24
birmingham,government - state,689,73,24
birminxham,government - state,690,74,1
tallassee,voluntary non-profit - private,691,75,24
tallassee,voluntary non-profit - private,692,75,24
tallassee,voluntary non-profit - private,693,75,24
tallassee,voluntary non-profit - private,694,75,24
tallassee,voluntary non-profit - private,695,75,24
tallaxxee,voluntary non-profit - private,696,76,1
tallassee,voluntary non-profit - private,697,75,24
tallassee,voluntary non-profit - private,698,75,24
tallassee,voluntary non-profit - private,699,75,24
tallassee,voluntary non-profit - private,700,75,24
tallassee,voluntary non-profit - private,701,75,24
tallassee,voluntary non-profit - private,702,75,24
tallassee,voluntary non-profit - private,703,75,24
tallassee,voluntary non-profit - private,704,75,24
tallassee,voluntary non-profit - private,705,75,24
tallassee,voluntary non-profit - private,706,75,24
tallassee,voluntary non-profit - private,707,75,24
tallassee,voluntary non-profit - private,708,75,24
tallassee,voluntary non-profit - private,709,75,24
tallassee,voluntary non-profit - private,710,75,24
tallassee,voluntary non-profit - private,711,75,24
tallassee,voluntary non-profit - private,712,75,24
tallassee,voluntary non-profit - private,713,75,24
tallassee,voluntary non-profit - private,714,75,24
tallassee,voluntary non-profit - private,715,75,24
cullman,government - hospital district or authority,716,77,24
cullman,government - hospital district or authority,717,77,24
cullman,government - hospital district or authority,718,77,24
cullman,government - hospital district or authority,719,77,24
