HospitalName,original_index,unique_index,count
dekalb regional medical center,226,13,24
dekalb regional medical center,227,13,24
dekalb regional medical center,228,13,24
dekalb regional medical center,229,13,24
dekalb regional medical center,230,13,24
dekalb regional medical center,231,13,24
dekalb regional medical center,232,13,24
dekalb regional medical center,233,13,24
dekalb regional medical center,234,13,24
dekalb regional medical center,235,13,24
dekalb regional medical center,236,13,24
dekalb regional medical center,237,13,24
dekalb regional medical center,238,13,24
dekalb regional medical center,239,13,24
dekalb regional medical center,240,13,24
dekalb regional medical center,241,13,24
dekalb regional medical center,242,13,24
dexalb regional medical center,243,14,1
southwest alabama medical center,244,15,25
southwest alabama medical center,245,15,25
southwest alabama medical center,246,15,25
southwest alabama medical center,247,15,25
southwest alabama medical center,248,15,25
southwest alabama medical center,249,15,25
southwest alabama medical center,250,15,25
southwest alabama medical center,251,15,25
southwest alabama medical center,252,15,25
southwest alabama medical center,253,15,25
southwest alabama medical center,254,15,25
southwest alabama medical center,255,15,25
southwest alabama medical center,256,15,25
southwest alabama medical center,257,15,25
southwest alabama medical center,258,15,25
southwest alabama medical center,259,15,25
southwest alabama medical center,260,15,25
southwest alabama medical center,261,15,25
southwest alabama medical center,262,15,25
southwest alabama medical center,263,15,25
southwest alabama medical center,264,15,25
southwest alabama medical center,265,15,25
southwest alabama medical center,266,15,25
southwest alabama medical center,267,15,25
southwest alabama medical center,268,15,25
shelby baptist medical center,269,16,25
shelby baptist medical center,270,16,25
shelby baptist medical center,271,16,25
shelby baptist medical center,272,16,25
shelby baptist medical center,273,16,25
shelby baptist medical center,274,16,25
shelby baptist medical center,275,16,25
shelby baptist medical center,276,16,25
shelby baptist medical center,277,16,25
shelby baptist medical center,278,16,25
shelby baptist medical center,279,16,25
shelby baptist medical center,280,16,25
shelby baptist medical center,281,16,25
shelby baptist medical center,282,16,25
shelby baptist medical center,283,16,25
shelby baptist medical center,284,16,25
shelby baptist medical center,285,16,25
shelby baptist medical center,286,16,25
shelby baptist medical center,287,16,25
shelby baptist medical center,288,16,25
shelby baptist medical center,289,16,25
shelby baptist medical center,290,16,25
shelby baptist medical center,291,16,25
shelby baptist medical center,292,16,25
shelby baptist medical center,293,16,25
callahan eye foundation hospital,294,0,25
callahan eye foundation hospital,295,0,25
callahan eye foundation hospital,296,0,25
callahan eye foundation hospital,297,0,25
callahan eye foundation hospital,298,0,25
callahan eye foundation hospital,299,0,25
callahan eye foundation hospital,300,0,25
callahan eye foundation hospital,301,0,25
callahan eye foundation hospital,302,0,25
callahan eye foundation hospital,303,0,25
callahan eye foundation hospital,304,0,25
callahan eye foundation hospital,305,0,25
callahan eye foundation hospital,306,0,25
callahan eye foundation hospital,307,0,25
callahan eye foundation hospital,308,0,25
callahan eye foundation hospital,309,0,25
callahan eye foundation hospital,310,0,25
stringfellow memorial hospital,311,17,28
stringfellow memorial hospital,312,17,28
stringfellow memorial hospital,313,17,28
stringfellow memorial hospital,314,17,28
stringfellow memorial hospital,315,17,28
stringfellow memorial hospital,316,17,28
stringfellow memorial hospital,317,17,28
stringfellow memorial hospital,318,17,28
stringfellow memorial hospital,319,17,28
stringfellow memorial hospital,320,17,28
stringfellow memorial hospital,321,17,28
stringfellow memorial hospital,322,17,28
stringfellow memorial hospital,323,17,28
stringfellow memorial hospital,324,17,28
stringfellow memorial hospital,325,17,28
stringfellow memorial hospital,326,17,28
stringfellow memorial hospital,327,17,28
stringfellow memorial hospital,328,17,28
stringfellow memorial hospital,329,17,28
stringfellow memorial hospital,330,17,28
flowers hospital,331,18,16
flowers hospital,332,18,16
flowers hospital,333,18,16
flowers hospital,334,18,16
flowers hospital,335,18,16
flowers hospital,336,18,16
floxers hospital,337,19,1
flowers hospital,338,18,16
flowers hospital,339,18,16
flowers hospital,340,18,16
flowers hospital,341,18,16
flowers hospital,342,18,16
flowers hospital,343,18,16
flowers hospital,344,18,16
flowers hospital,345,18,16
flowers hospital,346,18,16
flowers hospital,347,18,16
st vincents hospital,348,20,5
st vincents hospital,349,20,5
st vincents hospital,350,20,5
st vincents hospital,351,20,5
st vincents hospital,352,20,5
decatur general hospital,353,21,1
northwest medical center,354,22,25
northwest medical center,355,22,25
northwest medical center,356,22,25
northwest medical center,357,22,25
northwest medical center,358,22,25
northwest medical center,359,22,25
northwest medical center,360,22,25
northwest medical center,361,22,25
northwest medical center,362,22,25
northwest medical center,363,22,25
northwest medical center,364,22,25
northwest medical center,365,22,25
northwest medical center,366,22,25
northwest medical center,367,22,25
northwest medical center,368,22,25
northwest medical center,369,22,25
northwest medical center,370,22,25
northwest medical center,371,22,25
northwest medical center,372,22,25
northwest medical center,373,22,25
northwest medical center,374,22,25
northwest medical center,375,22,25
northwest medical center,376,22,25
northwest medical center,377,22,25
northwest medical center,378,22,25
univ of south alabama medical center,379,23,11
univ of south alabama medical center,380,23,11
univ of south alabama medical center,381,23,11
univ of south alabama medical center,382,23,11
univ of south alabama medical center,383,23,11
univ ox south alabama medical center,384,24,1
xniv of soxth alabama medical center,385,25,1
univ of south alabama medical center,386,23,11
univ of south alabama medical center,387,23,11
univ of south alabama medical center,388,23,11
univ of south alabama medical center,389,23,11
univ of south alabama medical center,390,23,11
univ of south alabama medical center,391,23,11
prattville baptist hospital,392,26,20
prattville baptist hospital,393,26,20
prattville baptist hospital,394,26,20
prattville baptist hospital,395,26,20
prattville baptist hospital,396,26,20
prattville baptist hospital,397,26,20
prattville baptist hospital,398,26,20
prattville baptist hospital,399,26,20
prattville baptist hospital,400,26,20
prattville baptist hospital,401,26,20
prattville baptist hospital,402,26,20
prattville baptist hospital,403,26,20
prattville baptist hospital,404,26,20
prattville baptist hospital,405,26,20
prattville baptist hospital,406,26,20
prattville baptist hospital,407,26,20
prattville baptist hospital,408,26,20
prattville baptist hospital,409,26,20
prattville baptist hospital,410,26,20
prattville baptist hospital,411,26,20
russellville hospital,412,27,2
russellville hospital,413,27,2
coosa valley medical center,414,28,18
coosa valley medical center,415,28,18
coosa valley medical center,416,28,18
coosa valley medical center,417,28,18
coosa valley medical center,418,28,18
coosa valley medical center,419,28,18
coosa valley medical center,420,28,18
coosa valley medical center,421,28,18
coosa valley medical center,422,28,18
coosa valley medical center,423,28,18
coosa valley medical center,424,28,18
coosa valley medical center,425,28,18
coosa valley medical center,426,28,18
coosa valley medical center,427,28,18
coosa valley medical center,428,28,18
coosa valley medical center,429,28,18
coosa valley medical center,430,28,18
coosa valley medical center,431,28,18
alaska regional hospital,432,29,17
alaska regional hospital,433,29,17
alaska regional hospital,434,29,17
alaska regional hospital,435,29,17
alaska regional hospital,436,29,17
alaska regional hospital,437,29,17
alaska regional hospital,438,29,17
alaska regional hospital,439,29,17
alaska regional hospital,440,29,17
alaska regional hospital,441,29,17
alaska regional hospital,442,29,17
alaska regional hospital,443,29,17
alaska regional hospital,444,29,17
alaska regional hospital,445,29,17
alaska regional hospital,446,29,17
alaska regional hospital,447,29,17
xlxskx regionxl hospitxl,448,30,1
alaska regional hospital,449,29,17
yukon kuskokwim delta reg hospital,450,31,2
yukon kuskokwim delta reg hospital,451,31,2
helen keller memorial hospital,452,1,25
helen keller memorial hospital,453,1,25
helen keller memorial hospital,454,1,25
helen keller memorial hospital,455,1,25
helen keller memorial hospital,456,1,25
helen keller memorial hospital,457,1,25
helen keller memorial hospital,458,1,25
helen keller memorial hospital,459,1,25
helen keller memorial hospital,460,1,25
helen keller memorial hospital,461,1,25
helen keller memorial hospital,462,1,25
helen keller memorial hospital,463,1,25
helen keller memorial hospital,464,1,25
helen keller memorial hospital,465,1,25
dale medical center,466,32,25
dale medical center,467,32,25
dale medical center,468,32,25
dale medical center,469,32,25
dale medical center,470,32,25
dale medical center,471,32,25
dale medical center,472,32,25
dale medical center,473,32,25
dale medical center,474,32,25
dale medical center,475,32,25
dale medical center,476,32,25
dale medical center,477,32,25
dale medical center,478,32,25
dale medical center,479,32,25
dale medical center,480,32,25
dale medical center,481,32,25
dale medical center,482,32,25
dale medical center,483,32,25
dale medical center,484,32,25
dale medical center,485,32,25
dale medical center,486,32,25
dale medical center,487,32,25
dale medical center,488,32,25
dale medical center,489,32,25
dale medical center,490,32,25
cherokee medical center,491,33,25
cherokee medical center,492,33,25
cherokee medical center,493,33,25
cherokee medical center,494,33,25
cherokee medical center,495,33,25
cherokee medical center,496,33,25
cherokee medical center,497,33,25
cherokee medical center,498,33,25
cherokee medical center,499,33,25
cherokee medical center,500,33,25
cherokee medical center,501,33,25
cherokee medical center,502,33,25
cherokee medical center,503,33,25
cherokee medical center,504,33,25
cherokee medical center,505,33,25
cherokee medical center,506,33,25
cherokee medical center,507,33,25
cherokee medical center,508,33,25
cherokee medical center,509,33,25
cherokee medical center,510,33,25
cherokee medical center,511,33,25
cherokee medical center,512,33,25
cherokee medical center,513,33,25
cherokee medical center,514,33,25
cherokee medical center,515,33,25
baptist medical center south,516,34,24
baptist medical center south,517,34,24
baptist medical center south,518,34,24
baptist medical center south,519,34,24
baptist medical center south,520,34,24
baptist medical center south,521,34,24
baptist medical center south,522,34,24
baptist medical center south,523,34,24
baptist medical center south,524,34,24
baptist medical center south,525,34,24
baptist medical center south,526,34,24
baptist medical center south,527,34,24
baptist medical center south,528,34,24
baptist medical center south,529,34,24
baptist medical center south,530,34,24
baptist medical center south,531,34,24
baptist medical cexter south,532,35,1
baptist medical center south,533,34,24
baptist medical center south,534,34,24
baptist medical center south,535,34,24
baptist medical center south,536,34,24
baptist medical center south,537,34,24
baptist medical center south,538,34,24
baptist medical center south,539,34,24
baptist medical center south,540,34,24
jackson hospital & clinic inc,541,36,24
jackson hospital & clinic inc,542,36,24
jackson hospital & clinic inc,543,36,24
jackson hospital & clinic inc,544,36,24
jackson hospital & clinic inc,545,36,24
jackson hospital & clinic inc,546,36,24
jackson hospital & clinic inc,547,36,24
jackson hospital & clinic inc,548,36,24
jackson hospital & clinic inc,549,36,24
jackson hospital & clinic inc,550,36,24
jackson hospital & clinic inc,551,36,24
jackson hospital & clinic inc,552,36,24
jackson hospital & clinic inc,553,36,24
jackson hospital & clinic inc,554,36,24
jackson hospital & clinic inc,555,36,24
jackson hospital & clinic inc,556,36,24
jackson hospital & clinic inc,557,36,24
jackson hospital & clinic inc,558,36,24
jackson hospital & clinic inc,559,36,24
jaxkson hospital & xlinix inx,560,37,1
jackson hospital & clinic inc,561,36,24
jackson hospital & clinic inc,562,36,24
jackson hospital & clinic inc,563,36,24
jackson hospital & clinic inc,564,36,24
jackson hospital & clinic inc,565,36,24
g h lanier memorial hospital,566,38,25
g h lanier memorial hospital,567,38,25
g h lanier memorial hospital,568,38,25
g h lanier memorial hospital,569,38,25
g h lanier memorial hospital,570,38,25
g h lanier memorial hospital,571,38,25
g h lanier memorial hospital,572,38,25
g h lanier memorial hospital,573,38,25
g h lanier memorial hospital,574,38,25
g h lanier memorial hospital,575,38,25
g h lanier memorial hospital,576,38,25
g h lanier memorial hospital,577,38,25
g h lanier memorial hospital,578,38,25
g h lanier memorial hospital,579,38,25
g h lanier memorial hospital,580,38,25
g h lanier memorial hospital,581,38,25
g h lanier memorial hospital,582,38,25
g h lanier memorial hospital,583,38,25
g h lanier memorial hospital,584,38,25
g h lanier memorial hospital,585,38,25
g h lanier memorial hospital,586,38,25
g h lanier memorial hospital,587,38,25
g h lanier memorial hospital,588,38,25
g h lanier memorial hospital,589,38,25
g h lanier memorial hospital,590,38,25
elba general hospital,591,39,25
elba general hospital,592,39,25
elba general hospital,593,39,25
elba general hospital,594,39,25
elba general hospital,595,39,25
elba general hospital,596,39,25
elba general hospital,597,39,25
elba general hospital,598,39,25
elba general hospital,599,39,25
elba general hospital,600,39,25
elba general hospital,601,39,25
elba general hospital,602,39,25
elba general hospital,603,39,25
elba general hospital,604,39,25
elba general hospital,605,39,25
elba general hospital,606,39,25
elba general hospital,607,39,25
elba general hospital,608,39,25
elba general hospital,609,39,25
elba general hospital,610,39,25
elba general hospital,611,39,25
elba general hospital,612,39,25
elba general hospital,613,39,25
elba general hospital,614,39,25
elba general hospital,615,39,25
east alabama medical center and snf,616,40,25
east alabama medical center and snf,617,40,25
east alabama medical center and snf,618,40,25
east alabama medical center and snf,619,40,25
east alabama medical center and snf,620,40,25
east alabama medical center and snf,621,40,25
east alabama medical center and snf,622,40,25
east alabama medical center and snf,623,40,25
east alabama medical center and snf,624,40,25
east alabama medical center and snf,625,40,25
east alabama medical center and snf,626,40,25
east alabama medical center and snf,627,40,25
east alabama medical center and snf,628,40,25
east alabama medical center and snf,629,40,25
east alabama medical center and snf,630,40,25
east alabama medical center and snf,631,40,25
east alabama medical center and snf,632,40,25
east alabama medical center and snf,633,40,25
east alabama medical center and snf,634,40,25
east alabama medical center and snf,635,40,25
east alabama medical center and snf,636,40,25
east alabama medical center and snf,637,40,25
east alabama medical center and snf,638,40,25
east alabama medical center and snf,639,40,25
east alabama medical center and snf,640,40,25
wedowee hospital,641,41,24
wedowee hospital,642,41,24
wedowee hospital,643,41,24
wedowee hospital,644,41,24
wedowee hospital,645,41,24
wedowee hospital,646,41,24
wedowee hospital,647,41,24
wedowee hospital,648,41,24
wedowee hospital,649,41,24
wedowee hospital,650,41,24
wedowee hospital,651,41,24
wedowee hospital,652,41,24
wedowee hospital,653,41,24
wedowee hosxital,654,42,1
wedowee hospital,655,41,24
wedowee hospital,656,41,24
wedowee hospital,657,41,24
wedowee hospital,658,41,24
wedowee hospital,659,41,24
wedowee hospital,660,41,24
wedowee hospital,661,41,24
wedowee hospital,662,41,24
wedowee hospital,663,41,24
wedowee hospital,664,41,24
wedowee hospital,665,41,24
university of alabama hospital,666,43,25
university of alabama hospital,667,43,25
university of alabama hospital,668,43,25
university of alabama hospital,669,43,25
university of alabama hospital,670,43,25
university of alabama hospital,671,43,25
university of alabama hospital,672,43,25
university of alabama hospital,673,43,25
university of alabama hospital,674,43,25
university of alabama hospital,675,43,25
university of alabama hospital,676,43,25
university of alabama hospital,677,43,25
university of alabama hospital,678,43,25
university of alabama hospital,679,43,25
university of alabama hospital,680,43,25
university of alabama hospital,681,43,25
university of alabama hospital,682,43,25
university of alabama hospital,683,43,25
university of alabama hospital,684,43,25
university of alabama hospital,685,43,25
university of alabama hospital,686,43,25
university of alabama hospital,687,43,25
university of alabama hospital,688,43,25
university of alabama hospital,689,43,25
university of alabama hospital,690,43,25
community hospital inc,691,44,23
community hospital inc,692,44,23
community hospital inc,693,44,23
community hospital inc,694,44,23
community hospital inc,695,44,23
community hospital inc,696,44,23
communitx hospital inc,697,45,1
community hospital inc,698,44,23
community hospital inc,699,44,23
community hospital inc,700,44,23
community hospital inc,701,44,23
community hospital inc,702,44,23
community hospital inc,703,44,23
community hospital inc,704,44,23
community hospital inc,705,44,23
community hospital inc,706,44,23
community hospital inc,707,44,23
community hospital inc,708,44,23
community hospital inc,709,44,23
communixy hospixal inc,710,46,1
community hospital inc,711,44,23
community hospital inc,712,44,23
community hospital inc,713,44,23
community hospital inc,714,44,23
community hospital inc,715,44,23
cullman regional medical center,716,47,24
cullman regional medical center,717,47,24
cullman regional medical center,718,47,24
cullman regional medical center,719,47,24
cullman regional medical center,720,47,24
cullman regional medical center,721,47,24
cullman regional medical center,722,47,24
cullman regional medical center,723,47,24
cullman regional medical center,724,47,24
cullman regional medical center,725,47,24
cullman regional medical center,726,47,24
cullman regional medical center,727,47,24
cullman regional medical center,728,47,24
cullman regional medical center,729,47,24
cullmxn regionxl medicxl center,730,48,1
cullman regional medical center,731,47,24
cullman regional medical center,732,47,24
cullman regional medical center,733,47,24
cullman regional medical center,734,47,24
cullman regional medical center,735,47,24
cullman regional medical center,736,47,24
cullman regional medical center,737,47,24
cullman regional medical center,738,47,24
cullman regional medical center,739,47,24
cullman regional medical center,740,47,24
andalusia regional hospital,741,49,23
andalusia regional hospital,742,49,23
andalusia regional hospital,743,49,23
andalusia regional hospital,744,49,23
andalusia regional hospital,745,49,23
andalusia regional hospital,746,49,23
andalusia regional hospital,747,49,23
andalusia regional hospital,748,49,23
andalusia regional hospital,749,49,23
andalusia regional hospital,750,49,23
andalusia regional hospital,751,49,23
andalusia regional hospital,752,49,23
andalusia regional hospital,753,49,23
andalusia regional hospital,754,49,23
andalusia regional hospital,755,49,23
andalusia regional hospital,756,49,23
andalusia regional hospital,757,49,23
andaxusia regionax hospitax,758,50,1
andalusia regional hospital,759,49,23
andalusia regional hospital,760,49,23
andalusia regional hospital,761,49,23
andalusia regional hospital,762,49,23
andalusia regional hospital,763,49,23
andalusia regional hospital,764,49,23
andaluxia regional hoxpital,765,51,1
stringfellow memorial hospital,766,17,28
stringfellow memorial hospital,767,17,28
stringfellow memorial hospital,768,17,28
stringfellow memorial hospital,769,17,28
stringfellow memorial hospital,770,17,28
stringfellow memorial hospital,771,17,28
stringfellow memorial hospital,772,17,28
stringfellow memorial hospital,773,17,28
huntsville hospital,774,52,27
huntsville hospital,775,52,27
huntsville hospital,776,52,27
huntsvxlle hospxtal,777,53,1
huntsville hospital,778,52,27
huntsville hospital,779,52,27
huntsville hospital,780,52,27
huntsville hospital,781,52,27
huntsville hospital,782,52,27
huntsville hospital,783,52,27
huntsville hospital,784,52,27
huntsville hospital,785,52,27
huntsville hospital,786,52,27
huntsville hospital,787,52,27
huntsville hospital,788,52,27
huntsville hospital,789,52,27
huntsville hospital,790,52,27
huntsville hospital,791,52,27
huntsville hospital,792,52,27
huntsville hospital,793,52,27
huntsville hospital,794,52,27
huntsville hospital,795,52,27
huntsville hospital,796,52,27
huntsville hospital,797,52,27
huntsville hospital,798,52,27
huntsville hospital,799,52,27
huntsville hospital,800,52,27
huntsville hospital,801,52,27
gadsden regional medical center,802,54,25
gadsden regional medical center,803,54,25
gadsden regional medical center,804,54,25
gadsden regional medical center,805,54,25
gadsden regional medical center,806,54,25
gadsden regional medical center,807,54,25
gadsden regional medical center,808,54,25
gadsden regional medical center,809,54,25
gadsden regional medical center,810,54,25
gadsden regional medical center,811,54,25
gadsden regional medical center,812,54,25
gadsden regional medical center,813,54,25
gadsden regional medical center,814,54,25
gadsden regional medical center,815,54,25
gadsden regional medical center,816,54,25
gadsden regional medical center,817,54,25
gadsden regional medical center,818,54,25
gadsden regional medical center,819,54,25
gadsden regional medical center,820,54,25
gadsden regional medical center,821,54,25
gadsden regional medical center,822,54,25
gadsden regional medical center,823,54,25
gadsden regional medical center,824,54,25
gadsden regional medical center,825,54,25
gadsden regional medical center,826,54,25
chilton medical center,827,55,25
chilton medical center,828,55,25
chilton medical center,829,55,25
chilton medical center,830,55,25
chilton medical center,831,55,25
chilton medical center,832,55,25
chilton medical center,833,55,25
chilton medical center,834,55,25
chilton medical center,835,55,25
chilton medical center,836,55,25
chilton medical center,837,55,25
chilton medical center,838,55,25
chilton medical center,839,55,25
chilton medical center,840,55,25
chilton medical center,841,55,25
chilton medical center,842,55,25
chilton medical center,843,55,25
chilton medical center,844,55,25
chilton medical center,845,55,25
chilton medical center,846,55,25
chilton medical center,847,55,25
chilton medical center,848,55,25
chilton medical center,849,55,25
chilton medical center,850,55,25
chilton medical center,851,55,25
marion regional medical center,852,56,25
marion regional medical center,853,56,25
marion regional medical center,854,56,25
marion regional medical center,855,56,25
marion regional medical center,856,56,25
marion regional medical center,857,56,25
marion regional medical center,858,56,25
marion regional medical center,859,56,25
marion regional medical center,860,56,25
marion regional medical center,861,56,25
marion regional medical center,862,56,25
marion regional medical center,863,56,25
marion regional medical center,864,56,25
marion regional medical center,865,56,25
marion regional medical center,866,56,25
marion regional medical center,867,56,25
marion regional medical center,868,56,25
marion regional medical center,869,56,25
marion regional medical center,870,56,25
marion regional medical center,871,56,25
marion regional medical center,872,56,25
marion regional medical center,873,56,25
marion regional medical center,874,56,25
marion regional medical center,875,56,25
marion regional medical center,876,56,25
fayette medical center,877,57,25
fayette medical center,878,57,25
fayette medical center,879,57,25
fayette medical center,880,57,25
fayette medical center,881,57,25
fayette medical center,882,57,25
fayette medical center,883,57,25
fayette medical center,884,57,25
fayette medical center,885,57,25
fayette medical center,886,57,25
fayette medical center,887,57,25
fayette medical center,888,57,25
fayette medical center,889,57,25
fayette medical center,890,57,25
fayette medical center,891,57,25
fayette medical center,892,57,25
fayette medical center,893,57,25
fayette medical center,894,57,25
fayette medical center,895,57,25
fayette medical center,896,57,25
fayette medical center,897,57,25
fayette medical center,898,57,25
fayette medical center,899,57,25
fayette medical center,900,57,25
fayette medical center,901,57,25
riverview regional medical center,902,58,25
rivxrvixw rxgional mxdical cxntxr,903,59,1
riverview regional medical center,904,58,25
riverview regional medical center,905,58,25
riverview regional medical center,906,58,25
riverview regional medical center,907,58,25
riverview regional medical center,908,58,25
riverview regional medical center,909,58,25
riverview regional medical center,910,58,25
riverview regional medical center,911,58,25
riverview regional medical center,912,58,25
riverview regional medical center,913,58,25
riverview regional medical center,914,58,25
riverview regional medical center,915,58,25
