HospitalType,original_index,unique_index
acute care hospitals,119,0
acute care hospitals,120,0
acute care hospitals,121,0
acute care hospitals,122,0
acute care hospitals,123,0
acute care hospitals,124,0
acute care hospitals,125,0
acute care hospitals,126,0
acute care hospitals,127,0
acute care hospitals,128,0
acute care hospitals,129,0
acute care hospitals,130,0
acute care hospitals,131,0
acute care hospitals,132,0
acute care hospitals,133,0
acute care hospitals,134,0
acute care hospitals,135,0
acute care hospitals,136,0
acute care hospitals,137,0
acute care hospitals,138,0
acute care hospitals,139,0
acute care hospitals,140,0
acute care hospitals,141,0
acute care hospitals,142,0
acute care hospitals,143,0
acute care hospitals,144,0
acute care hospitals,145,0
acute care hospitals,146,0
acute care hospitals,147,0
acute care hospitals,148,0
acute care hospitals,149,0
acute care hospitals,150,0
acute care hospitals,151,0
acute care hospitals,152,0
acute care hospitals,153,0
acute care hospitals,154,0
acute care hospitals,155,0
acute care hospitals,156,0
acute care hospitals,157,0
acute care hospitals,158,0
acute care hospitals,159,0
acute care hospitals,160,0
acute care hospitals,161,0
acute care hospitals,162,0
acute care hospitals,163,0
acute care hospitals,164,0
acute care hospitals,165,0
acute care hospitals,166,0
acute care hospitals,167,0
acute care hospitals,168,0
acute care hospitals,169,0
acute care hospitals,170,0
acute care hospitals,171,0
acute care hospitals,172,0
acute care hospitals,173,0
acute care hospitals,174,0
acute care hospitals,175,0
acute care hospitals,176,0
acute care hospitals,177,0
acute care hospitals,178,0
acute care hospitals,179,0
acute care hospitals,180,0
acute care hospitals,181,0
acute care hospitals,182,0
acute care hospitals,183,0
acute care hospitals,184,0
acute care hospitals,185,0
acute care hospitals,186,0
acute care hospitals,187,0
acute care hospitals,188,0
acute care hospitals,189,0
acute care hospitals,190,0
acute care hospitals,191,0
acute care hospitals,192,0
acute care hospitals,193,0
acute care hospitals,194,0
acute care hospitals,195,0
acute care hospitals,196,0
acute care hospitals,197,0
acute care hospitals,198,0
acute care hosxitals,199,3
acute care hospitals,200,0
acute care hospitals,201,0
acute care hospitals,202,0
acute care hospitals,203,0
acute care hospitals,204,0
acute care hospitals,205,0
acute care hospitals,206,0
acute care hospitals,207,0
acute care hospitals,208,0
acute care hospitals,209,0
acute care hospitals,210,0
acute care hospitals,211,0
acute care hospitals,212,0
acutx carx hospitals,213,4
acute care hospitals,214,0
acute care hospitals,215,0
acute care hospitals,216,0
acute care hospitals,217,0
acute care hospitals,218,0
acute care hospitals,219,0
acute care hospitals,220,0
acute care hospitals,221,0
acute care hospitals,222,0
acute care hospitals,223,0
acute care hospitals,224,0
acute care hospitals,225,0
acute care hospitals,226,0
acute care hospitals,227,0
acute care hospitals,228,0
acute care hospitals,229,0
acute care hospitals,230,0
acute care hospitals,231,0
acute care hospitals,232,0
acute care hospitals,233,0
acute care hospitals,234,0
acute care hospitals,235,0
acute care hospitals,236,0
acute care hospitals,237,0
acute care hospitals,238,0
acute care hospitals,239,0
acute care hospitals,240,0
acute care hospitals,241,0
acute care hospitals,242,0
acute care hospitals,243,0
acute care hospitals,244,0
acute care hospitals,245,0
acute care hospitals,246,0
acute care hospitals,247,0
acute care hospitals,248,0
acute care hospitals,249,0
acute care hospitals,250,0
acute care hospitals,251,0
acute care hospitals,252,0
acute care hospitals,253,0
acute care hospitals,254,0
acute care hospitals,255,0
acute care hospitals,256,0
acute care hospitals,257,0
acute care hospitals,258,0
acute care hospitals,259,0
acute care hospitals,260,0
acute care hospitals,261,0
acute care hospitals,262,0
acute care hospitals,263,0
acute care hospitals,264,0
acute care hospitals,265,0
acuxe care hospixals,266,1
acute care hospitals,267,0
acute care hospitals,268,0
acute care hospitals,269,0
acute care hospitals,270,0
acute care hospitals,271,0
acute care hospitals,272,0
acute care hospitals,273,0
acute care hospitals,274,0
acute care hospitals,275,0
acute care hospitals,276,0
acute care hospitals,277,0
acute care hospitals,278,0
acute care hospitals,279,0
acutexcarexhospitals,280,5
acute care hospitals,281,0
acute care hospitals,282,0
acute care hospitals,283,0
acute care hospitals,284,0
acute care hospitals,285,0
acute care hospitals,286,0
acute care hospitals,287,0
acute care hospitals,288,0
acute care hospitals,289,0
acute care hospitals,290,0
acute care hospitals,291,0
acute care hospitals,292,0
acuxe care hospixals,293,1
acute care hospitals,294,0
acute care hospitals,295,0
acute care hospitals,296,0
acute care hospitals,297,0
acute care hospitals,298,0
acute care hospitals,299,0
acute care hospitals,300,0
acute care hospitals,301,0
acute care hospitals,302,0
acute care hospitals,303,0
acute care hospitals,304,0
acute care hospitals,305,0
acute care hospitals,306,0
acute care hospitals,307,0
acute care hospitals,308,0
acute care hospitals,309,0
acute care hospitals,310,0
acute care hospitals,311,0
acute care hospitals,312,0
acute care hospitals,313,0
acute care hospitals,314,0
acute care hospitals,315,0
acute care hospitals,316,0
acute care hospitals,317,0
acute care hospitals,318,0
acute care hospitals,319,0
acute care hospitals,320,0
acute care hospitals,321,0
acute care hospitals,322,0
acute care hospitals,323,0
acute care hospitals,324,0
acute care hospitals,325,0
acute care hospitals,326,0
acute care hospitals,327,0
acute care hospitals,328,0
acute care hospitals,329,0
acute care hospitals,330,0
acute care hospitals,331,0
acute care hospitals,332,0
acute care hospitals,333,0
acute care hospitals,334,0
acute care hospitals,335,0
acute care hospitals,336,0
acute care hospitals,337,0
acute care hospitals,338,0
acute care hospitals,339,0
acute care hospitals,340,0
acute care hospitals,341,0
acute care hospitals,342,0
acute care hospitals,343,0
acute care hospitals,344,0
acute care hospitals,345,0
acute care hospitals,346,0
acute care hospitals,347,0
acute care hospitals,348,0
acute care hospitals,349,0
acute care hospitals,350,0
acute care hospitals,351,0
acute care hospitals,352,0
acute care hospitals,353,0
acute care hospitals,354,0
acute care hospitals,355,0
acute care hospitals,356,0
acute care hospitals,357,0
acute care hospitals,358,0
acute care hospitals,359,0
acute care hospitals,360,0
acute care hospitals,361,0
acute care hospitals,362,0
acute care hospitals,363,0
acute care hospitals,364,0
acute care hospitals,365,0
acute care hospitals,366,0
acute care hospitals,367,0
acute care hospitals,368,0
acute care hospitals,369,0
acute care hospitals,370,0
acute care hospitals,371,0
acute care hospitals,372,0
acute care hospitals,373,0
acute care hospitals,374,0
acute care hospitals,375,0
acute care hospitals,376,0
acute care hospitals,377,0
acute care hospitals,378,0
acute care hospitals,379,0
acute care hospitals,380,0
acute care hospitals,381,0
acute care hospitals,382,0
acute care hospitals,383,0
acute care hospitals,384,0
acute care hospitals,385,0
acute care hospitals,386,0
acute care hospitals,387,0
acute care hospitals,388,0
acute care hospitals,389,0
acute care hospitals,390,0
acute care hospitals,391,0
acute care hospitals,392,0
acute care hospitals,393,0
acute care hospitals,394,0
acute care hospitals,395,0
acute care hospitals,396,0
acute care hospitals,397,0
acute care hospitals,398,0
acute care hospitals,399,0
acute care hospitals,400,0
acute care hospitals,401,0
acute care hospitals,402,0
acute care hospitals,403,0
acute care hospitals,404,0
acute care hospitals,405,0
acute care hospitals,406,0
acute care hospitals,407,0
acute care hospitals,408,0
acute care hospitals,409,0
acute care hospitals,410,0
acute care hosxitals,411,3
acute care hospitals,412,0
acuxe care hospixals,413,1
acute care hospitals,414,0
acute care hospitals,415,0
acute care hospitals,416,0
acute care hospitals,417,0
acute care hospitals,418,0
acute care hospitals,419,0
acute care hospitals,420,0
acute care hospitals,421,0
acute care hospitals,422,0
acute care hospitals,423,0
acute care hospitals,424,0
acute care hospitals,425,0
acute care hospitals,426,0
acute care hospitals,427,0
acute care hospitals,428,0
acute care hospitals,429,0
acute care hospitals,430,0
acute care hospitals,431,0
acute care hospitals,432,0
acute care hospitals,433,0
acute care hospitals,434,0
acute care hospitals,435,0
acute care hospitals,436,0
acute care hospitals,437,0
acute care hospitals,438,0
acute care hospitals,439,0
acute care hospitals,440,0
acute care hospitals,441,0
acute care hospitals,442,0
acute care hospitals,443,0
acute care hospitals,444,0
acute care hospitals,445,0
acute care hospitals,446,0
acute care hospitals,447,0
acute care hospitals,448,0
acute care hospitals,449,0
acute care hospitals,450,0
acute care hospitals,451,0
acute care hospitals,452,0
acute care hospitaxs,453,6
acute care hospitals,454,0
acute care hospitals,455,0
acute care hospitals,456,0
acute care hospitals,457,0
acute care hospitals,458,0
acute care hospitals,459,0
acute care hospitals,460,0
acute care hospitals,461,0
acute care hospitals,462,0
acute care hospitals,463,0
acute care hospitals,464,0
acute care hospitals,465,0
acute care hospitals,466,0
acute care hospitals,467,0
acute care hospitals,468,0
acute care hospitals,469,0
acute care hospitals,470,0
acute care hospitals,471,0
acute care hospitals,472,0
acute care hospitals,473,0
acute care hospitals,474,0
acute care hospitals,475,0
acute care hospitals,476,0
acute care hospitals,477,0
acute care hospitals,478,0
acute care hospitals,479,0
acute care hospitals,480,0
acute care hospitals,481,0
acute care hospitals,482,0
acute care hospitals,483,0
acute care hospitals,484,0
acute care hospitals,485,0
acute care hospitals,486,0
acute care hospitals,487,0
acute care hospitals,488,0
acute care hospitals,489,0
acute caxe hospitals,490,7
acute care hospitals,491,0
acute care hospitals,492,0
acute care hxspitals,493,8
acute care hospitals,494,0
acute care hospitals,495,0
acute care hospitals,496,0
acutx carx hospitals,497,4
acute care hospitals,498,0
acute care hospitals,499,0
acute care hospitals,500,0
acute care hospitals,501,0
acute care hospitals,502,0
acute care hospitals,503,0
acute care hospitals,504,0
acute care hospitals,505,0
acute care hospitals,506,0
acute care hospitals,507,0
acute care hospitals,508,0
acute care hospitals,509,0
acute care hospitals,510,0
acuxe care hospixals,511,1
acute care hospitals,512,0
acute care hospitals,513,0
acute care hospitals,514,0
acute care hospitals,515,0
acute care hospitals,516,0
acute care hospitals,517,0
acute care hospitals,518,0
acute care hospitals,519,0
acute care hospitals,520,0
acute care hospitals,521,0
acute care hospitals,522,0
acute care hospitals,523,0
acute care hospitals,524,0
acute care hospitals,525,0
acute care hospitals,526,0
acute care hospitals,527,0
acute care hospitals,528,0
acute care hospitals,529,0
acute care hospitals,530,0
acute care hospitals,531,0
acute care hosxitals,532,3
acute care hospitals,533,0
acute care hospitals,534,0
acute care hospitals,535,0
acute care hospitals,536,0
acute care hospitals,537,0
acute care hospitals,538,0
acute care hospitals,539,0
acute care hospitals,540,0
acute care hospitals,541,0
acute care hospitals,542,0
acute care hospitals,543,0
acute care hospitals,544,0
acute care hospitals,545,0
acute care hospitals,546,0
acute care hospitals,547,0
acute care hospitals,548,0
acute care hospitals,549,0
acute care hospitals,550,0
acute care hospitals,551,0
acute care hospitals,552,0
acute care hospitals,553,0
acute care hospitals,554,0
acute care hospitals,555,0
acute care hospitals,556,0
acute care hospitals,557,0
acute care hospitals,558,0
acute care hospitals,559,0
acute care hospitals,560,0
acute care hospitals,561,0
acute care hospitals,562,0
acute care hospitals,563,0
acute care hospitals,564,0
acute care hospitals,565,0
acute care hospitals,566,0
acute care hospitals,567,0
acute care hospitals,568,0
acute care hospitals,569,0
acute care hospitals,570,0
acute care hospitals,571,0
acute care hospitals,572,0
acute care hospitals,573,0
acute care hospitals,574,0
acute care hospitals,575,0
acute care hospitals,576,0
acute care hospitals,577,0
acute care hospitals,578,0
acute care hospitals,579,0
acute care hospitals,580,0
acute care hospitals,581,0
acute care hospitals,582,0
acute care hospitals,583,0
acute care hospitals,584,0
acute care hospitals,585,0
acute care hospitals,586,0
acute care hospitals,587,0
acuxe care hospixals,588,1
acute care hospitals,589,0
acute care hospitals,590,0
acute care hospitals,591,0
acute care hospitals,592,0
acute care hospitals,593,0
acute care hospitals,594,0
acute care hospitals,595,0
acute care hospitals,596,0
acute care hospitals,597,0
acute care hospitals,598,0
acute care hospitals,599,0
acute care hospitals,600,0
acute care hospitals,601,0
acute care hospitals,602,0
acute care hospitals,603,0
acute care hospitals,604,0
acute care hospitals,605,0
acute care hospitals,606,0
acute care hospitals,607,0
acute care hospitals,608,0
acute care hospitals,609,0
acute care hospitals,610,0
acute care hospitals,611,0
acute care hospitals,612,0
acute care hospitals,613,0
acute care hospitals,614,0
acute care hospitals,615,0
acute care hospitals,616,0
acute care hospitals,617,0
acute care hospitals,618,0
acute care hospitals,619,0
acute care hospitals,620,0
acute care hospitals,621,0
acute care hospitals,622,0
acute care hospitals,623,0
acute care hospitals,624,0
acute care hospitals,625,0
acute care hospitals,626,0
acute care hospitals,627,0
acute care hospitals,628,0
acute care hospitals,629,0
acute care hospitals,630,0
acute care hospitals,631,0
acute care hospitals,632,0
acute care hospitals,633,0
acuxe care hospixals,634,1
acute care hospitals,635,0
acute care hospitals,636,0
acute care hospitals,637,0
acute care hospitals,638,0
acute care hospitals,639,0
acute care hospitals,640,0
acute care hospitals,641,0
acute care hospitals,642,0
acute care hospitals,643,0
acute care hospitals,644,0
acute care hospitals,645,0
acute care hospitals,646,0
acute care hospitals,647,0
acute care hospitals,648,0
acute care hospitals,649,0
acute care hospitals,650,0
acute care hospitals,651,0
acute care hospitals,652,0
acute care hospitals,653,0
acute care hospitals,654,0
acute care hospitals,655,0
acute care hospitals,656,0
acute care hospitals,657,0
acute care hospitals,658,0
acute care hospitals,659,0
acute care hospitals,660,0
acute care hospitals,661,0
acute care hospitals,662,0
acute care hospitals,663,0
acute care hospitals,664,0
acute care hospitals,665,0
acute care hospitals,666,0
acute care hospitals,667,0
acute care hospitals,668,0
acute care hospitals,669,0
acute care hospitals,670,0
acute care hospitals,671,0
acute care hospitals,672,0
acute care hospitals,673,0
acute care hospitals,674,0
acute care hospitals,675,0
acute care hospitals,676,0
acute care hospitals,677,0
acute care hospitals,678,0
acute care hospitals,679,0
acute care hospitals,680,0
acute care hospitals,681,0
acute care hospitals,682,0
acute care hospitals,683,0
acute care hospitals,684,0
acute care hospitals,685,0
acute care hospitals,686,0
acute care hospitals,687,0
acute care hospitals,688,0
acute care hospitals,689,0
acute care hospitals,690,0
acute care hospitals,691,0
acute care hospitals,692,0
acute care hospitals,693,0
acute care hospitals,694,0
acute cxre hospitxls,695,9
acute care hospitals,696,0
acute care hospitals,697,0
acute care hospitals,698,0
acute care hospitals,699,0
acute care hospitals,700,0
acute care hospitals,701,0
acute care hospitals,702,0
acute care hospitals,703,0
acute care hospitals,704,0
acutexcarexhospitals,705,5
acute care hospitals,706,0
acute care hospitals,707,0
acute care hospitals,708,0
acute care hospitals,709,0
acute care hospitals,710,0
acute care hospitals,711,0
acute care hospitals,712,0
acute care hospitals,713,0
acute care hospitals,714,0
acute care hospitals,715,0
acute care hospitals,716,0
acute care hospitals,717,0
acute care hospitals,718,0
acute care hospitals,719,0
acute care hospitals,720,0
acute care hospitals,721,0
acute care hospitals,722,0
acute care hospitals,723,0
acute care hospitals,724,0
acute care hospitals,725,0
acute care hospitals,726,0
acute care hospitals,727,0
acute care hospitals,728,0
acutexcarexhospitals,729,5
acute care hospitals,730,0
acute care hospitals,731,0
acute care hospitals,732,0
acute care hospitals,733,0
acute care hospitals,734,0
acute care hospitals,735,0
acute care hospitals,736,0
acute care hospitals,737,0
acute care hospitals,738,0
acute care hospitals,739,0
acute care hospitals,740,0
acute care hospitals,741,0
acute care hospitals,742,0
acute care hospitals,743,0
acute care hospitals,744,0
acute care hospitals,745,0
acute care hospitals,746,0
acute care hospitals,747,0
acute care hospitals,748,0
acute care hospitals,749,0
acute care hospitals,750,0
acute care hospitals,751,0
acute care hospitals,752,0
acute care hospitals,753,0
acute care hospitals,754,0
acute care hospitals,755,0
acute care hospitals,756,0
acute care hospitals,757,0
acute care hospitals,758,0
acute care hospitals,759,0
acute care hospitals,760,0
acute care hospitals,761,0
acute care hospitals,762,0
acute care hospitals,763,0
acute care hospitals,764,0
acute care hospitals,765,0
acute care hospitals,766,0
acute care hospitals,767,0
acute care hospitals,768,0
acute care hospitals,769,0
acute care hospitals,770,0
acute care hospitals,771,0
acute care hospitals,772,0
acute care hospitals,773,0
acute care hospitals,774,0
acute care hospitals,775,0
acute care hospitals,776,0
acute care hospitals,777,0
acute care hospitals,778,0
acutexcarexhospitals,779,5
acute care hospitals,780,0
acute care hospitals,781,0
acute care hospitaxs,782,6
acute care hospitals,783,0
acute care hospitals,784,0
acute care hospitals,785,0
acute care hospitals,786,0
acute care hospitals,787,0
acute care hospitals,788,0
acute care hospitals,789,0
acute care hospitals,790,0
acute care hospitals,791,0
acute care hospitals,792,0
acute care hospitals,793,0
acute care hospitals,794,0
acute care hospitals,795,0
acute care hospitals,796,0
acute care hospitals,797,0
acute care hospitals,798,0
acute care hospitals,799,0
acute care hospitals,800,0
acute care hospitals,801,0
acute care hospitals,802,0
acute care hospitals,803,0
acute care hospitals,804,0
acute care hospitals,805,0
acute care hospitals,806,0
acute care hospitals,807,0
acute care hospitals,808,0
acute care hospitals,809,0
acute care hospitals,810,0
acute care hospitals,811,0
acute care hospitals,812,0
acute care hospitals,813,0
axute care hospitals,814,10
acute care hospitals,815,0
acute care hospitals,816,0
acute care hospitals,817,0
acute care hospitals,818,0
acute care hospitals,819,0
acute care hospitals,820,0
acute care hospitals,821,0
acute care hospitals,822,0
acute care hospitals,823,0
acute care hospitals,824,0
acute care hospitals,825,0
acute care hospitals,826,0
acute care hospitals,827,0
acute care hospitals,828,0
acute care hospitals,829,0
acute care hospitals,830,0
acute care hospitals,831,0
acute care hospitals,832,0
acute care hospitals,833,0
acute care hospitals,834,0
acute care hospitals,835,0
acute care hospitals,836,0
acute care hospitals,837,0
acute care hospitals,838,0
acute care hospitals,839,0
acute care hospitals,840,0
acute care hospitals,841,0
acute care hospitals,842,0
acute care hospitals,843,0
acute care hospitals,844,0
acute care hospitals,845,0
acute care hospitals,846,0
acute care hospitals,847,0
acute caxe hospitals,848,7
acute care hospitals,849,0
acute care hospitals,850,0
acute care hospitals,851,0
acute care hospitals,852,0
acute care hospitals,853,0
acute care hospitals,854,0
acute care hospitals,855,0
acute care hospitals,856,0
acute care hospitals,857,0
acute care hospitals,858,0
acute care hospitals,859,0
acute care hospitals,860,0
acute care hospitals,861,0
acute care hospitals,862,0
acute care hospitals,863,0
acute care hospitals,864,0
acute care hospitals,865,0
acute care hospitals,866,0
acute care hospitals,867,0
acute care hospitals,868,0
acute care hospitals,869,0
acute care hospitals,870,0
acute care hospitals,871,0
acute care hospitals,872,0
acute care hospitals,873,0
acute care hospitals,874,0
acute care hospitals,875,0
acute care hospitals,876,0
acute care hoxpitalx,877,11
acute care hospitals,878,0
acute care hospitals,879,0
acute care hospitals,880,0
acute care hospitals,881,0
acute care hospitals,882,0
acute care hospitals,883,0
acute care hospitals,884,0
acute care hospitals,885,0
acute care hospitals,886,0
acute care hospitals,887,0
acute care hospitals,888,0
acute care hospitals,889,0
acute care hospitals,890,0
acute care hospitals,891,0
acute care hospitals,892,0
acute care hospitals,893,0
acute care hospitals,894,0
acute care hospitals,895,0
acute care hospitals,896,0
acute care hospitals,897,0
acute care hospitals,898,0
acute care hospitals,899,0
acute care hospitals,900,0
acute care hospitals,901,0
acutexcarexhospitals,902,5
acute care hospitals,903,0
acute care hospitals,904,0
acute care hospitals,905,0
acute care hospitals,906,0
acute care hospitals,907,0
acute care hospitals,908,0
acute care hospitals,909,0
acute care hospitals,910,0
acute care hospitals,911,0
acute care hospitals,912,0
acute care hospitals,913,0
acute care hospitals,914,0
acute care hospitals,915,0
acute care hospitals,916,0
acute care hospitals,917,0
acute care hospitals,918,0
acute care hospitals,919,0
acute care hospitals,920,0
acute care hospitals,921,0
acute care hospitals,922,0
acute care hospitals,923,0
acute care hospitals,924,0
acute care hospitals,925,0
acuxe care hospixals,926,1
acute care hospitals,927,0
acute care hospitals,928,0
acute care hospitals,929,0
acute care hospitals,930,0
acute care hospitals,931,0
acute care hospitals,932,0
acute care hospitals,933,0
acute care hospitals,934,0
acute care hospitals,935,0
acute care hospitals,936,0
acute care hospitals,937,0
acute care hospitals,938,0
acute care hospitals,939,0
acute care hospitals,940,0
acute care hospitals,941,0
acute care hospitals,942,0
acute care hospitals,943,0
acute care hospitals,944,0
acute care hospitals,945,0
acute care hospitals,946,0
acute care hospitals,947,0
acute care hospitals,948,0
acute care hosxitals,949,3
acute care hospitals,950,0
acute care hospitals,951,0
acute care hospitals,952,0
acute care hospitals,953,0
acute care hospitals,954,0
acute care hospitals,955,0
acute xare hospitals,956,12
acute care hospitals,957,0
acute care hospitals,958,0
acute care hospitals,959,0
acute care hospitals,960,0
acute care hospitals,961,0
acute care hospitals,962,0
acute care hospitals,963,0
acutexcarexhospitals,964,5
acute care hospitals,965,0
acute care hospitals,966,0
acute care hospitals,967,0
acute care hospitals,968,0
acute care hospitals,969,0
acute care hospitals,970,0
acute care hospitals,971,0
acute care hospitals,972,0
acute care hospitals,973,0
acute care hospitals,974,0
acute care hospitals,975,0
acutexcarexhospitals,976,5
acute care hospitals,977,0
acute care hospitals,978,0
acute care hospitals,979,0
acute care hospitals,980,0
acute care hospitals,981,0
acute care hospitals,982,0
acute care hospitals,983,0
acute care hospitals,984,0
acute care hospitals,985,0
acute care hospitals,986,0
acute care hospitals,987,0
acute care hospitals,988,0
acute care hospitals,989,0
acute care hospitals,990,0
acute care hospitals,991,0
acute care hospitals,992,0
acute care hospitals,993,0
acute care hospitals,994,0
acute care hospitals,995,0
acute care hospitals,996,0
acute care hospitals,997,0
acute care hospitals,998,0
acute care hospitals,999,0
