author_list,original_index,unique_index
"{""Ryan Holzwarth"",""Basir Tareen"",""Alicia Majkrzak"",""Darren Huber""}",61,61
"{""S. K. Choudhary"",""G. S. Gulati"",""P. Sharma"",""S. Talwar"",""B. Airan"",""S. Mishra""}",62,62
"{""S. H. Sicherer"",""D. Y. M. Leung""}",63,63
"{""Laura Giacinti"",""Silvia Ileana Fattoruso"",""Maria Grazia Arena"",""Luigi Di Lauro"",""Massimo Lopez"",""Domenico Sergi"",""Diana Giannarelli""}",64,64
"{""Allan I Binder""}",65,65
"{""C. E. Barber""}",66,66
"{""M. Pujol"",""P. Barrag��n"",""J.M. Tiraboschi"",""A. Imaz"",""M.́. Dom�_nguez"",""D. Podzamczer""}",67,67
"{""Rujun Zheng"",""Yulan Peng"",""Shuzhen Zhao"",""Hong Huang"",""Ii Liang"",""Xiaoli He""}",68,68
"{""O Ceki̤"",""C Batman""}",69,69
"{""Anas Younes"",""L Jeffrey Medeiros"",""Frederick Hagemeister"",""Maria Alma Rodriguez"",""Sima Jeha"",""Paolo Fiumara"",""Lynne V Abruzzo"",""John T Manning"",""Jorge Romaguera"",""Andre Goy"",""Dan Jones"",""Peter McLaughlin""}",70,70
"{""Cecilia Bj̦rkelund"",""Margaretha Jerlock""}",71,71
"{""Everard W Thornton"",""Carolyn A Young"",""Alan Tennant"",""John Ealing"",""Kevin Talbot"",""[Collective Name] UKMND-QoL Group"",""Chris J Gibbons"",""Pamela J Shaw""}",72,72
"{""Junge G"",""Rauer B"",""De Simone P"",""Fischer L"",""De Carlis L"",""Kaiser GM"",""Saliba F"",""Duvoux C"",""Metselaar HJ"",""Dong G"",""Nevens F"",""Fung JJ""}",73,73
"{""T K Dutta"",""Pampa Ch Toi"",""Bhawana A Badhe"",""L H Ghotekar"",""Debdatta Basu""}",74,74
"{""M. Mitka""}",75,75
"{""Alexa Stuifbergen"",""Martha Gene Meraviglia""}",76,76
"{""E. Bidat""}",77,77
"{""J Stilkind""}",78,78
"{""M. Martinengo"",""D. F. Ardenghi"",""G. Reali"",""G. Tripodi""}",79,79
"{""M. Hebbar"",""P. Fournier"",""O. Romano""}",80,80
"{""John T Sharp"",""Weng Kee Wong"",""Grace S Park"",""Harold E Paulus"",""MyungShin Oh"",""Richard H Gold"",""Dinesh Khanna""}",81,81
"{""Milagros M. Sessions"",""Kevin J. Miller""}",82,82
"{""E Huguet"",""O Porta"",""E Mart�_nez"",""I Mora"",""M Sim�_"",""J Pubill"",""J A Ortega"",""M T Castillo""}",83,83
"{""W. Hummig"",""J. Stechman Neto"",""L. F. Tonial""}",84,84
"{""Miquel S����nchez-Marr���"",""Geoff Holmes"",""Joaqu���_n Izquierdo"",""Joaquim Comas"",""Ioannis Athanasiadis"",""Karina Gibert""}",85,85
"{""Robert S Hoffman"",""Brian W Cotter"",""Barbara M Kirrane"",""Fermin Barrueto"",""Lewis S Nelson""}",86,86
"{""S. Gosavi"",""S. Gosavi""}",87,87
"{""W. T. Creasman"",""S. Pecorelli"",""J. L. Benedet"",""J. H. Shepherd""}",88,88
"{""S. Regina-Ribeiro"",""C. Tortoza"",""R. P. S. Lima"",""S. T. T. de Freitas"",""P. R. Lucareli"",""M. O. Lima"",""M. T. Pacheco"",""J. Gomes-Lucareli"",""R. A. Lopes-Martins""}",89,89
"{""Giovanni Teodori"",""Marta Leverone"",""Eraldo Occhetta"",""Miriam Bortnik"",""Paolo Marino"",""Marco Marcolongo""}",90,90
"{""B H Mbatchou Ngahane"",""G Devouassoux"",""H Baudrand"",""B Guibert"",""N Freymond"",""Y Pacheco"",""A Traverse-Glehen""}",91,91
"{""M. W. Martin"",""R. Saunders"",""S. Levin""}",92,92
"{""Melissa E. Dichter"",""Karin V. Rhodes""}",93,93
"{""A. A. Kaddis""}",94,94
"{""A. A. Mangoni""}",95,95
"{""N. Jakubik"",""L. Trzpil"",""F. Raciborski"",""U. Samolinska-Zawisza"",""L. Samoli̱ski"",""D. Paczesny"",""Z. Halat"",""J. Marszalkowska"",""B. Samolinski"",""P. Samel-Kowalik"",""A. Lusawa"",""J. Gutowska"",""A. Tomaszewska"",""A. Walkiewicz""}",96,96
"{""B. A. Burt""}",97,97
"{""Paola Scifo"",""Alessandro Del Maschio"",""Livio Luzi"",""Elena Meneghini"",""Alberto Battezzati"",""Gianluca Perseghin"",""Massimo Danna"",""Stefano Benedini""}",98,98
"{""Stensland SH"",""Sobal J""}",99,99
{NULL},100,46
"{""M. Tercedor S��nchez"",""J.A. Prieto Velasco""}",101,100
"{""A. Keliris"",""I. Koutsourelakis"",""A. Minaritzoglou"",""S. Zakynthinos""}",102,101
"{""Christos A Venetis"",""Basil C Tarlatzis"",""Konstantinos A Toulis"",""Efstratios M Kolibianakis"",""Dimitrios G Goulis"",""Ioannis Papadimas""}",103,102
"{""Fenlai Tan"",""Ji Jiang"",""Don Zhang"",""Dongyang Liu"",""Yingxiang Wang"",""Li Zhang"",""Pei Hu""}",104,103
"{""Sarah McGraw"",""Vida M Petronis"",""Charles S Carver"",""Nancy Avis"",""Kristie Long Foley"",""Deborah F Farmer"",""Roselyn G Smith"",""Kevin Smith""}",105,104
"{""Y. Fengying"",""Y. Hainai"",""W. Jianxiong"",""T. Sijie""}",106,105
"{""A. D. Hay"",""A. Lovering"",""C. Costelloe"",""A. Montgomery"",""D. Lewis"",""C. McNulty""}",107,106
"{""Noritoshi Nagaya"",""Kenji Kangawa""}",108,107
"{""D C Thompson"",""F P Rivara""}",109,108
"{""HongQiang Wang"",""Dwain K Irvin"",""Ashley Gragg"",""Xiao-xue Zhang"",""Christopher J Wheeler"",""Keith L Black"",""Lucia Veiga"",""Ryan Cordner"",""Mandana Zandian"",""Akanksha Panwar"",""Emmanuel Jouanneau"",""Yuying Zhai"",""Shyam Goverdhana"",""Armen Mardiros""}",110,109
"{""T. L. Davies"",""B. Bovill"",""S. Johnston"",""M. T. May"",""M. Gompels""}",111,110
"{""J. L. Hastings"",""G. Biolo"",""B. D. Levine"",""T. Tillery"",""R. M. Peshock"",""T. A. Dorfman"",""B. R. Macias"",""A. R. DA  - Jul DO  - 10.1152/japplphysiol.01162.2006 DP  - NLM ET  - 2007/03/24 Hargens"",""S. M. Schneider""}",112,111
{NULL},113,46
"{""A H Zwinderman"",""M Munneke"",""G J Tijhuis"",""Z de Jong"",""J M Hazes"",""T P Vliet Vlieland""}",114,112
{NULL},115,46
"{""B. L. Drinkwater"",""J. E. Denton"",""S. M. Horvath"",""P. B. Raven""}",116,113
"{""Denys T. Lau"",""Brass Buchanan Deandrea Glaser Guest Hodgson Huerta Lau Lau Miles Miller Parker-Oliver Raina Teno Weller Bostick"",""Celia Berdes"",""Jonathan Masin-Peters"",""Megan Ong""}",117,114
"{""G̩raldine Martin-Gaujard"",""Floriane Delphin-Combe"",""Isabelle Rouch"",""Solveig Relland"",""Pierre Krolak-Salmon""}",118,115
"{""Sheldon H. White""}",119,116
"{""P Talke"",""J Caldwell"",""B Dodsont"",""C A Richardson""}",120,117
"{""Peter J Winch"",""Mickey Chopra"",""Cynthia S Minkovitz"",""Debra Jackson"",""Alyssa B Sharkey""}",121,118
"{""Jai K Das"",""Zohra S Lassi"",""Zulfiqar A Bhutta"",""Guleshehwar Zahid"",""Aamer Imdad""}",122,119
"{""Yasunori Ota"",""Masaaki Noguchi"",""Kei-Ji Sugimoto"",""Hiroshi Izumi"",""Norio Komatsu"",""Nanae Yamaguchi"",""Hidenori Imai"",""Asami Shimada"",""Yasunobu Sekiguchi"",""Mutsumi Wakabayashi""}",123,120
"{""A. J. Ghia"",""V. J. Gonzalez"",""J. D. Tward"",""A. M. Stroup"",""D. K. Gaffney"",""L. Pappas""}",124,121
"{""V Cus�_"",""H Galvez"",""M Iriondo"",""J Campistol"",""I M��laga"",""A Garc�_a Cazorla""}",125,122
"{""A. Erol"",""J. B. Celik"",""I. Kara"",""A. Topal"",""S. Guven""}",126,123
"{""M. P. Bach"",""D. Cosic""}",127,124
"{""D J Sadler"",""R R Gray"",""B D Schouten"",""J M Bohnen"",""J K Wong"",""R Mustard"",""G Doyle"",""R A Pugash"",""J Sanabria""}",128,125
"{""di Raimondo D."",""Pinto A."",""Lucifora B."",""Tuttolomondo A."",""Licata G."",""Butt�� C.""}",129,126
"{""Jamehl L. Demons"",""Jeff D. Williamson"",""Kathryn E. Callahan"",""James Lovato"",""Janice S. Lawlor"",""Hal H. Atkinson"",""Ann Lambros"",""Franklin S. Watkins"",""Kaycee M. Sink"",""Brooke R. Davis"",""Mary F. Lyles""}",130,127
"{""Mayuko Saito"",""Susan Olender"",""Robert H Gilman"",""Christian T Bautista"",""Evelyn J Hsieh"",""Luz Caviedes"",""Kari Gillenwater"",""Jane Apgar"",""Pedro Moro"",""Andres G Lescano""}",131,128
{NULL},132,46
"{""Vicenzino B Bisset L, Beller E, Jull G, Brooks P, Darnell R""}",133,129
"{""L. Schlessinger"",""D. M. Eddy"",""R. Kahn""}",134,130
"{""G R Chalmers"",""K M Knutzen""}",135,131
"{""Dominic S Carreira"",""Ross M Borzykowski"",""John Kozy"",""Steven D Needell""}",136,132
"{""P. Tarraga-Lopez"",""J. M. Ocana-Lopez"",""J. Miguel-Clave"",""J. Solera-Albero"",""M. Cerdan-Oliver"",""M. A. Lopez-Cara"",""A. Celada-Rodriguez""}",137,133
"{""M. Goyal"",""S. Wiebe"",""M. D. Hill"",""F. M. Clement"",""J. H. Wong"",""M. A. Almekhlafi"",""D. Yavin""}",138,134
"{""J. DA  - May-Jun DO  - 10.4103/1119-3077.130253 DP  - NLM ET  - 2014/04/10 Wu"",""Q. Zhao"",""Y. Fan"",""Y. S. Liao""}",139,135
"{""M. D. Barton"",""J. Simon"",""J. E. Axon"",""S. Moss"",""S. G. Morris"",""D. J. Trott"",""S. Fury"",""M. Maiwald"",""P. Giffard"",""D. Jordan"",""P. Southwell""}",140,136
"{""C. C2  - Pmc2827243 C6  - Nihms132141 DA  - Oct DO  - 10.1053/j.gastro.2009.06.060 DP  - NLM ET  - 2009/07/15 Di Lorenzo"",""M. Saps"",""S. Nurko"",""P. Hyman"",""N. Youssef"",""A. Miranda"",""J. Cocjin""}",141,137
"{""R. Daniel"",""M. T. Ansari"",""L. Weeks"",""S. Doucette"",""A. Tsertsvadze"",""B. Skidmore"",""K. Singh"",""L. Gaudet"",""M. Walker"",""S. Tsouros""}",142,138
"{""A. Zyluk"",""P. Puchalski""}",143,139
"{""Abdi Rasekh"",""Jie Cheng"",""Ali Massumi"",""Michael R Ujhelyi"",""Vadim Levin"",""Mehdi Razavi"",""James A Coles"",""Margit Nemeth"",""Ilyas Colombowala""}",144,140
"{""W. T. Yu"",""S. Yang"",""Y. Tang"",""B. Wu"",""J. X. Zhou""}",145,141
"{""Yong-Kyun Kim"",""Tae Yoong Jeong"",""Won Hyuk Chang"",""Sang Chul Lee"",""Jeong-Gyu Yoon"",""Dong Suk Kim""}",146,142
"{""O. H. Simonsen"",""S. T. Skou"",""H. Thomsen""}",147,143
"{""A M Mulekar"",""B J Vakiland""}",148,144
"{""Fred W Benenati""}",149,145
"{""K. Nguz""}",150,146
"{""Vincent J P Van Heuven"",""Niels O Schiller"",""Jurriaan Witteman""}",151,147
"{""R R van Rijn"",""S G F Robben""}",152,148
"{""G. Abraham"",""Jr. Fromm, R. E."",""P. E. Marik"",""J. Varon"",""P. Careau""}",153,149
"{""M.M.P. Yang"",""S.H. Kok"",""G.T.C. Lee""}",154,150
"{""D Kalina"",""S de Ribaupierre"",""O Vernet"",""P -F Leyvraz"",""B Rilliet"",""B Cavin""}",155,151
"{""S. Kato"",""M. Ishida"",""H. Sakuma""}",156,152
"{""Debbi Ann Morrissette""}",157,153
"{""D Chochol���"",""R Chaloupka"",""B Kala"",""J Gallo"",""M Netval""}",158,154
"{""K. Mantsopoulos"",""C. Bohr"",""F. Hebel""}",159,155
"{""Pakenham K.I."",""Fitzell A.""}",160,156
"{""Maharudrappa Basnaker"",""Satish Bnvs"",""Srikala Sp""}",161,157
"{""K. Y. Tseng"",""H. F. Huang"",""K. I. Cheng"",""H. T. Hsu"",""P. Y. Chang"",""Y. C. Chen"",""I. C. Lu""}",162,158
"{""Alan David Widgerow"",""Laurence A. DB  - c8h DO  - 22101481 DP  - EBSCOhost Chait""}",163,159
"{""M Schmid"",""R Salati"",""P E Bianchi"",""A M Bezzina"",""C Barone""}",164,160
"{""S. G. Jenkins"",""T. M. File"",""D. J. Farrell""}",165,161
"{""S. McIver""}",166,162
"{""N R St-Pierre"",""D Sauvant"",""P Schmidely"",""J J Daudin""}",167,163
"{""J. Kelly Anthony"",""Jane Thomas"",""Josephine Kavanagh""}",168,164
{NULL},169,46
"{""A Philotheou"",""S R Heller"",""J Jendle"",""M-A Gall"",""K K��lendorf"",""G P Ross"",""G Perriello"",""I Pavlic-Renar""}",170,165
"{""C. D. Smith"",""J. E. Skandalakis""}",171,166
"{""Tian-Biao Zhou"",""Si-Lian Fang"",""Hui-Liu Zhao"",""Gregor P C Drummen""}",172,167
"{""P. Kruszewski"",""Dept of Neurology Trondheim University Hospital L.J. Stovner"",""Norway Trondheim"",""J. M. Shen"",""Trondheim Norway University Hospital"",""L. J. Stovner"",""Trondheim Dept. of Neurology"",""Address Correspondence"",""Addresses Author""}",173,168
"{""Girault G"",""Rose RJ"",""Weinstein JN"",""Ball PA"",""Hanscom B"",""Fanciullo GJ""}",174,169
"{""M Katz"",""R Chatterjee"",""A Oatridge"",""J B Porter"",""G M Bydder""}",175,170
"{""D. C. Heimburger""}",176,171
"{""Jianwen Cai"",""June Stevens"",""Denise K. Houston""}",177,172
"{""J van der Meulen"",""J Kluck"",""E van Dijk"",""J H M Straatman""}",178,173
"{""Robert T Trousdale"",""J Ryan Martin""}",179,174
"{""T. Isayama"",""M. Crowther"",""C. Chai-Adisaksopha"",""W. Lim""}",180,175
"{""Michiel A J Kompier"",""Etty G A Wielenga-Meijer"",""Dani��l H J Wigboldus"",""Toon W Taris""}",181,176
{NULL},182,46
"{""E. H. Hwang""}",183,177
"{""K. Sidney"",""J. Antony"",""A. De Costa"",""A. Shet"",""R. Rodrigues"",""S. Krishnamurthy"",""G. D'Souza"",""K. Arumugam""}",184,178
"{""J. Robinson-Papp"",""S.C. Shin""}",185,179
"{""Pardo-Masferrer J. Murcia M. Soto R. Gonzalez J. Alastuey I. Montemuino S. Ortiz I. Mena A""}",186,180
"{""H Li"",""Kf Chung"",""H Liu"",""Sp Zhang"",""M Xu""}",187,181
"{""Enniati Rusli"",""Chien-Hui Yang""}",188,182
"{""S. Mallery"",""J. Van Dam""}",189,183
"{""J. J. Coran"",""T. Koropeckyj-Cox"",""C. L. Arnold""}",190,184
"{""Lynn M Wegner"",""Michelle M Macias""}",191,185
"{""OR. International Society for Technology in Education, Eugene"",""Bjorn Norstrom""}",192,186
"{""Nicola Orsini"",""Susanna C Larsson"",""Alicja Wolk""}",193,187
"{""John Petkov"",""Steve Bailey"",""Samuel Chalmers"",""Michael Heynen"",""Ebonie Scase"",""Mary E Magarey""}",194,188
"{""A. R. Lomax"",""P. C. CN  - Pubmed DA  - Mar DO  - 10.1017/s0007114508055608 DP  - NLM ET  - 2008/09/26 Calder""}",195,189
"{""Shao-Cheng Liu"",""Chi-Chung Wu"",""Hsing-Won Wang"",""Chuan-Hsiang Kao"",""Yueng-Hsiang Chu""}",196,190
"{""Marion Habersack"",""Irmina-Anna Gerlich"",""Gero Luschin""}",197,191
"{""John M O�_Callaghan"",""Robert D Morgan"",""Peter J Morris"",""Simon R Knight""}",198,192
"{""R A Robison"",""J L Nelson"",""B L Roeder"",""B L Beckstead"",""G B Schaalje"",""J C Carmen"",""W G Pitt"",""C M Runyan""}",199,193
"{""Thomas Martin Doring"",""Maud Parise"",""Gustavo Tukamoto"",""Emerson Leandro Gasparetto"",""Tadeu Takao Almodovar Kubo"",""Maurice Vincent""}",200,194
"{""John B. Sell""}",201,195
"{""Savvas Stafilidis"",""Adamantios Arampatzis""}",202,196
"{""H. A. P. Pols"",""C. M. van Duijin"",""S. W. J. Lamberts"",""I. Rietveld"",""A. Hofman"",""J. A. M. J. L. Janssen""}",203,197
"{""Elie A Akl"",""Gordon Guyatt"",""Stephen D Walter"",""Rita S Suri"",""Reem A Mustafa"",""Gihad E Nesrallah"",""Robert M Lindsay""}",204,198
"{""J. Bhagatwala"",""W. Caldwell"",""D. H. Guo"",""A. Mellor"",""H. Zhu"",""R. Caldwell"",""R. Lucas"",""S. J. Parikh"",""Y. Dong"",""S. Sridhar"",""Y. Dong""}",205,199
{NULL},206,46
{NULL},207,46
"{""A. L. Warshaw""}",208,200
"{""Hiroshi Akima"",""Kazunori Nosaka"",""Aya Tomita"",""Anthony J Blazevich"",""Takayuki Inami"",""Ryosuke Ando"",""Kohei Watanabe""}",209,201
"{""David J Roelfs"",""Joseph E Schwartz"",""Eran Shor"",""Karina W Davidson""}",210,202
"{""D Minors"",""J Waterhouse"",""G Ghirlanda"",""G Costa"",""G Tarondi""}",211,203
"{""C. B. Mogensen"",""I. B. Jacobsen"",""L. Wiboe""}",212,204
{NULL},213,46
"{""Emile E Voest"",""Saskia C C M Teunissen"",""Alexander de Graeff"",""Marija Trajkovic-Vidakovic""}",214,205
"{""M. M. Parvaresh"",""M. Hashemi"",""R. Soodi"",""S. Nekoozadeh"",""S. A. Alemzadeh"",""K. G. Falavarjani"",""M. Modarres""}",215,206
{NULL},216,46
"{""S. Slawik"",""A. R. Dixon""}",217,207
"{""D. Buzducea"",""Buzducea Cohen Johnson Lazar Lazar Lejars Lyon Marin McDowell Mardarescu O'Leary Paxton Wood Berger"",""F. Lazar"",""E. I. Mardare""}",218,208
"{""E. Frank"",""L.D. Torres"",""D. Kupfer"",""K.L. Harkness"",""J. Guillaumot"",""J.E. Roberts"",""S.M. Monroe""}",219,209
"{""R Tello"",""K Kandarpa"",""R F Munden"",""S Hooton"",""R Pugatch""}",220,210
"{""I. Roberts"",""E. Heitman"",""C. Diguiseppi"",""T. Dinh-Zarr""}",221,211
"{""O. A. Ladipo"",""J. C. Konje""}",222,212
"{""S. McCormick"",""B. Gillis"",""A. Virus"",""M. A. Staten"",""C. Mobley"",""S. L. Volpe"",""J. Bridgman"",""L. El ghormli"",""D. D. Stadler"",""J. Hartstein""}",223,213
{NULL},224,46
{NULL},225,46
"{""Thomas Scherer"",""Jose M Garcia"",""Victor Papusha"",""Ji-an Chen"",""Mark Asnicar"",""Joanna Smiechowska"",""Bobby Guillory"",""Christoph Buettner"",""Roy G Smith"",""Anriada Nassif""}",226,214
"{""D M Aboulafia""}",227,215
"{""Marcie W. Handler"",""James K. Luiselli"",""Jennifer A. Mautone""}",228,216
{NULL},229,46
"{""C. G. Mendez""}",230,217
"{""E Senneville"",""H Melliez"",""V Lovi"",""C Joseph"",""M Douaud"",""M Pradier"",""T Boyer"",""A Meybeck"",""L Fortin-Lebraud""}",231,218
"{""Andrew Paul Baranowski""}",232,219
"{""K. C. McDermott"",""J. L. Blomquist"",""V. L. Handa"",""E. C. Evers""}",233,220
"{""Benjamin Zendejas"",""Stanley J Hamstra"",""Rose Hatala"",""David A Cook"",""Amy T Wang"",""Jason H Szostek"",""Patricia J Erwin"",""Ryan Brydges""}",234,221
"{""Jae Jun Lee"",""Sang Yong Song"",""Soomin Ahn"",""Young Lyun Oh"",""Ji-Youn Sung"",""Chang Ohk Sung"",""Yoo-Young Lee""}",235,222
"{""Andreas M���_gge"",""Christoph Hanefeld"",""Rainer H B���ger"",""[Collective Name] CARDIAC study investigators""}",236,223
"{""R M Jones"",""P Conzen""}",237,224
"{""C. Mills"",""S. Dalkin"",""J. Greenhalgh"",""C. Wood"",""L. Wood"",""J. Wright"",""E. Gibbons"",""N. Black"",""J. M. Valderas"",""R. Pawson"",""D. Meads""}",238,225
"{""L Ramos"",""S Mathur�_n"",""A Mateo"",""C L�_pez"",""C G�_mez""}",239,226
"{""Glen M Blake"",""Tim D Spector"",""Ignac Fogelman"",""Usha Chinappen-Horsley""}",240,227
"{""R Webster"",""E Spezi"",""S Mukherjee"",""R Adams"",""S Gwynne"",""J Staffurth"",""B Coles""}",241,228
"{""Anders Halling"",""H̴kan Odeberg"",""Henrik Forssell"",""Jacob Odeberg"",""Marie-Louise Persson"",""Lennart R̴stam"",""Ivar Vaara"",""Ulf Lindblad"",""Michael Freitag""}",242,229
"{""Patil S."",""Horobin H.""}",243,230
"{""A Brand"",""J Van der Heyden"",""S de Viron"",""H Van Oyen"",""N Malats""}",244,231
