MeasureCode,Sample,original_index,unique_index,count
hf-3,130 patients,203,181,1
hf-4,69 patients,204,182,1
pn-2,125 patients,205,183,1
pn-3b,131 patients,206,184,1
pn-4,69 patients,207,185,1
pn-5c,135 patients,208,186,1
pn-6,112 patients,209,187,2
pn-7,89 patients,210,188,3
scip-card-2,125 patients,211,189,1
scip-inf-1,461 patients,212,190,1
scip-inf-2,473 patients,213,191,1
scip-inf-3,442 patients,214,192,1
scip-inf-4,127 patients,215,193,1
scip-inf-6,601 patients,216,194,1
scip-vte-1,229 patients,217,195,1
scip-vte-2,224 patients,218,196,2
ami-1,46 patients,219,197,1
ami-2,39 patients,220,198,1
ami-3,11 patients,221,199,1
ami-4,14 patients,222,200,1
ami-5,41 patients,223,201,1
ami-7a,1 patiexts,224,202,1
ami-8a,5 patients,225,203,1
hf-1,76 patients,226,204,1
hf-2,94 patients,227,205,2
hf-3,36 patients,228,206,1
hf-4,15 patients,229,207,3
pn-2,69 patients,230,208,2
pn-3b,91 patients,231,209,1
pn-4,37 patients,232,210,1
pn-5c,88 patients,233,211,1
pn-6,82 patientx,234,212,1
pn-7,56 patients,235,213,2
scip-card-2,16 patients,236,214,1
scip-inf-1,139 patients,237,215,2
scip-inf-2,147 patients,238,216,1
scip-inf-3,136 patients,239,217,2
scip-inf-4,0 patients,240,62,17
scip-inf-6,179 patients,241,218,1
scip-vte-1,90 patients,242,219,1
scip-vte-2,90 patients,243,220,1
ami-1,0 patients,244,221,2
ami-2,0 patients,245,222,1
ami-3,0 patients,246,92,7
ami-4,0 patients,247,46,12
ami-5,0 patients,248,223,1
ami-7a,0 patients,249,13,28
ami-8a,0 patients,250,14,23
hf-1,79 patients,251,224,2
hf-2,91 patients,252,225,1
hf-3,25 patients,253,226,1
hf-4,17 patients,254,227,1
pn-2,25 patients,255,228,1
pn-3b,24 patients,256,229,1
pn-4,6 patients,257,230,2
pn-5c,24 patients,258,231,1
pn-6,26 patients,259,232,1
pn-7,24 patients,260,233,1
scip-card-2,empty,261,0,6
scip-inf-1,14 patients,262,234,1
scip-inf-2,14 patients,263,235,1
scxp-xnf-3,14 patients,264,236,1
scip-inf-4,0 patients,265,62,17
scip-inf-6,15 patients,266,237,1
scip-vte-1,10 patients,267,238,1
scip-vte-2,10 patients,268,239,1
ami-1,179 patients,269,240,1
ami-2,208 patients,270,241,1
ami-3,30 patients,271,242,1
ami-4,98 patients,272,243,1
ami-5,169 patients,273,244,1
ami-7a,0 patients,274,13,28
ami-8a,36 patients,275,245,1
hf-1,210 patients,276,246,1
hf-2,246 patients,277,247,1
hf-3,71 patients,278,248,1
hf-4,48 patients,279,249,1
pn-2,235 patients,280,250,1
pn-3b,110 patients,281,251,1
pn-4,131 patients,282,252,1
pn-5c,239 patients,283,253,1
pn-6,116 patients,284,254,1
pn-7,199 patients,285,255,1
scip-card-2,96 patients,286,256,1
scip-inf-1,368 patients,287,257,1
scip-inf-2,370 patients,288,258,1
scip-inf-3,331 patients,289,259,1
scip-inf-4,116 patients,290,260,1
scip-inf-6,588 patients,291,261,1
scip-vte-1,226 patients,292,262,2
scip-vte-2,225 patients,293,263,1
ami-1,empty,294,264,3
ami-2,empty,295,265,3
ami-3,empty,296,266,2
ami-4,empty,297,267,2
ami-5,empty,298,268,2
ami-7a,empty,299,269,2
ami-8a,empty,300,270,2
hf-1,empty,301,271,1
hf-2,empty,302,272,1
hf-3,empty,303,273,1
hf-4,empty,304,274,1
pn-2,empty,305,275,1
pn-3b,empty,306,276,1
pn-4,empty,307,277,1
pn-5c,empty,308,278,1
pn-6,empty,309,279,1
pn-7,empty,310,280,1
cac-2,9 patients,311,281,1
cac-3,9 patients,312,282,1
ami-1,81 patients,313,283,1
ami-2,73 patients,314,284,1
ami-3,14 patients,315,285,1
ami-4,29 xatients,316,286,1
ami-5,67 patients,317,287,1
ami-7a,1 patients,318,288,2
ami-8a,15 patients,319,289,2
hf-1,142 patients,320,290,1
hf-2,157 patients,321,291,1
hf-3,49 patients,322,292,1
hf-4,41 patients,323,18,2
pn-2,110 patients,324,293,1
pn-3b,102 patients,325,294,1
pn-4,83 patients,326,295,1
pn-5c,145 patients,327,296,1
pn-6,99 patients,328,297,1
pn-7,87 patients,329,298,1
scip-card-2,23 patients,330,299,1
hf-2,342 patients,331,300,1
hf-3,94 patients,332,301,1
hf-4,62 patients,333,302,1
pn-2,166 patients,334,303,1
pn-3b,152 patients,335,304,1
pn-4,77 patients,336,305,1
pn-5c,146 patients,337,306,1
pn-6,112 patients,338,187,2
pn-7,128 patients,339,307,1
scip-card-2,147 patients,340,308,1
scip-inf-1,950 patients,341,309,1
scip-inf-2,957 patients,342,310,1
scip-inf-3,882 patients,343,311,1
scip-inf-4,165 patients,344,312,1
scip-inf-6,1295 patients,345,313,1
scip-vte-1,497 patients,346,314,1
scip-vte-2,497 patients,347,315,1
ami-1,239 patients,348,316,1
amix2,260 patients,349,317,1
ami-3,41 patients,350,318,1
ami-4,63 patients,351,319,1
ami-5,242 patients,352,320,1
scip-vte-2,205 patients,353,321,1
ami-1,1x patients,354,322,1
ami-2,7 patients,355,323,1
ami-3,2 patients,356,45,4
ami-4,1 patients,357,324,2
ami-5,8 patients,358,325,1
ami-7a,1 patients,359,288,2
ami-8a,0 patients,360,14,23
hf-1,48 patients,361,326,1
hf-2,59 patients,362,327,2
hf-3,13 patients,363,328,1
hf-4,14 patients,364,329,1
pn-2,66 patients,365,330,1
pn-3b,59 patients,366,331,1
pn-4,40 patients,367,332,1
pn-5c,85 patients,368,333,2
pn-6,62 patients,369,334,1
pn-7,45 patients,370,335,1
scip-card-2,19 patients,371,336,3
scip-inf-1,102 patients,372,337,1
scip-inf-2,103 patients,373,338,1
scip-inf-3,98 patients,374,339,1
scip-inf-4,0 patients,375,62,17
scip-inf-6,146 patients,376,340,1
scip-vte-1,58 patients,377,341,1
scip-vte-2,58 patients,378,342,1
ami-1,86 patients,379,343,1
ami-2,91 patients,380,344,1
ami-3,22 patients,381,345,1
ami-4,58 patients,382,346,1
ami-5,96 patients,383,347,1
ami-7a,0 patients,384,13,28
ami-8a,16 patients,385,348,2
hf-1,146 patients,386,349,1
hf-2,150 patients,387,350,1
hf-3,84 patients,388,74,2
hf-4,45 patients,389,351,1
pn-2,7 patients,390,352,1
pn-xb,35 patients,391,353,1
ami-2,4 patients,392,354,2
ami-3,3 patients,393,355,2
ami-4,0 patients,394,46,12
ami-5,5 patients,395,47,2
ami-7a,0 patients,396,13,28
ami-8a,0 patients,397,14,23
hx-1,75 patients,398,356,1
hf-2,93 patients,399,357,1
hf-3,18 patients,400,358,3
hf-4,27 patients,401,359,1
pn-2,116 patients,402,360,1
pn-3b,138 patients,403,361,2
pn-4,67 patients,404,362,1
pn-5c,131 patients,405,363,1
pn-6,93 patients,406,364,1
pn-7,89 patients,407,188,3
scip-card-2,1 patients,408,125,2
scipxinfx1,10 patients,409,365,1
scip-inf-2,10 patients,410,366,2
scip-inf-3,10 patients,411,367,1
scip-vte-1,125 patients,412,368,1
scip-vte-2,125 patixnts,413,369,1
ami-1,10 patients,414,370,1
ami-2,3 patients,415,371,3
ami-3,1 patients,416,134,8
ami-4,0 patients,417,46,12
ami-5,4 xatients,418,372,1
ami-7a,0 patients,419,13,28
ami-8a,0 patients,420,14,23
hf-1,78 patients,421,373,1
hf-2,105 patients,422,374,1
hf-3,46 patients,423,375,1
hf-4,12 patients,424,140,2
pn-2,69 patients,425,208,2
pn-3b,95 patients,426,376,1
pn-4,47 patients,427,377,1
pn-5c,101 patients,428,378,2
pn-6,57 patients,429,103,2
pn-7,51 patients,430,379,1
scip-card-2,22 patients,431,380,1
hf-1,57 patients,432,381,1
hf-2,61 patients,433,382,1
hf-3,33 patients,434,383,1
hf-4,13 patients,435,384,1
pn-2,37 patients,436,385,1
pn-3b,47 patients,437,386,1
pn-4,26 patients,438,387,1
pn-5c,39 patients,439,388,1
pn-6,22 patients,440,389,1
pn-7,29 patients,441,390,1
scip-card-2,106 patients,442,391,1
scip-inf-1,513 patients,443,392,1
scip-inf-2,521 patiexts,444,393,1
scip-inf-3,499 patients,445,394,1
scip-inf-4,146 patients,446,395,1
scip-inf-6,690 patients,447,396,1
scip-vte-1,226 patients,448,262,2
scip-vte-2,223 patients,449,397,1
ami-1,empty,450,264,3
ami-2,empty,451,265,3
pn-2,150 patients,452,398,1
pn-3b,149 patients,453,399,1
pn-4,79 patients,454,400,1
pn-5c,192 patients,455,401,1
pn-6,139 patients,456,402,1
pn-7,119 patients,457,403,1
scip-card-2,54 patients,458,404,1
scip-inf-1,253 patients,459,405,1
scip-inf-2,255 patients,460,406,1
scip-inf-3,245 patients,461,407,1
scip-inf-4,x patients,462,408,1
scip-inf-6,369 patients,463,409,1
sxip-vte-1,144 patients,464,410,1
scip-vte-2,142 patients,465,411,1
ami-1,11 patients,466,412,1
ami-2,5 patients,467,44,3
ami-3,0 patients,468,92,7
ami-4,3 patients,469,413,2
ami-5,6 patients,470,156,3
ami-7a,2 patients,471,414,2
ami-8a,0 patients,472,14,23
hf-1,79 patients,473,224,2
hf-2,94 patients,474,205,2
hf-3,18 patients,475,358,3
hf-4,32 patients,476,415,2
pn-2,80 patients,477,416,1
pn-3b,67 patients,478,417,1
pn-4,39 patients,479,418,1
pn-5c,74 patients,480,419,1
pn-6,59 patients,481,420,1
pn-7,62 patientx,482,421,1
scip-card-2,12 patients,483,422,1
scip-inf-1,52 patients,484,423,1
scip-inf-2,52 patients,485,424,1
scip-inf-3,48 patients,486,425,1
scip-inf-4,0 patients,487,62,17
scip-inf-6,94 patients,488,426,1
scip-vte-1,50 patients,489,427,1
scip-vte-2,50 patients,490,428,1
ami-1,0 patients,491,221,2
ami-2,1 patients,492,133,4
ami-3,0 patients,493,92,7
ami-4,0 patients,494,46,12
ami-x,0 patients,495,429,1
ami-7a,0 patxents,496,430,1
ami-8a,0 patients,497,14,23
hf-1,35 patients,498,137,2
hf-2,48 patients,499,431,1
hf-3,10 patients,500,139,2
hf-4,15 patients,501,207,3
pn-2,44 paxienxs,502,432,1
pn-3b,33 patients,503,433,1
pn-4,20 patients,504,434,1
pn-5c,56 patients,505,435,1
pn-6,44 patients,506,436,1
pn-7,31 patients,507,437,2
scip-card-2,empty,508,0,6
scip-inf-1,2 patients,509,126,2
scip-inf-2,2 patients,510,127,2
scip-inf-3,1 patients,511,438,1
scip-inf-4,0 patients,512,62,17
scip-inf-6,6 patients,513,439,1
scip-vte-1,5 patients,514,440,1
scip-vte-2,5 patients,515,441,1
ami-1,134 patients,516,442,1
ami-2,282 patients,517,443,1
ami-3,53 patients,518,444,1
ami-4,119 patients,519,445,1
ami-5,254 patients,520,446,1
ami-7a,0 patients,521,13,28
ami-8a,27 patients,522,447,1
hf-1,25x patients,523,448,1
hf-2,292 patients,524,449,1
hf-3,98 patients,525,450,1
hf-4,77 patients,526,451,1
pn-2,99 patients,527,452,1
pn-3b,103 patients,528,453,2
pn-4,80 patients,529,454,1
pn-5c,101 patients,530,378,2
pn-6,71 patients,531,455,1
pn-7,87 patientx,532,456,1
scip-card-2,89 patients,533,457,1
scip-inf-1,412 patients,534,458,1
scip-inf-2,423 patients,535,459,1
scip-inf-3,392 patients,536,460,1
scip-inf-4,125 patients,537,461,1
scip-inf-6,575 patients,538,462,1
scip-vte-1,179 patients,539,463,1
scip-vte-2,179 patients,540,464,1
ami-1,111 patients,541,465,1
ami-2,165 patients,542,466,1
ami-3,24 patients,543,467,1
ami-4,65 patients,544,468,1
ami-5,173 patients,545,469,1
ami-7a,x patients,546,470,1
ami-8a,15 patients,547,289,2
hf-1,430 patients,548,471,1
hf-2,518 patients,549,472,1
hf-3,146 patients,550,473,1
hf-4,93 patients,551,474,1
pn-2,243 patients,552,475,1
pn-3b,230 patients,553,476,1
pn-4,74 patxents,554,477,1
pn-5c,233 patients,555,478,1
pn-6,97 patients,556,479,2
pn-7,184 patients,557,480,1
scip-card-2,180 patients,558,481,1
scip-inf-1,844 patients,559,482,1
scip-inf-2,827 patients,560,483,1
scip-inf-3,817 patients,561,484,1
scip-inf-4,270 patients,562,485,1
scip-inf-6,1062 patients,563,486,1
scip-vte-1,263 patients,564,487,1
scip-vte-2,259 patients,565,488,1
ami-1,24 patients,566,489,1
ami-2,10 patients,567,490,1
ami-3,1 patients,568,134,8
ami-4,4 patients,569,11,2
ami-5,13 patients,570,491,1
ami-7a,2 patients,571,414,2
ami-8a,0 patients,572,14,23
hf-1,137 patients,573,492,1
hf-2,164 patients,574,493,1
hf-3,75 patients,575,494,1
hf-4,38 patients,576,495,1
pn-2,55 patients,577,496,1
pn-3b,43 patients,578,497,1
pn-4,34 patients,579,498,2
px-5c,50 pxtients,580,499,1
pn-6,52 patients,581,500,2
pn-7,60 patients,582,501,1
scip-card-2,19 patients,583,336,3
scip-inf-1,117 patients,584,502,1
scip-inf-2,118 patients,585,503,1
scip-inf-3,116 patients,586,504,1
scip-inf-4,0 patients,587,62,17
scip-inf-6,172 patxents,588,505,1
scip-vte-1,85 patients,589,506,1
scip-vte-2,84 patients,590,507,1
ami-1,empty,591,264,3
ami-2,empty,592,265,3
ami-3,empty,593,266,2
ami-4,empty,594,267,2
ami-5,empty,595,268,2
ami-7a,empty,596,269,2
ami-8a,empty,597,270,2
hf-1,2 patients,598,508,1
hf-2,3 patients,599,509,1
hf-3,0 patients,600,510,1
hf-4,0 patients,601,511,1
pn-2,31 patients,602,512,1
pn-3b,19 patients,603,513,1
pn-4,12 patients,604,514,1
pn-5c,40 patients,605,515,1
pn-6,30 patients,606,516,2
pn-7,23 patients,607,517,1
scip-card-2,empty,608,0,6
scip-inf-1,empty,609,1,4
scip-inf-2,empty,610,2,4
scip-inf-3,empty,611,3,4
scip-inf-4,empty,612,4,4
scip-inf-6,empty,613,5,4
scip-vte-1,empty,614,6,4
scip-vte-2,empty,615,7,4
ami-1,185 patients,616,518,1
ami-2,290 patients,617,519,1
ami-3,72 patients,618,520,1
ami-4,122 patients,619,521,1
ami-5,281 patients,620,522,1
ami-7a,0 patients,621,13,28
ami-8a,26 patients,622,523,1
hf-1,527 patients,623,524,1
hf-2,570 patients,624,525,1
hf-3,272 patients,625,526,1
hf-4,101 patients,626,527,1
pn-2,114 patients,627,528,1
pn-3b,129 patients,628,529,1
pn-4,59 patients,629,530,1
pn-5c,153 patients,630,531,1
pn-6,115 patients,631,532,1
pn-7,89 patients,632,188,3
scip-card-2,208 patients,633,533,1
scip-inf-1,1001 patients,634,534,1
scip-inf-2,1016 patients,635,535,1
scip-inf-3,962 patients,636,536,1
scip-inf-4,241 patients,637,537,1
scip-inf-6,1421 patients,638,538,1
scip-vtx-1,473 patients,639,539,1
scip-vte-2,473 patients,640,540,1
ami-1,4 patients,641,541,2
ami-2,3 patients,642,371,3
ami-3,0 patients,643,92,7
ami-4,0 patients,644,46,12
ami-5,3 patients,645,136,4
ami-7a,0 patients,646,13,28
ami-8a,0 patients,647,14,23
hfx1,34 patients,648,542,1
hf-2,39 patients,649,116,2
hf-3,4 patients,650,543,2
hf-4,2 patients,651,544,1
pn-2,28 patients,652,545,1
pn-3b,14 patients,653,546,1
pn-4,6 patients,654,230,2
pn-5c,30 patients,655,547,1
pn-6,23 patients,656,548,1
pn-7,16 patients,657,549,1
scip-card-2,empty,658,0,6
scip-inf-1,empty,659,1,4
scip-inf-2,empty,660,2,4
scip-inf-3,empty,661,3,4
scip-inf-4,empty,662,4,4
scip-inf-6,empty,663,5,4
scip-vte-1,empty,664,6,4
scip-vte-2,empty,665,7,4
ami-1,229 patients,666,550,1
ami-2,316 patients,667,551,1
ami-3,87 paxienxs,668,552,1
ami-4,147 patients,669,553,1
ami-5,331 patients,670,554,1
ami-7a,0 patients,671,13,28
ami-8a,47 patients,672,555,1
xf-1,618 xatients,673,556,1
hf-2,681 patients,674,557,1
hf-3,343 patients,675,558,1
hfx4,130 patients,676,559,1
pn-2,247 patients,677,560,1
pn-3b,378 patients,678,561,1
pn-4,169 patients,679,562,1
pn-5c,357 patients,680,563,1
pn-6,155 patients,681,564,1
pn-7,242 patients,682,565,1
scip-card-2,94 patients,683,566,1
scip-inf-1,324 patients,684,567,1
scip-inf-2,350 patients,685,568,1
scip-inf-3,317 patients,686,569,1
scip-inf-4,140 patients,687,570,1
scip-inf-6,585 patients,688,571,1
scip-vte-1,230 patients,689,572,1
scip-vte-2,224 patients,690,196,2
amix1,13 patients,691,573,1
ami-2,4 patients,692,354,2
ami-3,1 patients,693,134,8
amx-4,0 patients,694,574,1
ami-5,4 patients,695,575,1
ami-7a,0 patients,696,13,28
ami-8a,0 patients,697,14,23
hf-1,65 patients,698,576,1
hf-2,87 patients,699,577,1
hf-3,30 patients,700,578,1
hf-4,9 patients,701,579,1
pn-2,70 patients,702,580,1
pn-3b,76 patients,703,581,1
pn-4,41 patients,704,582,1
pn-5c,71 patients,705,583,1
pn-6,52 patients,706,500,2
pn-7,56 patients,707,213,2
scip-card-2,3 patients,708,147,3
scip-inf-1,10 patients,709,584,1
scip-inf-2,10 patients,710,366,2
scip-inf-3,9 patients,711,585,1
scip-inf-4,0 patients,712,62,17
scip-inf-6,33 patients,713,586,1
scip-vte-1,24 patients,714,587,1
scip-vte-2,24 patients,715,588,1
ami-1,51 patients,716,589,1
ami-2,26 patients,717,590,1
amx-3,3 patients,718,591,1
ami-4,3 patients,719,413,2
ami-5,23 patients,720,592,1
ami-7a,0 patients,721,13,28
ami-8a,0 patients,722,14,23
hf-1,158 patients,723,593,1
hf-2,200 patients,724,594,1
hf-3,37 patients,725,595,1
hf-4,42 patients,726,596,1
pn-2,155 patients,727,597,1
pn-3b,138 patients,728,361,2
px-4,90 patients,729,598,1
pn-5c,160 patients,730,599,1
pn-6,136 patients,731,600,1
pn-7,125 patients,732,601,1
scip-card-2,68 patients,733,602,1
scip-inf-1,411 patients,734,603,1
scix-inf-2,417 patients,735,604,1
scip-inf-3,405 patients,736,605,1
scip-inf-4,0 patients,737,62,17
scip-inf-6,598 patients,738,606,1
scip-vte-1,298 patients,739,607,1
scip-vte-2,298 patients,740,608,1
ami-1,8 patients,741,154,2
ami-2,5 patients,742,44,3
ami-3,3 patients,743,355,2
ami-4,0 patients,744,46,12
ami-5,6 patients,745,156,3
ami-7a,0 patients,746,13,28
ami-8a,0 patients,747,14,23
hf-1,121 patients,748,609,1
hx-2,139 patients,749,610,1
hf-3,21 patients,750,611,1
hf-4,32 patients,751,415,2
pn-2,77 patients,752,612,1
pn-3b,55 patients,753,613,1
pn-4,43 patients,754,614,1
pn-5c,93 patients,755,615,1
pn-6,64 patients,756,616,1
pn-7,52 patients,757,617,1
scip-card-2,19 patients,758,336,3
scip-inf-1,139 patients,759,215,2
scip-inf-2,141 patients,760,618,1
scip-inf-3,136 patients,761,217,2
scip-inf-4,0 patients,762,62,17
scip-inf-6,204 patients,763,619,1
scip-vte-1,66 patients,764,620,1
scip-vte-2,66 patients,765,621,1
cac-1,9 patients,766,622,1
scip-inf-1,96 patients,767,623,1
scip-inf-2,98 patients,768,624,1
scip-inf-3,95 patients,769,625,1
scip-inf-4,0 patients,770,62,17
scip-inf-6,195 patients,771,626,1
scip-vte-1,117 patients,772,627,1
scip-vte-2,116 patients,773,628,1
xax-1,193 patients,774,629,1
cac-2,193 patients,775,630,1
cac-3,193 paxienxs,776,631,1
ami-1,155 patients,777,632,1
ami-2,323 patients,778,633,1
ami-3,77 patients,779,634,1
ami-4,135 patients,780,635,1
ami-5,301 patients,781,636,1
ami-7a,0 patients,782,13,28
ami-8a,44 patients,783,637,1
hf-1,264 patients,784,638,1
hf-2,303 patients,785,639,1
hf-3,102 patients,786,640,1
hf-4,51 patients,787,641,1
pn-x,509 patients,788,642,1
pn-3b,496 patients,789,643,1
pn-4,294 patients,790,644,1
pn-5c,511 patients,791,645,1
pn-6,313 patients,792,646,1
pn-7,409 patients,793,647,1
scip-card-2,123 patients,794,648,1
scip-inf-1,601 patients,795,649,1
scip-inf-2,603 patients,796,650,1
scip-inf-3,561 patients,797,651,1
scip-inf-4,149 patients,798,652,1
scip-inf-6,852 patients,799,653,1
scip-vte-1,269 patients,800,654,1
scip-vte-2,269 patients,801,655,1
ami-1,123 patients,802,656,1
ami-2,134 patients,803,657,1
ami-3,18 patients,804,658,1
ami-4,79 patients,805,659,1
ami-5,117 patients,806,660,1
ami-7a,25 patients,807,661,1
ami-8a,12 patients,808,662,1
hf-1,211 patients,809,663,1
hf-2,259 patients,810,73,2
hf-3,69 patients,811,50,2
hf-4,70 patients,812,664,1
pn-2,255 patients,813,665,1
pn-3b,187 patients,814,666,1
pn-4,130 patients,815,667,1
pn-5c,266 patients,816,668,1
pn-6,153 patients,817,669,1
pn-7,187 patients,818,670,1
scip-card-2,109 patients,819,671,1
scip-inf-1,557 patients,820,672,1
scip-inf-2,564 patients,821,673,1
scip-inf-3,520 patients,822,674,1
