flight,act_arr_time,original_index,unique_index,count
AA-204-LAX-MCO,12/2/11 6:35 a.m.,60,60,4.0
UA-414-LAX-SFO,7:04 a.m.,61,61,5.0
CO-1614-LAX-IAH,,62,62,
UA-2726-FLL-PHL,6:25 p.m.,63,63,10.0
CO-52-IAH-LAX,,64,64,
CO-1090-BOS-IAH,,65,65,
AA-616-DFW-DTW,1:11 p.m.,66,66,8.0
UA-3515-IAD-MSP,9:56 a.m.,67,67,16.0
AA-3468-CVG-MIA,9:29 a.m.,68,68,7.0
AA-484-DFW-MIA,7:37 p.m.,69,69,7.0
AA-1886-BOS-MIA,1:36 p.m.,70,70,5.0
CO-62-IAH-EWR,,71,71,
CO-1561-PHX-IAH,,72,72,
UA-2314-ATL-PHL,4:43 p.m.,73,73,4.0
AA-446-DFW-PHL,4:08 p.m.,74,74,5.0
CO-1023-IAH-DEN,,75,75,
AA-466-IAH-MIA,8:50 a.m.,76,76,8.0
UA-3050-PHX-CLT,5:00 p.m.,77,77,4.0
CO-89-IAH-EWR,,78,78,
CO-1088-CLE-IAH,,79,79,
AA-1664-MIA-ATL,11:50 a.m.,80,80,16.0
AA-1279-DFW-PHX,3:13 p.m.,81,81,8.0
UA-854-SFO-IAH,1:23 p.m.,82,82,5.0
UA-382-IAD-LAX,3:09 p.m.,83,83,4.0
AA-4344-ORD-DTW,1:55 p.m.,84,84,5.0
UA-257-JFK-SFO,5:22 p.m.,85,85,5.0
UA-2945-PHL-CLT,1:11 p.m.,86,86,4.0
CO-63-EWR-IAH,,87,87,
CO-47-IAH-LAX,,88,88,
AA-2050-ORD-MIA,2:39 p.m.,89,89,7.0
UA-248-PHX-ORD,5:24 p.m.,90,90,4.0
AA-4330-CVG-ORD,,91,91,
AA-1434-DFW-MCO,10:34 a.m.,92,92,6.0
AA-1640-MIA-MCO,7:25 p.m.,93,93,7.0
AA-4307-ORD-DTW,8:38 p.m.,94,94,8.0
AA-3-JFK-LAX,3:04 p.m.,95,95,7.0
CO-1694-LAX-IAH,,96,96,
UA-843-LAX-ORD,7:20 p.m.,97,97,4.0
CO-1193-EWR-MCO,,98,98,
AA-3842-MSP-ORD,7:49 a.m.,99,99,8.0
AA-643-MIA-ORD,9:26 a.m.,100,100,8.0
AA-1007-MIA-PHX,7:43 p.m.,101,101,7.0
AA-2525-DFW-MIA,10:43 a.m.,102,102,8.0
UA-2906-PHL-MCO,6:28 p.m.,103,103,4.0
UA-938-DEN-ORD,7:23 p.m.,104,104,5.0
AA-1221-MCO-ORD,9:47 p.m.,105,105,7.0
CO-16-LAX-EWR,,106,106,
UA-2515-DFW-CLT,10:43 a.m.,107,107,4.0
AA-400-DFW-JFK,2:58 p.m.,108,108,6.0
UA-664-ORD-PHL,4:20 p.m.,109,109,8.0
AA-3756-ORD-SLC,2:50 p.m.,110,4,15.0
UA-37-EWR-MCO,,111,110,
AA-1522-SFO-ORD,5:52 a.m.,112,111,4.0
UA-233-LAX-JFK,12/2/11 12:01 a.m.,113,112,4.0
AA-3823-LAX-DEN,11:49 p.m.,114,113,4.0
AA-2312-DFW-DTW,11:35 p.m.,115,114,7.0
AA-1165-JFK-MIA,9:45 a.m.,116,115,7.0
AA-431-MIA-SFO,11:33 a.m.,117,116,7.0
UA-3373-IAD-PHL,9:13 a.m.,118,117,19.0
AA-649-ORD-SNA,3:29 p.m.,119,118,4.0
CO-1250-MIA-IAH,,120,119,
UA-6273-YYC-SFO,8:33 a.m.,121,120,5.0
UA-828-SFO-ORD,,122,121,
CO-4888-IAH-DAL,6:19 p.m.,123,122,4.0
UA-858-PVG-SFO,7:50 a.m.,124,123,4.0
UA-2704-DTW-PHX,1:52 p.m.,125,124,4.0
AA-3063-SLC-LAX,9:12 p.m.,126,125,4.0
UA-2708-EWR-CLT,4:22 p.m.,127,126,4.0
UA-62-IAH-EWR,,128,127,
UA-1500-IAH-GUA,,129,128,
AA-3804-PHL-ORD,3:36 p.m.,130,129,13.0
AA-1917-JFK-MCO,5:39 p.m.,131,130,6.0
AA-2268-PHX-ORD,11:04 a.m.,132,131,9.0
AA-4277-CVG-JFK,1:42 p.m.,133,132,7.0
AA-2957-DFW-CVG,10:58 a.m.,134,133,7.0
UA-37-EDI-EWR,,135,134,
AA-789-ORD-DEN,2:49 p.m.,136,135,9.0
AA-415-BOS-ORD,10:12 a.m.,137,136,4.0
AA-85-JFK-SFO,6:30 p.m.,138,137,7.0
AA-3979-CVG-ORD,7:59 a.m.,139,138,7.0
AA-3786-IAH-ORD,6:11 p.m.,140,139,7.0
AA-271-MIA-LAX,2:21 p.m.,141,140,7.0
CO-50-CLE-EWR,,142,141,
UA-3099-PHX-PHL,5:34 p.m.,143,142,6.0
AA-4198-ORD-CLE,12:37 p.m.,144,143,7.0
AA-404-MIA-MCO,7:37 a.m.,145,144,5.0
CO-45-EWR-MIA,,146,145,
AA-3809-PHX-LAX,6:15 a.m.,147,146,4.0
AA-59-JFK-SFO,10:52 a.m.,148,147,8.0
AA-222-LAX-BOS,3:12 p.m.,149,148,7.0
AA-3859-IAH-ORD,9:22 a.m.,150,50,15.0
CO-1586-IAH-MCO,10:23 p.m.,151,149,2.0
AA-518-MIA-JFK,9:12 a.m.,152,150,1.0
UA-397-JFK-SFO,11:35 a.m.,153,151,1.0
UA-3925-IAD-ORF,9:40 a.m.,154,152,1.0
AA-1733-ORD-PHX,10:39 p.m.&nbsp(Estimated),155,153,1.0
AA-3-JFK-LAX,3:10 p.m.,156,154,2.0
UA-2830-MCO-CLT,5:17 p.m.,157,155,14.0
CO-58-DEN-IAH,3:25 p.m.,158,156,1.0
UA-5487-SFO-MRY,11:18 a.m.,159,157,1.0
AA-204-LAX-MCO,Not Available,160,158,1.0
UA-414-LAX-SFO,7:10 a.m.,161,159,2.0
CO-1614-LAX-IAH,5:23 a.m.,162,160,1.0
UA-2726-FLL-PHL,6:25 p.m.,163,63,10.0
CO-52-IAH-LAX,9:09 a.m.,164,161,7.0
CO-1090-BOS-IAH,1:09 p.m.,165,162,1.0
AA-616-DFW-DTW,1:18 p.m.,166,163,6.0
UA-3515-IAD-MSP,9:54 a.m.,167,164,2.0
AA-3468-CVG-MIA,9:42 a.m.,168,165,1.0
AA-484-DFW-MIA,7:35 p.m.,169,166,1.0
AA-1886-BOS-MIA,1:34 p.m.,170,167,1.0
CO-62-IAH-EWR,6:59 p.m.,171,168,1.0
CO-1561-PHX-IAH,11:26 a.m.,172,169,2.0
UA-2314-ATL-PHL,4:45 p.m.,173,170,1.0
AA-446-DFW-PHL,4:09 p.m.,174,8,16.0
CO-1023-IAH-DEN,1:12 p.m.,175,171,1.0
AA-466-IAH-MIA,9:00 a.m.,176,172,3.0
UA-3050-PHX-CLT,5:03 p.m.,177,173,6.0
CO-89-IAH-EWR,10:18 a.m.,178,174,1.0
CO-1088-CLE-IAH,10:47 a.m.,179,175,2.0
AA-1664-MIA-ATL,11:50 a.m.,180,80,16.0
AA-1279-DFW-PHX,3:19 p.m.,181,176,7.0
UA-854-SFO-IAH,1:27 p.m.,182,177,2.0
UA-382-IAD-LAX,3:20 p.m.,183,178,3.0
AA-4344-ORD-DTW,2:01 p.m.,184,179,7.0
UA-257-JFK-SFO,5:28 p.m.,185,180,3.0
UA-2945-PHL-CLT,1:14 p.m.,186,181,7.0
CO-63-EWR-IAH,7:55 p.m.,187,182,2.0
CO-47-IAH-LAX,9:38 p.m.,188,183,6.0
AA-2050-ORD-MIA,2:37 p.m.,189,184,1.0
UA-248-PHX-ORD,,190,185,
AA-4330-CVG-ORD,3:25 p.m.,191,186,6.0
AA-1434-DFW-MCO,10:29 a.m.,192,187,9.0
AA-1640-MIA-MCO,Not Available,193,188,2.0
AA-4307-ORD-DTW,8:43 p.m.,194,189,6.0
CO-1694-LAX-IAH,Not Available,195,190,2.0
UA-843-LAX-ORD,7:53 p.m.,196,191,2.0
CO-1193-EWR-MCO,12:03 p.m.,197,192,1.0
AA-3842-MSP-ORD,7:51 a.m.,198,25,15.0
AA-643-MIA-ORD,9:29 a.m.,199,193,6.0
AA-1007-MIA-PHX,7:53 p.m.,200,194,6.0
UA-2906-PHL-MCO,6:36 p.m.,201,195,2.0
UA-938-DEN-ORD,7:26 p.m.,202,196,2.0
AA-1221-MCO-ORD,9:49 p.m.,203,197,7.0
CO-16-LAX-EWR,6:13 p.m.,204,198,1.0
UA-2515-DFW-CLT,10:45 a.m.,205,199,7.0
AA-400-DFW-JFK,2:56 p.m.,206,200,1.0
UA-664-ORD-PHL,4:18 p.m.,207,201,2.0
AA-3756-ORD-SLC,2:52 p.m.,208,202,7.0
UA-37-EWR-MCO,4:06 p.m.,209,203,3.0
AA-1522-SFO-ORD,,210,31,
UA-233-LAX-JFK,Not Available,211,204,3.0
AA-3823-LAX-DEN,Not Available,212,205,1.0
AA-2312-DFW-DTW,Not Available,213,206,2.0
AA-1165-JFK-MIA,9:58 a.m.,214,207,1.0
AA-431-MIA-SFO,11:40 a.m.,215,208,2.0
UA-3373-IAD-PHL,9:11 a.m.,216,209,1.0
AA-649-ORD-SNA,Not Available,217,210,3.0
CO-1250-MIA-IAH,4:55 p.m.,218,211,2.0
UA-6273-YYC-SFO,8:41 a.m.,219,212,2.0
UA-828-SFO-ORD,,220,121,
CO-4888-IAH-DAL,,221,213,
UA-858-PVG-SFO,7:58 a.m.,222,214,1.0
UA-2704-DTW-PHX,2:02 p.m.,223,215,8.0
AA-3063-SLC-LAX,9:11 p.m.,224,216,8.0
UA-2708-EWR-CLT,4:24 p.m.,225,217,7.0
UA-62-IAH-EWR,6:59 p.m.,226,218,1.0
UA-1500-IAH-GUA,12:10 p.m.,227,219,3.0
AA-3804-PHL-ORD,3:36 p.m.,228,129,13.0
AA-1917-JFK-MCO,5:34 p.m.,229,220,6.0
AA-2268-PHX-ORD,11:07 a.m.,230,221,7.0
AA-4277-CVG-JFK,1:40 p.m.,231,222,2.0
AA-2957-DFW-CVG,11:00 a.m.,232,223,6.0
UA-37-EDI-EWR,12:00 p.m.,233,224,1.0
AA-789-ORD-DEN,3:01 p.m.,234,225,6.0
AA-415-BOS-ORD,10:10 a.m.,235,226,6.0
AA-85-JFK-SFO,6:36 p.m.,236,227,3.0
AA-3979-CVG-ORD,7:57 a.m.,237,228,6.0
AA-1544-SAN-ORD,4:52 p.m.,238,229,1.0
AA-3786-IAH-ORD,6:09 p.m.,239,230,6.0
AA-271-MIA-LAX,2:18 p.m.,240,231,1.0
AA-2525-DFW-MIA,10:53 a.m.,241,232,1.0
CO-50-CLE-EWR,5:09 p.m.,242,233,2.0
UA-3099-PHX-PHL,5:35 p.m.,243,234,1.0
AA-4198-ORD-CLE,12:48 p.m.,244,235,7.0
AA-404-MIA-MCO,7:32 a.m.,245,236,6.0
CO-45-EWR-MIA,6:33 p.m.,246,237,3.0
AA-3809-PHX-LAX,6:07 a.m.,247,238,1.0
AA-59-JFK-SFO,11:00 a.m.,248,239,2.0
AA-222-LAX-BOS,3:09 p.m.,249,240,2.0
AA-3859-IAH-ORD,,250,241,
AA-518-MIA-JFK,9:09 a.m.,251,242,2.0
UA-397-JFK-SFO,11:34 a.m.,252,243,1.0
UA-3925-IAD-ORF,,253,244,
AA-1733-ORD-PHX,,254,1,
AA-1640-MIA-MCO,7:35 p.m.,255,245,3.0
UA-2830-MCO-CLT,,256,246,
CO-58-DEN-IAH,,257,57,
AA-1544-SAN-ORD,,258,247,
UA-5487-SFO-MRY,,259,248,
AA-204-LAX-MCO,7:02 a.m.,260,249,1.0
UA-414-LAX-SFO,,261,250,
AA-3756-ORD-SLC,,262,251,
UA-2726-FLL-PHL,,263,252,
CO-1090-BOS-IAH,,264,65,
AA-3468-CVG-MIA,,265,253,
UA-3515-IAD-MSP,,266,254,
AA-484-DFW-MIA,,267,255,
CO-62-IAH-EWR,,268,71,
AA-446-DFW-PHL,,269,256,
AA-466-IAH-MIA,8:50 a.m.,270,76,8.0
UA-3050-PHX-CLT,,271,257,
CO-89-IAH-EWR,,272,78,
CO-1088-CLE-IAH,,273,79,
AA-1886-BOS-MIA,,274,258,
AA-1664-MIA-ATL,11:50 a.m.,275,80,16.0
AA-3979-CVG-ORD,,276,259,
AA-1279-DFW-PHX,3:13 p.m.,277,81,8.0
CO-1614-LAX-IAH,,278,62,
AA-616-DFW-DTW,1:11 p.m.,279,66,8.0
AA-4344-ORD-DTW,,280,260,
UA-2945-PHL-CLT,,281,261,
AA-2525-DFW-MIA,10:52 a.m.,282,262,1.0
AA-271-MIA-LAX,2:17 p.m.,283,263,2.0
AA-2050-ORD-MIA,2:36 p.m.,284,264,3.0
AA-1434-DFW-MCO,10:34 a.m.,285,92,6.0
CO-1561-PHX-IAH,,286,72,
AA-4307-ORD-DTW,,287,265,
AA-3-JFK-LAX,3:09 p.m.,288,266,1.0
CO-1694-LAX-IAH,,289,96,
UA-843-LAX-ORD,,290,267,
CO-1193-EWR-MCO,,291,98,
AA-3842-MSP-ORD,,292,268,
AA-643-MIA-ORD,9:23 a.m.,293,269,1.0
UA-2906-PHL-MCO,,294,270,
UA-938-DEN-ORD,,295,271,
AA-1221-MCO-ORD,,296,272,
CO-16-LAX-EWR,,297,106,
UA-2515-DFW-CLT,,298,273,
AA-400-DFW-JFK,2:52 p.m.,299,274,2.0
UA-664-ORD-PHL,,300,275,
AA-1522-SFO-ORD,5:49 a.m.,301,276,1.0
UA-233-LAX-JFK,11:56 p.m.,302,277,1.0
AA-3823-LAX-DEN,,303,32,
AA-2312-DFW-DTW,11:54 p.m.,304,278,1.0
AA-1165-JFK-MIA,9:56 a.m.,305,279,1.0
AA-431-MIA-SFO,11:39 a.m.,306,280,1.0
UA-257-JFK-SFO,,307,281,
UA-3373-IAD-PHL,,308,282,
AA-649-ORD-SNA,,309,36,
CO-1250-MIA-IAH,,310,119,
UA-6273-YYC-SFO,,311,283,
UA-858-PVG-SFO,,312,284,
UA-2704-DTW-PHX,,313,285,
AA-3063-SLC-LAX,,314,37,
UA-2708-EWR-CLT,,315,286,
UA-62-IAH-EWR,,316,127,
AA-3804-PHL-ORD,,317,287,
AA-1917-JFK-MCO,,318,288,
AA-2268-PHX-ORD,11:04 a.m.,319,131,9.0
UA-2314-ATL-PHL,,320,289,
AA-4277-CVG-JFK,,321,290,
AA-2957-DFW-CVG,,322,291,
UA-37-EDI-EWR,,323,134,
AA-789-ORD-DEN,2:49 p.m.,324,135,9.0
UA-854-SFO-IAH,1:23 p.m.,325,82,5.0
AA-415-BOS-ORD,,326,292,
AA-85-JFK-SFO,,327,293,
AA-3786-IAH-ORD,,328,294,
CO-50-CLE-EWR,,329,141,
UA-3099-PHX-PHL,,330,295,
AA-4198-ORD-CLE,,331,296,
AA-404-MIA-MCO,7:40 a.m.,332,18,11.0
CO-45-EWR-MIA,,333,145,
AA-3809-PHX-LAX,,334,297,
AA-59-JFK-SFO,10:49 a.m.,335,298,2.0
AA-222-LAX-BOS,,336,299,
AA-3859-IAH-ORD,9:22 a.m.,337,50,15.0
CO-1586-IAH-MCO,,338,51,
AA-518-MIA-JFK,9:14 a.m.,339,52,6.0
UA-397-JFK-SFO,11:30 a.m.,340,53,5.0
UA-3925-IAD-ORF,9:29 a.m.,341,54,4.0
AA-1733-ORD-PHX,10:31 p.m.,342,55,4.0
UA-2830-MCO-CLT,5:14 p.m.,343,56,4.0
CO-58-DEN-IAH,,344,57,
AA-1544-SAN-ORD,4:54 p.m.,345,58,5.0
UA-5487-SFO-MRY,11:11 a.m.,346,59,4.0
AA-204-LAX-MCO,12/2/11 6:35 a.m.,347,60,4.0
UA-414-LAX-SFO,7:04 a.m.,348,61,5.0
CO-1614-LAX-IAH,,349,62,
UA-2726-FLL-PHL,6:25 p.m.,350,63,10.0
CO-52-IAH-LAX,,351,64,
CO-1090-BOS-IAH,,352,65,
AA-616-DFW-DTW,1:11 p.m.,353,66,8.0
UA-3515-IAD-MSP,9:56 a.m.,354,67,16.0
AA-3468-CVG-MIA,9:29 a.m.,355,68,7.0
AA-484-DFW-MIA,7:37 p.m.,356,69,7.0
AA-1886-BOS-MIA,1:36 p.m.,357,70,5.0
CO-62-IAH-EWR,,358,71,
CO-1561-PHX-IAH,,359,72,
UA-2314-ATL-PHL,4:43 p.m.,360,73,4.0
AA-446-DFW-PHL,4:08 p.m.,361,74,5.0
CO-1023-IAH-DEN,,362,75,
AA-466-IAH-MIA,8:50 a.m.,363,76,8.0
UA-3050-PHX-CLT,5:00 p.m.,364,77,4.0
CO-89-IAH-EWR,,365,78,
CO-1088-CLE-IAH,,366,79,
AA-1664-MIA-ATL,11:50 a.m.,367,80,16.0
AA-1279-DFW-PHX,3:13 p.m.,368,81,8.0
UA-854-SFO-IAH,1:23 p.m.,369,82,5.0
UA-382-IAD-LAX,3:09 p.m.,370,83,4.0
AA-4344-ORD-DTW,1:55 p.m.,371,84,5.0
UA-257-JFK-SFO,5:22 p.m.,372,85,5.0
UA-2945-PHL-CLT,1:11 p.m.,373,86,4.0
CO-63-EWR-IAH,,374,87,
CO-47-IAH-LAX,,375,88,
AA-2050-ORD-MIA,2:39 p.m.,376,89,7.0
UA-248-PHX-ORD,5:24 p.m.,377,90,4.0
AA-4330-CVG-ORD,,378,91,
AA-1434-DFW-MCO,10:34 a.m.,379,92,6.0
AA-1640-MIA-MCO,7:25 p.m.,380,93,7.0
AA-4307-ORD-DTW,8:38 p.m.,381,94,8.0
AA-3-JFK-LAX,3:04 p.m.,382,95,7.0
CO-1694-LAX-IAH,,383,96,
UA-843-LAX-ORD,7:20 p.m.,384,97,4.0
CO-1193-EWR-MCO,,385,98,
AA-3842-MSP-ORD,7:49 a.m.,386,99,8.0
AA-643-MIA-ORD,9:26 a.m.,387,100,8.0
AA-1007-MIA-PHX,7:43 p.m.,388,101,7.0
AA-2525-DFW-MIA,10:43 a.m.,389,102,8.0
UA-2906-PHL-MCO,6:28 p.m.,390,103,4.0
UA-938-DEN-ORD,7:23 p.m.,391,104,5.0
AA-1221-MCO-ORD,9:47 p.m.,392,105,7.0
CO-16-LAX-EWR,,393,106,
UA-2515-DFW-CLT,10:43 a.m.,394,107,4.0
AA-400-DFW-JFK,2:58 p.m.,395,108,6.0
UA-664-ORD-PHL,4:20 p.m.,396,109,8.0
AA-3756-ORD-SLC,2:50 p.m.,397,4,15.0
UA-37-EWR-MCO,,398,110,
AA-1522-SFO-ORD,5:52 a.m.,399,111,4.0
UA-233-LAX-JFK,12/2/11 12:01 a.m.,400,112,4.0
AA-3823-LAX-DEN,11:49 p.m.,401,113,4.0
AA-2312-DFW-DTW,11:35 p.m.,402,114,7.0
AA-1165-JFK-MIA,9:45 a.m.,403,115,7.0
AA-431-MIA-SFO,11:33 a.m.,404,116,7.0
UA-3373-IAD-PHL,9:13 a.m.,405,117,19.0
AA-649-ORD-SNA,3:29 p.m.,406,118,4.0
CO-1250-MIA-IAH,,407,119,
UA-6273-YYC-SFO,8:33 a.m.,408,120,5.0
UA-828-SFO-ORD,,409,121,
CO-4888-IAH-DAL,6:19 p.m.,410,122,4.0
UA-858-PVG-SFO,7:50 a.m.,411,123,4.0
UA-2704-DTW-PHX,1:52 p.m.,412,124,4.0
AA-3063-SLC-LAX,9:12 p.m.,413,125,4.0
UA-2708-EWR-CLT,4:22 p.m.,414,126,4.0
UA-62-IAH-EWR,,415,127,
UA-1500-IAH-GUA,,416,128,
AA-3804-PHL-ORD,3:36 p.m.,417,129,13.0
AA-1917-JFK-MCO,5:39 p.m.,418,130,6.0
AA-2268-PHX-ORD,11:04 a.m.,419,131,9.0
AA-4277-CVG-JFK,1:42 p.m.,420,132,7.0
AA-2957-DFW-CVG,10:58 a.m.,421,133,7.0
UA-37-EDI-EWR,,422,134,
AA-789-ORD-DEN,2:49 p.m.,423,135,9.0
AA-415-BOS-ORD,10:12 a.m.,424,136,4.0
AA-85-JFK-SFO,6:30 p.m.,425,137,7.0
AA-3979-CVG-ORD,7:59 a.m.,426,138,7.0
AA-3786-IAH-ORD,6:11 p.m.,427,139,7.0
AA-271-MIA-LAX,2:21 p.m.,428,140,7.0
CO-50-CLE-EWR,,429,141,
UA-3099-PHX-PHL,5:34 p.m.,430,142,6.0
AA-4198-ORD-CLE,12:37 p.m.,431,143,7.0
AA-404-MIA-MCO,7:37 a.m.,432,144,5.0
CO-45-EWR-MIA,,433,145,
AA-3809-PHX-LAX,6:15 a.m.,434,146,4.0
AA-59-JFK-SFO,10:52 a.m.,435,147,8.0
AA-222-LAX-BOS,3:12 p.m.,436,148,7.0
AA-3859-IAH-ORD,9:22 a.m.,437,50,15.0
CO-1586-IAH-MCO,10:29 p.m.,438,300,11.0
AA-518-MIA-JFK,9:28 a.m.,439,3,13.0
UA-397-JFK-SFO,11:58 a.m.,440,301,13.0
UA-3925-IAD-ORF,9:43 a.m.,441,302,13.0
AA-1733-ORD-PHX,,442,1,
AA-3-JFK-LAX,3:16 p.m.,443,24,15.0
UA-2830-MCO-CLT,5:17 p.m.,444,155,14.0
CO-58-DEN-IAH,3:31 p.m.,445,303,13.0
UA-5487-SFO-MRY,11:21 a.m.,446,304,9.0
AA-204-LAX-MCO,,447,5,
UA-414-LAX-SFO,7:17 a.m.,448,305,12.0
CO-1614-LAX-IAH,5:26 a.m.,449,306,12.0
UA-2726-FLL-PHL,6:25 p.m.,450,63,10.0
CO-52-IAH-LAX,9:09 a.m.,451,161,7.0
CO-1090-BOS-IAH,1:19 p.m.,452,307,14.0
AA-616-DFW-DTW,1:18 p.m.,453,163,6.0
UA-3515-IAD-MSP,9:56 a.m.,454,67,16.0
AA-3468-CVG-MIA,9:45 a.m.,455,6,15.0
AA-484-DFW-MIA,7:39 p.m.,456,7,14.0
AA-1886-BOS-MIA,1:40 p.m.,457,10,11.0
CO-62-IAH-EWR,7:10 p.m.,458,308,14.0
CO-1561-PHX-IAH,11:32 a.m.,459,309,12.0
UA-2314-ATL-PHL,5:00 p.m.,460,310,5.0
AA-446-DFW-PHL,4:09 p.m.,461,8,16.0
CO-1023-IAH-DEN,1:14 p.m.,462,311,13.0
AA-466-IAH-MIA,9:05 a.m.,463,9,13.0
UA-3050-PHX-CLT,5:03 p.m.,464,173,6.0
CO-89-IAH-EWR,10:27 a.m.,465,312,13.0
CO-1088-CLE-IAH,10:56 a.m.,466,313,12.0
AA-1664-MIA-ATL,11:50 a.m.,467,80,16.0
AA-1279-DFW-PHX,3:19 p.m.,468,176,7.0
UA-854-SFO-IAH,1:30 p.m.,469,314,14.0
UA-382-IAD-LAX,3:21 p.m.,470,315,11.0
AA-4344-ORD-DTW,2:01 p.m.,471,179,7.0
UA-257-JFK-SFO,5:42 p.m.,472,316,15.0
UA-2945-PHL-CLT,1:14 p.m.,473,181,7.0
CO-63-EWR-IAH,8:03 p.m.,474,317,12.0
CO-47-IAH-LAX,9:38 p.m.,475,183,6.0
AA-2050-ORD-MIA,2:46 p.m.,476,20,15.0
UA-248-PHX-ORD,5:34 p.m.,477,318,12.0
AA-4330-CVG-ORD,3:25 p.m.,478,186,6.0
AA-1434-DFW-MCO,10:29 a.m.,479,187,9.0
AA-1640-MIA-MCO,,480,2,
AA-4307-ORD-DTW,8:43 p.m.,481,189,6.0
CO-1694-LAX-IAH,,482,96,
UA-843-LAX-ORD,7:58 p.m.,483,319,13.0
CO-1193-EWR-MCO,12:09 p.m.,484,320,15.0
AA-3842-MSP-ORD,7:51 a.m.,485,25,15.0
AA-643-MIA-ORD,9:29 a.m.,486,193,6.0
AA-1007-MIA-PHX,7:53 p.m.,487,194,6.0
UA-2906-PHL-MCO,6:35 p.m.,488,321,5.0
UA-938-DEN-ORD,7:36 p.m.,489,322,13.0
AA-1221-MCO-ORD,9:49 p.m.,490,197,7.0
CO-16-LAX-EWR,6:34 p.m.,491,323,13.0
UA-2515-DFW-CLT,10:45 a.m.,492,199,7.0
AA-400-DFW-JFK,3:04 p.m.,493,29,14.0
UA-664-ORD-PHL,4:23 p.m.,494,324,15.0
AA-3756-ORD-SLC,2:52 p.m.,495,202,7.0
UA-37-EWR-MCO,4:17 p.m.,496,325,13.0
AA-1522-SFO-ORD,,497,31,
UA-233-LAX-JFK,,498,326,
AA-3823-LAX-DEN,,499,32,
AA-2312-DFW-DTW,,500,33,
AA-1165-JFK-MIA,10:04 a.m.,501,34,13.0
