City,State,original_index,unique_index
hartselle,al,159,19
hartselle,al,160,19
hartselle,al,161,19
hartselle,al,162,19
hartselle,al,163,19
hartselle,al,164,19
hartselle,ax,165,20
hartselle,al,166,19
hartselle,al,167,19
hartselle,al,168,19
guntersville,al,169,21
guntersville,al,170,21
guntersville,al,171,21
guntersville,al,172,21
guntersville,al,173,21
guntersville,al,174,21
guntersville,al,175,21
guntersville,al,176,21
guntersville,al,177,21
guntersville,al,178,21
guntersville,al,179,21
guntxrsvillx,al,180,22
guntersville,al,181,21
guntersville,xl,182,23
guntersville,al,183,21
guntersville,al,184,21
guntersville,al,185,21
guntersville,al,186,21
guntersville,al,187,21
guntersville,al,188,21
guntersville,al,189,21
guntersville,al,190,21
guntersville,al,191,21
guntersville,al,192,21
guntersville,al,193,21
birmingham,al,194,0
birmingham,al,195,0
birmingham,al,196,0
birmingham,al,197,0
birmingham,al,198,0
birmingham,al,199,0
birmingham,al,200,0
birmingham,al,201,0
birmingham,al,202,0
birmingham,al,203,0
birmingham,al,204,0
birmingham,al,205,0
birmingham,al,206,0
birmixgham,al,207,24
birmingham,al,208,0
birmingham,al,209,0
birmingham,al,210,0
birmingham,al,211,0
bxrmxngham,al,212,25
birmingham,al,213,0
birmingham,al,214,0
birmingham,al,215,0
birmingham,al,216,0
birmingham,al,217,0
birmingham,al,218,0
fort payne,al,219,26
fort payne,al,220,26
fort payne,al,221,26
fort payne,al,222,26
fort payne,al,223,26
fort payne,al,224,26
fort payne,al,225,26
fort payne,al,226,26
fort payne,al,227,26
fort payxe,ax,228,27
fort payne,al,229,26
fort payne,al,230,26
fort payne,al,231,26
fort payne,al,232,26
fort payne,al,233,26
fort payne,al,234,26
fort payne,al,235,26
fort payne,al,236,26
fort payne,al,237,26
fort payne,al,238,26
fort payne,al,239,26
fort payne,al,240,26
fort payne,al,241,26
fort payne,al,242,26
fort payne,al,243,26
thomasville,al,244,28
thomasville,al,245,28
thomasville,al,246,28
thomasville,al,247,28
thomasville,al,248,28
thomasville,al,249,28
thomasville,al,250,28
thomasville,al,251,28
thomasville,al,252,28
thomasville,al,253,28
thomasville,al,254,28
thomasville,al,255,28
thomasville,al,256,28
thomasville,al,257,28
thomasville,al,258,28
thomasville,al,259,28
thomasville,al,260,28
thomasville,al,261,28
thomasville,al,262,28
thomasville,al,263,28
thomasville,al,264,28
thomasville,al,265,28
thomasville,al,266,28
thomasville,al,267,28
thomasville,al,268,28
alabaster,al,269,29
alabaster,al,270,29
alabaster,al,271,29
alabaster,al,272,29
alabaster,al,273,29
alabaster,al,274,29
alabaster,al,275,29
alabaster,al,276,29
alabaster,al,277,29
alabaster,xl,278,30
alabaster,al,279,29
alabaster,al,280,29
alabaster,al,281,29
alabaster,al,282,29
alabaster,al,283,29
alabaster,al,284,29
alabaster,al,285,29
alabaster,al,286,29
alabaster,al,287,29
alabaster,al,288,29
alabaster,al,289,29
alabaster,al,290,29
alabaster,al,291,29
alabaster,al,292,29
alabaster,al,293,29
birmingham,al,294,0
birmingham,al,295,0
birmingham,al,296,0
birmingham,al,297,0
birmingham,al,298,0
birmingham,al,299,0
birmingham,al,300,0
birmingham,al,301,0
birmingham,al,302,0
birmingham,al,303,0
birmingham,al,304,0
birmingham,al,305,0
birmingham,al,306,0
birmingham,al,307,0
birmingham,al,308,0
birmingham,al,309,0
birmingham,al,310,0
axxistox,al,311,31
anniston,al,312,32
anniston,al,313,32
anniston,al,314,32
anniston,al,315,32
anniston,al,316,32
anniston,al,317,32
anniston,al,318,32
anniston,al,319,32
anniston,al,320,32
anniston,al,321,32
anniston,al,322,32
anniston,al,323,32
anniston,al,324,32
anniston,al,325,32
anniston,al,326,32
anniston,al,327,32
anniston,al,328,32
anniston,al,329,32
anniston,al,330,32
dothan,al,331,5
dothan,al,332,5
dothan,al,333,5
dothan,al,334,5
dothan,al,335,5
dothan,al,336,5
dothan,al,337,5
dothan,al,338,5
dothan,al,339,5
dothan,al,340,5
dothan,al,341,5
dothan,al,342,5
dothan,al,343,5
dothan,al,344,5
dothan,al,345,5
dothan,al,346,5
dothan,al,347,5
birmingham,al,348,0
birmingham,al,349,0
birmingham,al,350,0
birmingham,al,351,0
birmingham,al,352,0
decatur,al,353,33
winfield,al,354,34
winfield,al,355,34
winfield,ax,356,35
winfield,al,357,34
winfield,al,358,34
winfield,al,359,34
winfield,al,360,34
winfield,al,361,34
winfield,al,362,34
winfield,al,363,34
winfield,al,364,34
winfield,al,365,34
winfield,al,366,34
winfielx,al,367,36
winfield,al,368,34
winfield,al,369,34
winfield,al,370,34
winfield,al,371,34
winfield,al,372,34
winfield,al,373,34
winfield,al,374,34
winfield,al,375,34
winfield,al,376,34
winfield,al,377,34
winfield,al,378,34
mobile,al,379,37
mobile,al,380,37
mobile,al,381,37
mobile,al,382,37
mobile,al,383,37
mobile,al,384,37
mobile,al,385,37
mobile,xl,386,38
mobile,al,387,37
mobile,al,388,37
mobile,al,389,37
mobile,al,390,37
mobile,al,391,37
prattville,al,392,39
prattville,al,393,39
prattville,al,394,39
prattville,al,395,39
prattville,al,396,39
prattville,al,397,39
prattville,al,398,39
prattville,al,399,39
prattville,al,400,39
prattville,al,401,39
prattville,ax,402,40
prattville,al,403,39
prattville,al,404,39
prattville,al,405,39
prattville,al,406,39
prattville,al,407,39
prattville,al,408,39
prattville,al,409,39
prattville,al,410,39
prattville,al,411,39
russellville,al,412,41
russellville,al,413,41
sylacauga,al,414,42
sylacauga,al,415,42
sylacauga,al,416,42
sylacauga,al,417,42
sylacauga,al,418,42
sylacauga,al,419,42
sylacauga,al,420,42
sylacauga,al,421,42
sylacauga,al,422,42
sylacauga,al,423,42
sylacauga,al,424,42
sylacauga,al,425,42
sylacauga,al,426,42
sylacauga,al,427,42
sylacauga,al,428,42
sylacauga,al,429,42
sylacauga,al,430,42
sylacauga,al,431,42
anchorage,ak,432,43
anchorage,ak,433,43
anchorage,ak,434,43
anchorage,ak,435,43
anchorage,ak,436,43
anchoraxe,ak,437,44
anchorage,ak,438,43
anchorage,ak,439,43
anchorage,ak,440,43
anchorage,ak,441,43
anchorage,ak,442,43
anchorage,ak,443,43
anchorage,ak,444,43
anchorage,ak,445,43
anchorage,ak,446,43
anchorage,ak,447,43
anchorage,ak,448,43
anchorage,ak,449,43
bethel,ak,450,45
bethel,ak,451,45
sheffield,al,452,3
sheffield,al,453,3
sheffield,al,454,3
sheffield,al,455,3
sheffield,al,456,3
sheffield,al,457,3
sheffield,al,458,3
sheffield,al,459,3
sheffield,al,460,3
sheffield,al,461,3
sheffield,al,462,3
sheffield,al,463,3
sheffield,al,464,3
sheffield,al,465,3
ozark,al,466,46
ozark,al,467,46
ozark,al,468,46
ozark,al,469,46
ozark,al,470,46
ozark,al,471,46
ozark,al,472,46
ozark,al,473,46
ozarx,al,474,47
ozark,al,475,46
ozark,al,476,46
ozark,xl,477,48
ozark,al,478,46
ozark,al,479,46
ozark,al,480,46
ozark,al,481,46
ozark,al,482,46
ozark,xl,483,48
ozark,al,484,46
xzark,al,485,49
ozark,al,486,46
ozark,al,487,46
ozark,al,488,46
ozark,al,489,46
ozark,al,490,46
centre,al,491,50
centre,al,492,50
centre,al,493,50
centre,al,494,50
centre,al,495,50
centre,al,496,50
centre,al,497,50
centre,al,498,50
centre,al,499,50
centre,al,500,50
centre,al,501,50
centre,al,502,50
centre,al,503,50
centre,ax,504,51
centre,al,505,50
centre,al,506,50
centre,al,507,50
centre,al,508,50
centre,al,509,50
centre,al,510,50
centre,al,511,50
centre,al,512,50
centre,al,513,50
centre,al,514,50
centre,al,515,50
montgomery,al,516,52
montxomery,al,517,53
montgomery,al,518,52
montgomery,al,519,52
montgomery,al,520,52
montgomery,al,521,52
montgomery,al,522,52
montgomery,al,523,52
montgomery,al,524,52
montgomery,al,525,52
montgomery,al,526,52
montgomery,al,527,52
montgomery,al,528,52
montgomery,al,529,52
montgomery,al,530,52
montgomery,al,531,52
montgomery,al,532,52
montgomery,al,533,52
montgomery,al,534,52
montgomery,al,535,52
montgomery,al,536,52
montgomery,al,537,52
montgomery,al,538,52
montgomery,al,539,52
montgomery,al,540,52
montgomery,al,541,52
montgomery,al,542,52
montgomery,al,543,52
montgomery,al,544,52
montgomery,al,545,52
montgomery,al,546,52
montgomery,al,547,52
montgomery,al,548,52
montgomery,al,549,52
montgomery,al,550,52
montgomery,al,551,52
montgomery,al,552,52
montgomery,al,553,52
montgomery,al,554,52
montgomery,al,555,52
montgomery,al,556,52
montgomery,al,557,52
montgomery,al,558,52
montgomery,xl,559,54
montgomery,al,560,52
montgomery,al,561,52
montgomery,al,562,52
montgomery,al,563,52
montgomery,al,564,52
montgomery,al,565,52
valley,al,566,55
valley,al,567,55
valley,al,568,55
valley,al,569,55
valley,al,570,55
valley,al,571,55
valley,ax,572,56
valley,al,573,55
valley,al,574,55
valley,al,575,55
valley,al,576,55
valley,al,577,55
vallex,al,578,57
valley,al,579,55
valley,al,580,55
valley,al,581,55
valley,al,582,55
valley,al,583,55
valley,al,584,55
valley,al,585,55
valley,al,586,55
valley,al,587,55
valley,al,588,55
valley,al,589,55
vxlley,al,590,58
elba,al,591,59
elba,ax,592,60
elba,al,593,59
elba,al,594,59
elba,al,595,59
elba,al,596,59
elba,al,597,59
elba,al,598,59
elba,al,599,59
elba,al,600,59
exba,al,601,61
elba,al,602,59
elba,al,603,59
elba,al,604,59
elba,al,605,59
elba,al,606,59
elba,al,607,59
elba,al,608,59
elba,al,609,59
elba,al,610,59
elba,al,611,59
elba,al,612,59
elba,al,613,59
elba,al,614,59
elba,al,615,59
opelika,al,616,62
opelika,al,617,62
opelika,al,618,62
opelika,al,619,62
opelika,al,620,62
opelika,al,621,62
opelika,al,622,62
opelika,al,623,62
opelika,al,624,62
opelika,al,625,62
opelika,al,626,62
opelika,al,627,62
opelika,al,628,62
opelika,al,629,62
opelika,al,630,62
opelika,al,631,62
opelika,al,632,62
opelika,al,633,62
opelika,al,634,62
opelika,al,635,62
opelika,al,636,62
opelika,al,637,62
opelika,al,638,62
opelika,al,639,62
opelika,al,640,62
wedowee,al,641,63
wedowee,al,642,63
wedowee,al,643,63
wedowee,al,644,63
wedowee,al,645,63
wedowee,al,646,63
wedowee,al,647,63
wedowee,al,648,63
wedowee,al,649,63
wedowee,al,650,63
wedowee,al,651,63
wedowee,al,652,63
wedowee,al,653,63
wxdowxx,al,654,64
wedowee,al,655,63
wedowee,al,656,63
wedowee,al,657,63
wedowee,al,658,63
wedowee,al,659,63
wedowee,al,660,63
wedowee,al,661,63
wedowee,al,662,63
wedowee,al,663,63
wedowee,al,664,63
wedowee,al,665,63
birmingham,al,666,0
birmingham,al,667,0
birmingham,al,668,0
birmingham,al,669,0
birmingham,al,670,0
birmingham,al,671,0
birmingham,al,672,0
birmingham,al,673,0
birmingham,al,674,0
birmingham,al,675,0
birmingham,al,676,0
birmingham,al,677,0
birmingham,al,678,0
birmingham,al,679,0
birmingham,al,680,0
birmingham,al,681,0
birmingham,al,682,0
birmingham,al,683,0
birmingham,al,684,0
birmingham,al,685,0
birmingham,al,686,0
birmingham,al,687,0
birmingham,al,688,0
birmingham,al,689,0
birminxham,al,690,65
tallassee,al,691,66
tallassee,al,692,66
tallassee,al,693,66
tallassee,al,694,66
tallassee,al,695,66
tallaxxee,al,696,67
tallassee,al,697,66
tallassee,al,698,66
tallassee,al,699,66
tallassee,al,700,66
tallassee,xl,701,68
tallassee,al,702,66
tallassee,al,703,66
tallassee,al,704,66
tallassee,al,705,66
tallassee,al,706,66
tallassee,al,707,66
tallassee,al,708,66
tallassee,al,709,66
tallassee,al,710,66
tallassee,al,711,66
tallassee,al,712,66
tallassee,al,713,66
tallassee,al,714,66
tallassee,al,715,66
cullman,al,716,69
cullman,al,717,69
cullman,al,718,69
cullman,al,719,69
cullman,al,720,69
cullman,al,721,69
cullman,al,722,69
cullman,al,723,69
cullman,al,724,69
cullman,al,725,69
cullman,al,726,69
cullman,al,727,69
cullman,al,728,69
cullman,al,729,69
cullman,al,730,69
cullman,al,731,69
cullman,al,732,69
cullman,al,733,69
cullman,al,734,69
cullman,al,735,69
cuxxman,al,736,70
cullman,al,737,69
cullman,al,738,69
cullman,al,739,69
cullman,al,740,69
andalusia,al,741,71
andalusia,al,742,71
andalusia,al,743,71
andalusia,al,744,71
andalusia,al,745,71
andalusia,al,746,71
andalusia,al,747,71
andalusia,al,748,71
andalusia,al,749,71
andalusia,al,750,71
andalusia,al,751,71
andalusia,al,752,71
andalusia,al,753,71
andalusia,al,754,71
andalusia,al,755,71
andaluxia,al,756,72
andalusia,al,757,71
andalusia,al,758,71
andalusia,al,759,71
andalusia,al,760,71
andalusia,al,761,71
andalusia,al,762,71
andalusia,al,763,71
andalusia,xl,764,73
andalusia,al,765,71
anniston,al,766,32
anniston,al,767,32
anniston,al,768,32
anniston,al,769,32
anniston,al,770,32
anniston,al,771,32
annxston,al,772,74
anniston,al,773,32
huntsville,al,774,75
huntsville,al,775,75
huntsville,al,776,75
huntsville,al,777,75
huntsville,al,778,75
huntsville,al,779,75
huntsville,al,780,75
huntsville,al,781,75
huntsville,al,782,75
huntsville,al,783,75
huntsville,al,784,75
huntsville,al,785,75
huntsville,al,786,75
huntsville,al,787,75
huntsville,al,788,75
huntsville,al,789,75
huntsville,al,790,75
huntsville,xl,791,76
huntsville,al,792,75
huntsville,al,793,75
huntsville,al,794,75
huntsville,al,795,75
huntsville,al,796,75
huntsville,al,797,75
huntsville,al,798,75
huntsville,al,799,75
huntsville,al,800,75
huntsville,al,801,75
gadsden,al,802,77
gadsden,al,803,77
gadsden,al,804,77
gadsden,al,805,77
gadsden,al,806,77
gadsden,al,807,77
gadsden,al,808,77
gadsden,al,809,77
gadsden,al,810,77
gadsden,al,811,77
gadsden,al,812,77
gadsden,al,813,77
gadsden,al,814,77
gadsden,al,815,77
gadsden,al,816,77
gadsden,al,817,77
gadsden,al,818,77
gadsden,al,819,77
gadsden,al,820,77
gxdsden,al,821,78
gadsden,al,822,77
gadsden,al,823,77
gadsden,al,824,77
gadsden,al,825,77
gadsden,al,826,77
clanton,al,827,79
clanton,al,828,79
clanton,al,829,79
clanton,al,830,79
clanton,al,831,79
clanton,al,832,79
clanton,al,833,79
clanton,al,834,79
clanton,al,835,79
clanton,al,836,79
clanton,al,837,79
clanton,al,838,79
clanton,al,839,79
clanton,al,840,79
clanton,al,841,79
clanton,al,842,79
clanton,al,843,79
clanton,al,844,79
clanton,al,845,79
clanton,al,846,79
clanton,al,847,79
clanton,al,848,79
clanton,al,849,79
clanton,al,850,79
clanton,al,851,79
hamilton,al,852,80
hamilton,al,853,80
hamilton,al,854,80
hamilxon,al,855,81
hamilton,al,856,80
hamilton,al,857,80
hamilton,al,858,80
hamilton,al,859,80
hamilton,al,860,80
hamilton,al,861,80
hamilton,al,862,80
hamilton,al,863,80
hamilton,al,864,80
hamilton,al,865,80
hamilton,al,866,80
hamilton,al,867,80
hamilton,al,868,80
hamilton,al,869,80
hamilton,al,870,80
hamilton,al,871,80
hamilton,al,872,80
hamilton,al,873,80
hamilton,al,874,80
hamilton,al,875,80
hamilton,al,876,80
fayette,al,877,82
fayette,al,878,82
fayette,al,879,82
fayette,al,880,82
fayette,al,881,82
fayette,al,882,82
fayette,al,883,82
fayette,xl,884,83
fayette,al,885,82
fayette,xl,886,83
fayette,al,887,82
fayette,al,888,82
fayette,al,889,82
fayette,al,890,82
fayette,al,891,82
fayette,al,892,82
fayette,al,893,82
fayette,al,894,82
faxette,al,895,84
fayette,al,896,82
fayette,al,897,82
fayette,al,898,82
fayette,al,899,82
fayette,al,900,82
fayette,al,901,82
gadsden,al,902,77
gadsden,al,903,77
gadsden,al,904,77
gadsden,al,905,77
gadsden,al,906,77
gadsden,al,907,77
gadsden,al,908,77
gadsden,al,909,77
gadsden,al,910,77
gadsden,al,911,77
gadsden,al,912,77
gadsden,al,913,77
gadsden,al,914,77
gadsden,al,915,77
gadsden,al,916,77
gadsden,al,917,77
gadsden,al,918,77
gadsden,al,919,77
gadsden,al,920,77
gadsden,al,921,77
gadsden,ax,922,85
gadsden,al,923,77
gadsden,al,924,77
gadsden,al,925,77
gadsden,al,926,77
gadsden,al,927,77
gadsden,al,928,77
gadsden,al,929,77
georgiana,al,930,86
georgiana,al,931,86
georgiana,al,932,86
georgiana,al,933,86
georgiana,al,934,86
georgiana,al,935,86
georgiana,al,936,86
georgiana,al,937,86
georgiana,al,938,86
georgiana,al,939,86
georgiana,al,940,86
georgiana,al,941,86
georgiana,al,942,86
georgiana,al,943,86
georgiana,al,944,86
georgiana,al,945,86
georgiana,al,946,86
georgiana,al,947,86
georgiana,al,948,86
geoxgiana,al,949,87
georgiana,al,950,86
georgiana,al,951,86
georgiana,al,952,86
georgiana,al,953,86
georgiana,al,954,86
enterprise,al,955,88
enterprise,al,956,88
enterprise,al,957,88
enterprise,al,958,88
enterprise,al,959,88
enterprxse,al,960,89
enterprise,al,961,88
enterprise,al,962,88
enterprise,al,963,88
enterprise,al,964,88
enterprise,al,965,88
enterprise,al,966,88
enterprise,al,967,88
xntxrprisx,al,968,90
enterprise,al,969,88
enterprise,al,970,88
enterprise,al,971,88
enterprise,al,972,88
enterprise,al,973,88
enterprise,al,974,88
enterprise,al,975,88
enterprise,al,976,88
enterprise,al,977,88
enterprise,al,978,88
enterprise,al,979,88
oneonta,al,980,91
oneonta,al,981,91
oneonta,al,982,91
oneonta,al,983,91
oneonta,al,984,91
onxonta,al,985,92
oneonta,al,986,91
oneonta,al,987,91
oneonta,al,988,91
oneonta,al,989,91
oneonta,al,990,91
oneonta,al,991,91
oneonta,al,992,91
oneonta,al,993,91
oneonta,al,994,91
oneonta,al,995,91
oneonta,al,996,91
oneonta,al,997,91
oneonta,al,998,91
oneonta,al,999,91
