MeasureName,Stateavg,original_index,unique_index,count
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,27,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,28,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,29,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,30,19,38
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,31,20,36
pneumonia patients given smoking cessation advice/counseling,al_pn-4,32,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,33,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,34,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,35,24,34
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,36,25,36
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,37,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,38,2,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,39,3,37
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,40,4,33
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,41,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,42,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,43,7,36
heart attack patients given aspirin at arrival,al_ami-1,44,8,30
heart attack patients given aspirin at discharge,al_ami-2,45,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,46,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,47,11,40
heart attack patients given beta blocker at discharge,al_ami-5,48,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,49,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,50,14,37
heart failure patients given discharge instructions,al_hf-1,51,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,52,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,53,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,54,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,55,19,38
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-xb,56,26,1
pneumonia patients given smoking cessation advice/counseling,al_pn-4,57,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,58,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,59,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,60,24,34
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,61,25,36
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,62,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,63,2,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,64,3,37
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,65,4,33
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,66,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,67,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,68,7,36
heart attack patients given aspirin at arrival,al_amx-1,69,27,1
heart attack patients given aspirin at discharge,al_ami-2,70,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,71,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,72,11,40
heart attack patients given beta blocker at discharge,al_ami-5,73,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,74,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,75,14,37
heart failure patients given discharge instructions,al_hf-1,76,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,77,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,78,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,79,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,80,19,38
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,81,20,36
pneumonia patients given smoking cessation advice/counseling,al_pn-4,82,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,83,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,84,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,85,24,34
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,86,25,36
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,87,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,88,2,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,89,3,37
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,90,4,33
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,91,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,92,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,93,7,36
xeart attack patients given aspirin at arrival,al_ami-1,94,28,1
heart attack patients given aspirin at discharge,al_ami-2,95,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,96,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,97,11,40
heart attack patients given beta blocker at discharge,al_ami-5,98,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,99,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,100,14,37
heart failure patients given discharge instructions,al_hf-1,101,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,102,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,103,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,104,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,105,19,38
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,106,20,36
pneumonia patients given smoking cessation advice/counseling,al_pn-4,107,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,108,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,109,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,110,24,34
surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,al_scip-card-2,111,29,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,112,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,113,2,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,114,3,37
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,115,4,33
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,116,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,117,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,118,7,36
heart attack patients given aspirin at arrivax,al_ami-1,119,30,1
heart attack patients given aspirin at discharge,al_ami-2,120,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,121,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,122,11,40
heart attack patients given beta blocker at discharge,al_ami-5,123,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,124,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,125,14,37
heart failure patients given discharge instructions,al_hf-1,126,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,127,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,128,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,129,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,130,19,38
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,131,20,36
pneumonia patients given smoking cessation advice/counseling,al_pn-4,132,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,133,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,134,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,135,24,34
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,136,25,36
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,137,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,138,2,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,139,3,37
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,140,4,33
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,141,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,142,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,143,7,36
heart attack patients given aspirin at arrival,al_ami-1,144,8,30
heart attaxk patients given aspirin at disxharge,al_ami-2,145,31,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,146,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,147,11,40
heart attack patients given beta blocker at discharge,al_ami-5,148,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,149,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,150,14,37
heart failure patients given discharge instructions,al_hf-1,151,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,152,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,153,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,154,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,155,19,38
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,156,20,36
pneumonia patients given smoking cessation advice/counseling,al_pn-4,157,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,158,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,159,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,160,24,34
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,161,25,36
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,162,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,163,2,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,164,3,37
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,165,4,33
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,166,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,167,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,168,7,36
heart attack patients given aspirin at arrival,al_ami-1,169,8,30
heart attack patients given aspirin at discharge,al_ami-2,170,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,171,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,172,11,40
heart attack patients given beta blocker at discharge,al_ami-5,173,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,174,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,175,14,37
heart failure patients given discharge instructions,al_hf-1,176,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,177,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,178,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,179,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,180,19,38
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,181,20,36
pneumonia patients given smoking cessation advice/counseling,al_pn-4,182,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,183,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,184,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,185,24,34
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,186,25,36
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,187,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,188,2,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,189,3,37
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,190,4,33
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,191,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,192,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scix-vte-2,193,32,1
heart attack patients given aspirin at arrival,al_ami-1,194,8,30
heart attack patients given aspirin at discharge,al_ami-2,195,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,196,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,197,11,40
heart attack patients given beta blocker at discharge,al_ami-5,198,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,199,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,200,14,37
heart failure patients given discharge instructions,al_hf-1,201,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,202,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,203,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,204,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,205,19,38
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,206,20,36
pneumonia patients given smoking cessation advice/counseling,al_pn-4,207,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,208,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,209,23,36
pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,al_pn-7,210,33,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,211,25,36
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,212,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_sxip-inf-2,213,34,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,214,3,37
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,215,4,33
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,216,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,217,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,218,7,36
heartxattackxpatientsxgivenxaspirinxatxarrival,al_ami-1,219,35,1
heart attack patients given aspirin at discharge,al_ami-2,220,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,221,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,222,11,40
heart attack patients given beta blocker at discharge,al_ami-5,223,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,224,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,225,14,37
heart failure patients given discharge instructions,al_hf-1,226,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,227,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,228,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,229,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,230,19,38
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,231,20,36
pneumonia patients given smoking cessation advice/counseling,al_pn-4,232,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,233,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,234,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,235,24,34
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,236,25,36
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,237,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,238,2,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,239,3,37
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,240,4,33
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,241,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,242,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,243,7,36
heart attack patients given aspirin at arrival,ax_ami-1,244,36,1
heart attack patients given aspirin at discharge,al_ami-2,245,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,246,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,247,11,40
heart attack patients given beta blocker at discharge,xl_xmi-5,248,37,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,249,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,250,14,37
heart failure patients given discharge instructions,al_hf-1,251,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,252,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,253,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,254,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,255,19,38
pneumonxa patxents whose inxtxal emergency room blood culture was performed prxor to the admxnxstratxon of the fxrst hospxtal dose of antxbxotxcs,al_pn-3b,256,38,1
pneumonia patients given smoking cessation advice/counseling,al_pn-4,257,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,258,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,259,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,260,24,34
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,261,25,36
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,262,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,263,2,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,264,3,37
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,265,4,33
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,266,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,267,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,268,7,36
heart attack patients given aspirin at arrival,al_axi-1,269,39,1
heart attack patients given aspirin at discharge,al_ami-2,270,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,271,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,272,11,40
heart attack patients given beta blocker at discharge,al_ami-5,273,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,274,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,275,14,37
heart failure patients given discharge instructions,al_hf-1,276,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,277,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,278,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,279,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,280,19,38
pnxumonia patixnts whosx initial emxrgxncy room blood culturx was pxrformxd prior to thx administration of thx first hospital dosx of antibiotics,al_pn-3b,281,40,1
pneumonia patients given smoking cessation advice/counseling,al_pn-4,282,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,283,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,284,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,285,24,34
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,286,25,36
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,287,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,288,2,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,289,3,37
all heart surgerx patients whose blood sugar (blood glucose) is kept under good control in the daxs right after surgerx,al_scip-inf-4,290,41,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,291,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,292,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,293,7,36
heart attack patients given aspirin at arrival,al_ami-1,294,8,30
heart attack patients given aspirin at discharge,al_ami-2,295,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,296,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,297,11,40
heart attack patients given beta blocker at discharge,al_ami-5,298,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,299,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,300,14,37
heart failure patients given discharge instructions,al_hf-1,301,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,302,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,303,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,304,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,305,19,38
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,306,20,36
pneumonia patients given smoking cessation advice/counseling,al_pn-4,307,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,308,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,309,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,310,24,34
children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,al_cac-2,311,42,3
children and their caregivers who received a home management plan of care document while hospitalized for asthma,al_cac-3,312,43,3
heart attack patients given aspirin at arrival,al_ami-1,313,8,30
heart attack patients given aspirin at discharge,al_ami-2,314,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,315,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,316,11,40
heart attack patients given beta blocker at discharge,al_ami-5,317,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,318,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,319,14,37
heart failure patients given discharge instructions,al_hf-1,320,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,321,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,322,17,39
