Language,Duration,original_index,unique_index
"English,Italian,Spanish",1 hr. 50 min.,227,135
English,102 min,228,33
"English,Apache languages",103 min,229,136
English,81 min,230,107
English,82 min,231,86
English,119 min,232,137
English,129 min,233,83
English,93 min,234,41
English,62 min,235,138
English,72 min,236,70
English,90 min,237,40
English,100 min,238,9
English,93 min,239,41
English,100 min,240,9
English,125 min,241,129
"English,Spanish",116 min,242,64
"English,Russian,Turkish,Ukrainian,Urdu",100 min,243,139
"English,Portuguese",106 min,244,140
English,123 min,245,141
English,127 min,246,13
"English,Italian",94 min,247,142
English,113 min,248,28
English,118 min,249,62
"English,Italian",139 min,250,143
"English,Italian,French",118 min,251,144
English,92 min,252,6
English,269 min,253,145
English,167 min,254,146
English,58 min,255,147
"English,German,Arabic,Urdu",115 min,256,148
"English,Burmese,Thai",92 min,257,149
English,93 min,258,41
English,104 min,259,19
"English,German,French",115 min,260,150
English,101 min,261,51
English,171 min,262,151
"English,Arabic",157 min,263,152
English,,264,8
English,86 min,265,36
English,84 min,266,47
English,158 min,267,153
"English,Russian",85 min,268,154
English,94 min,269,39
English,73 min,270,57
"English,Swahili",122 min,271,155
English,91 min,272,21
English,86 min,273,36
English,88 min,274,37
English,,275,8
English,79 min,276,38
English,90 min,277,40
"English,American Sign Language",96 min,278,156
English,112 min,279,65
"English,Tibetan,Mandarin",134 min,280,157
English,164 min,281,158
English,121 min,282,17
English,109 min,283,0
English,155 min,284,159
English,90 min,285,40
English,119 min,286,137
English,97 min,287,44
English,89 min,288,69
"English,Arabic",128 min,289,160
English,110 min,290,27
"English,Old English",115 min,291,161
"English,Italian",132 min,292,162
English,88 min,293,37
English,113 min,294,28
English,124 min,295,102
"English,Latin,Spanish",107 min,296,163
English,143 min,297,23
English,101 min,298,51
English,96 min,299,1
English,111 min,300,55
English,108 min,301,61
English,100 min,302,9
"English,Spanish,Russian,Italian",125 min,303,164
English,112 min,304,65
English,120 min,305,5
English,103 min,306,124
"English,German,Romanian",131 min,307,165
"English,Russian,Hindi",98 min,308,166
"English,French,Scottish Gaelic",118 min,309,167
"English,Spanish",144 min,310,168
"English,Persian,Urdu,Arabic,Hungarian",,311,169
English,136 min,312,170
English,142 min,313,93
English,,314,8
English,103 min,315,124
English,84 min,316,47
English,106 min,317,49
English,86 min,318,36
English,84 min,319,47
English,97 min,320,44
English,79 min,321,38
"Spanish,English,Italian",89 min,322,171
English,124 min,323,102
"English,Spanish",97 min,324,172
English,88 min,325,37
English,104 min,326,19
"English,Danish,Spanish",129 min,327,173
English,169 min,328,174
English,125 min,329,129
"English,Italian",89 min,330,100
English,130 min,331,175
English,106 min,332,49
English,118 min,333,62
English,124 min,334,102
English,108 min,335,61
"English,Spanish",93 min,336,176
English,101 min,337,51
English,106 min,338,49
English,110 min,339,27
English,88 min,340,37
English,94 min,341,39
English,106 min,342,49
"English,Italian",105 min,343,177
English,120 min,344,5
English,105 min,345,10
"English,Spanish",125 min,346,178
"English,Serbian",91 min,347,179
"English,Spanish",140 min,348,180
English,116 min,349,90
English,1 hr. 35 min.,350,181
"English,Urdu,Arabic,Persian,French,Mandarin",128 min,351,182
English,106 min,352,49
English,108 min,353,61
"English,Mandarin,Cantonese",106 min,354,183
"English,French",129 min,355,184
"English,Afrikaans,Maori,Zulu,Xhosa,Southern Sotho",134 min,356,185
"English,Russian",85 min,357,154
English,99 min,358,76
"English,French",89 min,359,186
"English,American Sign Language,Estonian",123 min,360,187
English,90 min,361,40
English,123 min,362,141
English,86 min,363,36
"English,German,Russian",132 min,364,188
"English,Japanese",110 min,365,189
"English,German",108 min,366,190
English,89 min,367,69
"English,French",112 min,368,191
English,84 min,369,47
English,91 min,370,21
English,125 min,371,129
English,88 min,372,37
English,95 min,373,7
English,79 min,374,38
English,113 min,375,28
"English,Portuguese",105 min,376,192
English,105 min,377,10
"English,French",101 min,378,193
English,101 min,379,51
"English,Vietnamese,French",1 hr. 34 min.,380,194
English,87 min,381,87
English,111 min,382,55
English,95 min,383,7
English,115 min,384,68
English,109 min,385,0
English,100 min,386,9
English,110 min,387,27
English,90 min,388,40
English,71 min,389,195
English,100 min,390,9
"English,Spanish",107 min,391,119
"Spanish,English",113 min,392,196
English,90 min,393,40
English,94 min,394,39
"English,Irish,Greek",104 min,395,197
English,97 min,396,44
English,100 min,397,9
English,88 min,398,37
English,95 min,399,7
English,91 min,400,21
English,94 min,401,39
English,120 min,402,5
English,102 min,403,33
English,90 min,404,40
English,97 min,405,44
English,94 min,406,39
English,113 min,407,28
English,88 min,408,37
"English,Klingon",104 min,409,198
"English,Mandarin",107 min,410,199
English,107 min,411,98
English,85 min,412,42
English,91 min,413,21
English,119 min,414,137
English,86 min,415,36
English,118 min,416,62
"English,French",124 min,417,14
English,122 min,418,63
English,118 min,419,62
"English,Spanish,German",120 min,420,200
English,96 min,421,1
English,88 min,422,37
"English,Japanese",131 min,423,201
"English,Apache languages",119 min,424,202
English,136 min,425,170
English,,426,8
"English,Spanish",116 min,427,64
English,125 min,428,129
"English,French",128 min,429,203
English,106 min,430,49
English,87 min,431,87
English,67 min,432,204
English,85 min,433,42
English,95 min,434,7
English,69 min,435,205
English,107 min,436,98
English,128 min,437,206
English,47 min,438,207
English,81 min,439,107
English,91 min,440,21
English,64 min,441,56
English,68 min,442,58
"Spanish,English",135 min,443,208
English,104 min,444,19
English,66 min,445,209
English,92 min,446,6
English,97 min,447,44
English,101 min,448,51
English,120 min,449,5
"English,Spanish",90 min,450,210
"English,Portuguese",97 min,451,211
English,98 min,452,85
English,110 min,453,27
English,106 min,454,49
English,105 min,455,10
"English,Spanish",97 min,456,172
English,,457,8
English,80 min,458,59
English,102 min,459,33
"English,French",77 min,460,212
English,202 min,461,213
English,85 min,462,42
English,105 min,463,10
English,100 min,464,9
English,132 min,465,214
"English,Spanish",147 min,466,215
English,76 min,467,113
English,72 min,468,70
"English,French",82 min,469,216
English,80 min,470,59
English,80 min,471,59
"English,German,Spanish",138 min,472,217
"English,German,Swedish,American Sign Language",106 min,473,218
English,88 min,474,37
English,74 min,475,73
English,80 min,476,59
English,,477,8
English,,478,8
English,,479,8
English,73 min,480,57
"Mandarin,English,French",125 min,481,219
English,83 min,482,131
"English,Italian,Spanish",120 min,483,220
English,128 min,484,206
English,112 min,485,65
English,109 min,486,0
"English,German,Swedish,Norwegian",128 min,487,221
English,56 min,488,222
English,113 min,489,28
English,117 min,490,223
English,99 min,491,76
English,109 min,492,0
English,100 min,493,9
English,113 min,494,28
English,1 hr. 43 min.,495,224
English,68 min,496,58
English,103 min,497,124
English,88 min,498,37
English,88 min,499,37
English,102 min,500,33
English,96 min,501,1
English,111 min,502,55
English,136 min,503,170
English,114 min,504,50
English,84 min,505,47
English,93 min,506,41
"English,Spanish",131 min,507,225
"English,Spanish",120 min,508,226
English,136 min,509,170
English,129 min,510,83
English,128 min,511,206
"English,Russian",93 min,512,227
"English,Spanish",108 min,513,228
English,90 min,514,40
English,92 min,515,6
English,101 min,516,51
English,96 min,517,1
English,86 min,518,36
English,,519,8
"English,German",180 min,520,229
"English,French",80 min,521,230
English,109 min,522,0
English,126 min,523,66
English,106 min,524,49
English,66 min,525,209
English,68 min,526,58
English,119 min,527,137
English,99 min,528,76
English,115 min,529,68
English,134 min,530,231
English,67 min,531,204
English,103 min,532,124
English,86 min,533,36
English,155 min,534,159
English,88 min,535,37
English,106 min,536,49
"English,Spanish",,537,232
"English,Serbo-Croatian",130 min,538,233
"English,Cantonese,Italian",86 min,539,234
"English,Norwegian",93 min,540,235
English,90 min,541,40
English,107 min,542,98
"English,Spanish",121 min,543,236
English,125 min,544,129
English,102 min,545,33
English,96 min,546,1
English,132 min,547,214
English,104 min,548,19
English,91 min,549,21
English,92 min,550,6
English,108 min,551,61
"English,French,Spanish",123 min,552,237
English,102 min,553,33
English,82 min,554,86
English,82 min,555,86
English,87 min,556,87
English,85 min,557,42
English,99 min,558,76
English,94 min,559,39
English,95 min,560,7
English,103 min,561,124
English,237 min,562,238
English,161 min,563,239
English,88 min,564,37
English,,565,8
English,116 min,566,90
English,100 min,567,9
"English,Japanese",129 min,568,240
English,131 min,569,241
English,,570,8
English,105 min,571,10
English,129 min,572,83
English,,573,8
English,85 min,574,42
English,122 min,575,63
English,101 min,576,51
"English,Spanish",101 min,577,242
"English,Hungarian,Hebrew",98 min,578,243
"English,Arabic,Spanish",116 min,579,244
"English,French,Spanish",,580,245
English,102 min,581,33
English,105 min,582,10
English,103 min,583,124
English,109 min,584,0
English,111 min,585,55
English,113 min,586,28
"English,Spanish",100 min,587,246
English,78 min,588,96
English,104 min,589,19
English,122 min,590,63
English,98 min,591,85
English,99 min,592,76
English,105 min,593,10
"English,North American Indian",149 min,594,247
"English,Afrikaans,Spanish",115 min,595,248
"English,Italian,Spanish",130 min,596,249
English,100 min,597,9
English,157 min,598,250
English,93 min,599,41
"English,Spanish",98 min,600,251
English,80 min,601,59
English,75 min,602,116
English,101 min,603,51
English,80 min,604,59
English,80 min,605,59
English,90 min,606,40
English,68 min,607,58
English,98 min,608,85
English,94 min,609,39
English,84 min,610,47
English,96 min,611,1
English,84 min,612,47
English,88 min,613,37
English,95 min,614,7
English,73 min,615,57
English,92 min,616,6
English,94 min,617,39
"English,Italian",86 min,618,252
English,88 min,619,37
English,121 min,620,17
English,142 min,621,93
English,80 min,622,59
"English,French",106 min,623,253
"English,Spanish",109 min,624,254
English,,625,8
English,102 min,626,33
"English,German,Japanese,Latin,Spanish",116 min,627,255
English,,628,8
English,100 min,629,9
English,103 min,630,124
"English,Arabic",130 min,631,256
English,92 min,632,6
English,80 min,633,59
English,109 min,634,0
English,145 min,635,257
English,126 min,636,66
English,67 min,637,204
English,92 min,638,6
"English,Korean",87 min,639,258
English,85 min,640,42
English,126 min,641,66
English,96 min,642,1
English,124 min,643,102
English,86 min,644,36
English,92 min,645,6
English,87 min,646,87
English,93 min,647,41
English,89 min,648,69
English,88 min,649,37
English,220 min,650,259
English,96 min,651,1
English,108 min,652,61
English,127 min,653,13
English,68 min,654,58
English,92 min,655,6
English,107 min,656,98
English,90 min,657,40
"English,French",83 min,658,260
"English,Hebrew",99 min,659,261
English,101 min,660,51
"English,French",120 min,661,262
English,124 min,662,102
"English,Spanish",133 min,663,263
English,85 min,664,42
English,83 min,665,131
English,89 min,666,69
"English,Mandarin,Sioux,Spanish",110 min,667,264
English,91 min,668,21
"English,French",123 min,669,265
English,131 min,670,241
English,118 min,671,62
English,95 min,672,7
English,77 min,673,266
English,75 min,674,116
English,74 min,675,73
English,107 min,676,98
English,94 min,677,39
English,90 min,678,40
English,98 min,679,85
English,138 min,680,267
English,93 min,681,41
"English,French",121 min,682,268
English,167 min,683,146
English,114 min,684,50
English,92 min,685,6
English,93 min,686,41
English,79 min,687,38
English,97 min,688,44
English,1 hr. 28 min.,689,269
English,97 min,690,44
English,94 min,691,39
English,91 min,692,21
English,175 min,693,270
"English,Latin,Irish,Welsh,Scottish Gaelic",126 min,694,271
English,104 min,695,19
English,95 min,696,7
"English,Italian",120 min,697,272
"English,Spanish",127 min,698,273
"English,German,Greek",127 min,699,274
"English,French,German,Hebrew,Italian,Spanish",,700,275
"English,Danish,German",111 min,701,276
"English,Vietnamese,French",132 min,702,277
English,90 min,703,40
English,69 min,704,205
English,98 min,705,85
English,93 min,706,41
English,,707,8
English,90 min,708,40
English,104 min,709,19
English,95 min,710,7
English,149 min,711,278
English,109 min,712,0
English,81 min,713,107
English,104 min,714,19
English,113 min,715,28
English,70 min,716,279
English,83 min,717,131
English,90 min,718,40
English,96 min,719,1
English,90 min,720,40
English,75 min,721,116
English,94 min,722,39
English,93 min,723,41
English,97 min,724,44
English,95 min,725,7
English,97 min,726,44
English,100 min,727,9
"English,Korean",101 min,728,280
"English,French",96 min,729,281
English,129 min,730,83
"English,Italian,Japanese",131 min,731,282
English,,732,8
English,99 min,733,76
English,112 min,734,65
English,118 min,735,62
English,80 min,736,59
English,78 min,737,96
English,75 min,738,116
English,87 min,739,87
English,78 min,740,96
English,84 min,741,47
English,81 min,742,107
English,82 min,743,86
English,81 min,744,107
English,,745,8
English,135 min,746,108
English,93 min,747,41
English,76 min,748,113
English,80 min,749,59
English,86 min,750,36
English,91 min,751,21
English,70 min,752,279
English,82 min,753,86
English,111 min,754,55
English,120 min,755,5
English,107 min,756,98
English,91 min,757,21
English,135 min,758,108
English,105 min,759,10
English,84 min,760,47
English,89 min,761,69
"English,Spanish",126 min,762,283
English,105 min,763,10
"English,French",128 min,764,203
English,87 min,765,87
"English,Mandarin,Cantonese",,766,284
English,93 min,767,41
English,115 min,768,68
English,78 min,769,96
English,80 min,770,59
English,96 min,771,1
English,104 min,772,19
English,91 min,773,21
"English,Italian",103 min,774,285
English,97 min,775,44
English,,776,8
English,112 min,777,65
English,90 min,778,40
English,108 min,779,61
English,113 min,780,28
English,79 min,781,38
English,98 min,782,85
English,94 min,783,39
"English,French,Latin",118 min,784,286
English,84 min,785,47
English,89 min,786,69
English,88 min,787,37
"English,Spanish",78 min,788,287
English,112 min,789,65
"English,French",97 min,790,288
English,118 min,791,62
English,97 min,792,44
English,111 min,793,55
English,82 min,794,86
English,91 min,795,21
English,105 min,796,10
English,89 min,797,69
English,94 min,798,39
English,94 min,799,39
English,101 min,800,51
English,94 min,801,39
English,91 min,802,21
English,91 min,803,21
English,76 min,804,113
English,97 min,805,44
English,92 min,806,6
"English,Hebrew",88 min,807,289
English,,808,8
"English,Greek",97 min,809,290
English,87 min,810,87
English,92 min,811,6
English,96 min,812,1
English,85 min,813,42
English,92 min,814,6
English,94 min,815,39
English,91 min,816,21
"English,Hawaiian,German,Japanese",111 min,817,291
English,84 min,818,47
English,,819,8
English,98 min,820,85
English,91 min,821,21
English,127 min,822,13
English,93 min,823,41
"English,Portuguese",96 min,824,292
English,96 min,825,1
English,102 min,826,33
English,96 min,827,1
English,88 min,828,37
English,95 min,829,7
English,105 min,830,10
English,162 min,831,293
English,127 min,832,13
English,81 min,833,107
English,98 min,834,85
English,87 min,835,87
English,89 min,836,69
English,72 min,837,70
English,86 min,838,36
English,113 min,839,28
English,101 min,840,51
"English,French,Japanese",130 min,841,294
English,63 min,842,72
English,100 min,843,9
English,98 min,844,85
"English,Icelandic",102 min,845,295
English,101 min,846,51
English,89 min,847,69
English,93 min,848,41
English,81 min,849,107
"English,Swedish",101 min,850,296
English,97 min,851,44
English,82 min,852,86
"English,Spanish",110 min,853,297
English,93 min,854,41
English,80 min,855,59
English,97 min,856,44
English,,857,8
English,93 min,858,41
English,80 min,859,59
"English,French,Korean",89 min,860,298
English,80 min,861,59
English,80 min,862,59
English,88 min,863,37
English,85 min,864,42
"English,French",87 min,865,45
English,91 min,866,21
English,100 min,867,9
English,86 min,868,36
English,,869,8
English,95 min,870,7
English,86 min,871,36
English,,872,8
English,,873,8
English,,874,8
English,,875,8
English,83 min,876,131
English,94 min,877,39
English,85 min,878,42
English,111 min,879,55
English,97 min,880,44
English,102 min,881,33
English,87 min,882,87
English,94 min,883,39
"English,Portuguese",101 min,884,299
"English,Spanish",1 hr. 35 min.,885,300
"Spanish,English",92 min,886,301
English,87 min,887,87
English,92 min,888,6
"English,Italian",91 min,889,302
English,108 min,890,61
English,85 min,891,42
English,83 min,892,131
English,83 min,893,131
English,95 min,894,7
"English,Portuguese,Spanish,German,French",86 min,895,303
English,102 min,896,33
English,116 min,897,90
English,92 min,898,6
English,100 min,899,9
English,96 min,900,1
English,98 min,901,85
"English,Greek,German",158 min,902,304
"English,Hawaiian",85 min,903,305
"English,German,Russian",120 min,904,306
English,94 min,905,39
English,92 min,906,6
English,93 min,907,41
English,93 min,908,41
English,91 min,909,21
"English,Croatian",81 min,910,307
English,93 min,911,41
English,,912,8
"English,Japanese,Cantonese,Mandarin",131 min,913,308
"English,Spanish",162 min,914,309
"English,Nyanja,Afrikaans,Zulu,Xhosa,Southern Sotho",112 min,915,310
English,143 min,916,23
"English,French,Russian",124 min,917,311
"English,Sign Languages",105 min,918,312
"English,Klingon",132 min,919,313
English,145 min,920,257
"English,German,French,Spanish,Russian",132 min,921,314
"English,French",111 min,922,315
"English,French",115 min,923,316
"English,Japanese,Italian,French",106 min,924,317
"English,Spanish",,925,232
"English,Italian,Japanese,Yiddish",117 min,926,318
English,134 min,927,231
English,93 min,928,41
English,107 min,929,98
English,97 min,930,44
"English,Japanese,Arabic,Persian",157 min,931,319
English,126 min,932,66
"English,Persian,Russian",115 min,933,320
"English,Spanish",189 min,934,321
"English,Spanish",129 min,935,322
English,122 min,936,63
English,118 min,937,62
English,111 min,938,55
"English,Spanish",144 min,939,168
"English,German,Italian,Mandarin,Spanish",144 min,940,323
"English,American Sign Language",118 min,941,324
"English,Spanish,Russian",101 min,942,325
"English,German",174 min,943,326
"English,Italian",88 min,944,327
"English,French,German",100 min,945,328
English,78 min,946,96
English,139 min,947,329
"English,French",127 min,948,330
English,85 min,949,42
English,107 min,950,98
"English,Italian,Hebrew",108 min,951,331
English,88 min,952,37
English,105 min,953,10
"English,German",143 min,954,332
English,103 min,955,124
English,105 min,956,10
"English,Japanese",92 min,957,333
English,115 min,958,68
"English,French",120 min,959,262
English,152 min,960,334
"English,French",104 min,961,335
English,103 min,962,124
"English,French",105 min,963,336
English,84 min,964,47
"English,Dutch",84 min,965,337
"English,French,Spanish,Japanese",,966,338
"English,French",88 min,967,339
English,78 min,968,96
English,95 min,969,7
English,77 min,970,266
English,80 min,971,59
"English,Cantonese",95 min,972,340
English,81 min,973,107
"English,Yiddish",82 min,974,341
English,89 min,975,69
English,86 min,976,36
"English,German",95 min,977,342
"English,Cantonese",94 min,978,343
"English,French,Klingon,Korean,Arabic",98 min,979,344
English,90 min,980,40
English,87 min,981,87
"English,Thai,Spanish,Hebrew,French",108 min,982,345
"English,Romanian,Hebrew,Polish,Armenian",84 min,983,346
"English,Japanese,German,French",94 min,984,347
"English,Hungarian",75 min,985,348
English,72 min,986,70
English,,987,8
"English,Yiddish",89 min,988,349
English,88 min,989,37
English,85 min,990,42
"English,French,Persian",89 min,991,350
"English,German",79 min,992,351
"English,Italian,Yiddish",84 min,993,352
English,108 min,994,61
English,142 min,995,93
English,96 min,996,1
"English,Russian,French",94 min,997,353
English,,998,8
"English,Dutch,Italian",115 min,999,354
English,127 min,1000,13
English,96 min,1001,1
"English,American Sign Language",77 min,1002,355
English,94 min,1003,39
English,94 min,1004,39
English,94 min,1005,39
English,98 min,1006,85
"English,Icelandic,Italian",93 min,1007,356
"English,Spanish",91 min,1008,357
English,94 min,1009,39
English,98 min,1010,85
English,110 min,1011,27
"English,Korean",95 min,1012,358
English,150 min,1013,359
English,81 min,1014,107
"English,Spanish",107 min,1015,119
English,124 min,1016,102
"English,Algonquin",81 min,1017,360
English,95 min,1018,7
"English,Spanish",107 min,1019,119
English,96 min,1020,1
English,82 min,1021,86
"English,Hebrew",104 min,1022,361
English,78 min,1023,96
English,80 min,1024,59
"English,Spanish",90 min,1025,210
"English,Korean,Estonian",104 min,1026,362
English,101 min,1027,51
"English,Swedish,German",107 min,1028,363
"English,Spanish,Hebrew",115 min,1029,364
"English,German",116 min,1030,365
"English,German",84 min,1031,366
English,80 min,1032,59
English,75 min,1033,116
English,74 min,1034,73
English,93 min,1035,41
English,77 min,1036,266
English,76 min,1037,113
English,86 min,1038,36
English,84 min,1039,47
English,77 min,1040,266
English,69 min,1041,205
"English,German",92 min,1042,367
English,104 min,1043,19
English,84 min,1044,47
English,85 min,1045,42
English,93 min,1046,41
English,85 min,1047,42
English,82 min,1048,86
English,75 min,1049,116
English,93 min,1050,41
English,90 min,1051,40
English,84 min,1052,47
English,71 min,1053,195
English,91 min,1054,21
English,97 min,1055,44
English,99 min,1056,76
English,98 min,1057,85
English,104 min,1058,19
"English,Tibetan,German",106 min,1059,368
English,95 min,1060,7
English,75 min,1061,116
English,60 min,1062,115
English,72 min,1063,70
English,96 min,1064,1
English,56 min,1065,222
English,1 hr. 15 min.,1066,369
English,60 min,1067,115
English,90 min,1068,40
English,94 min,1069,39
English,74 min,1070,73
English,72 min,1071,70
English,70 min,1072,279
English,90 min,1073,40
English,62 min,1074,138
English,71 min,1075,195
English,108 min,1076,61
"English,Czech",,1077,370
English,65 min,1078,371
"English,Japanese",78 min,1079,372
"Russian,English",84 min,1080,373
English,117 min,1081,223
English,76 min,1082,113
English,75 min,1083,116
English,81 min,1084,107
"English,Spanish",92 min,1085,374
English,,1086,8
English,,1087,8
English,89 min,1088,69
English,82 min,1089,86
"English,Spanish",103 min,1090,75
English,98 min,1091,85
English,59 min,1092,375
English,115 min,1093,68
English,99 min,1094,76
English,113 min,1095,28
English,99 min,1096,76
English,88 min,1097,37
English,124 min,1098,102
English,,1099,8
English,,1100,8
English,92 min,1101,6
English,123 min,1102,141
"English,Spanish",137 min,1103,376
English,118 min,1104,62
English,108 min,1105,61
"English,Vietnamese",116 min,1106,377
"English,German,French,Italian",153 min,1107,378
"English,Spanish,French",154 min,1108,379
English,119 min,1109,137
English,99 min,1110,76
English,122 min,1111,63
English,146 min,1112,29
"English,Spanish",113 min,1113,380
"English,German,French,Russian",172 min,1114,381
English,91 min,1115,21
"English,German,Hebrew,Spanish,Arabic,Nepali",115 min,1116,382
English,91 min,1117,21
"English,Spanish",90 min,1118,210
English,79 min,1119,38
English,86 min,1120,36
English,76 min,1121,113
English,83 min,1122,131
English,81 min,1123,107
English,86 min,1124,36
English,111 min,1125,55
English,95 min,1126,7
English,98 min,1127,85
English,89 min,1128,69
"English,Maltese,French,Turkish",121 min,1129,383
English,88 min,1130,37
English,79 min,1131,38
English,102 min,1132,33
"English,Mandarin",88 min,1133,384
English,90 min,1134,40
"English,Spanish,Greek",93 min,1135,385
English,101 min,1136,51
English,136 min,1137,170
English,121 min,1138,17
"English,German,Italian",131 min,1139,386
English,108 min,1140,61
English,118 min,1141,62
English,71 min,1142,195
English,70 min,1143,279
"English,Latin",70 min,1144,387
English,75 min,1145,116
English,74 min,1146,73
English,79 min,1147,38
English,99 min,1148,76
"English,Arabic,French",73 min,1149,388
"English,German,French,Spanish,Latin",150 min,1150,389
"English,German,French",178 min,1151,390
"English,Japanese,Thai",161 min,1152,391
"English,German",158 min,1153,392
"English,French,German",144 min,1154,393
English,132 min,1155,214
