HospitalName,HospitalOwner,original_index,unique_index,count
marshall medical center south,government - hospital district or authority,44,8,25
marshall medical center south,government - hospital district or authority,45,8,25
marshall medical center south,government - hospital district or authority,46,8,25
marshall medical center south,government - hospital district or authority,47,8,25
marshall medical center south,government - hospital district or authority,48,8,25
marshall medical center south,government - hospital district or authority,49,8,25
marshall medical center south,government - hospital district or authority,50,8,25
marshall medical center south,government - hospital district or authority,51,8,25
marshall medical center south,government - hospital district or authority,52,8,25
marshall medical center south,government - hospital district or authority,53,8,25
marshall medical center south,government - hospital district or authority,54,8,25
marshall medical center south,government - hospital district or authority,55,8,25
marshall medical center south,government - hospital district or authority,56,8,25
marshall medical center south,government - hospital district or authority,57,8,25
marshall medical center south,government - hospital district or authority,58,8,25
marshall medical center south,government - hospital district or authority,59,8,25
marshall medical center south,government - hospital district or authority,60,8,25
marshall medical center south,government - hospital district or authority,61,8,25
marshall medical center south,government - hospital district or authority,62,8,25
marshall medical center south,government - hospital district or authority,63,8,25
marshall medical center south,government - hospital district or authority,64,8,25
marshall medical center south,government - hospital district or authority,65,8,25
marshall medical center south,government - hospital district or authority,66,8,25
marshall medical center south,government - hospital district or authority,67,8,25
marshall medical center south,government - hospital district or authority,68,8,25
eliza coffee memorial hospital,voluntary non-profit - other,69,9,25
eliza coffee memorial hospital,voluntary non-profit - other,70,9,25
eliza coffee memorial hospital,voluntary non-profit - other,71,9,25
eliza coffee memorial hospital,voluntary non-profit - other,72,9,25
eliza coffee memorial hospital,voluntary non-profit - other,73,9,25
eliza coffee memorial hospital,voluntary non-profit - other,74,9,25
eliza coffee memorial hospital,voluntary non-profit - other,75,9,25
eliza coffee memorial hospital,voluntary non-profit - other,76,9,25
eliza coffee memorial hospital,voluntary non-profit - other,77,9,25
eliza coffee memorial hospital,voluntary non-profit - other,78,9,25
eliza coffee memorial hospital,voluntary non-profit - other,79,9,25
eliza coffee memorial hospital,voluntary non-profit - other,80,9,25
eliza coffee memorial hospital,voluntary non-profit - other,81,9,25
eliza coffee memorial hospital,voluntary non-profit - other,82,9,25
eliza coffee memorial hospital,voluntary non-profit - other,83,9,25
eliza coffee memorial hospital,voluntary non-profit - other,84,9,25
eliza coffee memorial hospital,voluntary non-profit - other,85,9,25
eliza coffee memorial hospital,voluntary non-profit - other,86,9,25
eliza coffee memorial hospital,voluntary non-profit - other,87,9,25
eliza coffee memorial hospital,voluntary non-profit - other,88,9,25
eliza coffee memorial hospital,voluntary non-profit - other,89,9,25
eliza coffee memorial hospital,voluntary non-profit - other,90,9,25
eliza coffee memorial hospital,voluntary non-profit - other,91,9,25
eliza coffee memorial hospital,voluntary non-profit - other,92,9,25
eliza coffee memorial hospital,voluntary non-profit - other,93,9,25
mizell memorial hospital,voluntary non-profit - private,94,10,24
mizell memorial hospital,voluntary non-profit - private,95,10,24
mizell memorial hospital,voluntary non-profit - private,96,10,24
mizell memorial hospital,voluntary non-profit - private,97,10,24
mizell memorial hospital,voluntary non-profit - private,98,10,24
mizell memorial hospital,voluntary non-profit - private,99,10,24
mizell memorial hospital,voluntary non-profit - private,100,10,24
mizell memorial hospital,voluntary non-profit - private,101,10,24
mizell memorial hospital,voluntary non-profit - private,102,10,24
mizell memorial hospital,voluntary non-profit - private,103,10,24
mizell memorial hospital,voluntary non-profit - private,104,10,24
mizell memorial hospital,voluntary non-profit - private,105,10,24
mizell memorial hospital,voluntary non-profit - private,106,10,24
mizell memorial hospital,voluntary non-profit - private,107,10,24
mizell memorial hospital,voluntary non-profit - private,108,10,24
mizell memorial hospital,voluntary non-profit - private,109,10,24
mizell memorial hospital,voluntary non-profit - private,110,10,24
mizell memorial hospital,voluntary non-profit - private,111,10,24
mizell memorial hospital,voluntary non-profit - private,112,10,24
mizell memorial hospital,volunxary non-profix - privaxe,113,11,1
mizell memorial hospital,voluntary non-profit - private,114,10,24
mizell memorial hospital,voluntary non-profit - private,115,10,24
mizell memorial hospital,voluntary non-profit - private,116,10,24
mizell memorial hospital,voluntary non-profit - private,117,10,24
mizell memorial hospital,voluntary non-profit - private,118,10,24
crenshaw community hospital,government - federal,119,12,24
crenshaw community hospital,government - federal,120,12,24
crenshaw community hospital,government - federal,121,12,24
crenshaw community hospital,government - federal,122,12,24
crenshaw community hospital,government - federal,123,12,24
crenshaw community hospital,government - federal,124,12,24
crenshaw community hospital,government - federal,125,12,24
crenshaw community hospital,government - federal,126,12,24
crenshaw community hospital,government - federal,127,12,24
crenshaw community hospital,government - federal,128,12,24
crenshaw community hospital,government - federal,129,12,24
crenshaw community hospital,government - federal,130,12,24
crenshaw cxmmunity hxspital,government - federal,131,13,1
crenshaw community hospital,government - federal,132,12,24
crenshaw community hospital,government - federal,133,12,24
crenshaw community hospital,government - federal,134,12,24
crenshaw community hospital,government - federal,135,12,24
crenshaw community hospital,government - federal,136,12,24
crenshaw community hospital,government - federal,137,12,24
crenshaw community hospital,government - federal,138,12,24
crenshaw community hospital,government - federal,139,12,24
crenshaw community hospital,government - federal,140,12,24
crenshaw community hospital,government - federal,141,12,24
crenshaw community hospital,government - federal,142,12,24
crenshaw community hospital,government - federal,143,12,24
hartselle medical center,proprietary,144,14,21
hartselle medical center,proprietary,145,14,21
hartselle medical center,proprietary,146,14,21
hartselle medical center,proprietary,147,14,21
hartselle medical center,proprietary,148,14,21
hartselle medical center,proprietary,149,14,21
hartselle medical center,proprietary,150,14,21
hartselle medical center,proprietary,151,14,21
hartselle medical center,proprietary,152,14,21
hartselle medical center,proprietary,153,14,21
hartselle medical center,proprietary,154,14,21
hartselle medical center,proprietary,155,14,21
hartselle medical center,proprietary,156,14,21
hartselle medical center,pxopxietaxy,157,15,2
hartselle medical center,proprietary,158,14,21
hartselle medical center,proxrietary,159,16,1
hartselle medical center,proprietary,160,14,21
hartselle medical center,proprietary,161,14,21
hartselle medical center,xroprietary,162,17,1
hartselle medical center,proprietary,163,14,21
hartselle medical center,pxopxietaxy,164,15,2
hartselle medical center,proprietary,165,14,21
hartselle medical center,proprietary,166,14,21
hartselle medical center,proprietary,167,14,21
hartselle medical center,proprietary,168,14,21
marshall medical center north,government - hospital district or authority,169,18,24
marshall medical center north,government - hospital district or authority,170,18,24
marshall medical cenxer norxh,government - hospital district or authority,171,19,1
marshall medical center north,government - hospital district or authority,172,18,24
marshall medical center north,government - hospital district or authority,173,18,24
marshall medical center north,government - hospital district or authority,174,18,24
marshall medical center north,government - hospital district or authority,175,18,24
marshall medical center north,government - hospital district or authority,176,18,24
marshall medical center north,government - hospital district or authority,177,18,24
marshall medical center north,government - hospital district or authority,178,18,24
marshall medical center north,government - hospital district or authority,179,18,24
marshall medical center north,government - hospital district or authority,180,18,24
marshall medical center north,government - hospital district or authority,181,18,24
marshall medical center north,government - hospital district or authority,182,18,24
marshall medical center north,government - hospital district or authority,183,18,24
marshall medical center north,government - hospital district or authority,184,18,24
marshall medical center north,government - hospital district or authority,185,18,24
marshall medical center north,government - hospital district or authority,186,18,24
marshall medical center north,government - hospital district or authority,187,18,24
marshall medical center north,government - hospital district or authority,188,18,24
marshall medical center north,government - hospital district or authority,189,18,24
marshall medical center north,government - hospital district or authority,190,18,24
marshall medical center north,government - hospital district or authority,191,18,24
marshall medical center north,government - hospital district or authority,192,18,24
marshall medical center north,government - hospital district or authority,193,18,24
st vincents east,voluntary non-profit - private,194,20,23
st vincents east,voluntary non-profit - private,195,20,23
st vincents east,voluntary non-profit - private,196,20,23
st vincents east,voluntary non-profit - private,197,20,23
st vincents east,voluntary non-profit - private,198,20,23
st vincents east,voluntary non-profit - private,199,20,23
st vincents east,voluntary non-profit - private,200,20,23
st vincents east,voluntary non-profit - private,201,20,23
st vincents east,voluntary non-profit - private,202,20,23
st vincents east,voluntary non-profit - private,203,20,23
st vincents east,voluntary non-profit - private,204,20,23
st vincents east,voluntary non-profit - private,205,20,23
st vincents east,voluntary non-profit - private,206,20,23
st vincents east,voluntary non-profit - private,207,20,23
st vincents east,voluntary non-profit - private,208,20,23
st vincents east,voluntary non-profit - private,209,20,23
st vincents east,voluntary non-profit - private,210,20,23
st vincents east,voluntary non-profit - private,211,20,23
st vincents east,voluntary non-profit - private,212,20,23
st vincents east,voluntary non-profit - private,213,20,23
st vincents east,voluntary non-profit - private,214,20,23
st vincents east,voluntary non-profit - private,215,20,23
st vincents east,volunxary non-profix - privaxe,216,21,1
st vincents east,voluntary non-profit - private,217,20,23
st vincents east,voluntary nonxprofit x private,218,22,1
dekalb regional medical center,voluntary non-profit - church,219,23,22
dekalb regional medical center,voluntary non-profit - church,220,23,22
dekalb regional medical center,voluntaryxnon-profitx-xchurch,221,24,1
dekalb regional medical center,voluntary non-profit - church,222,23,22
dekalb regional medical center,voluntary non-profit - church,223,23,22
dekalb regional medical center,voluntary non-profit - church,224,23,22
dekalb regional medical center,voluntary non-profit - church,225,23,22
dekalb regional medical center,voluntary non-profit - church,226,23,22
dekalb regional medical center,voluntary non-profit - church,227,23,22
dekalb regional medical center,voluntary non-profit - church,228,23,22
dekalb regional medical center,voluntary non-profit - church,229,23,22
dekalb regional medical center,voluntary non-profit - church,230,23,22
dekalb regional medical center,voluntary non-profit - church,231,23,22
dekalb regional medical center,voluntary non-profit - church,232,23,22
dekalb regional medical center,voluntary non-profit - church,233,23,22
dekalb regional medical center,voluntary non-profit - church,234,23,22
dekalb regional medical center,voluntary non-profit - church,235,23,22
dekalb regional medical center,voluntary non-profit - church,236,23,22
dekalb regional medical center,voluntary non-profit - church,237,23,22
dekalb regional medical center,voxuntary non-profit - church,238,25,1
dekalb regional medical center,voluntary non-profit - church,239,23,22
dekalb regional medical center,voluntary non-profit - church,240,23,22
dekalb regional medical center,voluntary non-profit - church,241,23,22
dekalb regional medical center,voluntary non-profit - church,242,23,22
dexalb regional medical center,voluntary non-profit - church,243,26,1
southwest alabama medical center,government - federal,244,27,24
southwest alabama medical center,government - federal,245,27,24
southwest alabama medical center,government - federal,246,27,24
southwest alabama medical center,governxent - federal,247,28,1
southwest alabama medical center,government - federal,248,27,24
southwest alabama medical center,government - federal,249,27,24
southwest alabama medical center,government - federal,250,27,24
southwest alabama medical center,government - federal,251,27,24
southwest alabama medical center,government - federal,252,27,24
southwest alabama medical center,government - federal,253,27,24
southwest alabama medical center,government - federal,254,27,24
southwest alabama medical center,government - federal,255,27,24
southwest alabama medical center,government - federal,256,27,24
southwest alabama medical center,government - federal,257,27,24
southwest alabama medical center,government - federal,258,27,24
southwest alabama medical center,government - federal,259,27,24
southwest alabama medical center,government - federal,260,27,24
southwest alabama medical center,government - federal,261,27,24
southwest alabama medical center,government - federal,262,27,24
southwest alabama medical center,government - federal,263,27,24
southwest alabama medical center,government - federal,264,27,24
southwest alabama medical center,government - federal,265,27,24
southwest alabama medical center,government - federal,266,27,24
southwest alabama medical center,government - federal,267,27,24
southwest alabama medical center,government - federal,268,27,24
shelby baptist medical center,voluntary non-profit - church,269,29,25
shelby baptist medical center,voluntary non-profit - church,270,29,25
shelby baptist medical center,voluntary non-profit - church,271,29,25
shelby baptist medical center,voluntary non-profit - church,272,29,25
shelby baptist medical center,voluntary non-profit - church,273,29,25
shelby baptist medical center,voluntary non-profit - church,274,29,25
shelby baptist medical center,voluntary non-profit - church,275,29,25
shelby baptist medical center,voluntary non-profit - church,276,29,25
shelby baptist medical center,voluntary non-profit - church,277,29,25
shelby baptist medical center,voluntary non-profit - church,278,29,25
shelby baptist medical center,voluntary non-profit - church,279,29,25
shelby baptist medical center,voluntary non-profit - church,280,29,25
shelby baptist medical center,voluntary non-profit - church,281,29,25
shelby baptist medical center,voluntary non-profit - church,282,29,25
shelby baptist medical center,voluntary non-profit - church,283,29,25
shelby baptist medical center,voluntary non-profit - church,284,29,25
shelby baptist medical center,voluntary non-profit - church,285,29,25
shelby baptist medical center,voluntary non-profit - church,286,29,25
shelby baptist medical center,voluntary non-profit - church,287,29,25
shelby baptist medical center,voluntary non-profit - church,288,29,25
shelby baptist medical center,voluntary non-profit - church,289,29,25
shelby baptist medical center,voluntary non-profit - church,290,29,25
shelby baptist medical center,voluntary non-profit - church,291,29,25
shelby baptist medical center,voluntary non-profit - church,292,29,25
shelby baptist medical center,voluntary non-profit - church,293,29,25
callahan eye foundation hospital,voluntary non-profit - private,294,0,25
callahan eye foundation hospital,voluntary non-profit - private,295,0,25
callahan eye foundation hospital,voluntary non-profit - private,296,0,25
callahan eye foundation hospital,voluntary non-profit - private,297,0,25
callahan eye foundation hospital,voluntary non-profit - private,298,0,25
callahan eye foundation hospital,voluntary non-profit - private,299,0,25
callahan eye foundation hospital,voluntary non-profit - private,300,0,25
callahan eye foundation hospital,voluntary non-profit - private,301,0,25
callahan eye foundation hospital,voluntary non-profit - private,302,0,25
callahan eye foundation hospital,voluntary non-profit - private,303,0,25
callahan eye foundation hospital,voluntary non-profit - private,304,0,25
callahan eye foundation hospital,voluntary non-profit - private,305,0,25
callahan eye foundation hospital,voluntary non-profit - private,306,0,25
callahan eye foundation hospital,voluntary non-profit - private,307,0,25
callahan eye foundation hospital,voluntary non-profit - private,308,0,25
callahan eye foundation hospital,voluntary non-profit - private,309,0,25
callahan eye foundation hospital,voluntary non-profit - private,310,0,25
stringfellow memorial hospital,proprietary,311,30,27
stringfellow memorial hospital,proprietary,312,30,27
stringfellow memorial hospital,prxprietary,313,31,1
stringfellow memorial hospital,proprietary,314,30,27
stringfellow memorial hospital,proprietary,315,30,27
stringfellow memorial hospital,proprietary,316,30,27
stringfellow memorial hospital,proprietary,317,30,27
stringfellow memorial hospital,proprietary,318,30,27
stringfellow memorial hospital,proprietary,319,30,27
stringfellow memorial hospital,proprietary,320,30,27
stringfellow memorial hospital,proprietary,321,30,27
stringfellow memorial hospital,proprietary,322,30,27
stringfellow memorial hospital,proprietary,323,30,27
stringfellow memorial hospital,proprietary,324,30,27
stringfellow memorial hospital,proprietary,325,30,27
stringfellow memorial hospital,proprietary,326,30,27
stringfellow memorial hospital,proprietary,327,30,27
stringfellow memorial hospital,proprietary,328,30,27
stringfellow memorial hospital,proprietary,329,30,27
stringfellow memorial hospital,proprietary,330,30,27
flowers hospital,proprietary,331,32,15
flowers hospital,proxrietary,332,33,1
flowers hospital,proprietary,333,32,15
flowers hospital,proprietary,334,32,15
flowers hospital,proprietary,335,32,15
flowers hospital,proprietary,336,32,15
floxers hospital,proprietary,337,34,1
flowers hospital,proprietary,338,32,15
flowers hospital,proprietary,339,32,15
flowers hospital,proprietary,340,32,15
flowers hospital,proprietary,341,32,15
flowers hospital,proprietary,342,32,15
flowers hospital,proprietary,343,32,15
flowers hospital,proprietary,344,32,15
flowers hospital,proprietary,345,32,15
flowers hospital,proprietary,346,32,15
flowers hospital,proprietary,347,32,15
st vincents hospital,voluntary non-profit - other,348,35,5
st vincents hospital,voluntary non-profit - other,349,35,5
st vincents hospital,voluntary non-profit - other,350,35,5
st vincents hospital,voluntary non-profit - other,351,35,5
st vincents hospital,voluntary non-profit - other,352,35,5
decatur general hospital,government - hospital district or authority,353,36,1
northwest medical center,proprietary,354,37,24
northwest medical center,proprietary,355,37,24
northwest medical center,prxprietary,356,38,1
northwest medical center,proprietary,357,37,24
northwest medical center,proprietary,358,37,24
northwest medical center,proprietary,359,37,24
northwest medical center,proprietary,360,37,24
northwest medical center,proprietary,361,37,24
northwest medical center,proprietary,362,37,24
northwest medical center,proprietary,363,37,24
northwest medical center,proprietary,364,37,24
northwest medical center,proprietary,365,37,24
northwest medical center,proprietary,366,37,24
northwest medical center,proprietary,367,37,24
northwest medical center,proprietary,368,37,24
northwest medical center,proprietary,369,37,24
northwest medical center,proprietary,370,37,24
northwest medical center,proprietary,371,37,24
northwest medical center,proprietary,372,37,24
northwest medical center,proprietary,373,37,24
northwest medical center,proprietary,374,37,24
northwest medical center,proprietary,375,37,24
northwest medical center,proprietary,376,37,24
northwest medical center,proprietary,377,37,24
northwest medical center,proprietary,378,37,24
univ of south alabama medical center,government - state,379,39,11
univ of south alabama medical center,government - state,380,39,11
univ of south alabama medical center,government - state,381,39,11
univ of south alabama medical center,government - state,382,39,11
univ of south alabama medical center,government - state,383,39,11
univ ox south alabama medical center,government - state,384,40,1
xniv of soxth alabama medical center,government - state,385,41,1
univ of south alabama medical center,government - state,386,39,11
univ of south alabama medical center,government - state,387,39,11
univ of south alabama medical center,government - state,388,39,11
univ of south alabama medical center,government - state,389,39,11
univ of south alabama medical center,government - state,390,39,11
univ of south alabama medical center,government - state,391,39,11
prattville baptist hospital,voluntary non-profit - private,392,42,20
prattville baptist hospital,voluntary non-profit - private,393,42,20
prattville baptist hospital,voluntary non-profit - private,394,42,20
prattville baptist hospital,voluntary non-profit - private,395,42,20
prattville baptist hospital,voluntary non-profit - private,396,42,20
prattville baptist hospital,voluntary non-profit - private,397,42,20
prattville baptist hospital,voluntary non-profit - private,398,42,20
prattville baptist hospital,voluntary non-profit - private,399,42,20
prattville baptist hospital,voluntary non-profit - private,400,42,20
prattville baptist hospital,voluntary non-profit - private,401,42,20
prattville baptist hospital,voluntary non-profit - private,402,42,20
prattville baptist hospital,voluntary non-profit - private,403,42,20
prattville baptist hospital,voluntary non-profit - private,404,42,20
prattville baptist hospital,voluntary non-profit - private,405,42,20
prattville baptist hospital,voluntary non-profit - private,406,42,20
prattville baptist hospital,voluntary non-profit - private,407,42,20
prattville baptist hospital,voluntary non-profit - private,408,42,20
prattville baptist hospital,voluntary non-profit - private,409,42,20
prattville baptist hospital,voluntary non-profit - private,410,42,20
prattville baptist hospital,voluntary non-profit - private,411,42,20
russellville hospital,proprietary,412,43,2
russellville hospital,proprietary,413,43,2
coosa valley medical center,voluntary non-profit - other,414,44,18
coosa valley medical center,voluntary non-profit - other,415,44,18
coosa valley medical center,voluntary non-profit - other,416,44,18
coosa valley medical center,voluntary non-profit - other,417,44,18
coosa valley medical center,voluntary non-profit - other,418,44,18
coosa valley medical center,voluntary non-profit - other,419,44,18
coosa valley medical center,voluntary non-profit - other,420,44,18
coosa valley medical center,voluntary non-profit - other,421,44,18
coosa valley medical center,voluntary non-profit - other,422,44,18
coosa valley medical center,voluntary non-profit - other,423,44,18
coosa valley medical center,voluntary non-profit - other,424,44,18
coosa valley medical center,voluntary non-profit - other,425,44,18
coosa valley medical center,voluntary non-profit - other,426,44,18
coosa valley medical center,voluntary non-profit - other,427,44,18
coosa valley medical center,voluntary non-profit - other,428,44,18
coosa valley medical center,voluntary non-profit - other,429,44,18
coosa valley medical center,voluntary non-profit - other,430,44,18
coosa valley medical center,voluntary non-profit - other,431,44,18
alaska regional hospital,proprietary,432,45,16
alaska regional hospital,proprietary,433,45,16
alaska regional hospital,proprietary,434,45,16
alaska regional hospital,proprietary,435,45,16
alaska regional hospital,proprietary,436,45,16
alaska regional hospital,proprietary,437,45,16
alaska regional hospital,proprietary,438,45,16
alaska regional hospital,proprietary,439,45,16
alaska regional hospital,proprietary,440,45,16
alaska regional hospital,proprietary,441,45,16
alaska regional hospital,proprietary,442,45,16
alaska regional hospital,proprietary,443,45,16
alaska regional hospital,proprietary,444,45,16
alaska regional hospital,proprietary,445,45,16
alaska regional hospital,proprietary,446,45,16
alaska regional hospital,proprietary,447,45,16
xlxskx regionxl hospitxl,proprietary,448,46,1
alaska regional hospital,proxrietary,449,47,1
yukon kuskokwim delta reg hospital,government - federal,450,48,2
yukon kuskokwim delta reg hospital,government - federal,451,48,2
helen keller memorial hospital,government - hospital district or authority,452,1,24
helen keller memorial hospital,government - hospital district or authority,453,1,24
helen keller memorial hospital,government - hospital district or authority,454,1,24
helen keller memorial hospital,government - hospital district or authority,455,1,24
helen keller memorial hospital,gxvernment - hxspital district xr authxrity,456,49,1
helen keller memorial hospital,government - hospital district or authority,457,1,24
helen keller memorial hospital,government - hospital district or authority,458,1,24
helen keller memorial hospital,government - hospital district or authority,459,1,24
helen keller memorial hospital,government - hospital district or authority,460,1,24
helen keller memorial hospital,government - hospital district or authority,461,1,24
helen keller memorial hospital,government - hospital district or authority,462,1,24
helen keller memorial hospital,government - hospital district or authority,463,1,24
helen keller memorial hospital,government - hospital district or authority,464,1,24
helen keller memorial hospital,government - hospital district or authority,465,1,24
dale medical center,government - hospital district or authority,466,50,25
dale medical center,government - hospital district or authority,467,50,25
dale medical center,government - hospital district or authority,468,50,25
dale medical center,government - hospital district or authority,469,50,25
dale medical center,government - hospital district or authority,470,50,25
dale medical center,government - hospital district or authority,471,50,25
dale medical center,government - hospital district or authority,472,50,25
dale medical center,government - hospital district or authority,473,50,25
dale medical center,government - hospital district or authority,474,50,25
dale medical center,government - hospital district or authority,475,50,25
dale medical center,government - hospital district or authority,476,50,25
dale medical center,government - hospital district or authority,477,50,25
dale medical center,government - hospital district or authority,478,50,25
dale medical center,government - hospital district or authority,479,50,25
dale medical center,government - hospital district or authority,480,50,25
dale medical center,government - hospital district or authority,481,50,25
dale medical center,government - hospital district or authority,482,50,25
dale medical center,government - hospital district or authority,483,50,25
dale medical center,government - hospital district or authority,484,50,25
dale medical center,government - hospital district or authority,485,50,25
dale medical center,government - hospital district or authority,486,50,25
dale medical center,government - hospital district or authority,487,50,25
dale medical center,government - hospital district or authority,488,50,25
dale medical center,government - hospital district or authority,489,50,25
dale medical center,government - hospital district or authority,490,50,25
cherokee medical center,voluntary non-profit - private,491,51,24
cherokee medical center,voluntary non-profit - private,492,51,24
cherokee medical center,voluntaryxnon-profitx-xprivate,493,52,1
cherokee medical center,voluntary non-profit - private,494,51,24
cherokee medical center,voluntary non-profit - private,495,51,24
cherokee medical center,voluntary non-profit - private,496,51,24
cherokee medical center,voluntary non-profit - private,497,51,24
cherokee medical center,voluntary non-profit - private,498,51,24
cherokee medical center,voluntary non-profit - private,499,51,24
cherokee medical center,voluntary non-profit - private,500,51,24
cherokee medical center,voluntary non-profit - private,501,51,24
cherokee medical center,voluntary non-profit - private,502,51,24
cherokee medical center,voluntary non-profit - private,503,51,24
cherokee medical center,voluntary non-profit - private,504,51,24
cherokee medical center,voluntary non-profit - private,505,51,24
cherokee medical center,voluntary non-profit - private,506,51,24
cherokee medical center,voluntary non-profit - private,507,51,24
cherokee medical center,voluntary non-profit - private,508,51,24
cherokee medical center,voluntary non-profit - private,509,51,24
cherokee medical center,voluntary non-profit - private,510,51,24
cherokee medical center,voluntary non-profit - private,511,51,24
cherokee medical center,voluntary non-profit - private,512,51,24
cherokee medical center,voluntary non-profit - private,513,51,24
cherokee medical center,voluntary non-profit - private,514,51,24
cherokee medical center,voluntary non-profit - private,515,51,24
baptist medical center south,voluntary non-profit - church,516,53,23
baptist medical center south,voluntary non-profit - church,517,53,23
baptist medical center south,voluntary non-profit - church,518,53,23
baptist medical center south,voluntary non-profit - church,519,53,23
baptist medical center south,voluntary non-profit - church,520,53,23
baptist medical center south,voluntary non-profit - church,521,53,23
baptist medical center south,voluntary non-profit - church,522,53,23
baptist medical center south,voluntary non-profit - church,523,53,23
baptist medical center south,voluntary non-profit - church,524,53,23
baptist medical center south,voluntary non-profit - church,525,53,23
baptist medical center south,volxntary non-profit - chxrch,526,54,1
baptist medical center south,voluntary non-profit - church,527,53,23
baptist medical center south,voluntary non-profit - church,528,53,23
baptist medical center south,voluntary non-profit - church,529,53,23
baptist medical center south,voluntary non-profit - church,530,53,23
baptist medical center south,voluntary non-profit - church,531,53,23
baptist medical cexter south,voluntary non-profit - church,532,55,1
baptist medical center south,voluntary non-profit - church,533,53,23
baptist medical center south,voluntary non-profit - church,534,53,23
baptist medical center south,voluntary non-profit - church,535,53,23
baptist medical center south,voluntary non-profit - church,536,53,23
baptist medical center south,voluntary non-profit - church,537,53,23
baptist medical center south,voluntary non-profit - church,538,53,23
baptist medical center south,voluntary non-profit - church,539,53,23
baptist medical center south,voluntary non-profit - church,540,53,23
jackson hospital & clinic inc,voluntary non-profit - private,541,56,24
jackson hospital & clinic inc,voluntary non-profit - private,542,56,24
jackson hospital & clinic inc,voluntary non-profit - private,543,56,24
jackson hospital & clinic inc,voluntary non-profit - private,544,56,24
jackson hospital & clinic inc,voluntary non-profit - private,545,56,24
jackson hospital & clinic inc,voluntary non-profit - private,546,56,24
jackson hospital & clinic inc,voluntary non-profit - private,547,56,24
jackson hospital & clinic inc,voluntary non-profit - private,548,56,24
jackson hospital & clinic inc,voluntary non-profit - private,549,56,24
jackson hospital & clinic inc,voluntary non-profit - private,550,56,24
jackson hospital & clinic inc,voluntary non-profit - private,551,56,24
jackson hospital & clinic inc,voluntary non-profit - private,552,56,24
jackson hospital & clinic inc,voluntary non-profit - private,553,56,24
jackson hospital & clinic inc,voluntary non-profit - private,554,56,24
jackson hospital & clinic inc,voluntary non-profit - private,555,56,24
jackson hospital & clinic inc,voluntary non-profit - private,556,56,24
jackson hospital & clinic inc,voluntary non-profit - private,557,56,24
jackson hospital & clinic inc,voluntary non-profit - private,558,56,24
jackson hospital & clinic inc,voluntary non-profit - private,559,56,24
jaxkson hospital & xlinix inx,voluntary non-profit - private,560,57,1
jackson hospital & clinic inc,voluntary non-profit - private,561,56,24
jackson hospital & clinic inc,voluntary non-profit - private,562,56,24
jackson hospital & clinic inc,voluntary non-profit - private,563,56,24
jackson hospital & clinic inc,voluntary non-profit - private,564,56,24
jackson hospital & clinic inc,voluntary non-profit - private,565,56,24
g h lanier memorial hospital,voluntary non-profit - other,566,58,24
g h lanier memorial hospital,voluntary non-profit - other,567,58,24
