journal_title,jounral_abbreviation,original_index,unique_index
General dentistry,Gen Dent,149,122
Food Control,,150,123
Neuropsychologia,Neuropsychologia,151,124
"Euthanasie en andere medische beslissingen rond het levenseinde, 1990-1995",,152,125
,,153,3
American Journal of Acupuncture,AM. J. ACUPUNCT.,154,126
Swiss Med. Wkly,,155,127
Circulation Journal,,156,128
CNS spectrums,CNS Spectr,157,129
Paliativn�_ Schanzova osteotomie p��i nereponibiln�_ luxaci ky��eln�_ho kloubu u pacient�� s d��tskou mozkovou obrnou v adolescentn�_m v��u,,158,130
Hippokratia,Hippokratia,159,131
Psycho-Oncology,,160,132
Journal of Clinical and Diagnostic Research,J.Clin.Diagn.Res.,161,133
,,162,3
,,163,3
Strabismus,Strabismus,164,134
,,165,3
Focus on Alternative and Complementary Therapies,,166,135
Animal,,167,136
Cochrane Database of Systematic Reviews,,168,137
,,169,3
Diabet Med,Diabetic medicine : a journal of the British Diabetic Association,170,138
,,171,3
Journal of receptor and signal transduction research,J. Recept. Signal Transduct. Res.,172,139
Functional Neurology,,173,140
Spine,Spine,174,141
Annals of the New York Academy of Sciences,Ann. N. Y. Acad. Sci.,175,142
Ann N Y Acad Sci,Annals of the New York Academy of Sciences,176,143
"Obesity (Silver Spring, Md.)",Obesity (Silver Spring),177,144
Water science and technology : a journal of the International Association on Water Pollution Research,Water Sci. Technol.,178,145
Orthopedics,Orthopedics,179,146
Haematologica,,180,147
Scandinavian journal of psychology,Scand J Psychol,181,148
,,182,3
,,183,3
AIDS Care,,184,149
Mount Sinai Journal of Medicine,,185,150
Radiotherapy and Oncology,,186,151
Alternative Therapies in Health and Medicine,,187,152
Journal of International Education Research,,188,153
Radiologic Clinics of North America,,189,154
Health Education & Behavior,,190,155
Pediatric annals,Pediatr Ann,191,156
Learning & Leading with Technology,,192,157
Journal of the National Cancer Institute,J. Natl. Cancer Inst.,193,158
Journal of Science & Medicine in Sport,,194,159
,,195,3
European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,Eur Arch Otorhinolaryngol,196,160
BMC Medical Research Methodology,,197,161
Annals Of Surgery,Ann Surg,198,162
Journal of biomaterials applications,J Biomater Appl,199,163
The journal of headache and pain,J Headache Pain,200,164
ProQuest LLC,,201,165
Journal of sports sciences,J Sports Sci,202,166
European Journal of Endocrinology,,203,167
"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",Nephrol. Dial. Transplant.,204,168
Cytokine,Cytokine,205,169
,,206,3
,,207,3
Arch Surg,"Archives of surgery (Chicago, Ill. : 1960)",208,170
Muscle & nerve,Muscle Nerve,209,171
Social science & medicine (1982),Soc Sci Med,210,172
International archives of occupational and environmental health,Int Arch Occup Environ Health,211,173
Ugeskr Laeger,Ugeskrift for laeger,212,174
,,213,3
Critical reviews in oncology/hematology,Crit. Rev. Oncol. Hematol.,214,175
,,215,3
"Public health reports (Washington, D.C. : 1974)",Public Health Rep,216,176
Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,Colorectal Dis,217,177
,,218,3
Journal of Consulting and Clinical Psychology,,219,178
Computerized Medical Imaging and Graphics: The Official Journal of the Computerized Medical Imaging Society,Comput Med Imaging Graph,220,179
,,221,3
American Journal of Clinical Nutrition,,222,180
Int J Obes (Lond),International journal of obesity (2005),223,181
,,224,3
,,225,3
Endocrinology,Endocrinology,226,182
American Journal of Clinical Oncology-Cancer Clinical Trials,,227,183
International Journal of Behavioral Consultation and Therapy,,228,184
,,229,3
McNeill Mathematics Program,College Teaching,230,185
The Journal of hospital infection,J. Hosp. Infect.,231,186
Best practice & research. Clinical gastroenterology,Best Pract Res Clin Gastroenterol,232,187
Am J Obstet Gynecol,American journal of obstetrics and gynecology,233,188
Medical teacher,Med Teach,234,189
Acta cytologica,Acta Cytol.,235,190
Atherosclerosis. Supplements,Atheroscler Suppl,236,191
Schlafsțrungen bei kritisch kranken patienten,,237,192
BMJ Open,,238,95
Mycoses,Mycoses,239,193
BMC Musculoskelet Disord,BMC musculoskeletal disorders,240,194
Clinical Oncology (Royal College of Radiologists),,241,195
BMJ Open,,242,95
Physiotherapy,Physiotherapy,243,196
Public health genomics,Public Health Genomics,244,197
,,245,3
Journal of the International Neuropsychological Society : JINS,J Int Neuropsychol Soc,246,198
Revista Brasileira de terapia intensiva,Rev Bras Ter Intensiva,247,199
Gene,Gene,248,200
Am. J. Managed Care,,249,201
Journal of Clinical Gastroenterology,,250,202
Journal of Health Care for the Poor & Underserved,,251,203
Biomedical engineering online,Biomed Eng Online,252,204
Disease Management and Clinical Outcomes,,253,205
Nature: New biology,Nature New Biol.,254,206
Cardiology in the young,Cardiol Young,255,207
Journal of Huazhong University of Science and Technology. Medical Sciences,J Huazhong Univ Sci Technolog Med Sci,256,208
Journal of Epidemiology and Community Health,,257,209
Critical care medicine,Crit. Care Med.,258,210
"Molecular Biology of the Cell. Conference: Annual Meeting of the American Society for Cell Biology, ASCB",,259,211
Experimental Aging Research,,260,212
Johns Hopkins Medical Journal,JOHNS HOPKINS MED. J.,261,213
Urologe A,,262,214
Prev Med,Preventive medicine,263,215
Chest,,264,216
Psychiatric Services.,,265,217
Archives of General Psychiatry,Arch.Gen.Psychiatry,266,218
Journal of Sexual Medicine,,267,219
Interactive Cardiovascular & Thoracic Surgery,Interact Cardiovasc Thorac Surg,268,220
"The Chartered Society of Physiotherapy Annual Congress and Exhibition: Defining Practice, Friday, October 17 to Sunday, October 19 2003, International Convention Centre, Birmingham.",,269,221
Curr. Probl. Cardiol.,,270,222
Vox Sanguinis,,271,223
The British Journal of Psychiatry,,272,224
American Journal of Community Psychology,,273,225
Ultrasound Obstet. Gynecol.,,274,226
,,275,3
,,276,3
Annual Abstract Supplement,,277,227
Journal of psychiatric research,J Psychiatr Res,278,228
Proceedings of the 23rd ACM international conference on Multimedia,,279,229
Neurology,Neurology,280,230
International Journal of Oral and Maxillofacial Surgery,,281,231
Journal of the American Veterinary Medical Association,J. Am. Vet. Med. Assoc.,282,232
,,283,3
,,284,3
,,285,3
Journal of medical imaging and radiation oncology,J Med Imaging Radiat Oncol,286,233
European Respiratory Journal,,287,234
PLoS One,PloS one,288,25
Kardiologia Polska,,289,235
European journal of applied physiology and occupational physiology,Eur J Appl Physiol Occup Physiol,290,236
Nutrients,Nutrients,291,237
Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,,292,238
Chin. Med,,293,239
Current Immunology Reviews,,294,240
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour Biol.,295,241
CNS Drugs,,296,242
Scandinavian journal of infectious diseases. Supplementum,Scand J Infect Dis Suppl,297,243
,,298,3
Applied nursing research : ANR,Appl Nurs Res,299,244
Aktuelle Traumatologie,,300,245
JOURNAL OF CHEMICAL PHYSICS,J Chem Phys,301,246
J Orthop Sci,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,302,247
,,303,3
Rev Med Chir Soc Med Nat Iasi,Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi,304,248
J Okla State Med Assoc,The Journal of the Oklahoma State Medical Association,305,249
,,306,3
Social Science and Medicine,,307,250
Gut,Gut,308,121
Chest,,309,216
,,310,3
,,311,3
European journal of applied physiology,Eur. J. Appl. Physiol.,312,251
,,313,3
,,314,3
Radiology,Radiology,315,252
Journal of Neurocytology,,316,253
Canadian Journal of Anaesthesia,,317,254
The British journal of social psychology / the British Psychological Society,Br J Soc Psychol,318,255
Cardiology in the young,Cardiol Young,319,207
Urban Studies (Routledge),,320,256
Dento maxillo facial radiology,Dentomaxillofac Radiol,321,257
Actas espa̱olas de psiquiatr�_a,Actas Esp Psiquiatr,322,258
International journal of colorectal disease,Int J Colorectal Dis,323,259
,,324,3
,,325,3
The neurologist,Neurologist,326,260
,,327,3
Expert opinion on emerging drugs,Expert Opin Emerg Drugs,328,261
,,329,3
American Indian and Alaska Native Mental Health Research: The Journal of the National Center,,330,262
Drugs & aging,Drugs Aging,331,263
,,332,3
,,333,3
Endodontics & dental traumatology,Endod Dent Traumatol,334,264
Cardiol Young,Cardiology in the young,335,265
AACN Clinical Issues: Advanced Practice in Acute & Critical Care,,336,266
Leukemia and Lymphoma,,337,267
The hematology journal : the official journal of the European Haematology Association / EHA,Hematol. J.,338,268
,,339,3
International journal of geriatric psychiatry,Int J Geriatr Psychiatry,340,269
Acta Neurochir Suppl (Wien),Acta neurochirurgica. Supplementum,341,270
,,342,3
Acta Clin. Croat.,,343,271
,,344,3
Aging & Mental Health,,345,272
Supplement: Active Living Research - Niche to Norm,,346,273
Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,Colorectal Dis,347,177
Allergy and asthma proceedings : the official journal of regional and state allergy societies,Allergy Asthma Proc,348,274
,,349,3
International Journal of Social Psychiatry,,350,275
East African Medical Journal,,351,276
,,352,3
Bmc Cancer,,353,277
Journal Of Anesthesia,J Anesth,354,278
Eating Behaviors,,355,279
Parkinsonism & related disorders,Parkinsonism Relat. Disord.,356,280
Turk. J. Pediatr.,,357,281
,,358,3
Psychother. Psychosom.,,359,282
Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus / I.S.D.E,Dis. Esophagus,360,283
Ann Fr Anesth Reanim,Annales francaises d'anesthesie et de reanimation,361,284
Journal of Sports Medicine & Physical Fitness,,362,285
Experimental cell research,Exp. Cell Res.,363,286
Journal of Substance Abuse Treatment,,364,287
BioMed research international,Biomed Res Int,365,288
Multicultural Education & Technology Journal,,366,289
JPN. J. ANESTHESIOL.,,367,290
Injury,Injury,368,291
International Journal of Qualitative Studies in Education (QSE),,369,292
BR J ANAESTH,,370,293
Annals of internal medicine,Ann. Intern. Med.,371,294
Energy Policy,,372,295
PLoS ONE [Electronic Resource],,373,296
Journal of Biomolecular Techniques,,374,297
Hepato-gastroenterology,Hepatogastroenterology,375,298
Current Opinion in Ophthalmology,,376,299
PLoS One,PloS one,377,25
J Toxicol Environ Health,,378,300
,,379,3
Anesthesia And Analgesia,Anesth Analg,380,301
Bulletin of mathematical biology,Bull. Math. Biol.,381,302
Kekkaku : [Tuberculosis],Kekkaku,382,303
,,383,3
British journal of sports medicine,Br J Sports Med,384,304
The Science of the total environment,Sci. Total Environ.,385,305
,,386,3
,,387,3
,,388,3
Ann Pharmacother,The Annals of pharmacotherapy,389,306
PharmacoEconomics,Pharmacoeconomics,390,307
American Journal of Epidemiology,Am.J.Epidemiol.,391,308
Cirug�_a Pedi��trica: Organo Oficial De La Sociedad Espa̱ola De Cirug�_a Pedi��trica,Cir Pediatr,392,309
O papel dos profissionais de saude em casos de violencia domestica: um relato de experiencia.,,393,310
Pediatrics,,394,311
Postgraduate medical journal,Postgrad Med J,395,312
Minerva cardioangiologica,Minerva Cardioangiol,396,313
Anesthesia And Analgesia,Anesth Analg,397,301
Int. J.  Pharmcy Pharm. Sci.,,398,314
Neurobiology of aging,Neurobiol. Aging,399,315
World J Pediatr Congenit Heart Surg,World journal for pediatric & congenital heart surgery,400,316
American journal of veterinary research,Am. J. Vet. Res.,401,317
Supply Chain Management,,402,318
Critical Care Nursing Quarterly,,403,319
Clinical psychology review,Clin Psychol Rev,404,320
ANN. ONCOL.,,405,321
Polskie Archiwum Medycyny Wewnetrznej,,406,322
"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",J Plast Reconstr Aesthet Surg,407,323
,,408,3
Wiener Medizinische Wochenschrift,,409,324
,,410,3
PRIMUS,,411,325
Developmental Psychology,,412,326
,,413,3
,,414,3
Cancer,Cancer,415,327
Annals of oncology : official journal of the European Society for Medical Oncology / ESMO,Ann Oncol,416,328
PALLIATIVE MED.,,417,329
Clinical cardiology,Clin Cardiol,418,330
,,419,3
Nature Clinical Practice Neurology,,420,331
Journal of dental research,J. Dent. Res.,421,332
Addictive Behaviors,Addict.Behav.,422,333
Am J Perinatol,American journal of perinatology,423,334
,,424,3
,,425,3
,,426,3
Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cardiology,Anadolu Kardiyol Derg,427,335
The Lancet,,428,336
,,429,3
Nederlands Tijdschrift Voor Fysiotherapie,,430,337
,,431,3
European Heart Journal,,432,338
Swiss Medical Weekly,,433,339
Am J Clin Nutr,The American journal of clinical nutrition,434,340
,,435,3
BMC Oral Health,BMC oral health,436,341
JOURNAL OF CELL SCIENCE,J Cell Sci,437,342
Respirology,,438,343
BR. J. CANCER,,439,344
J. Am. Geriatr. Soc.,,440,345
"Revue de stomatologie, de chirurgie maxillo-faciale et de chirurgie orale",Rev Stomatol Chir Maxillofac Chir Orale,441,346
"Journal of cardiovascular medicine (Hagerstown, Md.)",J Cardiovasc Med (Hagerstown),442,347
Italian Journal of Psychopathology,,443,348
Consumer Reports on Health,,444,349
"Journal of clinical hypertension (Greenwich, Conn.)",J Clin Hypertens (Greenwich),445,350
Frontiers in human neuroscience,Front Hum Neurosci,446,351
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,,447,352
Journal of the American Medical Informatics Association : JAMIA,J Am Med Inform Assoc,448,353
Pharmacoeconomics,,449,115
Journal of learning disabilities,J Learn Disabil,450,354
Obesity reviews : an official journal of the International Association for the Study of Obesity,Obes Rev,451,355
Diabetes technology & therapeutics,Diabetes Technol. Ther.,452,356
Ophthalmology and eye diseases,Ophthalmol Eye Dis,453,357
Indian Journal of Physiology and Pharmacology,,454,358
Nowoczesne biomateria��y jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.,,455,359
,,456,3
International urogynecology journal,Int Urogynecol J,457,360
Pain Medicine,,458,361
Cancer Research,,459,362
Revista latino-americana de enfermagem,Rev Lat Am Enfermagem,460,363
Thrombosis And Haemostasis,Thromb Haemost,461,364
Public health nutrition,Public Health Nutr,462,365
Cancer Treatment Reviews,,463,366
J Pain Res,Journal of pain research,464,367
J Clin Microbiol,Journal of clinical microbiology,465,368
Laboratory Investigation,,466,369
Child & Family Social Work,,467,370
Surg. Endosc. Interv. Tech.,,468,371
,,469,3
Health Educ Behav,Health education & behavior : the official publication of the Society for Public Health Education,470,372
Journal of the American Academy of Child and Adolescent Psychiatry,J Am Acad Child Adolesc Psychiatry,471,373
"Science (New York, N.Y.)",Science,472,374
Case Reports in Medicine,Case Rep.Med.,473,375
Korean Journal of Anesthesiology,Korean J.Anesth.,474,376
Physics in medicine and biology,Phys Med Biol,475,377
Surgery,Surgery,476,378
IEEE transactions on nuclear science,IEEE Trans Nucl Sci,477,379
The International journal of developmental biology,Int. J. Dev. Biol.,478,380
Scandinavian cardiovascular journal : SCJ,Scand. Cardiovasc. J.,479,381
Rheumatology (Oxford),"Rheumatology (Oxford, England)",480,382
Pain,Pain,481,383
Emergency Radiology,EMERG RADIOL,482,384
Australian & New Zealand Journal of Mental Health Nursing,AUST NZ J MENT HEALTH NURS,483,385
Tob Control,Tobacco control,484,386
Physiological research / Academia Scientiarum Bohemoslovaca,Physiol Res,485,387
Physiotherapy,Physiotherapy,486,196
,,487,3
,,488,3
Pediatrics,,489,311
,,490,3
European heart journal,Eur. Heart J.,491,388
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",Knee Surg Sports Traumatol Arthrosc,492,50
,,493,3
Horumon to rinsho. Clinical endocrinology,Horumon To Rinsho,494,389
JAMA,,495,390
"Proceedings of the Asme Pressure Vessels and Piping Conference 2010, Vol 7",,496,391
LaboratoriumsMedizin,,497,392
,,498,3
"Clinical medicine (London, England)",Clin Med,499,393
Forsinket implementering af internationale retningslinjer for computertomografi med iodholdigt kontraststof .,,500,394
,,501,3
Journal of Women & Aging,,502,395
Dissertation Abstracts International: Section B: The Sciences and Engineering,,503,396
TAKAYASUSCHE ARTERIITIS MIT MULTIPLEN INTRAKRANIELLEN ANEURYSMEN,,504,397
Scandinavian journal of rheumatology,Scand. J. Rheumatol.,505,398
Administration and policy in mental health,Adm Policy Ment Health,506,399
Czasopismo stomatologiczne,Czas Stomatol,507,400
International Journal of Medical Informatics,,508,401
International Urology and Nephrology,,509,402
Pediatric physical therapy,,510,403
Journal of Korean Neurosurgical Society,J Korean Neurosurg Soc,511,404
Bmj-British Medical Journal,,512,405
,,513,3
J. Pediatric Infect. Dis. Soc.,,514,406
JAMA otolaryngology-- head & neck surgery,JAMA Otolaryngol Head Neck Surg,515,407
Molecular Biology Reports,,516,408
Journal of aerosol medicine and pulmonary drug delivery,J Aerosol Med Pulm Drug Deliv,517,409
Journal of epidemiology and community health.,,518,410
CHUNG-HUA I HSUEH TSA CHIH [CHINESE MEDICAL JOURNAL],Chung Hua I Hsueh Tsa Chih,519,411
Canadian Forces Dental Services quarterly,Can Forces Dent Serv Q,520,412
British Journal of Midwifery,,521,413
Cochrane Database Syst. Rev.,,522,42
Journal Of Oral And Maxillofacial Surgery: Official Journal Of The American Association Of Oral And Maxillofacial Surgeons,,523,414
The Journal of biological chemistry,J. Biol. Chem.,524,415
Chinese medical journal,Chin. Med. J.,525,416
Occupational Medicine-Oxford,,526,417
,,527,3
Environmental toxicology and pharmacology,Environ. Toxicol. Pharmacol.,528,418
J. Cardiovasc. Med.,,529,419
"Dissertation Abstracts International, A: The Humanities and Social Sciences",,530,420
"Science (New York, N.Y.)",Science,531,374
Neuroscience,Neuroscience,532,421
Experimental neurology,Exp. Neurol.,533,422
Annals of Emergency Medicine American College of Emergency Physician's Research Forum,,534,423
Paediatrics & child health,Paediatr Child Health,535,424
,,536,3
Family & Community Health,,537,425
,,538,3
,,539,3
AJR. American Journal Of Roentgenology,AJR Am J Roentgenol,540,426
,,541,3
Cancer Biotherapy,,542,427
BMJ,,543,428
,,544,3
Rheumatology (Oxford),"Rheumatology (Oxford, England)",545,382
,,546,3
,,547,3
J. Urol.,,548,429
Disability and rehabilitation,Disabil Rehabil,549,430
Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,J Stroke Cerebrovasc Dis,550,30
Games and Economic Behavior,,551,431
,,552,3
J Bone Joint Surg Br,The Journal of bone and joint surgery. British volume,553,432
Journal of cancer research and clinical oncology,J. Cancer Res. Clin. Oncol.,554,433
International journal of obesity (2005),Int J Obes (Lond),555,434
,,556,3
American Acupuncturist,,557,435
,,558,3
Alcohol Clin Exp Res,"Alcoholism, clinical and experimental research",559,436
Klinik Psikofarmakoloji Bulteni,Klin.Psikofarmakol.Bul.,560,437
Journal of Nursing UFPE / Revista de Enfermagem UFPE,REV ENFERMAGEM UFPE,561,438
,,562,3
The British journal of psychiatry : the journal of mental science,Br J Psychiatry,563,439
,,564,3
Hernia : the journal of hernias and abdominal wall surgery,Hernia,565,440
Lancet,Lancet,566,441
Small Ruminant Research,,567,442
,,568,3
International psychogeriatrics / IPA,Int Psychogeriatr,569,443
Jornal brasileiro de pneumologia : publicacao oficial da Sociedade Brasileira de Pneumologia e Tisilogia,,570,444
"JOGNN: Journal of Obstetric, Gynecologic & Neonatal Nursing",,571,445
Harefuah,,572,446
,,573,3
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour Biol.,574,241
Croatian Medical Journal,Croat.Med.J.,575,447
International journal of stroke : official journal of the International Stroke Society,Int J Stroke,576,448
European journal of heart failure,Eur. J. Heart Fail.,577,449
Yonsei Medical Journal,Yonsei Med.J.,578,450
Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,,579,451
Canadian family physician Medecin de famille canadien,Can Fam Physician,580,452
Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,Childs Nerv Syst,581,453
,,582,3
Journal of Sexual Medicine,,583,219
,,584,3
Archives Of Physical Medicine And Rehabilitation,Arch Phys Med Rehabil,585,454
European Journal Of Anaesthesiology,Eur J Anaesthesiol,586,455
Clinical Biomechanics,,587,456
Pharmacogenomics,Pharmacogenomics,588,457
Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,589,458
J Nutr Gerontol Geriatr,Journal of nutrition in gerontology and geriatrics,590,459
Journal of Epidemiology & Community Health,,591,460
,,592,3
,,593,3
Online Submission,,594,461
J Orthop Sci,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,595,247
Geriatr Gerontol Int,Geriatrics & gerontology international,596,462
,,597,3
,,598,3
Respiratory medicine,,599,463
Veterinary clinical pathology / American Society for Veterinary Clinical Pathology,Vet Clin Pathol,600,464
Cardiovascular therapeutics,,601,465
