Genre,Filming Locations,original_index,unique_index
"Crime,Mystery,Thriller","Gare Windsor, Montréal, Québec, Canada",53,50
"Biography,Drama","Hanover, Pennsylvania, USA",54,51
"Animation,Adventure,Fantasy","Fox Studios, Moore Park, Sydney, New South Wales, Australia",55,52
"Animation,Adventure,Comedy","England, UK",56,53
"Drama,Thriller","Los Angeles, California, USA",57,54
"Classics,Action & Adventure","Montréal, Québec, Canada",58,55
"Horror,Thriller","Vancouver, British Columbia, Canada",59,56
"Action & Adventure,Comedy","New Orleans, Louisiana, USA",60,57
"Comedy,Horror","Burbank, California, USA",61,58
Horror,"4267 Roxbury Street, Forest Hills, Simi Valley, California, USA",62,59
"Comedy,Drama,Fantasy","New York City, New York, USA",63,60
Action,"4th Street, Downtown, Los Angeles, California, USA",64,61
"Action,Crime,Drama",Malta,65,62
Drama,"New York City, New York, USA",66,63
"Drama,Kids & Family,Classics","Clinton, Louisiana, USA",67,64
"Adventure,Drama,Family","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",68,65
Drama,"Cedars of Lebanon Hospital. 4833 Fountain Ave. Los Angeles, California, USA",69,66
"Drama,Romance","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",70,67
"Comedy,Romance,Sci-Fi","2552 Hyde Street, San Francisco, California, USA",71,68
Drama,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",72,69
Drama,,73,47
"Crime,Drama,Film-Noir","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",74,70
Thriller,,75,71
Comedy,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",76,72
"Comedy,Musical","Providencia Ranch, Hollywood Hills, Los Angeles, California, USA",77,73
"Comedy,Music,Musical","North Hollywood, Los Angeles, California, USA",78,74
Comedy,"California Highway 118, California, USA",79,75
"Drama,History","Arkansas, USA",80,76
"Adventure,Drama,History","Chichén Itzá, Yucatán, Mexico",81,77
"Adventure,Romance,Drama",Japan,82,78
"Adventure,Mystery,Thriller","Budapest, Hungary",83,79
"Drama,Romance","Back Bay, Boston, Massachusetts, USA",84,80
"Drama,Romance,Thriller","Coral Gables, Florida, USA",85,81
Drama,"Camp Waldemar - 1005 Ranch Road 1340, Hunt, Texas, USA",86,82
"Adventure,Comedy,Drama","Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",87,83
"Action,Adventure,Drama","Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",88,84
"Action,Drama,History","Santa Clarita, California, USA",89,29
"Adventure,Drama,History","20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",90,85
"Comedy,Drama","Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",91,86
"Comedy,Drama,Romance","Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",92,87
"Comedy,Romance",,93,9
"Drama,Romance",,94,88
"Drama,Romance","UCLA, Westwood, Los Angeles, California, USA",95,89
"Drama,Romance","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",96,67
"Crime,Drama,Romance","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",97,90
"Crime,Drama,Romance","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",98,91
"Drama,War","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",99,92
Mystery,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",100,93
"Comedy,Mystery,Drama","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",101,94
"Comedy,Romance","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",102,95
"Drama,Mystery,Romance","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",103,96
"Comedy,Romance,Drama","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",104,97
"Comedy,Fantasy,Music",Germany,105,98
"Animation,Adventure,Comedy",,106,99
"Action,Crime,Thriller","2nd Street Tunnel between Hill and Figueroa, Los Angeles, California, USA",107,100
"Crime,Drama,Mystery","The Astral House, 2210 Astral Place, Los Angeles, California, USA",108,101
"Crime,Drama,Thriller","Irvington, New York, USA",109,102
"Crime,Drama,Thriller","Magazine Street, New Orleans, Louisiana, USA",110,103
"Comedy,Family,Sci-Fi","Alameda, California, USA",111,104
"Drama,Romance","6621 Whitley Terrace, Whitley Heights, Hollywood, Los Angeles, California, USA",112,105
"Crime,Drama,Mystery","2nd Floor, Marquette County Courthouse - 234 W. Baraga Avenue, Marquette, Michigan, USA",113,106
Drama,"North Carolina, USA",114,107
"Action,Adventure,Fantasy",Romania,115,108
Drama,"Los Angeles, California, USA",116,109
"Adventure,Drama,History","Anzio, Italy",117,110
"Adventure,Sci-Fi","Kayenta, Arizona, USA",118,111
"Action,Sci-Fi","South Flower Street, Los Angeles, California, USA",119,112
"Drama,Sci-Fi","Aircraft Hanger, Van Nuys Airport - 6590 Hayvenhurst Avenue, Van Nuys, Los Angeles, California, USA",120,113
"Sci-Fi,Thriller","Snohomish High School - 1316 5th Street, Snohomish, Washington, USA",121,114
Horror,"Muriwai Beach, Woodhill Forest, Woodhill, Auckland, New Zealand",122,115
"Horror,Mystery","Toronto, Ontario, Canada",123,116
"Horror,Thriller","Playland Amusement Park, Pacific National Exhibition Grounds, Vancouver, British Columbia, Canada",124,117
"Horror,Thriller","Harahan, Louisiana, USA",125,118
"Comedy,Horror","169 N. Baldwin Avenue, Sierra Madre, California, USA",126,119
"Comedy,Horror,Sci-Fi","California State University Northridge - 18111 Nordhoff Street, Northridge, Los Angeles, California, USA",127,120
"Comedy,Horror,Sci-Fi","Empire Studios, Rome, Lazio, Italy",128,121
"Drama,Horror,Mystery","Glendale, California, USA",129,122
"Action,Thriller","Downtown, Los Angeles, California, USA",130,123
"Action,Adventure,Sci-Fi","Yuma, Arizona, USA",131,124
"Action,Sci-Fi","Manhattan Beach, California, USA",132,125
Crime,,133,126
"Animation,Action,Adventure","Plymouth, Massachusetts, USA",134,127
"Adventure,Family,Fantasy","Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",135,128
Horror,"Associated British Picture Studios, Borehamwood, Hertfordshire, England, UK",136,129
"Adventure,Horror","Bray Studios, Down Place, Oakley Green, Berkshire, England, UK",137,130
Horror,"Chatham Historic Dockyard, Chatham, Kent, England, UK",138,131
"Adventure,Fantasy","RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",139,132
"Documentary,Comedy,Drama","Appleton, Wisconsin, USA",140,133
"Adventure,Family,Fantasy","Antony House, Torpoint, Cornwall, England, UK",141,134
"Adventure,Family,Fantasy","England, UK",142,135
"Animation,Adventure,Comedy",,143,99
"Animation,Adventure,Drama",,144,136
"Animation,Family,Fantasy","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",145,137
"Animation,Adventure,Family",,146,138
"Animation,Adventure,Comedy",,147,99
"Animation,Adventure,Family","Disney's Hollywood Studios, Walt Disney World, Lake Buena Vista, Florida, USA",148,139
"Animation,Adventure,Comedy",,149,99
"Animation,Adventure,Comedy","Los Angeles, California, USA",150,140
"Animation,Comedy,Family","Fox Studios, Moore Park, Sydney, New South Wales, Australia",151,141
"Animation,Adventure,Comedy",,152,99
"Animation,Comedy,Family",,153,20
"Animation,Action,Adventure",,154,142
"Crime,Drama,Musical","Church of Saint Paul the Apostle, Columbus Avenue & West 60th Street, New York City, New York, USA",155,143
"Comedy,Drama,Romance","New York City, New York, USA",156,144
"Comedy,Romance","Boston Garden - 150 Causeway Street, Boston, Massachusetts, USA",157,145
"Comedy,Romance,Sport","Tarrant County, Texas, USA",158,146
"Comedy,Crime,Drama","Beverly Hills, California, USA",159,147
"Romance,Sports & Fitness,Science Fiction & Fantasy,Comedy","Exposition Park, Los Angeles, California, USA",160,148
Drama,"Indoor Pool, Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",161,149
"Biography,Crime,Drama","Carnegie Mellon University - 5000 Forbes Avenue, Pittsburgh, Pennsylvania, USA",162,150
"Crime,Drama,Mystery","Chilliwack, British Columbia, Canada",163,151
Comedy,"West Dayton Street & South Delacy Street, Pasadena, California, USA",164,152
"Comedy,Drama,Fantasy","Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA",165,153
Comedy,"New York City, New York, USA",166,154
"Drama,Musical,Romance","4th Street Bridge, Los Angeles, California, USA",167,155
"Drama,Musical & Performing Arts,Classics,Comedy","General Service Studios - 1040 N. Las Palmas, Hollywood, Los Angeles, California, USA",168,156
"Drama,Western","Lake Arrowhead, San Bernardino National Forest, California, USA",169,157
"Adventure,History,Western","Lake Sherwood, California, USA",170,158
"Action,Adventure","Belvedere Island, California, USA",171,159
"Drama,Romance,War","Camp Pendleton Marine Corps Base, Oceanside, California, USA",172,160
"Drama,War","Florida Keys, Florida, USA",173,161
"Western,Classics","Monument Valley, Arizona, USA",174,162
"Drama,Western","Carson City, Nevada, USA",175,163
Western,"Casa Blanca, Durango, Mexico",176,164
"Comedy,Western","Alabama Hills, Lone Pine, California, USA",177,165
"Adventure,Comedy,Romance","Kaua'i, Hawaii, USA",178,166
"Action,Adventure,Drama","Arusha National Park, Tanzania",179,167
"Adventure,Drama,History",Morocco,180,168
"Drama,Romance","Marymount High School - 10643 W. Sunset Blvd., Los Angeles, California, USA",181,169
"Comedy,Drama,Romance",,182,170
"Science Fiction & Fantasy,Kids & Family","Ealing Town Hall, Ealing, London, England, UK",183,171
"Adventure,Comedy,Drama","Fontana Dam, North Carolina, USA",184,172
Drama,"Los Angeles, California, USA",185,109
"Comedy,Music,Romance","1050 Arden Road, Pasadena, California, USA",186,173
"Comedy,Drama","8th Avenue, Manhattan, New York City, New York, USA",187,174
Drama,"Los Angeles, California, USA",188,109
"Drama,Romance","Jefferson County, Indiana, USA",189,175
"Action,Crime,Thriller","Connaught Tunnel, near London City Airport, Newham, East London, London, England, UK",190,176
"Crime,Drama,Thriller","Red Bank, New Jersey, USA",191,177
"Animation,Comedy",,192,178
Comedy,"Santa Clarita, California, USA",193,179
"Comedy,Drama,Romance","New Jersey, USA",194,180
"Action,Comedy,Crime","Colonial Rd & 81st St, Brooklyn, New York City, New York, USA",195,181
"Comedy,Crime,Drama","Las Vegas, Nevada, USA",196,182
"Comedy,Drama,Romance",,197,170
"Action,Comedy,Crime","Floresville, Texas, USA",198,183
"Crime,Drama,Thriller","William Cullen Bryant School 1355 South Kedvale Avenue, Chicago, IL.",199,184
"Drama,Romance,Sport","Conemaugh, Pennsylvania, USA",200,185
"Adventure,Drama,Romance","Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",201,186
"Comedy,Horror","Cliffs, Marineland of the Pacific - 6610 Palos Verdes Drive South, Rancho Palos Verdes, California, USA",202,187
"Crime,Drama,Thriller","Wilmington, Ohio, USA",203,188
"Drama,Romance","Bali, Indonesia",204,189
"Comedy,Drama,Romance","Reseda, California, USA",205,190
"Crime,Romance,Thriller","Atlantis Casino, Paradise Island, Bahamas",206,191
"Action,Crime,Drama",USA,207,192
"Crime,Drama,Mystery","Exchange Place, Lower Manhattan, Manhattan, New York City, New York, USA",208,193
"Crime,Thriller,Drama","Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",209,194
"Action,Crime,Drama","Arlington Towers - 100 N. Arlington Avenue, Reno, Nevada, USA",210,195
"Adventure,Comedy","Atlanta, Georgia, USA",211,196
"Action,Crime,Drama","Los Angeles, California, USA",212,197
"Action,Crime,Drama","Warner Brothers Studio Plaza - 3400 W. Riverside Dr. Burbank, California, USA",213,198
"Action,Thriller","Ohio, USA",214,199
"Crime,Drama,Mystery","Conyers, Georgia, USA",215,200
"Drama,Thriller","Brooklyn, New York City, New York, USA",216,201
"Comedy,Romance","Madison Square Garden, New York City, New York, USA",217,202
Western,"Circle Z Ranch - 1476 Highway 82, Patagonia, Arizona, USA",218,203
"Action,Crime,Drama","Chalco, Mexico City, Distrito Federal, Mexico",219,204
Drama,"Juliette, Georgia, USA",220,205
"Crime,Mystery","New York City, New York, USA",221,206
"Comedy,Drama","Fort Ord, California, USA",222,207
Drama,"New Orleans, Louisiana, USA",223,208
"Action,Adventure,Drama","Le Mans, Sarthe, France",224,209
"Drama,Sport","Farnborough Hall, Warwickshire",225,210
"Thriller,War,Action","Acquigny, Calvados, France",226,211
"Drama,Classics","East Harlem, Manhattan, New York City, New York, USA",227,212
"Comedy,Western","Durango, Mexico",228,213
"Adventure,Western","Tucson, Arizona, USA",229,214
Western,"Alabama Hills, Lone Pine, California, USA",230,215
"Romance,War,Western","Dijon Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",231,216
Drama,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",232,217
"Biography,Drama","417 Amapola Lane, Bel Air, Los Angeles, California, USA",233,218
"Drama,Horror,Thriller",,234,219
Drama,,235,47
Drama,,236,47
"Comedy,Drama","Providence, Rhode Island, USA",237,220
"Action,Adventure,Sci-Fi","Raleigh Studios Baton Rouge, Celtic Media Centre, Baton Rouge, Louisiana, USA",238,221
Drama,"Los Angeles, California, USA",239,109
"Comedy,Drama","Pawling, New York, USA",240,222
"Crime,Drama,Thriller","Boston, Massachusetts, USA",241,223
"Comedy,Romance","Santa Clarita, California, USA",242,224
"Crime,Thriller","Broadway Market, Hackney, London, England, UK",243,225
"Drama,Sci-Fi,Thriller","Bensalem Township, Pennsylvania, USA",244,226
"Comedy,Crime,Romance","Angola, Louisiana, USA",245,227
"Action,Adventure,Comedy","Lee's Ferry, Arizona, USA",246,228
"Adventure,Biography,Drama","Moab, Utah, USA",247,229
Drama,"Echo Park, Los Angeles, California, USA",248,230
Comedy,"Cape Cod, Massachusetts, USA",249,231
"Crime,Drama,Thriller","Cafe Florian, Piazza San Marco 56-59, Venice, Veneto, Italy",250,232
"Drama,Musical,Romance","Anguillara Sabazia, Rome, Lazio, Italy",251,233
"Adventure,Crime","Madrid, Spain",252,234
"Action,Adventure","Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",253,235
"Action,Sci-Fi","Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",254,236
Sci-Fi,"Berkshire Mountains, Massachusetts, USA",255,237
"Action,Mystery,Thriller","Los Angeles, California, USA",256,238
"Action,Thriller,War","Arizona, USA",257,239
"Action,Thriller","Golden Ears Provincial Park, British Columbia, Canada",258,240
"Crime,Drama,Thriller","New Jersey, USA",259,241
"Drama,Romance",Canada,260,242
Documentary,,261,26
"Drama,Romance","Prague, Czech Republic",262,243
"Drama,History,Thriller","Chandigarh, Punjab, India",263,244
"Fantasy,Horror,Sci-Fi","Los Angeles, California, USA",264,245
"Comedy,Crime,Fantasy",,265,246
Family,"Littlefield, Arizona, USA",266,247
"Drama,Musical,Romance","Chatham Historic Dockyard, Chatham, Kent, England, UK",267,248
"Adventure,Horror,Sci-Fi","Bloomingdale's - 1000 Third Avenue, Manhattan, New York City, New York, USA",268,249
Comedy,"Clarkesville, Georgia, USA",269,250
"Adventure,Drama","Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",270,251
"Adventure,Romance",Africa,271,252
"Adventure,Drama,History","Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",272,253
"Comedy,Horror",,273,254
"Comedy,Crime,Drama","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",274,255
,,275,256
"Action,Adventure,Romance","Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",276,257
"Horror,Thriller","Sanford, Florida, USA",277,258
"Drama,Thriller","Bowie High School - 4103 W. Slaughter Lane, Austin, Texas, USA",278,259
"Drama,Romance","Monterey Village. Tucson, Arizona, USA",279,260
"Biography,Drama,History","Ait Benhaddou, Morocco",280,261
Drama,"Ait Benhaddou, Morocco",281,262
"Drama,Thriller","Manhattan, New York City, New York, USA",282,263
"Comedy,Drama","Paramount Building, 1633 Broadway, New York City, New York, USA",283,264
"Drama,Music,Musical","Ballroom, Park Plaza Hotel - 607 S. Park View Street, Los Angeles, California, USA",284,265
"Comedy,Romance","Austin, Texas, USA",285,266
"Drama,Romance","Hôtel de Sully, Paris 4, Paris, France",286,267
"Comedy,Crime,Drama","128 Spring Street, Soho, Manhattan, New York City, New York, USA",287,268
"Adventure,Drama","380 South San Rafael Avenue, Pasadena, California, USA",288,269
"Action,Drama,Thriller","White House - 1600 Pennsylvania Avenue NW, Washington, District of Columbia, USA",289,270
"Action,Crime,Fantasy","Sokolec, Czech Republic",290,271
"Animation,Action,Adventure","Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",291,272
"Action,Adventure","Château de Pierrefonds, Pierrefonds, Oise, France",292,273
"Comedy,Drama","Beverly Center - 8500 Beverly Blvd., Los Angeles, California, USA",293,274
Thriller,"Austin, Texas, USA",294,275
"Crime,Thriller","Austin, Texas, USA",295,276
"Drama,Mystery,Thriller","Blue Bell, Pennsylvania, USA",296,277
"Action,Adventure,Drama","Alnwick Castle, Alnwick, Northumberland, England, UK",297,278
"Drama,Romance","North Carolina, USA",298,279
"Comedy,Romance","1930 Rodney Drive, Los Angeles, California, USA",299,280
"Comedy,Romance","Broadway, Manhattan, New York City, New York, USA",300,281
"Comedy,Romance","Church Street Station - 129 W. Church Street, Orlando, Florida, USA",301,282
"Comedy,Fantasy,Romance","Brophy Elementary School, Framingham, Massachusetts, USA",302,283
"Comedy,Romance","The Original Los Angeles Flower Market - 754 Wall St, Los Angeles, California, USA",303,284
"Comedy,Drama,Romance","New York City, New York, USA",304,144
Comedy,"Coronado Beach, Coronado, California, USA",305,285
"Comedy,Musical,Romance","Grauman's Chinese Theater - 6925 Hollywood Blvd., Hollywood, Los Angeles, California, USA",306,286
"Action,Adventure,Thriller","72nd Street, Broadway, Manhattan, New York City, New York, USA",307,287
"Action,Crime,Thriller",Hungary,308,288
"Action,Adventure,Sci-Fi",Arctic,309,289
"Action,Adventure,Sci-Fi","Cesar E Chavez Avenue Viaduct, Downtown, Los Angeles, California, USA",310,290
"Drama,Action & Adventure,Science Fiction & Fantasy","Palmdale Regional Airport, Palmdale, California, USA",311,291
"Action,Adventure,Sci-Fi","Los Angeles, California, USA",312,292
"Action,Adventure,Fantasy","Ironhead Studio, Los Angeles, California, USA",313,293
"Action,Adventure,Sci-Fi","Albuquerque, New Mexico, USA",314,294
Drama,"Central Park, Manhattan, New York City, New York, USA",315,295
"Horror,Sci-Fi","Baton Rouge, Louisiana, USA",316,296
"Comedy,Drama,Romance","Chicago, Illinois, USA",317,297
Horror,"Atlantic Beach, North Carolina, USA",318,298
Horror,"Los Angeles, California, USA",319,299
"Horror,Thriller","Montréal, Québec, Canada",320,300
"Horror,Thriller","Oyster Bay, Long Island, New York, USA",321,301
"Horror,Mystery,Thriller","Boston, Massachusetts, USA",322,302
"Drama,Romance,Thriller","Hotaling Cafe - 60 Hotaling Pl, San Francisco, California, USA",323,303
"Drama,Romance","Carolina Beach, North Carolina, USA",324,304
"Comedy,Crime,Thriller","Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",325,305
"Comedy,Fantasy","The Ebell of Los Angeles - 743 South Lucerne Bouelvard, Los Angeles, California, USA",326,306
"Adventure,Drama","Beaufort, South Carolina, USA",327,307
"Documentary,History","Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",328,308
"Action,Drama","Beaufort, South Carolina, USA",329,309
"Adventure,Fantasy,Romance","Agnes Scott College - 141 E. College Avenue, Decatur, Georgia, USA",330,310
"Adventure,Crime,Drama","Bakersfield, California, USA",331,311
"Crime,Drama,Romance","Forest Hills, Queens, New York City, New York, USA",332,312
"Drama,Thriller","Harriman State Park, Bear Mountain, New York, USA",333,313
"Drama,Romance","Holmesburg Prison - 8215 Torresdale Avenue, Philadelphia, Pennsylvania, USA",334,314
"Action,Crime,Thriller","Chesapeake Bay Bridge, Chesapeake Bay, Maryland, USA",335,315
"Comedy,Crime","Agoura Hills, California, USA",336,316
Drama,"Oxford, Ohio, USA",337,317
"Action,Adventure,Drama",Bahamas,338,318
Documentary,,339,26
"Comedy,Fantasy,Horror","2421 S Figueroa St, Los Angeles, California, USA",340,319
"Fantasy,Horror,Mystery","Wilmington, North Carolina, USA",341,320
"Horror,Mystery","London, England, UK",342,321
"Horror,Sci-Fi","Osgoode Hall, Toronto, Ontario, Canada",343,322
"Drama,Sci-Fi","Rose Center for Earth & Space - 200 Central Park West, Manhattan, New York City, New York, USA",344,323
"Documentary,Crime",China,345,324
"Action,Crime,Drama","New York City, New York, USA",346,325
"Action,Drama,Thriller","Stone Mountain - Highway 78, Stone Mountain, Georgia, USA",347,326
"Crime,Drama,Thriller","Glenville, New York, USA",348,327
"Crime,Drama","Woodbury, Georgia USA",349,328
Drama,"Reidsville, North Carolina, USA",350,329
"Drama,Thriller","Annapolis, Maryland, USA",351,330
"Romance,Sci-Fi,Thriller","Statue of Liberty, Liberty Island, New York Harbor, New York City, New York, USA",352,331
"Comedy,Crime,Drama","Blue Mound, Illinois, USA",353,332
"Drama,Sci-Fi,Thriller","Taylor Street, San Francisco, California, USA",354,333
"Drama,Fantasy","Alexandra Palace, Alexandra Palace Way, Muswell Hill, London, England, UK",355,334
"Biography,Drama,History",South Africa,356,335
"Mystery,Thriller","Continuum At South Beach - 100 South Pointe Drive, Miami Beach, Florida, USA",357,336
Comedy,"Los Angeles, California, USA",358,337
"Drama,Horror,Romance","Los Angeles, California, USA",359,338
"Horror,Mystery,Thriller","Centennial College, Toronto, Ontario, Canada",360,339
"Mystery,Thriller","Four Aces - 14499 E. Avenue Q, Palmdale, California, USA",361,340
Drama,"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",362,341
Comedy,"Greenmount Avenue at 33rd Street, Baltimore, Maryland, USA",363,342
"Drama,Romance,War","Hopfenohe, Grafenwöhr, Bavaria, Germany",364,343
Drama,"Foxborough, Massachusetts, USA",365,344
"Drama,Romance","Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",366,345
"Drama,Romance","Circle Drive, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",367,346
"Comedy,Musical,Romance","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",368,347
"Drama,Romance","Apple Valley Inn - Apple Valley Inn Road, Apple Valley, California, USA",369,348
"Drama,Romance","Universal Studios - 100 Universal City Plaza, Universal City, California, USA",370,349
"Drama,Romance","Aquarius Theater - 6230 Sunset Blvd., Hollywood, Los Angeles, California, USA",371,350
Comedy,"Colonial Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",372,351
Drama,"Beverly Hilton Hotel - 9876 Wilshire Blvd., Beverly Hills, California, USA",373,352
Drama,"Circle Drive, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",374,353
"Crime,Drama,Thriller","Delray Beach, Florida, USA",375,354
"Drama,Romance","Bahia, Brazil",376,355
"Drama,Romance","Paris, France",377,356
"Drama,Fantasy,Horror","Culver City, California, USA",378,357
"Horror,Mystery,Thriller","209 Short Street, Southport, North Carolina, USA",379,358
Drama,"5th Avenue, Manhattan, New York City, New York, USA",380,359
"Crime,Drama,Mystery","Fort Lauderdale, Florida, USA",381,360
"Horror,Mystery","3871 Tomales Road, Tomales, California, USA",382,361
Documentary,,383,26
Drama,"Los Angeles, California, USA",384,109
"Adventure,Drama,History",,385,362
"Crime,Drama,Thriller","New Orleans, Louisiana, USA",386,363
"Action,Crime,Drama","Cookeville, Tennessee, USA",387,364
Drama,"Agua Dulce Movie Ranch - 34855 Petersen Road, Agua Dulce, California, USA",388,365
"Crime,Horror","Lompoc, California, USA",389,366
"Crime,Drama","New York City, New York, USA",390,367
"Drama,Horror,Thriller","Allegheny County, Pennsylvania, USA",391,368
"Drama,Romance","Sevilla, Andalucía, Spain",392,369
Documentary,,393,26
"Comedy,Drama,Romance","3324 N. Christmas Avenue, Tucson, Arizona, USA",394,370
"Comedy,Romance","1152 S Wabash Ave, Chicago, Illinois, USA",395,371
Comedy,"Austin, Texas, USA",396,372
