Creator,original_index,unique_index
"Rick Kerb,Bill Holderman",184,181
Travis Mathews,185,182
"Andrew Smith,Andrew Smith",186,183
Leora Barish,187,184
Jordan Mohr,188,185
"James Jones,John Patrick",189,186
Guy Ritchie,190,187
Bryan Johnson,191,188
Kevin Smith,192,189
"Kevin Smith,Kevin Smith",193,190
Kevin Smith,194,189
"Robb Cullen,Mark Cullen",195,191
"Kenneth Kit Lamug,Thomas J. Vosicky",196,192
"Amy Andelson,Amy Andelson",197,193
"Robert Clouse,Robert Clouse",198,194
Richard Di Lello,199,195
"Pat Jordan,Michael Kane",200,196
"Bob Dolman,Ron Howard",201,197
"Jan Fischer,James Jeremias",202,198
"Nancy Price,Ronald Bass",203,199
"Ryan Murphy,Jennifer Salt",204,200
"Tom Hanks,Nia Vardalos",205,201
Tony Gilroy,206,202
Eric Warren Singer,207,203
Russell Gewirtz,208,204
"Donald E. Westlake,John Flynn",209,205
"John Reese,Howard Rodman",210,206
"Brian Garfield,Brian Garfield",211,207
"A.J. Quinnell,Brian Helgeland",212,208
"Luther Davis,Wally Ferris",213,209
Mark Bomback,214,210
Aaron Guzikowski,215,211
"Darren Aronofsky,Darren Aronofsky",216,212
Amy Schumer,217,213
"Lukas Heller,David Zelag Goodman",218,214
"Frank Kowalski,Sam Peckinpah",219,215
"Charles Willeford,Charles Willeford",220,216
"Arthur J. Beckhard,Cedric Worth",221,217
"Maurice Richlin,Blake Edwards",222,218
"Richard Jessup,Ring Lardner Jr.",223,219
Harry Kleiner,224,220
"Robert Alan Aurthur,Robert Alan Aurthur",225,221
"Franklin Coen,Frank Davis",226,222
"Edward Anhalt,J.P. Miller",227,223
William W. Norton,228,224
Alan Sharp,229,225
Roy Huggins,230,226
Russell S. Hughes,231,227
"John Meehan,Sonya Levien",232,228
"Christina Crawford,Frank Yablans",233,229
Robert Bloch,234,230
"Sonya Levien,Fred Thompson",235,231
"Rex Beach,Walter Woods",236,232
Maya Forbes,237,233
"Jeremy Slater,Simon Kinberg",238,234
"Leo Tolstoy,Bernard Rose",239,235
David O. Russell,240,236
"Peter Craig,Ben Affleck",241,237
"Scot Armstrong,Leslie Dixon",242,238
Steven Knight,243,239
M. Night Shyamalan,244,240
"Elmore Leonard,Scott Frank",245,241
"Roy Huggins,William Goldman",246,242
"Danny Boyle,Simon Beaufoy",247,243
"Todd Walton,Valerie Curtin",248,244
"Charles B. Wessler,Bennett Yellin",249,245
"Patricia Highsmith,Anthony Minghella",250,246
"Michael Tolkin,Anthony Minghella",251,247
"Jesús Franco,Sax Rohmer",252,248
"Sax Rohmer,Franklin Adreon",253,249
Ronald Davidson,254,250
Jack Lewis,255,251
"Miles Chapman,Jason Keller",256,252
"Art Monterastelli,Sylvester Stallone",257,253
"David Morrell,Michael Kozoll",258,254
James Mangold,259,255
"Louisa May Alcott,Robin Swicord",260,256
"Moshe Diamant,Michael Franzese",261,257
"Milan Kundera,Jean-Claude Carrière",262,258
Mark Boal,263,259
"Kristen Davila,Rosanne Flynn",264,260
"Martin Owen,Abigail Wright",265,261
Eric Hendershot,266,262
"William Nicholson,Alain Boublil",267,263
Drew Goddard,268,264
"William Boyd,William Boyd",269,265
"James Fenimore Cooper,Robert Dillon",270,266
"Ethelreda Lewis,Dale Van Every",271,267
"James Fenimore Cooper,Philip Dunne",272,268
"Dr. God,Ryan Mitts",273,269
"Earl Baldwin,Richard Connell",274,270
James Fenimore Cooper,275,271
"James Fenimore Cooper,Herbert Dalmas",276,272
"Anthony DiBlasi,Anthony DiBlasi",277,273
"Abdi Nazemian,Micah Schraft",278,274
Robert Getchell,279,275
Melissa Mathison,280,276
"Nikos Kazantzakis,Paul Schrader",281,277
"Joe Connelly,Paul Schrader",282,278
Paul D. Zimmerman,283,279
"Earl Mac Rauch,Mardik Martin",284,280
Alex Holdridge,285,281
"Christopher Hampton,Choderlos de Laclos",286,282
Joseph Minion,287,283
"Stephen King,Raynold Gideon",288,284
"William Monahan,David Ignatius",289,285
"Michael Brandt,Derek Haas",290,286
"Neil Gaiman,Roger Avary",291,287
"Alexandre Dumas père,Randall Wallace",292,288
Jake Kasdan,293,289
Quentin Tarantino,294,290
Frank Miller,295,291
M. Night Shyamalan,296,240
"Pen Densham,Pen Densham",297,292
"Nicholas Sparks,Karen Janszen",298,293
"Nicole Eastman,Karen McCullah",299,294
Aline Brosh McKenna,300,295
Chad Gomez Creasey,301,296
"Jon Lucas,Scott Moore",302,297
"Katherine Fugate,Katherine Fugate",303,298
Adam Brooks,304,299
"Billy Wilder,I.A.L. Diamond",305,300
"Adolph Green,Betty Comden",306,301
"Jonathan Hensleigh,Roderick Thorp",307,302
"Skip Woods,Roderick Thorp",308,303
"Stuart Beattie,David Elliot",309,304
"Roberto Orci,Alex Kurtzman",310,305
"Matthew Holloway,Arthur Marcum,Matthew Hollaway,Mark Fergus,Hawk Ostby",311,306
"Christopher Markus,Stephen McFeely",312,307
"Alex Kurtzman,Roberto Orci",313,308
"Carter Blanchard,Dean Devlin",314,309
Allison Burnett,315,310
"Sharon Y. Cobb,L. Gustavo Cooper",316,311
"Masayuki Suo,Audrey Wells",317,312
Buddy Cooper,318,313
"Stephen Carpenter,Jeffrey Obrow",319,314
T.Y. Drake,320,315
"Paul Caimi,Michael Hickey",321,316
"Dick Randall,Joe D'Amato",322,317
"Robert Berger,Wesley Strick",323,318
"Ann Peacock,John Romano",324,319
Stu Silver,325,320
"Martin Donovan,David Koepp",326,321
"Charles Gieg Jr.,Felix Sutton",327,322
Thom Andersen,328,323
"Danielle Alexandra,David Twohy",329,324
William Hjortsberg,330,325
Callie Khouri,331,326
Howard Franklin,332,327
"George Dawes Green,Ted Tally",333,328
"Joan Didion,John Gregory Dunne",334,329
"George Nolfi,Gerald Petievich",335,330
Stan Seidel,336,331
"George Clooney,Grant Heslov",337,332
J.C. Chandor,338,333
"Alex Gibney,Bethany McLean",339,334
"Fred Dekker,Ethan Wiley",340,335
"Stephen King,Mark Pavia",341,336
"Stephen King,Tobe Hooper",342,337
"Donald A. Wollheim,Matthew Robbins",343,338
"Gene Brewer,Charles Leavitt",344,339
"Charles Ferguson,Chad Beck",345,340
J.C. Chandor,346,333
Evan Daugherty,347,341
"Derek Cianfrance,Ben Coccio",348,342
"Nick Cave,Matt Bondurant",349,343
"Andrea Portes,Derick Martini",350,344
"Stephen Gaghan,Robert Baer",351,345
"George Nolfi,Philip K. Dick",352,346
"Scott Z. Burns,Kurt Eichenwald",353,347
Scott Z. Burns,354,348
Peter Morgan,355,349
"Anthony Peckham,John Carlin",356,350
"Carl Ellsworth,Carl Ellsworth",357,351
"Bill Robens,Kiff Scholl",358,352
"Gregory Hatanaka,Norith Soth",359,353
"David Johnson,Alex Mace",360,354
Michael Cooney,361,355
"Catherine Ryan Hyde,Leslie Dixon",362,356
John Waters,363,357
"Orin Jannings,Erich Maria Remarque",364,358
Chris Sparling,365,359
"Lloyd C. Douglas,Robert Blees",366,360
"Peg Fenwick,Edna L. Lee",367,361
"Betty Comden,Adolph Green",368,362
"Bernard C. Schoenfeld,Ursula Parrott",369,363
"William Faulkner,George Zuckerman",370,364
"Eleanore Griffin,Allan Scott",371,365
"Joseph Hoffman,Eleanor H. Porter",372,366
"Cyril Hume,Richard Maibaum",373,367
"James Gunn,Robert Blees",374,368
Lawrence Kasdan,375,369
"Patricia Louisianna Knop,Zalman King",376,370
"Elizabeth McNeill,Mick Davis",377,371
"Peter Filardi,Peter Filardi",378,372
"Lois Duncan,Kevin Williamson",379,373
Roger Kumble,380,374
"Andy Hurst,Ross Helford",381,375
Kevin Williamson,382,376
,383,28
Donavon Warren,384,377
"Robert Gregg,Jack London",385,378
Michele Davis-Gray,386,379
"John Shirley,Alexandra Seros",387,380
Adam Chanzit,388,381
"Michiko Jimenez,Shane Ryan",389,382
Kamal Ahmed,390,383
"Pierre Boileau,Thomas Narcejac",391,384
"Rafael Azcona,Vicente Blasco Ibáñez",392,385
,393,28
Michael Swerdlick,394,386
Chris Columbus,395,387
Chris Columbus,396,387
David Seltzer,397,388
Neil Tolkin,398,389
John Hughes,399,390
John Hughes,400,390
John Hughes,401,390
"Chip Proser,Jeffrey Boam",402,391
"Neil Landau,Tara Ison",403,392
"Edward Rugoff,Michael Gottlieb",404,393
Andy Cochran,405,394
Tom Gormican,406,395
"Seth Rogen,Evan Goldberg",407,396
"Rhett Reese,Paul Wernick",408,397
"Simon Pegg,Nick Frost",409,398
"Justin Theroux,Ben Stiller",410,399
"Adam McKay,Chris Henchy",411,400
"Chris Henchy,Shawn Harwell",412,401
Scot Armstrong,413,402
"Ed Decter,John J. Strauss",414,403
"Paul Guay,Stephen Mazur",415,404
"Scott Alexander,Larry Karaszewski",416,405
"Thomas Harris,Ted Tally",417,406
"Alan Moore,Eddie Campbell",418,407
"Hunter S. Thompson,Terry Gilliam",419,408
"Bruce Robinson,Hunter S. Thompson",420,409
"Phil Hay,Matt Manfredi",421,410
Tommy Wirkola,422,411
"Jon Hoeber,Erich Hoeber",423,412
"Roberto Orci,Alex Kurtzman",424,305
"Caspian Tredwell-Owen,Alex Kurtzman",425,413
"Bill Marsilii,Terry Rossio",426,414
James Kearns,427,415
"Frank Pierson,P.F. Kluge",428,416
"Michael Robert Johnson,Anthony Peckham",429,417
"Etan Cohen,Lowell Cunningham",430,418
"Raymond F. Jones,Franklin Coen",431,419
Samuel Newman,432,420
"Tom Taggart,Richard G. Taylor",433,421
"Jules Verne,Lucien Hubbard",434,422
"Garnett Weston,Garnett Weston",435,423
"Ezra Litwak,Marjorie Schwartz",436,424
Joe Eszterhas,437,14
Joseph G. Quinn,438,425
"Daniel Mainwaring,Les Savage Jr.",439,426
"Owen Wister,Kirk La Shelle",440,427
"Jack Jevne,Charley Rogers",441,428
"Frank Craven,Byron Morgan",442,429
"Peter Buchman,Benjamin A. van der Veen",443,430
"Robert Bodansky,John Colton",444,431
"Tom Barry,John Hunter Booth",445,432
"Robert E. Burns,Howard J. Green",446,433
"Erwin S. Gelsey,James Seymour",447,434
"Warren Duff,Richard Maibaum",448,435
"Jerry Wald,Richard Macaulay",449,436
"Norman Krasna,Leo Townsend",450,437
"Richard L. Breen,T.E.B. Clarke",451,438
"Harry Lawton,Abraham Polonsky",452,439
"Tennessee Williams,Francis Ford Coppola",453,440
"Neil Simon,Neil Simon",454,441
"Neil Simon,Neil Simon",455,441
Neil Simon,456,442
"Matt Rager,Matt Rager",457,443
"Damon Runyon,William R. Lipman",458,444
Josh Evans,459,445
"David Levien,Brian Koppelman",460,446
"Alex Haley,Malcolm X",461,447
"Charles Martin,Marion Parsonnet",462,448
"E.L. Konigsburg,Blanche Hanalis",463,449
"Robert B. Sherman,Richard M. Sherman",464,450
"Kristine Johnson,Jessie Nelson",465,451
David Lynch,466,38
"William Ludwig,Eleanor Atkinson",467,452
"Buford Hauser,David DeCoteau",468,453
"Muffy Bolding,William Butler",469,454
"William Butler,Domonic Muir",470,455
Kent Roudebush,471,456
"Michael Genet,Michael Genet",472,457
Russ Meyer,473,458
"Gorman Bechard,Carmine Capobianco",474,459
Carol Frank,475,460
"Fritz Gordon,Robert Hiltzik",476,461
"Dave Campfield,Dave Campfield",477,462
"Brandon Benz,Dennis Devine",478,463
"Ted Chalmers,Annie T. Conlon",479,464
,480,28
"Ron Nyswaner,W. Somerset Maugham",481,465
Philippe Blot,482,466
Spike Lee,483,467
"Richard Price,Richard Price",484,468
Charlie Kaufman,485,469
"Peter Viertel,Joan Harrison",486,470
Brian Moore,487,471
,488,28
"Gillian Flynn,Gilles Paquet-Brenner",489,472
"David Pastor,Àlex Pastor",490,473
"Jonathan M. Goldstein,John Francis Daley",491,474
"John Green,Scott Neustadter",492,475
Tony McNamara,493,476
"Shari Springer Berman,Eleanor Henderson",494,477
"Rachel Davis,Mora Stephens,Joel Viertel",495,478
"True Boardman,Alexander Hull",496,479
Paul McCusker,497,480
"Kevin Carraway,Lawrence Sara",498,481
"Adam Emerson,Andrew Kightlinger",499,482
"Phoebe Gloeckner,Marielle Heller",500,483
"Fax Bahr,George Hickenlooper",501,484
Kevin Williamson,502,376
Ernest Lehman,503,485
"Stephen King,Stanley Mann",504,486
"Eric L. Bloom,Ron Kurz",505,487
"Margaret Fitts,William Ludwig",506,488
"Jim Kouf,Cormac Wibberley",507,489
Stuart Beattie,508,490
"Stanley Kubrick,Anthony Burgess",509,491
"Robert E. Howard,John Milius",510,492
"Clayton Frohman,Clayton Frohman",511,493
"Will Honley,David Yarovesky",512,494
"Deric Washburn,Walon Green",513,495
"Kay Cousins Johnson,Steve Krantz",514,496
Brian De Palma,515,497
"Robert Jaffe,Steven-Charles Jaffe",516,498
"Joan Torres,Raymond Koenig",517,499
Edward D. Murphy,518,500
"Ron Howard,Akiva Goldsman,Cliff Hollingsworth,C. Gaby Mitchell",519,501
"Frances Goodrich,Albert Hackett",520,99
"Jules Eckert Goodman,Gouverneur Morris",521,502
Robert D. Siegel,522,503
"Evan S. Connell,Ruth Prawer Jhabvala",523,504
"Norman Reilly Raine,Æneas MacKenzie",524,505
"Ralph Block,Doris Malloy",525,506
"Erwin S. Gelsey,Ladislas Fodor",526,507
,527,28
"Joel Coen,Ethan Coen",528,108
Melissa Mathison,529,276
"Henry Farrell,Lukas Heller",530,508
"Buster Keaton,Clyde Bruckman",531,509
"Leigh Whannell,James Wan",532,121
"Jeffrey Reddick,George A. Romero",533,510
"David Franzoni,David Franzoni",534,511
"Sarah Bird,Billy Kent",535,512
"Tom McCarthy,Tom McCarthy",536,513
"Chuck Barris,Charlie Kaufman",537,514
"Robert Festinger,Todd Field",538,515
John Logan,539,516
"Eric Darnell,Noah Baumbach",540,517
"Stephen Vincent Benet,James Edward Grant",541,518
"James Edward Grant,Clair Huffaker",542,519
Clair Huffaker,543,520
"Louis Begley,Alexander Payne",544,521
"Daniel Clowes,Daniel Clowes",545,522
"Mark Rosenthal,Lawrence Konner",546,523
"Susan Isaacs,David Seltzer",547,524
"Neil B. Shulman,Laurian Leggett",548,525
"Jesse Baget,Elias Benavidez",549,526
"John Carpenter,Debra Hill",550,527
Tom Gries,551,528
"Harry Julian Fink,Harry Julian Fink",552,529
"Rudy Wurlitzer,Will Corry",553,530
"Irvin Berwick,Jack Kevan",554,531
"John Twist,Robert Buckner",555,532
"Jerry Juhl,Joey Mazzarino",556,533
"Charles Dickens,Jerry Juhl",557,534
"Robert Louis Stevenson,Jerry Juhl",558,535
"Tom Patchett,Jay Tarses",559,536
"Jack Burns,Jerry Juhl",560,537
,561,28
Mark Monroe,562,538
Joel Oliansky,563,539
Joseph B. Vasquez,564,540
Steven Palmer Peterson,565,541
"Scott Spencer,Judith Rascoe",566,542
"Bill L. Norton,Bill L. Norton",567,543
Lawrence Kasdan,568,369
"Nicholas Sparks,Gerald Di Pego",569,544
"Marc Silverstein,Jason Katims,Abby Kohn",570,545
"Ewan Leslie,Karen McCullah",571,546
"Abby Kohn,Marc Silverstein",572,547
"Michael Dougherty,Dan Harris",573,548
"Stuart Gordon,Joe Haldeman",574,549
"Roderick Taylor,Bruce A. Taylor",575,550
"Stephen King,Larry Cohen",576,551
"Ryûzô Kikushima,Akira Kurosawa",577,552
"Mitchell Kapner,Mitchell Kapner",578,553
"Lawrence Wright,Lawrence Wright",579,554
Mitchell Kapner,580,555
"Rowdy Herrington,Marty Kaplan",581,556
"Shane Black,Greg Hicks",582,557
"Brett Halliday,Shane Black",583,558
Kurt Wimmer,584,559
"Michelangelo Antonioni,Julio Cortázar",585,560
Zach Helm,586,561
"Hossein Amini,James Sallis",587,562
"Martin B. Cohen,Michael Kars",588,563
"Robert Towne,Darryl Ponicsan",589,564
"James M. Cain,David Mamet",590,565
Jules Feiffer,591,566
"Wayne Crawford,Andrew Lane",592,567
"John Herman Shaner,Al Ramrus",593,568
"Justin Haythe,Ted Elliott",594,569
David Guggenheim,595,570
"Peter Maas,Waldo Salt",596,571
"David Mamet,David Mamet",597,572
"James Vanderbilt,Robert Graysmith",598,573
Ben Ripley,599,574
"Lowell Cunningham,Ed Solomon",600,575
"Robert Abel,Allen Adler",601,576
"William Raynor,James H. Nicholson",602,577
"Jules Verne,Robert Blees",603,578
"Joseph Hoffman,Irving Ravetch",604,579
"Richard Summers,D.D. Beauchamp",605,580
"Frances Goodrich,Albert Hackett",606,99
H.M. Walker,607,581
"Carole Eastman,Bob Rafelson",608,582
"Abem Finkel,Carl Erickson",609,583
"Adele Comandini,Adele Comandini",610,584
"Oscar Brodney,Norman Krasna",611,585
,612,28
Carole Eastman,613,586
"Jeremy Larner,Jack Nicholson",614,587
,615,28
David Chaskin,616,588
Henry Jaglom,617,589
"Bob Rafelson,Jack Nicholson",618,590
"Mike Justice,Stephen Kitaen",619,591
Nancy Meyers,620,592
"Winston Groom,Eric Roth",621,593
"Hume Cronyn,Patrick Hamilton",622,594
"John Michael Hayes,David Dodge",623,595
"Christian Gudegast,Paul Scheuring",624,596
"Matthew Bright,Matthew Bright",625,597
"Anaïs Nin,Elisa M. Rothstein",626,598
"Cornell Woolrich,Michael Cristofer",627,599
"Akiva Goldsman,Jeff Vintar",628,600
"Andrew Stanton,Andrew Stanton",629,601
Werner Herzog,630,602
Stephen Sommers,631,603
,632,28
,633,28
Adam Resnick,634,604
"Sonya Levien,William Ludwig",635,605
"André Cayatte,Gérard Oury",636,606
Stanley Kubrick,637,607
Dan Klores,638,608
,639,28
"Daniel Taradash,Elick Moll",640,609
Budd Schulberg,641,610
"Clifford Odets,Ernest Lehman",642,611
"Howard Lindsay,Russel Crouse",643,612
"Debra Hill,John Carpenter",644,613
"Halle Eaton,Nicole Coady",645,614
Ralph Arlyck,646,615
"Stuart Gordon,Brian Yuzna",647,616
"Stuart Gordon,Brian Yuzna",648,616
"Leo Benvenuti,Steve Rudnick",649,617
"Dorothy Clarke Wilson,J.H. Ingraham",650,618
"Brent V. Friedman,Brent V. Friedman",651,619
"H.P. Lovecraft,Brent V. Friedman",652,620
Andrew Kevin Walker,653,621
,654,28
Claes Lilja,655,622
John Orrichio,656,623
"Jeremy Chilnick,Morgan Spurlock",657,624
"John Musker,Ron Clements",658,625
"Alfred Uhry,Alfred Uhry",659,626
"Nick Villiers,Bob Rafelson",660,627
Nancy Meyers,661,592
"Lowell Ganz,Babaloo Mandel",662,628
"Borden Chase,Charles Schnee",663,629
,664,28
,665,28
John Waters,666,357
"Miles Millar,Alfred Gough",667,630
John Waters,668,357
"Anne Rice,Anne Rice",669,631
Susannah Grant,670,632
"John J. McLaughlin,Donald E. Westlake",671,633
John Waters,672,357
"Charles Lang,Vernon L. Fluharty",673,634
"Peter Packer,Glendon Swarthout",674,635
John Waters,675,357
"Jean Rouverol,Hugo Butler",676,636
"Robert Wilder,Edmund H. North",677,637
John Waters,678,357
Mark Jonathan Harris,679,638
,680,28
David Strohmaier,681,639
"Robert Kramer,Wim Wenders",682,640
"Royal K. Cole,William Lively",683,641
Leslie Bohem,684,642
"Halsted Welles,Elmore Leonard",685,643
"Kirby Dick,Amy Ziering",686,644
,687,28
"Greg Boas,Charles Ricciardi",688,645
"Alan B. McElroy,Larry Rattner",689,646
,690,28
"Larry Cohen,Chris Morgan",691,647
,692,28
"Oliver Stone,Christopher Kyle",693,648
David Franzoni,694,649
Ash Baron-Cohen,695,650
"Louis Dempsey,Andrew Howard",696,651
Quentin Tarantino,697,290
"Michael Crichton,Michael Crichton",698,652
"Jeffrey Boam,George Lucas",699,653
"Derek Guiley,David Schneiderman,Lilian Burch",700,654
"Mark Amin,Katherine Fugate",701,655
"Simon Kinberg,Jane Goldman",702,656
"Tyler Measom,Greg O'Toole",703,657
"Charles Band,Jackson Barr",704,658
"Phillip J. Roth,Phillip J. Roth",705,659
"Ian Danby,Luigi Cozzi",706,660
,707,28
Daniel A. Miller,708,661
"John Burgess,Anthony Hickox",709,662
Anthony Hickox,710,663
"Claudine West,Donald Ogden Stewart",711,664
"Rob Zombie,John Carpenter",712,665
Amos Kollek,713,666
"Roger Holzberg,Douglas Weiser",714,667
"Peter Silverman,Martin Bell",715,668
"Shawn Holmes,Hari Sathappan",716,669
,717,28
Christopher Folino,718,670
Yuri Shapochka,719,671
"Kevin Derek,Kevin Derek",720,672
"Conor Duffy,Conor Duffy",721,673
"Geoff Nicholson,W. Scott Peake",722,674
