Condition,Stateavg,original_index,unique_index
pneumonia,al_pn-3b,181,22
pneumonia,al_pn-4,182,23
pneumonia,al_pn-5c,183,24
pneumonia,al_pn-6,184,25
pneumonia,al_pn-7,185,26
surgical infection prevention,al_scip-card-2,186,0
surgical infection prevention,al_scip-inf-1,187,1
surgical infection prevention,al_scip-inf-2,188,2
surgical infection prevention,al_scip-inf-3,189,3
surgical infection prevention,al_scip-inf-4,190,4
surgical infection prevention,al_scip-inf-6,191,5
surgical infection prevention,al_scip-vte-1,192,6
surgical infection prevention,al_scix-vte-2,193,31
heart attack,al_ami-1,194,8
heart attack,al_ami-2,195,9
heart attack,al_ami-3,196,10
heart attack,al_ami-4,197,11
heart attack,al_ami-5,198,12
heaxt attack,al_ami-7a,199,32
heart attack,al_ami-8a,200,14
heart failure,al_hf-1,201,15
heart failure,al_hf-2,202,16
heart failure,al_hf-3,203,17
heart failure,al_hf-4,204,18
pneumonia,al_pn-2,205,21
pneumonia,al_pn-3b,206,22
pneumonia,al_pn-4,207,23
pneumonia,al_pn-5c,208,24
pneumonia,al_pn-6,209,25
pneumonia,al_pn-7,210,26
surgical infection prevention,al_scip-card-2,211,0
surgical infection prevention,al_scip-inf-1,212,1
surgical infection prevention,al_sxip-inf-2,213,33
surgical infection prevention,al_scip-inf-3,214,3
surgical infection prevention,al_scip-inf-4,215,4
surgical infection prevention,al_scip-inf-6,216,5
surgical infection prevention,al_scip-vte-1,217,6
surgical infection prevention,al_scip-vte-2,218,7
heart attack,al_ami-1,219,8
heart attack,al_ami-2,220,9
heart attack,al_ami-3,221,10
heart attack,al_ami-4,222,11
heart attack,al_ami-5,223,12
heart attack,al_ami-7a,224,13
hexrt attxck,al_ami-8a,225,34
heart failure,al_hf-1,226,15
heart failure,al_hf-2,227,16
heart failure,al_hf-3,228,17
heart faxlure,al_hf-4,229,35
pneumonia,al_pn-2,230,21
pneumonia,al_pn-3b,231,22
pneumonia,al_pn-4,232,23
pneumonia,al_pn-5c,233,24
pneumonia,al_pn-6,234,25
pneumonia,al_pn-7,235,26
suxgical infection pxevention,al_scip-card-2,236,36
surgical infection prevention,al_scip-inf-1,237,1
surgical infection prevention,al_scip-inf-2,238,2
surgxcal infectxon preventxon,al_scip-inf-3,239,37
surgical infection prevention,al_scip-inf-4,240,4
surgical infection prevention,al_scip-inf-6,241,5
surgical infection prevention,al_scip-vte-1,242,6
surgical infection prevention,al_scip-vte-2,243,7
heart attack,ax_ami-1,244,38
heart attack,al_ami-2,245,9
heart attack,al_ami-3,246,10
heart attack,al_ami-4,247,11
heart attack,xl_xmi-5,248,39
heart attack,al_ami-7a,249,13
heart attack,al_ami-8a,250,14
heart failure,al_hf-1,251,15
heart failure,al_hf-2,252,16
heart failure,al_hf-3,253,17
heart failure,al_hf-4,254,18
pneumonia,al_pn-2,255,21
xneumonia,al_pn-3b,256,40
pneumonia,al_pn-4,257,23
pneumonia,al_pn-5c,258,24
pneumonia,al_pn-6,259,25
pneumonia,al_pn-7,260,26
surgical infection prevention,al_scip-card-2,261,0
surgical infection prevention,al_scip-inf-1,262,1
surgical infection prevention,al_scip-inf-2,263,2
surgical infection prevention,al_scip-inf-3,264,3
surgical infection prevention,al_scip-inf-4,265,4
surgical infection prevention,al_scip-inf-6,266,5
surgical infection prevention,al_scip-vte-1,267,6
surgical infection prevention,al_scip-vte-2,268,7
heart attack,al_axi-1,269,41
heart attack,al_ami-2,270,9
heart attack,al_ami-3,271,10
heart attack,al_ami-4,272,11
heart attack,al_ami-5,273,12
heart attack,al_ami-7a,274,13
heart attack,al_ami-8a,275,14
heart failure,al_hf-1,276,15
heart failure,al_hf-2,277,16
heart failure,al_hf-3,278,17
xeart failure,al_hf-4,279,42
pneumonia,al_pn-2,280,21
pneumonia,al_pn-3b,281,22
pneumonia,al_pn-4,282,23
pneumonia,al_pn-5c,283,24
pneumonia,al_pn-6,284,25
pneumonia,al_pn-7,285,26
surgical infection prevention,al_scip-card-2,286,0
surgical infection prevention,al_scip-inf-1,287,1
surgical infection prevention,al_scip-inf-2,288,2
surgical infection prevention,al_scip-inf-3,289,3
surgical infection prevention,al_scip-inf-4,290,4
surgical infection prevention,al_scip-inf-6,291,5
surgical infection prevention,al_scip-vte-1,292,6
surgical infection prevention,al_scip-vte-2,293,7
heart attack,al_ami-1,294,8
heart attack,al_ami-2,295,9
heart attack,al_ami-3,296,10
heart attack,al_ami-4,297,11
heart attack,al_ami-5,298,12
heart attack,al_ami-7a,299,13
heart attack,al_ami-8a,300,14
heart failure,al_hf-1,301,15
heart failure,al_hf-2,302,16
heart failure,al_hf-3,303,17
heart failure,al_hf-4,304,18
pneumonia,al_pn-2,305,21
pneumonia,al_pn-3b,306,22
pneumonia,al_pn-4,307,23
pneumonia,al_pn-5c,308,24
pneumonia,al_pn-6,309,25
pneumonia,al_pn-7,310,26
children s asthma care,al_cac-2,311,43
children s asthma care,al_cac-3,312,44
heart attack,al_ami-1,313,8
heart attack,al_ami-2,314,9
heart attack,al_ami-3,315,10
heart attack,al_ami-4,316,11
heart attack,al_ami-5,317,12
heart attack,al_ami-7a,318,13
heart attack,al_ami-8a,319,14
heart failure,al_hf-1,320,15
heart failure,al_hf-2,321,16
heart failure,al_hf-3,322,17
heart failure,al_hf-4,323,18
pneumonia,al_pn-2,324,21
pneumonia,al_pn-3b,325,22
pneumonia,al_pn-4,326,23
pneumonia,al_pn-5c,327,24
pneumonia,al_pn-6,328,25
pneumonia,al_pn-7,329,26
surgical infection prevention,al_scip-card-2,330,0
heart failure,al_hf-2,331,16
heart failure,al_hf-3,332,17
heart failure,al_hf-4,333,18
pneumonia,al_pnx2,334,45
pneumonia,al_pn-3b,335,22
pneumonia,al_pn-4,336,23
pneumonia,al_pn-5c,337,24
pneumonia,al_pn-6,338,25
pneumonia,al_pn-7,339,26
surgical infection prevention,al_scip-card-2,340,0
surgical infection prevention,al_scip-inf-1,341,1
surgical infection prevention,al_scip-inf-2,342,2
surgical infection prevention,al_scip-inf-3,343,3
surgical infection prevention,al_scip-inf-4,344,4
surgical infection prevention,al_scip-inf-6,345,5
surgical infection prevention,al_scip-vte-1,346,6
surgical infection prevention,al_scipxvtex2,347,46
heart attack,al_ami-1,348,8
heart attack,al_ami-2,349,9
heart attack,al_ami-3,350,10
heart attack,al_ami-4,351,11
heart attack,al_ami-5,352,12
surgical infection prevention,al_scip-vte-2,353,7
heart attack,al_ami-1,354,8
heart attack,al_ami-2,355,9
heart attack,al_ami-3,356,10
heart attack,al_ami-4,357,11
heart attack,al_ami-5,358,12
heart attack,al_ami-7a,359,13
heart attack,al_ami-8a,360,14
heart failure,al_hf-1,361,15
heart failure,al_hf-2,362,16
heart failure,al_hf-3,363,17
heart failure,al_hf-4,364,18
pneumonia,al_pn-2,365,21
pnxumonia,al_pn-3b,366,47
pneumonia,al_pn-4,367,23
pneumonia,al_pn-5c,368,24
pnexmonia,al_pn-6,369,48
pneumonia,alxpn-7,370,49
surgical infection prevention,al_scip-card-2,371,0
surgical infection prevention,al_scip-inf-1,372,1
surgical infection prevention,al_sxip-inf-2,373,33
surgical infection prevention,al_scip-inf-3,374,3
surgical infection prevention,al_scip-inf-4,375,4
surgical infection prevention,al_scip-inf-6,376,5
surgical infection prevention,al_scip-vte-1,377,6
surgical infection prevention,al_scip-vte-2,378,7
heart attack,al_ami-1,379,8
heart attack,al_ami-2,380,9
heart attack,al_ami-3,381,10
heart attack,al_ami-4,382,11
heart attack,al_ami-5,383,12
heart attack,al_ami-7a,384,13
heart attack,al_ami-8a,385,14
hxart failurx,al_hf-1,386,50
heart failure,al_hx-2,387,51
heart failure,al_hf-3,388,17
heart failure,al_hf-4,389,18
pneumonia,al_pn-2,390,21
pneumonia,al_pn-3b,391,22
heart attack,al_ami-2,392,9
heart attack,al_ami-3,393,10
heart attack,al_ami-4,394,11
heart attack,al_ami-5,395,12
heart attack,al_ami-7a,396,13
heart attack,al_ami-8a,397,14
heart failure,al_hf-1,398,15
heart failure,al_hf-2,399,16
hxart failurx,al_hf-3,400,52
heart failure,al_hf-4,401,18
pneumonia,al_pn-2,402,21
pneumonia,al_pn-3b,403,22
pneumonia,al_pn-4,404,23
pneumonia,al_pn-5c,405,24
pneumonia,al_pn-6,406,25
pneumonia,al_pn-7,407,26
surgical infection prevention,al_scip-card-2,408,0
surgical infection prevention,al_scip-inf-1,409,1
surgical infection prevention,al_scip-inf-2,410,2
surgical infection prevention,al_scip-inf-3,411,3
surgical infection prevention,al_scip-vte-1,412,6
surgical infection prevention,al_scip-vte-2,413,7
heart attack,al_ami-1,414,8
heart attack,al_ami-2,415,9
heart attack,al_ami-3,416,10
heart attack,al_ami-4,417,11
heart attack,al_ami-5,418,12
heart attack,al_ami-7a,419,13
heart attack,al_ami-8a,420,14
heart failure,al_hf-1,421,15
heart failure,al_hf-2,422,16
heart failure,al_hf-3,423,17
heart failure,al_hf-4,424,18
pneumonia,al_pn-2,425,21
pneumonia,al_pn-3b,426,22
pneumonia,al_pn-4,427,23
pneumonia,al_pn-5c,428,24
pneumonia,al_pn-6,429,25
pneumonia,al_pn-7,430,26
surgical infection prevention,al_scip-card-2,431,0
heart failure,ak_hf-1,432,53
heart failure,ak_hf-2,433,54
heart failure,ak_hf-3,434,55
heart failure,ak_hf-4,435,56
pneumonia,ak_pn-2,436,57
pneumonia,ak_pn-3b,437,58
pneumonia,ak_pn-4,438,59
pneumonia,ak_pn-5c,439,60
pneumonia,ak_pn-6,440,61
pneumonia,ak_pn-7,441,62
surgical infection prevention,ak_scip-card-2,442,63
surgical infection prevention,ak_scip-inf-1,443,64
surgical infection prevention,ak_scip-inf-2,444,65
surgical infection prevention,ak_scip-inf-3,445,66
surgical infection prevention,ak_scip-inf-4,446,67
surgical infection prevention,ak_scip-inf-6,447,68
surgical infection prevention,ak_scip-vte-1,448,69
surgical infection prevention,ak_scip-vte-2,449,70
heart attack,ak_ami-1,450,71
heart attack,ak_ami-2,451,72
pneumonia,al_pn-2,452,21
pneumonia,al_pn-3b,453,22
pneumonia,al_pn-4,454,23
pneumonia,al_pn-5c,455,24
pneumonia,al_pn-6,456,25
pneumonia,al_pn-7,457,26
surgical infection prevention,al_scip-card-2,458,0
surgical infection prevention,al_scip-inf-1,459,1
surgical infection prevention,al_scip-inf-2,460,2
surgical infection prevention,al_scip-inf-3,461,3
surgical infection prevention,al_scip-inf-4,462,4
surgical infection prevention,al_scip-inf-6,463,5
surgical infection prevention,al_scip-vte-1,464,6
surgical infection prevention,al_scip-vte-2,465,7
heart attack,al_ami-1,466,8
hexrt attxck,al_ami-2,467,73
heart attack,al_ami-3,468,10
heart attack,al_ami-4,469,11
heart attack,al_ami-5,470,12
heart attack,al_ami-7a,471,13
heart attack,al_ami-8a,472,14
heart failure,al_hf-1,473,15
heart failure,al_hf-2,474,16
heart failure,al_hf-3,475,17
heart failure,al_hf-4,476,18
pneumonia,ax_pn-2,477,74
pneumonia,al_pn-3b,478,22
pneumonia,al_pn-4,479,23
pneumonia,al_pn-5c,480,24
pneumonia,al_pn-6,481,25
pneumonia,al_pn-7,482,26
surgical infection prevention,al_scip-card-2,483,0
surgical infection prevention,al_scip-inf-1,484,1
surgical infection prevention,al_scip-inf-2,485,2
surgical infection prevention,al_scip-inf-3,486,3
surgical infection prevention,al_scip-inf-4,487,4
surgical infection prevention,al_scip-inf-6,488,5
surgical infection prevention,al_scip-vte-1,489,6
surgical infection prevention,al_scip-vte-2,490,7
heart attack,al_ami-1,491,8
heart attack,al_ami-2,492,9
heart attack,al_ami-3,493,10
heart attack,al_ami-4,494,11
heart attack,al_ami-5,495,12
heart attack,al_ami-7a,496,13
heart attack,al_ami-8a,497,14
heart failure,al_hf-1,498,15
heart failure,al_hf-2,499,16
heart failure,al_hf-3,500,17
heart failure,al_hf-4,501,18
pneumonia,al_pn-2,502,21
pneumonia,al_pn-3b,503,22
pneumonia,al_pn-4,504,23
pneumonia,al_pn-5c,505,24
pneumonix,al_pn-6,506,75
pneumonia,al_pn-7,507,26
surgical infection prevention,al_scip-card-2,508,0
surgical infection prevention,al_scip-inf-1,509,1
surgical infection prevention,al_scip-inf-2,510,2
surgical infection prevention,al_scip-inf-3,511,3
surgical infection prevention,al_scip-inf-4,512,4
surgical infection prevention,al_scip-inf-6,513,5
surgical infection prevention,al_scip-vte-1,514,6
surgical infection prevention,al_scip-vte-2,515,7
heart attack,al_ami-1,516,8
heart attack,al_ami-2,517,9
heart attack,al_ami-3,518,10
heart attack,al_ami-4,519,11
heart attack,al_ami-5,520,12
heart attack,al_ami-7a,521,13
heart attack,al_ami-8a,522,14
heart failure,al_hf-1,523,15
heart failure,al_hf-2,524,16
heart failure,al_hf-3,525,17
heart failure,al_hf-4,526,18
pneumonia,al_pn-2,527,21
pneumonia,al_pn-3b,528,22
pneumonia,al_pn-4,529,23
pneumonia,al_pn-5c,530,24
pneumonia,al_pn-6,531,25
pneumonia,al_pn-7,532,26
surgical infection prevention,al_scip-card-2,533,0
surgical infection prevention,al_scip-inf-1,534,1
surgical infection prevention,al_scip-inf-2,535,2
surgical infection prevention,al_scip-inf-3,536,3
surgical infection prevention,al_scip-inf-4,537,4
surgical infection prevention,al_scip-inf-6,538,5
surgical infection prevention,al_scip-vte-1,539,6
surgical infection prevention,al_scip-vte-2,540,7
heart attack,al_ami-1,541,8
heart attack,al_ami-2,542,9
heart attack,al_ami-3,543,10
heart attack,al_ami-4,544,11
heart attack,al_ami-5,545,12
heart attack,al_ami-7a,546,13
heart attack,al_ami-8a,547,14
heart failure,al_hf-1,548,15
heart failure,al_hf-2,549,16
heart failure,al_hf-3,550,17
heart failure,al_hf-4,551,18
pneumonia,al_pn-2,552,21
pneumonia,al_pn-3b,553,22
pneumonia,al_pn-4,554,23
pxeumoxia,al_pn-5x,555,76
pneumonia,al_pn-6,556,25
pneumonia,al_pn-7,557,26
surgical infection prevention,al_scip-card-2,558,0
surgical infection prevention,al_scip-inf-1,559,1
surgical infection prevention,al_scip-inf-2,560,2
surgical infection prevention,al_scip-inf-3,561,3
surgical infection prevention,al_scip-inf-4,562,4
surgical infection prevention,al_scip-inf-6,563,5
surgical infection prevention,al_scipxvtex1,564,77
surgical infection prevention,al_scip-vte-2,565,7
heart attack,al_ami-1,566,8
heart attack,xl_xmi-2,567,78
heart attack,al_ami-3,568,10
heart attack,al_ami-4,569,11
heart attack,al_ami-5,570,12
heart attack,al_ami-7a,571,13
heart attack,al_ami-8a,572,14
heart failure,al_hf-1,573,15
heart failure,al_hf-2,574,16
heart failure,al_hf-3,575,17
heart failure,al_hf-4,576,18
pneumonia,al_pn-2,577,21
pneumonia,al_pn-3b,578,22
pneumonia,al_pn-4,579,23
pneumonia,al_pn-5c,580,24
pneumonia,al_pn-6,581,25
pneumonia,al_pn-7,582,26
surgical infection prevention,al_scip-card-2,583,0
surgical infection prevention,al_scip-inf-1,584,1
surgical infection prevention,al_scip-inf-2,585,2
surgical infection prevention,al_scip-inf-3,586,3
surgical infection prevention,al_scip-inf-4,587,4
surgical infection prevention,al_scip-inf-6,588,5
surgical infection prevention,al_scip-vte-1,589,6
surgical infection prevention,al_scip-vte-2,590,7
heart attack,al_ami-1,591,8
heart attack,al_ami-2,592,9
heart attack,al_ami-3,593,10
heart attack,al_ami-4,594,11
heart attack,al_ami-5,595,12
heart attack,al_ami-7a,596,13
heart attack,al_ami-8a,597,14
heart failure,al_hf-1,598,15
heart faixure,al_hf-2,599,79
heart failure,al_hf-3,600,17
heart failure,al_hf-4,601,18
pneumonia,al_pn-2,602,21
pneumonia,al_pn-3b,603,22
pneumonia,al_pn-4,604,23
pneumonia,al_pn-5c,605,24
pneumonia,al_pn-6,606,25
pneumonia,al_pn-7,607,26
surgical ixfectiox prevextiox,al_scip-card-2,608,80
surgical infection prevention,al_scip-inf-1,609,1
surgical infection prevention,al_scip-inf-2,610,2
surgical infection prevention,al_scip-inf-3,611,3
surgical infection prevention,al_scip-inf-4,612,4
surgical infection prevention,al_scip-inf-6,613,5
surgical infection prevention,al_scip-vte-1,614,6
surgical infection prevention,al_scip-vte-2,615,7
heart attack,al_ami-1,616,8
heart attack,al_ami-2,617,9
heart attack,al_ami-3,618,10
heart attack,al_ami-4,619,11
heart attack,al_ami-5,620,12
heart attack,al_ami-7a,621,13
heart attack,al_amix8a,622,81
heart failure,al_hf-1,623,15
heart failure,al_hf-2,624,16
heart failure,al_hf-3,625,17
heart failure,al_hf-4,626,18
pneumonia,al_pn-2,627,21
pneumonia,al_pn-3b,628,22
pneumonia,al_pn-4,629,23
pneumonia,al_pn-5c,630,24
pneumonxa,al_pn-6,631,82
pneumonia,al_pn-7,632,26
surgical infection prevention,al_scip-card-2,633,0
surgical infection prevention,al_scip-inf-1,634,1
surgical infection prevention,al_scip-inf-2,635,2
surgical infection prevention,al_scip-inf-3,636,3
surgical infection prevention,al_scip-inf-4,637,4
surgical infection prevention,al_scip-inf-6,638,5
surgical infection prevention,al_scip-vte-1,639,6
surgical infection prevention,al_scip-vte-2,640,7
heart attack,al_ami-1,641,8
heart attack,al_ami-2,642,9
heart attack,al_ami-3,643,10
heart attack,al_ami-4,644,11
heart attack,al_ami-5,645,12
heart attack,alxami-7a,646,83
heart attack,al_ami-8a,647,14
heart failure,al_hf-1,648,15
heart failure,al_hf-2,649,16
heart failure,al_hf-3,650,17
heart failure,al_hf-4,651,18
pneumonia,al_pn-2,652,21
pneumonia,al_pn-3b,653,22
pneumonia,al_pn-4,654,23
pneumonia,al_pn-5c,655,24
pneumonia,al_pn-6,656,25
pneumonia,al_pn-7,657,26
surgical infection prevention,al_scip-card-2,658,0
surgical infection prevention,al_scip-inf-1,659,1
surgical infection prevention,al_scip-inf-2,660,2
surgical infection prevention,al_scip-inf-3,661,3
surgical infection prevention,al_scip-inf-4,662,4
surgical infection prevention,al_scip-inf-6,663,5
surgical infection prevention,al_scip-vte-1,664,6
surgical infection prevention,al_scip-vte-2,665,7
heart attack,al_ami-1,666,8
heart attack,al_ami-2,667,9
heart attack,al_ami-3,668,10
heart attack,al_ami-4,669,11
heart attack,al_ami-5,670,12
heart attack,al_ami-7a,671,13
heart attack,al_ami-8a,672,14
heart failure,al_hf-1,673,15
heart failure,al_hf-2,674,16
heart failure,al_hf-3,675,17
heart failure,al_hf-4,676,18
pneumonia,al_pn-2,677,21
pneumonia,alxpn-3b,678,84
xneumonia,al_pn-4,679,85
pneumonia,al_pn-5c,680,24
pneumonia,al_pn-6,681,25
pneumonia,al_pn-7,682,26
surgical infection prevention,al_scip-card-2,683,0
surgical infection prevention,al_scip-inf-1,684,1
surgical infection prevention,al_scip-inf-2,685,2
surgical infection prevention,al_scip-inf-3,686,3
surgical infection prevention,al_scip-inf-4,687,4
surgical infection prevention,al_scip-inf-6,688,5
surgical infection prevention,al_scip-vte-1,689,6
surgical infection prevention,al_scip-vte-2,690,7
heart attack,al_ami-1,691,8
heart attack,al_ami-2,692,9
heart attack,al_ami-3,693,10
heart attack,al_ami-4,694,11
heart attaxk,al_ami-5,695,86
heart attack,al_ami-7a,696,13
heart attack,al_ami-8a,697,14
hexrt fxilure,al_hf-1,698,87
heart failure,al_hf-2,699,16
heart failure,al_hf-3,700,17
heart failure,al_hf-4,701,18
pneumonia,al_pn-2,702,21
pneumonia,al_pn-3b,703,22
pneumonia,al_pn-4,704,23
pneumonia,al_pn-5c,705,24
pneumonia,al_pn-6,706,25
pneumonia,al_pn-7,707,26
surgical infection prevention,al_scip-card-2,708,0
surgical infection prevention,al_scip-inf-1,709,1
surgical infection prevention,al_scip-inf-2,710,2
surgical infection prevention,al_scip-inf-3,711,3
surgical infection xrevention,al_scip-inf-4,712,88
surgical infection prevention,al_scip-inf-6,713,5
surgical infection prevention,al_scip-vte-1,714,6
surgical infection prevention,al_scip-vte-2,715,7
heartxattack,al_ami-1,716,89
heart attack,al_ami-2,717,9
heart attack,al_ami-3,718,10
heart attack,al_ami-4,719,11
heart attack,al_ami-5,720,12
heart attack,al_amx-7a,721,90
heart attack,al_ami-8a,722,14
heart failure,al_hf-1,723,15
heart failure,al_hf-2,724,16
heart failure,al_hf-3,725,17
heart failure,al_hf-4,726,18
pneumonia,al_pn-2,727,21
pneumonia,al_pn-3b,728,22
pneumonia,al_pn-4,729,23
pneumonia,al_pn-5c,730,24
pneumonia,al_pn-6,731,25
pneumonia,al_pn-7,732,26
suxgical infection pxevention,al_scip-card-2,733,36
surgical infection prevention,al_scip-inf-1,734,1
surgical infection prevention,al_scip-inf-2,735,2
surgical infection prevention,al_scip-inf-3,736,3
surgical infection prevention,al_scip-inf-4,737,4
surgical infection prevention,al_scip-inf-6,738,5
surgical infection prevention,al_scip-vte-1,739,6
surgical infection prevention,al_scip-vte-2,740,7
heart attack,al_ami-1,741,8
heart attack,al_ami-2,742,9
heart attack,al_ami-3,743,10
heart attack,al_ami-4,744,11
heart attack,al_ami-5,745,12
heart attack,al_ami-7a,746,13
heart attack,al_ami-8a,747,14
heart failure,al_hf-1,748,15
heart failure,al_hf-2,749,16
heart failure,al_hf-3,750,17
