journal_title,original_index,unique_index
Bioelectromagnetics,728,555
Journal of Mathematics Teacher Education,729,556
,730,3
Occupational and environmental medicine,731,557
J. Clin. Psychiatry,732,558
,733,3
"Violencia contra a crianca: revelando o perfil dos atendimentos em servicos de emergencia, Brasil, 2006 e 2007.",734,559
Birth,735,560
Journal of addictive diseases,736,561
Psychosomatic medicine,737,562
J. Clin. Oncol.,738,563
J Hosp Infect,739,564
Australian and New Zealand Journal of Psychiatry,740,565
,741,3
,742,3
,743,3
DEV. BIOL. STAND.,744,566
Circulation,745,497
Ann Rheum Dis,746,567
,747,3
Hawaii J Med Public Health,748,568
"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",749,569
,750,3
Diabetes forecast,751,570
,752,3
Biomedical reports,753,571
Nihon Koshu Eisei Zasshi,754,572
Am J Health Syst Pharm,755,573
Oncology nursing forum,756,574
,757,3
Nurs Stand,758,575
Value Health,759,576
EXPERIMENTAL CELL RESEARCH,760,577
Leukemia & Lymphoma,761,578
RADIOLOGY,762,579
,763,3
Headache,764,580
Res Nurs Health,765,581
,766,3
No shinkei geka. Neurological surgery,767,582
Circulation journal : official journal of the Japanese Circulation Society,768,583
PLoS One,769,25
Pr̩vention de l'insuffisance r̩nale induite par les produits de contrnste iodes,770,584
Ann. Hematol.,771,585
Journal of the National Cancer Institute,772,158
"AIDS (London, England)",773,586
"Oral surgery, oral medicine, and oral pathology",774,587
Arch Intern Med,775,588
,776,3
,777,3
,778,3
Operative dentistry,779,589
Mov Disord,780,590
Psychological assessment,781,591
,782,3
Turkish Online Journal of Educational Technology - TOJET,783,592
Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,784,451
European Journal of Cancer,785,593
Indian Journal of Psychiatry,786,594
Stomatologii��a,787,595
BMC medicine,788,596
,789,3
"Oral surgery, oral medicine, oral pathology and oral radiology",790,597
"Journal of cardiovascular medicine (Hagerstown, Md.)",791,347
"Exposicion severa a plomo ambiental en una poblacion infantil de Antofagasta, Chile.",792,598
Critical Care Nurse,793,599
"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine",794,600
Journal of clinical epidemiology,795,601
,796,3
J Hand Surg Am,797,542
,798,3
European journal of preventive cardiology,799,602
Journal of the National Cancer Institute,800,158
Alcohol Research & Health,801,603
,802,3
European Journal of Cancer Care,803,604
Brain and Language,804,605
Chin. J. Evid.-Based Med.,805,606
Angewandte Chemie (International ed. in English),806,607
Cardiology in the young,807,207
Issues Ment Health Nurs,808,608
Das Mikorklima der Wohnungen und seine hygienische Normierung.,809,609
,810,3
,811,3
,812,3
Acta clinica Belgica,813,610
Journal of Biological Chemistry,814,611
,815,3
Journal of Oral & Maxillofacial Surgery,816,612
Acta Endocrinologica. Supplementum,817,613
,818,3
Crit. Care Med.,819,614
,820,3
"Obesity (Silver Spring, Md.)",821,144
,822,3
JAMA internal medicine,823,615
Journal of hypertension,824,616
Thorax,825,617
International Medicine & Health Guidance News [Guo Ji Yi Yao Wei Sheng Dao Bao],826,618
Journal of the American Geriatrics Society,827,109
,828,3
World journal for pediatric & congenital heart surgery,829,619
,830,3
CANCER,831,61
,832,3
The American journal of medicine,833,620
Intensive care medicine,834,621
Clinical & Translational Oncology: Official Publication of the Federation of Spanish Oncology Societes & of the National Cancer Institute of Mexico,835,622
Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,836,623
Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,837,624
"Shock (Augusta, Ga.)",838,625
,839,3
,840,3
The New England journal of medicine,841,626
Foot Ankle Int,842,627
Military Medicine,843,628
,844,3
Focus on Alternative and Complementary Therapies,845,135
Int J Surg,846,629
,847,3
Ann Rheum Dis,848,567
,849,3
International Journal of Oral & Maxillofacial Implants,850,630
,851,3
Circulation,852,497
Human gene therapy,853,631
Respiration; international review of thoracic diseases,854,32
,855,3
,856,3
Circulation,857,497
Pediatrics,858,311
Value in Health,859,481
European respiratory journal,860,632
Oral diseases,861,633
