City,HospitalType,original_index,unique_index,count
hartselle,acute care hospitals,157,17,25
hartselle,acute care hospitals,158,17,25
hartselle,acute care hospitals,159,17,25
hartselle,acute care hospitals,160,17,25
hartselle,acute care hospitals,161,17,25
hartselle,acute care hospitals,162,17,25
hartselle,acute care hospitals,163,17,25
hartselle,acute care hospitals,164,17,25
hartselle,acute care hospitals,165,17,25
hartselle,acute care hospitals,166,17,25
hartselle,acute care hospitals,167,17,25
hartselle,acute care hospitals,168,17,25
guntersville,acute care hospitals,169,18,24
guntersville,acute care hospitals,170,18,24
guntersville,acute care hospitals,171,18,24
guntersville,acute care hospitals,172,18,24
guntersville,acute care hospitals,173,18,24
guntersville,acute care hospitals,174,18,24
guntersville,acute care hospitals,175,18,24
guntersville,acute care hospitals,176,18,24
guntersville,acute care hospitals,177,18,24
guntersville,acute care hospitals,178,18,24
guntersville,acute care hospitals,179,18,24
guntxrsvillx,acute care hospitals,180,19,1
guntersville,acute care hospitals,181,18,24
guntersville,acute care hospitals,182,18,24
guntersville,acute care hospitals,183,18,24
guntersville,acute care hospitals,184,18,24
guntersville,acute care hospitals,185,18,24
guntersville,acute care hospitals,186,18,24
guntersville,acute care hospitals,187,18,24
guntersville,acute care hospitals,188,18,24
guntersville,acute care hospitals,189,18,24
guntersville,acute care hospitals,190,18,24
guntersville,acute care hospitals,191,18,24
guntersville,acute care hospitals,192,18,24
guntersville,acute care hospitals,193,18,24
birmingham,acute care hospitals,194,0,73
birmingham,acute care hospitals,195,0,73
birmingham,acute care hospitals,196,0,73
birmingham,acute care hospitals,197,0,73
birmingham,acute care hospitals,198,0,73
birmingham,acute care hosxitals,199,20,1
birmingham,acute care hospitals,200,0,73
birmingham,acute care hospitals,201,0,73
birmingham,acute care hospitals,202,0,73
birmingham,acute care hospitals,203,0,73
birmingham,acute care hospitals,204,0,73
birmingham,acute care hospitals,205,0,73
birmingham,acute care hospitals,206,0,73
birmixgham,acute care hospitals,207,21,1
birmingham,acute care hospitals,208,0,73
birmingham,acute care hospitals,209,0,73
birmingham,acute care hospitals,210,0,73
birmingham,acute care hospitals,211,0,73
bxrmxngham,acute care hospitals,212,22,1
birmingham,acutx carx hospitals,213,23,1
birmingham,acute care hospitals,214,0,73
birmingham,acute care hospitals,215,0,73
birmingham,acute care hospitals,216,0,73
birmingham,acute care hospitals,217,0,73
birmingham,acute care hospitals,218,0,73
fort payne,acute care hospitals,219,24,24
fort payne,acute care hospitals,220,24,24
fort payne,acute care hospitals,221,24,24
fort payne,acute care hospitals,222,24,24
fort payne,acute care hospitals,223,24,24
fort payne,acute care hospitals,224,24,24
fort payne,acute care hospitals,225,24,24
fort payne,acute care hospitals,226,24,24
fort payne,acute care hospitals,227,24,24
fort payxe,acute care hospitals,228,25,1
fort payne,acute care hospitals,229,24,24
fort payne,acute care hospitals,230,24,24
fort payne,acute care hospitals,231,24,24
fort payne,acute care hospitals,232,24,24
fort payne,acute care hospitals,233,24,24
fort payne,acute care hospitals,234,24,24
fort payne,acute care hospitals,235,24,24
fort payne,acute care hospitals,236,24,24
fort payne,acute care hospitals,237,24,24
fort payne,acute care hospitals,238,24,24
fort payne,acute care hospitals,239,24,24
fort payne,acute care hospitals,240,24,24
fort payne,acute care hospitals,241,24,24
fort payne,acute care hospitals,242,24,24
fort payne,acute care hospitals,243,24,24
thomasville,acute care hospitals,244,26,24
thomasville,acute care hospitals,245,26,24
thomasville,acute care hospitals,246,26,24
thomasville,acute care hospitals,247,26,24
thomasville,acute care hospitals,248,26,24
thomasville,acute care hospitals,249,26,24
thomasville,acute care hospitals,250,26,24
thomasville,acute care hospitals,251,26,24
thomasville,acute care hospitals,252,26,24
thomasville,acute care hospitals,253,26,24
thomasville,acute care hospitals,254,26,24
thomasville,acute care hospitals,255,26,24
thomasville,acute care hospitals,256,26,24
thomasville,acute care hospitals,257,26,24
thomasville,acute care hospitals,258,26,24
thomasville,acute care hospitals,259,26,24
thomasville,acute care hospitals,260,26,24
thomasville,acute care hospitals,261,26,24
thomasville,acute care hospitals,262,26,24
thomasville,acute care hospitals,263,26,24
thomasville,acute care hospitals,264,26,24
thomasville,acute care hospitals,265,26,24
thomasville,acuxe care hospixals,266,27,1
thomasville,acute care hospitals,267,26,24
thomasville,acute care hospitals,268,26,24
alabaster,acute care hospitals,269,28,23
alabaster,acute care hospitals,270,28,23
alabaster,acute care hospitals,271,28,23
alabaster,acute care hospitals,272,28,23
alabaster,acute care hospitals,273,28,23
alabaster,acute care hospitals,274,28,23
alabaster,acute care hospitals,275,28,23
alabaster,acute care hospitals,276,28,23
alabaster,acute care hospitals,277,28,23
alabaster,acute care hospitals,278,28,23
alabaster,acute care hospitals,279,28,23
alabaster,acutexcarexhospitals,280,29,1
alabaster,acute care hospitals,281,28,23
alabaster,acute care hospitals,282,28,23
alabaster,acute care hospitals,283,28,23
alabaster,acute care hospitals,284,28,23
alabaster,acute care hospitals,285,28,23
alabaster,acute care hospitals,286,28,23
alabaster,acute care hospitals,287,28,23
alabaster,acute care hospitals,288,28,23
alabaster,acute care hospitals,289,28,23
alabaster,acute care hospitals,290,28,23
alabaster,acute care hospitals,291,28,23
alabaster,acute care hospitals,292,28,23
alabaster,acuxe care hospixals,293,30,1
birmingham,acute care hospitals,294,0,73
birmingham,acute care hospitals,295,0,73
birmingham,acute care hospitals,296,0,73
birmingham,acute care hospitals,297,0,73
birmingham,acute care hospitals,298,0,73
birmingham,acute care hospitals,299,0,73
birmingham,acute care hospitals,300,0,73
birmingham,acute care hospitals,301,0,73
birmingham,acute care hospitals,302,0,73
birmingham,acute care hospitals,303,0,73
birmingham,acute care hospitals,304,0,73
birmingham,acute care hospitals,305,0,73
birmingham,acute care hospitals,306,0,73
birmingham,acute care hospitals,307,0,73
birmingham,acute care hospitals,308,0,73
birmingham,acute care hospitals,309,0,73
birmingham,acute care hospitals,310,0,73
axxistox,acute care hospitals,311,31,1
anniston,acute care hospitals,312,32,26
anniston,acute care hospitals,313,32,26
anniston,acute care hospitals,314,32,26
anniston,acute care hospitals,315,32,26
anniston,acute care hospitals,316,32,26
anniston,acute care hospitals,317,32,26
anniston,acute care hospitals,318,32,26
anniston,acute care hospitals,319,32,26
anniston,acute care hospitals,320,32,26
anniston,acute care hospitals,321,32,26
anniston,acute care hospitals,322,32,26
anniston,acute care hospitals,323,32,26
anniston,acute care hospitals,324,32,26
anniston,acute care hospitals,325,32,26
anniston,acute care hospitals,326,32,26
anniston,acute care hospitals,327,32,26
anniston,acute care hospitals,328,32,26
anniston,acute care hospitals,329,32,26
anniston,acute care hospitals,330,32,26
dothan,acute care hospitals,331,6,41
dothan,acute care hospitals,332,6,41
dothan,acute care hospitals,333,6,41
dothan,acute care hospitals,334,6,41
dothan,acute care hospitals,335,6,41
dothan,acute care hospitals,336,6,41
dothan,acute care hospitals,337,6,41
dothan,acute care hospitals,338,6,41
dothan,acute care hospitals,339,6,41
dothan,acute care hospitals,340,6,41
dothan,acute care hospitals,341,6,41
dothan,acute care hospitals,342,6,41
dothan,acute care hospitals,343,6,41
dothan,acute care hospitals,344,6,41
dothan,acute care hospitals,345,6,41
dothan,acute care hospitals,346,6,41
dothan,acute care hospitals,347,6,41
birmingham,acute care hospitals,348,0,73
birmingham,acute care hospitals,349,0,73
birmingham,acute care hospitals,350,0,73
birmingham,acute care hospitals,351,0,73
birmingham,acute care hospitals,352,0,73
decatur,acute care hospitals,353,33,1
winfield,acute care hospitals,354,34,24
winfield,acute care hospitals,355,34,24
winfield,acute care hospitals,356,34,24
winfield,acute care hospitals,357,34,24
winfield,acute care hospitals,358,34,24
winfield,acute care hospitals,359,34,24
winfield,acute care hospitals,360,34,24
winfield,acute care hospitals,361,34,24
winfield,acute care hospitals,362,34,24
winfield,acute care hospitals,363,34,24
winfield,acute care hospitals,364,34,24
winfield,acute care hospitals,365,34,24
winfield,acute care hospitals,366,34,24
winfielx,acute care hospitals,367,35,1
winfield,acute care hospitals,368,34,24
winfield,acute care hospitals,369,34,24
winfield,acute care hospitals,370,34,24
winfield,acute care hospitals,371,34,24
winfield,acute care hospitals,372,34,24
winfield,acute care hospitals,373,34,24
winfield,acute care hospitals,374,34,24
winfield,acute care hospitals,375,34,24
winfield,acute care hospitals,376,34,24
winfield,acute care hospitals,377,34,24
winfield,acute care hospitals,378,34,24
mobile,acute care hospitals,379,36,13
mobile,acute care hospitals,380,36,13
mobile,acute care hospitals,381,36,13
mobile,acute care hospitals,382,36,13
mobile,acute care hospitals,383,36,13
mobile,acute care hospitals,384,36,13
mobile,acute care hospitals,385,36,13
mobile,acute care hospitals,386,36,13
mobile,acute care hospitals,387,36,13
mobile,acute care hospitals,388,36,13
mobile,acute care hospitals,389,36,13
mobile,acute care hospitals,390,36,13
mobile,acute care hospitals,391,36,13
prattville,acute care hospitals,392,37,19
prattville,acute care hospitals,393,37,19
prattville,acute care hospitals,394,37,19
prattville,acute care hospitals,395,37,19
prattville,acute care hospitals,396,37,19
prattville,acute care hospitals,397,37,19
prattville,acute care hospitals,398,37,19
prattville,acute care hospitals,399,37,19
prattville,acute care hospitals,400,37,19
prattville,acute care hospitals,401,37,19
prattville,acute care hospitals,402,37,19
prattville,acute care hospitals,403,37,19
prattville,acute care hospitals,404,37,19
prattville,acute care hospitals,405,37,19
prattville,acute care hospitals,406,37,19
prattville,acute care hospitals,407,37,19
prattville,acute care hospitals,408,37,19
prattville,acute care hospitals,409,37,19
prattville,acute care hospitals,410,37,19
prattville,acute care hosxitals,411,38,1
russellville,acute care hospitals,412,39,1
russellville,acuxe care hospixals,413,40,1
sylacauga,acute care hospitals,414,41,18
sylacauga,acute care hospitals,415,41,18
sylacauga,acute care hospitals,416,41,18
sylacauga,acute care hospitals,417,41,18
sylacauga,acute care hospitals,418,41,18
sylacauga,acute care hospitals,419,41,18
sylacauga,acute care hospitals,420,41,18
sylacauga,acute care hospitals,421,41,18
sylacauga,acute care hospitals,422,41,18
sylacauga,acute care hospitals,423,41,18
sylacauga,acute care hospitals,424,41,18
sylacauga,acute care hospitals,425,41,18
sylacauga,acute care hospitals,426,41,18
sylacauga,acute care hospitals,427,41,18
sylacauga,acute care hospitals,428,41,18
sylacauga,acute care hospitals,429,41,18
sylacauga,acute care hospitals,430,41,18
sylacauga,acute care hospitals,431,41,18
anchorage,acute care hospitals,432,42,17
anchorage,acute care hospitals,433,42,17
anchorage,acute care hospitals,434,42,17
anchorage,acute care hospitals,435,42,17
anchorage,acute care hospitals,436,42,17
anchoraxe,acute care hospitals,437,43,1
anchorage,acute care hospitals,438,42,17
anchorage,acute care hospitals,439,42,17
anchorage,acute care hospitals,440,42,17
anchorage,acute care hospitals,441,42,17
anchorage,acute care hospitals,442,42,17
anchorage,acute care hospitals,443,42,17
anchorage,acute care hospitals,444,42,17
anchorage,acute care hospitals,445,42,17
anchorage,acute care hospitals,446,42,17
anchorage,acute care hospitals,447,42,17
anchorage,acute care hospitals,448,42,17
anchorage,acute care hospitals,449,42,17
bethel,acute care hospitals,450,44,2
bethel,acute care hospitals,451,44,2
sheffield,acute care hospitals,452,3,22
sheffield,acute care hospitaxs,453,45,1
sheffield,acute care hospitals,454,3,22
sheffield,acute care hospitals,455,3,22
sheffield,acute care hospitals,456,3,22
sheffield,acute care hospitals,457,3,22
sheffield,acute care hospitals,458,3,22
sheffield,acute care hospitals,459,3,22
sheffield,acute care hospitals,460,3,22
sheffield,acute care hospitals,461,3,22
sheffield,acute care hospitals,462,3,22
sheffield,acute care hospitals,463,3,22
sheffield,acute care hospitals,464,3,22
sheffield,acute care hospitals,465,3,22
ozark,acute care hospitals,466,46,22
ozark,acute care hospitals,467,46,22
ozark,acute care hospitals,468,46,22
ozark,acute care hospitals,469,46,22
ozark,acute care hospitals,470,46,22
ozark,acute care hospitals,471,46,22
ozark,acute care hospitals,472,46,22
ozark,acute care hospitals,473,46,22
ozarx,acute care hospitals,474,47,1
ozark,acute care hospitals,475,46,22
ozark,acute care hospitals,476,46,22
ozark,acute care hospitals,477,46,22
ozark,acute care hospitals,478,46,22
ozark,acute care hospitals,479,46,22
ozark,acute care hospitals,480,46,22
ozark,acute care hospitals,481,46,22
ozark,acute care hospitals,482,46,22
ozark,acute care hospitals,483,46,22
ozark,acute care hospitals,484,46,22
xzark,acute care hospitals,485,48,1
ozark,acute care hospitals,486,46,22
ozark,acute care hospitals,487,46,22
ozark,acute care hospitals,488,46,22
ozark,acute care hospitals,489,46,22
ozark,acute caxe hospitals,490,49,1
centre,acute care hospitals,491,50,22
centre,acute care hospitals,492,50,22
centre,acute care hxspitals,493,51,1
centre,acute care hospitals,494,50,22
centre,acute care hospitals,495,50,22
centre,acute care hospitals,496,50,22
centre,acutx carx hospitals,497,52,1
centre,acute care hospitals,498,50,22
centre,acute care hospitals,499,50,22
centre,acute care hospitals,500,50,22
centre,acute care hospitals,501,50,22
centre,acute care hospitals,502,50,22
centre,acute care hospitals,503,50,22
centre,acute care hospitals,504,50,22
centre,acute care hospitals,505,50,22
centre,acute care hospitals,506,50,22
centre,acute care hospitals,507,50,22
centre,acute care hospitals,508,50,22
centre,acute care hospitals,509,50,22
centre,acute care hospitals,510,50,22
centre,acuxe care hospixals,511,53,1
centre,acute care hospitals,512,50,22
centre,acute care hospitals,513,50,22
centre,acute care hospitals,514,50,22
centre,acute care hospitals,515,50,22
montgomery,acute care hospitals,516,54,48
montxomery,acute care hospitals,517,55,1
montgomery,acute care hospitals,518,54,48
montgomery,acute care hospitals,519,54,48
montgomery,acute care hospitals,520,54,48
montgomery,acute care hospitals,521,54,48
montgomery,acute care hospitals,522,54,48
montgomery,acute care hospitals,523,54,48
montgomery,acute care hospitals,524,54,48
montgomery,acute care hospitals,525,54,48
montgomery,acute care hospitals,526,54,48
montgomery,acute care hospitals,527,54,48
montgomery,acute care hospitals,528,54,48
montgomery,acute care hospitals,529,54,48
montgomery,acute care hospitals,530,54,48
montgomery,acute care hospitals,531,54,48
montgomery,acute care hosxitals,532,56,1
montgomery,acute care hospitals,533,54,48
montgomery,acute care hospitals,534,54,48
montgomery,acute care hospitals,535,54,48
montgomery,acute care hospitals,536,54,48
montgomery,acute care hospitals,537,54,48
montgomery,acute care hospitals,538,54,48
montgomery,acute care hospitals,539,54,48
montgomery,acute care hospitals,540,54,48
montgomery,acute care hospitals,541,54,48
montgomery,acute care hospitals,542,54,48
montgomery,acute care hospitals,543,54,48
montgomery,acute care hospitals,544,54,48
montgomery,acute care hospitals,545,54,48
montgomery,acute care hospitals,546,54,48
montgomery,acute care hospitals,547,54,48
montgomery,acute care hospitals,548,54,48
montgomery,acute care hospitals,549,54,48
montgomery,acute care hospitals,550,54,48
montgomery,acute care hospitals,551,54,48
montgomery,acute care hospitals,552,54,48
montgomery,acute care hospitals,553,54,48
montgomery,acute care hospitals,554,54,48
montgomery,acute care hospitals,555,54,48
montgomery,acute care hospitals,556,54,48
montgomery,acute care hospitals,557,54,48
montgomery,acute care hospitals,558,54,48
montgomery,acute care hospitals,559,54,48
montgomery,acute care hospitals,560,54,48
montgomery,acute care hospitals,561,54,48
montgomery,acute care hospitals,562,54,48
montgomery,acute care hospitals,563,54,48
montgomery,acute care hospitals,564,54,48
montgomery,acute care hospitals,565,54,48
valley,acute care hospitals,566,57,22
valley,acute care hospitals,567,57,22
valley,acute care hospitals,568,57,22
valley,acute care hospitals,569,57,22
valley,acute care hospitals,570,57,22
valley,acute care hospitals,571,57,22
valley,acute care hospitals,572,57,22
valley,acute care hospitals,573,57,22
valley,acute care hospitals,574,57,22
valley,acute care hospitals,575,57,22
valley,acute care hospitals,576,57,22
valley,acute care hospitals,577,57,22
vallex,acute care hospitals,578,58,1
valley,acute care hospitals,579,57,22
valley,acute care hospitals,580,57,22
valley,acute care hospitals,581,57,22
valley,acute care hospitals,582,57,22
valley,acute care hospitals,583,57,22
valley,acute care hospitals,584,57,22
valley,acute care hospitals,585,57,22
valley,acute care hospitals,586,57,22
valley,acute care hospitals,587,57,22
valley,acuxe care hospixals,588,59,1
valley,acute care hospitals,589,57,22
vxlley,acute care hospitals,590,60,1
elba,acute care hospitals,591,61,24
elba,acute care hospitals,592,61,24
elba,acute care hospitals,593,61,24
elba,acute care hospitals,594,61,24
elba,acute care hospitals,595,61,24
elba,acute care hospitals,596,61,24
elba,acute care hospitals,597,61,24
elba,acute care hospitals,598,61,24
elba,acute care hospitals,599,61,24
elba,acute care hospitals,600,61,24
exba,acute care hospitals,601,62,1
elba,acute care hospitals,602,61,24
elba,acute care hospitals,603,61,24
elba,acute care hospitals,604,61,24
elba,acute care hospitals,605,61,24
elba,acute care hospitals,606,61,24
elba,acute care hospitals,607,61,24
elba,acute care hospitals,608,61,24
elba,acute care hospitals,609,61,24
elba,acute care hospitals,610,61,24
elba,acute care hospitals,611,61,24
elba,acute care hospitals,612,61,24
elba,acute care hospitals,613,61,24
elba,acute care hospitals,614,61,24
elba,acute care hospitals,615,61,24
opelika,acute care hospitals,616,63,24
opelika,acute care hospitals,617,63,24
opelika,acute care hospitals,618,63,24
opelika,acute care hospitals,619,63,24
opelika,acute care hospitals,620,63,24
opelika,acute care hospitals,621,63,24
opelika,acute care hospitals,622,63,24
opelika,acute care hospitals,623,63,24
opelika,acute care hospitals,624,63,24
opelika,acute care hospitals,625,63,24
opelika,acute care hospitals,626,63,24
opelika,acute care hospitals,627,63,24
opelika,acute care hospitals,628,63,24
opelika,acute care hospitals,629,63,24
opelika,acute care hospitals,630,63,24
opelika,acute care hospitals,631,63,24
opelika,acute care hospitals,632,63,24
opelika,acute care hospitals,633,63,24
opelika,acuxe care hospixals,634,64,1
opelika,acute care hospitals,635,63,24
opelika,acute care hospitals,636,63,24
opelika,acute care hospitals,637,63,24
opelika,acute care hospitals,638,63,24
opelika,acute care hospitals,639,63,24
opelika,acute care hospitals,640,63,24
wedowee,acute care hospitals,641,65,24
wedowee,acute care hospitals,642,65,24
wedowee,acute care hospitals,643,65,24
wedowee,acute care hospitals,644,65,24
wedowee,acute care hospitals,645,65,24
wedowee,acute care hospitals,646,65,24
wedowee,acute care hospitals,647,65,24
wedowee,acute care hospitals,648,65,24
wedowee,acute care hospitals,649,65,24
wedowee,acute care hospitals,650,65,24
wedowee,acute care hospitals,651,65,24
wedowee,acute care hospitals,652,65,24
wedowee,acute care hospitals,653,65,24
wxdowxx,acute care hospitals,654,66,1
wedowee,acute care hospitals,655,65,24
wedowee,acute care hospitals,656,65,24
wedowee,acute care hospitals,657,65,24
wedowee,acute care hospitals,658,65,24
wedowee,acute care hospitals,659,65,24
wedowee,acute care hospitals,660,65,24
wedowee,acute care hospitals,661,65,24
wedowee,acute care hospitals,662,65,24
wedowee,acute care hospitals,663,65,24
wedowee,acute care hospitals,664,65,24
wedowee,acute care hospitals,665,65,24
birmingham,acute care hospitals,666,0,73
birmingham,acute care hospitals,667,0,73
birmingham,acute care hospitals,668,0,73
birmingham,acute care hospitals,669,0,73
birmingham,acute care hospitals,670,0,73
birmingham,acute care hospitals,671,0,73
birmingham,acute care hospitals,672,0,73
birmingham,acute care hospitals,673,0,73
birmingham,acute care hospitals,674,0,73
birmingham,acute care hospitals,675,0,73
birmingham,acute care hospitals,676,0,73
birmingham,acute care hospitals,677,0,73
birmingham,acute care hospitals,678,0,73
birmingham,acute care hospitals,679,0,73
birmingham,acute care hospitals,680,0,73
birmingham,acute care hospitals,681,0,73
birmingham,acute care hospitals,682,0,73
birmingham,acute care hospitals,683,0,73
birmingham,acute care hospitals,684,0,73
birmingham,acute care hospitals,685,0,73
birmingham,acute care hospitals,686,0,73
birmingham,acute care hospitals,687,0,73
birmingham,acute care hospitals,688,0,73
birmingham,acute care hospitals,689,0,73
birminxham,acute care hospitals,690,67,1
tallassee,acute care hospitals,691,68,22
tallassee,acute care hospitals,692,68,22
tallassee,acute care hospitals,693,68,22
tallassee,acute care hospitals,694,68,22
tallassee,acute cxre hospitxls,695,69,1
tallaxxee,acute care hospitals,696,70,1
tallassee,acute care hospitals,697,68,22
tallassee,acute care hospitals,698,68,22
tallassee,acute care hospitals,699,68,22
tallassee,acute care hospitals,700,68,22
tallassee,acute care hospitals,701,68,22
tallassee,acute care hospitals,702,68,22
tallassee,acute care hospitals,703,68,22
tallassee,acute care hospitals,704,68,22
tallassee,acutexcarexhospitals,705,71,1
tallassee,acute care hospitals,706,68,22
tallassee,acute care hospitals,707,68,22
tallassee,acute care hospitals,708,68,22
tallassee,acute care hospitals,709,68,22
tallassee,acute care hospitals,710,68,22
tallassee,acute care hospitals,711,68,22
tallassee,acute care hospitals,712,68,22
tallassee,acute care hospitals,713,68,22
tallassee,acute care hospitals,714,68,22
tallassee,acute care hospitals,715,68,22
cullman,acute care hospitals,716,72,23
cullman,acute care hospitals,717,72,23
cullman,acute care hospitals,718,72,23
cullman,acute care hospitals,719,72,23
cullman,acute care hospitals,720,72,23
cullman,acute care hospitals,721,72,23
cullman,acute care hospitals,722,72,23
cullman,acute care hospitals,723,72,23
cullman,acute care hospitals,724,72,23
cullman,acute care hospitals,725,72,23
cullman,acute care hospitals,726,72,23
cullman,acute care hospitals,727,72,23
cullman,acute care hospitals,728,72,23
cullman,acutexcarexhospitals,729,73,1
cullman,acute care hospitals,730,72,23
cullman,acute care hospitals,731,72,23
cullman,acute care hospitals,732,72,23
cullman,acute care hospitals,733,72,23
cullman,acute care hospitals,734,72,23
cullman,acute care hospitals,735,72,23
cuxxman,acute care hospitals,736,74,1
cullman,acute care hospitals,737,72,23
cullman,acute care hospitals,738,72,23
cullman,acute care hospitals,739,72,23
cullman,acute care hospitals,740,72,23
andalusia,acute care hospitals,741,75,24
andalusia,acute care hospitals,742,75,24
andalusia,acute care hospitals,743,75,24
andalusia,acute care hospitals,744,75,24
andalusia,acute care hospitals,745,75,24
andalusia,acute care hospitals,746,75,24
andalusia,acute care hospitals,747,75,24
andalusia,acute care hospitals,748,75,24
andalusia,acute care hospitals,749,75,24
andalusia,acute care hospitals,750,75,24
andalusia,acute care hospitals,751,75,24
andalusia,acute care hospitals,752,75,24
andalusia,acute care hospitals,753,75,24
andalusia,acute care hospitals,754,75,24
andalusia,acute care hospitals,755,75,24
