Sample,original_index,unique_index,count
0 patients,397,5,103
75 patients,398,192,2
93 patients,399,193,4
18 patients,400,194,5
27 patients,401,109,3
116 patients,402,153,5
138 patients,403,64,3
67 patients,404,165,5
131 patients,405,119,4
93 patients,406,193,4
89 patients,407,126,4
1 patients,408,85,24
10 patients,409,97,13
10 patients,410,97,13
10 patients,411,97,13
125 patients,412,21,7
125 patixnts,413,195,1
10 patients,414,97,13
3 patients,415,94,19
1 patients,416,85,24
0 patients,417,5,103
4 xatients,418,196,1
0 patients,419,5,103
0 patients,420,5,103
78 patients,421,197,2
105 patients,422,198,2
46 patients,423,134,3
12 patients,424,98,6
69 patients,425,37,6
95 patients,426,199,2
47 patients,427,200,4
101 patients,428,80,7
57 patients,429,77,3
51 patients,430,102,5
22 patients,431,190,3
57 patients,432,77,3
61 patients,433,55,2
33 patients,434,1,4
13 patients,435,2,5
37 patients,436,139,5
47 patients,437,200,4
26 patients,438,86,5
39 patients,439,87,6
22 patients,440,190,3
29 patients,441,201,2
106 patients,442,202,1
513 patients,443,203,1
521 patiexts,444,204,1
499 patients,445,205,1
146 patients,446,178,5
690 patients,447,206,1
226 patients,448,160,2
223 patients,449,207,1
empty,450,0,60
empty,451,0,60
150 patients,452,191,2
149 patients,453,7,3
79 patients,454,26,6
192 patients,455,208,1
139 patients,456,142,4
119 patients,457,209,2
54 patients,458,210,1
253 patients,459,211,1
255 patients,460,212,2
245 patients,461,213,1
x patients,462,214,2
369 patients,463,215,1
144 patients,464,216,1
142 patients,465,166,2
11 patients,466,79,4
5 patients,467,35,13
0 patients,468,5,103
3 patients,469,94,19
6 patients,470,93,10
2 patients,471,36,21
0 patients,472,5,103
79 patients,473,26,6
94 patients,474,136,5
18 patients,475,194,5
32 patients,476,217,2
80 patients,477,108,3
67 patients,478,165,5
39 patients,479,87,6
74 patients,480,218,2
59 patients,481,72,6
62 patientx,482,219,1
12 patients,483,98,6
52 patients,484,220,5
52 patients,485,220,5
48 patients,486,121,5
0 patients,487,5,103
94 patients,488,136,5
50 patients,489,221,2
50 patients,490,221,2
0 patients,491,5,103
1 patients,492,85,24
0 patients,493,5,103
0 patients,494,5,103
0 patients,495,5,103
0 patxents,496,222,1
0 patients,497,5,103
35 patients,498,95,3
48 patients,499,121,5
10 patients,500,97,13
15 patients,501,89,11
44 paxienxs,502,223,1
33 patients,503,1,4
20 patients,504,34,2
56 patients,505,115,5
44 patients,506,99,4
31 patients,507,224,3
empty,508,0,60
2 patients,509,36,21
2 patients,510,36,21
1 patients,511,85,24
0 patients,512,5,103
6 patients,513,93,10
5 patients,514,35,13
5 patients,515,35,13
134 patients,516,225,2
282 patients,517,226,1
53 patients,518,59,2
119 patients,519,209,2
254 patients,520,227,1
0 patients,521,5,103
27 patients,522,109,3
25x patients,523,228,1
292 patients,524,229,1
98 patients,525,41,5
77 patients,526,84,5
99 patients,527,172,2
103 patients,528,53,4
80 patients,529,108,3
101 patients,530,80,7
71 patients,531,12,4
87 patientx,532,230,1
89 patients,533,126,4
412 patients,534,231,1
423 patients,535,232,1
392 patients,536,233,1
125 patients,537,21,7
575 patients,538,234,1
179 patients,539,143,4
179 patients,540,143,4
111 patients,541,235,1
165 patients,542,18,3
24 patients,543,146,9
65 patients,544,62,4
173 patients,545,236,1
x patients,546,214,2
15 patients,547,89,11
430 patients,548,237,1
518 patients,549,238,1
146 patients,550,178,5
93 patients,551,193,4
243 patients,552,239,1
230 patients,553,240,2
74 patxents,554,241,1
233 patients,555,242,1
97 patients,556,243,2
184 patients,557,33,2
180 patients,558,244,1
844 patients,559,245,1
827 patients,560,246,1
817 patients,561,247,1
270 patients,562,10,2
1062 patients,563,248,1
263 patients,564,249,1
259 patients,565,57,3
24 patients,566,146,9
10 patients,567,97,13
1 patients,568,85,24
4 patients,569,3,21
13 patients,570,2,5
2 patients,571,36,21
0 patients,572,5,103
137 patients,573,61,2
164 patients,574,250,1
75 patients,575,192,2
38 patients,576,251,3
55 patients,577,107,4
43 patients,578,52,3
34 patients,579,38,6
50 pxtients,580,252,1
52 patients,581,220,5
60 patients,582,253,1
19 patients,583,187,8
117 patients,584,254,4
118 patients,585,44,2
116 patients,586,153,5
0 patients,587,5,103
172 patxents,588,255,1
85 patients,589,65,8
84 patients,590,58,3
empty,591,0,60
empty,592,0,60
empty,593,0,60
empty,594,0,60
empty,595,0,60
empty,596,0,60
empty,597,0,60
2 patients,598,36,21
3 patients,599,94,19
0 patients,600,5,103
0 patients,601,5,103
31 patients,602,224,3
19 patients,603,187,8
12 patients,604,98,6
40 patients,605,15,3
30 patients,606,100,7
23 patients,607,173,4
empty,608,0,60
empty,609,0,60
empty,610,0,60
empty,611,0,60
empty,612,0,60
empty,613,0,60
empty,614,0,60
empty,615,0,60
185 patients,616,32,2
290 patients,617,256,1
72 patients,618,257,2
122 patients,619,258,1
281 patients,620,259,1
0 patients,621,5,103
26 patients,622,86,5
527 patients,623,260,1
570 patients,624,261,1
272 patients,625,262,1
101 patients,626,80,7
114 patients,627,6,3
129 patients,628,263,1
59 patients,629,72,6
153 patients,630,264,2
115 patients,631,111,2
89 patients,632,126,4
208 patients,633,147,2
1001 patients,634,265,1
1016 patients,635,266,1
962 patients,636,267,1
241 patients,637,268,1
1421 patients,638,269,1
473 patients,639,128,3
473 patients,640,128,3
4 patients,641,3,21
3 patients,642,94,19
0 patients,643,5,103
0 patients,644,5,103
3 patients,645,94,19
0 patients,646,5,103
0 patients,647,5,103
34 patients,648,38,6
39 patients,649,87,6
4 patients,650,3,21
2 patients,651,36,21
28 patients,652,75,4
14 patients,653,4,11
6 patients,654,93,10
30 patients,655,100,7
23 patients,656,173,4
16 patients,657,88,8
empty,658,0,60
empty,659,0,60
empty,660,0,60
empty,661,0,60
empty,662,0,60
empty,663,0,60
empty,664,0,60
empty,665,0,60
229 patients,666,132,2
316 patients,667,122,2
87 paxienxs,668,270,1
147 patients,669,24,4
331 patients,670,158,2
0 patients,671,5,103
47 patients,672,200,4
618 xatients,673,271,1
681 patients,674,272,1
343 patients,675,273,1
130 patients,676,69,4
247 patients,677,51,2
378 patients,678,274,1
169 patients,679,148,2
357 patients,680,275,1
155 patients,681,114,4
242 patients,682,71,4
94 patients,683,136,5
324 patients,684,276,1
350 patients,685,277,2
317 patients,686,278,1
140 patients,687,279,1
585 patients,688,280,1
230 patients,689,240,2
224 patients,690,133,2
13 patients,691,2,5
4 patients,692,3,21
1 patients,693,85,24
0 patients,694,5,103
4 patients,695,3,21
0 patients,696,5,103
0 patients,697,5,103
65 patients,698,62,4
87 patients,699,76,3
30 patients,700,100,7
9 patients,701,90,8
70 patients,702,118,4
76 patients,703,49,6
41 patients,704,9,6
71 patients,705,12,4
52 patients,706,220,5
56 patients,707,115,5
3 patients,708,94,19
10 patients,709,97,13
10 patients,710,97,13
9 patients,711,90,8
0 patients,712,5,103
33 patients,713,1,4
24 patients,714,146,9
24 patients,715,146,9
51 patients,716,102,5
26 patients,717,86,5
3 patients,718,94,19
3 patients,719,94,19
23 patients,720,173,4
0 patients,721,5,103
0 patients,722,5,103
158 patients,723,47,3
200 patients,724,63,2
37 patients,725,139,5
42 patients,726,96,3
155 patients,727,114,4
138 patients,728,64,3
90 patients,729,144,4
160 patients,730,25,3
136 patients,731,30,4
125 patients,732,21,7
68 patients,733,281,2
411 patients,734,282,1
417 patients,735,283,1
405 patients,736,28,2
0 patients,737,5,103
598 patients,738,284,1
298 patients,739,285,2
298 patients,740,285,2
8 patients,741,73,8
5 patients,742,35,13
3 patients,743,94,19
0 patients,744,5,103
6 patients,745,93,10
0 patients,746,5,103
0 patients,747,5,103
121 patients,748,286,1
139 patients,749,142,4
21 patients,750,92,2
32 patients,751,217,2
77 patients,752,84,5
55 patients,753,107,4
43 patients,754,52,3
93 patients,755,193,4
64 patients,756,74,3
52 patients,757,220,5
19 patients,758,187,8
139 patients,759,142,4
141 patients,760,287,1
136 patients,761,30,4
0 patients,762,5,103
204 patients,763,288,1
66 patients,764,113,4
66 patients,765,113,4
9 patients,766,90,8
96 patients,767,155,3
98 patients,768,41,5
95 patients,769,199,2
0 patients,770,5,103
195 patients,771,289,1
117 patients,772,254,4
116 patients,773,153,5
193 patients,774,290,2
193 patients,775,290,2
193 paxienxs,776,291,1
155 patients,777,114,4
323 patients,778,292,1
77 patients,779,84,5
135 patients,780,124,2
301 patients,781,293,1
0 patients,782,5,103
44 patients,783,99,4
264 patients,784,294,1
303 patients,785,295,1
102 patients,786,169,3
51 patients,787,102,5
509 patients,788,296,1
496 patients,789,297,1
294 patients,790,298,1
511 patients,791,299,1
313 patients,792,300,1
409 patients,793,301,1
123 patients,794,83,3
601 patients,795,131,2
603 patients,796,302,1
561 patients,797,303,1
149 patients,798,7,3
852 patients,799,304,1
269 patients,800,305,2
269 patients,801,305,2
123 patients,802,83,3
134 patients,803,225,2
18 patients,804,194,5
79 patients,805,26,6
117 patients,806,254,4
25 patients,807,101,6
12 patients,808,98,6
211 patients,809,42,2
259 patients,810,57,3
69 patients,811,37,6
70 patients,812,118,4
255 patients,813,212,2
187 patients,814,306,2
130 patients,815,69,4
266 patients,816,307,1
153 patients,817,264,2
187 patients,818,306,2
109 patients,819,308,3
557 patients,820,309,1
564 patients,821,310,1
520 patients,822,311,1
186 patients,823,312,1
854 patients,824,313,1
315 patients,825,314,2
315 patients,826,314,2
1 patients,827,85,24
1 patients,828,85,24
1 patients,829,85,24
0 patients,830,5,103
1 patients,831,85,24
0 patients,832,5,103
0 patients,833,5,103
19 patients,834,187,8
28 patients,835,75,4
4 patients,836,3,21
4 patients,837,3,21
47 patients,838,200,4
36 patients,839,137,4
16 patients,840,88,8
44 patients,841,99,4
38 patients,842,251,3
37 patients,843,139,5
2 patients,844,36,21
4 patiexts,845,315,1
4 patients,846,3,21
4 patients,847,3,21
0 patients,848,5,103
5 patients,849,35,13
0 patients,850,5,103
0 patients,851,5,103
3 patients,852,94,19
3 patients,853,94,19
1 patients,854,85,24
0 patients,855,5,103
3 patients,856,94,19
0 patients,857,5,103
0 patients,858,5,103
38 patients,859,251,3
46 patients,860,134,3
18 patients,861,194,5
10 patients,862,97,13
101 patients,863,80,7
78 patients,864,197,2
42 patients,865,96,3
121 patiexts,866,316,1
97 patients,867,243,2
85 patients,868,65,8
3 patients,869,94,19
15 patients,870,89,11
15 patients,871,89,11
15 patiexts,872,317,1
0 patients,873,5,103
19 patients,874,187,8
4 patients,875,3,21
4 patients,876,3,21
18 patients,877,194,5
12 patients,878,98,6
1 patients,879,85,24
1 patients,880,85,24
11 patients,881,79,4
0 patients,882,5,103
0 patients,883,5,103
67 patients,884,165,5
85 patients,885,65,8
19 patients,886,187,8
16 patients,887,88,8
117 patients,888,254,4
41 patients,889,9,6
34 patients,890,38,6
109 patients,891,308,3
79 patients,892,26,6
86 patients,893,189,2
0 patients,894,5,103
0 patients,895,5,103
0 patients,896,5,103
0 patients,897,5,103
0 patients,898,5,103
7 patients,899,104,7
3 patients,900,94,19
3 patients,901,94,19
4 patients,902,3,21
4 patients,903,3,21
4 patients,904,3,21
126 patxents,905,318,1
145 patients,906,171,2
25 patients,907,101,6
68 patients,908,281,2
125 patients,909,21,7
8 patients,910,73,8
16 patients,911,88,8
268 patients,912,319,1
350 patients,913,277,2
90 patients,914,144,4
85 patients,915,65,8
239 patients,916,152,3
196 patients,917,23,4
109 patients,918,308,3
261 patients,919,320,1
212 patients,920,321,1
178 patients,921,322,1
107 patients,922,22,3
402 patients,923,323,1
404 patients,924,324,1
352 patients,925,325,1
114 patients,926,6,3
607 patients,927,326,1
280 patients,928,327,2
280 patients,929,327,2
19 patients,930,187,8
16 patients,931,88,8
1 patients,932,85,24
6 patients,933,93,10
15 patients,934,89,11
0 patients,935,5,103
0 patients,936,5,103
51 patients,937,102,5
59 patients,938,72,6
6 patients,939,93,10
8 patients,940,73,8
39 patients,941,87,6
2 patients,942,36,21
5 patients,943,35,13
36 patients,944,137,4
30 patients,945,100,7
31 patients,946,224,3
empty,947,0,60
empty,948,0,60
empty,949,0,60
empty,950,0,60
empty,951,0,60
empty,952,0,60
empty,953,0,60
empty,954,0,60
4 patients,955,3,21
1 patients,956,85,24
0 patients,957,5,103
0 patients,958,5,103
2 patients,959,36,21
0 patients,960,5,103
0 patients,961,5,103
70 patients,962,118,4
82 patients,963,328,1
34 patients,964,38,6
15 patients,965,89,11
72 patients,966,257,2
49 patients,967,168,2
24 patients,968,146,9
85 patients,969,65,8
67 patients,970,165,5
37 patients,971,139,5
27 paxienxs,972,329,1
397 patients,973,330,1
399 patients,974,27,2
391 patients,975,331,1
0 patients,976,5,103
485 patients,977,332,1
196 patients,978,23,4
196 patients,979,23,4
7 patients,980,104,7
2 patients,981,36,21
2 patients,982,36,21
0 patients,983,5,103
3 patients,984,94,19
0 patients,985,5,103
0 patients,986,5,103
24 patients,987,146,9
34 patients,988,38,6
7 patients,989,104,7
7 patients,990,104,7
92 patients,991,333,1
103 patients,992,53,4
29 patients,993,201,2
105 patients,994,198,2
74 patients,995,218,2
55 patients,996,107,4
8 patients,997,73,8
28 patients,998,75,4
25 patients,999,101,6
