ProviderNumber,Address1,original_index,unique_index,count
10015,33700 highway 43,258,21,21
10015,33700 highway 43,259,21,21
10015,33700 hxghway 43,260,23,1
10015,33700 highway 43,261,21,21
10015,33700 highway 43,262,21,21
10015,33700 highway 43,263,21,21
10015,33700 highway x3,264,24,1
10015,33700 highway 43,265,21,21
10015,33700 highway 43,266,21,21
10015,33700 highway 43,267,21,21
10015,33700 highway 43,268,21,21
10016,1000 first street north,269,25,23
10016,1000 first street north,270,25,23
10016,1000 first street north,271,25,23
10016,1000 first street north,272,25,23
1xx16,1000 first street north,273,26,1
10016,1000 first street north,274,25,23
10016,1000 fixst stxeet noxth,275,27,1
10016,1000 first street north,276,25,23
10016,1000 first street north,277,25,23
10016,1000 first street north,278,25,23
10016,1000 first street north,279,25,23
10016,1000 first street north,280,25,23
10016,1000 first street north,281,25,23
10016,1000 first street north,282,25,23
10016,1000 first street north,283,25,23
10016,1000 first street north,284,25,23
10016,1000 first street north,285,25,23
10016,1000 first street north,286,25,23
10016,1000 first street north,287,25,23
10016,1000 first street north,288,25,23
10016,1000 first street north,289,25,23
10016,1000 first street north,290,25,23
10016,1000 first street north,291,25,23
10016,1000 first street north,292,25,23
10016,1000 first street north,293,25,23
10018,1720 university blvd,294,0,24
10018,1720 univxrsity blvd,295,28,1
10018,1720 university blvd,296,0,24
10018,1720 university blvd,297,0,24
10018,1720 university blvd,298,0,24
10018,1720 university blvd,299,0,24
10018,1720 university blvd,300,0,24
10018,1720 university blvd,301,0,24
10018,1720 university blvd,302,0,24
10018,1720 university blvd,303,0,24
10018,1720 university blvd,304,0,24
10018,1720 university blvd,305,0,24
10018,1720 university blvd,306,0,24
10018,1720 university blvd,307,0,24
10018,1720 university blvd,308,0,24
10018,1720 university blvd,309,0,24
10018,1720 university blvd,310,0,24
10038,301 east 18th st,311,29,25
10038,301 east 18th st,312,29,25
10038,301 east 18th st,313,29,25
100x8,301 east 18th st,314,30,1
10038,301 east 18th st,315,29,25
10038,301xeastx18thxst,316,31,1
10038,301 east 18th st,317,29,25
10038,301 east 18th st,318,29,25
10038,301 east 18th st,319,29,25
10038,301 east 18th st,320,29,25
10038,301 east 18th st,321,29,25
10038,301 east 18th st,322,29,25
10038,301 east 18th st,323,29,25
10038,301 east 18th st,324,29,25
10038,301 east 18th st,325,29,25
10038,301 east 18th st,326,29,25
10038,301 east 18th st,327,29,25
10038,301 east 18th st,328,29,25
10038,301 east 18th st,329,29,25
10038,301 east 18th st,330,29,25
10055,4370 west main street,331,32,16
10055,4370 west main street,332,32,16
10055,4370 west main street,333,32,16
10055,4370xwestxmainxstreet,334,33,1
10055,4370 west main street,335,32,16
10055,4370 west main street,336,32,16
10055,4370 west main street,337,32,16
10055,4370 west main street,338,32,16
10055,4370 west main street,339,32,16
10055,4370 west main street,340,32,16
10055,4370 west main street,341,32,16
10055,4370 west main street,342,32,16
10055,4370 west main street,343,32,16
10055,4370 west main street,344,32,16
10055,4370 west main street,345,32,16
10055,4370 west main street,346,32,16
10055,4370 west main street,347,32,16
10056,810 st vincents drive,348,34,4
10056,810 st vincents drive,349,34,4
10056,810 st vxncents drxve,350,35,1
10056,810 st vincents drive,351,34,4
10056,810 st vincents drive,352,34,4
10085,1201 7th street se,353,36,1
10086,1530 u s highway 43,354,37,23
10086,1530 u s highway 43,355,37,23
10086,1530 u s highway 43,356,37,23
10086,1530 u s highway 43,357,37,23
10086,1530 u s highway 43,358,37,23
10086,1530 u s highway 43,359,37,23
100x6,1530 u s highway 43,360,38,1
10086,1530 u s highway 43,361,37,23
10086,1530 u s highway 43,362,37,23
10086,1530xuxsxhighwayx43,363,39,1
10086,1530 u s highway 43,364,37,23
10086,1530 u s highway 43,365,37,23
10086,1530 u s highway 43,366,37,23
10086,1530 u s highway 43,367,37,23
10086,1530 u s highway 43,368,37,23
10086,1530 u s highway 43,369,37,23
10086,1530 u s highway 43,370,37,23
10086,1530 u s highway 43,371,37,23
10086,1530 u s highway 43,372,37,23
10086,1530 u s highway 43,373,37,23
10086,1530 u s highway 43,374,37,23
10086,1530 u s highway 43,375,37,23
10086,1530 u s highway 43,376,37,23
10086,1530 u s highway 43,377,37,23
10086,1530 u s highway 43,378,37,23
10087,2451 fillingim street,379,40,13
10087,2451 fillingim street,380,40,13
10087,2451 fillingim street,381,40,13
10087,2451 fillingim street,382,40,13
10087,2451 fillingim street,383,40,13
10087,2451 fillingim street,384,40,13
10087,2451 fillingim street,385,40,13
10087,2451 fillingim street,386,40,13
10087,2451 fillingim street,387,40,13
10087,2451 fillingim street,388,40,13
10087,2451 fillingim street,389,40,13
10087,2451 fillingim street,390,40,13
10087,2451 fillingim street,391,40,13
10108,124 s memorial dr,392,41,17
10108,124xsxmemorialxdr,393,42,1
10108,124 s memorial dr,394,41,17
10108,124 s memorial dr,395,41,17
10108,124 s memorial dr,396,41,17
10108,124 s memorial dr,397,41,17
10108,124 s memorial dr,398,41,17
10108,124 s memorial dr,399,41,17
10108,124 s memorial dr,400,41,17
10108,124 s memorial dr,401,41,17
10108,124 s memorial dr,402,41,17
10108,124 s memorial dr,403,41,17
10108,124 s memorial dr,404,41,17
10108,124 s memorial dr,405,41,17
10108,124 s memorial dr,406,41,17
10108,124 s memorial dr,407,41,17
x0x08,124 s memorial dr,408,43,1
10108,124 s memorial dr,409,41,17
10108,124 s memorial dr,410,41,17
10108,124 s mxmorial dr,411,44,1
10158,15155 highway 43,412,45,2
10158,15155 highway 43,413,45,2
10164,315 w hickory st,414,46,16
10164,315 w hickxry st,415,47,1
10164,315 w hickory st,416,46,16
10164,315 w hickory st,417,46,16
10164,315 w hickory st,418,46,16
10164,315 w hickory st,419,46,16
10164,315 w hickory st,420,46,16
10164,315 w hickory st,421,46,16
10164,315 w hickory st,422,46,16
10164,315 w hickory st,423,46,16
10164,315 w hickory st,424,46,16
10164,315 w hickory st,425,46,16
10164,315 w hickory st,426,46,16
10164,315 w hickory st,427,46,16
10164,315 w hickory st,428,46,16
10164,315 w hickory st,429,46,16
10164,315 w hickory st,430,46,16
10164,315xwxhickoryxst,431,48,1
20017,2801 debarr road,432,49,18
20017,2801 debarr road,433,49,18
20017,2801 debarr road,434,49,18
20017,2801 debarr road,435,49,18
20017,2801 debarr road,436,49,18
20017,2801 debarr road,437,49,18
20017,2801 debarr road,438,49,18
20017,2801 debarr road,439,49,18
20017,2801 debarr road,440,49,18
20017,2801 debarr road,441,49,18
20017,2801 debarr road,442,49,18
20017,2801 debarr road,443,49,18
20017,2801 debarr road,444,49,18
20017,2801 debarr road,445,49,18
20017,2801 debarr road,446,49,18
20017,2801 debarr road,447,49,18
20017,2801 debarr road,448,49,18
20017,2801 debarr road,449,49,18
20018,po box 287,450,50,1
20018,poxboxx287,451,51,1
10019,1300 south montgomery avenue,452,1,24
10019,1300 south montgomery avenue,453,1,24
10019,1300 south montgomery avenue,454,1,24
10019,1300 south montgomery avenue,455,1,24
10019,1300 south montgomery avenue,456,1,24
10019,1300 south montgomery avenue,457,1,24
10019,1300 south montgomery avenue,458,1,24
10019,1300 south montgomery avenue,459,1,24
10019,1300 south montgomery avenue,460,1,24
10019,1300 south montgomery avenue,461,1,24
10019,1300 south montgomery avenue,462,1,24
10019,1300 south montgomery avenue,463,1,24
10019,1300 south montgomery avenue,464,1,24
10019,1300 south montgomery avenue,465,1,24
10021,126 hospital ave,466,52,23
10021,126 hospital ave,467,52,23
10021,126 hospital ave,468,52,23
10021,126 hospital ave,469,52,23
10021,126 hospital ave,470,52,23
10021,126 hospital ave,471,52,23
10021,126xhospitalxave,472,53,1
10021,126 hospital ave,473,52,23
10021,126 hospital ave,474,52,23
10021,126 hospital ave,475,52,23
10021,126 hospital ave,476,52,23
10021,126 hospital ave,477,52,23
10021,126 hospital ave,478,52,23
10021,126 hospital ave,479,52,23
10021,126 hospital ave,480,52,23
10021,126 hospital ave,481,52,23
10021,126 hospital ave,482,52,23
10021,126 hospital ave,483,52,23
10021,1x6 hospital ave,484,54,1
10021,126 hospital ave,485,52,23
10021,126 hospital ave,486,52,23
10021,126 hospital ave,487,52,23
10021,126 hospital ave,488,52,23
10021,126 hospital ave,489,52,23
10021,126 hospital ave,490,52,23
10022,400 northwood dr,491,55,25
10022,400 northwood dr,492,55,25
10022,400 northwood dr,493,55,25
10022,400 northwood dr,494,55,25
10022,400 northwood dr,495,55,25
10022,400 northwood dr,496,55,25
10022,400 northwood dr,497,55,25
10022,400 northwood dr,498,55,25
10022,400 northwood dr,499,55,25
10022,400 northwood dr,500,55,25
10022,400 northwood dr,501,55,25
10022,400 northwood dr,502,55,25
10022,400 northwood dr,503,55,25
10022,400 northwood dr,504,55,25
10022,400 northwood dr,505,55,25
10022,400 northwood dr,506,55,25
10022,400 northwood dr,507,55,25
10022,400 northwood dr,508,55,25
10022,400 northwood dr,509,55,25
10022,400 northwood dr,510,55,25
10022,400 northwood dr,511,55,25
10022,400 northwood dr,512,55,25
10022,400 northwood dr,513,55,25
10022,400 northwood dr,514,55,25
10022,400 northwood dr,515,55,25
10023,2105 east south boulevard,516,56,25
10023,2105 east south boulevard,517,56,25
10023,2105 east south boulevard,518,56,25
10023,2105 east south boulevard,519,56,25
10023,2105 east south boulevard,520,56,25
10023,2105 east south boulevard,521,56,25
10023,2105 east south boulevard,522,56,25
10023,2105 east south boulevard,523,56,25
10023,2105 east south boulevard,524,56,25
10023,2105 east south boulevard,525,56,25
10023,2105 east south boulevard,526,56,25
10023,2105 east south boulevard,527,56,25
10023,2105 east south boulevard,528,56,25
10023,2105 east south boulevard,529,56,25
10023,2105 east south boulevard,530,56,25
10023,2105 east south boulevard,531,56,25
10023,2105 east south boulevard,532,56,25
10023,2105 east south boulevard,533,56,25
10023,2105 east south boulevard,534,56,25
10023,2105 east south boulevard,535,56,25
10023,2105 east south boulevard,536,56,25
10023,2105 east south boulevard,537,56,25
10023,2105 east south boulevard,538,56,25
10023,2105 east south boulevard,539,56,25
10023,2105 east south boulevard,540,56,25
10024,1725 pine street,541,57,24
10024,1725 pine street,542,57,24
10024,1725 pine street,543,57,24
10024,1725 pine street,544,57,24
10024,1725 pine street,545,57,24
10024,1725 pine street,546,57,24
10024,1725 pine street,547,57,24
10024,1725 pine street,548,57,24
10024,1725 pine street,549,57,24
10024,1725 pine street,550,57,24
10024,1725 pine street,551,57,24
10024,1725 pine street,552,57,24
10024,1725 pine street,553,57,24
10024,1725 pine street,554,57,24
10024,1725 pine street,555,57,24
10024,1725 pine street,556,57,24
10024,1725 pine street,557,57,24
10024,1725 pine street,558,57,24
1xx24,1725 pine street,559,58,1
10024,1725 pine street,560,57,24
10024,1725 pine street,561,57,24
10024,1725 pine street,562,57,24
10024,1725 pine street,563,57,24
10024,1725 pine street,564,57,24
10024,1725 pine street,565,57,24
10025,4800 48th st,566,59,25
10025,4800 48th st,567,59,25
10025,4800 48th st,568,59,25
10025,4800 48th st,569,59,25
10025,4800 48th st,570,59,25
10025,4800 48th st,571,59,25
10025,4800 48th st,572,59,25
10025,4800 48th st,573,59,25
10025,4800 48th st,574,59,25
10025,4800 48th st,575,59,25
10025,4800 48th st,576,59,25
10025,4800 48th st,577,59,25
10025,4800 48th st,578,59,25
10025,4800 48th st,579,59,25
10025,4800 48th st,580,59,25
10025,4800 48th st,581,59,25
10025,4800 48th st,582,59,25
10025,4800 48th st,583,59,25
10025,4800 48th st,584,59,25
10025,4800 48th st,585,59,25
10025,4800 48th st,586,59,25
10025,4800 48th st,587,59,25
10025,4800 48th st,588,59,25
10025,4800 48th st,589,59,25
10025,4800 48th st,590,59,25
10027,987 drayton street,591,60,24
10027,987 drayton street,592,60,24
10027,987 drayton street,593,60,24
10027,987 drayton street,594,60,24
10027,987 drayton street,595,60,24
10027,987 drayton street,596,60,24
10027,987 drayton street,597,60,24
10027,987 drayton street,598,60,24
10027,987 drayton street,599,60,24
10027,987 drayton street,600,60,24
10027,987 drayton street,601,60,24
10027,987 drayton street,602,60,24
10027,987 drayton street,603,60,24
10027,987 drayton street,604,60,24
10027,987 drayton street,605,60,24
10027,987 drayton street,606,60,24
10027,987 drayton street,607,60,24
x0027,987 drayton street,608,61,1
10027,987 drayton street,609,60,24
10027,987 drayton street,610,60,24
10027,987 drayton street,611,60,24
10027,987 drayton street,612,60,24
10027,987 drayton street,613,60,24
10027,987 drayton street,614,60,24
10027,987 drayton street,615,60,24
10029,2000 pepperell parkway,616,62,23
10029,2000 pepperell parkway,617,62,23
10029,2000 pepperell parkway,618,62,23
10029,2000 pepperell parkway,619,62,23
10029,2000 pepperell parkway,620,62,23
10029,2000 pepperell parkway,621,62,23
10029,2000 pepperell parkway,622,62,23
10029,2000 pepperell parkway,623,62,23
10029,2000 pepperell parkway,624,62,23
10029,2000 pepperell parkway,625,62,23
10029,2000 pepperell parkway,626,62,23
x0029,2000 pepperell parkway,627,63,1
10029,2000 pepperell parkway,628,62,23
10029,2000 pepperell parkway,629,62,23
10029,2000 pepperell parkway,630,62,23
10029,2000 pepperell parkway,631,62,23
10029,2000 pepperell parkway,632,62,23
10029,2000 pepperell parkway,633,62,23
10029,2000 pepperell parkway,634,62,23
10029,2000 pepperell parkway,635,62,23
10029,2000 pepperell parkway,636,62,23
10029,2000 pepperell parkway,637,62,23
10029,2000 pepperell parkway,638,62,23
1xx29,2000 pepperell parkway,639,64,1
10029,2000 pepperell parkway,640,62,23
10032,209 north main street,641,65,22
10032,209 north main street,642,65,22
10032,209 north main street,643,65,22
10032,209 north main street,644,65,22
1xx32,209 north main street,645,66,2
10032,209 north main street,646,65,22
10032,209 north main street,647,65,22
10032,209 north main street,648,65,22
10032,209 north main street,649,65,22
10032,209 north main street,650,65,22
10032,209 north main street,651,65,22
10032,209 xorth maix street,652,67,1
10032,209 north main street,653,65,22
10032,209 north main street,654,65,22
1xx32,209 north main street,655,66,2
10032,209 north main street,656,65,22
10032,209 north main street,657,65,22
10032,209 north main street,658,65,22
10032,209 north main street,659,65,22
10032,209 north main street,660,65,22
10032,209 north main street,661,65,22
10032,209 north main street,662,65,22
10032,209 north main street,663,65,22
10032,209 north main street,664,65,22
10032,209 north main street,665,65,22
10033,619 south 19th street,666,68,25
10033,619 south 19th street,667,68,25
10033,619 south 19th street,668,68,25
10033,619 south 19th street,669,68,25
10033,619 south 19th street,670,68,25
10033,619 south 19th street,671,68,25
10033,619 south 19th street,672,68,25
10033,619 south 19th street,673,68,25
10033,619 south 19th street,674,68,25
10033,619 south 19th street,675,68,25
10033,619 south 19th street,676,68,25
10033,619 south 19th street,677,68,25
10033,619 south 19th street,678,68,25
10033,619 south 19th street,679,68,25
10033,619 south 19th street,680,68,25
10033,619 south 19th street,681,68,25
10033,619 south 19th street,682,68,25
10033,619 south 19th street,683,68,25
10033,619 south 19th street,684,68,25
10033,619 south 19th street,685,68,25
10033,619 south 19th street,686,68,25
10033,619 south 19th street,687,68,25
10033,619 south 19th street,688,68,25
10033,619 south 19th street,689,68,25
10033,619 south 19th street,690,68,25
10034,805 friendship road,691,69,24
10034,805 friendship road,692,69,24
10034,805 friendship road,693,69,24
10034,805 friendship road,694,69,24
10034,805 friendship road,695,69,24
10034,805 friendship road,696,69,24
10034,805 friendship road,697,69,24
10034,805 friendship road,698,69,24
10034,805 friendship road,699,69,24
10034,805 friendship road,700,69,24
10034,805 friendship road,701,69,24
10034,805 friendship road,702,69,24
10034,805 friendship road,703,69,24
100x4,805 friendship road,704,70,1
10034,805 friendship road,705,69,24
10034,805 friendship road,706,69,24
10034,805 friendship road,707,69,24
10034,805 friendship road,708,69,24
10034,805 friendship road,709,69,24
10034,805 friendship road,710,69,24
10034,805 friendship road,711,69,24
10034,805 friendship road,712,69,24
10034,805 friendship road,713,69,24
10034,805 friendship road,714,69,24
10034,805 friendship road,715,69,24
10035,1912 alabama highway 157,716,71,22
10035,1912 alabama highway 157,717,71,22
10035,1912 alabama highway 157,718,71,22
10035,1912 alabama highway 157,719,71,22
10035,1912 alabama highway 157,720,71,22
100x5,1912 alabama highway 157,721,72,1
10035,1912 alabama highway 157,722,71,22
10035,1912 alabama highway 157,723,71,22
1xx35,1912 alabama highway 157,724,73,1
10035,1912 alabama highway 157,725,71,22
10035,1912 alabama highway 157,726,71,22
10035,1912 alabama highway 157,727,71,22
10035,1912 alabama highway 157,728,71,22
10035,1912 alabama highway 157,729,71,22
10035,1912 alabama highway 157,730,71,22
10035,1912 alabama highway 157,731,71,22
10035,1912 alabama highway 157,732,71,22
10035,1912 alabama highway 157,733,71,22
10035,1912 alabama highway 157,734,71,22
10035,1912 alabama highway 157,735,71,22
10035,1912xalabamaxhighwayx157,736,74,1
10035,1912 alabama highway 157,737,71,22
10035,1912 alabama highway 157,738,71,22
10035,1912 alabama highway 157,739,71,22
10035,1912 alabama highway 157,740,71,22
10036,849 south three notch street,741,75,24
10036,849 south three notch street,742,75,24
10036,849 south three notch street,743,75,24
10036,849 south three notch street,744,75,24
10036,849 south three notch street,745,75,24
10036,849 south three notch street,746,75,24
10036,849 south three notch street,747,75,24
10036,849 south three notch street,748,75,24
10036,849 south three notch street,749,75,24
10036,849 south three notch street,750,75,24
10036,849 south three notch street,751,75,24
10036,849 south three notch street,752,75,24
10036,849 south three notch street,753,75,24
10036,849 south three notch street,754,75,24
1xx36,849 south three notch street,755,76,1
10036,849 south three notch street,756,75,24
10036,849 south three notch street,757,75,24
10036,849 south three notch street,758,75,24
10036,849 south three notch street,759,75,24
10036,849 south three notch street,760,75,24
10036,849 south three notch street,761,75,24
10036,849 south three notch street,762,75,24
10036,849 south three notch street,763,75,24
10036,849 south three notch street,764,75,24
10036,849 south three notch street,765,75,24
10038,301 east 18th st,766,29,25
10038,301 east 1xth st,767,77,1
10038,301 east 18th st,768,29,25
10038,301 east 18th st,769,29,25
10038,301 east 18th st,770,29,25
10038,301 east 18th st,771,29,25
10038,301 east 18th st,772,29,25
10038,301 east 18th st,773,29,25
10039,101 sivley rd,774,78,25
10039,101 sivley rd,775,78,25
10039,101 sivley rd,776,78,25
10039,101 sivley rd,777,78,25
10039,101 sivley rd,778,78,25
10039,101 sivley rd,779,78,25
1003x,101 sivley rd,780,79,1
10039,101 sivley rd,781,78,25
10039,101 sivley rd,782,78,25
10039,101 sivley rd,783,78,25
10039,101 sivley rd,784,78,25
10039,101 sivley rd,785,78,25
10039,101 sivley rd,786,78,25
10039,101 sivley rd,787,78,25
10039,101 sivley rd,788,78,25
1xx39,101 sivley rd,789,80,1
10039,101 sivley rd,790,78,25
10039,101 sivley rd,791,78,25
10039,101 sivley rd,792,78,25
