article_language,journal_title,original_index,unique_index
eng,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",59,53
eng,Journal of geriatric oncology,60,54
eng,Obesity surgery,61,55
English,J. Card. Surg.,62,56
,Journal of Allergy and Clinical Immunology,63,57
eng,J. Exp. Clin. Cancer Res.,64,58
eng,Clinical evidence,65,59
,Paediatrics and Child Health,66,60
,AIDS Reviews,67,61
chi,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,68,62
eng,Ophthalmic surgery and lasers,69,63
eng,CANCER,70,64
eng,European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,71,65
eng,Journal of the neurological sciences,72,66
English,Transplantation,73,67
eng,Indian Journal of Pathology and Microbiology,74,68
eng,,75,5
,,76,44
,Archives De Pediatrie,77,69
eng,Nepal Medical College journal : NMCJ,78,70
,Transfusion,79,71
eng,Eur J Cancer Care (Engl),80,72
eng,Statistical methods in medical research,81,73
,TEACHING Exceptional Children Plus,82,74
engspa,Actas urologicas espanolas,83,75
eng     por,Einstein (Sao Paulo),84,76
,"Proc. iEMSs 4th Biennial Meeting - Int. Congress on Environmental Modelling and Software: Integrating Sciences and Information Technology for Environmental Assessment and Decision Making, iEMSs 2008",85,77
eng,J Med Toxicol,86,78
eng,,87,5
eng,Int J Gynaecol Obstet,88,79
,Revista de Neurologia,89,80
eng,J Cardiovasc Med (Hagerstown),90,81
fre,Pathologie non allergique et exposition aux moisissures domestiques.,91,82
eng,Nicotine Tob Res,92,83
English,Journal of Social Service Research,93,84
eng,Am J Manag Care,94,85
eng,Expert Opin Drug Metab Toxicol,95,86
,Allergy: European Journal of Allergy and Clinical Immunology,96,87
,J Dent Res,97,88
eng,Am J Physiol Endocrinol Metab,98,89
,Journal of the American Dietetic Association,99,90
,,100,44
English,Cognitive Processing,101,91
English,,102,20
eng,Fertility and sterility,103,92
eng,Cancer chemotherapy and pharmacology,104,93
eng,Psycho-oncology,105,94
,,106,44
eng,,107,5
eng,Current opinion in pharmacology,108,95
eng,The Cochrane Database Of Systematic Reviews,109,96
eng,"Cancer immunology, immunotherapy : CII",110,97
English,BMJ Open,111,98
eng,,112,5
,Industrial Robot: An International Journal,113,99
eng,The Journal Of Rheumatology,114,100
,,115,44
,Journal of applied physiology,116,101
,,117,44
,G̩riatrie et Psychologie Neuropsychiatrie du Vieillissement,118,102
English,,119,20
eng,Anesthesiology (Hagerstown),120,103
eng,Transactions of the Royal Society of Tropical Medicine and Hygiene,121,104
eng,BMC public Health,122,105
eng,International journal of clinical and experimental pathology,123,106
eng,Int J Gynecol Cancer,124,107
spa,"Neurologia (Barcelona, Spain)",125,108
,,126,44
,Medicinski Glasnik,127,109
eng,Scientific Session and Scientiftc Poster Abstracts,128,110
,Curr. Vasc. Pharmacol.,129,111
,Journal of the American Geriatrics Society,130,112
eng,Am. J. Trop. Med. Hyg.,131,113
,,132,44
," BMJ 2006, 333:939",133,114
,Annals of Internal Medicine,134,115
eng,The Journals of Gerontology: Series A: Biological Sciences and Medical Sciences,135,116
eng,Skeletal Radiology,136,117
,Pharmacoeconomics,137,118
,,138,44
eng,,139,5
eng,,140,5
eng,,141,5
,Health Technology Assessment Database,142,119
eng,J Hand Surg Br,143,120
eng,Journal of cardiovascular electrophysiology,144,121
"Chinese     Chinese, English",Chinese Journal of New Drugs,145,122
,,146,44
eng,Eur J Gen Pract,147,123
eng,Gut,148,124
eng,General dentistry,149,125
,Food Control,150,126
eng,Neuropsychologia,151,127
dut,"Euthanasie en andere medische beslissingen rond het levenseinde, 1990-1995",152,128
eng,,153,5
English,American Journal of Acupuncture,154,129
eng,Swiss Med. Wkly,155,130
,Circulation Journal,156,131
eng,CNS spectrums,157,132
cze,Paliativn�_ Schanzova osteotomie p��i nereponibiln�_ luxaci ky��eln�_ho kloubu u pacient�� s d��tskou mozkovou obrnou v adolescentn�_m v��u,158,133
English,Hippokratia,159,134
,Psycho-Oncology,160,135
eng,Journal of Clinical and Diagnostic Research,161,136
,,162,44
,,163,44
eng,Strabismus,164,137
,,165,44
,Focus on Alternative and Complementary Therapies,166,138
eng,Animal,167,139
,Cochrane Database of Systematic Reviews,168,140
,,169,44
eng,Diabet Med,170,141
eng,,171,5
eng,Journal of receptor and signal transduction research,172,142
English,Functional Neurology,173,143
English; ABSTRACT LANGUAGE:English,Spine,174,144
eng,Annals of the New York Academy of Sciences,175,145
eng,Ann N Y Acad Sci,176,146
,"Obesity (Silver Spring, Md.)",177,147
eng,Water science and technology : a journal of the International Association on Water Pollution Research,178,148
eng,Orthopedics,179,149
English,Haematologica,180,150
ENG,Scandinavian journal of psychology,181,151
,,182,44
Korean,,183,152
,AIDS Care,184,153
English,Mount Sinai Journal of Medicine,185,154
,Radiotherapy and Oncology,186,155
,Alternative Therapies in Health and Medicine,187,156
,Journal of International Education Research,188,157
English,Radiologic Clinics of North America,189,158
,Health Education & Behavior,190,159
eng,Pediatric annals,191,160
,Learning & Leading with Technology,192,161
eng,Journal of the National Cancer Institute,193,162
,Journal of Science & Medicine in Sport,194,163
eng,,195,5
ENG,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,196,164
eng,BMC Medical Research Methodology,197,165
eng,Annals Of Surgery,198,166
eng,Journal of biomaterials applications,199,167
eng,The journal of headache and pain,200,168
,ProQuest LLC,201,169
eng,Journal of sports sciences,202,170
English,European Journal of Endocrinology,203,171
eng,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",204,172
English,Cytokine,205,173
,,206,44
,,207,44
eng,Arch Surg,208,174
ENG,Muscle & nerve,209,175
eng,Social science & medicine (1982),210,176
eng,International archives of occupational and environmental health,211,177
dan,Ugeskr Laeger,212,178
,,213,44
eng,Critical reviews in oncology/hematology,214,179
eng,,215,5
,"Public health reports (Washington, D.C. : 1974)",216,180
,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,217,181
,,218,44
,Journal of Consulting and Clinical Psychology,219,182
eng,Computerized Medical Imaging and Graphics: The Official Journal of the Computerized Medical Imaging Society,220,183
,,221,44
,American Journal of Clinical Nutrition,222,184
eng,Int J Obes (Lond),223,185
,,224,44
,,225,44
eng,Endocrinology,226,186
eng,American Journal of Clinical Oncology-Cancer Clinical Trials,227,187
,International Journal of Behavioral Consultation and Therapy,228,188
,,229,44
,McNeill Mathematics Program,230,189
eng,The Journal of hospital infection,231,190
eng,Best practice & research. Clinical gastroenterology,232,191
eng,Am J Obstet Gynecol,233,192
eng,Medical teacher,234,193
eng,Acta cytologica,235,194
eng,Atherosclerosis. Supplements,236,195
ger,Schlafsțrungen bei kritisch kranken patienten,237,196
eng,BMJ Open,238,197
eng,Mycoses,239,198
eng,BMC Musculoskelet Disord,240,199
eng,Clinical Oncology (Royal College of Radiologists),241,200
eng,BMJ Open,242,197
,Physiotherapy,243,201
eng,Public health genomics,244,202
,,245,44
eng,Journal of the International Neuropsychological Society : JINS,246,203
ENGPOR,Revista Brasileira de terapia intensiva,247,204
eng,Gene,248,205
,Am. J. Managed Care,249,206
,Journal of Clinical Gastroenterology,250,207
,Journal of Health Care for the Poor & Underserved,251,208
English,Biomedical engineering online,252,209
,Disease Management and Clinical Outcomes,253,210
eng,Nature: New biology,254,211
eng,Cardiology in the young,255,212
eng,Journal of Huazhong University of Science and Technology. Medical Sciences,256,213
,Journal of Epidemiology and Community Health,257,214
eng,Critical care medicine,258,215
English,"Molecular Biology of the Cell. Conference: Annual Meeting of the American Society for Cell Biology, ASCB",259,216
,Experimental Aging Research,260,217
English,Johns Hopkins Medical Journal,261,218
ger,Urologe A,262,219
eng,Prev Med,263,220
English,Chest,264,221
eng,Psychiatric Services.,265,222
eng,Archives of General Psychiatry,266,223
,Journal of Sexual Medicine,267,224
English,Interactive Cardiovascular & Thoracic Surgery,268,225
,"The Chartered Society of Physiotherapy Annual Congress and Exhibition: Defining Practice, Friday, October 17 to Sunday, October 19 2003, International Convention Centre, Birmingham.",269,226
,Curr. Probl. Cardiol.,270,227
,Vox Sanguinis,271,228
,The British Journal of Psychiatry,272,229
,American Journal of Community Psychology,273,230
,Ultrasound Obstet. Gynecol.,274,231
,,275,44
,,276,44
eng,Annual Abstract Supplement,277,232
eng,Journal of psychiatric research,278,233
,Proceedings of the 23rd ACM international conference on Multimedia,279,234
eng,Neurology,280,235
,International Journal of Oral and Maxillofacial Surgery,281,236
eng,Journal of the American Veterinary Medical Association,282,237
,,283,44
,,284,44
,,285,44
eng,Journal of medical imaging and radiation oncology,286,238
,European Respiratory Journal,287,239
eng,PLoS One,288,27
English,Kardiologia Polska,289,240
eng,European journal of applied physiology and occupational physiology,290,241
eng,Nutrients,291,242
eng,Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,292,243
,Chin. Med,293,244
,Current Immunology Reviews,294,245
eng,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,295,246
English,CNS Drugs,296,247
eng,Scandinavian journal of infectious diseases. Supplementum,297,248
English,,298,20
eng,Applied nursing research : ANR,299,249
,Aktuelle Traumatologie,300,250
English,JOURNAL OF CHEMICAL PHYSICS,301,251
eng,J Orthop Sci,302,252
,,303,44
,Rev Med Chir Soc Med Nat Iasi,304,253
eng,J Okla State Med Assoc,305,254
,,306,44
English,Social Science and Medicine,307,255
eng,Gut,308,124
English,Chest,309,221
,,310,44
English,,311,20
ENG,European journal of applied physiology,312,256
,,313,44
eng,,314,5
eng,Radiology,315,257
English,Journal of Neurocytology,316,258
,Canadian Journal of Anaesthesia,317,259
eng,The British journal of social psychology / the British Psychological Society,318,260
eng,Cardiology in the young,319,212
,Urban Studies (Routledge),320,261
eng,Dento maxillo facial radiology,321,262
eng,Actas espa̱olas de psiquiatr�_a,322,263
ENG,International journal of colorectal disease,323,264
,,324,44
,,325,44
eng,The neurologist,326,265
,,327,44
,Expert opinion on emerging drugs,328,266
,,329,44
,American Indian and Alaska Native Mental Health Research: The Journal of the National Center,330,267
eng,Drugs & aging,331,268
,,332,44
chi,,333,269
eng,Endodontics & dental traumatology,334,270
eng,Cardiol Young,335,271
eng,AACN Clinical Issues: Advanced Practice in Acute & Critical Care,336,272
,Leukemia and Lymphoma,337,273
eng,The hematology journal : the official journal of the European Haematology Association / EHA,338,274
,,339,44
ENG,International journal of geriatric psychiatry,340,275
eng,Acta Neurochir Suppl (Wien),341,276
,,342,44
eng,Acta Clin. Croat.,343,277
,,344,44
,Aging & Mental Health,345,278
eng,Supplement: Active Living Research - Niche to Norm,346,279
eng,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,347,280
eng,Allergy and asthma proceedings : the official journal of regional and state allergy societies,348,281
eng,,349,5
English,International Journal of Social Psychiatry,350,282
,East African Medical Journal,351,283
English,,352,20
eng,Bmc Cancer,353,284
eng,Journal Of Anesthesia,354,285
,Eating Behaviors,355,286
ENG,Parkinsonism & related disorders,356,287
eng,Turk. J. Pediatr.,357,288
eng,,358,5
,Psychother. Psychosom.,359,289
ENG,Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus / I.S.D.E,360,290
fre,Ann Fr Anesth Reanim,361,291
eng,Journal of Sports Medicine & Physical Fitness,362,292
eng,Experimental cell research,363,293
,Journal of Substance Abuse Treatment,364,294
eng,BioMed research international,365,295
,Multicultural Education & Technology Journal,366,296
jpn,JPN. J. ANESTHESIOL.,367,297
eng,Injury,368,298
English,International Journal of Qualitative Studies in Education (QSE),369,299
eng,BR J ANAESTH,370,300
eng,Annals of internal medicine,371,301
,Energy Policy,372,302
English,PLoS ONE [Electronic Resource],373,303
,Journal of Biomolecular Techniques,374,304
eng,Hepato-gastroenterology,375,305
English,Current Opinion in Ophthalmology,376,306
eng,PLoS One,377,27
,J Toxicol Environ Health,378,307
,,379,44
eng,Anesthesia And Analgesia,380,308
eng,Bulletin of mathematical biology,381,309
jpn,Kekkaku : [Tuberculosis],382,310
,,383,44
eng,British journal of sports medicine,384,311
,The Science of the total environment,385,312
,,386,44
,,387,44
,,388,44
eng,Ann Pharmacother,389,313
eng,PharmacoEconomics,390,314
eng,American Journal of Epidemiology,391,315
spa,Cirug�_a Pedi��trica: Organo Oficial De La Sociedad Espa̱ola De Cirug�_a Pedi��trica,392,316
por,O papel dos profissionais de saude em casos de violencia domestica: um relato de experiencia.,393,317
,Pediatrics,394,318
eng,Postgraduate medical journal,395,319
eng,Minerva cardioangiologica,396,320
eng,Anesthesia And Analgesia,397,308
,Int. J.  Pharmcy Pharm. Sci.,398,321
eng,Neurobiology of aging,399,322
eng,World J Pediatr Congenit Heart Surg,400,323
eng,American journal of veterinary research,401,324
English,Supply Chain Management,402,325
,Critical Care Nursing Quarterly,403,326
eng,Clinical psychology review,404,327
eng,ANN. ONCOL.,405,328
,Polskie Archiwum Medycyny Wewnetrznej,406,329
eng,"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",407,330
,,408,44
German,Wiener Medizinische Wochenschrift,409,331
eng,,410,5
,PRIMUS,411,332
,Developmental Psychology,412,333
,,413,44
,,414,44
eng,Cancer,415,334
eng,Annals of oncology : official journal of the European Society for Medical Oncology / ESMO,416,335
eng,PALLIATIVE MED.,417,336
eng,Clinical cardiology,418,337
,,419,44
,Nature Clinical Practice Neurology,420,338
eng,Journal of dental research,421,339
,Addictive Behaviors,422,340
eng,Am J Perinatol,423,341
,,424,44
,,425,44
,,426,44
tur,Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cardiology,427,342
,The Lancet,428,343
English,,429,20
,Nederlands Tijdschrift Voor Fysiotherapie,430,344
eng,,431,5
,European Heart Journal,432,345
English,Swiss Medical Weekly,433,346
eng,Am J Clin Nutr,434,347
eng,,435,5
eng,BMC Oral Health,436,348
English,JOURNAL OF CELL SCIENCE,437,349
,Respirology,438,350
eng,BR. J. CANCER,439,351
,J. Am. Geriatr. Soc.,440,352
eng,"Revue de stomatologie, de chirurgie maxillo-faciale et de chirurgie orale",441,353
eng,"Journal of cardiovascular medicine (Hagerstown, Md.)",442,354
,Italian Journal of Psychopathology,443,355
,Consumer Reports on Health,444,356
ENG,"Journal of clinical hypertension (Greenwich, Conn.)",445,357
eng,Frontiers in human neuroscience,446,358
English,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,447,359
eng,Journal of the American Medical Informatics Association : JAMIA,448,360
eng,Pharmacoeconomics,449,361
eng,Journal of learning disabilities,450,362
eng,Obesity reviews : an official journal of the International Association for the Study of Obesity,451,363
eng,Diabetes technology & therapeutics,452,364
eng,Ophthalmology and eye diseases,453,365
English,Indian Journal of Physiology and Pharmacology,454,366
pol,Nowoczesne biomateria��y jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.,455,367
eng,,456,5
eng,International urogynecology journal,457,368
,Pain Medicine,458,369
,Cancer Research,459,370
,Revista latino-americana de enfermagem,460,371
eng,Thrombosis And Haemostasis,461,372
eng,Public health nutrition,462,373
English,Cancer Treatment Reviews,463,374
eng,J Pain Res,464,375
eng,J Clin Microbiol,465,376
English,Laboratory Investigation,466,377
,Child & Family Social Work,467,378
,Surg. Endosc. Interv. Tech.,468,379
,,469,44
eng,Health Educ Behav,470,380
eng,Journal of the American Academy of Child and Adolescent Psychiatry,471,381
eng,"Science (New York, N.Y.)",472,382
eng,Case Reports in Medicine,473,383
eng,Korean Journal of Anesthesiology,474,384
eng,Physics in medicine and biology,475,385
eng,Surgery,476,386
ENG,IEEE transactions on nuclear science,477,387
eng,The International journal of developmental biology,478,388
eng,Scandinavian cardiovascular journal : SCJ,479,389
eng,Rheumatology (Oxford),480,390
,Pain,481,391
,Emergency Radiology,482,392
,Australian & New Zealand Journal of Mental Health Nursing,483,393
eng,Tob Control,484,394
eng,Physiological research / Academia Scientiarum Bohemoslovaca,485,395
eng,Physiotherapy,486,396
,,487,44
,,488,44
,Pediatrics,489,318
,,490,44
eng,European heart journal,491,397
eng,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",492,53
,,493,44
jpn,Horumon to rinsho. Clinical endocrinology,494,398
eng,JAMA,495,399
,"Proceedings of the Asme Pressure Vessels and Piping Conference 2010, Vol 7",496,400
,LaboratoriumsMedizin,497,401
,,498,44
,"Clinical medicine (London, England)",499,402
dan,Forsinket implementering af internationale retningslinjer for computertomografi med iodholdigt kontraststof .,500,403
English,,501,20
,Journal of Women & Aging,502,404
,Dissertation Abstracts International: Section B: The Sciences and Engineering,503,405
,TAKAYASUSCHE ARTERIITIS MIT MULTIPLEN INTRAKRANIELLEN ANEURYSMEN,504,406
eng,Scandinavian journal of rheumatology,505,407
,Administration and policy in mental health,506,408
pol,Czasopismo stomatologiczne,507,409
English,International Journal of Medical Informatics,508,410
,International Urology and Nephrology,509,411
,Pediatric physical therapy,510,412
eng,Journal of Korean Neurosurgical Society,511,413
eng,Bmj-British Medical Journal,512,414
,,513,44
,J. Pediatric Infect. Dis. Soc.,514,415
eng,JAMA otolaryngology-- head & neck surgery,515,416
,Molecular Biology Reports,516,417
eng,Journal of aerosol medicine and pulmonary drug delivery,517,418
eng,Journal of epidemiology and community health.,518,419
chi,CHUNG-HUA I HSUEH TSA CHIH [CHINESE MEDICAL JOURNAL],519,420
engfre,Canadian Forces Dental Services quarterly,520,421
,British Journal of Midwifery,521,422
eng,Cochrane Database Syst. Rev.,522,45
eng,Journal Of Oral And Maxillofacial Surgery: Official Journal Of The American Association Of Oral And Maxillofacial Surgeons,523,423
eng,The Journal of biological chemistry,524,424
eng,Chinese medical journal,525,425
eng,Occupational Medicine-Oxford,526,426
,,527,44
eng,Environmental toxicology and pharmacology,528,427
eng,J. Cardiovasc. Med.,529,428
English,"Dissertation Abstracts International, A: The Humanities and Social Sciences",530,429
eng,"Science (New York, N.Y.)",531,382
eng,Neuroscience,532,430
ENG,Experimental neurology,533,431
eng,Annals of Emergency Medicine American College of Emergency Physician's Research Forum,534,432
eng,Paediatrics & child health,535,433
,,536,44
,Family & Community Health,537,434
English,,538,20
eng,,539,5
eng,AJR. American Journal Of Roentgenology,540,435
,,541,44
,Cancer Biotherapy,542,436
,BMJ,543,437
,,544,44
,Rheumatology (Oxford),545,438
English,,546,20
,,547,44
eng,J. Urol.,548,439
ENG,Disability and rehabilitation,549,440
ENG,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,550,441
,Games and Economic Behavior,551,442
,,552,44
eng,J Bone Joint Surg Br,553,443
eng,Journal of cancer research and clinical oncology,554,444
eng,International journal of obesity (2005),555,445
English,,556,20
,American Acupuncturist,557,446
eng,,558,5
eng,Alcohol Clin Exp Res,559,447
,Klinik Psikofarmakoloji Bulteni,560,448
,Journal of Nursing UFPE / Revista de Enfermagem UFPE,561,449
,,562,44
eng,The British journal of psychiatry : the journal of mental science,563,450
,,564,44
eng,Hernia : the journal of hernias and abdominal wall surgery,565,451
eng,Lancet,566,452
,Small Ruminant Research,567,453
,,568,44
eng,International psychogeriatrics / IPA,569,454
engpor,Jornal brasileiro de pneumologia : publicacao oficial da Sociedade Brasileira de Pneumologia e Tisilogia,570,455
,"JOGNN: Journal of Obstetric, Gynecologic & Neonatal Nursing",571,456
heb,Harefuah,572,457
eng,,573,5
eng,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,574,246
,Croatian Medical Journal,575,458
eng,International journal of stroke : official journal of the International Stroke Society,576,459
English,European journal of heart failure,577,460
English,Yonsei Medical Journal,578,461
ita,Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,579,462
eng,Canadian family physician Medecin de famille canadien,580,463
eng,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,581,464
,,582,44
English,Journal of Sexual Medicine,583,465
,,584,44
eng,Archives Of Physical Medicine And Rehabilitation,585,466
eng,European Journal Of Anaesthesiology,586,467
,Clinical Biomechanics,587,468
,Pharmacogenomics,588,469
jpn,Rinsho Byori,589,470
eng,J Nutr Gerontol Geriatr,590,471
,Journal of Epidemiology & Community Health,591,472
English,,592,20
eng,,593,5
,Online Submission,594,473
eng,J Orthop Sci,595,252
eng,Geriatr Gerontol Int,596,474
,,597,44
eng,,598,5
,Respiratory medicine,599,475
eng,Veterinary clinical pathology / American Society for Veterinary Clinical Pathology,600,476
English,Cardiovascular therapeutics,601,477
,Bulletin of the World Health Organization,602,478
eng,Plos Neglected Tropical Diseases,603,479
eng,Neuropharmacology,604,480
eng,,605,5
,Physical therapy,606,481
,Physica D: Nonlinear Phenomena,607,482
ger,Zeitschrift f��r Erkrankungen der Atmungsorgane mit Folia bronchologica,608,483
eng,Int. Angiol.,609,484
,Blood Reviews,610,485
eng,J Altern Complement Med,611,486
eng,Jama,612,487
,Complementary Therapies in Medicine,613,488
eng,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,614,489
eng,Nature,615,490
eng,The European respiratory journal,616,491
,,617,44
,"Public health nursing (Boston, Mass.)",618,492
English,Value in Health,619,493
English,Feminist Legal Studies,620,494
ger,Impfstoffe: Akzeptanz und Sicherheit.,621,495
eng,,622,5
,Journal of Psychiatric Research,623,496
,International Journal of Obesity,624,497
eng,Sleep,625,498
eng,JPN. J. CANCER RES.,626,499
eng,Journal of dental research,627,339
eng,Therapeutic advances in respiratory disease,628,500
English,Cancer Epidemiology Biomarkers and Prevention,629,501
English,,630,20
,,631,44
,Onkologie,632,502
,Rheumatology (United Kingdom),633,503
,,634,44
eng,Neurol Res,635,504
,Helicobacter,636,505
,Haematologica,637,506
eng,The Australian journal of rural health,638,507
English,,639,20
eng,Journal of medicinal chemistry,640,508
,Journal of Women's Health (15409996),641,509
ENG,"Public health nursing (Boston, Mass.)",642,510
eng,Circulation,643,511
eng,Acta dermato-venereologica,644,512
,,645,44
eng,Protein science : a publication of the Protein Society,646,513
eng,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",647,514
eng,"JAAPA: Journal of the American Academy of Physician Assistants (Haymarket Media, Inc.)",648,515
eng,American journal of infection control,649,516
,Journal of Aging & Physical Activity,650,517
eng,"Hepatology (Baltimore, Md.)",651,518
eng,Microb Drug Resist,652,519
,Stroke; a journal of cerebral circulation,653,520
eng,J Grad Med Educ,654,521
,Health & Social Work,655,522
eng,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",656,172
eng,Oral oncology,657,523
eng,Stroke; a journal of cerebral circulation,658,524
eng,Current drug targets,659,525
eng,Epilepsy research,660,526
,,661,44
eng,The Journal of heart valve disease,662,527
eng,PLoS One,663,27
eng,Academic radiology,664,528
Eng,,665,529
"Chinese     English, Chinese",Chinese Journal of Evidence-Based Medicine,666,530
,American Journal of Education,667,531
,Cases J,668,532
,,669,44
,,670,44
French,,671,533
,Acta Derm.-Venereol.,672,534
,Environmental monitoring and assessment,673,535
eng,Acta Neurol Scand,674,536
,,675,44
eng,,676,5
,,677,44
,,678,44
eng,Journal of Experimental Psychology: General,679,537
,Science and Children,680,538
,Basic and Clinical Pharmacology and Toxicology,681,539
English,Health Education Research,682,540
eng,Infection and immunity,683,541
,,684,44
eng,Photomedicine and laser surgery,685,542
,Eastern Mediterranean Health Journal,686,543
eng,J Bone Joint Surg Am,687,544
eng,"Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics",688,545
jpn,,689,546
eng,Clinical radiology,690,547
,Vaccine,691,548
English,FASEB Journal. Conference: Experimental Biology,692,549
ENG,Blood pressure monitoring,693,550
eng,Psicothema,694,551
,Am J Public Health,695,552
,J Anal Toxicol,696,553
,Energy Policy,697,302
eng,,698,5
English,Business Wire,699,554
,,700,44
English,"Respirology (Carlton, Vic.)",701,555
eng,Cochrane Database Syst Rev,702,16
,,703,44
eng,BioMed research international,704,295
eng,J Appl Physiol,705,556
eng,Annals of medicine,706,557
eng,European journal of clinical nutrition,707,558
eng,Journal of personality and social psychology,708,559
eng,J Hand Surg Am,709,560
English,Physiotherapy Theory and Practice,710,561
,,711,44
eng,BMC neurology,712,562
eng,,713,5
,Nicotine & Tobacco Research,714,563
eng,Pharmacy practice,715,564
,NeuroRehabilitation,716,565
eng,Microsurgery,717,566
English,International Journal of Neuroscience,718,567
eng,Bjog,719,568
,Behaviour Research and Therapy,720,569
eng,J Pediatr (Rio J),721,570
,Journal of Cardiovascular Electrophysiology,722,571
eng,Molecular plant pathology,723,572
,,724,44
,,725,44
,,726,44
,,727,44
,Bioelectromagnetics,728,573
,Journal of Mathematics Teacher Education,729,574
,,730,44
,Occupational and environmental medicine,731,575
eng,J. Clin. Psychiatry,732,576
eng,,733,5
eng,"Violencia contra a crianca: revelando o perfil dos atendimentos em servicos de emergencia, Brasil, 2006 e 2007.",734,577
eng,Birth,735,578
eng,Journal of addictive diseases,736,579
eng,Psychosomatic medicine,737,580
,J. Clin. Oncol.,738,581
eng,J Hosp Infect,739,582
,Australian and New Zealand Journal of Psychiatry,740,583
eng,,741,5
,,742,44
,,743,44
eng,DEV. BIOL. STAND.,744,584
,Circulation,745,585
Eng,Ann Rheum Dis,746,586
,,747,44
,Hawaii J Med Public Health,748,587
