Country,Genre,original_index,unique_index
USA,"Adventure,Sci-Fi",118,84
USA,"Action,Sci-Fi",119,85
USA,"Drama,Sci-Fi",120,86
USA,"Sci-Fi,Thriller",121,87
USA,Horror,122,52
"USA,Canada","Horror,Mystery",123,88
"Germany,USA,Canada","Horror,Thriller",124,89
USA,"Horror,Thriller",125,49
USA,"Comedy,Horror",126,51
USA,"Comedy,Horror,Sci-Fi",127,90
USA,"Comedy,Horror,Sci-Fi",128,90
USA,"Drama,Horror,Mystery",129,91
"USA,UK","Action,Thriller",130,92
USA,"Action,Adventure,Sci-Fi",131,93
USA,"Action,Sci-Fi",132,85
USA,Crime,133,94
USA,"Animation,Action,Adventure",134,95
USA,"Adventure,Family,Fantasy",135,96
"UK,USA",Horror,136,97
"UK,USA","Adventure,Horror",137,98
USA,Horror,138,52
USA,"Adventure,Fantasy",139,99
USA,"Documentary,Comedy,Drama",140,100
USA,"Adventure,Family,Fantasy",141,96
"UK,USA","Adventure,Family,Fantasy",142,101
USA,"Animation,Adventure,Comedy",143,20
USA,"Animation,Adventure,Drama",144,102
USA,"Animation,Family,Fantasy",145,103
USA,"Animation,Adventure,Family",146,104
USA,"Animation,Adventure,Comedy",147,20
USA,"Animation,Adventure,Family",148,104
USA,"Animation,Adventure,Comedy",149,20
USA,"Animation,Adventure,Comedy",150,20
"Australia,USA","Animation,Comedy,Family",151,105
USA,"Animation,Adventure,Comedy",152,20
USA,"Animation,Comedy,Family",153,19
USA,"Animation,Action,Adventure",154,95
USA,"Crime,Drama,Musical",155,106
USA,"Comedy,Drama,Romance",156,71
USA,"Comedy,Romance",157,9
USA,"Comedy,Romance,Sport",158,107
USA,"Comedy,Crime,Drama",159,108
USA,"Romance,Sports & Fitness,Science Fiction & Fantasy,Comedy",160,109
USA,Drama,161,33
"France,USA","Biography,Crime,Drama",162,110
USA,"Crime,Drama,Mystery",163,34
USA,Comedy,164,60
USA,"Comedy,Drama,Fantasy",165,43
USA,Comedy,166,60
USA,"Drama,Musical,Romance",167,111
USA,"Drama,Musical & Performing Arts,Classics,Comedy",168,112
USA,"Drama,Western",169,113
USA,"Adventure,History,Western",170,114
USA,"Action,Adventure",171,115
USA,"Drama,Romance,War",172,116
USA,"Drama,War",173,73
USA,"Western,Classics",174,117
USA,"Drama,Western",175,113
USA,Western,176,118
USA,"Comedy,Western",177,119
USA,"Adventure,Comedy,Romance",178,120
USA,"Action,Adventure,Drama",179,69
"USA,United Arab Emirates,Poland","Adventure,Drama,History",180,121
USA,"Drama,Romance",181,57
USA,"Comedy,Drama,Romance",182,71
"UK,USA","Science Fiction & Fantasy,Kids & Family",183,122
USA,"Adventure,Comedy,Drama",184,68
USA,Drama,185,33
USA,"Comedy,Music,Romance",186,123
USA,"Comedy,Drama",187,10
USA,Drama,188,33
USA,"Drama,Romance",189,57
"UK,USA,France","Action,Crime,Thriller",190,124
USA,"Crime,Drama,Thriller",191,82
USA,"Animation,Comedy",192,125
USA,Comedy,193,60
USA,"Comedy,Drama,Romance",194,71
USA,"Action,Comedy,Crime",195,126
USA,"Comedy,Crime,Drama",196,108
USA,"Comedy,Drama,Romance",197,71
"USA,Hong Kong","Action,Comedy,Crime",198,127
USA,"Crime,Drama,Thriller",199,82
USA,"Drama,Romance,Sport",200,128
USA,"Adventure,Drama,Romance",201,129
USA,"Comedy,Horror",202,51
USA,"Crime,Drama,Thriller",203,82
USA,"Drama,Romance",204,57
USA,"Comedy,Drama,Romance",205,71
"USA,Germany","Crime,Romance,Thriller",206,130
"USA,Germany,UK","Action,Crime,Drama",207,131
USA,"Crime,Drama,Mystery",208,34
USA,"Crime,Thriller,Drama",209,132
USA,"Action,Crime,Drama",210,25
USA,"Adventure,Comedy",211,133
"USA,UK","Action,Crime,Drama",212,134
USA,"Action,Crime,Drama",213,25
USA,"Action,Thriller",214,135
USA,"Crime,Drama,Mystery",215,34
USA,"Drama,Thriller",216,47
USA,"Comedy,Romance",217,9
USA,Western,218,118
"USA,Mexico","Action,Crime,Drama",219,136
USA,Drama,220,33
USA,"Crime,Mystery",221,137
USA,"Comedy,Drama",222,10
USA,Drama,223,33
USA,"Action,Adventure,Drama",224,69
USA,"Drama,Sport",225,138
"France,Italy,USA","Thriller,War,Action",226,139
USA,"Drama,Classics",227,140
USA,"Comedy,Western",228,119
USA,"Adventure,Western",229,141
USA,Western,230,118
USA,"Romance,War,Western",231,142
USA,Drama,232,33
USA,"Biography,Drama",233,143
USA,"Drama,Horror,Thriller",234,144
USA,Drama,235,33
USA,Drama,236,33
USA,"Comedy,Drama",237,10
"USA,Germany,UK,Canada","Action,Adventure,Sci-Fi",238,145
"UK,USA",Drama,239,146
USA,"Comedy,Drama",240,10
USA,"Crime,Drama,Thriller",241,82
USA,"Comedy,Romance",242,9
"USA,UK,Canada","Crime,Thriller",243,147
USA,"Drama,Sci-Fi,Thriller",244,148
USA,"Comedy,Crime,Romance",245,149
USA,"Action,Adventure,Comedy",246,150
"USA,UK","Adventure,Biography,Drama",247,151
USA,Drama,248,33
USA,Comedy,249,60
USA,"Crime,Drama,Thriller",250,82
"USA,Italy","Drama,Musical,Romance",251,152
"Spain,West Germany,UK,USA","Adventure,Crime",252,153
USA,"Action,Adventure",253,115
USA,"Action,Sci-Fi",254,85
USA,Sci-Fi,255,154
USA,"Action,Mystery,Thriller",256,155
"USA,Germany","Action,Thriller,War",257,156
USA,"Action,Thriller",258,135
USA,"Crime,Drama,Thriller",259,82
"USA,Canada","Drama,Romance",260,157
USA,Documentary,261,11
USA,"Drama,Romance",262,57
USA,"Drama,History,Thriller",263,158
USA,"Fantasy,Horror,Sci-Fi",264,159
"USA,UK","Comedy,Crime,Fantasy",265,160
USA,Family,266,161
"USA,UK","Drama,Musical,Romance",267,162
USA,"Adventure,Horror,Sci-Fi",268,163
USA,Comedy,269,60
USA,"Adventure,Drama",270,164
USA,"Adventure,Romance",271,165
USA,"Adventure,Drama,History",272,64
USA,"Comedy,Horror",273,51
USA,"Comedy,Crime,Drama",274,108
USA,,275,166
USA,"Action,Adventure,Romance",276,167
USA,"Horror,Thriller",277,49
USA,"Drama,Thriller",278,47
USA,"Drama,Romance",279,57
USA,"Biography,Drama,History",280,168
"USA,Canada",Drama,281,169
USA,"Drama,Thriller",282,47
USA,"Comedy,Drama",283,10
USA,"Drama,Music,Musical",284,170
USA,"Comedy,Romance",285,9
"USA,UK","Drama,Romance",286,171
USA,"Comedy,Crime,Drama",287,108
USA,"Adventure,Drama",288,164
"USA,UK","Action,Drama,Thriller",289,172
"USA,Germany","Action,Crime,Fantasy",290,173
USA,"Animation,Action,Adventure",291,95
"USA,France","Action,Adventure",292,174
USA,"Comedy,Drama",293,10
USA,Thriller,294,5
USA,"Crime,Thriller",295,175
USA,"Drama,Mystery,Thriller",296,176
USA,"Action,Adventure,Drama",297,69
USA,"Drama,Romance",298,57
USA,"Comedy,Romance",299,9
USA,"Comedy,Romance",300,9
USA,"Comedy,Romance",301,9
USA,"Comedy,Fantasy,Romance",302,177
USA,"Comedy,Romance",303,9
"Germany,UK,USA,France","Comedy,Drama,Romance",304,178
USA,Comedy,305,60
USA,"Comedy,Musical,Romance",306,29
USA,"Action,Adventure,Thriller",307,179
USA,"Action,Crime,Thriller",308,80
"USA,Czech Republic","Action,Adventure,Sci-Fi",309,180
USA,"Action,Adventure,Sci-Fi",310,93
USA,"Drama,Action & Adventure,Science Fiction & Fantasy",311,181
USA,"Action,Adventure,Sci-Fi",312,93
USA,"Action,Adventure,Fantasy",313,16
USA,"Action,Adventure,Sci-Fi",314,93
USA,Drama,315,33
USA,"Horror,Sci-Fi",316,182
USA,"Comedy,Drama,Romance",317,71
USA,Horror,318,52
USA,Horror,319,52
"Canada,USA","Horror,Thriller",320,183
USA,"Horror,Thriller",321,49
"Spain,USA,Puerto Rico,Italy","Horror,Mystery,Thriller",322,184
USA,"Drama,Romance,Thriller",323,67
"USA,Australia","Drama,Romance",324,185
USA,"Comedy,Crime,Thriller",325,186
USA,"Comedy,Fantasy",326,187
"USA,UK","Adventure,Drama",327,188
USA,"Documentary,History",328,189
"USA,UK","Action,Drama",329,190
"USA,UK","Adventure,Fantasy,Romance",330,191
"USA,France","Adventure,Crime,Drama",331,192
USA,"Crime,Drama,Romance",332,72
USA,"Drama,Thriller",333,47
USA,"Drama,Romance",334,57
USA,"Action,Crime,Thriller",335,80
USA,"Comedy,Crime",336,193
USA,Drama,337,33
USA,"Action,Adventure,Drama",338,69
USA,Documentary,339,11
USA,"Comedy,Fantasy,Horror",340,194
"USA,Italy","Fantasy,Horror,Mystery",341,195
"USA,UK,Australia,South Africa","Horror,Mystery",342,196
USA,"Horror,Sci-Fi",343,182
"USA,Germany","Drama,Sci-Fi",344,197
USA,"Documentary,Crime",345,198
"USA,United Arab Emirates","Action,Crime,Drama",346,199
"USA,Belgium,Bulgaria","Action,Drama,Thriller",347,200
USA,"Crime,Drama,Thriller",348,82
USA,"Crime,Drama",349,22
USA,Drama,350,33
"USA,United Arab Emirates","Drama,Thriller",351,201
USA,"Romance,Sci-Fi,Thriller",352,202
USA,"Comedy,Crime,Drama",353,108
"USA,United Arab Emirates","Drama,Sci-Fi,Thriller",354,203
USA,"Drama,Fantasy",355,204
USA,"Biography,Drama,History",356,168
USA,"Mystery,Thriller",357,205
USA,Comedy,358,60
USA,"Drama,Horror,Romance",359,206
"USA,Canada,Germany,France","Horror,Mystery,Thriller",360,207
USA,"Mystery,Thriller",361,205
USA,Drama,362,33
USA,Comedy,363,60
"USA,West Germany","Drama,Romance,War",364,208
USA,Drama,365,33
USA,"Drama,Romance",366,57
USA,"Drama,Romance",367,57
USA,"Comedy,Musical,Romance",368,29
USA,"Drama,Romance",369,57
USA,"Drama,Romance",370,57
USA,"Drama,Romance",371,57
USA,Comedy,372,60
USA,Drama,373,33
USA,Drama,374,33
USA,"Crime,Drama,Thriller",375,82
USA,"Drama,Romance",376,57
"France,UK,USA","Drama,Romance",377,209
USA,"Drama,Fantasy,Horror",378,210
USA,"Horror,Mystery,Thriller",379,0
USA,Drama,380,33
USA,"Crime,Drama,Mystery",381,34
USA,"Horror,Mystery",382,211
USA,Documentary,383,11
USA,Drama,384,33
USA,"Adventure,Drama,History",385,64
USA,"Crime,Drama,Thriller",386,82
"Peru,USA","Action,Crime,Drama",387,212
USA,Drama,388,33
USA,"Crime,Horror",389,213
USA,"Crime,Drama",390,22
USA,"Drama,Horror,Thriller",391,144
"Spain,USA","Drama,Romance",392,214
USA,Documentary,393,11
USA,"Comedy,Drama,Romance",394,71
USA,"Comedy,Romance",395,9
USA,Comedy,396,60
USA,"Comedy,Drama,Romance",397,71
USA,Comedy,398,60
USA,"Drama,Romance",399,57
USA,Comedy,400,60
USA,"Comedy,Fantasy,Romance",401,177
USA,"Action,Adventure,Comedy",402,150
USA,Comedy,403,60
USA,"Comedy,Fantasy,Romance",404,177
USA,Comedy,405,60
USA,"Comedy,Romance",406,9
USA,Comedy,407,60
USA,"Adventure,Comedy,Horror",408,215
"USA,UK","Adventure,Comedy,Sci-Fi",409,216
"USA,UK,Germany","Action,Comedy",410,217
USA,"Action,Comedy,Crime",411,126
USA,Comedy,412,60
USA,"Comedy,Sport",413,218
USA,"Comedy,Romance",414,9
USA,"Comedy,Fantasy",415,187
"UK,Germany,Japan,USA","Biography,Comedy,Drama",416,219
"USA,Germany","Crime,Thriller",417,220
USA,"Horror,Mystery,Thriller",418,0
USA,Comedy,419,60
USA,"Comedy,Drama",420,10
USA,"Action,Comedy,Sci-Fi",421,221
"Germany,USA","Action,Fantasy,Horror",422,222
USA,"Action,Adventure,Sci-Fi",423,93
USA,"Action,Sci-Fi,Thriller",424,223
USA,"Action,Adventure,Sci-Fi",425,93
"USA,UK","Drama,Action & Adventure,Romance,Mystery & Suspense",426,224
USA,"Crime,Drama,Thriller",427,82
USA,"Crime,Drama,Romance",428,72
"USA,Germany","Action,Adventure,Crime",429,225
USA,"Action,Comedy,Sci-Fi",430,221
USA,"Horror,Sci-Fi",431,182
USA,"Sci-Fi,Horror",432,226
USA,"Drama,Horror,Romance",433,206
USA,"Adventure,Romance,Sci-Fi",434,227
USA,Horror,435,52
USA,"Comedy,Fantasy",436,187
"France,USA",Drama,437,228
USA,Documentary,438,11
USA,Western,439,118
USA,Western,440,118
USA,"Comedy,Western",441,119
USA,Comedy,442,60
"Spain,France,USA","Biography,Drama,History",443,229
USA,"Musical,Romance",444,230
USA,Drama,445,33
USA,"Crime,Drama,Film-Noir",446,59
USA,"Comedy,Drama,Musical",447,231
USA,"Comedy,Musical,Romance",448,29
USA,Musical,449,232
USA,"Comedy,Musical,Romance",450,29
USA,Comedy,451,60
USA,"Drama,Western",452,113
USA,"Drama,Romance",453,57
USA,"Comedy,Romance",454,9
USA,"Comedy,Romance",455,9
USA,"Adventure,Comedy",456,133
USA,Drama,457,33
USA,"Comedy,Family,Drama",458,233
USA,"Biography,Drama,History",459,168
USA,Drama,460,33
"USA,Japan","Biography,Drama,Romance",461,234
USA,"Drama,Family,Romance",462,235
USA,"Family,Drama,Comedy",463,236
USA,"Drama,Family,Musical",464,237
USA,Drama,465,33
"France,USA","Drama,Mystery,Thriller",466,13
USA,"Drama,Family",467,238
USA,"Horror,Sci-Fi",468,182
USA,"Comedy,Fantasy,Horror",469,194
USA,"Comedy,Horror",470,51
USA,Documentary,471,11
USA,"Comedy,Drama",472,10
USA,Comedy,473,60
USA,"Comedy,Horror",474,51
USA,Horror,475,52
USA,"Comedy,Horror",476,51
USA,"Comedy,Horror",477,51
USA,"Comedy,Horror",478,51
USA,Horror,479,52
USA,Horror,480,52
"China,USA,Canada","Drama,Romance",481,239
USA,"Action,Crime,Thriller",482,80
USA,Drama,483,33
USA,"Crime,Drama,Mystery",484,34
USA,"Comedy,Drama,Fantasy",485,43
USA,"Thriller,War",486,240
USA,Thriller,487,5
USA,Documentary,488,11
"UK,France,USA","Drama,Mystery,Thriller",489,241
USA,"Mystery,Sci-Fi,Thriller",490,242
USA,"Adventure,Comedy",491,133
USA,"Drama,Mystery,Romance",492,76
USA,"Comedy,Drama,Romance",493,71
USA,"Comedy,Drama,Music",494,243
USA,"Mystery & Suspense,Drama",495,244
USA,"Family,Western",496,245
USA,"Action,Drama",497,246
USA,"Action,Thriller",498,135
USA,"Action,War",499,247
USA,"Drama,Romance",500,57
USA,Documentary,501,11
USA,"Horror,Mystery",502,211
USA,"Adventure,Mystery,Thriller",503,248
USA,"Action,Horror,Sci-Fi",504,249
USA,"Horror,Thriller",505,49
USA,"Drama,Family",506,238
USA,"Action,Adventure,Mystery",507,250
USA,"Crime,Drama,Thriller",508,82
"UK,USA","Crime,Drama,Sci-Fi",509,251
USA,"Adventure,Fantasy",510,99
USA,"Drama,War",511,73
USA,"Horror,Sci-Fi,Thriller",512,252
USA,"Crime,Drama",513,22
USA,Horror,514,52
USA,"Comedy,Drama,Fantasy",515,43
USA,"Comedy,Horror,Thriller",516,7
USA,Horror,517,52
"Philippines,USA","Adventure,Horror,Action",518,253
USA,"Drama,Action & Adventure",519,254
USA,"Biography,Drama,Family",520,255
USA,"Drama,Romance",521,57
"USA,France","Drama,Sport",522,256
"UK,USA,Canada",Drama,523,257
USA,"Biography,Drama,History",524,168
USA,Drama,525,33
USA,"Comedy,Crime,Romance",526,149
USA,"Documentary,Biography,Comedy",527,258
USA,"Crime,Thriller",528,175
USA,"Family,Sci-Fi",529,259
USA,"Drama,Thriller",530,47
USA,"Action,Adventure,Comedy",531,150
"USA,Australia","Horror,Mystery",532,260
USA,"Action,Horror",533,24
"USA,UK","Action,Drama",534,190
USA,"Comedy,Drama,Romance",535,71
USA,"Comedy,Drama,Sport",536,261
"USA,Germany,Canada","Drama,Mystery & Suspense,Comedy",537,262
USA,"Crime,Drama",538,22
USA,"Animation,Adventure,Comedy",539,20
USA,"Animation,Adventure,Comedy",540,20
USA,"Crime,Drama,History",541,263
USA,"Action,Western,Adventure",542,264
USA,"Action,Adventure,Drama",543,69
USA,"Comedy,Drama",544,10
USA,"Comedy,Drama",545,10
USA,"Comedy,Drama,Romance",546,71
"USA,UK","Drama,Romance,Thriller",547,265
USA,"Comedy,Drama,Romance",548,71
USA,Horror,549,52
USA,"Horror,Thriller",550,49
USA,"Romance,Western",551,266
USA,"Adventure,War,Western",552,267
USA,Drama,553,33
USA,Drama,554,33
USA,Western,555,118
USA,"Adventure,Comedy,Family",556,268
USA,"Comedy,Drama,Family",557,269
USA,"Action,Adventure,Comedy",558,150
USA,"Comedy,Drama,Family",559,269
"UK,USA","Adventure,Comedy,Family",560,270
USA,"Documentary,Music",561,271
"UK,USA","Documentary,Music",562,272
USA,"Biography,Drama,Music",563,273
USA,"Comedy,Drama",564,10
USA,Action,565,53
USA,"Drama,Romance",566,57
"Canada,USA",Comedy,567,274
USA,"Action,Drama,Music",568,275
USA,"Drama,Romance",569,57
"USA,France,Australia,UK,Germany,Canada","Drama,Romance",570,276
"USA,Canada","Comedy,Romance",571,277
"USA,Germany,Netherlands","Comedy,Drama,Romance",572,278
USA,"Action,Adventure,Fantasy",573,16
USA,"Action,Sci-Fi",574,85
"USA,Australia","Crime,Drama,Thriller",575,279
USA,Horror,576,52
USA,"Action,Crime,Drama",577,25
USA,"Comedy,Crime,Thriller",578,186
USA,"Action,Thriller",579,135
USA,Comedy,580,60
USA,"Action,Crime,Mystery",581,280
USA,"Action,Comedy,Crime",582,126
USA,"Comedy,Crime,Mystery",583,281
USA,"Crime,Drama,Thriller",584,82
"UK,Italy,USA","Drama,Mystery,Thriller",585,282
USA,"Comedy,Drama,Fantasy",586,43
USA,"Crime,Drama",587,22
USA,"Crime,Drama",588,22
USA,"Comedy,Drama",589,10
"USA,West Germany","Crime,Drama,Thriller",590,283
USA,Drama,591,33
USA,"Comedy,Romance",592,9
USA,"Comedy,Western",593,119
USA,"Action,Adventure,Western",594,284
"USA,South Africa,Japan","Action,Crime,Mystery",595,285
"USA,Italy","Biography,Crime,Drama",596,286
USA,Drama,597,33
USA,"Crime,Drama,Mystery",598,34
"USA,Canada","Mystery,Sci-Fi,Thriller",599,287
USA,"Comedy,Sci-Fi",600,288
"UK,USA","Drama,Fantasy,Horror",601,289
USA,"Horror,Sci-Fi",602,182
USA,"Adventure,Fantasy,Sci-Fi",603,290
USA,Western,604,118
USA,Western,605,118
USA,"Romance,Western",606,266
USA,"Comedy,War",607,291
USA,Drama,608,33
USA,"Crime,Drama,Romance",609,72
USA,"Comedy,Musical,Romance",610,29
USA,Comedy,611,60
USA,Documentary,612,11
USA,"Comedy,Crime,Romance",613,149
USA,"Drama,Comedy",614,292
USA,"Horror,Documentary",615,293
"USA,Italy","Sci-Fi,Horror",616,294
USA,Drama,617,33
USA,"Comedy,Musical,Fantasy",618,295
USA,"Comedy,Horror,Thriller",619,7
USA,Comedy,620,60
USA,"Drama,Romance",621,57
USA,"Crime,Drama,Thriller",622,82
USA,"Mystery,Romance,Thriller",623,296
"USA,Germany","Action,Crime,Drama",624,297
USA,Drama,625,33
USA,Drama,626,33
"France,USA","Drama,Mystery,Romance",627,298
"USA,Germany","Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",628,299
USA,"Animation,Adventure,Comedy",629,20
USA,"Documentary,Biography",630,3
USA,"Action,Adventure,Fantasy",631,16
USA,Documentary,632,11
USA,Documentary,633,11
"UK,Germany,USA","Comedy,Crime,Drama",634,300
USA,"Musical,Romance,Western",635,301
USA,"Comedy,Drama,Romance",636,71
USA,"Crime,Drama,Film-Noir",637,59
USA,Documentary,638,11
USA,Documentary,639,11
USA,Drama,640,33
USA,Drama,641,33
USA,"Drama,Film-Noir",642,302
USA,"Comedy,Drama",643,10
USA,"Horror,Thriller",644,49
USA,"Horror,Thriller",645,49
USA,Documentary,646,11
USA,"Adventure,Comedy,Family",647,268
USA,"Adventure,Comedy,Family",648,268
USA,"Animation,Adventure,Comedy",649,20
USA,"Adventure,Biography,Drama",650,303
"France,USA",Horror,651,304
"USA,Canada","Horror,Sci-Fi",652,305
USA,"Drama,Mystery,Thriller",653,176
USA,Documentary,654,11
USA,Documentary,655,11
USA,"Horror,Mystery,Thriller",656,0
USA,"Documentary,Comedy",657,306
USA,"Animation,Family,Fantasy",658,103
USA,Drama,659,33
"USA,UK","Crime,Drama,Thriller",660,307
"USA,Japan","Comedy,Romance",661,308
USA,"Comedy,Drama",662,10
USA,"Action,Adventure,Romance",663,167
USA,Documentary,664,11
USA,"Documentary,Biography,Fantasy",665,309
USA,"Comedy,Crime",666,193
"USA,Hong Kong","Action,Adventure,Comedy",667,310
USA,"Comedy,Crime,Horror",668,311
USA,"Drama,Fantasy,Horror",669,210
USA,"Biography,Drama",670,143
USA,"Action,Crime,Thriller",671,80
USA,Comedy,672,60
USA,"Drama,Western",673,113
USA,Western,674,118
USA,Comedy,675,60
USA,Drama,676,33
USA,"Drama,Romance",677,57
USA,"Comedy,Crime,Fantasy",678,312
"USA,Japan,UK",Documentary,679,313
USA,Documentary,680,11
USA,Documentary,681,11
"USA,Portugal,West Germany,France,Spain,Netherlands,UK",Drama,682,314
USA,"Action,Adventure,Crime",683,315
USA,"Action,Adventure,Drama",684,69
USA,"Drama,Thriller,Western",685,316
USA,"Documentary,Crime,Drama",686,317
USA,Documentary,687,11
USA,"Documentary,Biography",688,3
USA,Horror,689,52
USA,Documentary,690,11
"USA,Germany","Action,Crime,Drama",691,297
USA,Documentary,692,11
"Germany,USA,Netherlands,France,UK,Italy","Action,Adventure,Biography",693,318
"USA,UK,Ireland","Action,Adventure,Drama",694,319
USA,Drama,695,33
"UK,Netherlands,USA","Crime,Drama,Thriller",696,320
"USA,France","Crime,Drama,Thriller",697,321
USA,"Adventure,Sci-Fi,Thriller",698,322
USA,"Action,Adventure",699,115
"USA,UK","Drama,Action & Adventure,Romance,Comedy",700,323
"USA,Czech Republic","Comedy,Romance",701,324
"USA,UK","Action,Adventure,Sci-Fi",702,325
"USA,Spain,Italy,Canada","Documentary,Biography,Comedy",703,326
USA,"Action,Sci-Fi",704,85
USA,"Action,Sci-Fi",705,85
"Italy,USA","Adventure,Fantasy",706,327
USA,Documentary,707,11
USA,Documentary,708,11
USA,"Comedy,Horror",709,51
"USA,West Germany,UK","Comedy,Horror",710,328
USA,"Biography,Drama,History",711,168
USA,Horror,712,52
"Israel,USA","Drama,Thriller",713,329
USA,"Mystery,Thriller",714,205
USA,"Crime,Drama,Romance",715,72
USA,"Crime,Sci-Fi,Thriller",716,330
"UK,USA","Documentary,Drama,Mystery",717,331
USA,"Action,Thriller",718,135
USA,"Comedy,Crime,Drama",719,108
"USA,Canada,Japan,Panama","Documentary,Action,History",720,332
USA,"Comedy,Horror,Sci-Fi",721,90
"USA,UK","Comedy,Drama",722,333
USA,Drama,723,33
USA,"Comedy,Drama,Romance",724,71
USA,"Comedy,Drama,Romance",725,71
USA,Comedy,726,60
USA,Comedy,727,60
USA,"Comedy,Crime",728,193
USA,"Comedy,Drama,Thriller",729,334
USA,"Biography,Drama",730,143
"USA,UK","Crime,Drama,Thriller",731,307
USA,Drama,732,33
"USA,Spain","Action,Adventure,Fantasy",733,335
USA,"Mystery,Sci-Fi,Thriller",734,242
"USA,Canada","Mystery,Thriller",735,336
