HospitalName,City,original_index,unique_index,count
shelby baptist medical center,alabaster,270,27,25
shelby baptist medical center,alabaster,271,27,25
shelby baptist medical center,alabaster,272,27,25
shelby baptist medical center,alabaster,273,27,25
shelby baptist medical center,alabaster,274,27,25
shelby baptist medical center,alabaster,275,27,25
shelby baptist medical center,alabaster,276,27,25
shelby baptist medical center,alabaster,277,27,25
shelby baptist medical center,alabaster,278,27,25
shelby baptist medical center,alabaster,279,27,25
shelby baptist medical center,alabaster,280,27,25
shelby baptist medical center,alabaster,281,27,25
shelby baptist medical center,alabaster,282,27,25
shelby baptist medical center,alabaster,283,27,25
shelby baptist medical center,alabaster,284,27,25
shelby baptist medical center,alabaster,285,27,25
shelby baptist medical center,alabaster,286,27,25
shelby baptist medical center,alabaster,287,27,25
shelby baptist medical center,alabaster,288,27,25
shelby baptist medical center,alabaster,289,27,25
shelby baptist medical center,alabaster,290,27,25
shelby baptist medical center,alabaster,291,27,25
shelby baptist medical center,alabaster,292,27,25
shelby baptist medical center,alabaster,293,27,25
callahan eye foundation hospital,birmingham,294,0,23
callahan eye foundation hospital,birmingham,295,0,23
callahan eye foundation hospital,birmingham,296,0,23
callahan eye foundation hospital,birmingham,297,0,23
callahan eye foundation hospital,birmingham,298,0,23
callahan eye foundation hospital,birmingham,299,0,23
callahan eye foundation hospital,birmingham,300,0,23
callahan eye foundation hospital,birmingham,301,0,23
callahan eye foundation hospital,birmingham,302,0,23
callahan eye foundation hospital,birmingham,303,0,23
callahan eye foundation hospital,birmingham,304,0,23
callahan eye foundation hospital,birmingham,305,0,23
callahan eye foundation hospital,birmingham,306,0,23
callahan eye foundation hospital,birmingham,307,0,23
callahan eye foundation hospital,birmingham,308,0,23
callahan eye foundation hospital,birmingham,309,0,23
callahan eye foundation hospital,birmingham,310,0,23
stringfellow memorial hospital,axxistox,311,28,1
stringfellow memorial hospital,anniston,312,29,26
stringfellow memorial hospital,anniston,313,29,26
stringfellow memorial hospital,anniston,314,29,26
stringfellow memorial hospital,anniston,315,29,26
stringfellow memorial hospital,anniston,316,29,26
stringfellow memorial hospital,anniston,317,29,26
stringfellow memorial hospital,anniston,318,29,26
stringfellow memorial hospital,anniston,319,29,26
stringfellow memorial hospital,anniston,320,29,26
stringfellow memorial hospital,anniston,321,29,26
stringfellow memorial hospital,anniston,322,29,26
stringfellow memorial hospital,anniston,323,29,26
stringfellow memorial hospital,anniston,324,29,26
stringfellow memorial hospital,anniston,325,29,26
stringfellow memorial hospital,anniston,326,29,26
stringfellow memorial hospital,anniston,327,29,26
stringfellow memorial hospital,anniston,328,29,26
stringfellow memorial hospital,anniston,329,29,26
stringfellow memorial hospital,anniston,330,29,26
flowers hospital,dothan,331,30,16
flowers hospital,dothan,332,30,16
flowers hospital,dothan,333,30,16
flowers hospital,dothan,334,30,16
flowers hospital,dothan,335,30,16
flowers hospital,dothan,336,30,16
floxers hospital,dothan,337,31,1
flowers hospital,dothan,338,30,16
flowers hospital,dothan,339,30,16
flowers hospital,dothan,340,30,16
flowers hospital,dothan,341,30,16
flowers hospital,dothan,342,30,16
flowers hospital,dothan,343,30,16
flowers hospital,dothan,344,30,16
flowers hospital,dothan,345,30,16
flowers hospital,dothan,346,30,16
flowers hospital,dothan,347,30,16
st vincents hospital,birmingham,348,32,5
st vincents hospital,birmingham,349,32,5
st vincents hospital,birmingham,350,32,5
st vincents hospital,birmingham,351,32,5
st vincents hospital,birmingham,352,32,5
decatur general hospital,decatur,353,33,1
northwest medical center,winfield,354,34,24
northwest medical center,winfield,355,34,24
northwest medical center,winfield,356,34,24
northwest medical center,winfield,357,34,24
northwest medical center,winfield,358,34,24
northwest medical center,winfield,359,34,24
northwest medical center,winfield,360,34,24
northwest medical center,winfield,361,34,24
northwest medical center,winfield,362,34,24
northwest medical center,winfield,363,34,24
northwest medical center,winfield,364,34,24
northwest medical center,winfield,365,34,24
northwest medical center,winfield,366,34,24
northwest medical center,winfielx,367,35,1
northwest medical center,winfield,368,34,24
northwest medical center,winfield,369,34,24
northwest medical center,winfield,370,34,24
northwest medical center,winfield,371,34,24
northwest medical center,winfield,372,34,24
northwest medical center,winfield,373,34,24
northwest medical center,winfield,374,34,24
northwest medical center,winfield,375,34,24
northwest medical center,winfield,376,34,24
northwest medical center,winfield,377,34,24
northwest medical center,winfield,378,34,24
univ of south alabama medical center,mobile,379,36,11
univ of south alabama medical center,mobile,380,36,11
univ of south alabama medical center,mobile,381,36,11
univ of south alabama medical center,mobile,382,36,11
univ of south alabama medical center,mobile,383,36,11
univ ox south alabama medical center,mobile,384,37,1
xniv of soxth alabama medical center,mobile,385,38,1
univ of south alabama medical center,mobile,386,36,11
univ of south alabama medical center,mobile,387,36,11
univ of south alabama medical center,mobile,388,36,11
univ of south alabama medical center,mobile,389,36,11
univ of south alabama medical center,mobile,390,36,11
univ of south alabama medical center,mobile,391,36,11
prattville baptist hospital,prattville,392,39,20
prattville baptist hospital,prattville,393,39,20
prattville baptist hospital,prattville,394,39,20
prattville baptist hospital,prattville,395,39,20
prattville baptist hospital,prattville,396,39,20
prattville baptist hospital,prattville,397,39,20
prattville baptist hospital,prattville,398,39,20
prattville baptist hospital,prattville,399,39,20
prattville baptist hospital,prattville,400,39,20
prattville baptist hospital,prattville,401,39,20
prattville baptist hospital,prattville,402,39,20
prattville baptist hospital,prattville,403,39,20
prattville baptist hospital,prattville,404,39,20
prattville baptist hospital,prattville,405,39,20
prattville baptist hospital,prattville,406,39,20
prattville baptist hospital,prattville,407,39,20
prattville baptist hospital,prattville,408,39,20
prattville baptist hospital,prattville,409,39,20
prattville baptist hospital,prattville,410,39,20
prattville baptist hospital,prattville,411,39,20
russellville hospital,russellville,412,40,2
russellville hospital,russellville,413,40,2
coosa valley medical center,sylacauga,414,41,18
coosa valley medical center,sylacauga,415,41,18
coosa valley medical center,sylacauga,416,41,18
coosa valley medical center,sylacauga,417,41,18
coosa valley medical center,sylacauga,418,41,18
coosa valley medical center,sylacauga,419,41,18
coosa valley medical center,sylacauga,420,41,18
coosa valley medical center,sylacauga,421,41,18
coosa valley medical center,sylacauga,422,41,18
coosa valley medical center,sylacauga,423,41,18
coosa valley medical center,sylacauga,424,41,18
coosa valley medical center,sylacauga,425,41,18
coosa valley medical center,sylacauga,426,41,18
coosa valley medical center,sylacauga,427,41,18
coosa valley medical center,sylacauga,428,41,18
coosa valley medical center,sylacauga,429,41,18
coosa valley medical center,sylacauga,430,41,18
coosa valley medical center,sylacauga,431,41,18
alaska regional hospital,anchorage,432,42,16
alaska regional hospital,anchorage,433,42,16
alaska regional hospital,anchorage,434,42,16
alaska regional hospital,anchorage,435,42,16
alaska regional hospital,anchorage,436,42,16
alaska regional hospital,anchoraxe,437,43,1
alaska regional hospital,anchorage,438,42,16
alaska regional hospital,anchorage,439,42,16
alaska regional hospital,anchorage,440,42,16
alaska regional hospital,anchorage,441,42,16
alaska regional hospital,anchorage,442,42,16
alaska regional hospital,anchorage,443,42,16
alaska regional hospital,anchorage,444,42,16
alaska regional hospital,anchorage,445,42,16
alaska regional hospital,anchorage,446,42,16
alaska regional hospital,anchorage,447,42,16
xlxskx regionxl hospitxl,anchorage,448,44,1
alaska regional hospital,anchorage,449,42,16
yukon kuskokwim delta reg hospital,bethel,450,45,2
yukon kuskokwim delta reg hospital,bethel,451,45,2
helen keller memorial hospital,sheffield,452,3,24
helen keller memorial hospital,sheffield,453,3,24
helen keller memorial hospital,sheffield,454,3,24
helen keller memorial hospital,sheffield,455,3,24
helen keller memorial hospital,sheffield,456,3,24
helen keller memorial hospital,sheffield,457,3,24
helen keller memorial hospital,sheffield,458,3,24
helen keller memorial hospital,sheffield,459,3,24
helen keller memorial hospital,sheffield,460,3,24
helen keller memorial hospital,sheffield,461,3,24
helen keller memorial hospital,sheffield,462,3,24
helen keller memorial hospital,sheffield,463,3,24
helen keller memorial hospital,sheffield,464,3,24
helen keller memorial hospital,sheffield,465,3,24
dale medical center,ozark,466,46,23
dale medical center,ozark,467,46,23
dale medical center,ozark,468,46,23
dale medical center,ozark,469,46,23
dale medical center,ozark,470,46,23
dale medical center,ozark,471,46,23
dale medical center,ozark,472,46,23
dale medical center,ozark,473,46,23
dale medical center,ozarx,474,47,1
dale medical center,ozark,475,46,23
dale medical center,ozark,476,46,23
dale medical center,ozark,477,46,23
dale medical center,ozark,478,46,23
dale medical center,ozark,479,46,23
dale medical center,ozark,480,46,23
dale medical center,ozark,481,46,23
dale medical center,ozark,482,46,23
dale medical center,ozark,483,46,23
dale medical center,ozark,484,46,23
dale medical center,xzark,485,48,1
dale medical center,ozark,486,46,23
dale medical center,ozark,487,46,23
dale medical center,ozark,488,46,23
dale medical center,ozark,489,46,23
dale medical center,ozark,490,46,23
cherokee medical center,centre,491,49,25
cherokee medical center,centre,492,49,25
cherokee medical center,centre,493,49,25
cherokee medical center,centre,494,49,25
cherokee medical center,centre,495,49,25
cherokee medical center,centre,496,49,25
cherokee medical center,centre,497,49,25
cherokee medical center,centre,498,49,25
cherokee medical center,centre,499,49,25
cherokee medical center,centre,500,49,25
cherokee medical center,centre,501,49,25
cherokee medical center,centre,502,49,25
cherokee medical center,centre,503,49,25
cherokee medical center,centre,504,49,25
cherokee medical center,centre,505,49,25
cherokee medical center,centre,506,49,25
cherokee medical center,centre,507,49,25
cherokee medical center,centre,508,49,25
cherokee medical center,centre,509,49,25
cherokee medical center,centre,510,49,25
cherokee medical center,centre,511,49,25
cherokee medical center,centre,512,49,25
cherokee medical center,centre,513,49,25
cherokee medical center,centre,514,49,25
cherokee medical center,centre,515,49,25
baptist medical center south,montgomery,516,50,23
baptist medical center south,montxomery,517,51,1
baptist medical center south,montgomery,518,50,23
baptist medical center south,montgomery,519,50,23
baptist medical center south,montgomery,520,50,23
baptist medical center south,montgomery,521,50,23
baptist medical center south,montgomery,522,50,23
baptist medical center south,montgomery,523,50,23
baptist medical center south,montgomery,524,50,23
baptist medical center south,montgomery,525,50,23
baptist medical center south,montgomery,526,50,23
baptist medical center south,montgomery,527,50,23
baptist medical center south,montgomery,528,50,23
baptist medical center south,montgomery,529,50,23
baptist medical center south,montgomery,530,50,23
baptist medical center south,montgomery,531,50,23
baptist medical cexter south,montgomery,532,52,1
baptist medical center south,montgomery,533,50,23
baptist medical center south,montgomery,534,50,23
baptist medical center south,montgomery,535,50,23
baptist medical center south,montgomery,536,50,23
baptist medical center south,montgomery,537,50,23
baptist medical center south,montgomery,538,50,23
baptist medical center south,montgomery,539,50,23
baptist medical center south,montgomery,540,50,23
jackson hospital & clinic inc,montgomery,541,53,24
jackson hospital & clinic inc,montgomery,542,53,24
jackson hospital & clinic inc,montgomery,543,53,24
jackson hospital & clinic inc,montgomery,544,53,24
jackson hospital & clinic inc,montgomery,545,53,24
jackson hospital & clinic inc,montgomery,546,53,24
jackson hospital & clinic inc,montgomery,547,53,24
jackson hospital & clinic inc,montgomery,548,53,24
jackson hospital & clinic inc,montgomery,549,53,24
jackson hospital & clinic inc,montgomery,550,53,24
jackson hospital & clinic inc,montgomery,551,53,24
jackson hospital & clinic inc,montgomery,552,53,24
jackson hospital & clinic inc,montgomery,553,53,24
jackson hospital & clinic inc,montgomery,554,53,24
jackson hospital & clinic inc,montgomery,555,53,24
jackson hospital & clinic inc,montgomery,556,53,24
jackson hospital & clinic inc,montgomery,557,53,24
jackson hospital & clinic inc,montgomery,558,53,24
jackson hospital & clinic inc,montgomery,559,53,24
jaxkson hospital & xlinix inx,montgomery,560,54,1
jackson hospital & clinic inc,montgomery,561,53,24
jackson hospital & clinic inc,montgomery,562,53,24
jackson hospital & clinic inc,montgomery,563,53,24
jackson hospital & clinic inc,montgomery,564,53,24
jackson hospital & clinic inc,montgomery,565,53,24
g h lanier memorial hospital,valley,566,55,23
g h lanier memorial hospital,valley,567,55,23
g h lanier memorial hospital,valley,568,55,23
g h lanier memorial hospital,valley,569,55,23
g h lanier memorial hospital,valley,570,55,23
g h lanier memorial hospital,valley,571,55,23
g h lanier memorial hospital,valley,572,55,23
g h lanier memorial hospital,valley,573,55,23
g h lanier memorial hospital,valley,574,55,23
g h lanier memorial hospital,valley,575,55,23
g h lanier memorial hospital,valley,576,55,23
g h lanier memorial hospital,valley,577,55,23
g h lanier memorial hospital,vallex,578,56,1
g h lanier memorial hospital,valley,579,55,23
g h lanier memorial hospital,valley,580,55,23
g h lanier memorial hospital,valley,581,55,23
g h lanier memorial hospital,valley,582,55,23
g h lanier memorial hospital,valley,583,55,23
g h lanier memorial hospital,valley,584,55,23
g h lanier memorial hospital,valley,585,55,23
g h lanier memorial hospital,valley,586,55,23
g h lanier memorial hospital,valley,587,55,23
g h lanier memorial hospital,valley,588,55,23
g h lanier memorial hospital,valley,589,55,23
g h lanier memorial hospital,vxlley,590,57,1
elba general hospital,elba,591,58,24
elba general hospital,elba,592,58,24
elba general hospital,elba,593,58,24
elba general hospital,elba,594,58,24
elba general hospital,elba,595,58,24
elba general hospital,elba,596,58,24
elba general hospital,elba,597,58,24
elba general hospital,elba,598,58,24
elba general hospital,elba,599,58,24
elba general hospital,elba,600,58,24
elba general hospital,exba,601,59,1
elba general hospital,elba,602,58,24
elba general hospital,elba,603,58,24
elba general hospital,elba,604,58,24
elba general hospital,elba,605,58,24
elba general hospital,elba,606,58,24
elba general hospital,elba,607,58,24
elba general hospital,elba,608,58,24
elba general hospital,elba,609,58,24
elba general hospital,elba,610,58,24
elba general hospital,elba,611,58,24
elba general hospital,elba,612,58,24
elba general hospital,elba,613,58,24
elba general hospital,elba,614,58,24
elba general hospital,elba,615,58,24
east alabama medical center and snf,opelika,616,60,25
east alabama medical center and snf,opelika,617,60,25
east alabama medical center and snf,opelika,618,60,25
east alabama medical center and snf,opelika,619,60,25
east alabama medical center and snf,opelika,620,60,25
east alabama medical center and snf,opelika,621,60,25
east alabama medical center and snf,opelika,622,60,25
east alabama medical center and snf,opelika,623,60,25
east alabama medical center and snf,opelika,624,60,25
east alabama medical center and snf,opelika,625,60,25
east alabama medical center and snf,opelika,626,60,25
east alabama medical center and snf,opelika,627,60,25
east alabama medical center and snf,opelika,628,60,25
east alabama medical center and snf,opelika,629,60,25
east alabama medical center and snf,opelika,630,60,25
east alabama medical center and snf,opelika,631,60,25
east alabama medical center and snf,opelika,632,60,25
east alabama medical center and snf,opelika,633,60,25
east alabama medical center and snf,opelika,634,60,25
east alabama medical center and snf,opelika,635,60,25
east alabama medical center and snf,opelika,636,60,25
east alabama medical center and snf,opelika,637,60,25
east alabama medical center and snf,opelika,638,60,25
east alabama medical center and snf,opelika,639,60,25
east alabama medical center and snf,opelika,640,60,25
wedowee hospital,wedowee,641,61,24
wedowee hospital,wedowee,642,61,24
wedowee hospital,wedowee,643,61,24
wedowee hospital,wedowee,644,61,24
wedowee hospital,wedowee,645,61,24
wedowee hospital,wedowee,646,61,24
wedowee hospital,wedowee,647,61,24
wedowee hospital,wedowee,648,61,24
wedowee hospital,wedowee,649,61,24
wedowee hospital,wedowee,650,61,24
wedowee hospital,wedowee,651,61,24
wedowee hospital,wedowee,652,61,24
wedowee hospital,wedowee,653,61,24
wedowee hosxital,wxdowxx,654,62,1
wedowee hospital,wedowee,655,61,24
wedowee hospital,wedowee,656,61,24
wedowee hospital,wedowee,657,61,24
wedowee hospital,wedowee,658,61,24
wedowee hospital,wedowee,659,61,24
wedowee hospital,wedowee,660,61,24
wedowee hospital,wedowee,661,61,24
wedowee hospital,wedowee,662,61,24
wedowee hospital,wedowee,663,61,24
wedowee hospital,wedowee,664,61,24
wedowee hospital,wedowee,665,61,24
university of alabama hospital,birmingham,666,63,24
university of alabama hospital,birmingham,667,63,24
university of alabama hospital,birmingham,668,63,24
university of alabama hospital,birmingham,669,63,24
university of alabama hospital,birmingham,670,63,24
university of alabama hospital,birmingham,671,63,24
university of alabama hospital,birmingham,672,63,24
university of alabama hospital,birmingham,673,63,24
university of alabama hospital,birmingham,674,63,24
university of alabama hospital,birmingham,675,63,24
university of alabama hospital,birmingham,676,63,24
university of alabama hospital,birmingham,677,63,24
university of alabama hospital,birmingham,678,63,24
university of alabama hospital,birmingham,679,63,24
university of alabama hospital,birmingham,680,63,24
university of alabama hospital,birmingham,681,63,24
university of alabama hospital,birmingham,682,63,24
university of alabama hospital,birmingham,683,63,24
university of alabama hospital,birmingham,684,63,24
university of alabama hospital,birmingham,685,63,24
university of alabama hospital,birmingham,686,63,24
university of alabama hospital,birmingham,687,63,24
university of alabama hospital,birmingham,688,63,24
university of alabama hospital,birmingham,689,63,24
university of alabama hospital,birminxham,690,64,1
community hospital inc,tallassee,691,65,22
community hospital inc,tallassee,692,65,22
community hospital inc,tallassee,693,65,22
community hospital inc,tallassee,694,65,22
community hospital inc,tallassee,695,65,22
community hospital inc,tallaxxee,696,66,1
communitx hospital inc,tallassee,697,67,1
community hospital inc,tallassee,698,65,22
community hospital inc,tallassee,699,65,22
community hospital inc,tallassee,700,65,22
community hospital inc,tallassee,701,65,22
community hospital inc,tallassee,702,65,22
community hospital inc,tallassee,703,65,22
community hospital inc,tallassee,704,65,22
