Creator,Actors,original_index,unique_index
Seth Gordon,"Steve Wiebe,Billy Mitchell,Mark Alpiger",43,43
Victor Pineiro-Escoriaza,"Dan Bustard,Ashley Esqueda,Andrew Monkelban",44,44
Chris Higgins,"Thor Aackerlund,Pat Contri,Harry Hong",45,45
"Dave Danzara,Sean Newton","Bryan Armitage,Nathan Barnatt,Chris Connally",46,46
"Luke Meyer,Andrew Neel","Skip Lipman,Kenyon Wells,Daniel McArthur",47,47
Jeff Von Ward,"Chris Alcott,Pete Ashdown,Jean Baudin",48,48
,"Ralph H. Baer,Tim Balderamos,Greg Bond",49,49
"Bonnie Nadzam,Ross Partridge","Ross Partridge,Oona Laurence,Tom Bower",50,50
"Guillermo Amoedo,Eli Roth","Lorenza Izzo,Ariel Levy,Aaron Burns",51,51
"Gary Ross,Anne Spielberg","Tom Hanks,Elizabeth Perkins,Robert Loggia",52,52
"Michael Pye,Jon Bokenkamp","Angelina Jolie,Ethan Hawke,Kiefer Sutherland",53,53
"Susanna Kaysen,James Mangold","Winona Ryder,Angelina Jolie,Clea DuVall",54,54
"John Orloff,Emil Stern","Jim Sturgess,Hugo Weaving,David Wenham",55,55
"Roald Dahl,Wes Anderson","George Clooney,Meryl Streep,Bill Murray",56,56
"Alan B. McElroy,Tyger Williams","Sanaa Lathan,Michael Ealy,Morris Chestnut",57,57
"Charles Parlapanides,Vlas Parlapanides","Henry Cavill,Mickey Rourke,John Hurt",58,58
"Matt Duffer,Ross Duffer","Alexander Skarsgård,Andrea Riseborough,Emily Alyn Lind",59,59
Max Landis,"Jesse Eisenberg,Kristen Stewart,Connie Britton",60,60
"Chris Columbus,Charles S. Haas","Zach Galligan,Phoebe Cates,John Glover",61,61
"Steven Spielberg,Michael Grais","JoBeth Williams,Heather O'Rourke,Craig T. Nelson",62,62
"Mitch Glazer,Michael O'Donoghue","Bill Murray,Karen Allen,John Forsythe",63,63
"Bob Kane,Theresa Rebeck","Halle Berry,Sharon Stone,Benjamin Bratt",64,64
Greydon Clark,"Joe Don Baker,Rossano Brazzi,Venantino Venantini",65,65
"Antonio Macia,Antonio Macia","Carlos Leon,Eric Smith,Jackie Quinones",66,66
"Lonne Elder, III","Cicely Tyson,Paul Winfield,Kevin Hooks",67,67
"Rudyard Kipling,John Lee Mahin","Spencer Tracy,Freddie Bartholomew,Lionel Barrymore",68,68
"Laird Doyle,Laird Doyle","Bette Davis,Franchot Tone,Margaret Lindsay",69,69
"John Van Druten,Lenore J. Coffee","Bette Davis,Miriam Hopkins,Gig Young",70,70
"Kevin Wade,Chris Conrad","Arnold Schwarzenegger,Danny DeVito,Emma Thompson",71,71
"John Michael Hayes,Harold Robbins","Bette Davis,Susan Hayward,Mike Connors",72,72
"Martin Flavin,Beulah Marie Dix","Betty Compson,Conrad Nagel,Robert Ames",73,73
"Ronald Millar,George Froeschel","Walter Pidgeon,Ann Harding,Barry Sullivan",74,74
"Maurice Level,J. Walter Ruben","Dorothy Jordan,Eric Linden,Purnell Pratt",75,75
"Herman J. Mankiewicz,Norman Krasna","Jack Pearl,Jimmy Durante,Zasu Pitts",76,76
"Arthur T. Horman,John Grant","Bud Abbott,Lou Costello,Lee Bowman",77,77
"John Grant,Edmund L. Hartmann","Bud Abbott,Lou Costello,Peggy Ryan",78,78
"John Grant,Lee Loeb","Bud Abbott,Lou Costello,Fred Clark",79,79
"Harriet Beecher Stowe,Harvey F. Thew","Margarita Fischer,James B. Lowe,Arthur Edmund Carewe",80,80
"Elliott Arnold,Elliott Arnold","Yul Brynner,George Chakiris,Shirley Anne Field",81,81
"Elliott Arnold,Elliott Arnold","Yul Brynner,Richard Widmark,George Chakiris",82,82
"John Byrum,Robin Cook","Lesley-Anne Down,Frank Langella,Maurice Ronet",83,83
"Henry James,Ruth Prawer Jhabvala","Christopher Reeve,Vanessa Redgrave,Jessica Tandy",84,84
Kurt Luedtke,"Paul Newman,Sally Field,Bob Balaban",85,85
"Irving Ravetch,Harriet Frank Jr.","Paul Newman,Melvyn Douglas,Patricia Neal",86,86
Preston Sturges,"Joel McCrea,Veronica Lake,Robert Warwick",87,87
"Alan Le May,Jesse Lasky Jr.","Gary Cooper,Madeleine Carroll,Paulette Goddard",88,88
Robert Buckner,"Errol Flynn,Miriam Hopkins,Randolph Scott",89,89
"Philip Dunne,Julien Josephson","Spencer Tracy,Nancy Kelly,Richard Greene",90,90
"Hal Kanter,Harry Tugend","Glenn Ford,Bette Davis,Hope Lange",91,91
"Robert Riskin,Clarence Budington Kelland","Gary Cooper,Jean Arthur,George Bancroft",92,92
"Harry Chandlee,Douglas W. Churchill","Jean Harlow,Loretta Young,Robert Williams",93,93
"Jo Swerling,John Meehan","Barbara Stanwyck,David Manners,Sam Hardy",94,94
"Sarah Y. Mason,Jo Swerling","Barbara Stanwyck,Regis Toomey,Zasu Pitts",95,95
"Gene Markey,Kathryn Scola","Barbara Stanwyck,George Brent,Donald Cook",96,96
"Lucien Hubbard,Kubec Glasmon","Virginia Davis,Joan Blondell,Anne Shirley",97,97
"Anita Loos,Gene Markey","Loretta Young,Franchot Tone,Ricardo Cortez",98,98
"Robert Lord,Wilson Mizner","Loretta Young,Richard Barthelmess,Aline MacMahon",99,99
"S.S. Van Dine,Robert N. Lee","William Powell,Mary Astor,Eugene Pallette",100,100
"Frances Goodrich,Albert Hackett","William Powell,Myrna Loy,Virginia Grey",101,101
"William Ludwig,Charles Lederer","William Powell,Myrna Loy,Gail Patrick",102,102
"Lenore J. Coffee,W.E. Woodward","William Powell,Myrna Loy,Una Merkel",103,103
"Irving Brecher,Harry Kurnitz","William Powell,Myrna Loy,Barry Nelson",104,104
"Menahem Golan,Coby Recht","Catherine Mary Stewart,George Gilmour,Grace Kennedy",105,105
"Scott Bindley,Peter Lepeniotis","Jeff Dunham,Joe Pingue,Rob Tinkler",106,106
"Jeffrey Boam,Shane Black","Mel Gibson,Danny Glover,Joe Pesci",107,107
Lem Dobbs,"Terence Stamp,Peter Fonda,Lesley Ann Warren",108,108
Steve Barancik,"Linda Fiorentino,Peter Berg,Bill Pullman",109,109
"Joel Coen,Ethan Coen","Gabriel Byrne,Albert Finney,John Turturro",110,110
"Samuel W. Taylor,John Hughes","Robin Williams,Marcia Gay Harden,Christopher McDonald",111,111
"Casey Robinson,Olive Higgins Prouty","Bette Davis,Paul Henreid,Claude Rains",112,112
"Wendell Mayes,John D. Voelker","James Stewart,Lee Remick,Ben Gazzara",113,113
"Alex Kendrick,Stephen Kendrick","Priscilla C. Shirer,T.C. Stallings,Karen Abercrombie",114,114
"Gregory Widen,Eric Bernt","Christopher Lambert,Adrian Paul,Bruce Payne",115,115
"Nunnally Johnson,John Steinbeck","Henry Fonda,Jane Darwell,John Carradine",116,116
"Lew Wallace,Karl Tunberg","Charlton Heston,Jack Hawkins,Stephen Boyd",117,117
"Michael Wilson,Rod Serling","Charlton Heston,Roddy McDowall,Kim Hunter",118,118
"John William Corrington,Joyce Hooper Corrington","Charlton Heston,Anthony Zerbe,Rosalind Cash",119,119
"Deric Washburn,Michael Cimino","Bruce Dern,Cliff Potts,Ron Rifkin",120,120
"Lawrence Lasker,Walter F. Parkes","Matthew Broderick,Ally Sheedy,John Wood",121,121
"Fede Alvarez,Rodo Sayagues","Jane Levy,Shiloh Fernandez,Jessica Lucas",122,122
"Leigh Whannell,James Wan","Tobin Bell,Shawnee Smith,Angus Macfadyen",123,123
"Glen Morgan,James Wong","Mary Elizabeth Winstead,Ryan Merriman,Kris Lemche",124,124
"Eric Bress,Jeffrey Reddick","Nick Zano,Krista Allen,Andrew Fiscella",125,125
Ken Wiederhorn,"James Karen,Thom Mathews,Michael Kenworthy",126,126
Fred Dekker,"Jason Lively,Tom Atkins,Steve Marshall",127,127
"H.P. Lovecraft,Brian Yuzna","Jeffrey Combs,Barbara Crampton,Ted Sorel",128,128
Mike Flanagan,"Catherine Parker,Courtney Bell,Dave Levine",129,129
"Jonathan Nolan,Christopher Nolan","Christian Bale,Tom Hardy,Anne Hathaway",130,130
"Frank Herbert,David Lynch","Kyle MacLachlan,Virginia Madsen,Francesca Annis",131,131
Christopher Bertolini,"Aaron Eckhart,Michelle Rodriguez,Bridget Moynahan",132,132
Michael Simmons,"Jacqui Holland,Olivia Bellafontaine,Breanne Benson",133,133
Marc Hyman,"Laurence Fishburne,Chris Rock,David Hyde Pierce",134,134
Beverley Cross,"Laurence Olivier,Harry Hamlin,Claire Bloom",135,135
"Sheridan Le Fanu,Harry Fine","Ingrid Pitt,Pippa Steel,Madeline Smith",136,136
Jimmy Sangster,"Peter Cushing,Christopher Lee,Yvonne Furneaux",137,137
"Bram Stoker,Hamilton Deane","Bela Lugosi,Helen Chandler,David Manners",138,138
"James Ashmore Creelman,Ruth Rose","Fay Wray,Robert Armstrong,Bruce Cabot",139,139
Morgan Spurlock,"Morgan Spurlock,Daryl Isaacs,Chemeeka Walker",140,140
"Linda Woolverton,Lewis Carroll","Mia Wasikowska,Johnny Depp,Helena Bonham Carter",141,141
"J.K. Rowling,Steve Kloves","Daniel Radcliffe,Emma Watson,Rupert Grint",142,142
"William Steig,Ted Elliott","Mike Myers,Eddie Murphy,Cameron Diaz",143,143
"Irene Mecchi,Jonathan Roberts","Matthew Broderick,Jeremy Irons,James Earl Jones",144,144
"Linda Woolverton,Roger Allers","Paige O'Hara,Robby Benson,Jesse Corti",145,145
"Tab Murphy,Bob Tzudiker","Tony Goldwyn,Minnie Driver,Brian Blessed",146,146
"Chris Williams,Mark Dindal","David Spade,John Goodman,Eartha Kitt",147,147
"Tab Murphy,Lorne Cameron","Joaquin Phoenix,Jeremy Suarez,Rick Moranis",148,148
"Terry Rossio,Ted Elliott","Kevin Kline,Kenneth Branagh,Rosie Perez",149,149
"Michael J. Wilson,Rob Letterman","Will Smith,Robert De Niro,Renée Zellweger",150,150
"George Miller,John Collee","Elijah Wood,Brittany Murphy,Hugh Jackman",151,151
"John Logan,John Logan","Johnny Depp,Isla Fisher,Timothy Olyphant",152,152
"Phil Lord,Christopher Miller","Anna Faris,Bill Hader,Bruce Campbell",153,153
"Etan Cohen,Eric Darnell","Ben Stiller,Chris Rock,David Schwimmer",154,154
"Ernest Lehman,Arthur Laurents","Natalie Wood,George Chakiris,Richard Beymer",155,155
Paul Mazursky,"Jill Clayburgh,Alan Bates,Michael Murphy",156,156
"Dan Wakefield,James L. Brooks","Burt Reynolds,Jill Clayburgh,Candice Bergen",157,157
"Walter Bernstein,Dan Jenkins","Burt Reynolds,Kris Kristofferson,Jill Clayburgh",158,158
"Tracy Keenan Wynn,Albert S. Ruddy","Burt Reynolds,Eddie Albert,Ed Lauter",159,159
"Elaine May,Warren Beatty","Warren Beatty,James Mason,Julie Christie",160,160
James Toback,"Warren Beatty,Annette Bening,Harvey Keitel",161,161
David Mamet,"Jack Nicholson,Danny DeVito,Armand Assante",162,162
"Friedrich Dürrenmatt,Jerzy Kromolowski","Jack Nicholson,Benicio Del Toro,Patricia Clarkson",163,163
"Albert Hackett,Frances Goodrich","Steve Martin,Diane Keaton,Martin Short",164,164
Steve Martin,"Steve Martin,Victoria Tennant,Richard E. Grant",165,165
"Bruce Jay Friedman,Neil Simon","Steve Martin,Charles Grodin,Judith Ivey",166,166
Dennis Potter,"Steve Martin,Bernadette Peters,Jessica Harper",167,167
"Katherine Leslie Moore,William Rankin,Jo Swerling","Bing Crosby,Madge Evans,Edith Fellows",168,168
"Rex Beach,Lawrence Hazard","Marlene Dietrich,Randolph Scott,John Wayne",169,169
"P.J. Wolfson,Neil H. Swanson","Claire Trevor,John Wayne,George Sanders",170,170
"Albert Sidney Fleischman,Albert Sidney Fleischman","John Wayne,Lauren Bacall,Paul Fix",171,171
"Borden Chase,Æneas MacKenzie","John Wayne,Susan Hayward,Dennis O'Keefe",172,172
"William L. White,Frank Wead","Robert Montgomery,John Wayne,Donna Reed",173,173
Frank S. Nugent,"John Wayne,Henry Fonda,Shirley Temple",174,174
"Glendon Swarthout,Miles Hood Swarthout","John Wayne,Lauren Bacall,Ron Howard",175,175
"William H. Wright,Allan Weiss","John Wayne,Dean Martin,Martha Hyer",176,176
"John Lee Mahin,Martin Rackin","John Wayne,Stewart Granger,Ernie Kovacs",177,177
"Frank S. Nugent,James Edward Grant","John Wayne,Lee Marvin,Elizabeth Allen",178,178
"Leigh Brackett,Harry Kurnitz","John Wayne,Elsa Martinelli,Hardy Krüger",179,179
"Keith R. Clarke,Slavomir Rawicz","Jim Sturgess,Ed Harris,Colin Farrell",180,180
"Olivia Bohnhoff,Katherine Brooks","Erin Kelly,Diane Gaidry,Laura Breckenridge",181,181
Maria Maggenti,"Laurel Holloman,Nicole Ari Parker,Maggie Moore",182,182
"John Kamps,Gavin Scott,John Camps","John Goodman,Jim Broadbent,Mark Williams",183,183
"Rick Kerb,Bill Holderman","Robert Redford,Nick Nolte,Emma Thompson",184,184
Travis Mathews,"Val Lauren,Christian Patrick,James Franco",185,185
"Andrew Smith,Andrew Smith","Madonna,Griffin Dunne,Haviland Morris",186,186
Leora Barish,"Rosanna Arquette,Madonna,Aidan Quinn",187,187
Jordan Mohr,"Michael Abruscato,Katy Baker,Sam Bologna",188,188
"James Jones,John Patrick","Frank Sinatra,Dean Martin,Shirley MacLaine",189,189
Guy Ritchie,"Gerard Butler,Tom Wilkinson,Idris Elba",190,190
Bryan Johnson,"Brian O'Halloran,Bryan Johnson,Jerry Lewkowitz",191,191
Kevin Smith,"Marc Bernardin,Ming Chen,Matt Cohen",192,192
"Kevin Smith,Kevin Smith","Jason Mewes,Kevin Smith,Ben Affleck",193,193
Kevin Smith,"Ben Affleck,Liv Tyler,Raquel Castro",194,194
"Robb Cullen,Mark Cullen","Bruce Willis,Tracy Morgan,Juan Carlos Hernández",195,195
"Kenneth Kit Lamug,Thomas J. Vosicky","Sean Morelli,Ryan Allen,Alex Alzona",196,196
"Amy Andelson,Amy Andelson","Victoria Justice,Pierson Fode,Matthew Daddario",197,197
"Robert Clouse,Robert Clouse","Jackie Chan,Kristine DeBell,José Ferrer",198,198
Richard Di Lello,"Sean Penn,Reni Santoni,Jim Moody",199,199
"Pat Jordan,Michael Kane","Tom Cruise,Lea Thompson,Craig T. Nelson",200,200
"Bob Dolman,Ron Howard","Tom Cruise,Nicole Kidman,Thomas Gibson",201,201
"Jan Fischer,James Jeremias","Jason Patric,Corey Haim,Dianne Wiest",202,202
"Nancy Price,Ronald Bass","Julia Roberts,Patrick Bergin,Kevin Anderson",203,203
"Ryan Murphy,Jennifer Salt","Julia Roberts,Javier Bardem,Richard Jenkins",204,204
"Tom Hanks,Nia Vardalos","Tom Hanks,Julia Roberts,Sarah Mahoney",205,205
Tony Gilroy,"Julia Roberts,Clive Owen,Tom Wilkinson",206,206
Eric Warren Singer,"Clive Owen,Naomi Watts,Armin Mueller-Stahl",207,207
Russell Gewirtz,"Denzel Washington,Clive Owen,Jodie Foster",208,208
"Donald E. Westlake,John Flynn","Robert Duvall,Karen Black,Joe Don Baker",209,209
"John Reese,Howard Rodman","Walter Matthau,Joe Don Baker,Felicia Farr",210,210
"Brian Garfield,Brian Garfield","Walter Matthau,Glenda Jackson,Sam Waterston",211,211
"A.J. Quinnell,Brian Helgeland","Denzel Washington,Christopher Walken,Dakota Fanning",212,212
"Luther Davis,Wally Ferris","Anthony Quinn,Yaphet Kotto,Anthony Franciosa",213,213
Mark Bomback,"Denzel Washington,Chris Pine,Rosario Dawson",214,214
Aaron Guzikowski,"Hugh Jackman,Jake Gyllenhaal,Viola Davis",215,215
"Darren Aronofsky,Darren Aronofsky","Sean Gullette,Mark Margolis,Ben Shenkman",216,216
Amy Schumer,"Amy Schumer,Bill Hader,Brie Larson",217,217
"Lukas Heller,David Zelag Goodman","Lee Marvin,Jeanne Moreau,Jack Palance",218,218
"Frank Kowalski,Sam Peckinpah","Warren Oates,Isela Vega,Robert Webber",219,219
"Charles Willeford,Charles Willeford","Warren Oates,Richard B. Shull,Harry Dean Stanton",220,220
"Arthur J. Beckhard,Cedric Worth","Richard Coogan,Rosemary Pettit,Frank Albertson",221,221
"Maurice Richlin,Blake Edwards","Steve McQueen,Jackie Gleason,Tuesday Weld",222,222
"Richard Jessup,Ring Lardner Jr.","Steve McQueen,Ann-Margret,Edward G. Robinson",223,223
Harry Kleiner,"Steve McQueen,Siegfried Rauch,Elga Andersen",224,224
"Robert Alan Aurthur,Robert Alan Aurthur","James Garner,Eva Marie Saint,Yves Montand",225,225
"Franklin Coen,Frank Davis","Burt Lancaster,Paul Scofield,Jeanne Moreau",226,226
"Edward Anhalt,J.P. Miller","Burt Lancaster,Dina Merrill,Edward Andrews",227,227
William W. Norton,"Burt Lancaster,Shelley Winters,Telly Savalas",228,228
Alan Sharp,"Burt Lancaster,Bruce Davison,Jorge Luke",229,229
Roy Huggins,"Randolph Scott,Donna Reed,Claude Jarman Jr.",230,230
Russell S. Hughes,"Randolph Scott,Lex Barker,Phyllis Kirk",231,231
"John Meehan,Sonya Levien","Greer Garson,Gregory Peck,Donald Crisp",232,232
"Christina Crawford,Frank Yablans","Faye Dunaway,Diana Scarwid,Steve Forrest",233,233
Robert Bloch,"Joan Crawford,Diane Baker,Leif Erickson",234,234
"Sonya Levien,Fred Thompson","Douglas Fairbanks Jr.,Jobyna Ralston,Mildred Harris",235,235
"Rex Beach,Walter Woods","Thomas Meighan,Evelyn Brent,Renée Adorée",236,236
Maya Forbes,"Mark Ruffalo,Zoe Saldana,Imogene Wolodarsky",237,237
"Jeremy Slater,Simon Kinberg","Miles Teller,Kate Mara,Michael B. Jordan",238,238
"Leo Tolstoy,Bernard Rose","Danny Huston,Peter Weller,James Merendino",239,239
David O. Russell,"Jeremy Davies,Alberta Watson,Elizabeth Newett",240,240
"Peter Craig,Ben Affleck","Ben Affleck,Rebecca Hall,Jon Hamm",241,241
"Scot Armstrong,Leslie Dixon","Ben Stiller,Michelle Monaghan,Malin Akerman",242,242
Steven Knight,"Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl",243,243
M. Night Shyamalan,"Mel Gibson,Joaquin Phoenix,Rory Culkin",244,244
"Elmore Leonard,Scott Frank","George Clooney,Jennifer Lopez,Ving Rhames",245,245
"Roy Huggins,William Goldman","Mel Gibson,Jodie Foster,James Garner",246,246
"Danny Boyle,Simon Beaufoy","James Franco,Amber Tamblyn,Kate Mara",247,247
"Todd Walton,Valerie Curtin","John Savage,David Morse,Diana Scarwid",248,248
"Charles B. Wessler,Bennett Yellin","Matt Damon,Greg Kinnear,Eva Mendes",249,249
"Patricia Highsmith,Anthony Minghella","Matt Damon,Gwyneth Paltrow,Jude Law",250,250
"Michael Tolkin,Anthony Minghella","Daniel Day-Lewis,Marion Cotillard,Penélope Cruz",251,251
"Jesús Franco,Sax Rohmer","Christopher Lee,Richard Greene,Howard Marion-Crawford",252,252
"Sax Rohmer,Franklin Adreon","Henry Brandon,William Royle,Robert Kellard",253,253
Ronald Davidson,"George Wallace,Aline Towne,Roy Barcroft",254,254
Jack Lewis,"Marguerite Chapman,Douglas Kennedy,James Griffith",255,255
"Miles Chapman,Jason Keller","Sylvester Stallone,Arnold Schwarzenegger,50 Cent",256,256
"Art Monterastelli,Sylvester Stallone","Sylvester Stallone,Julie Benz,Matthew Marsden",257,257
"David Morrell,Michael Kozoll","Sylvester Stallone,Brian Dennehy,Richard Crenna",258,258
James Mangold,"Sylvester Stallone,Harvey Keitel,Ray Liotta",259,259
"Louisa May Alcott,Robin Swicord","Susan Sarandon,Winona Ryder,Kirsten Dunst",260,260
"Moshe Diamant,Michael Franzese","Tom Benedict Knight,Amanda Fernando Stevens,Robert Ashby",261,261
"Milan Kundera,Jean-Claude Carrière","Daniel Day-Lewis,Juliette Binoche,Lena Olin",262,262
Mark Boal,"Jessica Chastain,Joel Edgerton,Chris Pratt",263,263
"Kristen Davila,Rosanne Flynn","James Franco,Josh Peck,Jason Ritter",264,264
"Martin Owen,Abigail Wright","Mischa Barton,Dave Bautista,Andy Dick",265,265
Eric Hendershot,"Michael Glauser,Brittany Armstrong,Jonathan Cronin",266,266
"William Nicholson,Alain Boublil","Hugh Jackman,Russell Crowe,Anne Hathaway",267,267
Drew Goddard,"Mike Vogel,Jessica Lucas,Lizzy Caplan",268,268
"William Boyd,William Boyd","Daniel Day-Lewis,Harry Dean Stanton,Kent Broadhurst",269,269
"James Fenimore Cooper,Robert Dillon","Wallace Beery,Barbara Bedford,Alan Roscoe",270,270
"Ethelreda Lewis,Dale Van Every","Harry Carey,Edwina Booth,Duncan Renaldo",271,271
"James Fenimore Cooper,Philip Dunne","Randolph Scott,Binnie Barnes,Henry Wilcoxon",272,272
"Dr. God,Ryan Mitts","Fran Kranz,Pedro Pascal,Joey Kern",273,273
"Earl Baldwin,Richard Connell","Edward G. Robinson,Humphrey Bogart,Ann Sothern",274,274
James Fenimore Cooper,"Edna Murphy,Harold Miller,Whitehorse",275,275
"James Fenimore Cooper,Herbert Dalmas","Jon Hall,Michael O'Shea,Evelyn Ankers",276,276
"Anthony DiBlasi,Anthony DiBlasi","Juliana Harkavy,Joshua Mikel,J. LaRose",277,277
"Abdi Nazemian,Micah Schraft","Camilla Belle,Elisha Cuthbert,Edie Falco",278,278
Robert Getchell,"Ellen Burstyn,Kris Kristofferson,Mia Bendixsen",279,279
Melissa Mathison,"Tenzin Thuthob Tsarong,Gyurme Tethong,Tulku Jamyang Kunga Tenzin",280,280
"Nikos Kazantzakis,Paul Schrader","Willem Dafoe,Harvey Keitel,Barbara Hershey",281,281
"Joe Connelly,Paul Schrader","Nicolas Cage,Patricia Arquette,John Goodman",282,282
Paul D. Zimmerman,"Robert De Niro,Jerry Lewis,Diahnne Abbott",283,283
"Earl Mac Rauch,Mardik Martin","Liza Minnelli,Robert De Niro,Lionel Stander",284,284
Alex Holdridge,"Scoot McNairy,Sara Simmonds,Brian McGuire",285,285
"Christopher Hampton,Choderlos de Laclos","Glenn Close,John Malkovich,Michelle Pfeiffer",286,286
Joseph Minion,"Griffin Dunne,Rosanna Arquette,Verna Bloom",287,287
"Stephen King,Raynold Gideon","Wil Wheaton,River Phoenix,Corey Feldman",288,288
"William Monahan,David Ignatius","Leonardo DiCaprio,Russell Crowe,Mark Strong",289,289
"Michael Brandt,Derek Haas","Angelina Jolie,James McAvoy,Morgan Freeman",290,290
"Neil Gaiman,Roger Avary","Ray Winstone,Crispin Glover,Angelina Jolie",291,291
"Alexandre Dumas père,Randall Wallace","Leonardo DiCaprio,Jeremy Irons,John Malkovich",292,292
Jake Kasdan,"David Duchovny,Sigourney Weaver,Ioan Gruffudd",293,293
Quentin Tarantino,"Kurt Russell,Zoë Bell,Rosario Dawson",294,294
Frank Miller,"Mickey Rourke,Clive Owen,Bruce Willis",295,295
M. Night Shyamalan,"Bruce Willis,Haley Joel Osment,Toni Collette",296,296
"Pen Densham,Pen Densham","Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio",297,297
"Nicholas Sparks,Karen Janszen","Mandy Moore,Shane West,Peter Coyote",298,298
"Nicole Eastman,Karen McCullah","Katherine Heigl,Gerard Butler,Bree Turner",299,299
Aline Brosh McKenna,"Katherine Heigl,James Marsden,Malin Akerman",300,300
Chad Gomez Creasey,"Amanda Bynes,Sara Paxton,Matt Long",301,301
"Jon Lucas,Scott Moore","Matthew McConaughey,Jennifer Garner,Emma Stone",302,302
"Katherine Fugate,Katherine Fugate","Julia Roberts,Jamie Foxx,Anne Hathaway",303,303
Adam Brooks,"Ryan Reynolds,Rachel Weisz,Abigail Breslin",304,304
"Billy Wilder,I.A.L. Diamond","Marilyn Monroe,Tony Curtis,Jack Lemmon",305,305
"Adolph Green,Betty Comden","Gene Kelly,Donald O'Connor,Debbie Reynolds",306,306
"Jonathan Hensleigh,Roderick Thorp","Bruce Willis,Jeremy Irons,Samuel L. Jackson",307,307
