beer-name,ounces,original_index,unique_index
Hop Ottin' IPA,12.0 oz,107,106
Boont Amber Ale,12.0 oz.,108,107
Barney Flats Oatmeal Stout,12.0 oz. Alumi-Tek,109,108
El Steinber Dark Lager,16.0 oz,110,109
Boont Amber Ale (2010),12.0 oz.,111,110
Summer Solstice Cerveza Crema (2009),12.0 oz,112,111
Barney Flats Oatmeal Stout (2012),12.0 oz,113,112
Winter Solstice,12.0 ounce,114,113
Hop Ottin' IPA (2011),12.0 ounce,115,114
Boont Amber Ale (2011),12.0 ounce,116,115
Summer Solstice (2011),12.0 oz.,117,116
Poleeko Gold Pale Ale (2009),12.0 oz.,118,117
Charlie's Rye IPA,16.0 ounce,119,118
River Pig Pale Ale,16.0 oz,120,119
Oaky's Oatmeal Stout,16.0 oz.,121,120
Angry Orchard Apple Ginger,16.0 oz.,122,121
Angry Orchard Crisp Apple,16.0 oz.,123,122
Angry Orchard Crisp Apple,12.0 OZ.,124,123
Golden One,12.0 oz.,125,124
Arjuna,12.0 ounce,126,125
Uroboros,12.0 OZ.,127,126
Long Leaf,16.0 oz.,128,127
Honey Badger Blonde,16.0 oz. Alumi-Tek,129,128
Porter (a/k/a Black Gold Porter),16.0 ounce,130,129
Sky High Rye,12.0 oz. Silo Can,131,130
Whitsun,12.0 oz.,132,131
On-On Ale (2008),12.0 oz,133,132
Quakertown Stout,12.0 ounce,134,133
Greenbelt Farmhouse Ale,12.0 oz.,135,134
Mo's Gose,16.0 oz,136,135
Green Bullet Organic India Pale Ale,16.0 oz.,137,136
Rocket Girl,12.0 oz,138,137
Ninja Porter,12.0 oz,139,138
Shiva IPA,12.0 oz.,140,139
Aslan Kölsch,16.0 ounce,141,140
Aslan IPA,16.0 oz. Alumi-Tek,142,141
Aslan Amber,16.0 oz. Silo Can,143,142
This Season's Blonde,12.0 oz.,144,143
Independence Pass Ale,12.0 oz,145,144
Trolley Stop Stout,12.0 oz.,146,145
Bitter Bitch Imperial IPA,12.0 oz.,147,146
Poop Deck Porter,12.0 ounce,148,147
Old Red Beard Amber Ale,12.0 OZ.,149,148
Hop A-Peel,16.0 ounce,150,149
Vanilla Java Porter,16.0 oz.,151,150
Michelada,16.0 oz,152,151
Dirty Blonde Ale,12.0 oz.,153,152
Grand Circus IPA,12.0 oz,154,153
Atwater's Lager,12.0 oz.,155,154
Heavy Machinery IPA Series #1: Heavy Fist,16.0 oz,156,155
Fire Eagle IPA,12.0 OZ.,157,156
Peacemaker,12.0 oz,158,157
Pearl-Snap,12.0 oz.,159,158
Black Thunder,12.0 ounce,160,159
Raja,12.0 oz.,161,160
Perzik Saison,12.0 oz.,162,161
Avery Joe’s Premium American Pilsner,12.0 oz.,163,162
White Rascal,12.0 oz.,164,163
Avery India Pale Ale,12.0 oz,165,164
Ellie’s Brown Ale,12.0 ounce,166,165
Pumpkin Beast,12.0 oz. Alumi-Tek,167,166
OktoberBeast,12.0 oz.,168,167
Mad Beach,12.0 ounce,169,168
Hog Wild India Pale Ale,12.0 oz.,170,169
Devils Tramping Ground Tripel,12.0 oz.,171,170
Hot Rod Red,12.0 ounce,172,171
Palate Mallet,12.0 ounce,173,172
Back East Porter,12.0 oz.,174,173
Back East Golden Ale,12.0 OZ.,175,174
Misty Mountain IPA,12.0 oz.,176,175
Back East Ale,12.0 ounce,177,176
Truck Stop Honey Brown Ale,12.0 ounce,178,177
Naked Pig Pale Ale,12.0 oz,179,178
Topcutter India Pale Ale,12.0 ounce,180,179
Field 41 Pale Ale,12.0 ounce,181,180
Grapefruit Sculpin,12.0 ounce,182,181
Even Keel,12.0 ounce,183,182
Ballast Point Pale Ale,12.0 OZ.,184,183
Big Eye India Pale Ale,12.0 OZ.,185,184
Longfin Lager,12.0 oz,186,185
Sculpin IPA,12.0 oz.,187,186
All Nighter Ale,12.0 oz. Alumi-Tek,188,187
Banner American Rye,12.0 oz,189,188
Banner American Ale,12.0 ounce,190,189
Thai.p.a,16.0 oz,191,190
Barrio Blanco,12.0 oz.,192,191
Barrio Tucson Blonde,12.0 oz,193,192
Hop in the ‘Pool Helles,12.0 oz. Alumi-Tek,194,193
Ultra Gnar Gnar IPA,12.0 oz.,195,194
In-Tents India Pale Lager,12.0 ounce,196,195
Lost Meridian Wit,12.0 oz.,197,196
Celestial Meridian Cascadian Dark Lager,12.0 oz,198,197
Wagon Party,12.0 ounce,199,198
Sky-Five,12.0 oz.,200,199
Stargrazer,12.0 oz.,201,200
Wonderstuff,12.0 oz.,202,201
Tarnation California-Style Lager,12.0 oz,203,202
On the Count of 3 (2015),16.0 oz,204,203
Summer Swelter,12.0 oz,205,204
Phantom Punch Winter Stout,12.0 oz.,206,205
Hayride Autumn Ale,12.0 ounce,207,206
Celsius Summer Ale (2012),12.0 oz.,208,207
Amber Road,12.0 oz.,209,208
Pamola Xtra Pale Ale,12.0 OZ.,210,209
Stowaway IPA,12.0 oz,211,210
Hoptopus Double IPA,16.0 ounce,212,211
Watermelon Ale,12.0 OZ.,213,212
Fenway American Pale Ale,12.0 oz. Alumi-Tek,214,213
Back Bay IPA,12.0 oz.,215,214
Bunker Hill Blueberry Ale,12.0 ounce,216,215
Oberon,12.0 oz,217,216
Smitten,16.0 oz.,218,217
Winter White,16.0 oz.,219,218
Oberon,16.0 oz.,220,219
Two Hearted,16.0 OZ.,221,220
Best Brown,16.0 oz.,222,221
Moar,12.0 oz.,223,222
Uber Lupin Schwarz IPA,16.0 ounce,224,223
Nordic Blonde,12.0 oz.,225,224
Cold Press,12.0 OZ.,226,225
Harness the Winter,12.0 oz.,227,226
14° ESB,12.0 ounce,228,227
Bent Hop Golden IPA,12.0 oz.,229,228
Bent Paddle Black Ale,12.0 oz.,230,229
Venture Pils,12.0 oz.,231,230
Lost Sailor IPA,12.0 ounce,232,231
Steel Rail Extra Pale Ale,12.0 oz,233,232
La Frontera Premium IPA,12.0 oz.,234,233
Tejas Lager,12.0 oz.,235,234
Number 22 Porter,12.0 oz,236,235
Big Bend Hefeweizen,12.0 oz,237,236
Terlingua Gold,12.0 OZ.,238,237
Aprè Shred,16.0 oz. Alumi-Tek,239,238
Hemlock Double IPA,12.0 ounce,240,239
West Portal Colorado Common Summer Ale,16.0 oz.,241,240
Disconnected Red,16.0 oz,242,241
Big Elm IPA,12.0 ounce,243,242
Gerry Dog Stout,12.0 OZ.,244,243
413 Farmhouse Ale,12.0 ounce,245,244
Dark Star,16.0 oz.,246,245
Ryecoe,16.0 ounce,247,246
Blueberry Blonde,12.0 oz.,248,247
Galaxy IPA,16.0 oz.,249,248
Big River Pilsner,12.0 oz.,250,249
House Brand IPA,12.0 oz.,251,250
Big Sky IPA,12.0 ounce,252,251
Scape Goat Pale Ale,12.0 oz,253,252
Montana Trout Slayer Ale,12.0 oz,254,253
Moose Drool Brown Ale,12.0 oz.,255,254
Powder Hound Winter Ale,12.0 oz.,256,255
Moose Drool Brown Ale (2011),12.0 oz.,257,256
Montana Trout Slayer Ale (2012),12.0 oz,258,257
Big Sky IPA (2012),12.0 OZ.,259,258
Summer Honey,12.0 ounce,260,259
Scape Goat Pale Ale (2010),12.0 oz,261,260
Montana Trout Slayer Ale (2009),12.0 oz,262,261
Moose Drool Brown Ale (2009),12.0 oz.,263,262
Arcus IPA,12.0 oz.,264,263
Wavemaker,12.0 ounce,265,264
Jack Pine Savage,16.0 oz,266,265
Forest Fire Imperial Smoked Rye,16.0 ounce,267,266
Bad Axe Imperial IPA,16.0 OZ.,268,267
Morning Wood,16.0 oz.,269,268
Bark Bite IPA,16.0 oz.,270,269
Jalapeno Pale Ale,16.0 ounce,271,270
Blown Out Brown,12.0 oz,272,271
Single Hop Ale,12.0 oz,273,272
Sawtooth Ale,12.0 oz.,274,273
Saucy Intruder,16.0 oz,275,274
Deception,12.0 oz,276,275
Blackmarket Rye IPA,12.0 ounce,277,276
Black Market Hefeweizen,12.0 ounce,278,277
Aftermath Pale Ale,12.0 ounce,279,278
American India Red Ale,12.0 oz,280,279
American Red Porter,12.0 ounce,281,280
American Red Saison,12.0 oz.,282,281
Colorado Red Ale,12.0 oz,283,282
Saddle Bronc Brown Ale,12.0 oz,284,283
Bomber Mountain Amber Ale,12.0 oz,285,284
Flying Sailor,12.0 ounce,286,285
Nordskye,12.0 oz. Alumi-Tek,287,286
North Third Stout,12.0 OZ.,288,287
Honey Lav,12.0 ounce,289,288
Coconut Brown Ale,12.0 ounce,290,289
51K IPA,12.0 oz,291,290
Grand Rabbits,12.0 ounce,292,291
1800 Big Log Wheat (2012),12.0 ounce,293,292
Double Play Pilsner,12.0 oz. Alumi-Tek,294,293
Brewerhood Brown Ale,12.0 oz.,295,294
Last Call Imperial Amber Ale,12.0 oz.,296,295
Pernicious Double IPA,12.0 oz.,297,296
6-4-3 Double Play Pilsner,12.0 oz,298,297
N Street Drive-In 50th Anniversary IPA,12.0 ounce,299,298
467 Ethan's Stout,12.0 ounce,300,299
1335 Wicked Snout,12.0 ounce,301,300
543 Skull Creek Fresh Hopped Pale Ale,12.0 oz.,302,301
1327 Pod's ESB,12.0 oz.,303,302
1327 Pod's ESB,12.0 ounce,304,303
1327 Pod's ESB,12.0 ounce,305,303
834 Happy As Ale,12.0 oz.,306,304
Yellow Collar,12.0 oz.,307,305
Green Collar,12.0 oz,308,306
Quarter Mile Double IPA,12.0 oz,309,307
Full Nelson Pale Ale,12.0 ounce,310,308
Steel Wheels ESB,12.0 oz.,311,309
Blue Mountain Classic Lager,12.0 oz.,312,310
Full Nelson Pale Ale (2010),12.0 ounce,313,311
Kölsch 151,12.0 oz,314,312
Professor Black,12.0 oz.,315,313
Little Boss,12.0 oz.,316,314
Van Dayum!,12.0 oz.,317,315
Spirit Animal,12.0 oz,318,316
Toxic Sludge,16.0 oz. Alumi-Tek,319,317
Blue Point White IPA,12.0 oz.,320,318
Blue Point Summer Ale,12.0 ounce,321,319
Toasted Lager,12.0 ounce,322,320
Bohemian Export Lager,12.0 oz.,323,321
Altus Bohemes Altbier,12.0 oz.,324,322
Cherny Bock,12.0 oz.,325,323
Czech Pilsner,12.0 oz,326,324
Viennese Lager,12.0 oz. Alumi-Tek,327,325
Mad Manatee IPA,12.0 oz,328,326
Killer Whale Cream Ale,12.0 oz. Alumi-Tek,329,327
Duke's Cold Nose Brown Ale,12.0 oz.,330,328
Longhop IPA,16.0 OZ.,331,329
Lucky Buck,16.0 oz.,332,330
Bomb Lager (New Recipe),12.0 oz,333,331
Bomb Lager (Old Recipe),12.0 oz.,334,332
Firestarter India Pale Ale,12.0 ounce,335,333
Kilt Dropper Scotch Ale,16.0 oz.,336,334
Wood Splitter Pilsner,16.0 ounce,337,335
Gyptoberfest,12.0 oz.,338,336
Farmer Wirtz India Pale Ale,16.0 ounce,339,337
Slow & Steady Golden Ale,12.0 oz. Alumi-Tek,340,338
Pink-I Raspberry IPA,16.0 oz. Alumi-Tek,341,339
Moe's Original Bar B Que 'Bama Brew Golden Ale,12.0 oz,342,340
Live Local Golden Ale,12.0 oz,343,341
Screaming Eagle Special Ale ESB,12.0 oz.,344,342
Dirtbag Dunkel,16.0 oz.,345,343
Kindler Pale Ale,12.0 oz.,346,344
Mistress Winter Wheat,12.0 oz.,347,345
Tent Pole Vanilla Porter,16.0 ounce,348,346
Awry Rye Pale Ale,12.0 ounce,349,347
Demshitz Brown Ale,12.0 oz.,350,348
Wood Splitter Pilsner (2012),12.0 ounce,351,349
Brush Creek Blonde,16.0 oz.,352,350
Firestarter India Pale Ale,16.0 ounce,353,351
Noche Dulce,16.0 oz. Alumi-Tek,354,352
Porch Rocker,12.0 ounce,355,353
Rebel IPA,16.0 oz,356,354
Cold Snap,12.0 ounce,357,355
Samuel Adams Winter Lager,12.0 oz.,358,356
Boston Lager,16.0 ounce,359,357
Boston Lager,12.0 oz.,360,358
Samuel Adams Octoberfest,12.0 oz,361,359
Samuel Adams Summer Ale,12.0 oz,362,360
Boston Lager,12.0 oz.,363,358
Hazed & Infused,12.0 oz.,364,361
Hoopla Pale Ale,12.0 ounce,365,362
Hazed & Infused (2010),12.0 oz.,366,363
Heavy Lifting,12.0 oz.,367,364
1492,12.0 oz.,368,365
Mango Ginger,12.0 oz,369,366
Passenger,12.0 ounce,370,367
Plum St. Porter,12.0 oz.,371,368
Plum St. Porter,12.0 ounce,372,369
Bozone HopZone IPA,12.0 ounce,373,370
Bozone Hefe Weizen,12.0 oz.,374,371
Bozone Select Amber Ale,12.0 oz,375,372
Evil Owl,12.0 oz. Alumi-Tek,376,373
Post Time Kölsch,16.0 oz,377,374
Agave Wheat,12.0 oz.,378,375
SummerBright Ale,12.0 ounce,379,376
Lucky U IPA,12.0 ounce,380,377
Avalanche Ale,12.0 oz,381,378
"You're My Boy, Blue",12.0 oz.,382,379
Last Stop IPA,12.0 oz.,383,380
Rollin Dirty Red Ale,12.0 oz.,384,381
Are Wheat There Yet?,12.0 oz,385,382
Insert Hop Reference,16.0 oz.,386,383
Manitou Amber,16.0 ounce,387,384
Belfort,16.0 oz,388,385
Star Runner,16.0 oz.,389,386
Tart Side of the Barrel,16.0 OZ.,390,387
Linnaeus Mango IPA,16.0 oz,391,388
Beasts A'Burnin',16.0 oz.,392,389
Verdun,16.0 oz,393,390
Barrel Aged Triomphe,16.0 oz.,394,391
Cherry Doppelbock,16.0 oz. Alumi-Tek,395,392
Tropical Saison,16.0 oz,396,393
Beach Patrol,16.0 oz.,397,394
Nuit Serpent,16.0 oz,398,395
Paris,16.0 ounce,399,396
The Grand Army,16.0 oz.,400,397
Acidulated Trip,16.0 OZ.,401,398
Root Stock,16.0 ounce,402,399
Mind Games,16.0 oz.,403,400
Sous Chef,16.0 oz.,404,401
Dubbelicious,16.0 oz.,405,402
Psychopomp,16.0 oz. Silo Can,406,403
Fat Paczki,16.0 oz.,407,404
Earth-Like Planets,16.0 oz,408,405
Ski Patrol,16.0 ounce,409,406
Viking Ice Hole,16.0 oz.,410,407
Rye Porter,16.0 oz,411,408
Wizard Burial Ground,16.0 oz,412,409
Smoky Wheat,16.0 oz.,413,410
BRIPA,16.0 oz.,414,411
Mela,16.0 oz.,415,412
W.I.P.A Snappa,16.0 oz.,416,413
Pepper in the Rye,16.0 oz.,417,414
Moe Lasses',16.0 ounce,418,415
Pumpkin Tart,16.0 oz.,419,416
Undertaker,16.0 oz.,420,417
Undertaker (2014),16.0 oz,421,418
Coq D'Or,16.0 oz,422,419
North French,16.0 ounce,423,420
Agent a Deux,16.0 oz,424,421
Belgian Wit,16.0 oz.,425,422
Pothole Stout,16.0 oz,426,423
Tree Bucket,16.0 oz. Alumi-Tek,427,424
Le Flaneur Ale,16.0 ounce,428,425
Maize & Blueberry,16.0 oz.,429,426
Trebuchet Double IPA,16.0 oz,430,427
Contemplation,16.0 ounce,431,428
Black Rabbit,16.0 ounce,432,429
Zaison,16.0 oz,433,430
Vivant Tripel,16.0 oz.,434,431
Tart Side of the Moon,16.0 ounce,435,432
Big Red Coq,16.0 oz.,436,433
Hubris Quadrupel Anniversary Ale,16.0 OZ.,437,434
Plow Horse Belgian Style Imperial Stout,16.0 oz,438,435
Escoffier Bretta Ale,16.0 oz.,439,436
Contemplation (2012),16.0 oz,440,437
Vivant Belgian Style Imperial Stout (2012),16.0 ounce,441,438
Big Red Coq (2012),16.0 oz.,442,439
Zaison (2012),16.0 oz.,443,440
Vivant Tripel (2012),16.0 oz,444,441
Trebuchet Double IPA (2012),16.0 oz,445,442
Kludde,16.0 oz. Alumi-Tek,446,443
Farm Hand,16.0 oz.,447,444
Solitude,16.0 oz.,448,445
Triomphe,16.0 oz,449,446
Tampa Pale Ale,12.0 oz.,450,447
Orange Grove Wheat Ale,12.0 oz.,451,448
Broad Brook Ale,16.0 oz,452,449
Northern Lights Amber Ale,12.0 oz.,453,450
Polar Pale Ale,12.0 oz. Alumi-Tek,454,451
Chugach Session Ale,12.0 oz.,455,452
Fairweather IPA,12.0 oz.,456,453
East India Pale Ale,16.0 oz,457,454
Brooklyn Summer Ale,12.0 ounce,458,455
East India Pale Ale,12.0 oz.,459,456
Brooklyn Summer Ale (2011),12.0 OZ.,460,457
Brooklyn Lager (16 oz.),16.0 oz.,461,458
Brooklyn Lager (12 oz.),12.0 oz. Alumi-Tek,462,459
Tour de Nez Belgian IPA (Current),16.0 oz,463,460
Roler Bock (Current),16.0 oz. Alumi-Tek,464,461
Black Adder IBA (Current),16.0 oz.,465,462
Very Noddy Lager (Current),16.0 oz,466,463
Tule Duck Red Ale (Current),16.0 oz,467,464
Original Orange Blossom Ale (Current),16.0 oz.,468,465
Black Noddy Lager (Current),16.0 oz.,469,466
Cleveland Beer Week 2013,16.0 ounce,470,467
Painted Turtle,12.0 oz.,471,468
1836,12.0 oz.,472,469
Summer's Wit,12.0 oz,473,470
More Cowbell,16.0 ounce,474,471
Wrath of Pele,16.0 OZ.,475,472
Black Beer'd,16.0 oz,476,473
Mr. Tea,24.0 oz.,477,474
Pale Alement,12.0 oz,478,475
Hopkick Dropkick,12.0 ounce,479,476
Kreamed Corn,12.0 oz.,480,477
Coconoats,16.0 oz.,481,478
Joey Wheat,16.0 ounce,482,479
3:33 Black IPA,16.0 oz,483,480
MCA,16.0 oz,484,481
Pale Alement,16.0 oz,485,482
Couch Select Lager,12.0 oz,486,483
Mucho Aloha Hawaiian Pale Ale,12.0 ounce,487,484
Heinnieweisse Weissebier,12.0 ounce,488,485
Snapperhead IPA,12.0 oz.,489,486
Moo Thunder Stout,12.0 oz,490,487
Porkslap Pale Ale,12.0 ounce,491,488
Blackbeard,12.0 ounce,492,489
Rye Knot,12.0 oz. Alumi-Tek,493,490
Dead Arm,12.0 oz.,494,491
32°/50° Kölsch,16.0 oz.,495,492
HopArt,16.0 oz.,496,493
Boy King,16.0 oz.,497,494
Gran Sport,16.0 ounce,498,495
Horny Toad Cerveza,16.0 oz,499,496
Native Amber,16.0 oz.,500,497
F5 IPA,16.0 oz,501,498
Native Amber (2013),16.0 OZ.,502,499
Horny Toad Cerveza (2013),16.0 ounce,503,500
Hopportunity Knocks IPA,12.0 ounce,504,501
Pilot Rock Porter,12.0 ounce,505,502
Caldera Pale Ale,12.0 oz.,506,503
Lawnmower Lager,12.0 oz,507,504
Ashland Amber Ale (2009),12.0 ounce,508,505
Caldera IPA (2009),12.0 oz,509,506
Caldera IPA (2007),12.0 OZ.,510,507
Caldera Pale Ale (2010),12.0 oz,511,508
Caldera Pale Ale (2009),12.0 ounce,512,509
Caldera Pale Ale (2005),12.0 oz.,513,510
Caldera Pale Ale (2007),12.0 ounce,514,511
Caldera Pale Ale (2011),12.0 oz.,515,512
Ashland Amber Ale,12.0 oz. Alumi-Tek,516,513
Caldera IPA,12.0 oz,517,514
Remain in Light,12.0 oz.,518,515
Flower Child (2014),12.0 oz.,519,516
THP White (2006),12.0 oz,520,517
THP Amber (2006),12.0 ounce,521,518
THP Light (2006),12.0 oz. Alumi-Tek,522,519
THP Dark (2006),12.0 oz.,523,520
Imperial Pumpkin Stout,16.0 oz.,524,521
Dead-Eye DIPA,16.0 oz.,525,522
Fisherman's IPA,12.0 oz,526,523
Fisherman's Pils,12.0 oz.,527,524
Fisherman's Brew,12.0 ounce,528,525
Cape Cod Red,16.0 oz.,529,526
Beach Blonde,16.0 oz.,530,527
Dark Voyage Black IPA (2013),12.0 oz,531,528
Wisconsin Amber,12.0 ounce,532,529
Lake House,12.0 oz.,533,530
Ghost Ship White IPA,12.0 ounce,534,531
Lake House,16.0 OZ.,535,532
Mutiny IPA,12.0 oz.,536,533
Wisconsin Amber (1998),12.0 ounce,537,534
Island Wheat,12.0 oz.,538,535
Wisconsin Amber (2013),12.0 ounce,539,536
U.S. Pale Ale,12.0 ounce,540,537
Supper Club Lager,12.0 ounce,541,538
Carolina Lighthouse (2007),12.0 ounce,542,539
Carolina Blonde (2006),12.0 ounce,543,540
Carolina Blonde Light (2005),12.0 oz,544,541
Santa's Secret,16.0 oz,545,542
Flagship IPA,12.0 oz.,546,543
Sky Blue Golden Ale,12.0 oz.,547,544
Epitome,16.0 oz.,548,545
Monkey Chased the Weasel,16.0 ounce,549,546
077XX,16.0 oz,550,547
Boat Beer,12.0 oz.,551,548
Granny Smith Hard Apple Cider,16.0 oz.,552,549
Dry Hard Apple Cider,16.0 oz,553,550
Farmer Ted's Cream Ale,12.0 oz,554,551
Firewater India Pale Ale,12.0 ounce,555,552
White Zombie Ale,12.0 oz.,556,553
King Winterbolt Winter Ale,12.0 oz. Alumi-Tek,557,554
White Zombie Ale,12.0 OZ.,558,555
Firewater India Pale Ale,12.0 oz.,559,556
Farmer Ted's Farmhouse Cream Ale,12.0 oz.,560,557
Whitecap Wit,16.0 ounce,561,558
Seiche Scottish Ale,16.0 OZ.,562,559
Peanut Butter Jelly Time,12.0 oz,563,560
King Coconut,12.0 oz,564,561
Gone A-Rye,16.0 oz.,565,562
Special Release,16.0 oz.,566,563
Dankosaurus,16.0 oz,567,564
Scruffy's Smoked Alt,16.0 oz.,568,565
Elliott's Phoned Home Pale Ale,16.0 oz,569,566
The Lawn Ranger,16.0 oz.,570,567
All American Blonde Ale,12.0 ounce,571,568
All American Red Ale,12.0 oz,572,569
Main St. Virginia Ale,12.0 ounce,573,570
Chin Music Amber Lager,12.0 oz. Alumi-Tek,574,571
Main St. Virginia Ale,12.0 ounce,575,570
Ray Ray’s Pale Ale,12.0 OZ.,576,572
Chai Ale,16.0 oz,577,573
Lucky Day IPA,16.0 oz.,578,574
Terrace Hill Double IPA,16.0 oz.,579,575
Catch 23,16.0 oz,580,576
Stickin' In My Rye,24.0 oz,581,577
Black Me Stout,12.0 OZ.,582,578
Killer Kolsch,12.0 oz,583,579
Missile IPA,12.0 oz,584,580
Enlighten,16.0 oz. Alumi-Tek,585,581
Ale Cider,16.0 oz. Alumi-Tek,586,582
Pail Ale,16.0 oz.,587,583
Englishman,16.0 oz.,588,584
8 Barrel,16.0 ounce,589,585
Oktoberfest,16.0 ounce,590,586
IPA #11,16.0 oz,591,587
Blood Orange Honey,16.0 oz.,592,588
Lighthouse Amber,16.0 ounce,593,589
Bay of Bengal Double IPA (2014),12.0 oz.,594,590
Churchkey Pilsner Style Beer,12.0 oz,595,591
First Press,12.0 oz.,596,592
Magic Apple,12.0 ounce,597,593
Cubano Espresso,12.0 oz.,598,594
Operation Homefront,12.0 oz,599,595
Wandering Pelican,12.0 oz.,600,596
Sugar Plum,12.0 oz,601,597
Oktoberfest,12.0 oz.,602,598
Puppy's Breath Porter,12.0 oz.,603,599
Happening Now,12.0 oz. Alumi-Tek,604,600
Hopped on the High Seas (Hop #529),12.0 oz. Silo Can,605,601
Hopped on the High Seas (Calypso),12.0 ounce,606,602
Wiregrass Post-Prohibition Ale,12.0 oz. Alumi-Tek,607,603
Dry-Hopped On The High Seas Caribbean-Style IPA,12.0 oz.,608,604
Hopped on the High Seas (Citra),12.0 ounce,609,605
Hopped on the High Seas (Ahtanum),12.0 oz.,610,606
Gwar Beer,12.0 oz.,611,607
Tropical Heatwave,16.0 oz,612,608
Humidor Series India Pale Ale,12.0 oz,613,609
Jai Alai IPA Aged on White Oak,12.0 ounce,614,610
