HospitalName,Address1,original_index,unique_index
marshall medical center south,2505xuxsxhighwayx431xnorth,57,5
marshall medical center south,2505 u s highway 431 north,58,4
marshall medical center south,2505 u s highway 431 north,59,4
marshall medical center south,2505 u s highway 431 north,60,4
marshall medical center south,2505 u s highway 431 north,61,4
marshall medical center south,2505 u s highway 431 north,62,4
marshall medical center south,2505 u s highway 431 north,63,4
marshall medical center south,2505 u s highway 431 north,64,4
marshall medical center south,2505 u s highway 431 north,65,4
marshall medical center south,2505 u s highway 431 north,66,4
marshall medical center south,2505 u s highway 431 north,67,4
marshall medical center south,2505 u s highway 431 north,68,4
eliza coffee memorial hospital,205 marengo street,69,6
eliza coffee memorial hospital,205 marengo street,70,6
eliza coffee memorial hospital,205 marengo street,71,6
eliza coffee memorial hospital,205 marengo street,72,6
eliza coffee memorial hospital,205 marengo street,73,6
eliza coffee memorial hospital,205 marengo street,74,6
eliza coffee memorial hospital,205 marengo street,75,6
eliza coffee memorial hospital,205 marengo street,76,6
eliza coffee memorial hospital,205 marengo street,77,6
eliza coffee memorial hospital,205 marengo street,78,6
eliza coffee memorial hospital,205 marengo street,79,6
eliza coffee memorial hospital,205 marengo street,80,6
eliza coffee memorial hospital,205 marengo street,81,6
eliza coffee memorial hospital,205 marengo street,82,6
eliza coffee memorial hospital,205 marengo street,83,6
eliza coffee memorial hospital,205 marengo street,84,6
eliza coffee memorial hospital,205 marengo street,85,6
eliza coffee memorial hospital,205 marengo street,86,6
eliza coffee memorial hospital,205 marengo street,87,6
eliza coffee memorial hospital,205 marengo street,88,6
eliza coffee memorial hospital,205 marengo street,89,6
eliza coffee memorial hospital,205 marengo street,90,6
eliza coffee memorial hospital,205 marengo street,91,6
eliza coffee memorial hospital,205 marengo street,92,6
eliza coffee memorial hospital,205 marengo street,93,6
mizell memorial hospital,702xnxmainxst,94,7
mizell memorial hospital,702 n main st,95,8
mizell memorial hospital,702 n main st,96,8
mizell memorial hospital,702 n main st,97,8
mizell memorial hospital,702 n main st,98,8
mizell memorial hospital,702 n main st,99,8
mizell memorial hospital,702 n main st,100,8
mizell memorial hospital,702 n main st,101,8
mizell memorial hospital,702 n main st,102,8
mizell memorial hospital,702 n main st,103,8
mizell memorial hospital,702 n main st,104,8
mizell memorial hospital,702 n main st,105,8
mizell memorial hospital,702 x maix st,106,9
mizell memorial hospital,702 n main st,107,8
mizell memorial hospital,702 n main st,108,8
mizell memorial hospital,702 n main st,109,8
mizell memorial hospital,702 n main st,110,8
mizell memorial hospital,702 n main st,111,8
mizell memorial hospital,702 n main st,112,8
mizell memorial hospital,702 n main st,113,8
mizell memorial hospital,702 n main st,114,8
mizell memorial hospital,702 n main st,115,8
mizell memorial hospital,702 n main st,116,8
mizell memorial hospital,702 n main st,117,8
mizell memorial hospital,702 n main st,118,8
crenshaw community hospital,101 hospital circle,119,10
crenshaw community hospital,101 hospital circle,120,10
crenshaw community hospital,101 hospital circle,121,10
crenshaw community hospital,101 hospital circle,122,10
crenshaw community hospital,101 hospital circle,123,10
crenshaw community hospital,101 hospital circle,124,10
crenshaw community hospital,101 hospital circle,125,10
crenshaw community hospital,101 hospital circle,126,10
crenshaw community hospital,101 hospital circle,127,10
crenshaw community hospital,101 hospital circle,128,10
crenshaw community hospital,101 hospital circle,129,10
crenshaw community hospital,101 hospital circle,130,10
crenshaw cxmmunity hxspital,101 hospital circle,131,11
crenshaw community hospital,101 hospital circle,132,10
crenshaw community hospital,101 hospital circle,133,10
crenshaw community hospital,101 hospital circle,134,10
crenshaw community hospital,101 hospital circle,135,10
crenshaw community hospital,101 hospital circle,136,10
crenshaw community hospital,101 hospital circle,137,10
crenshaw community hospital,101 hospital circle,138,10
crenshaw community hospital,101 hospital circle,139,10
crenshaw community hospital,101 hospital circle,140,10
crenshaw community hospital,101 hospital circle,141,10
crenshaw community hospital,101 hospital circle,142,10
crenshaw community hospital,101 hospital circle,143,10
hartselle medical center,201 pine street northwest,144,12
hartselle medical center,201 pine street northwest,145,12
hartselle medical center,201 pine street northwest,146,12
hartselle medical center,201 pine street northwest,147,12
hartselle medical center,201 pine street northwest,148,12
hartselle medical center,201 pine street northwest,149,12
hartselle medical center,201 pine street northwest,150,12
hartselle medical center,201 pine street northwest,151,12
hartselle medical center,201 pine street northwest,152,12
hartselle medical center,201 pine street northwest,153,12
hartselle medical center,201 pine street northwest,154,12
hartselle medical center,201 pine street northwest,155,12
hartselle medical center,201 pine street northwest,156,12
hartselle medical center,201 pine street northwest,157,12
hartselle medical center,201 pine street northwest,158,12
hartselle medical center,201 pine street northwest,159,12
hartselle medical center,201 pine street northwest,160,12
hartselle medical center,201 pine sxreex norxhwesx,161,13
hartselle medical center,201 pine street northwest,162,12
hartselle medical center,201 pine street northwest,163,12
hartselle medical center,201 pine street northwest,164,12
hartselle medical center,201 pine street northwest,165,12
hartselle medical center,201 pine street northwest,166,12
hartselle medical center,201 pine street northwest,167,12
hartselle medical center,201 pine street northwest,168,12
marshall medical center north,8000 alabama highway 69,169,14
marshall medical center north,8000 alabama highway 69,170,14
marshall medical cenxer norxh,8000 alabama highway 69,171,15
marshall medical center north,8000 alabama highway 69,172,14
marshall medical center north,8000 alabama highway 69,173,14
marshall medical center north,8000 alabama highway 69,174,14
marshall medical center north,8000 alabama xigxway 69,175,16
marshall medical center north,8000 alabama highway 69,176,14
marshall medical center north,8000 alabama highway 69,177,14
marshall medical center north,8000 alabama highway 69,178,14
marshall medical center north,8000 alabama highway 69,179,14
marshall medical center north,8000 alabama highway 69,180,14
marshall medical center north,8000 alabama highway 69,181,14
marshall medical center north,8000 alabama highway 69,182,14
marshall medical center north,8000 alabama highway 69,183,14
marshall medical center north,8000 alabama highway 69,184,14
marshall medical center north,8000 alabama highway 69,185,14
marshall medical center north,8000 alabama highway 69,186,14
marshall medical center north,8000 alabama highway 69,187,14
marshall medical center north,8000 alabama highway 69,188,14
marshall medical center north,8000 alabama highway 69,189,14
marshall medical center north,8000 alabama highway 69,190,14
marshall medical center north,8000 alabama highway 69,191,14
marshall medical center north,8000 alabama highway 69,192,14
marshall medical center north,8000 alabama highway 69,193,14
st vincents east,50 medical park east drive,194,17
st vincents east,50 medical park east drive,195,17
st vincents east,50 medical park east drive,196,17
st vincents east,50 medical park east drive,197,17
st vincents east,50 medical park east drive,198,17
st vincents east,50 medical park east drive,199,17
st vincents east,50 medical park east drive,200,17
st vincents east,50 medical park east drive,201,17
st vincents east,50 medical park east drive,202,17
st vincents east,50 medical park east drive,203,17
st vincents east,50 medical park east drive,204,17
st vincents east,50 medical park east drive,205,17
st vincents east,50 medical park east drive,206,17
st vincents east,50 medical park east drive,207,17
st vincents east,50 medical park east drive,208,17
st vincents east,50 medical park east drive,209,17
st vincents east,50 medical park east drive,210,17
st vincents east,50 medical park east drive,211,17
st vincents east,50 medical park east drive,212,17
st vincents east,50 medical park east drive,213,17
st vincents east,50 medical park east drive,214,17
st vincents east,50 medical park east drive,215,17
st vincents east,50 medical park east drive,216,17
st vincents east,50 medical park east drive,217,17
st vincents east,50 medical park east drive,218,17
dekalb regional medical center,200 med center drive,219,18
dekalb regional medical center,200 med center drive,220,18
dekalb regional medical center,200 med center drive,221,18
dekalb regional medical center,200 med center drive,222,18
dekalb regional medical center,200 med center drive,223,18
dekalb regional medical center,200 med center drive,224,18
dekalb regional medical center,200 med center drive,225,18
dekalb regional medical center,200 med center drive,226,18
dekalb regional medical center,200 med center drive,227,18
dekalb regional medical center,200 med center drive,228,18
dekalb regional medical center,200 med center drive,229,18
dekalb regional medical center,200 med center drive,230,18
dekalb regional medical center,200 med center drive,231,18
dekalb regional medical center,200 med center drive,232,18
dekalb regional medical center,200 med center drive,233,18
dekalb regional medical center,200 med center drive,234,18
dekalb regional medical center,200 med center drive,235,18
dekalb regional medical center,200 med center drive,236,18
dekalb regional medical center,200 med center drive,237,18
dekalb regional medical center,200 med center drive,238,18
dekalb regional medical center,200 med center drive,239,18
dekalb regional medical center,200 med center drive,240,18
dekalb regional medical center,200 med center drive,241,18
dekalb regional medical center,200 med center drive,242,18
dexalb regional medical center,200 med center drive,243,19
southwest alabama medical center,33700 highway 43,244,20
southwest alabama medical center,33700 highway 43,245,20
southwest alabama medical center,33700 highway 43,246,20
southwest alabama medical center,33700 highway 43,247,20
southwest alabama medical center,33700 highway 43,248,20
southwest alabama medical center,33700 highway 43,249,20
southwest alabama medical center,33700 highway 43,250,20
southwest alabama medical center,33700 highway 43,251,20
southwest alabama medical center,33700 highway 43,252,20
southwest alabama medical center,33700 highway 43,253,20
southwest alabama medical center,33700 highway 43,254,20
southwest alabama medical center,33700 highway 43,255,20
southwest alabama medical center,33700 highway 43,256,20
southwest alabama medical center,33700 highway 43,257,20
southwest alabama medical center,33700 highway 43,258,20
southwest alabama medical center,33700 highway 43,259,20
southwest alabama medical center,33700 hxghway 43,260,21
southwest alabama medical center,33700 highway 43,261,20
southwest alabama medical center,33700 highway 43,262,20
southwest alabama medical center,33700 highway 43,263,20
southwest alabama medical center,33700 highway x3,264,22
southwest alabama medical center,33700 highway 43,265,20
southwest alabama medical center,33700 highway 43,266,20
southwest alabama medical center,33700 highway 43,267,20
southwest alabama medical center,33700 highway 43,268,20
shelby baptist medical center,1000 first street north,269,23
shelby baptist medical center,1000 first street north,270,23
shelby baptist medical center,1000 first street north,271,23
shelby baptist medical center,1000 first street north,272,23
shelby baptist medical center,1000 first street north,273,23
shelby baptist medical center,1000 first street north,274,23
shelby baptist medical center,1000 fixst stxeet noxth,275,24
shelby baptist medical center,1000 first street north,276,23
shelby baptist medical center,1000 first street north,277,23
shelby baptist medical center,1000 first street north,278,23
shelby baptist medical center,1000 first street north,279,23
shelby baptist medical center,1000 first street north,280,23
shelby baptist medical center,1000 first street north,281,23
shelby baptist medical center,1000 first street north,282,23
shelby baptist medical center,1000 first street north,283,23
shelby baptist medical center,1000 first street north,284,23
shelby baptist medical center,1000 first street north,285,23
shelby baptist medical center,1000 first street north,286,23
shelby baptist medical center,1000 first street north,287,23
shelby baptist medical center,1000 first street north,288,23
shelby baptist medical center,1000 first street north,289,23
shelby baptist medical center,1000 first street north,290,23
shelby baptist medical center,1000 first street north,291,23
shelby baptist medical center,1000 first street north,292,23
shelby baptist medical center,1000 first street north,293,23
callahan eye foundation hospital,1720 university blvd,294,0
callahan eye foundation hospital,1720 univxrsity blvd,295,25
callahan eye foundation hospital,1720 university blvd,296,0
callahan eye foundation hospital,1720 university blvd,297,0
callahan eye foundation hospital,1720 university blvd,298,0
callahan eye foundation hospital,1720 university blvd,299,0
callahan eye foundation hospital,1720 university blvd,300,0
callahan eye foundation hospital,1720 university blvd,301,0
callahan eye foundation hospital,1720 university blvd,302,0
callahan eye foundation hospital,1720 university blvd,303,0
callahan eye foundation hospital,1720 university blvd,304,0
callahan eye foundation hospital,1720 university blvd,305,0
callahan eye foundation hospital,1720 university blvd,306,0
callahan eye foundation hospital,1720 university blvd,307,0
callahan eye foundation hospital,1720 university blvd,308,0
callahan eye foundation hospital,1720 university blvd,309,0
callahan eye foundation hospital,1720 university blvd,310,0
stringfellow memorial hospital,301 east 18th st,311,26
stringfellow memorial hospital,301 east 18th st,312,26
stringfellow memorial hospital,301 east 18th st,313,26
stringfellow memorial hospital,301 east 18th st,314,26
stringfellow memorial hospital,301 east 18th st,315,26
stringfellow memorial hospital,301xeastx18thxst,316,27
stringfellow memorial hospital,301 east 18th st,317,26
stringfellow memorial hospital,301 east 18th st,318,26
stringfellow memorial hospital,301 east 18th st,319,26
stringfellow memorial hospital,301 east 18th st,320,26
stringfellow memorial hospital,301 east 18th st,321,26
stringfellow memorial hospital,301 east 18th st,322,26
stringfellow memorial hospital,301 east 18th st,323,26
stringfellow memorial hospital,301 east 18th st,324,26
stringfellow memorial hospital,301 east 18th st,325,26
stringfellow memorial hospital,301 east 18th st,326,26
stringfellow memorial hospital,301 east 18th st,327,26
stringfellow memorial hospital,301 east 18th st,328,26
stringfellow memorial hospital,301 east 18th st,329,26
stringfellow memorial hospital,301 east 18th st,330,26
flowers hospital,4370 west main street,331,28
flowers hospital,4370 west main street,332,28
flowers hospital,4370 west main street,333,28
flowers hospital,4370xwestxmainxstreet,334,29
flowers hospital,4370 west main street,335,28
flowers hospital,4370 west main street,336,28
floxers hospital,4370 west main street,337,30
flowers hospital,4370 west main street,338,28
flowers hospital,4370 west main street,339,28
flowers hospital,4370 west main street,340,28
flowers hospital,4370 west main street,341,28
flowers hospital,4370 west main street,342,28
flowers hospital,4370 west main street,343,28
flowers hospital,4370 west main street,344,28
flowers hospital,4370 west main street,345,28
flowers hospital,4370 west main street,346,28
flowers hospital,4370 west main street,347,28
st vincents hospital,810 st vincents drive,348,31
st vincents hospital,810 st vincents drive,349,31
st vincents hospital,810 st vxncents drxve,350,32
st vincents hospital,810 st vincents drive,351,31
st vincents hospital,810 st vincents drive,352,31
decatur general hospital,1201 7th street se,353,33
northwest medical center,1530 u s highway 43,354,34
northwest medical center,1530 u s highway 43,355,34
northwest medical center,1530 u s highway 43,356,34
northwest medical center,1530 u s highway 43,357,34
northwest medical center,1530 u s highway 43,358,34
northwest medical center,1530 u s highway 43,359,34
northwest medical center,1530 u s highway 43,360,34
northwest medical center,1530 u s highway 43,361,34
northwest medical center,1530 u s highway 43,362,34
northwest medical center,1530xuxsxhighwayx43,363,35
northwest medical center,1530 u s highway 43,364,34
northwest medical center,1530 u s highway 43,365,34
northwest medical center,1530 u s highway 43,366,34
northwest medical center,1530 u s highway 43,367,34
northwest medical center,1530 u s highway 43,368,34
northwest medical center,1530 u s highway 43,369,34
northwest medical center,1530 u s highway 43,370,34
northwest medical center,1530 u s highway 43,371,34
northwest medical center,1530 u s highway 43,372,34
northwest medical center,1530 u s highway 43,373,34
northwest medical center,1530 u s highway 43,374,34
northwest medical center,1530 u s highway 43,375,34
northwest medical center,1530 u s highway 43,376,34
northwest medical center,1530 u s highway 43,377,34
northwest medical center,1530 u s highway 43,378,34
univ of south alabama medical center,2451 fillingim street,379,36
univ of south alabama medical center,2451 fillingim street,380,36
univ of south alabama medical center,2451 fillingim street,381,36
univ of south alabama medical center,2451 fillingim street,382,36
univ of south alabama medical center,2451 fillingim street,383,36
univ ox south alabama medical center,2451 fillingim street,384,37
xniv of soxth alabama medical center,2451 fillingim street,385,38
univ of south alabama medical center,2451 fillingim street,386,36
univ of south alabama medical center,2451 fillingim street,387,36
univ of south alabama medical center,2451 fillingim street,388,36
univ of south alabama medical center,2451 fillingim street,389,36
univ of south alabama medical center,2451 fillingim street,390,36
univ of south alabama medical center,2451 fillingim street,391,36
prattville baptist hospital,124 s memorial dr,392,39
prattville baptist hospital,124xsxmemorialxdr,393,40
prattville baptist hospital,124 s memorial dr,394,39
prattville baptist hospital,124 s memorial dr,395,39
prattville baptist hospital,124 s memorial dr,396,39
prattville baptist hospital,124 s memorial dr,397,39
prattville baptist hospital,124 s memorial dr,398,39
prattville baptist hospital,124 s memorial dr,399,39
prattville baptist hospital,124 s memorial dr,400,39
prattville baptist hospital,124 s memorial dr,401,39
prattville baptist hospital,124 s memorial dr,402,39
prattville baptist hospital,124 s memorial dr,403,39
prattville baptist hospital,124 s memorial dr,404,39
prattville baptist hospital,124 s memorial dr,405,39
prattville baptist hospital,124 s memorial dr,406,39
prattville baptist hospital,124 s memorial dr,407,39
prattville baptist hospital,124 s memorial dr,408,39
prattville baptist hospital,124 s memorial dr,409,39
prattville baptist hospital,124 s memorial dr,410,39
prattville baptist hospital,124 s mxmorial dr,411,41
russellville hospital,15155 highway 43,412,42
russellville hospital,15155 highway 43,413,42
coosa valley medical center,315 w hickory st,414,43
coosa valley medical center,315 w hickxry st,415,44
coosa valley medical center,315 w hickory st,416,43
coosa valley medical center,315 w hickory st,417,43
coosa valley medical center,315 w hickory st,418,43
coosa valley medical center,315 w hickory st,419,43
coosa valley medical center,315 w hickory st,420,43
coosa valley medical center,315 w hickory st,421,43
coosa valley medical center,315 w hickory st,422,43
coosa valley medical center,315 w hickory st,423,43
coosa valley medical center,315 w hickory st,424,43
coosa valley medical center,315 w hickory st,425,43
coosa valley medical center,315 w hickory st,426,43
coosa valley medical center,315 w hickory st,427,43
coosa valley medical center,315 w hickory st,428,43
coosa valley medical center,315 w hickory st,429,43
coosa valley medical center,315 w hickory st,430,43
coosa valley medical center,315xwxhickoryxst,431,45
alaska regional hospital,2801 debarr road,432,46
alaska regional hospital,2801 debarr road,433,46
alaska regional hospital,2801 debarr road,434,46
alaska regional hospital,2801 debarr road,435,46
alaska regional hospital,2801 debarr road,436,46
alaska regional hospital,2801 debarr road,437,46
alaska regional hospital,2801 debarr road,438,46
alaska regional hospital,2801 debarr road,439,46
alaska regional hospital,2801 debarr road,440,46
alaska regional hospital,2801 debarr road,441,46
alaska regional hospital,2801 debarr road,442,46
alaska regional hospital,2801 debarr road,443,46
alaska regional hospital,2801 debarr road,444,46
alaska regional hospital,2801 debarr road,445,46
alaska regional hospital,2801 debarr road,446,46
alaska regional hospital,2801 debarr road,447,46
xlxskx regionxl hospitxl,2801 debarr road,448,47
alaska regional hospital,2801 debarr road,449,46
yukon kuskokwim delta reg hospital,po box 287,450,48
yukon kuskokwim delta reg hospital,poxboxx287,451,49
helen keller memorial hospital,1300 south montgomery avenue,452,1
helen keller memorial hospital,1300 south montgomery avenue,453,1
helen keller memorial hospital,1300 south montgomery avenue,454,1
helen keller memorial hospital,1300 south montgomery avenue,455,1
helen keller memorial hospital,1300 south montgomery avenue,456,1
helen keller memorial hospital,1300 south montgomery avenue,457,1
helen keller memorial hospital,1300 south montgomery avenue,458,1
helen keller memorial hospital,1300 south montgomery avenue,459,1
helen keller memorial hospital,1300 south montgomery avenue,460,1
helen keller memorial hospital,1300 south montgomery avenue,461,1
helen keller memorial hospital,1300 south montgomery avenue,462,1
helen keller memorial hospital,1300 south montgomery avenue,463,1
helen keller memorial hospital,1300 south montgomery avenue,464,1
helen keller memorial hospital,1300 south montgomery avenue,465,1
dale medical center,126 hospital ave,466,50
dale medical center,126 hospital ave,467,50
dale medical center,126 hospital ave,468,50
dale medical center,126 hospital ave,469,50
dale medical center,126 hospital ave,470,50
dale medical center,126 hospital ave,471,50
dale medical center,126xhospitalxave,472,51
dale medical center,126 hospital ave,473,50
dale medical center,126 hospital ave,474,50
dale medical center,126 hospital ave,475,50
dale medical center,126 hospital ave,476,50
dale medical center,126 hospital ave,477,50
dale medical center,126 hospital ave,478,50
dale medical center,126 hospital ave,479,50
dale medical center,126 hospital ave,480,50
dale medical center,126 hospital ave,481,50
dale medical center,126 hospital ave,482,50
dale medical center,126 hospital ave,483,50
dale medical center,1x6 hospital ave,484,52
dale medical center,126 hospital ave,485,50
dale medical center,126 hospital ave,486,50
dale medical center,126 hospital ave,487,50
dale medical center,126 hospital ave,488,50
dale medical center,126 hospital ave,489,50
dale medical center,126 hospital ave,490,50
cherokee medical center,400 northwood dr,491,53
cherokee medical center,400 northwood dr,492,53
cherokee medical center,400 northwood dr,493,53
cherokee medical center,400 northwood dr,494,53
cherokee medical center,400 northwood dr,495,53
cherokee medical center,400 northwood dr,496,53
cherokee medical center,400 northwood dr,497,53
cherokee medical center,400 northwood dr,498,53
cherokee medical center,400 northwood dr,499,53
cherokee medical center,400 northwood dr,500,53
cherokee medical center,400 northwood dr,501,53
cherokee medical center,400 northwood dr,502,53
cherokee medical center,400 northwood dr,503,53
cherokee medical center,400 northwood dr,504,53
cherokee medical center,400 northwood dr,505,53
cherokee medical center,400 northwood dr,506,53
cherokee medical center,400 northwood dr,507,53
cherokee medical center,400 northwood dr,508,53
cherokee medical center,400 northwood dr,509,53
cherokee medical center,400 northwood dr,510,53
cherokee medical center,400 northwood dr,511,53
cherokee medical center,400 northwood dr,512,53
cherokee medical center,400 northwood dr,513,53
cherokee medical center,400 northwood dr,514,53
cherokee medical center,400 northwood dr,515,53
baptist medical center south,2105 east south boulevard,516,54
baptist medical center south,2105 east south boulevard,517,54
baptist medical center south,2105 east south boulevard,518,54
baptist medical center south,2105 east south boulevard,519,54
baptist medical center south,2105 east south boulevard,520,54
baptist medical center south,2105 east south boulevard,521,54
baptist medical center south,2105 east south boulevard,522,54
baptist medical center south,2105 east south boulevard,523,54
baptist medical center south,2105 east south boulevard,524,54
baptist medical center south,2105 east south boulevard,525,54
baptist medical center south,2105 east south boulevard,526,54
baptist medical center south,2105 east south boulevard,527,54
baptist medical center south,2105 east south boulevard,528,54
baptist medical center south,2105 east south boulevard,529,54
baptist medical center south,2105 east south boulevard,530,54
baptist medical center south,2105 east south boulevard,531,54
baptist medical cexter south,2105 east south boulevard,532,55
baptist medical center south,2105 east south boulevard,533,54
baptist medical center south,2105 east south boulevard,534,54
baptist medical center south,2105 east south boulevard,535,54
baptist medical center south,2105 east south boulevard,536,54
baptist medical center south,2105 east south boulevard,537,54
baptist medical center south,2105 east south boulevard,538,54
baptist medical center south,2105 east south boulevard,539,54
baptist medical center south,2105 east south boulevard,540,54
jackson hospital & clinic inc,1725 pine street,541,56
jackson hospital & clinic inc,1725 pine street,542,56
jackson hospital & clinic inc,1725 pine street,543,56
jackson hospital & clinic inc,1725 pine street,544,56
jackson hospital & clinic inc,1725 pine street,545,56
jackson hospital & clinic inc,1725 pine street,546,56
jackson hospital & clinic inc,1725 pine street,547,56
jackson hospital & clinic inc,1725 pine street,548,56
jackson hospital & clinic inc,1725 pine street,549,56
jackson hospital & clinic inc,1725 pine street,550,56
jackson hospital & clinic inc,1725 pine street,551,56
jackson hospital & clinic inc,1725 pine street,552,56
jackson hospital & clinic inc,1725 pine street,553,56
jackson hospital & clinic inc,1725 pine street,554,56
jackson hospital & clinic inc,1725 pine street,555,56
jackson hospital & clinic inc,1725 pine street,556,56
jackson hospital & clinic inc,1725 pine street,557,56
jackson hospital & clinic inc,1725 pine street,558,56
jackson hospital & clinic inc,1725 pine street,559,56
jaxkson hospital & xlinix inx,1725 pine street,560,57
jackson hospital & clinic inc,1725 pine street,561,56
jackson hospital & clinic inc,1725 pine street,562,56
jackson hospital & clinic inc,1725 pine street,563,56
jackson hospital & clinic inc,1725 pine street,564,56
jackson hospital & clinic inc,1725 pine street,565,56
g h lanier memorial hospital,4800 48th st,566,58
g h lanier memorial hospital,4800 48th st,567,58
g h lanier memorial hospital,4800 48th st,568,58
g h lanier memorial hospital,4800 48th st,569,58
g h lanier memorial hospital,4800 48th st,570,58
g h lanier memorial hospital,4800 48th st,571,58
g h lanier memorial hospital,4800 48th st,572,58
g h lanier memorial hospital,4800 48th st,573,58
g h lanier memorial hospital,4800 48th st,574,58
g h lanier memorial hospital,4800 48th st,575,58
g h lanier memorial hospital,4800 48th st,576,58
g h lanier memorial hospital,4800 48th st,577,58
g h lanier memorial hospital,4800 48th st,578,58
g h lanier memorial hospital,4800 48th st,579,58
g h lanier memorial hospital,4800 48th st,580,58
g h lanier memorial hospital,4800 48th st,581,58
g h lanier memorial hospital,4800 48th st,582,58
g h lanier memorial hospital,4800 48th st,583,58
g h lanier memorial hospital,4800 48th st,584,58
g h lanier memorial hospital,4800 48th st,585,58
g h lanier memorial hospital,4800 48th st,586,58
g h lanier memorial hospital,4800 48th st,587,58
g h lanier memorial hospital,4800 48th st,588,58
g h lanier memorial hospital,4800 48th st,589,58
g h lanier memorial hospital,4800 48th st,590,58
elba general hospital,987 drayton street,591,59
elba general hospital,987 drayton street,592,59
elba general hospital,987 drayton street,593,59
elba general hospital,987 drayton street,594,59
elba general hospital,987 drayton street,595,59
elba general hospital,987 drayton street,596,59
elba general hospital,987 drayton street,597,59
elba general hospital,987 drayton street,598,59
elba general hospital,987 drayton street,599,59
elba general hospital,987 drayton street,600,59
elba general hospital,987 drayton street,601,59
elba general hospital,987 drayton street,602,59
elba general hospital,987 drayton street,603,59
elba general hospital,987 drayton street,604,59
elba general hospital,987 drayton street,605,59
elba general hospital,987 drayton street,606,59
elba general hospital,987 drayton street,607,59
elba general hospital,987 drayton street,608,59
elba general hospital,987 drayton street,609,59
elba general hospital,987 drayton street,610,59
elba general hospital,987 drayton street,611,59
elba general hospital,987 drayton street,612,59
elba general hospital,987 drayton street,613,59
elba general hospital,987 drayton street,614,59
elba general hospital,987 drayton street,615,59
east alabama medical center and snf,2000 pepperell parkway,616,60
east alabama medical center and snf,2000 pepperell parkway,617,60
east alabama medical center and snf,2000 pepperell parkway,618,60
east alabama medical center and snf,2000 pepperell parkway,619,60
east alabama medical center and snf,2000 pepperell parkway,620,60
east alabama medical center and snf,2000 pepperell parkway,621,60
east alabama medical center and snf,2000 pepperell parkway,622,60
east alabama medical center and snf,2000 pepperell parkway,623,60
east alabama medical center and snf,2000 pepperell parkway,624,60
east alabama medical center and snf,2000 pepperell parkway,625,60
east alabama medical center and snf,2000 pepperell parkway,626,60
east alabama medical center and snf,2000 pepperell parkway,627,60
east alabama medical center and snf,2000 pepperell parkway,628,60
east alabama medical center and snf,2000 pepperell parkway,629,60
east alabama medical center and snf,2000 pepperell parkway,630,60
