Condition,MeasureName,original_index,unique_index,count
pneumonia,pneumonia patients assessed and given influenza vaccination,60,26,36
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,61,27,33
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,62,1,39
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,63,2,38
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),64,3,37
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,65,4,33
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),66,5,35
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,67,6,37
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,68,7,38
heart attack,heart attack patients given aspirin at arrival,69,8,33
heart attack,heart attack patients given aspirin at discharge,70,9,38
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),71,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,72,11,38
hearx axxack,heart attack patients given beta blocker at discharge,73,28,1
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,74,13,38
heart attack,heart attack patients given pci within 90 minutes of arrival,75,14,37
heart failure,heart failure patients given discharge instructions,76,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,77,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,79,18,36
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,80,21,41
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,81,22,38
pneumonia,pneumonia patients given smoking cessation advice/counseling,82,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,83,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),84,25,36
pneumonia,pneumonia patients assessed and given influenza vaccination,85,26,36
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,86,27,33
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,87,1,39
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,88,2,38
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),89,3,37
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,90,4,33
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),91,5,35
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,92,6,37
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,93,7,38
heart attack,xeart attack patients given aspirin at arrival,94,29,1
heart attack,heart attack patients given aspirin at discharge,95,9,38
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,97,11,38
heart attack,heart attack patients given beta blocker at discharge,98,12,37
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,99,13,38
heart attack,heart attack patients given pci within 90 minutes of arrival,100,14,37
heart failure,heart failure patients given discharge instructions,101,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,102,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),103,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,104,18,36
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,105,21,41
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,106,22,38
pneumonia,pneumonia patients given smoking cessation advice/counseling,107,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,108,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),109,25,36
pneumonia,pneumonia patients assessed and given influenza vaccination,110,26,36
surgical infection prevention,surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,111,30,1
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,112,1,39
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,113,2,38
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),114,3,37
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,115,4,33
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),116,5,35
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,117,6,37
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,118,7,38
heart attack,heart attack patients given aspirin at arrivax,119,31,1
heart attack,heart attack patients given aspirin at discharge,120,9,38
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),121,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,122,11,38
heart attack,heart attack patients given beta blocker at discharge,123,12,37
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,124,13,38
heart attack,heart attack patients given pci within 90 minutes of arrival,125,14,37
heart failure,heart failure patients given discharge instructions,126,15,37
heaxt failuxe,heart failure patients given an evaluation of left ventricular systolic (lvs) function,127,32,1
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),128,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,129,18,36
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,130,21,41
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,131,22,38
pneumonia,pneumonia patients given smoking cessation advice/counseling,132,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,133,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),134,25,36
pneumonia,pneumonia patients assessed and given influenza vaccination,135,26,36
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,136,27,33
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,137,1,39
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,138,2,38
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),139,3,37
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,140,4,33
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),141,5,35
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,142,6,37
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,143,7,38
heart attack,heart attack patients given aspirin at arrival,144,8,33
heart attack,heart attaxk patients given aspirin at disxharge,145,33,1
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),146,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,147,11,38
heart attack,heart attack patients given beta blocker at discharge,148,12,37
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,149,13,38
heart attack,heart attack patients given pci within 90 minutes of arrival,150,14,37
heart failure,heart failure patients given discharge instructions,151,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,152,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),153,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,154,18,36
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,155,21,41
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,156,22,38
pneumonia,pneumonia patients given smoking cessation advice/counseling,157,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,158,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),159,25,36
pneumonia,pneumonia patients assessed and given influenza vaccination,160,26,36
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,161,27,33
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,162,1,39
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,163,2,38
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),164,3,37
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,165,4,33
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),166,5,35
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,167,6,37
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,168,7,38
heart attack,heart attack patients given aspirin at arrival,169,8,33
heart attack,heart attack patients given aspirin at discharge,170,9,38
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),171,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,172,11,38
heart attack,heart attack patients given beta blocker at discharge,173,12,37
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,174,13,38
heart attack,heart attack patients given pci within 90 minutes of arrival,175,14,37
heart failure,heart failure patients given discharge instructions,176,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,177,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),178,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,179,18,36
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,180,21,41
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,181,22,38
pneumonia,pneumonia patients given smoking cessation advice/counseling,182,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,183,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),184,25,36
pneumonia,pneumonia patients assessed and given influenza vaccination,185,26,36
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,186,27,33
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,187,1,39
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,188,2,38
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),189,3,37
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,190,4,33
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),191,5,35
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,192,6,37
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,193,7,38
heart attack,heart attack patients given aspirin at arrival,194,8,33
heart attack,heart attack patients given aspirin at discharge,195,9,38
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),196,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,197,11,38
heart attack,heart attack patients given beta blocker at discharge,198,12,37
heaxt attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,199,34,1
heart attack,heart attack patients given pci within 90 minutes of arrival,200,14,37
heart failure,heart failure patients given discharge instructions,201,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,202,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),203,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,204,18,36
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,205,21,41
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,206,22,38
pneumonia,pneumonia patients given smoking cessation advice/counseling,207,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,208,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),209,25,36
pneumonia,pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,210,35,1
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,211,27,33
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,212,1,39
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,213,2,38
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),214,3,37
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,215,4,33
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),216,5,35
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,217,6,37
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,218,7,38
heart attack,heartxattackxpatientsxgivenxaspirinxatxarrival,219,36,1
heart attack,heart attack patients given aspirin at discharge,220,9,38
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),221,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,222,11,38
heart attack,heart attack patients given beta blocker at discharge,223,12,37
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,224,13,38
hexrt attxck,heart attack patients given pci within 90 minutes of arrival,225,37,1
heart failure,heart failure patients given discharge instructions,226,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,227,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),228,17,38
heart faxlure,heart failure patients given smoking cessation advice/counseling,229,38,1
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,230,21,41
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,231,22,38
pneumonia,pneumonia patients given smoking cessation advice/counseling,232,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,233,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),234,25,36
pneumonia,pneumonia patients assessed and given influenza vaccination,235,26,36
suxgical infection pxevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,236,39,2
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,237,1,39
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,238,2,38
surgxcal infectxon preventxon,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),239,40,1
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,240,4,33
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),241,5,35
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,242,6,37
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,243,7,38
heart attack,heart attack patients given aspirin at arrival,244,8,33
heart attack,heart attack patients given aspirin at discharge,245,9,38
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),246,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,247,11,38
heart attack,heart attack patients given beta blocker at discharge,248,12,37
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,249,13,38
heart attack,heart attack patients given pci within 90 minutes of arrival,250,14,37
heart failure,heart failure patients given discharge instructions,251,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,252,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),253,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,254,18,36
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,255,21,41
xneumonia,pneumonxa patxents whose inxtxal emergency room blood culture was performed prxor to the admxnxstratxon of the fxrst hospxtal dose of antxbxotxcs,256,41,1
pneumonia,pneumonia patients given smoking cessation advice/counseling,257,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,258,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),259,25,36
pneumonia,pneumonia patients assessed and given influenza vaccination,260,26,36
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,261,27,33
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,262,1,39
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,263,2,38
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),264,3,37
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,265,4,33
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),266,5,35
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,267,6,37
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,268,7,38
heart attack,heart attack patients given aspirin at arrival,269,8,33
heart attack,heart attack patients given aspirin at discharge,270,9,38
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),271,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,272,11,38
heart attack,heart attack patients given beta blocker at discharge,273,12,37
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,274,13,38
heart attack,heart attack patients given pci within 90 minutes of arrival,275,14,37
heart failure,heart failure patients given discharge instructions,276,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,277,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),278,17,38
xeart failure,heart failure patients given smoking cessation advice/counseling,279,42,1
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,280,21,41
pneumonia,pnxumonia patixnts whosx initial emxrgxncy room blood culturx was pxrformxd prior to thx administration of thx first hospital dosx of antibiotics,281,43,1
pneumonia,pneumonia patients given smoking cessation advice/counseling,282,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,283,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),284,25,36
pneumonia,pneumonia patients assessed and given influenza vaccination,285,26,36
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,286,27,33
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,287,1,39
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,288,2,38
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),289,3,37
surgical infection prevention,all heart surgerx patients whose blood sugar (blood glucose) is kept under good control in the daxs right after surgerx,290,44,1
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),291,5,35
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,292,6,37
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,293,7,38
heart attack,heart attack patients given aspirin at arrival,294,8,33
heart attack,heart attack patients given aspirin at discharge,295,9,38
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),296,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,297,11,38
heart attack,heart attack patients given beta blocker at discharge,298,12,37
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,299,13,38
heart attack,heart attack patients given pci within 90 minutes of arrival,300,14,37
heart failure,heart failure patients given discharge instructions,301,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,302,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),303,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,304,18,36
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,305,21,41
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,306,22,38
pneumonia,pneumonia patients given smoking cessation advice/counseling,307,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,308,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),309,25,36
pneumonia,pneumonia patients assessed and given influenza vaccination,310,26,36
children s asthma care,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,311,45,3
children s asthma care,children and their caregivers who received a home management plan of care document while hospitalized for asthma,312,46,3
heart attack,heart attack patients given aspirin at arrival,313,8,33
heart attack,heart attack patients given aspirin at discharge,314,9,38
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),315,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,316,11,38
heart attack,heart attack patients given beta blocker at discharge,317,12,37
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,318,13,38
heart attack,heart attack patients given pci within 90 minutes of arrival,319,14,37
heart failure,heart failure patients given discharge instructions,320,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,321,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),322,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,323,18,36
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,324,21,41
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,325,22,38
pneumonia,pneumonia patients given smoking cessation advice/counseling,326,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,327,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),328,25,36
pneumonia,pneumonia patients assessed and given influenza vaccination,329,26,36
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,330,27,33
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,331,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),332,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,333,18,36
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,334,21,41
