Duration,RatingValue,original_index,unique_index
98 min,6.4,452,402
110 min,7.1,453,403
106 min,7.0,454,404
105 min,7.7,455,405
97 min,6.4,456,406
,,457,29
80 min,7.1,458,78
102 min,5.9,459,407
77 min,5.6,460,408
202 min,7.7,461,409
85 min,7.2,462,410
105 min,6.2,463,411
100 min,5.6,464,412
132 min,7.6,465,413
147 min,8.0,466,414
76 min,6.2,467,415
72 min,3.4,468,416
82 min,4.4,469,417
80 min,4.2,470,418
80 min,4.4,471,419
138 min,5.3,472,420
106 min,6.2,473,421
88 min,5.9,474,422
74 min,4.3,475,423
80 min,5.7,476,424
,7.2,477,425
,3.4,478,426
,2.1,479,427
73 min,,480,428
125 min,7.5,481,429
83 min,2.6,482,430
120 min,7.9,483,431
128 min,6.9,484,432
112 min,7.8,485,433
109 min,7.2,486,434
128 min,6.7,487,435
56 min,5.3,488,436
113 min,6.3,489,437
117 min,6.5,490,438
99 min,6.2,491,439
109 min,6.8,492,440
100 min,6.4,493,441
113 min,6.0,494,442
1 hr. 43 min.,"4.4/10,5.1/10",495,443
68 min,3.4,496,444
103 min,5.5,497,292
88 min,3.6,498,445
88 min,4.0,499,446
102 min,7.2,500,447
96 min,8.2,501,448
111 min,6.2,502,449
136 min,8.4,503,450
114 min,6.0,504,451
84 min,5.8,505,452
93 min,6.7,506,4
131 min,6.9,507,453
120 min,7.6,508,2
136 min,8.4,509,450
129 min,6.9,510,454
128 min,7.0,511,324
93 min,5.4,512,455
108 min,6.4,513,456
90 min,5.3,514,457
92 min,7.4,515,458
101 min,6.0,516,459
96 min,5.6,517,377
86 min,5.6,518,460
,"7.4/10,7.3/10",519,461
180 min,7.4,520,462
80 min,7.4,521,463
109 min,7.9,522,349
126 min,6.7,523,87
106 min,7.2,524,203
66 min,6.7,525,464
68 min,7.5,526,465
119 min,8.0,527,466
99 min,7.7,528,328
115 min,7.9,529,108
134 min,8.1,530,467
67 min,8.3,531,468
103 min,7.7,532,469
86 min,4.5,533,470
155 min,8.5,534,471
88 min,5.6,535,472
106 min,7.2,536,203
,"7.2/10,7.3/10",537,473
130 min,7.5,538,474
86 min,6.7,539,249
93 min,7.0,540,475
90 min,5.3,541,457
107 min,6.9,542,476
121 min,6.5,543,477
125 min,7.2,544,478
102 min,6.3,545,479
96 min,6.1,546,480
132 min,6.3,547,481
104 min,6.1,548,396
91 min,5.0,549,482
92 min,6.5,550,483
108 min,7.2,551,484
123 min,6.8,552,485
102 min,7.3,553,215
82 min,6.1,554,486
82 min,5.9,555,487
87 min,6.2,556,488
85 min,7.7,557,489
99 min,6.9,558,490
94 min,6.9,559,491
95 min,7.7,560,20
103 min,8.1,561,492
237 min,8.3,562,493
161 min,7.3,563,494
88 min,7.0,564,495
,,565,29
116 min,4.7,566,496
100 min,4.8,567,497
129 min,6.1,568,498
131 min,6.1,569,499
,"4.9/10,4.9/10",570,500
105 min,6.4,571,501
129 min,6.4,572,502
,,573,29
85 min,5.3,574,503
122 min,6.8,575,374
101 min,4.2,576,504
101 min,6.4,577,505
98 min,5.4,578,506
116 min,6.3,579,507
,"5.2/10,4.9/10",580,508
102 min,5.8,581,509
105 min,6.9,582,510
103 min,7.6,583,511
109 min,7.4,584,512
111 min,7.7,585,513
113 min,7.6,586,365
100 min,7.8,587,514
78 min,3.7,588,515
104 min,7.6,589,516
122 min,6.6,590,517
98 min,7.0,591,518
99 min,6.3,592,519
105 min,6.3,593,520
149 min,6.5,594,521
115 min,6.8,595,242
130 min,7.8,596,522
100 min,7.9,597,523
157 min,7.7,598,524
93 min,7.5,599,525
98 min,7.2,600,526
80 min,5.8,601,527
75 min,5.7,602,528
101 min,5.1,603,529
80 min,6.4,604,530
80 min,5.9,605,531
90 min,6.5,606,532
68 min,7.3,607,533
98 min,7.5,608,534
94 min,6.7,609,44
84 min,6.8,610,535
96 min,7.1,611,536
84 min,7.1,612,537
88 min,5.8,613,42
95 min,5.9,614,538
73 min,4.6,615,539
92 min,4.9,616,540
94 min,5.3,617,541
86 min,6.6,618,542
88 min,6.5,619,543
121 min,7.5,620,544
142 min,8.8,621,545
80 min,8.0,622,546
106 min,7.5,623,547
109 min,6.1,624,548
,4.8,625,9
102 min,4.5,626,549
116 min,6.0,627,550
,"6/10,5.8/10",628,551
100 min,8.2,629,552
103 min,7.8,630,553
130 min,6.3,631,554
92 min,7.2,632,555
80 min,7.3,633,556
109 min,6.4,634,557
145 min,7.2,635,558
126 min,6.4,636,559
67 min,6.7,637,560
92 min,7.1,638,243
87 min,7.1,639,561
85 min,7.1,640,252
126 min,8.2,641,562
96 min,8.2,642,448
124 min,7.4,643,563
86 min,5.6,644,460
92 min,4.3,645,564
87 min,7.1,646,561
93 min,6.2,647,565
89 min,4.7,648,566
88 min,6.2,649,302
220 min,7.9,650,567
96 min,5.7,651,568
108 min,6.4,652,456
127 min,8.6,653,569
68 min,7.3,654,533
92 min,6.1,655,570
107 min,3.0,656,571
90 min,6.6,657,46
83 min,7.6,658,572
99 min,7.4,659,573
101 min,6.1,660,574
120 min,6.6,661,575
124 min,7.0,662,576
133 min,7.8,663,577
85 min,7.0,664,578
83 min,7.6,665,572
89 min,7.3,666,579
110 min,6.6,667,580
91 min,6.9,668,255
123 min,7.6,669,581
131 min,7.3,670,582
118 min,6.2,671,583
95 min,6.3,672,8
77 min,6.9,673,584
75 min,5.9,674,585
74 min,6.9,675,586
107 min,6.7,676,587
94 min,7.0,677,588
90 min,7.2,678,589
98 min,7.8,679,590
138 min,7.6,680,591
93 min,8.0,681,592
121 min,7.2,682,593
167 min,7.2,683,594
114 min,5.8,684,595
92 min,7.6,685,596
93 min,7.6,686,597
79 min,7.0,687,598
97 min,7.5,688,599
1 hr. 28 min.,"3.8/10,3.4/10",689,600
97 min,7.6,690,601
94 min,6.5,691,174
91 min,6.9,692,255
175 min,5.5,693,602
126 min,6.3,694,603
104 min,5.8,695,179
95 min,5.7,696,604
120 min,8.0,697,605
127 min,8.1,698,606
127 min,8.3,699,607
,"4.6/10,4.7/10",700,608
111 min,5.9,701,609
132 min,8.1,702,610
90 min,7.6,703,188
69 min,4.0,704,611
98 min,4.4,705,612
93 min,4.3,706,613
,7.3,707,614
90 min,6.8,708,615
104 min,6.3,709,355
95 min,6.2,710,131
149 min,7.6,711,616
109 min,6.1,712,548
81 min,6.2,713,392
104 min,4.7,714,617
113 min,6.8,715,618
70 min,6.8,716,619
83 min,7.5,717,620
90 min,6.1,718,621
96 min,7.7,719,622
90 min,9.0,720,623
75 min,4.8,721,624
94 min,3.4,722,625
93 min,4.4,723,626
97 min,7.3,724,103
95 min,7.2,725,627
97 min,6.4,726,406
100 min,5.9,727,10
101 min,6.1,728,574
96 min,6.0,729,628
129 min,7.3,730,629
131 min,6.7,731,630
,"5.8/10,5.4/10",732,631
99 min,5.8,733,632
112 min,7.1,734,633
118 min,7.2,735,634
80 min,6.5,736,635
78 min,5.8,737,636
75 min,4.1,738,637
87 min,6.7,739,638
78 min,7.3,740,143
84 min,7.3,741,639
81 min,6.9,742,640
82 min,6.0,743,641
81 min,6.6,744,642
,,745,29
135 min,6.6,746,643
93 min,5.3,747,644
76 min,6.3,748,645
80 min,4.4,749,419
86 min,4.0,750,646
91 min,5.7,751,647
70 min,1.7,752,648
82 min,3.8,753,649
111 min,6.3,754,650
120 min,6.2,755,376
107 min,7.3,756,146
91 min,5.7,757,647
135 min,7.2,758,651
105 min,6.5,759,150
84 min,7.1,760,537
89 min,6.4,761,652
126 min,8.3,762,653
105 min,6.2,763,411
128 min,6.7,764,435
87 min,7.0,765,654
,"5.4/10,5.2/10",766,655
93 min,,767,656
115 min,6.5,768,657
78 min,7.6,769,658
80 min,6.1,770,659
96 min,6.9,771,660
104 min,6.3,772,355
91 min,7.4,773,661
103 min,5.2,774,662
97 min,5.9,775,297
,6.5,776,663
112 min,,777,664
90 min,5.6,778,665
108 min,6.7,779,666
113 min,5.5,780,667
79 min,4.6,781,668
98 min,7.7,782,669
94 min,6.4,783,670
118 min,5.7,784,671
84 min,6.5,785,672
89 min,7.3,786,579
88 min,1.9,787,673
78 min,7.1,788,674
112 min,6.4,789,675
97 min,7.3,790,103
118 min,5.2,791,82
97 min,2.5,792,676
111 min,6.2,793,449
82 min,6.7,794,677
91 min,7.1,795,678
105 min,5.9,796,316
89 min,6.7,797,117
94 min,2.1,798,679
94 min,2.5,799,680
101 min,6.1,800,574
94 min,2.6,801,681
91 min,4.1,802,682
91 min,8.6,803,683
76 min,8.7,804,684
97 min,8.0,805,685
92 min,7.7,806,686
88 min,6.3,807,687
,,808,29
97 min,8.5,809,688
87 min,5.8,810,126
92 min,6.1,811,570
96 min,6.8,812,689
85 min,7.5,813,690
92 min,6.7,814,691
94 min,6.7,815,44
91 min,6.6,816,133
111 min,7.2,817,346
84 min,7.0,818,692
,"6.4/10,6.2/10",819,693
98 min,7.3,820,694
91 min,7.3,821,337
127 min,8.0,822,695
93 min,7.2,823,696
96 min,7.0,824,697
96 min,6.5,825,279
102 min,6.7,826,698
96 min,6.9,827,660
88 min,6.7,828,273
95 min,7.3,829,699
105 min,7.1,830,700
162 min,6.8,831,701
127 min,6.5,832,702
81 min,6.2,833,392
98 min,6.3,834,703
87 min,4.4,835,704
89 min,7.0,836,705
72 min,8.1,837,706
86 min,5.8,838,707
113 min,6.9,839,708
101 min,5.0,840,709
130 min,6.6,841,710
63 min,7.5,842,711
100 min,7.8,843,514
98 min,7.5,844,534
102 min,7.6,845,712
101 min,7.8,846,713
89 min,7.8,847,714
93 min,4.7,848,715
81 min,2.5,849,716
101 min,6.9,850,717
97 min,2.3,851,718
82 min,7.6,852,719
110 min,2.7,853,720
93 min,2.7,854,721
80 min,4.5,855,722
97 min,7.5,856,599
,,857,29
93 min,7.0,858,475
80 min,6.6,859,723
89 min,8.5,860,140
80 min,6.2,861,724
80 min,5.8,862,527
88 min,8.4,863,725
85 min,7.4,864,726
87 min,7.0,865,654
91 min,6.9,866,255
100 min,7.4,867,727
86 min,,868,728
,,869,29
95 min,5.4,870,729
86 min,7.3,871,730
,,872,29
,,873,29
,,874,29
,,875,29
83 min,7.2,876,731
94 min,8.5,877,732
85 min,6.4,878,733
111 min,7.0,879,734
97 min,5.6,880,735
102 min,7.9,881,736
87 min,7.0,882,654
94 min,6.6,883,359
101 min,6.4,884,505
1 hr. 35 min.,"7/10,7.5/10",885,737
92 min,6.9,886,738
87 min,7.0,887,654
92 min,7.0,888,739
91 min,6.3,889,23
108 min,6.4,890,456
85 min,6.7,891,144
83 min,6.6,892,740
83 min,6.8,893,741
95 min,7.2,894,627
86 min,6.9,895,742
102 min,7.9,896,736
116 min,8.5,897,743
92 min,8.1,898,398
100 min,7.8,899,514
96 min,8.3,900,744
98 min,8.4,901,745
158 min,7.6,902,251
85 min,7.2,903,410
120 min,8.1,904,746
94 min,7.0,905,588
92 min,7.6,906,596
93 min,6.1,907,310
93 min,7.2,908,696
91 min,6.9,909,255
81 min,7.6,910,747
93 min,6.4,911,748
,"7/10,6.4/10",912,749
131 min,7.0,913,750
162 min,7.9,914,751
112 min,8.0,915,85
143 min,7.2,916,752
124 min,7.0,917,576
105 min,7.6,918,753
132 min,7.8,919,332
145 min,6.9,920,754
132 min,7.8,921,332
111 min,8.0,922,755
115 min,8.0,923,91
106 min,6.3,924,61
,"4.6/10,4.6/10",925,756
117 min,7.2,926,757
134 min,8.4,927,758
93 min,7.5,928,525
107 min,7.1,929,759
97 min,7.0,930,55
157 min,7.9,931,760
126 min,7.4,932,761
115 min,6.6,933,762
189 min,8.0,934,763
129 min,6.4,935,502
122 min,6.2,936,764
118 min,7.3,937,765
111 min,6.2,938,449
144 min,7.9,939,766
144 min,7.5,940,767
118 min,6.5,941,199
101 min,6.0,942,459
174 min,8.0,943,768
88 min,6.8,944,124
100 min,7.8,945,514
78 min,7.6,946,658
139 min,7.8,947,769
127 min,6.4,948,770
85 min,7.3,949,771
107 min,6.4,950,772
108 min,6.4,951,456
88 min,7.6,952,773
105 min,6.6,953,774
143 min,6.9,954,277
103 min,7.4,955,775
105 min,5.9,956,316
92 min,8.5,957,776
115 min,6.7,958,777
120 min,6.5,959,778
152 min,7.5,960,779
104 min,6.8,961,780
103 min,5.5,962,292
105 min,5.4,963,781
84 min,6.0,964,250
84 min,5.9,965,782
,"4.4/10,4.1/10",966,783
88 min,4.5,967,784
78 min,5.0,968,785
95 min,5.5,969,786
77 min,5.4,970,787
80 min,4.9,971,788
95 min,6.1,972,388
81 min,7.8,973,789
82 min,7.1,974,790
89 min,6.6,975,791
86 min,6.9,976,742
95 min,6.6,977,792
94 min,7.0,978,588
98 min,7.2,979,526
90 min,6.3,980,793
87 min,7.4,981,794
108 min,7.0,982,795
84 min,7.3,983,639
94 min,6.2,984,796
75 min,7.3,985,797
72 min,6.1,986,798
,,987,29
89 min,7.3,988,579
88 min,6.7,989,273
85 min,6.8,990,48
89 min,7.5,991,799
79 min,7.8,992,800
84 min,7.5,993,208
108 min,6.8,994,801
142 min,6.7,995,802
96 min,6.6,996,803
94 min,7.1,997,804
,"6.6/10,6.3/10",998,805
115 min,6.2,999,806
127 min,7.7,1000,807
96 min,6.3,1001,808
77 min,7.4,1002,809
94 min,5.4,1003,810
94 min,5.8,1004,811
94 min,6.0,1005,812
98 min,5.8,1006,813
93 min,5.8,1007,121
91 min,6.1,1008,814
94 min,5.4,1009,810
98 min,5.7,1010,815
110 min,6.2,1011,816
95 min,5.5,1012,786
150 min,6.6,1013,817
81 min,8.3,1014,818
107 min,8.1,1015,819
124 min,8.8,1016,820
81 min,6.6,1017,642
95 min,6.9,1018,821
107 min,7.8,1019,822
96 min,1.3,1020,823
82 min,7.8,1021,824
104 min,8.0,1022,825
78 min,7.1,1023,674
80 min,1.6,1024,826
90 min,6.1,1025,621
104 min,6.8,1026,780
101 min,6.7,1027,827
107 min,7.3,1028,146
115 min,6.3,1029,271
116 min,6.5,1030,828
84 min,3.5,1031,829
80 min,6.9,1032,830
75 min,6.4,1033,831
74 min,5.6,1034,832
93 min,7.2,1035,696
77 min,6.0,1036,833
76 min,5.3,1037,834
86 min,6.3,1038,835
84 min,6.7,1039,836
77 min,6.9,1040,584
69 min,7.3,1041,837
92 min,7.5,1042,838
104 min,5.2,1043,839
84 min,5.1,1044,840
85 min,4.8,1045,841
93 min,4.2,1046,842
85 min,4.0,1047,843
82 min,4.3,1048,844
75 min,,1049,845
93 min,7.7,1050,244
90 min,7.8,1051,354
84 min,6.6,1052,846
71 min,6.5,1053,847
91 min,7.5,1054,848
97 min,8.4,1055,849
99 min,7.0,1056,850
98 min,5.4,1057,506
104 min,6.5,1058,176
106 min,6.1,1059,294
95 min,7.1,1060,358
75 min,7.6,1061,851
60 min,7.2,1062,852
72 min,4.9,1063,853
96 min,7.0,1064,697
56 min,6.5,1065,854
1 hr. 15 min.,,1066,855
60 min,7.1,1067,856
90 min,6.9,1068,857
94 min,7.0,1069,588
74 min,7.5,1070,858
72 min,7.3,1071,859
70 min,8.4,1072,860
90 min,5.3,1073,457
62 min,8.1,1074,861
71 min,6.7,1075,862
108 min,7.7,1076,863
,,1077,29
65 min,7.9,1078,864
78 min,6.7,1079,865
84 min,,1080,866
117 min,7.7,1081,867
76 min,7.3,1082,868
75 min,7.3,1083,797
81 min,7.4,1084,869
92 min,6.9,1085,738
,,1086,29
,,1087,29
89 min,,1088,870
82 min,6.0,1089,641
103 min,8.4,1090,285
98 min,8.2,1091,871
59 min,5.0,1092,872
115 min,6.5,1093,657
99 min,5.7,1094,873
113 min,6.9,1095,708
99 min,5.1,1096,874
88 min,2.6,1097,875
124 min,6.6,1098,876
,,1099,29
,,1100,29
92 min,6.4,1101,877
123 min,6.8,1102,485
137 min,8.5,1103,878
118 min,8.6,1104,879
108 min,8.4,1105,880
116 min,8.3,1106,881
153 min,8.3,1107,882
154 min,8.9,1108,883
119 min,8.6,1109,884
99 min,8.4,1110,885
122 min,8.4,1111,886
146 min,8.4,1112,887
113 min,8.4,1113,888
172 min,8.3,1114,889
91 min,6.2,1115,890
115 min,8.6,1116,891
91 min,6.6,1117,133
90 min,6.7,1118,892
79 min,6.7,1119,893
86 min,6.5,1120,894
76 min,8.0,1121,895
83 min,6.2,1122,896
81 min,5.8,1123,897
86 min,6.9,1124,742
111 min,5.9,1125,609
95 min,6.2,1126,131
98 min,5.7,1127,815
89 min,3.7,1128,898
121 min,7.7,1129,899
88 min,6.9,1130,214
79 min,7.2,1131,69
102 min,7.4,1132,900
88 min,7.5,1133,901
90 min,8.0,1134,902
93 min,7.2,1135,696
101 min,6.2,1136,343
136 min,8.7,1137,903
121 min,8.7,1138,904
131 min,8.3,1139,905
108 min,7.8,1140,906
118 min,7.4,1141,373
71 min,7.7,1142,907
70 min,7.4,1143,908
