MeasureCode,MeasureName,original_index,unique_index
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),66,5
scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,67,6
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,68,7
ami-1,heart attack patients given aspirin at arrival,69,8
ami-2,heart attack patients given aspirin at discharge,70,9
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),71,10
ami-4,heart attack patients given smoking cessation advice/counseling,72,11
ami-5,heart attack patients given beta blocker at discharge,73,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,74,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,75,14
hf-1,heart failure patients given discharge instructions,76,15
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,77,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78,17
hf-4,heart failure patients given smoking cessation advice/counseling,79,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,80,19
pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,81,20
pn-4,pneumonia patients given smoking cessation advice/counseling,82,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,83,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),84,23
pn-7,pneumonia patients assessed and given influenza vaccination,85,24
scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,86,25
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,87,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,88,2
scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),89,3
scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,90,4
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),91,5
scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,92,6
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,93,7
ami-1,xeart attack patients given aspirin at arrival,94,26
ami-2,heart attack patients given aspirin at discharge,95,9
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96,10
axi-4,heart attack patients given smoking cessation advice/counseling,97,27
ami-5,heart attack patients given beta blocker at discharge,98,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,99,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,100,14
hfx1,heart failure patients given discharge instructions,101,28
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,102,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),103,17
hf-4,heart failure patients given smoking cessation advice/counseling,104,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,105,19
pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,106,20
pn-4,pneumonia patients given smoking cessation advice/counseling,107,21
pnx5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,108,29
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),109,23
pn-7,pneumonia patients assessed and given influenza vaccination,110,24
scip-card-2,surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,111,30
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,112,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,113,2
scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),114,3
scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,115,4
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),116,5
scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,117,6
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,118,7
ami-1,heart attack patients given aspirin at arrivax,119,31
axi-2,heart attack patients given aspirin at discharge,120,32
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),121,10
ami-4,heart attack patients given smoking cessation advice/counseling,122,11
ami-5,heart attack patients given beta blocker at discharge,123,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,124,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,125,14
hf-1,heart failure patients given discharge instructions,126,15
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,127,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),128,17
hf-4,heart failure patients given smoking cessation advice/counseling,129,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,130,19
pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,131,20
pn-4,pneumonia patients given smoking cessation advice/counseling,132,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,133,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),134,23
pn-7,pneumonia patients assessed and given influenza vaccination,135,24
scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,136,25
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,137,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,138,2
scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),139,3
scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,140,4
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),141,5
scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,142,6
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,143,7
ami-1,heart attack patients given aspirin at arrival,144,8
ami-2,heart attaxk patients given aspirin at disxharge,145,33
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),146,10
ami-4,heart attack patients given smoking cessation advice/counseling,147,11
ami-5,heart attack patients given beta blocker at discharge,148,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,149,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,150,14
hf-1,heart failure patients given discharge instructions,151,15
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,152,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),153,17
hf-4,heart failure patients given smoking cessation advice/counseling,154,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,155,19
pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,156,20
pn-4,pneumonia patients given smoking cessation advice/counseling,157,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,158,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),159,23
pn-7,pneumonia patients assessed and given influenza vaccination,160,24
scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,161,25
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,162,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,163,2
scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),164,3
scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,165,4
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),166,5
scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,167,6
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,168,7
ami-1,heart attack patients given aspirin at arrival,169,8
ami-2,heart attack patients given aspirin at discharge,170,9
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),171,10
ami-4,heart attack patients given smoking cessation advice/counseling,172,11
ami-5,heart attack patients given beta blocker at discharge,173,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,174,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,175,14
hf-1,heart failure patients given discharge instructions,176,15
hf-x,heart failure patients given an evaluation of left ventricular systolic (lvs) function,177,34
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),178,17
hf-4,heart failure patients given smoking cessation advice/counseling,179,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,180,19
pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,181,20
pn-4,pneumonia patients given smoking cessation advice/counseling,182,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,183,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),184,23
pn-7,pneumonia patients assessed and given influenza vaccination,185,24
scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,186,25
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,187,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,188,2
scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),189,3
scip-inx-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,190,35
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),191,5
scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,192,6
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,193,7
ami-1,heart attack patients given aspirin at arrival,194,8
ami-2,heart attack patients given aspirin at discharge,195,9
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),196,10
ami-4,heart attack patients given smoking cessation advice/counseling,197,11
ami-5,heart attack patients given beta blocker at discharge,198,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,199,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,200,14
hf-1,heart failure patients given discharge instructions,201,15
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,202,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),203,17
hf-4,heart failure patients given smoking cessation advice/counseling,204,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,205,19
pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,206,20
pn-4,pneumonia patients given smoking cessation advice/counseling,207,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,208,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),209,23
pn-7,pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,210,36
scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,211,25
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,212,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,213,2
scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),214,3
scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,215,4
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),216,5
scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,217,6
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,218,7
ami-1,heartxattackxpatientsxgivenxaspirinxatxarrival,219,37
ami-2,heart attack patients given aspirin at discharge,220,9
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),221,10
ami-4,heart attack patients given smoking cessation advice/counseling,222,11
ami-5,heart attack patients given beta blocker at discharge,223,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,224,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,225,14
hf-1,heart failure patients given discharge instructions,226,15
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,227,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),228,17
hf-4,heart failure patients given smoking cessation advice/counseling,229,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,230,19
pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,231,20
pn-4,pneumonia patients given smoking cessation advice/counseling,232,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,233,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),234,23
pn-7,pneumonia patients assessed and given influenza vaccination,235,24
scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,236,25
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,237,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,238,2
scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),239,3
scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,240,4
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),241,5
scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,242,6
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,243,7
ami-1,heart attack patients given aspirin at arrival,244,8
ami-2,heart attack patients given aspirin at discharge,245,9
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),246,10
ami-4,heart attack patients given smoking cessation advice/counseling,247,11
ami-5,heart attack patients given beta blocker at discharge,248,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,249,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,250,14
hf-1,heart failure patients given discharge instructions,251,15
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,252,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),253,17
hf-4,heart failure patients given smoking cessation advice/counseling,254,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,255,19
pn-3b,pneumonxa patxents whose inxtxal emergency room blood culture was performed prxor to the admxnxstratxon of the fxrst hospxtal dose of antxbxotxcs,256,38
pn-4,pneumonia patients given smoking cessation advice/counseling,257,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,258,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),259,23
pn-7,pneumonia patients assessed and given influenza vaccination,260,24
scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,261,25
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,262,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,263,2
scxp-xnf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),264,39
scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,265,4
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),266,5
scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,267,6
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,268,7
ami-1,heart attack patients given aspirin at arrival,269,8
ami-2,heart attack patients given aspirin at discharge,270,9
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),271,10
ami-4,heart attack patients given smoking cessation advice/counseling,272,11
ami-5,heart attack patients given beta blocker at discharge,273,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,274,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,275,14
hf-1,heart failure patients given discharge instructions,276,15
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,277,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),278,17
hf-4,heart failure patients given smoking cessation advice/counseling,279,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,280,19
pn-3b,pnxumonia patixnts whosx initial emxrgxncy room blood culturx was pxrformxd prior to thx administration of thx first hospital dosx of antibiotics,281,40
pn-4,pneumonia patients given smoking cessation advice/counseling,282,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,283,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),284,23
pn-7,pneumonia patients assessed and given influenza vaccination,285,24
scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,286,25
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,287,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,288,2
scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),289,3
scip-inf-4,all heart surgerx patients whose blood sugar (blood glucose) is kept under good control in the daxs right after surgerx,290,41
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),291,5
scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,292,6
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,293,7
ami-1,heart attack patients given aspirin at arrival,294,8
ami-2,heart attack patients given aspirin at discharge,295,9
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),296,10
ami-4,heart attack patients given smoking cessation advice/counseling,297,11
ami-5,heart attack patients given beta blocker at discharge,298,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,299,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,300,14
hf-1,heart failure patients given discharge instructions,301,15
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,302,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),303,17
hf-4,heart failure patients given smoking cessation advice/counseling,304,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,305,19
pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,306,20
pn-4,pneumonia patients given smoking cessation advice/counseling,307,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,308,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),309,23
pn-7,pneumonia patients assessed and given influenza vaccination,310,24
cac-2,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,311,42
cac-3,children and their caregivers who received a home management plan of care document while hospitalized for asthma,312,43
ami-1,heart attack patients given aspirin at arrival,313,8
ami-2,heart attack patients given aspirin at discharge,314,9
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),315,10
ami-4,heart attack patients given smoking cessation advice/counseling,316,11
ami-5,heart attack patients given beta blocker at discharge,317,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,318,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,319,14
hf-1,heart failure patients given discharge instructions,320,15
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,321,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),322,17
hf-4,heart failure patients given smoking cessation advice/counseling,323,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,324,19
pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,325,20
pn-4,pneumonia patients given smoking cessation advice/counseling,326,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,327,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),328,23
pn-7,pneumonia patients assessed and given influenza vaccination,329,24
scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,330,25
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,331,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),332,17
hf-4,heart failure patients given smoking cessation advice/counseling,333,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,334,19
pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,335,20
pn-4,pneumonia patients given smoking cessation advice/counseling,336,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,337,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),338,23
pn-7,pneumonia patients assessed and given influenza vaccination,339,24
scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,340,25
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,341,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,342,2
scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),343,3
scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,344,4
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),345,5
scip-vte-1,surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries,346,44
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,347,7
ami-1,heart attack patients given aspirin at arrival,348,8
amix2,heart attack patients given aspirin at discharge,349,45
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),350,10
ami-4,heart attack patients given smoking cessation advice/counseling,351,11
ami-5,heart attack patients given beta blocker at discharge,352,12
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,353,7
ami-1,heart attack patients given aspirin at arrival,354,8
