HospitalType,HospitalOwner,original_index,unique_index
acute care hospitals,voluntary non-profit - other,85,8
acute care hospitals,voluntary non-profit - other,86,8
acute care hospitals,voluntary non-profit - other,87,8
acute care hospitals,voluntary non-profit - other,88,8
acute care hospitals,voluntary non-profit - other,89,8
acute care hospitals,voluntary non-profit - other,90,8
acute care hospitals,voluntary non-profit - other,91,8
acute care hospitals,voluntary non-profit - other,92,8
acute care hospitals,voluntary non-profit - other,93,8
acute care hospitals,voluntary non-profit - private,94,0
acute care hospitals,voluntary non-profit - private,95,0
acute care hospitals,voluntary non-profit - private,96,0
acute care hospitals,voluntary non-profit - private,97,0
acute care hosxitals,voluntary non-profit - private,98,9
acute care hospitals,voluntary non-profit - private,99,0
acute care hospitals,voluntary non-profit - private,100,0
acute care hospitals,voluntary non-profit - private,101,0
acute care hospitals,voluntary non-profit - private,102,0
acute care hospitals,voluntary non-profit - private,103,0
acute care hospitals,voluntary non-profit - private,104,0
acute care hospitals,voluntary non-profit - private,105,0
acute care hospitals,voluntary non-profit - private,106,0
acute care hospitals,voluntary non-profit - private,107,0
acute care hospitals,voluntary non-profit - private,108,0
acute care hospitals,voluntary non-profit - private,109,0
acute care hospitals,voluntary non-profit - private,110,0
acute care hospitals,voluntary non-profit - private,111,0
acute care hospitals,voluntary non-profit - private,112,0
acute care hospitals,volunxary non-profix - privaxe,113,10
acute care hospitals,voluntary non-profit - private,114,0
acute care hospitals,voluntary non-profit - private,115,0
acute care hospitals,voluntary non-profit - private,116,0
acute care hospitals,voluntary non-profit - private,117,0
acute care hospitals,voluntary non-profit - private,118,0
acute care hospitals,government - federal,119,11
acute care hospitals,government - federal,120,11
acute care hospitals,government - federal,121,11
acute care hospitals,government - federal,122,11
acute care hospitals,government - federal,123,11
acute care hospitals,government - federal,124,11
acute care hospitals,government - federal,125,11
acute care hospitals,government - federal,126,11
acute care hospitals,government - federal,127,11
acute care hospitals,government - federal,128,11
acute care hospitals,government - federal,129,11
acute care hospitals,government - federal,130,11
acute care hospitals,government - federal,131,11
acute care hospitals,government - federal,132,11
acute care hospitals,government - federal,133,11
acute care hospitals,government - federal,134,11
acute care hospitals,government - federal,135,11
acute care hospitals,government - federal,136,11
acute care hospitals,government - federal,137,11
acute care hospitals,government - federal,138,11
acute care hospitals,government - federal,139,11
acute care hospitals,government - federal,140,11
acute care hospitals,government - federal,141,11
acute care hospitals,government - federal,142,11
acute care hospitals,government - federal,143,11
acute care hospitals,proprietary,144,12
acute care hospitals,proprietary,145,12
acute care hospitals,proprietary,146,12
acute care hospitals,proprietary,147,12
acute care hospitals,proprietary,148,12
acute care hospitals,proprietary,149,12
acute care hospitals,proprietary,150,12
acute care hospitals,proprietary,151,12
acute care hospitals,proprietary,152,12
acute care hospitals,proprietary,153,12
acute care hospitals,proprietary,154,12
acute care hospitals,proprietary,155,12
acute care hospitals,proprietary,156,12
acute care hospitals,pxopxietaxy,157,13
acute care hospitals,proprietary,158,12
acute care hospitals,proxrietary,159,14
acute care hospitals,proprietary,160,12
acute care hospitals,proprietary,161,12
acute care hospitals,xroprietary,162,15
acute care hospitals,proprietary,163,12
acute care hospitals,pxopxietaxy,164,13
acute care hospitals,proprietary,165,12
acute care hospitals,proprietary,166,12
acute care hospitals,proprietary,167,12
acute care hospitals,proprietary,168,12
acute care hospitals,government - hospital district or authority,169,1
acute care hospitals,government - hospital district or authority,170,1
acute care hospitals,government - hospital district or authority,171,1
acute care hospitals,government - hospital district or authority,172,1
acute care hospitals,government - hospital district or authority,173,1
acute care hospitals,government - hospital district or authority,174,1
acute care hospitals,government - hospital district or authority,175,1
acute care hospitals,government - hospital district or authority,176,1
acute care hospitals,government - hospital district or authority,177,1
acute care hospitals,government - hospital district or authority,178,1
acute care hospitals,government - hospital district or authority,179,1
acute care hospitals,government - hospital district or authority,180,1
acute care hospitals,government - hospital district or authority,181,1
acute care hospitals,government - hospital district or authority,182,1
acute care hospitals,government - hospital district or authority,183,1
acute care hospitals,government - hospital district or authority,184,1
acute care hospitals,government - hospital district or authority,185,1
acute care hospitals,government - hospital district or authority,186,1
acute care hospitals,government - hospital district or authority,187,1
acute care hospitals,government - hospital district or authority,188,1
acute care hospitals,government - hospital district or authority,189,1
acute care hospitals,government - hospital district or authority,190,1
acute care hospitals,government - hospital district or authority,191,1
acute care hospitals,government - hospital district or authority,192,1
acute care hospitals,government - hospital district or authority,193,1
acute care hospitals,voluntary non-profit - private,194,0
acute care hospitals,voluntary non-profit - private,195,0
acute care hospitals,voluntary non-profit - private,196,0
acute care hospitals,voluntary non-profit - private,197,0
acute care hospitals,voluntary non-profit - private,198,0
acute care hosxitals,voluntary non-profit - private,199,9
acute care hospitals,voluntary non-profit - private,200,0
acute care hospitals,voluntary non-profit - private,201,0
acute care hospitals,voluntary non-profit - private,202,0
acute care hospitals,voluntary non-profit - private,203,0
acute care hospitals,voluntary non-profit - private,204,0
acute care hospitals,voluntary non-profit - private,205,0
acute care hospitals,voluntary non-profit - private,206,0
acute care hospitals,voluntary non-profit - private,207,0
acute care hospitals,voluntary non-profit - private,208,0
acute care hospitals,voluntary non-profit - private,209,0
acute care hospitals,voluntary non-profit - private,210,0
acute care hospitals,voluntary non-profit - private,211,0
acute care hospitals,voluntary non-profit - private,212,0
acutx carx hospitals,voluntary non-profit - private,213,16
acute care hospitals,voluntary non-profit - private,214,0
acute care hospitals,voluntary non-profit - private,215,0
acute care hospitals,volunxary non-profix - privaxe,216,10
acute care hospitals,voluntary non-profit - private,217,0
acute care hospitals,voluntary nonxprofit x private,218,17
acute care hospitals,voluntary non-profit - church,219,18
acute care hospitals,voluntary non-profit - church,220,18
acute care hospitals,voluntaryxnon-profitx-xchurch,221,19
acute care hospitals,voluntary non-profit - church,222,18
acute care hospitals,voluntary non-profit - church,223,18
acute care hospitals,voluntary non-profit - church,224,18
acute care hospitals,voluntary non-profit - church,225,18
acute care hospitals,voluntary non-profit - church,226,18
acute care hospitals,voluntary non-profit - church,227,18
acute care hospitals,voluntary non-profit - church,228,18
acute care hospitals,voluntary non-profit - church,229,18
acute care hospitals,voluntary non-profit - church,230,18
acute care hospitals,voluntary non-profit - church,231,18
acute care hospitals,voluntary non-profit - church,232,18
acute care hospitals,voluntary non-profit - church,233,18
acute care hospitals,voluntary non-profit - church,234,18
acute care hospitals,voluntary non-profit - church,235,18
acute care hospitals,voluntary non-profit - church,236,18
acute care hospitals,voluntary non-profit - church,237,18
acute care hospitals,voxuntary non-profit - church,238,20
acute care hospitals,voluntary non-profit - church,239,18
acute care hospitals,voluntary non-profit - church,240,18
acute care hospitals,voluntary non-profit - church,241,18
acute care hospitals,voluntary non-profit - church,242,18
acute care hospitals,voluntary non-profit - church,243,18
acute care hospitals,government - federal,244,11
acute care hospitals,government - federal,245,11
acute care hospitals,government - federal,246,11
acute care hospitals,governxent - federal,247,21
acute care hospitals,government - federal,248,11
acute care hospitals,government - federal,249,11
acute care hospitals,government - federal,250,11
acute care hospitals,government - federal,251,11
acute care hospitals,government - federal,252,11
acute care hospitals,government - federal,253,11
acute care hospitals,government - federal,254,11
acute care hospitals,government - federal,255,11
acute care hospitals,government - federal,256,11
acute care hospitals,government - federal,257,11
acute care hospitals,government - federal,258,11
acute care hospitals,government - federal,259,11
acute care hospitals,government - federal,260,11
acute care hospitals,government - federal,261,11
acute care hospitals,government - federal,262,11
acute care hospitals,government - federal,263,11
acute care hospitals,government - federal,264,11
acute care hospitals,government - federal,265,11
acuxe care hospixals,government - federal,266,22
acute care hospitals,government - federal,267,11
acute care hospitals,government - federal,268,11
acute care hospitals,voluntary non-profit - church,269,18
acute care hospitals,voluntary non-profit - church,270,18
acute care hospitals,voluntary non-profit - church,271,18
acute care hospitals,voluntary non-profit - church,272,18
acute care hospitals,voluntary non-profit - church,273,18
acute care hospitals,voluntary non-profit - church,274,18
acute care hospitals,voluntary non-profit - church,275,18
acute care hospitals,voluntary non-profit - church,276,18
acute care hospitals,voluntary non-profit - church,277,18
acute care hospitals,voluntary non-profit - church,278,18
acute care hospitals,voluntary non-profit - church,279,18
acutexcarexhospitals,voluntary non-profit - church,280,23
acute care hospitals,voluntary non-profit - church,281,18
acute care hospitals,voluntary non-profit - church,282,18
acute care hospitals,voluntary non-profit - church,283,18
acute care hospitals,voluntary non-profit - church,284,18
acute care hospitals,voluntary non-profit - church,285,18
acute care hospitals,voluntary non-profit - church,286,18
acute care hospitals,voluntary non-profit - church,287,18
acute care hospitals,voluntary non-profit - church,288,18
acute care hospitals,voluntary non-profit - church,289,18
acute care hospitals,voluntary non-profit - church,290,18
acute care hospitals,voluntary non-profit - church,291,18
acute care hospitals,voluntary non-profit - church,292,18
acuxe care hospixals,voluntary non-profit - church,293,24
acute care hospitals,voluntary non-profit - private,294,0
acute care hospitals,voluntary non-profit - private,295,0
acute care hospitals,voluntary non-profit - private,296,0
acute care hospitals,voluntary non-profit - private,297,0
acute care hospitals,voluntary non-profit - private,298,0
acute care hospitals,voluntary non-profit - private,299,0
acute care hospitals,voluntary non-profit - private,300,0
acute care hospitals,voluntary non-profit - private,301,0
acute care hospitals,voluntary non-profit - private,302,0
acute care hospitals,voluntary non-profit - private,303,0
acute care hospitals,voluntary non-profit - private,304,0
acute care hospitals,voluntary non-profit - private,305,0
acute care hospitals,voluntary non-profit - private,306,0
acute care hospitals,voluntary non-profit - private,307,0
acute care hospitals,voluntary non-profit - private,308,0
acute care hospitals,voluntary non-profit - private,309,0
acute care hospitals,voluntary non-profit - private,310,0
acute care hospitals,proprietary,311,12
acute care hospitals,proprietary,312,12
acute care hospitals,prxprietary,313,25
acute care hospitals,proprietary,314,12
acute care hospitals,proprietary,315,12
acute care hospitals,proprietary,316,12
acute care hospitals,proprietary,317,12
acute care hospitals,proprietary,318,12
acute care hospitals,proprietary,319,12
acute care hospitals,proprietary,320,12
acute care hospitals,proprietary,321,12
acute care hospitals,proprietary,322,12
acute care hospitals,proprietary,323,12
acute care hospitals,proprietary,324,12
acute care hospitals,proprietary,325,12
acute care hospitals,proprietary,326,12
acute care hospitals,proprietary,327,12
acute care hospitals,proprietary,328,12
acute care hospitals,proprietary,329,12
acute care hospitals,proprietary,330,12
acute care hospitals,proprietary,331,12
acute care hospitals,proxrietary,332,14
acute care hospitals,proprietary,333,12
acute care hospitals,proprietary,334,12
acute care hospitals,proprietary,335,12
acute care hospitals,proprietary,336,12
acute care hospitals,proprietary,337,12
acute care hospitals,proprietary,338,12
acute care hospitals,proprietary,339,12
acute care hospitals,proprietary,340,12
acute care hospitals,proprietary,341,12
acute care hospitals,proprietary,342,12
acute care hospitals,proprietary,343,12
acute care hospitals,proprietary,344,12
acute care hospitals,proprietary,345,12
acute care hospitals,proprietary,346,12
acute care hospitals,proprietary,347,12
acute care hospitals,voluntary non-profit - other,348,8
acute care hospitals,voluntary non-profit - other,349,8
acute care hospitals,voluntary non-profit - other,350,8
acute care hospitals,voluntary non-profit - other,351,8
acute care hospitals,voluntary non-profit - other,352,8
acute care hospitals,government - hospital district or authority,353,1
acute care hospitals,proprietary,354,12
acute care hospitals,proprietary,355,12
acute care hospitals,prxprietary,356,25
acute care hospitals,proprietary,357,12
acute care hospitals,proprietary,358,12
acute care hospitals,proprietary,359,12
acute care hospitals,proprietary,360,12
acute care hospitals,proprietary,361,12
acute care hospitals,proprietary,362,12
acute care hospitals,proprietary,363,12
acute care hospitals,proprietary,364,12
acute care hospitals,proprietary,365,12
acute care hospitals,proprietary,366,12
acute care hospitals,proprietary,367,12
acute care hospitals,proprietary,368,12
acute care hospitals,proprietary,369,12
acute care hospitals,proprietary,370,12
acute care hospitals,proprietary,371,12
acute care hospitals,proprietary,372,12
acute care hospitals,proprietary,373,12
acute care hospitals,proprietary,374,12
acute care hospitals,proprietary,375,12
acute care hospitals,proprietary,376,12
acute care hospitals,proprietary,377,12
acute care hospitals,proprietary,378,12
acute care hospitals,government - state,379,26
acute care hospitals,government - state,380,26
acute care hospitals,government - state,381,26
acute care hospitals,government - state,382,26
acute care hospitals,government - state,383,26
acute care hospitals,government - state,384,26
acute care hospitals,government - state,385,26
acute care hospitals,government - state,386,26
acute care hospitals,government - state,387,26
acute care hospitals,government - state,388,26
acute care hospitals,government - state,389,26
acute care hospitals,government - state,390,26
acute care hospitals,government - state,391,26
acute care hospitals,voluntary non-profit - private,392,0
acute care hospitals,voluntary non-profit - private,393,0
acute care hospitals,voluntary non-profit - private,394,0
acute care hospitals,voluntary non-profit - private,395,0
acute care hospitals,voluntary non-profit - private,396,0
acute care hospitals,voluntary non-profit - private,397,0
acute care hospitals,voluntary non-profit - private,398,0
acute care hospitals,voluntary non-profit - private,399,0
acute care hospitals,voluntary non-profit - private,400,0
acute care hospitals,voluntary non-profit - private,401,0
acute care hospitals,voluntary non-profit - private,402,0
acute care hospitals,voluntary non-profit - private,403,0
acute care hospitals,voluntary non-profit - private,404,0
acute care hospitals,voluntary non-profit - private,405,0
acute care hospitals,voluntary non-profit - private,406,0
acute care hospitals,voluntary non-profit - private,407,0
acute care hospitals,voluntary non-profit - private,408,0
acute care hospitals,voluntary non-profit - private,409,0
acute care hospitals,voluntary non-profit - private,410,0
acute care hosxitals,voluntary non-profit - private,411,9
acute care hospitals,proprietary,412,12
acuxe care hospixals,proprietary,413,27
acute care hospitals,voluntary non-profit - other,414,8
acute care hospitals,voluntary non-profit - other,415,8
acute care hospitals,voluntary non-profit - other,416,8
acute care hospitals,voluntary non-profit - other,417,8
acute care hospitals,voluntary non-profit - other,418,8
acute care hospitals,voluntary non-profit - other,419,8
acute care hospitals,voluntary non-profit - other,420,8
acute care hospitals,voluntary non-profit - other,421,8
acute care hospitals,voluntary non-profit - other,422,8
acute care hospitals,voluntary non-profit - other,423,8
acute care hospitals,voluntary non-profit - other,424,8
acute care hospitals,voluntary non-profit - other,425,8
acute care hospitals,voluntary non-profit - other,426,8
acute care hospitals,voluntary non-profit - other,427,8
acute care hospitals,voluntary non-profit - other,428,8
acute care hospitals,voluntary non-profit - other,429,8
acute care hospitals,voluntary non-profit - other,430,8
acute care hospitals,voluntary non-profit - other,431,8
acute care hospitals,proprietary,432,12
acute care hospitals,proprietary,433,12
acute care hospitals,proprietary,434,12
acute care hospitals,proprietary,435,12
acute care hospitals,proprietary,436,12
acute care hospitals,proprietary,437,12
acute care hospitals,proprietary,438,12
acute care hospitals,proprietary,439,12
acute care hospitals,proprietary,440,12
acute care hospitals,proprietary,441,12
acute care hospitals,proprietary,442,12
acute care hospitals,proprietary,443,12
acute care hospitals,proprietary,444,12
acute care hospitals,proprietary,445,12
acute care hospitals,proprietary,446,12
acute care hospitals,proprietary,447,12
acute care hospitals,proprietary,448,12
acute care hospitals,proxrietary,449,14
acute care hospitals,government - federal,450,11
acute care hospitals,government - federal,451,11
acute care hospitals,government - hospital district or authority,452,1
acute care hospitaxs,government - hospital district or authority,453,28
acute care hospitals,government - hospital district or authority,454,1
acute care hospitals,government - hospital district or authority,455,1
acute care hospitals,gxvernment - hxspital district xr authxrity,456,7
acute care hospitals,government - hospital district or authority,457,1
acute care hospitals,government - hospital district or authority,458,1
acute care hospitals,government - hospital district or authority,459,1
acute care hospitals,government - hospital district or authority,460,1
acute care hospitals,government - hospital district or authority,461,1
acute care hospitals,government - hospital district or authority,462,1
acute care hospitals,government - hospital district or authority,463,1
acute care hospitals,government - hospital district or authority,464,1
acute care hospitals,government - hospital district or authority,465,1
acute care hospitals,government - hospital district or authority,466,1
acute care hospitals,government - hospital district or authority,467,1
acute care hospitals,government - hospital district or authority,468,1
acute care hospitals,government - hospital district or authority,469,1
acute care hospitals,government - hospital district or authority,470,1
acute care hospitals,government - hospital district or authority,471,1
acute care hospitals,government - hospital district or authority,472,1
acute care hospitals,government - hospital district or authority,473,1
acute care hospitals,government - hospital district or authority,474,1
acute care hospitals,government - hospital district or authority,475,1
acute care hospitals,government - hospital district or authority,476,1
acute care hospitals,government - hospital district or authority,477,1
acute care hospitals,government - hospital district or authority,478,1
acute care hospitals,government - hospital district or authority,479,1
acute care hospitals,government - hospital district or authority,480,1
acute care hospitals,government - hospital district or authority,481,1
acute care hospitals,government - hospital district or authority,482,1
acute care hospitals,government - hospital district or authority,483,1
acute care hospitals,government - hospital district or authority,484,1
acute care hospitals,government - hospital district or authority,485,1
acute care hospitals,government - hospital district or authority,486,1
acute care hospitals,government - hospital district or authority,487,1
acute care hospitals,government - hospital district or authority,488,1
acute care hospitals,government - hospital district or authority,489,1
acute caxe hospitals,government - hospital district or authority,490,29
acute care hospitals,voluntary non-profit - private,491,0
acute care hospitals,voluntary non-profit - private,492,0
acute care hxspitals,voluntaryxnon-profitx-xprivate,493,30
acute care hospitals,voluntary non-profit - private,494,0
acute care hospitals,voluntary non-profit - private,495,0
acute care hospitals,voluntary non-profit - private,496,0
acutx carx hospitals,voluntary non-profit - private,497,16
acute care hospitals,voluntary non-profit - private,498,0
acute care hospitals,voluntary non-profit - private,499,0
acute care hospitals,voluntary non-profit - private,500,0
acute care hospitals,voluntary non-profit - private,501,0
acute care hospitals,voluntary non-profit - private,502,0
acute care hospitals,voluntary non-profit - private,503,0
acute care hospitals,voluntary non-profit - private,504,0
acute care hospitals,voluntary non-profit - private,505,0
acute care hospitals,voluntary non-profit - private,506,0
acute care hospitals,voluntary non-profit - private,507,0
acute care hospitals,voluntary non-profit - private,508,0
acute care hospitals,voluntary non-profit - private,509,0
acute care hospitals,voluntary non-profit - private,510,0
acuxe care hospixals,voluntary non-profit - private,511,31
acute care hospitals,voluntary non-profit - private,512,0
acute care hospitals,voluntary non-profit - private,513,0
acute care hospitals,voluntary non-profit - private,514,0
acute care hospitals,voluntary non-profit - private,515,0
acute care hospitals,voluntary non-profit - church,516,18
acute care hospitals,voluntary non-profit - church,517,18
acute care hospitals,voluntary non-profit - church,518,18
acute care hospitals,voluntary non-profit - church,519,18
acute care hospitals,voluntary non-profit - church,520,18
acute care hospitals,voluntary non-profit - church,521,18
acute care hospitals,voluntary non-profit - church,522,18
acute care hospitals,voluntary non-profit - church,523,18
acute care hospitals,voluntary non-profit - church,524,18
acute care hospitals,voluntary non-profit - church,525,18
acute care hospitals,volxntary non-profit - chxrch,526,32
acute care hospitals,voluntary non-profit - church,527,18
acute care hospitals,voluntary non-profit - church,528,18
acute care hospitals,voluntary non-profit - church,529,18
acute care hospitals,voluntary non-profit - church,530,18
acute care hospitals,voluntary non-profit - church,531,18
acute care hosxitals,voluntary non-profit - church,532,33
acute care hospitals,voluntary non-profit - church,533,18
acute care hospitals,voluntary non-profit - church,534,18
acute care hospitals,voluntary non-profit - church,535,18
acute care hospitals,voluntary non-profit - church,536,18
acute care hospitals,voluntary non-profit - church,537,18
acute care hospitals,voluntary non-profit - church,538,18
acute care hospitals,voluntary non-profit - church,539,18
acute care hospitals,voluntary non-profit - church,540,18
acute care hospitals,voluntary non-profit - private,541,0
acute care hospitals,voluntary non-profit - private,542,0
acute care hospitals,voluntary non-profit - private,543,0
acute care hospitals,voluntary non-profit - private,544,0
acute care hospitals,voluntary non-profit - private,545,0
acute care hospitals,voluntary non-profit - private,546,0
acute care hospitals,voluntary non-profit - private,547,0
acute care hospitals,voluntary non-profit - private,548,0
acute care hospitals,voluntary non-profit - private,549,0
acute care hospitals,voluntary non-profit - private,550,0
acute care hospitals,voluntary non-profit - private,551,0
acute care hospitals,voluntary non-profit - private,552,0
acute care hospitals,voluntary non-profit - private,553,0
acute care hospitals,voluntary non-profit - private,554,0
acute care hospitals,voluntary non-profit - private,555,0
acute care hospitals,voluntary non-profit - private,556,0
acute care hospitals,voluntary non-profit - private,557,0
acute care hospitals,voluntary non-profit - private,558,0
acute care hospitals,voluntary non-profit - private,559,0
acute care hospitals,voluntary non-profit - private,560,0
acute care hospitals,voluntary non-profit - private,561,0
acute care hospitals,voluntary non-profit - private,562,0
acute care hospitals,voluntary non-profit - private,563,0
acute care hospitals,voluntary non-profit - private,564,0
acute care hospitals,voluntary non-profit - private,565,0
acute care hospitals,voluntary non-profit - other,566,8
acute care hospitals,voluntary non-profit - other,567,8
acute care hospitals,voluntary non-profit - other,568,8
acute care hospitals,voluntary non-profit - other,569,8
acute care hospitals,voluntary non-profit - other,570,8
acute care hospitals,voluntary non-profit - other,571,8
acute care hospitals,voluntary non-profit - otxer,572,34
acute care hospitals,voluntary non-profit - other,573,8
acute care hospitals,voluntary non-profit - other,574,8
acute care hospitals,voluntary non-profit - other,575,8
acute care hospitals,voluntary non-profit - other,576,8
acute care hospitals,voluntary non-profit - other,577,8
acute care hospitals,voluntary non-profit - other,578,8
acute care hospitals,voluntary non-profit - other,579,8
acute care hospitals,voluntary non-profit - other,580,8
acute care hospitals,voluntary non-profit - other,581,8
acute care hospitals,voluntary non-profit - other,582,8
acute care hospitals,voluntary non-profit - other,583,8
acute care hospitals,voluntary non-profit - other,584,8
acute care hospitals,voluntary non-profit - other,585,8
acute care hospitals,voluntary non-profit - other,586,8
acute care hospitals,voluntary non-profit - other,587,8
acuxe care hospixals,voluntary non-profit - other,588,35
acute care hospitals,voluntary non-profit - other,589,8
acute care hospitals,voluntary non-profit - other,590,8
acute care hospitals,voluntary non-profit - other,591,8
acute care hospitals,voluntary non-profit - other,592,8
acute care hospitals,voluntary non-profit - other,593,8
acute care hospitals,voluntary non-profit - other,594,8
acute care hospitals,voluntary non-profit - other,595,8
acute care hospitals,voluntary non-profit - other,596,8
acute care hospitals,voluntary non-profit - other,597,8
acute care hospitals,voluntary non-profit - other,598,8
acute care hospitals,voluntary non-profit - other,599,8
acute care hospitals,voluntary non-profit - other,600,8
acute care hospitals,voluntary non-profit - other,601,8
acute care hospitals,voluntary non-profit - other,602,8
acute care hospitals,voluntary non-profit - other,603,8
acute care hospitals,voluntary non-profit - other,604,8
acute care hospitals,voluntary non-profit - other,605,8
acute care hospitals,voluntary non-profit - other,606,8
acute care hospitals,voluntary non-profit - other,607,8
acute care hospitals,voluntary non-profit - other,608,8
acute care hospitals,voluntary non-profit - other,609,8
acute care hospitals,voluntary non-profit - other,610,8
acute care hospitals,voluntary non-profit - other,611,8
acute care hospitals,voluntary non-profit - other,612,8
acute care hospitals,voluntary non-profit - other,613,8
acute care hospitals,voluntary non-profit - other,614,8
acute care hospitals,voluntary non-profit - other,615,8
acute care hospitals,government - hospital district or authority,616,1
acute care hospitals,government - hospital district or authority,617,1
acute care hospitals,government - hospital district or authority,618,1
acute care hospitals,government - hospital district or authority,619,1
acute care hospitals,government - hospital district or authority,620,1
acute care hospitals,government - hospital district or authority,621,1
acute care hospitals,government - hospital district or authority,622,1
acute care hospitals,government - hospital district or authority,623,1
acute care hospitals,government - hospital district or authority,624,1
acute care hospitals,government - hospital district or authority,625,1
acute care hospitals,government - hospital district or authority,626,1
acute care hospitals,government - hospital district or authority,627,1
acute care hospitals,government - hospital district or authority,628,1
acute care hospitals,government - hospital district or authority,629,1
acute care hospitals,government - hospital district or authority,630,1
acute care hospitals,government - hospital district or authority,631,1
acute care hospitals,government - hospital district or authority,632,1
acute care hospitals,government - hospital district or authority,633,1
acuxe care hospixals,government - hospital district or authority,634,2
acute care hospitals,government - hospital district or authority,635,1
acute care hospitals,government - hospital district or authority,636,1
acute care hospitals,government - hospital district or authority,637,1
acute care hospitals,government - hospital district or authority,638,1
acute care hospitals,government - hospital district or authority,639,1
acute care hospitals,government - hospital district or authority,640,1
acute care hospitals,government - local,641,36
acute care hospitals,government - local,642,36
acute care hospitals,government - local,643,36
acute care hospitals,government - local,644,36
acute care hospitals,government - local,645,36
acute care hospitals,government - local,646,36
acute care hospitals,government - local,647,36
acute care hospitals,government - local,648,36
acute care hospitals,government - local,649,36
acute care hospitals,government - local,650,36
acute care hospitals,government - local,651,36
acute care hospitals,government - local,652,36
acute care hospitals,government - local,653,36
acute care hospitals,government - local,654,36
acute care hospitals,government - local,655,36
acute care hospitals,government - local,656,36
acute care hospitals,government - local,657,36
acute care hospitals,government - local,658,36
