brewery_name,city,original_index,unique_index,count
4 Hands Brewing Company,Saint Louis,46,6,7
4 Hands Brewing Company,Saint Louis MO,47,7,1
4 Hands Brewing Company,Saint Louis,48,6,7
4 Hands Brewing Company,Saint Louis,49,6,7
450 North Brewing Company,Columbus,50,8,7
450 North Brewing Company,Columbus,51,8,7
450 North Brewing Company,Columbus,52,8,7
450 North Brewing Company,Columbus,53,8,7
450 North Brewing Company,Columbus,54,8,7
450 North Brewing Company,Columbus,55,8,7
450 North Brewing Company,Columbus,56,8,7
7 Seas Brewing Company,Gig Harbor,57,9,4
7 Seas Brewing Company,Gig Harbor,58,9,4
7 Seas Brewing Company,Gig Harbor,59,9,4
7 Seas Brewing Company,Gig Harbor,60,9,4
7venth Sun,Dunedin,61,10,1
AC Golden Brewing Company,Golden,62,11,2
AC Golden Brewing Company,Golden,63,11,2
Abita Brewing Company,Abita Springs,64,12,3
Abita Brewing Company,Abita Springs,65,12,3
Abita Brewing Company,Abita Springs,66,12,3
Against The Grain Brewery,Louisville,67,13,2
Against The Grain Brewery,Louisville,68,13,2
Against the Grain Brewery,Louisville,69,14,13
Against the Grain Brewery,Louisville,70,14,13
Against the Grain Brewery,Louisville,71,14,13
Against the Grain Brewery,Louisville,72,14,13
Against the Grain Brewery,Louisville,73,14,13
Against the Grain Brewery,Louisville,74,14,13
Against the Grain Brewery,Louisville,75,14,13
Against the Grain Brewery,Louisville,76,14,13
Against the Grain Brewery,Louisville,77,14,13
Against the Grain Brewery,Louisville,78,14,13
Against the Grain Brewery,Louisville,79,14,13
Against the Grain Brewery,Louisville,80,14,13
Against the Grain Brewery,Louisville,81,14,13
Airways Brewing Company,Kent,82,15,3
Airways Brewing Company,Kent,83,15,3
Airways Brewing Company,Kent,84,15,3
Alameda Brewing,Portland,85,16,3
Alameda Brewing,Portland,86,16,3
Alameda Brewing,Portland,87,16,3
Alaskan Brewing Company,Juneau,88,17,2
Alaskan Brewing Company,Juneau,89,17,2
Ale Asylum,Madison WI,90,18,1
Alltech's Lexington Brewing Company,Lexington,91,19,2
Alltech's Lexington Brewing Company,Lexington,92,19,2
Amnesia Brewing Company,Washougal,93,20,3
Amnesia Brewing Company,Washougal,94,20,3
Amnesia Brewing Company,Washougal,95,20,3
Anchor Brewing Company,San Francisco,96,21,5
Anchor Brewing Company,San Francisco,97,21,5
Anchor Brewing Company,San Francisco,98,21,5
Anchor Brewing Company,San Francisco,99,21,5
Anchor Brewing Company,San Francisco,100,21,5
Anderson Valley Brewing Company,Boonville,101,22,18
Anderson Valley Brewing Company,Boonville,102,22,18
Anderson Valley Brewing Company,Boonville,103,22,18
Anderson Valley Brewing Company,Boonville,104,22,18
Anderson Valley Brewing Company,Boonville,105,22,18
Anderson Valley Brewing Company,Boonville,106,22,18
Anderson Valley Brewing Company,Boonville,107,22,18
Anderson Valley Brewing Company,Boonville,108,22,18
Anderson Valley Brewing Company,Boonville,109,22,18
Anderson Valley Brewing Company,Boonville,110,22,18
Anderson Valley Brewing Company,Boonville,111,22,18
Anderson Valley Brewing Company,Boonville,112,22,18
Anderson Valley Brewing Company,Boonville,113,22,18
Anderson Valley Brewing Company,Boonville,114,22,18
Anderson Valley Brewing Company,Boonville,115,22,18
Anderson Valley Brewing Company,Boonville,116,22,18
Anderson Valley Brewing Company,Boonville,117,22,18
Anderson Valley Brewing Company,Boonville,118,22,18
Angry Minnow,Hayward,119,23,1
Angry Minnow Brewing Company,Hayward,120,24,1
Angry Minnow Brewing Company,Hayward WI,121,25,1
Angry Orchard Cider Company,Cincinnati,122,26,3
Angry Orchard Cider Company,Cincinnati,123,26,3
Angry Orchard Cider Company,Cincinnati,124,26,3
Anthem Brewing Company,Oklahoma City,125,27,3
Anthem Brewing Company,Oklahoma City,126,27,3
Anthem Brewing Company,Oklahoma City,127,27,3
Appalachian Mountain Brewery,Boone,128,28,3
Appalachian Mountain Brewery,Boone,129,28,3
Appalachian Mountain Brewery,Boone,130,28,3
Arcadia Brewing Company,Battle Creek,131,29,2
Arcadia Brewing Company,Battle Creek,132,29,2
Arctic Craft Brewery,Colorado Springs,133,30,1
Armadillo Ale Works,Denton TX,134,31,1
Armadillo Ale Works,Denton,135,32,1
Armstrong Brewing Company,South San Francisco,136,33,1
Asher Brewing Company,Boulder,137,34,1
Asheville Brewing Company,Asheville,138,35,2
Asheville Brewing Company,Asheville NC,139,36,1
Asheville Brewing Company,Asheville,140,35,2
Aslan Brewing Company,Bellingham,141,37,3
Aslan Brewing Company,Bellingham,142,37,3
Aslan Brewing Company,Bellingham,143,37,3
Aspen Brewing Company,Aspen,144,38,2
Aspen Brewing Company,Aspen,145,38,2
Astoria Brewing Company,Astoria,146,39,4
Astoria Brewing Company,Astoria,147,39,4
Astoria Brewing Company,Astoria,148,39,4
Astoria Brewing Company,Astoria,149,39,4
Atwater Brewery,Detroit,150,40,5
Atwater Brewery,Detroit,151,40,5
Atwater Brewery,Detroit,152,40,5
Atwater Brewery,Detroit,153,40,5
Atwater Brewery,Detroit,154,40,5
Atwater Brewery,Detroit MI,155,41,1
Austin Beerworks,Austin,156,42,5
Austin Beerworks,Austin,157,42,5
Austin Beerworks,Austin,158,42,5
Austin Beerworks,Austin,159,42,5
Austin Beerworks,Austin,160,42,5
Avery Brewing Company,Boulder,161,43,6
Avery Brewing Company,Boulder,162,43,6
Avery Brewing Company,Boulder,163,43,6
Avery Brewing Company,Boulder,164,43,6
Avery Brewing Company,Boulder,165,43,6
Avery Brewing Company,Boulder,166,43,6
Aviator Brewing Company,Fuquay-Varina,167,44,6
Aviator Brewing Company,Fuquay-Varina,168,44,6
Aviator Brewing Company,Fuquay-Varina,169,44,6
Aviator Brewing Company,Fuquay-Varina,170,44,6
Aviator Brewing Company,Fuquay-Varina,171,44,6
Aviator Brewing Company,Fuquay-Varina,172,44,6
Back East Brewing Company,Bloomfield,173,45,5
Back East Brewing Company,Bloomfield,174,45,5
Back East Brewing Company,Bloomfield,175,45,5
Back East Brewing Company,Bloomfield,176,45,5
Back East Brewing Company,Bloomfield,177,45,5
Back Forty Beer Company,Gadsden,178,46,2
Back Forty Beer Company,Gadsden,179,46,2
Bale Breaker Brewing Company,Yakima,180,47,2
Bale Breaker Brewing Company,Yakima,181,47,2
Ballast Point Brewing Company,San Diego,182,48,5
Ballast Point Brewing Company,San Diego CA,183,49,1
Ballast Point Brewing Company,San Diego,184,48,5
Ballast Point Brewing Company,San Diego,185,48,5
Ballast Point Brewing Company,San Diego,186,48,5
Ballast Point Brewing Company,San Diego,187,48,5
Banner Beer Company,Williamsburg,188,50,3
Banner Beer Company,Williamsburg,189,50,3
Banner Beer Company,Williamsburg,190,50,3
Bare Hands Brewery,Granger,191,51,1
Barrio Brewing Company,Tucson,192,52,2
Barrio Brewing Company,Tucson,193,52,2
Base Camp Brewing Co.,Portland,194,53,5
Base Camp Brewing Co.,Portland,195,53,5
Base Camp Brewing Co.,Portland,196,53,5
Base Camp Brewing Co.,Portland,197,53,5
Base Camp Brewing Co.,Portland,198,53,5
Bauhaus Brew Labs,Minneapolis,199,54,4
Bauhaus Brew Labs,Minneapolis,200,54,4
Bauhaus Brew Labs,Minneapolis,201,54,4
Bauhaus Brew Labs,Minneapolis,202,54,4
Baxter Brewing Company,Lewiston,203,55,9
Baxter Brewing Company,Lewiston,204,55,9
Baxter Brewing Company,Lewiston,205,55,9
Baxter Brewing Company,Lewiston,206,55,9
Baxter Brewing Company,Lewiston,207,55,9
Baxter Brewing Company,Lewiston,208,55,9
Baxter Brewing Company,Lewiston,209,55,9
Baxter Brewing Company,Lewiston,210,55,9
Baxter Brewing Company,Lewiston,211,55,9
Beach Brewing Company,Virginia Beach,212,56,1
Beer Works Brewery,Lowell,213,57,4
Beer Works Brewery,Lowell,214,57,4
Beer Works Brewery,Lowell,215,57,4
Beer Works Brewery,Lowell,216,57,4
Bell's Brewery,Kalamazoo,217,58,6
Bell's Brewery,Kalamazoo,218,58,6
Bell's Brewery,Kalamazoo,219,58,6
Bell's Brewery,Kalamazoo,220,58,6
Bell's Brewery,Kalamazoo,221,58,6
Bell's Brewery,Kalamazoo,222,58,6
Bent Brewstillery,Roseville,223,59,3
Bent Brewstillery,Roseville,224,59,3
Bent Brewstillery,Roseville,225,59,3
Bent Paddle Brewing Company,Duluth,226,60,5
Bent Paddle Brewing Company,Duluth,227,60,5
Bent Paddle Brewing Company,Duluth,228,60,5
Bent Paddle Brewing Company,Duluth,229,60,5
Bent Paddle Brewing Company,Duluth MN,230,61,1
Bent Paddle Brewing Company,Duluth,231,60,5
Berkshire Brewing Company,South Deerfield,232,62,2
Berkshire Brewing Company,South Deerfield,233,62,2
Big Bend Brewing Company,Alpine,234,63,5
Big Bend Brewing Company,Alpine,235,63,5
Big Bend Brewing Company,Alpine,236,63,5
Big Bend Brewing Company,Alpine,237,63,5
Big Bend Brewing Company,Alpine,238,63,5
Big Choice Brewing,Broomfield,239,64,4
Big Choice Brewing,Broomfield,240,64,4
Big Choice Brewing,Broomfield,241,64,4
Big Choice Brewing,Broomfield,242,64,4
Big Elm Brewing,Sheffield,243,65,3
Big Elm Brewing,Sheffield,244,65,3
Big Elm Brewing,Sheffield,245,65,3
Big Lake Brewing,Holland,246,66,2
Big Lake Brewing,Holland,247,66,2
Big Muddy Brewing,Murphysboro,248,67,2
Big Muddy Brewing,Murphysboro,249,67,2
Big River Brewing Company,Chattanooga,250,68,2
Big River Brewing Company,Chattanooga,251,68,2
Big Sky Brewing Company,Missoula,252,69,12
Big Sky Brewing Company,Missoula,253,69,12
Big Sky Brewing Company,Missoula,254,69,12
Big Sky Brewing Company,Missoula,255,69,12
Big Sky Brewing Company,Missoula,256,69,12
Big Sky Brewing Company,Missoula,257,69,12
Big Sky Brewing Company,Missoula,258,69,12
Big Sky Brewing Company,Missoula,259,69,12
Big Sky Brewing Company,Missoula,260,69,12
Big Sky Brewing Company,Missoula,261,69,12
Big Sky Brewing Company,Missoula,262,69,12
Big Sky Brewing Company,Missoula,263,69,12
Big Storm Brewing Company,Odessa,264,70,2
Big Storm Brewing Company,Odessa,265,70,2
Big Wood Brewery,Vadnais Heights,266,71,5
Big Wood Brewery,Vadnais Heights,267,71,5
Big Wood Brewery,Vadnais Heights,268,71,5
Big Wood Brewery,Vadnais Heights,269,71,5
Big Wood Brewery,Vadnais Heights,270,71,5
Birdsong Brewing Company,Charlotte,271,72,1
Bitter Root Brewing,Hamilton,272,73,3
Bitter Root Brewing,Hamilton,273,73,3
Bitter Root Brewing,Hamilton,274,73,3
Black Acre Brewing Co.,Indianapolis,275,74,1
Black Market Brewing Company,Temecula,276,75,4
Black Market Brewing Company,Temecula,277,75,4
Black Market Brewing Company,Temecula,278,75,4
Black Market Brewing Company,Temecula,279,75,4
Black Shirt Brewing Company,Denver,280,76,4
Black Shirt Brewing Company,Denver,281,76,4
Black Shirt Brewing Company,Denver,282,76,4
Black Shirt Brewing Company,Denver,283,76,4
Black Tooth Brewing Company,Sheridan,284,77,2
Black Tooth Brewing Company,Sheridan,285,77,2
Blackrocks Brewery,Marquette,286,78,7
Blackrocks Brewery,Marquette,287,78,7
Blackrocks Brewery,Marquette,288,78,7
Blackrocks Brewery,Marquette,289,78,7
Blackrocks Brewery,Marquette,290,78,7
Blackrocks Brewery,Marquette,291,78,7
Blackrocks Brewery,Marquette,292,78,7
Blue Blood Brewing Company,Lincoln,293,79,14
Blue Blood Brewing Company,Lincoln,294,79,14
Blue Blood Brewing Company,Lincoln,295,79,14
Blue Blood Brewing Company,Lincoln,296,79,14
Blue Blood Brewing Company,Lincoln,297,79,14
Blue Blood Brewing Company,Lincoln,298,79,14
Blue Blood Brewing Company,Lincoln,299,79,14
Blue Blood Brewing Company,Lincoln,300,79,14
Blue Blood Brewing Company,Lincoln,301,79,14
Blue Blood Brewing Company,Lincoln,302,79,14
Blue Blood Brewing Company,Lincoln,303,79,14
Blue Blood Brewing Company,Lincoln,304,79,14
Blue Blood Brewing Company,Lincoln,305,79,14
Blue Blood Brewing Company,Lincoln,306,79,14
Blue Dog Mead,Eugene,307,80,2
Blue Dog Mead,Eugene,308,80,2
Blue Hills Brewery,Canton MA,309,81,1
Blue Mountain Brewery,Afton VA,310,82,1
Blue Mountain Brewery,Afton,311,83,3
Blue Mountain Brewery,Afton,312,83,3
Blue Mountain Brewery,Afton,313,83,3
Blue Mountain Brewery,Arrington,314,84,1
Blue Owl Brewing,Austin,315,85,4
Blue Owl Brewing,Austin,316,85,4
Blue Owl Brewing,Austin,317,85,4
Blue Owl Brewing,Austin,318,85,4
Blue Point Brewing Company,Patchogue,319,86,4
Blue Point Brewing Company,Patchogue,320,86,4
Blue Point Brewing Company,Patchogue,321,86,4
Blue Point Brewing Company,Patchogue,322,86,4
Bohemian Brewery,Midvale,323,87,5
Bohemian Brewery,Midvale,324,87,5
Bohemian Brewery,Midvale,325,87,5
Bohemian Brewery,Midvale,326,87,5
Bohemian Brewery,Midvale,327,87,5
Bold City Brewery,Jacksonville,328,88,3
Bold City Brewery,Jacksonville,329,88,3
Bold City Brewery,Jacksonville,330,88,3
Bolero Snort Brewery,Ridgefield Park,331,89,2
Bolero Snort Brewery,Ridgefield Park,332,89,2
Bomb Beer Company,New York,333,90,2
Bomb Beer Company,New York,334,90,2
Bonfire Brewing Company,Eagle,335,91,18
Bonfire Brewing Company,Eagle,336,91,18
Bonfire Brewing Company,Eagle,337,91,18
Bonfire Brewing Company,Eagle,338,91,18
Bonfire Brewing Company,Eagle,339,91,18
Bonfire Brewing Company,Eagle,340,91,18
Bonfire Brewing Company,Eagle,341,91,18
Bonfire Brewing Company,Eagle,342,91,18
Bonfire Brewing Company,Eagle,343,91,18
Bonfire Brewing Company,Eagle,344,91,18
Bonfire Brewing Company,Eagle,345,91,18
Bonfire Brewing Company,Eagle,346,91,18
Bonfire Brewing Company,Eagle,347,91,18
Bonfire Brewing Company,Eagle,348,91,18
Bonfire Brewing Company,Eagle,349,91,18
Bonfire Brewing Company,Eagle,350,91,18
Bonfire Brewing Company,Eagle,351,91,18
Bonfire Brewing Company,Eagle CO,352,92,1
Bonfire Brewing Company,Eagle,353,91,18
Borderlands Brewing Company,Tucson,354,93,1
Boston Beer Company,Boston,355,94,9
Boston Beer Company,Boston,356,94,9
Boston Beer Company,Boston,357,94,9
Boston Beer Company,Boston,358,94,9
Boston Beer Company,Boston,359,94,9
Boston Beer Company,Boston,360,94,9
Boston Beer Company,Boston,361,94,9
Boston Beer Company,Boston,362,94,9
Boston Beer Company,Boston,363,94,9
Boulder Beer Company,Boulder,364,95,3
Boulder Beer Company,Boulder,365,95,3
Boulder Beer Company,Boulder,366,95,3
Boulevard Brewing Company,Kansas City,367,96,1
Boxcar Brewing Company,West Chester,368,97,3
Boxcar Brewing Company,West Chester,369,97,3
Boxcar Brewing Company,West Chester,370,97,3
Bozeman Brewing Company,Bozeman,371,98,5
Bozeman Brewing Company,Bozeman,372,98,5
Bozeman Brewing Company,Bozeman,373,98,5
Bozeman Brewing Company,Bozeman,374,98,5
Bozeman Brewing Company,Bozeman,375,98,5
Branchline Brewing Company,San Antonio,376,99,1
Breakside Brewery,Portland,377,100,1
Breckenridge Brewery,Denver,378,101,3
Breckenridge Brewery,Denver,379,101,3
Breckenridge Brewery,Denver,380,101,3
Breckenridge Brewery,Denver CO,381,102,1
Brew Bus Brewing,Tampa,382,103,4
Brew Bus Brewing,Tampa,383,103,4
Brew Bus Brewing,Tampa,384,103,4
Brew Bus Brewing,Tampa,385,103,4
Brew Link Brewing,Plainfield IN,386,104,1
Brewery Terra Firma,Traverse City,387,105,1
Brewery Vivant,Grand Rapids,388,106,61
Brewery Vivant,Grand Rapids,389,106,61
Brewery Vivant,Grand Rapids,390,106,61
Brewery Vivant,Grand Rapids,391,106,61
Brewery Vivant,Grand Rapids,392,106,61
Brewery Vivant,Grand Rapids,393,106,61
Brewery Vivant,Grand Rapids,394,106,61
Brewery Vivant,Grand Rapids,395,106,61
Brewery Vivant,Grand Rapids,396,106,61
Brewery Vivant,Grand Rapids,397,106,61
Brewery Vivant,Grand Rapids,398,106,61
Brewery Vivant,Grand Rapids,399,106,61
Brewery Vivant,Grand Rapids,400,106,61
Brewery Vivant,Grand Rapids,401,106,61
Brewery Vivant,Grand Rapids,402,106,61
Brewery Vivant,Grand Rapids,403,106,61
Brewery Vivant,Grand Rapids,404,106,61
Brewery Vivant,Grand Rapids,405,106,61
Brewery Vivant,Grand Rapids,406,106,61
Brewery Vivant,Grand Rapids,407,106,61
Brewery Vivant,Grand Rapids,408,106,61
Brewery Vivant,Grand Rapids,409,106,61
Brewery Vivant,Grand Rapids MI,410,107,1
Brewery Vivant,Grand Rapids,411,106,61
Brewery Vivant,Grand Rapids,412,106,61
Brewery Vivant,Grand Rapids,413,106,61
Brewery Vivant,Grand Rapids,414,106,61
Brewery Vivant,Grand Rapids,415,106,61
Brewery Vivant,Grand Rapids,416,106,61
Brewery Vivant,Grand Rapids,417,106,61
Brewery Vivant,Grand Rapids,418,106,61
Brewery Vivant,Grand Rapids,419,106,61
Brewery Vivant,Grand Rapids,420,106,61
Brewery Vivant,Grand Rapids,421,106,61
Brewery Vivant,Grand Rapids,422,106,61
Brewery Vivant,Grand Rapids,423,106,61
Brewery Vivant,Grand Rapids,424,106,61
Brewery Vivant,Grand Rapids,425,106,61
Brewery Vivant,Grand Rapids,426,106,61
Brewery Vivant,Grand Rapids,427,106,61
Brewery Vivant,Grand Rapids,428,106,61
Brewery Vivant,Grand Rapids,429,106,61
Brewery Vivant,Grand Rapids,430,106,61
Brewery Vivant,Grand Rapids,431,106,61
Brewery Vivant,Grand Rapids,432,106,61
Brewery Vivant,Grand Rapids,433,106,61
Brewery Vivant,Grand Rapids,434,106,61
Brewery Vivant,Grand Rapids,435,106,61
Brewery Vivant,Grand Rapids,436,106,61
Brewery Vivant,Grand Rapids,437,106,61
Brewery Vivant,Grand Rapids,438,106,61
Brewery Vivant,Grand Rapids,439,106,61
Brewery Vivant,Grand Rapids,440,106,61
Brewery Vivant,Grand Rapids,441,106,61
Brewery Vivant,Grand Rapids,442,106,61
Brewery Vivant,Grand Rapids,443,106,61
Brewery Vivant,Grand Rapids,444,106,61
Brewery Vivant,Grand Rapids,445,106,61
Brewery Vivant,Grand Rapids,446,106,61
Brewery Vivant,Grand Rapids,447,106,61
Brewery Vivant,Grand Rapids,448,106,61
Brewery Vivant,Grand Rapids,449,106,61
Brindle Dog Brewing Company,Tampa Bay,450,108,1
Brindle Dog Brewing Company,Tampa Bay FL,451,109,1
Broad Brook Brewing LLC,East Windsor,452,110,1
Broken Tooth Brewing Company,Anchorage,453,111,4
Broken Tooth Brewing Company,Anchorage,454,111,4
Broken Tooth Brewing Company,Anchorage,455,111,4
Broken Tooth Brewing Company,Anchorage,456,111,4
Brooklyn Brewery,Brooklyn,457,112,5
Brooklyn Brewery,Brooklyn,458,112,5
Brooklyn Brewery,Brooklyn,459,112,5
Brooklyn Brewery,Brooklyn,460,112,5
Brooklyn Brewery,Brooklyn NY,461,113,1
Brooklyn Brewery,Brooklyn,462,112,5
Buckbean Brewing Company,Reno,463,114,6
Buckbean Brewing Company,Reno,464,114,6
Buckbean Brewing Company,Reno,465,114,6
Buckbean Brewing Company,Reno NV,466,115,1
Buckbean Brewing Company,Reno,467,114,6
Buckbean Brewing Company,Reno,468,114,6
Buckbean Brewing Company,Reno,469,114,6
Buckeye Brewing,Cleveland,470,116,1
BuckleDown Brewing,Lyons,471,117,1
Buffalo Bayou Brewing Company,Houston TX,472,118,1
Buffalo Bayou Brewing Company,Houston,473,119,2
Buffalo Bayou Brewing Company,Houston,474,119,2
Burn 'Em Brewing,Michigan City,475,120,11
Burn 'Em Brewing,Michigan City,476,120,11
Burn 'Em Brewing,Michigan City,477,120,11
Burn 'Em Brewing,Michigan City,478,120,11
Burn 'Em Brewing,Michigan City,479,120,11
Burn 'Em Brewing,Michigan City,480,120,11
Burn 'Em Brewing,Michigan City,481,120,11
Burn 'Em Brewing,Michigan City,482,120,11
Burn 'Em Brewing,Michigan City,483,120,11
Burn 'Em Brewing,Michigan City,484,120,11
Burn 'Em Brewing,Michigan City,485,120,11
Burnside Brewing Co.,Portland,486,121,1
Butcher's Brewing,Carlsbad,487,122,1
Butternuts Beer and Ale,Garrattsville,488,123,4
Butternuts Beer and Ale,Garrattsville,489,123,4
Butternuts Beer and Ale,Garrattsville,490,123,4
Butternuts Beer and Ale,Garrattsville,491,123,4
COAST Brewing Company,Charleston,492,124,6
COAST Brewing Company,Charleston,493,124,6
COAST Brewing Company,Charleston,494,124,6
COAST Brewing Company,Charleston,495,124,6
COAST Brewing Company,Charleston,496,124,6
COAST Brewing Company,Charleston,497,124,6
COOP Ale Works,Oklahoma City,498,125,5
COOP Ale Works,Oklahoma City,499,125,5
COOP Ale Works,Oklahoma City OK,500,126,1
COOP Ale Works,Oklahoma City,501,125,5
COOP Ale Works,Oklahoma City,502,125,5
COOP Ale Works,Oklahoma City,503,125,5
Caldera Brewing Company,Ashland,504,127,13
Caldera Brewing Company,Ashland,505,127,13
Caldera Brewing Company,Ashland,506,127,13
Caldera Brewing Company,Ashland,507,127,13
Caldera Brewing Company,Ashland OR,508,128,1
Caldera Brewing Company,Ashland,509,127,13
Caldera Brewing Company,Ashland,510,127,13
Caldera Brewing Company,Ashland,511,127,13
Caldera Brewing Company,Ashland,512,127,13
Caldera Brewing Company,Ashland,513,127,13
Caldera Brewing Company,Ashland,514,127,13
Caldera Brewing Company,Ashland,515,127,13
Caldera Brewing Company,Ashland,516,127,13
Caldera Brewing Company,Ashland,517,127,13
Cambridge Brewing Company,Cambridge MA,518,129,1
Cambridge Brewing Company,Cambridge,519,130,1
Cans Bar and Canteen,Charlotte,520,131,4
Cans Bar and Canteen,Charlotte,521,131,4
Cans Bar and Canteen,Charlotte,522,131,4
Cans Bar and Canteen,Charlotte,523,131,4
Cape Ann Brewing Company,Gloucester,524,132,4
Cape Ann Brewing Company,Gloucester,525,132,4
Cape Ann Brewing Company,Gloucester,526,132,4
Cape Ann Brewing Company,Gloucester,527,132,4
Cape Ann Brewing Company,Gloucester MA,528,133,1
Cape Cod Beer,Hyannis,529,134,2
Cape Cod Beer,Hyannis,530,134,2
Capital Brewery,Middleton,531,135,11
Capital Brewery,Middleton,532,135,11
Capital Brewery,Middleton,533,135,11
Capital Brewery,Middleton,534,135,11
Capital Brewery,Middleton,535,135,11
Capital Brewery,Middleton,536,135,11
Capital Brewery,Middleton,537,135,11
Capital Brewery,Middleton,538,135,11
Capital Brewery,Middleton,539,135,11
Capital Brewery,Middleton,540,135,11
Capital Brewery,Middleton,541,135,11
Carolina Beer & Beverage,Mooresville NC,542,136,2
Carolina Beer & Beverage,Mooresville NC,543,136,2
Carolina Beer & Beverage,Mooresville,544,137,1
Carolina Brewery,Pittsboro,545,138,3
Carolina Brewery,Pittsboro,546,138,3
Carolina Brewery,Pittsboro,547,138,3
Carton Brewing Company,Atlantic Highlands,548,139,3
Carton Brewing Company,Atlantic Highlands,549,139,3
Carton Brewing Company,Atlantic Highlands NJ,550,140,1
Carton Brewing Company,Atlantic Highlands,551,139,3
Cascadia Ciderworks United,Portland,552,141,2
Cascadia Ciderworks United,Portland,553,141,2
Catawba Brewing Company,Morganton,554,142,7
Catawba Brewing Company,Morganton,555,142,7
Catawba Brewing Company,Morganton,556,142,7
Catawba Brewing Company,Morganton,557,142,7
Catawba Brewing Company,Morganton,558,142,7
Catawba Brewing Company,Morganton,559,142,7
Catawba Brewing Company,Morganton,560,142,7
Catawba Island Brewing,Port Clinton,561,143,2
Catawba Island Brewing,Port Clinton,562,143,2
Catawba Valley Brewing Company,Morganton,563,144,2
Catawba Valley Brewing Company,Morganton,564,144,2
Cedar Creek Brewery,Seven Points,565,145,6
Cedar Creek Brewery,Seven Points,566,145,6
Cedar Creek Brewery,Seven Points,567,145,6
Cedar Creek Brewery,Seven Points,568,145,6
Cedar Creek Brewery,Seven Points,569,145,6
Cedar Creek Brewery,Seven Points,570,145,6
Centennial Beer Company,Edwards,571,146,1
Centennial Beer Company,Edwards CO,572,147,1
Center of the Universe Brewing C...,Ashland,573,148,4
Center of the Universe Brewing C...,Ashland,574,148,4
Center of the Universe Brewing C...,Ashland,575,148,4
Center of the Universe Brewing C...,Ashland,576,148,4
Central Coast Brewing Company,San Luis Obispo,577,149,3
Central Coast Brewing Company,San Luis Obispo CA,578,150,1
Central Coast Brewing Company,San Luis Obispo,579,149,3
Central Coast Brewing Company,San Luis Obispo,580,149,3
Champion Brewing Company,Charlottesville,581,151,3
Champion Brewing Company,Charlottesville,582,151,3
Champion Brewing Company,Charlottesville,583,151,3
Champion Brewing Company,Charlottesville VA,584,152,1
Chapman's Brewing,Angola,585,153,3
Chapman's Brewing,Angola,586,153,3
Chapman's Brewing,Angola,587,153,3
Chapman's Brewing,Angola IN,588,154,1
Chatham Brewing,Chatham,589,155,2
Chatham Brewing,Chatham,590,155,2
Cheboygan Brewing Company,Cheboygan,591,156,3
Cheboygan Brewing Company,Cheboygan,592,156,3
Cheboygan Brewing Company,Cheboygan,593,156,3
Christian Moerlein Brewing Company,Cincinnati,594,157,1
Churchkey Can Company,Seattle,595,158,1
Ciderboys,Stevens Point,596,159,2
Ciderboys,Stevens Point,597,159,2
Cigar City Brewing Company,Tampa,598,160,24
Cigar City Brewing Company,Tampa,599,160,24
Cigar City Brewing Company,Tampa,600,160,24
Cigar City Brewing Company,Tampa,601,160,24
Cigar City Brewing Company,Tampa,602,160,24
Cigar City Brewing Company,Tampa,603,160,24
Cigar City Brewing Company,Tampa,604,160,24
Cigar City Brewing Company,Tampa,605,160,24
Cigar City Brewing Company,Tampa,606,160,24
