,year           ,language                                                                                 ,country                                                                                                  ,duration      ,rating_value    ,genre                                                                                  
45,2011           ,English                                                                                  ,USA                                                                                                      ,              ,7.6             ,Documentary                                                                            
46,2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.6             ,"Documentary,Biography,Sport                                                          "
47,2006           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.8             ,Documentary                                                                            
48,2012           ,English                                                                                  ,USA                                                                                                      ,95 min        ,6.8             ,"Documentary,Biography,History                                                        "
49,2014           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.6             ,Documentary                                                                            
50,2015           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.4             ,Drama                                                                                  
51,2013           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,5.8             ,"Horror,Thriller                                                                      "
52,1988           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.3             ,"Comedy,Drama,Romance                                                                 "
53,2014           ,"English,French                                                                         ","UK,USA                                                                                                 ",100 min       ,6.2             ,"Horror,Thriller                                                                      "
54,1999           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,7.3             ,"Comedy,Drama                                                                         "
55,2010           ,English                                                                                  ,"UK,USA                                                                                                 ",97 min        ,7.0             ,"Animation,Adventure,Fantasy                                                          "
56,2009           ,"English,French                                                                         ",USA                                                                                                      ,97 min        ,7.8             ,"Animation,Adventure,Comedy                                                           "
57,2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.1             ,"Horror,Thriller                                                                      "
58,2010 2011 2012 ,"English,French                                                                         ",USA                                                                                                      ,              ,"5/10,5/10     ","Classics,Action & Adventure                                                          "
59,2015           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.4             ,"Horror,Thriller                                                                      "
60,2014 2015 2016 ,English                                                                                  ,"UK,USA                                                                                                 ",1 hr. 39 min. ,"5.4/10,6/10   ","Action & Adventure,Comedy                                                            "
61,2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.3             ,"Comedy,Drama                                                                         "
62,2012           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.4             ,Horror                                                                                 
63,1988           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.0             ,"Comedy,Drama,Romance                                                                 "
64,2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.3             ,Comedy                                                                                 
65,2015           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,7.0             ,"Comedy,Drama                                                                         "
66,2013           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.1             ,Drama                                                                                  
67,1971 1972 1973 ,English                                                                                  ,USA                                                                                                      ,1 hr. 45 min. ,"7.7/10,6.5/10 ","Drama,Kids & Family,Classics                                                         "
68,2013           ,"English,French                                                                         ",USA                                                                                                      ,101 min       ,7.0             ,"Adventure,Drama,Family                                                               "
69,2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.2             ,Drama                                                                                  
70,2014           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.6             ,"Drama,Romance                                                                        "
71,2014           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.5             ,"Comedy,Romance                                                                       "
72,2014           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.5             ,Drama                                                                                  
73,2013           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.2             ,Drama                                                                                  
74,2015           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.4             ,"Comedy,Drama,Romance                                                                 "
75,2013           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.5             ,Horror                                                                                 
76,2013           ,English                                                                                  ,USA                                                                                                      ,96 min        ,5.8             ,Comedy                                                                                 
77,2014           ,English                                                                                  ,USA                                                                                                      ,88 min        ,7.4             ,"Comedy,Romance                                                                       "
78,2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,"Comedy,Drama,Romance                                                                 "
79,2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,Comedy                                                                                 
80,2012           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.0             ,"Drama,Romance                                                                        "
81,2013           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.3             ,"Adventure,Drama,History                                                              "
82,2014           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.3             ,"Adventure,Romance,Drama                                                              "
83,2011           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,7.2             ,"Adventure,Mystery,Thriller                                                           "
84,2014           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,6.3             ,"Drama,Romance                                                                        "
85,2011           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,6.9             ,"Comedy,Drama,Romance                                                                 "
86,2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.0             ,Drama                                                                                  
87,2014           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,"Comedy,Drama,Romance                                                                 "
88,2014           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.7             ,"Action,Adventure,Drama                                                               "
89,2014           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.8             ,"Comedy,Drama,Romance                                                                 "
90,2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.1             ,"Adventure,Drama,History                                                              "
91,2011           ,"English,American Sign Language,Spanish                                                 ",USA                                                                                                      ,93 min        ,7.4             ,"Comedy,Drama                                                                         "
92,2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.0             ,"Comedy,Drama,Romance                                                                 "
93,2013           ,English                                                                                  ,USA                                                                                                      ,89 min        ,6.9             ,"Comedy,Romance                                                                       "
94,2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.3             ,"Drama,Romance                                                                        "
95,2013           ,English                                                                                  ,USA                                                                                                      ,92 min        ,6.5             ,"Drama,Romance                                                                        "
96,2013           ,"English,French                                                                         ",USA                                                                                                      ,91 min        ,7.6             ,"Drama,Romance                                                                        "
97,2013           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.3             ,"Comedy,Drama,Romance                                                                 "
98,2013           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.1             ,"Comedy,Drama,Romance                                                                 "
99,2013           ,"English,French                                                                         ",USA                                                                                                      ,96 min        ,7.7             ,Drama                                                                                  
100,2013           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.9             ,Comedy                                                                                 
101,2013           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.5             ,"Comedy,Drama,Romance                                                                 "
102,2014           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.5             ,"Comedy,Romance                                                                       "
103,2014           ,"English,French                                                                         ",USA                                                                                                      ,90 min        ,6.8             ,"Comedy,Drama,Romance                                                                 "
104,2014           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.3             ,"Comedy,Romance                                                                       "
105,2010           ,"English,French,German,Italian                                                          ","UK,USA                                                                                                 ",90 min        ,7.2             ,"Comedy,Drama,Romance                                                                 "
106,2015           ,English                                                                                  ,"Canada,USA,South Korea                                                                                 ",              ,                ,"Animation,Adventure,Comedy                                                           "
107,1989           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,7.2             ,"Horror,Thriller                                                                      "
108,1999           ,English                                                                                  ,USA                                                                                                      ,89 min        ,7.1             ,"Comedy,Drama,Romance                                                                 "
109,2014           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.2             ,"Comedy,Drama,Romance                                                                 "
110,2010           ,"English,Italian,Irish,Yiddish                                                          ",USA                                                                                                      ,101 min       ,7.2             ,"Comedy,Drama,Romance                                                                 "
111,1997           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.1             ,"Comedy,Drama,Romance                                                                 "
112,2014           ,"English,French                                                                         ",USA                                                                                                      ,101 min       ,7.1             ,"Drama,Romance                                                                        "
113,2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.1             ,"Comedy,Drama,Romance                                                                 "
114,2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.1             ,Drama                                                                                  
115,2010           ,"English,French,Scottish Gaelic                                                         ",USA                                                                                                      ,97 min        ,6.5             ,"Action,Adventure,Fantasy                                                             "
116,2014           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,Drama                                                                                  
117,2015           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.1             ,"Adventure,Drama,History                                                              "
118,1968           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.0             ,"Adventure,Sci-Fi                                                                     "
119,2011           ,English                                                                                  ,USA                                                                                                      ,98 min        ,6.6             ,"Drama,Romance                                                                        "
120,2012           ,English                                                                                  ,USA                                                                                                      ,89 min        ,6.7             ,"Drama,Romance                                                                        "
121,2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.1             ,"Horror,Thriller                                                                      "
122,2013           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.5             ,Horror                                                                                 
123,2006           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,6.2             ,"Horror,Thriller                                                                      "
124,2006           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,5.8             ,"Horror,Thriller                                                                      "
125,2009           ,English                                                                                  ,USA                                                                                                      ,92 min        ,7.2             ,"Horror,Thriller                                                                      "
126,1988           ,English                                                                                  ,USA                                                                                                      ,89 min        ,5.8             ,"Comedy,Drama                                                                         "
127,1986           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.8             ,"Comedy,Drama,Romance                                                                 "
128,1986           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.8             ,"Comedy,Drama,Romance                                                                 "
129,2011           ,English                                                                                  ,USA                                                                                                      ,97 min        ,5.8             ,"Horror,Thriller                                                                      "
130,2012           ,English                                                                                  ,"UK,USA                                                                                                 ",95 min        ,6.5             ,"Horror,Thriller                                                                      "
131,2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,93 min        ,6.6             ,"Action,Adventure,Sci-Fi                                                              "
132,2011           ,English                                                                                  ,USA                                                                                                      ,101 min       ,5.8             ,"Drama,Romance                                                                        "
133,2009           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.4             ,Drama                                                                                  
