year           ,language                                                                                 ,country                                                                                                  ,duration      ,rating_value    ,genre                                                                                  ,Cluster
2010           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.7             ,"Animation,Comedy,Family                                                              ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.4             ,"Animation,Adventure,Comedy                                                           ",-1
1999           ,"English,Spanish                                                                        ",USA                                                                                                      ,92 min        ,7.2             ,"Animation,Adventure,Comedy                                                           ",-1
2009           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,6.3             ,"Horror,Thriller                                                                      ",-1
2009           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,6.7             ,"Comedy,Drama                                                                         ",-1
2012           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,7.8             ,"Action,Adventure,Thriller                                                            ",-1
1998           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.1             ,Horror                                                                                 ,-1
2010           ,English                                                                                  ,USA                                                                                                      ,              ,6.6             ,Documentary                                                                            ,-1
2006           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.1             ,Documentary                                                                            ,-1
2015           ,English                                                                                  ,USA                                                                                                      ,              ,                ,"Comedy,Drama                                                                         ",0
2013           ,"English,Spanish                                                                        ","USA,New Zealand,Japan                                                                                  ",95 min        ,7.7             ,"Comedy,Drama,Romance                                                                 ",-1
1986           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.9             ,"Comedy,Drama,Romance                                                                 ",-1
1998           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
1969           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.2             ,"Comedy,Drama,Romance                                                                 ",-1
1968           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.5             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,"English,French,German,Italian                                                          ",USA                                                                                                      ,100 min       ,6.6             ,"Comedy,Drama,Romance                                                                 ",-1
1968           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",100 min       ,7.3             ,"Comedy,Romance                                                                       ",-1
2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.4             ,Drama                                                                                  ,-1
1986           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.8             ,"Comedy,Drama,Romance                                                                 ",-1
1999           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,7.3             ,"Horror,Thriller                                                                      ",-1
2012           ,"English,French                                                                         ","UK,USA                                                                                                 ",95 min        ,7.7             ,"Drama,Romance                                                                        ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.6             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,88 min        ,5.8             ,"Comedy,Drama,Romance                                                                 ",-1
2007           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.2             ,"Documentary,Biography,Sport                                                          ",-1
2008           ,English                                                                                  ,USA                                                                                                      ,94 min        ,6.7             ,Documentary                                                                            ,-1
2011           ,English                                                                                  ,USA                                                                                                      ,              ,7.6             ,Documentary                                                                            ,-1
2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.6             ,"Documentary,Biography,Sport                                                          ",-1
2006           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.8             ,Documentary                                                                            ,-1
2012           ,English                                                                                  ,USA                                                                                                      ,95 min        ,6.8             ,"Documentary,Biography,History                                                        ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.6             ,Documentary                                                                            ,-1
2015           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.4             ,Drama                                                                                  ,-1
2013           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,5.8             ,"Horror,Thriller                                                                      ",-1
1988           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.3             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,"English,French                                                                         ","UK,USA                                                                                                 ",100 min       ,6.2             ,"Horror,Thriller                                                                      ",-1
1999           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,7.3             ,"Comedy,Drama                                                                         ",-1
2010           ,English                                                                                  ,"UK,USA                                                                                                 ",97 min        ,7.0             ,"Animation,Adventure,Fantasy                                                          ",-1
2009           ,"English,French                                                                         ",USA                                                                                                      ,97 min        ,7.8             ,"Animation,Adventure,Comedy                                                           ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.1             ,"Horror,Thriller                                                                      ",-1
2010 2011 2012 ,"English,French                                                                         ",USA                                                                                                      ,              ,"5/10,5/10     ","Classics,Action & Adventure                                                          ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.4             ,"Horror,Thriller                                                                      ",-1
2014 2015 2016 ,English                                                                                  ,"UK,USA                                                                                                 ",1 hr. 39 min. ,"5.4/10,6/10   ","Action & Adventure,Comedy                                                            ",-1
2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.3             ,"Comedy,Drama                                                                         ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.4             ,Horror                                                                                 ,-1
1988           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.3             ,Comedy                                                                                 ,-1
2015           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,7.0             ,"Comedy,Drama                                                                         ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.1             ,Drama                                                                                  ,-1
1971 1972 1973 ,English                                                                                  ,USA                                                                                                      ,1 hr. 45 min. ,"7.7/10,6.5/10 ","Drama,Kids & Family,Classics                                                         ",-1
2013           ,"English,French                                                                         ",USA                                                                                                      ,101 min       ,7.0             ,"Adventure,Drama,Family                                                               ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.2             ,Drama                                                                                  ,-1
2014           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.6             ,"Drama,Romance                                                                        ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.5             ,"Comedy,Romance                                                                       ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.5             ,Drama                                                                                  ,-1
2013           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.2             ,Drama                                                                                  ,-1
2015           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.4             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.5             ,Horror                                                                                 ,-1
2013           ,English                                                                                  ,USA                                                                                                      ,96 min        ,5.8             ,Comedy                                                                                 ,-1
2014           ,English                                                                                  ,USA                                                                                                      ,88 min        ,7.4             ,"Comedy,Romance                                                                       ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,"Comedy,Drama,Romance                                                                 ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,Comedy                                                                                 ,-1
2012           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.0             ,"Drama,Romance                                                                        ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.3             ,"Adventure,Drama,History                                                              ",-1
2014           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.3             ,"Adventure,Romance,Drama                                                              ",-1
2011           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,7.2             ,"Adventure,Mystery,Thriller                                                           ",-1
2014           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,6.3             ,"Drama,Romance                                                                        ",-1
2011           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,6.9             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.0             ,Drama                                                                                  ,-1
2014           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.7             ,"Action,Adventure,Drama                                                               ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.8             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.1             ,"Adventure,Drama,History                                                              ",-1
2011           ,"English,American Sign Language,Spanish                                                 ",USA                                                                                                      ,93 min        ,7.4             ,"Comedy,Drama                                                                         ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,89 min        ,6.9             ,"Comedy,Romance                                                                       ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.3             ,"Drama,Romance                                                                        ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,92 min        ,6.5             ,"Drama,Romance                                                                        ",-1
2013           ,"English,French                                                                         ",USA                                                                                                      ,91 min        ,7.6             ,"Drama,Romance                                                                        ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.3             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.1             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,"English,French                                                                         ",USA                                                                                                      ,96 min        ,7.7             ,Drama                                                                                  ,-1
2013           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.9             ,Comedy                                                                                 ,-1
2013           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.5             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.5             ,"Comedy,Romance                                                                       ",-1
2014           ,"English,French                                                                         ",USA                                                                                                      ,90 min        ,6.8             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.3             ,"Comedy,Romance                                                                       ",-1
2010           ,"English,French,German,Italian                                                          ","UK,USA                                                                                                 ",90 min        ,7.2             ,"Comedy,Drama,Romance                                                                 ",-1
2015           ,English                                                                                  ,"Canada,USA,South Korea                                                                                 ",              ,                ,"Animation,Adventure,Comedy                                                           ",-1
1989           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,7.2             ,"Horror,Thriller                                                                      ",-1
1999           ,English                                                                                  ,USA                                                                                                      ,89 min        ,7.1             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.2             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,"English,Italian,Irish,Yiddish                                                          ",USA                                                                                                      ,101 min       ,7.2             ,"Comedy,Drama,Romance                                                                 ",-1
1997           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.1             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,"English,French                                                                         ",USA                                                                                                      ,101 min       ,7.1             ,"Drama,Romance                                                                        ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.1             ,"Comedy,Drama,Romance                                                                 ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.1             ,Drama                                                                                  ,-1
2010           ,"English,French,Scottish Gaelic                                                         ",USA                                                                                                      ,97 min        ,6.5             ,"Action,Adventure,Fantasy                                                             ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,Drama                                                                                  ,-1
2015           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.1             ,"Adventure,Drama,History                                                              ",-1
1968           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.0             ,"Adventure,Sci-Fi                                                                     ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,98 min        ,6.6             ,"Drama,Romance                                                                        ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,89 min        ,6.7             ,"Drama,Romance                                                                        ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.1             ,"Horror,Thriller                                                                      ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.5             ,Horror                                                                                 ,-1
2006           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,6.2             ,"Horror,Thriller                                                                      ",-1
2006           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,5.8             ,"Horror,Thriller                                                                      ",-1
2009           ,English                                                                                  ,USA                                                                                                      ,92 min        ,7.2             ,"Horror,Thriller                                                                      ",-1
1988           ,English                                                                                  ,USA                                                                                                      ,89 min        ,5.8             ,"Comedy,Drama                                                                         ",-1
1986           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.8             ,"Comedy,Drama,Romance                                                                 ",-1
1986           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.8             ,"Comedy,Drama,Romance                                                                 ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,97 min        ,5.8             ,"Horror,Thriller                                                                      ",-1
2012           ,English                                                                                  ,"UK,USA                                                                                                 ",95 min        ,6.5             ,"Horror,Thriller                                                                      ",-1
2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,93 min        ,6.6             ,"Action,Adventure,Sci-Fi                                                              ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,101 min       ,5.8             ,"Drama,Romance                                                                        ",-1
2009           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.4             ,Drama                                                                                  ,-1
