Score,Sample,original_index,unique_index,count
64%,14 patients,103,83,1
100%,8 patients,104,84,4
87%,85 patients,105,85,1
78%,64 patients,106,86,1
100%,28 patients,107,87,1
95%,87 patients,108,88,1
88%,57 patients,109,89,1
90%,63 patients,110,90,1
91%,11 patients,111,91,2
88%,101 patients,112,92,1
91%,101 patients,113,93,1
93%,100 patients,114,94,1
empty,0 patixnts,115,95,1
100%,123 patients,116,96,1
87%,77 patients,117,97,1
88%,76 patients,118,98,1
0%,1 patients,119,99,6
x00%,1 patients,120,100,1
empty,0 patients,121,6,103
empty,0 patients,122,6,103
0%,1 patients,123,99,6
empty,0 patients,124,6,103
empty,0 patients,125,6,103
4%,26 patients,126,101,1
72%,39 patients,127,102,1
75%,8 patients,128,103,2
0%,5 patients,129,104,1
25%,16 patients,130,105,1
93%,15 patients,131,106,1
33%,9 patients,132,107,2
95%,21 pxtients,133,108,1
62%,21 patients,134,109,1
47%,15 patients,135,110,1
100%,1 patients,136,111,17
100%,2 patients,137,37,14
100%,2 patients,138,37,14
100%,2 patients,139,37,14
empty,0 patients,140,6,103
100%,4 patients,141,4,15
100%,4 patients,142,4,15
100%,4 patients,143,4,15
100%,6 patients,144,112,5
100%,1 patients,145,111,17
100%,1 patients,146,111,17
100%,2 patients,147,37,14
100%,3 patients,148,113,10
empty,0 patients,149,6,103
empty,0 patients,150,6,103
97%,35 patients,151,114,1
98%,42 patients,152,115,1
100%,10 patients,153,116,4
100%,12 patients,154,117,5
98%,44 patients,155,118,2
100%,30 patients,156,119,3
100%,25 patients,157,120,2
9x%,51 patients,158,121,1
100%,45 patients,159,122,2
97%,30 patients,160,123,1
67%,3 patients,161,124,7
100%,6 patients,162,112,5
x7%,7 patients,163,125,1
80%,5 patients,164,126,2
empty,0 patients,165,6,103
100%,xx patients,166,127,1
78%,9 patients,167,128,2
78%,9 patients,168,128,2
100%,8 patients,169,84,4
100%,6xpatients,170,129,1
50%,2 patients,171,80,4
100%,2 patients,172,37,14
83%,6 patients,173,130,2
empty,0 patients,174,6,103
empty,0 patients,175,6,103
93%,55 patients,176,131,1
84%,80 patients,177,132,1
78%,27 patients,178,133,1
100%,10 patients,179,116,4
87%,128 patients,180,134,1
94%,115 patients,181,135,1
94%,65 patients,182,136,1
97%,158 patients,183,137,1
93%,133 patients,184,138,1
90%,101 patients,185,139,1
86%,14 patients,186,5,4
95x,66 patients,187,140,1
91%,64 patients,188,141,1
100%,63 patients,189,142,2
empty,0 patients,190,6,103
100%,155 patients,191,143,2
86%,56 patients,192,144,1
84%,56 patients,193,145,1
99%,240 patients,194,146,1
96%,295 patients,195,147,1
91%,70 patients,196,148,1
100%,131 patients,197,149,2
99%,288 patients,198,150,1
empty,0 patients,199,6,103
85%,48 patients,200,151,2
94%,316 patients,201,152,1
98%,372 patients,202,153,1
98%,130 patients,203,154,1
100%,69 patients,204,155,2
87%,125 patients,205,156,1
96%,131 patients,206,157,1
100%,69 patients,207,155,2
x5%,135 patients,208,158,1
91%,112 patients,209,159,1
85%,89 patients,210,160,1
83%,125 patients,211,161,1
97%,461 patients,212,162,1
98%,473 patients,213,163,1
81%,442 patients,214,164,1
60%,127 patients,215,165,1
100%,601 patients,216,166,1
89%,229 patients,217,167,1
83%,224 patients,218,168,1
100%,46 patients,219,169,1
95%,39 patients,220,170,1
91%,11 patients,221,91,2
100%,14 patients,222,171,3
95%,41 patients,223,172,1
100%,1 patiexts,224,173,1
40%,5 patients,225,174,1
89%,76 patients,226,175,1
100%,94 patients,227,176,2
94%,36 patients,228,177,1
100%,15 patients,229,178,4
97%,69 patients,230,179,1
93%,91 patients,231,180,1
100%,37 patients,232,181,2
99%,88 patients,233,182,1
88%,82 patientx,234,183,1
98%,56 patients,235,184,1
100%,16 patients,236,185,3
9x%,139 patients,237,186,1
xx%,147 patients,238,187,1
98%,136 patients,239,188,2
empty,0 patients,240,6,103
100%,179 patients,241,189,1
97%,90 patients,242,190,2
97%,90 patients,243,190,2
empty,0 patients,244,6,103
empty,0 patients,245,6,103
empty,0 patients,246,6,103
empty,0 patients,247,6,103
empty,0 patients,248,6,103
empty,0 patients,249,6,103
empty,0 patients,250,6,103
100%,79 patients,251,191,2
89x,91 patients,252,192,1
88%,25 patients,253,193,2
88%,17 patients,254,194,1
92%,25 patients,255,195,1
x6%,24 patients,256,196,1
100%,6 patients,257,112,5
96%,24 patients,258,197,1
100%,26 patients,259,198,2
92%,24 patients,260,199,2
empty,empty,261,0,60
86%,14 patients,262,5,4
93%,14 patients,263,200,2
86%,14 patients,264,5,4
empty,0 patients,265,6,103
100%,15 patients,266,178,4
90%,10 patients,267,201,7
90%,10 patients,268,201,7
99%,179 patients,269,202,1
97%,208 patients,270,203,1
100%,30 patients,271,119,3
100%,98 patients,272,204,2
97%,169 patients,273,205,1
empty,0 patients,274,6,103
83%,36 patients,275,206,1
86%,210 patients,276,207,1
100%,246 patients,277,208,1
97%,71 patients,278,209,2
100%,48 patients,279,210,1
97%,235 patients,280,211,1
100%,110 patients,281,20,2
100%,131 patients,282,149,2
96%,239 patients,283,212,1
93%,116 patients,284,213,2
92%,199 patients,285,214,1
89%,96 patients,286,215,1
98%,368 patients,287,216,1
99%,370 patients,288,217,1
91%,331 patients,289,218,1
93%,116 patients,290,213,2
100%,588 patients,291,219,1
97%,226 patients,292,220,1
94%,225 patients,293,221,1
empty,empty,294,0,60
empty,empty,295,0,60
empty,empty,296,0,60
empty,empty,297,0,60
empty,empty,298,0,60
empty,empty,299,0,60
empty,empty,300,0,60
empty,empty,301,0,60
empty,empty,302,0,60
empty,empty,303,0,60
empty,empty,304,0,60
empty,empty,305,0,60
empty,empty,306,0,60
empty,empty,307,0,60
empty,empty,308,0,60
empty,empty,309,0,60
empty,empty,310,0,60
100%,9 patients,311,222,3
33%,9 patients,312,107,2
98%,81 patients,313,223,1
96%,73 patients,314,224,1
93%,14 patients,315,200,2
100%,29 xatients,316,225,1
93%,67 patients,317,226,1
0%,1 patients,318,99,6
87%,15 patients,319,227,2
87%,142 patients,320,228,1
100%,157 patients,321,229,1
90%,49 patients,322,230,1
100%,41 patients,323,10,3
97%,110 patients,324,231,1
100%,102 patients,325,232,1
100%,83 patients,326,233,1
97%,145 patients,327,234,1
92%,99 patients,328,235,1
91%,87 patients,329,236,1
83%,23 patients,330,237,1
100%,342 patients,331,238,1
100%,94 patients,332,176,2
100%,62 patients,333,239,2
100%,166 patients,334,240,1
100%,152 patients,335,241,1
x00%,77 patients,336,242,1
99%,146 patients,337,243,1
99%,112 patients,338,244,1
99%,128 patients,339,245,1
100%,147 patients,340,246,2
100%,950 patients,341,247,1
100%,957 patients,342,248,1
99%,882 patients,343,249,1
98%,165 patients,344,250,1
100%,1295 patients,345,251,1
100%,497 patients,346,252,2
100%,497 patients,347,252,2
97%,239 patients,348,253,1
98%,260 patients,349,254,1
85%,41 patients,350,255,1
100%,63 patients,351,142,2
96%,242 patients,352,256,1
87%,205 patients,353,257,1
100%,1x patients,354,258,1
100%,7 patients,355,259,4
100%,2 patients,356,37,14
100%,1 patients,357,111,17
100%,8 patients,358,84,4
0%,1 patients,359,99,6
empty,0 patients,360,6,103
90%,48 patients,361,260,1
100%,59 patients,362,261,2
85%,13 patients,363,262,1
100%,14 patients,364,171,3
91%,66 patients,365,263,1
98%,59 patients,366,81,2
98%,40 patients,367,264,1
100%,85 patients,368,265,2
100%,62 patients,369,239,2
82%,45 patients,370,266,1
89%,19 patients,371,267,3
98%,102 patients,372,268,2
99%,103 patients,373,269,1
94%,98 patients,374,270,1
empty,0 patients,375,6,103
100%,146 patients,376,271,1
95%,58 patients,377,272,1
x5%,58 patients,378,273,1
99%,86 patients,379,274,1
97%,91 patients,380,275,1
100%,22 patients,381,276,1
100%,58 patients,382,277,1
96%,96 patients,383,278,1
empty,0 patients,384,6,103
50%,16 patients,385,279,2
83%,146 patients,386,280,1
98%,150 patients,387,281,1
96%,84 patients,388,282,1
100%,45 patients,389,122,2
71%,7 patients,390,283,1
89%,35 patients,391,284,1
100%,4 patients,392,4,15
67%,3 patients,393,124,7
empty,0 patients,394,6,103
100%,5 patients,395,38,5
empty,0 patients,396,6,103
empty,0 patients,397,6,103
96%,75 patients,398,285,2
94%,93 patients,399,286,1
94%,18 patients,400,287,2
96%,27 patients,401,288,2
94%,116 patients,402,289,1
95%,138 patients,403,290,1
100%,67 patients,404,291,1
x4%,131 patients,405,292,1
92%,93 patients,406,293,1
99%,89 patients,407,294,1
100%,1 patients,408,111,17
90%,10 patients,409,201,7
90%,10 patients,410,201,7
1xx%,10 patients,411,295,1
100%,125 patients,412,296,2
98%,125 patixnts,413,297,1
90%,10 patients,414,201,7
100%,3 patients,415,113,10
100%,1 patients,416,111,17
empty,0 patients,417,6,103
100%,4 xatients,418,298,1
empty,0 patients,419,6,103
empty,0 patients,420,6,103
77%,78 patients,421,299,1
99%,105 patients,422,300,1
85%,46 patients,423,301,1
100%,12 patients,424,117,5
93%,69 patients,425,302,2
x7%,95 patients,426,303,1
100%,47 patients,427,304,2
97%,101 patients,428,305,1
96%,57 patients,429,306,1
88%,51 patients,430,307,1
82%,22 patients,431,308,1
91%,57 patients,432,309,1
98%,61 patients,433,61,2
100%,33 patients,434,310,2
100%,13 patients,435,311,1
97%,37 patients,436,312,2
100%,47 patients,437,304,2
96%,26 patients,438,313,1
97%,39 patients,439,314,1
95%,22 patients,440,315,1
90%,29 patients,441,316,1
87%,106 patients,442,317,1
96%,513 patients,443,318,1
98%,521 patiexts,444,319,1
88%,499 patients,445,320,1
94%,146 patients,446,321,1
100%,690 patients,447,322,1
94%,226 patients,448,323,1
94%,223 patients,449,324,1
empty,empty,450,0,60
empty,empty,451,0,60
89%,150 patients,452,325,1
99%,149 patients,453,8,2
97%,79 patients,454,326,1
98%,192 patients,455,327,1
86%,139 patients,456,328,1
82%,119 patients,457,329,1
81%,54 patients,458,330,1
92%,253 patients,459,331,1
91%,255 patients,460,332,1
84%,245 patients,461,333,1
empty,x patients,462,334,2
97%,369 patients,463,335,1
85%,144 patients,464,336,1
79%,142 patients,465,337,1
100%,11 patients,466,338,1
100%,5 patients,467,38,5
empty,0 patients,468,6,103
100%,3 patients,469,113,10
83%,6 patients,470,130,2
0%,2 patients,471,339,3
empty,0 patients,472,6,103
66%,79 patients,473,340,1
96%,94 patients,474,341,1
94%,18 patients,475,287,2
94%,32 patients,476,342,1
85%,80 patients,477,343,1
94%,67 patients,478,344,1
87%,39 patients,479,345,1
95%,74 patients,480,346,1
64%,59 patients,481,347,1
90%,62 patientx,482,348,1
100%,12 patients,483,117,5
94%,52 patients,484,349,1
96%,52 patients,485,350,2
85%,48 patients,486,151,2
empty,0 patients,487,6,103
1xx%,94 patients,488,351,1
88%,50 patients,489,352,1
68%,50 patients,490,353,1
empty,0 patients,491,6,103
100%,1 patients,492,111,17
empty,0 patients,493,6,103
empty,0 patients,494,6,103
empty,0 patients,495,6,103
empty,0 patxents,496,354,1
empty,0 patients,497,6,103
83%,35 patients,498,355,1
94%,48 patients,499,356,1
90%,10 patients,500,201,7
100%,15 patients,501,178,4
93%,44 paxienxs,502,357,1
97%,33 patients,503,1,2
100%,20 patients,504,358,1
89%,56 patients,505,359,1
93x,44 patients,506,360,1
81%,31 patients,507,361,1
empty,empty,508,0,60
0%,2 patients,509,339,3
100%,2 patients,510,37,14
0%,1 patients,511,99,6
empty,0 patients,512,6,103
100%,6 patients,513,112,5
1xx%,5 patients,514,362,1
100%,5 patients,515,38,5
100%,134 patients,516,363,1
100%,282 patients,517,364,1
100%,53 patients,518,65,2
100%,119 patients,519,365,1
100%,254 patients,520,366,1
empty,0 patients,521,6,103
96%,27 patients,522,288,2
100%,25x patients,523,367,1
100%,292 patients,524,368,1
100%,98 patients,525,204,2
100%,77 patients,526,369,2
94%,99 patients,527,370,1
96%,103 patients,528,371,1
94%,80 patients,529,372,1
95%,101 patients,530,373,1
90%,71 patients,531,374,1
92%,87 patientx,532,375,1
97%,89 patients,533,376,1
97%,412 patients,534,377,1
97%,423 patients,535,378,1
94%,392 patients,536,379,1
95%,125 patients,537,380,1
100%,575 patients,538,381,1
98%,179 patients,539,382,1
94%,179 patients,540,383,1
95%,111 patients,541,384,1
92%,165 patients,542,385,1
79%,24 patients,543,386,1
97%,65 patients,544,387,1
95%,173 patients,545,388,1
empty,x patients,546,334,2
40%,15 patients,547,389,1
45%,430 patients,548,390,1
90%,518 patients,549,391,1
85%,146 patients,550,392,1
99%,93 patients,551,393,1
85%,243 patients,552,394,1
95%,230 patients,553,395,1
91%,74 patxents,554,396,1
88%,233 patients,555,397,1
82%,97 patients,556,398,1
82%,184 patients,557,399,1
67%,180 patients,558,400,1
78%,844 patients,559,401,1
98%,827 patients,560,402,1
83%,817 patients,561,403,1
72%,270 patients,562,404,1
97%,1062 patients,563,405,1
92%,263 patients,564,406,1
87%,259 patients,565,407,1
92%,24 patients,566,199,2
90%,10 patients,567,201,7
100%,1 patients,568,111,17
50%,4 patients,569,408,2
92%,13 patients,570,2,2
0%,2 patients,571,339,3
empty,0 patients,572,6,103
54%,137 patients,573,409,1
99%,164 patients,574,410,1
96%,75 patients,575,285,2
97%,38 patients,576,411,1
80%,55 patients,577,412,1
95%,43 patients,578,413,1
91%,34 patients,579,414,1
82%,50 pxtients,580,415,1
85%,52 patients,581,416,1
75%,60 patients,582,417,1
32%,19 patients,583,418,1
100%,117 patients,584,419,1
93%,118 patients,585,420,1
79%,116 patients,586,421,1
empty,0 patients,587,6,103
96%,172 patxents,588,422,1
88%,85 patients,589,71,2
82%,84 patients,590,64,2
empty,empty,591,0,60
empty,empty,592,0,60
empty,empty,593,0,60
empty,empty,594,0,60
empty,empty,595,0,60
empty,empty,596,0,60
empty,empty,597,0,60
100%,2 patients,598,37,14
100%,3 patients,599,113,10
empty,0 patients,600,6,103
empty,0 patients,601,6,103
100%,31 patients,602,423,1
100%,19 patients,603,424,2
100%,12 patients,604,117,5
100%,40 patients,605,425,1
93%,30 patients,606,426,1
100%,23 patients,607,427,2
empty,empty,608,0,60
empty,empty,609,0,60
empty,empty,610,0,60
empty,empty,611,0,60
empty,empty,612,0,60
empty,empty,613,0,60
empty,empty,614,0,60
empty,empty,615,0,60
98%,185 patients,616,428,1
97%,290 patients,617,429,1
93%,72 patients,618,430,1
100%,122 patients,619,431,1
98%,281 patients,620,432,1
empty,0 patients,621,6,103
85%,26 patients,622,433,1
82%,527 patients,623,434,1
100%,570 patients,624,435,1
92%,272 patients,625,436,1
100%,101 patients,626,437,1
92%,114 patients,627,438,1
91%,129 patients,628,439,1
100%,59 patients,629,261,2
96%,153 patients,630,440,1
97%,115 patients,631,441,1
88%,89 patients,632,442,1
98%,208 patients,633,443,1
99%,1001 patients,634,444,1
99%,1016 patients,635,445,1
97%,962 patients,636,446,1
98%,241 patients,637,447,1
100%,1421 patients,638,448,1
92%,473 patients,639,449,1
90%,473 patients,640,450,1
50%,4 patients,641,408,2
67%,3 patients,642,124,7
empty,0 patients,643,6,103
empty,0 patients,644,6,103
67%,3 patients,645,124,7
empty,0 patients,646,6,103
empty,0 patients,647,6,103
0%,34 patients,648,451,1
38%,39 patients,649,452,1
25%,4 patients,650,453,1
100%,2 patients,651,37,14
25%,28 patients,652,454,1
100%,14 patients,653,171,3
67%,6 patients,654,455,2
90%,30 patients,655,456,1
96%,23 patients,656,457,1
12%,16 patients,657,458,1
empty,empty,658,0,60
empty,empty,659,0,60
empty,empty,660,0,60
empty,empty,661,0,60
empty,empty,662,0,60
empty,empty,663,0,60
empty,empty,664,0,60
empty,empty,665,0,60
98%,229 patients,666,459,1
98%,316 patients,667,460,1
91%,87 paxienxs,668,461,1
100%,147 patients,669,246,2
97%,331 patients,670,462,1
empty,0 patients,671,6,103
98%,47 patients,672,463,1
46%,618 xatients,673,464,1
96%,681 patients,674,465,1
94%,343 patients,675,466,1
100%,130 patients,676,467,2
74%,247 patients,677,468,1
92%,378 patients,678,469,1
100%,169 patients,679,470,1
92%,357 patients,680,471,1
85%,155 patients,681,472,1
79%,242 patients,682,473,1
69%,94 patients,683,474,1
88%,324 patients,684,475,1
95%,350 patients,685,476,1
87%,317 patients,686,477,1
76%,140 patients,687,478,1
97%,585 patients,688,479,1
79%,230 patients,689,480,1
77%,224 patients,690,481,1
77%,13 patients,691,482,1
100%,4 patients,692,4,15
100%,1 patients,693,111,17
empty,0 patients,694,6,103
75%,4 patients,695,3,3
empty,0 patients,696,6,103
empty,0 patients,697,6,103
xx%,65 patients,698,483,1
100%,87 patients,699,484,1
100%,30 patients,700,119,3
100%,9 patients,701,222,3
87%,70 patients,702,485,1
95%,76 patients,703,486,1
90%,41 patients,704,487,1
97%,71 patients,705,209,2
96%,52 patients,706,350,2
93%,56 patients,707,488,1
100%,3 patients,708,113,10
100%,10 patients,709,116,4
100%,10 patients,710,116,4
1xx%,9 patients,711,489,1
empty,0 patients,712,6,103
100%,33 patients,713,310,2
88%,24 patients,714,490,2
88%,24 patients,715,490,2
100%,51 patients,716,491,2
100%,26 patients,717,198,2
x7%,3 patients,718,492,1
100%,3 patients,719,113,10
100%,23 patients,720,427,2
empty,0 patients,721,6,103
empty,0 patients,722,6,103
99%,158 patients,723,493,1
100%,200 patients,724,494,1
97%,37 patients,725,312,2
100%,42 patients,726,495,1
100%,155 patients,727,143,2
100%,138 patients,728,496,1
100%,90 patients,729,497,2
99%,160 patients,730,40,2
98%,136 patients,731,188,2
98%,125 patients,732,498,1
99%,68 patients,733,499,1
99%,411 patients,734,500,1
98%,417 patients,735,501,1
98%,405 patients,736,29,2
empty,0 patients,737,6,103
100%,598 patients,738,502,1
95%,298 patients,739,503,2
95%,298 patients,740,503,2
100%,8 patients,741,84,4
60%,5 patients,742,36,3
100%,3 patients,743,113,10
empty,0 patients,744,6,103
100%,6 patients,745,112,5
empty,0 patients,746,6,103
empty,0 patients,747,6,103
100%,121 patients,748,504,1
91%,139 patients,749,505,1
86%,21 patients,750,506,1
100%,32 patients,751,507,1
100%,77 patients,752,369,2
89%,55 patients,753,508,1
100%,43 patients,754,509,1
97%,93 patients,755,510,1
75%,64 patients,756,511,1
92%,52 patients,757,512,1
89%,19 patients,758,267,3
97%,139 patients,759,513,1
88%,141 patients,760,514,1
99%,136 patients,761,515,1
empty,0 patients,762,6,103
100%,204 patients,763,516,1
80%,66 patients,764,517,2
80%,66 patients,765,517,2
100%,9 patients,766,222,3
99%,96 patients,767,518,1
93%,98 patients,768,519,1
x3%,95 patients,769,520,1
empty,0 patients,770,6,103
100%,195 patients,771,521,1
90%,117 patients,772,522,1
89%,116 patients,773,523,1
100%,193 patients,774,524,1
98%,193 patients,775,525,1
14%,193 paxienxs,776,526,1
98%,155 patients,777,527,1
100%,323 patients,778,528,1
97%,77 patients,779,529,1
100%,135 patients,780,530,1
100%,301 patients,781,531,1
empty,0 patients,782,6,103
82%,44 patients,783,532,1
72%,264 patients,784,533,1
95%,303 patients,785,534,1
98%,102 patients,786,268,2
100%,51 patients,787,491,2
96%,509 patients,788,535,1
99%,496 patients,789,536,1
97%,294 patients,790,537,1
93%,511 patients,791,538,1
89%,313 patients,792,539,1
89%,409 patients,793,540,1
90%,123 patients,794,541,1
95%,601 patients,795,542,1
99%,603 patients,796,543,1
93%,561 patients,797,544,1
95%,149 patients,798,545,1
99%,852 patients,799,546,1
93%,269 patients,800,547,1
90%,269 patients,801,548,1
94%,123 patients,802,549,1
99%,134 patients,803,550,1
89%,18 patients,804,551,1
100%,79 patients,805,191,2
95%,117 patients,806,552,1
68%,25 patients,807,553,1
83%,12 patients,808,554,1
47%,211 patients,809,555,1
100%,259 patients,810,556,1
93%,69 patients,811,302,2
100%,70 patients,812,557,1
96%,255 patients,813,558,1
96%,187 patients,814,559,2
100%,130 patients,815,467,2
94%,266 patients,816,560,1
89%,153 patients,817,561,1
96%,187 patients,818,559,2
91%,109 patients,819,562,1
98%,557 patients,820,563,1
97%,564 patients,821,564,1
90%,520 patients,822,565,1
94%,186 patients,823,566,1
100%,854 patients,824,567,1
95%,315 patients,825,568,1
87%,315 patients,826,569,1
100%,1 patients,827,111,17
100%,1 patients,828,111,17
100%,1 patients,829,111,17
empty,0 patients,830,6,103
100%,1 patients,831,111,17
empty,0 patients,832,6,103
empty,0 patients,833,6,103
84%,19 patients,834,570,1
89%,28 patients,835,571,1
75%,4 patients,836,3,3
100%,4 patients,837,4,15
89%,47 patients,838,572,1
92%,36 patients,839,573,1
94%,16 patients,840,574,1
98%,44 patients,841,118,2
95%,38 patients,842,575,1
81%,37 patients,843,576,1
50%,2 patients,844,80,4
100%,4 patiexts,845,577,1
100%,4 patients,846,4,15
100%,4 patients,847,4,15
empty,0 patients,848,6,103
100%,5 patients,849,38,5
empty,0 patients,850,6,103
empty,0 patients,851,6,103
67%,3 patients,852,124,7
67%,3 patients,853,124,7
100%,1 patients,854,111,17
empty,0 patients,855,6,103
33%,3 patients,856,578,1
empty,0 patients,857,6,103
empty,0 patients,858,6,103
74%,38 patients,859,579,1
80x,46 patients,860,580,1
78%,18 patients,861,581,1
80%,10 patients,862,582,1
96%,101 patients,863,583,1
99%,78 patients,864,584,1
90%,42 patients,865,585,1
98%,121 patiexts,866,586,1
76%,97 patients,867,587,1
91%,85 patients,868,588,1
67%,3 patients,869,124,7
80%,15 patients,870,589,1
87%,15 patients,871,227,2
87%,15 patiexts,872,590,1
empty,0 patients,873,6,103
100%,19 patients,874,424,2
100%,4 patients,875,4,15
100%,4 patients,876,4,15
100%,18 patients,877,591,1
100%,12 patients,878,117,5
0%,1 patients,879,99,6
100%,1 patients,880,111,17
82%,11 patients,881,592,1
empty,0 patients,882,6,103
empty,0 patients,883,6,103
87%,67 patients,884,593,1
94%,85 patients,885,594,1
89%,19 patients,886,267,3
100%,16 patients,887,185,3
x5%,117 patients,888,595,1
100%,41 patients,889,10,3
100%,34 patients,890,596,2
97%,109 patients,891,597,1
87%,79 patients,892,598,1
87%,86 patients,893,599,1
empty,0 patients,894,6,103
empty,0 patients,895,6,103
empty,0 patients,896,6,103
empty,0 patients,897,6,103
empty,0 patients,898,6,103
100%,7 patients,899,259,4
100%,3 patients,900,113,10
100%,3 patients,901,113,10
100%,4 patients,902,4,15
100%,4 patients,903,4,15
100%,4 patients,904,4,15
100%,126 patxents,905,600,1
100%,145 patients,906,601,1
100%,25 patients,907,120,2
100%,68 patients,908,602,1
100%,125 patients,909,296,2
88%,8 patients,910,603,1
100%,16 patients,911,185,3
100%,268 patients,912,604,1
100%,350 patients,913,605,1
100%,90 patients,914,497,2
100%,85 patients,915,265,2
99%,239 patients,916,606,1
97%,196 patients,917,607,1
100%,109 patients,918,608,1
87%,261 patients,919,609,1
76%,212 patients,920,610,1
99%,178 patients,921,611,1
95%,107 patients,922,612,1
95%,402 patients,923,613,1
95%,404 patients,924,614,1
79%,352 patients,925,615,1
76%,114 patients,926,616,1
100%,607 patients,927,617,1
91%,280 patients,928,618,1
84%,280 patients,929,619,1
53%,19 patients,930,620,1
50%,16 patients,931,279,2
100%,1 patients,932,111,17
33%,6 patients,933,621,1
60%,15 patients,934,622,1
empty,0 patients,935,6,103
empty,0 patients,936,6,103
53%,51 patients,937,623,1
63%,59 patients,938,624,1
67%,6 patients,939,455,2
75%,8 patients,940,103,2
90%,39 patients,941,625,1
50%,2 patients,942,80,4
80%,5 patients,943,126,2
97%,36 patients,944,626,1
50%,30 patients,945,627,1
65%,31 patients,946,628,1
empty,empty,947,0,60
empty,empty,948,0,60
empty,empty,949,0,60
empty,empty,950,0,60
empty,empty,951,0,60
empty,empty,952,0,60
empty,empty,953,0,60
empty,empty,954,0,60
100%,4 patients,955,4,15
100%,1 patients,956,111,17
empty,0 patients,957,6,103
empty,0 patients,958,6,103
100%,2 patients,959,37,14
empty,0 patients,960,6,103
empty,0 patients,961,6,103
96%,70 patients,962,629,1
99%,82 patients,963,630,1
100%,34 patients,964,596,2
100%,15 patients,965,178,4
100%,72 patients,966,631,1
98%,49 patients,967,632,1
100%,24 patients,968,633,1
99%,85 patients,969,634,1
99%,67 patients,970,635,1
100%,37 patients,971,181,2
100%,27 paxienxs,972,636,1
99%,397 patients,973,637,1
100%,399 patients,974,638,1
100%,391 patients,975,639,1
empty,0 patients,976,6,103
100%,485 patients,977,640,1
100%,196 patients,978,641,2
100%,196 patients,979,641,2
100%,7 patients,980,259,4
100%,2 patients,981,37,14
100%,2 patients,982,37,14
empty,0 patients,983,6,103
100%,3 patients,984,113,10
empty,0 patients,985,6,103
empty,0 patients,986,6,103
50%,24 patients,987,642,1
85%,34 patients,988,643,1
100%,7 patients,989,259,4
43%,7 patients,990,644,1
74%,92 patients,991,645,1
83%,103 patients,992,646,1
83%,29 patients,993,647,1
98%,105 patients,994,648,1
77%,74 patients,995,649,1
64%,55 patients,996,650,1
25%,8 patients,997,651,1
64%,28 patients,998,652,1
88%,25 patients,999,193,2
