Country,Filming Locations,original_index,unique_index
USA,"Beverly Hills, California, USA",159,116
USA,"Exposition Park, Los Angeles, California, USA",160,117
USA,"Indoor Pool, Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",161,118
"France,USA","Carnegie Mellon University - 5000 Forbes Avenue, Pittsburgh, Pennsylvania, USA",162,119
USA,"Chilliwack, British Columbia, Canada",163,120
USA,"West Dayton Street & South Delacy Street, Pasadena, California, USA",164,121
USA,"Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA",165,122
USA,"New York City, New York, USA",166,9
USA,"4th Street Bridge, Los Angeles, California, USA",167,123
USA,"General Service Studios - 1040 N. Las Palmas, Hollywood, Los Angeles, California, USA",168,124
USA,"Lake Arrowhead, San Bernardino National Forest, California, USA",169,125
USA,"Lake Sherwood, California, USA",170,126
USA,"Belvedere Island, California, USA",171,127
USA,"Camp Pendleton Marine Corps Base, Oceanside, California, USA",172,128
USA,"Florida Keys, Florida, USA",173,129
USA,"Monument Valley, Arizona, USA",174,130
USA,"Carson City, Nevada, USA",175,131
USA,"Casa Blanca, Durango, Mexico",176,132
USA,"Alabama Hills, Lone Pine, California, USA",177,133
USA,"Kaua'i, Hawaii, USA",178,134
USA,"Arusha National Park, Tanzania",179,135
"USA,United Arab Emirates,Poland",Morocco,180,136
USA,"Marymount High School - 10643 W. Sunset Blvd., Los Angeles, California, USA",181,137
USA,,182,3
"UK,USA","Ealing Town Hall, Ealing, London, England, UK",183,138
USA,"Fontana Dam, North Carolina, USA",184,139
USA,"Los Angeles, California, USA",185,10
USA,"1050 Arden Road, Pasadena, California, USA",186,140
USA,"8th Avenue, Manhattan, New York City, New York, USA",187,141
USA,"Los Angeles, California, USA",188,10
USA,"Jefferson County, Indiana, USA",189,142
"UK,USA,France","Connaught Tunnel, near London City Airport, Newham, East London, London, England, UK",190,143
USA,"Red Bank, New Jersey, USA",191,144
USA,,192,3
USA,"Santa Clarita, California, USA",193,70
USA,"New Jersey, USA",194,145
USA,"Colonial Rd & 81st St, Brooklyn, New York City, New York, USA",195,146
USA,"Las Vegas, Nevada, USA",196,147
USA,,197,3
"USA,Hong Kong","Floresville, Texas, USA",198,148
USA,"William Cullen Bryant School 1355 South Kedvale Avenue, Chicago, IL.",199,149
USA,"Conemaugh, Pennsylvania, USA",200,150
USA,"Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",201,151
USA,"Cliffs, Marineland of the Pacific - 6610 Palos Verdes Drive South, Rancho Palos Verdes, California, USA",202,152
USA,"Wilmington, Ohio, USA",203,153
USA,"Bali, Indonesia",204,154
USA,"Reseda, California, USA",205,155
"USA,Germany","Atlantis Casino, Paradise Island, Bahamas",206,156
"USA,Germany,UK",USA,207,157
USA,"Exchange Place, Lower Manhattan, Manhattan, New York City, New York, USA",208,158
USA,"Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",209,159
USA,"Arlington Towers - 100 N. Arlington Avenue, Reno, Nevada, USA",210,160
USA,"Atlanta, Georgia, USA",211,161
"USA,UK","Los Angeles, California, USA",212,162
USA,"Warner Brothers Studio Plaza - 3400 W. Riverside Dr. Burbank, California, USA",213,163
USA,"Ohio, USA",214,164
USA,"Conyers, Georgia, USA",215,165
USA,"Brooklyn, New York City, New York, USA",216,33
USA,"Madison Square Garden, New York City, New York, USA",217,166
USA,"Circle Z Ranch - 1476 Highway 82, Patagonia, Arizona, USA",218,167
"USA,Mexico","Chalco, Mexico City, Distrito Federal, Mexico",219,168
USA,"Juliette, Georgia, USA",220,169
USA,"New York City, New York, USA",221,9
USA,"Fort Ord, California, USA",222,170
USA,"New Orleans, Louisiana, USA",223,171
USA,"Le Mans, Sarthe, France",224,172
USA,"Farnborough Hall, Warwickshire",225,173
"France,Italy,USA","Acquigny, Calvados, France",226,174
USA,"East Harlem, Manhattan, New York City, New York, USA",227,175
USA,"Durango, Mexico",228,176
USA,"Tucson, Arizona, USA",229,177
USA,"Alabama Hills, Lone Pine, California, USA",230,133
USA,"Dijon Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",231,178
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",232,54
USA,"417 Amapola Lane, Bel Air, Los Angeles, California, USA",233,179
USA,,234,3
USA,,235,3
USA,,236,3
USA,"Providence, Rhode Island, USA",237,180
"USA,Germany,UK,Canada","Raleigh Studios Baton Rouge, Celtic Media Centre, Baton Rouge, Louisiana, USA",238,181
"UK,USA","Los Angeles, California, USA",239,182
USA,"Pawling, New York, USA",240,183
USA,"Boston, Massachusetts, USA",241,184
USA,"Santa Clarita, California, USA",242,70
"USA,UK,Canada","Broadway Market, Hackney, London, England, UK",243,185
USA,"Bensalem Township, Pennsylvania, USA",244,186
USA,"Angola, Louisiana, USA",245,187
USA,"Lee's Ferry, Arizona, USA",246,188
"USA,UK","Moab, Utah, USA",247,189
USA,"Echo Park, Los Angeles, California, USA",248,190
USA,"Cape Cod, Massachusetts, USA",249,191
USA,"Cafe Florian, Piazza San Marco 56-59, Venice, Veneto, Italy",250,192
"USA,Italy","Anguillara Sabazia, Rome, Lazio, Italy",251,193
"Spain,West Germany,UK,USA","Madrid, Spain",252,194
USA,"Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",253,195
USA,"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",254,196
USA,"Berkshire Mountains, Massachusetts, USA",255,197
USA,"Los Angeles, California, USA",256,10
"USA,Germany","Arizona, USA",257,198
USA,"Golden Ears Provincial Park, British Columbia, Canada",258,199
USA,"New Jersey, USA",259,145
"USA,Canada",Canada,260,200
USA,,261,3
USA,"Prague, Czech Republic",262,201
USA,"Chandigarh, Punjab, India",263,202
USA,"Los Angeles, California, USA",264,10
"USA,UK",,265,203
USA,"Littlefield, Arizona, USA",266,204
"USA,UK","Chatham Historic Dockyard, Chatham, Kent, England, UK",267,205
USA,"Bloomingdale's - 1000 Third Avenue, Manhattan, New York City, New York, USA",268,206
USA,"Clarkesville, Georgia, USA",269,207
USA,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",270,69
USA,Africa,271,208
USA,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",272,69
USA,,273,3
USA,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",274,56
USA,,275,3
USA,"Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",276,195
USA,"Sanford, Florida, USA",277,209
USA,"Bowie High School - 4103 W. Slaughter Lane, Austin, Texas, USA",278,210
USA,"Monterey Village. Tucson, Arizona, USA",279,211
USA,"Ait Benhaddou, Morocco",280,16
"USA,Canada","Ait Benhaddou, Morocco",281,212
USA,"Manhattan, New York City, New York, USA",282,213
USA,"Paramount Building, 1633 Broadway, New York City, New York, USA",283,214
USA,"Ballroom, Park Plaza Hotel - 607 S. Park View Street, Los Angeles, California, USA",284,215
USA,"Austin, Texas, USA",285,216
"USA,UK","Hôtel de Sully, Paris 4, Paris, France",286,217
USA,"128 Spring Street, Soho, Manhattan, New York City, New York, USA",287,218
USA,"380 South San Rafael Avenue, Pasadena, California, USA",288,219
"USA,UK","White House - 1600 Pennsylvania Avenue NW, Washington, District of Columbia, USA",289,220
"USA,Germany","Sokolec, Czech Republic",290,221
USA,"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",291,222
"USA,France","Château de Pierrefonds, Pierrefonds, Oise, France",292,223
USA,"Beverly Center - 8500 Beverly Blvd., Los Angeles, California, USA",293,224
USA,"Austin, Texas, USA",294,216
USA,"Austin, Texas, USA",295,216
USA,"Blue Bell, Pennsylvania, USA",296,225
USA,"Alnwick Castle, Alnwick, Northumberland, England, UK",297,226
USA,"North Carolina, USA",298,83
USA,"1930 Rodney Drive, Los Angeles, California, USA",299,227
USA,"Broadway, Manhattan, New York City, New York, USA",300,228
USA,"Church Street Station - 129 W. Church Street, Orlando, Florida, USA",301,229
USA,"Brophy Elementary School, Framingham, Massachusetts, USA",302,230
USA,"The Original Los Angeles Flower Market - 754 Wall St, Los Angeles, California, USA",303,231
"Germany,UK,USA,France","New York City, New York, USA",304,232
USA,"Coronado Beach, Coronado, California, USA",305,233
USA,"Grauman's Chinese Theater - 6925 Hollywood Blvd., Hollywood, Los Angeles, California, USA",306,234
USA,"72nd Street, Broadway, Manhattan, New York City, New York, USA",307,235
USA,Hungary,308,236
"USA,Czech Republic",Arctic,309,237
USA,"Cesar E Chavez Avenue Viaduct, Downtown, Los Angeles, California, USA",310,238
USA,"Palmdale Regional Airport, Palmdale, California, USA",311,239
USA,"Los Angeles, California, USA",312,10
USA,"Ironhead Studio, Los Angeles, California, USA",313,240
USA,"Albuquerque, New Mexico, USA",314,241
USA,"Central Park, Manhattan, New York City, New York, USA",315,242
USA,"Baton Rouge, Louisiana, USA",316,243
USA,"Chicago, Illinois, USA",317,244
USA,"Atlantic Beach, North Carolina, USA",318,245
USA,"Los Angeles, California, USA",319,10
"Canada,USA","Montréal, Québec, Canada",320,246
USA,"Oyster Bay, Long Island, New York, USA",321,247
"Spain,USA,Puerto Rico,Italy","Boston, Massachusetts, USA",322,248
USA,"Hotaling Cafe - 60 Hotaling Pl, San Francisco, California, USA",323,249
"USA,Australia","Carolina Beach, North Carolina, USA",324,250
USA,"Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",325,251
USA,"The Ebell of Los Angeles - 743 South Lucerne Bouelvard, Los Angeles, California, USA",326,252
"USA,UK","Beaufort, South Carolina, USA",327,253
USA,"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",328,254
"USA,UK","Beaufort, South Carolina, USA",329,253
"USA,UK","Agnes Scott College - 141 E. College Avenue, Decatur, Georgia, USA",330,255
"USA,France","Bakersfield, California, USA",331,256
USA,"Forest Hills, Queens, New York City, New York, USA",332,257
USA,"Harriman State Park, Bear Mountain, New York, USA",333,258
USA,"Holmesburg Prison - 8215 Torresdale Avenue, Philadelphia, Pennsylvania, USA",334,259
USA,"Chesapeake Bay Bridge, Chesapeake Bay, Maryland, USA",335,260
USA,"Agoura Hills, California, USA",336,261
USA,"Oxford, Ohio, USA",337,262
USA,Bahamas,338,263
USA,,339,3
USA,"2421 S Figueroa St, Los Angeles, California, USA",340,264
"USA,Italy","Wilmington, North Carolina, USA",341,265
"USA,UK,Australia,South Africa","London, England, UK",342,266
USA,"Osgoode Hall, Toronto, Ontario, Canada",343,267
"USA,Germany","Rose Center for Earth & Space - 200 Central Park West, Manhattan, New York City, New York, USA",344,268
USA,China,345,269
"USA,United Arab Emirates","New York City, New York, USA",346,270
"USA,Belgium,Bulgaria","Stone Mountain - Highway 78, Stone Mountain, Georgia, USA",347,271
USA,"Glenville, New York, USA",348,272
USA,"Woodbury, Georgia USA",349,273
USA,"Reidsville, North Carolina, USA",350,274
"USA,United Arab Emirates","Annapolis, Maryland, USA",351,275
USA,"Statue of Liberty, Liberty Island, New York Harbor, New York City, New York, USA",352,276
USA,"Blue Mound, Illinois, USA",353,277
"USA,United Arab Emirates","Taylor Street, San Francisco, California, USA",354,278
USA,"Alexandra Palace, Alexandra Palace Way, Muswell Hill, London, England, UK",355,279
USA,South Africa,356,280
USA,"Continuum At South Beach - 100 South Pointe Drive, Miami Beach, Florida, USA",357,281
USA,"Los Angeles, California, USA",358,10
USA,"Los Angeles, California, USA",359,10
"USA,Canada,Germany,France","Centennial College, Toronto, Ontario, Canada",360,282
USA,"Four Aces - 14499 E. Avenue Q, Palmdale, California, USA",361,283
USA,"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",362,254
USA,"Greenmount Avenue at 33rd Street, Baltimore, Maryland, USA",363,284
"USA,West Germany","Hopfenohe, Grafenwöhr, Bavaria, Germany",364,285
USA,"Foxborough, Massachusetts, USA",365,286
USA,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",366,69
USA,"Circle Drive, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",367,287
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",368,54
USA,"Apple Valley Inn - Apple Valley Inn Road, Apple Valley, California, USA",369,288
USA,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",370,289
USA,"Aquarius Theater - 6230 Sunset Blvd., Hollywood, Los Angeles, California, USA",371,290
USA,"Colonial Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",372,291
USA,"Beverly Hilton Hotel - 9876 Wilshire Blvd., Beverly Hills, California, USA",373,292
USA,"Circle Drive, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",374,287
USA,"Delray Beach, Florida, USA",375,293
USA,"Bahia, Brazil",376,294
"France,UK,USA","Paris, France",377,295
USA,"Culver City, California, USA",378,296
USA,"209 Short Street, Southport, North Carolina, USA",379,297
USA,"5th Avenue, Manhattan, New York City, New York, USA",380,298
USA,"Fort Lauderdale, Florida, USA",381,299
USA,"3871 Tomales Road, Tomales, California, USA",382,300
USA,,383,3
USA,"Los Angeles, California, USA",384,10
USA,,385,3
USA,"New Orleans, Louisiana, USA",386,171
"Peru,USA","Cookeville, Tennessee, USA",387,301
USA,"Agua Dulce Movie Ranch - 34855 Petersen Road, Agua Dulce, California, USA",388,302
USA,"Lompoc, California, USA",389,303
USA,"New York City, New York, USA",390,9
USA,"Allegheny County, Pennsylvania, USA",391,304
"Spain,USA","Sevilla, Andalucía, Spain",392,305
USA,,393,3
USA,"3324 N. Christmas Avenue, Tucson, Arizona, USA",394,306
USA,"1152 S Wabash Ave, Chicago, Illinois, USA",395,307
USA,"Austin, Texas, USA",396,216
USA,"1382 Waverly Rd., Highland Park, Illinois, USA",397,308
USA,"340 N. Faring Rd. Los Angeles, California",398,309
USA,"Koi, former L'Ermitage Restaurant - 730 North La Cienega Boulevard, Los Angeles, California, USA",399,310
USA,"Yosemite National Park, California, USA",400,311
USA,"Black Lagoon, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",401,312
USA,"391 Filbert Street - San Francisco, California, USA",402,313
USA,"California, USA",403,27
USA,"Boscov's Camp Hill - 170 South 32nd Street, Camp Hill, Pennsylvania, USA",404,314
USA,"Syracuse, New York, USA",405,315
USA,"Manhattan, New York City, New York, USA",406,213
USA,"California State University Northridge - 18111 Nordhoff Street, Northridge, Los Angeles, California, USA",407,95
USA,"One Park Place B5, Atlanta, Georgia, USA",408,316
"USA,UK","Rio Grande Gorge Bridge, Taos, New Mexico, USA",409,317
"USA,UK,Germany","Santa Clarita, California, USA",410,318
USA,"9 Broadway, Manhattan, New York City, New York, USA",411,319
USA,"Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",412,320
USA,"Santa Clarita, California, USA",413,70
USA,"Baltimore, Maryland, USA",414,38
USA,"1004 Highland Street, South Pasadena, California, USA",415,321
"UK,Germany,Japan,USA","Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",416,322
"USA,Germany","4160 Country Club Drive, Long Beach, California, USA",417,323
USA,Czech Republic,418,324
USA,"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",419,325
USA,"San Juan, Puerto Rico",420,326
USA,"Fore River Ship Yard, Quincy, Massachusetts, USA",421,327
"Germany,USA","Sächsische Schweiz, Saxony, Germany",422,328
USA,"Figueroa Hotel - 939 S. Figueroa Street, Downtown, Los Angeles, California, USA",423,329
USA,"Abiquiu, New Mexico, USA",424,330
USA,"Cook Bank Building, Rhyolite, Nevada, USA",425,331
"USA,UK","Castle Green Apartments - 99 S. Raymond, Pasadena, California, USA",426,332
USA,"Ajax, Ontario, Canada",427,333
USA,"New York, USA",428,334
"USA,Germany","Chatham Historic Dockyard, Chatham, Kent, England, UK",429,335
USA,"Bronx, New York City, New York, USA",430,336
USA,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",431,289
USA,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",432,58
USA,"George Air Force Base, Victorville, California, USA",433,337
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",434,54
USA,"RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",435,106
USA,"Bald Head Island, North Carolina, USA",436,338
"France,USA","Carson City, Nevada, USA",437,339
USA,"Santa Monica, California, USA",438,340
USA,"Guadalupe Canyon, Arizona, USA",439,341
USA,"Lone Pine, California, USA",440,342
USA,"Santa Clarita, California, USA",441,70
USA,"Hal Roach Studios - 8822 Washington Blvd., Culver City, California, USA",442,343
"Spain,France,USA","Huelva, Andalucía, Spain",443,344
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",444,54
USA,,445,3
USA,"Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",446,345
USA,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",447,56
USA,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",448,56
USA,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",449,56
USA,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",450,289
USA,"Rome, Italy",451,346
USA,"Banning, California, USA",452,347
USA,"Bay St. Louis, Mississippi, USA",453,348
USA,"111 Waverly Place, Greenwich Village, Manhattan, New York City, New York, USA",454,349
USA,"190 Riverside Drive, Manhattan, New York City, New York, USA",455,350
USA,"Los Angeles, California, USA",456,10
USA,,457,3
USA,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",458,58
USA,"Sable Ranch - 25933 Sand Canyon Road, Santa Clarita, California, USA",459,351
USA,USA,460,21
"USA,Japan",USA,461,352
USA,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",462,69
USA,"Madison, New Jersey, USA",463,353
USA,"Hop Kiln Winery, Sonoma, California, USA",464,354
USA,"Echo Park, Los Angeles, California, USA",465,190
"France,USA","387 South Main Street, Los Angeles, California, USA",466,355
USA,"Hollywood, California, USA",467,356
USA,"Downtown, Los Angeles, California, USA",468,357
USA,"Los Angeles, California, USA",469,10
USA,"Los Angeles, California, USA",470,10
USA,"Los Angeles, California, USA",471,10
USA,"Jersey City, New Jersey, USA",472,358
USA,"Arizona, USA",473,359
USA,"Goshen, Connecticut, USA",474,360
USA,"California, USA",475,27
USA,"Bremen, Georgia, USA",476,361
USA,"13780 Rayen Street - Arleta, California, USA",477,362
USA,"Los Angeles, California, USA",478,10
USA,,479,3
USA,"San Francisco, California, USA",480,363
