ibu,original_index,unique_index,count
,219,0,
,220,0,
,221,0,
,222,0,
44.0,223,54,12.0
,224,0,
27.0,225,38,20.0
,226,0,
87.0,227,55,2.0
32.0,228,56,15.0
68.0,229,21,10.0
34.0,230,57,12.0
38.0,231,26,8.0
40.0,232,30,41.0
20.0,233,22,82.0
,234,0,
,235,0,
,236,0,
,237,0,
,238,0,
17.0,239,5,25.0
104.0,240,58,2.0
,241,0,
85.0,242,52,30.0
,243,0,
,244,0,
,245,0,
54.0,246,59,4.0
,247,0,
,248,0,
60.0,249,1,44.0
32.0,250,56,15.0
55.0,251,36,31.0
65.0,252,9,54.0
40.0,253,30,41.0
35.0,254,10,60.0
26.0,255,19,15.0
60.0,256,1,44.0
26.0,257,19,15.0
35.0,258,10,60.0
65.0,259,9,54.0
,260,0,
40.0,261,30,41.0
35.0,262,10,60.0
26.0,263,19,15.0
81.0,264,60,1.0
38.0,265,26,8.0
43.0,266,31,7.0
85.0,267,52,30.0
76.0,268,61,2.0
35.0,269,10,60.0
50.0,270,15,23.0
45.0,271,3,39.0
,272,0,
,273,0,
,274,0,
75.0,275,17,31.0
16.0,276,53,24.0
35.0,277,10,60.0
8.0,278,44,9.0
44.0,279,54,12.0
83.0,280,62,3.0
45.0,281,3,39.0
34.0,282,57,12.0
44.0,283,54,12.0
16.0,284,53,24.0
20.0,285,22,82.0
,286,0,
47.0,287,63,9.0
30.0,288,18,53.0
,289,0,
,290,0,
51.0,291,64,4.0
,292,0,
,293,0,
,294,0,
,295,0,
,296,0,
,297,0,
,298,0,
,299,0,
,300,0,
,301,0,
,302,0,
37.0,303,65,12.0
37.0,304,65,12.0
37.0,305,65,12.0
35.0,306,10,60.0
,307,0,
,308,0,
80.0,309,23,21.0
60.0,310,1,44.0
30.0,311,18,53.0
22.0,312,46,35.0
60.0,313,1,44.0
16.0,314,53,24.0
,315,0,
,316,0,
,317,0,
,318,0,
,319,0,
40.0,320,30,41.0
16.0,321,53,24.0
28.0,322,14,25.0
,323,0,
,324,0,
,325,0,
,326,0,
,327,0,
,328,0,
,329,0,
,330,0,
30.0,331,18,53.0
34.0,332,57,12.0
,333,0,
27.0,334,38,20.0
72.0,335,66,8.0
22.0,336,46,35.0
30.0,337,18,53.0
26.0,338,19,15.0
94.0,339,8,5.0
,340,0,
,341,0,
,342,0,
,343,0,
38.0,344,26,8.0
,345,0,
45.0,346,3,39.0
,347,0,
,348,0,
,349,0,
,350,0,
,351,0,
,352,0,
72.0,353,66,8.0
16.0,354,53,24.0
8.0,355,44,9.0
45.0,356,3,39.0
,357,0,
,358,0,
30.0,359,18,53.0
30.0,360,18,53.0
15.0,361,16,40.0
7.0,362,67,7.0
30.0,363,18,53.0
35.0,364,10,60.0
35.0,365,10,60.0
35.0,366,10,60.0
80.0,367,23,21.0
,368,0,
,369,0,
,370,0,
52.0,371,7,9.0
52.0,372,7,9.0
80.0,373,23,21.0
25.0,374,24,45.0
,375,0,
40.0,376,30,41.0
,377,0,
9.0,378,68,13.0
15.0,379,16,40.0
68.0,380,21,10.0
19.0,381,34,11.0
,382,0,
60.0,383,1,44.0
21.0,384,25,22.0
28.0,385,14,25.0
,386,0,
,387,0,
,388,0,
,389,0,
,390,0,
,391,0,
,392,0,
,393,0,
,394,0,
,395,0,
,396,0,
,397,0,
,398,0,
,399,0,
,400,0,
,401,0,
,402,0,
,403,0,
,404,0,
,405,0,
,406,0,
,407,0,
,408,0,
,409,0,
,410,0,
,411,0,
,412,0,
,413,0,
,414,0,
,415,0,
,416,0,
,417,0,
,418,0,
,419,0,
,420,0,
,421,0,
,422,0,
,423,0,
,424,0,
,425,0,
,426,0,
,427,0,
,428,0,
,429,0,
,430,0,
,431,0,
,432,0,
,433,0,
,434,0,
,435,0,
,436,0,
,437,0,
,438,0,
,439,0,
,440,0,
,441,0,
,442,0,
,443,0,
,444,0,
,445,0,
,446,0,
,447,0,
,448,0,
,449,0,
,450,0,
,451,0,
,452,0,
15.0,453,16,40.0
17.0,454,5,25.0
,455,0,
64.0,456,69,7.0
47.0,457,63,9.0
,458,0,
47.0,459,63,9.0
,460,0,
,461,0,
,462,0,
,463,0,
,464,0,
85.0,465,52,30.0
,466,0,
42.0,467,4,25.0
35.0,468,10,60.0
40.0,469,30,41.0
,470,0,
,471,0,
40.0,472,30,41.0
20.0,473,22,82.0
118.0,474,70,1.0
,475,0,
,476,0,
,477,0,
40.0,478,30,41.0
115.0,479,42,5.0
,480,0,
,481,0,
16.0,482,53,24.0
86.0,483,71,4.0
,484,0,
40.0,485,30,41.0
14.0,486,72,9.0
36.0,487,28,15.0
,488,0,
,489,0,
,490,0,
,491,0,
,492,0,
,493,0,
,494,0,
,495,0,
,496,0,
,497,0,
,498,0,
25.0,499,24,45.0
35.0,500,10,60.0
100.0,501,73,23.0
35.0,502,10,60.0
25.0,503,24,45.0
100.0,504,73,23.0
,505,0,
55.0,506,36,31.0
16.0,507,53,24.0
24.0,508,74,23.0
94.0,509,8,5.0
94.0,510,8,5.0
55.0,511,36,31.0
55.0,512,36,31.0
55.0,513,36,31.0
55.0,514,36,31.0
55.0,515,36,31.0
24.0,516,74,23.0
94.0,517,8,5.0
,518,0,
,519,0,
,520,0,
,521,0,
,522,0,
,523,0,
43.0,524,31,7.0
130.0,525,75,1.0
64.0,526,69,7.0
35.0,527,10,60.0
30.0,528,18,53.0
35.0,529,10,60.0
10.0,530,37,18.0
80.0,531,23,21.0
28.0,532,14,25.0
18.0,533,13,46.0
55.0,534,36,31.0
18.0,535,13,46.0
70.0,536,6,48.0
,537,0,
,538,0,
,539,0,
,540,0,
,541,0,
,542,0,
,543,0,
,544,0,
22.0,545,46,35.0
,546,0,
,547,0,
100.0,548,73,23.0
9.0,549,68,13.0
80.0,550,23,21.0
35.0,551,10,60.0
,552,0,
,553,0,
,554,0,
,555,0,
,556,0,
,557,0,
,558,0,
,559,0,
,560,0,
16.0,561,53,24.0
16.0,562,53,24.0
,563,0,
,564,0,
90.0,565,76,12.0
,566,0,
70.0,567,6,48.0
35.0,568,10,60.0
36.0,569,28,15.0
18.0,570,13,46.0
,571,0,
,572,0,
40.0,573,30,41.0
24.0,574,74,23.0
40.0,575,30,41.0
42.0,576,4,25.0
15.0,577,16,40.0
85.0,578,52,30.0
99.0,579,77,4.0
77.0,580,78,5.0
,581,0,
45.0,582,3,39.0
22.0,583,46,35.0
65.0,584,9,54.0
,585,0,
8.0,586,44,9.0
30.0,587,18,53.0
,588,0,
69.0,589,39,13.0
40.0,590,30,41.0
58.0,591,79,4.0
10.0,592,37,18.0
,593,0,
126.0,594,80,1.0
29.0,595,81,11.0
,596,0,
,597,0,
25.0,598,24,45.0
65.0,599,9,54.0
65.0,600,9,54.0
,601,0,
,602,0,
,603,0,
,604,0,
60.0,605,1,44.0
60.0,606,1,44.0
,607,0,
60.0,608,1,44.0
60.0,609,1,44.0
60.0,610,1,44.0
,611,0,
,612,0,
70.0,613,6,48.0
70.0,614,6,48.0
65.0,615,9,54.0
,616,0,
25.0,617,24,45.0
25.0,618,24,45.0
,619,0,
75.0,620,17,31.0
70.0,621,6,48.0
18.0,622,13,46.0
,623,0,
,624,0,
,625,0,
,626,0,
,627,0,
,628,0,
,629,0,
60.0,630,1,44.0
75.0,631,17,31.0
13.0,632,20,12.0
17.0,633,5,25.0
55.0,634,36,31.0
11.0,635,12,15.0
75.0,636,17,31.0
24.0,637,74,23.0
24.0,638,74,23.0
,639,0,
75.0,640,17,31.0
22.0,641,46,35.0
21.0,642,25,22.0
,643,0,
,644,0,
,645,0,
,646,0,
,647,0,
,648,0,
,649,0,
29.0,650,81,11.0
71.0,651,82,3.0
46.0,652,49,6.0
25.0,653,24,45.0
,654,0,
,655,0,
,656,0,
15.0,657,16,40.0
,658,0,
25.0,659,24,45.0
65.0,660,9,54.0
,661,0,
25.0,662,24,45.0
,663,0,
,664,0,
,665,0,
,666,0,
,667,0,
,668,0,
,669,0,
,670,0,
,671,0,
31.0,672,83,9.0
23.0,673,35,26.0
,674,0,
,675,0,
,676,0,
,677,0,
,678,0,
,679,0,
,680,0,
15.0,681,16,40.0
11.0,682,12,15.0
,683,0,
115.0,684,42,5.0
80.0,685,23,21.0
,686,0,
,687,0,
,688,0,
,689,0,
,690,0,
,691,0,
,692,0,
,693,0,
37.0,694,65,12.0
,695,0,
33.0,696,27,13.0
100.0,697,73,23.0
,698,0,
,699,0,
25.0,700,24,45.0
,701,0,
23.0,702,35,26.0
70.0,703,6,48.0
44.0,704,54,12.0
16.0,705,53,24.0
55.0,706,36,31.0
46.0,707,49,6.0
71.0,708,82,3.0
46.0,709,49,6.0
,710,0,
,711,0,
40.0,712,30,41.0
16.0,713,53,24.0
22.0,714,46,35.0
76.0,715,61,2.0
12.0,716,43,16.0
,717,0,
85.0,718,52,30.0
22.0,719,46,35.0
45.0,720,3,39.0
26.0,721,19,15.0
27.0,722,38,20.0
,723,0,
85.0,724,52,30.0
12.0,725,43,16.0
,726,0,
72.0,727,66,8.0
,728,0,
,729,0,
,730,0,
,731,0,
,732,0,
,733,0,
,734,0,
,735,0,
,736,0,
100.0,737,73,23.0
17.0,738,5,25.0
12.0,739,43,16.0
49.0,740,84,5.0
64.0,741,69,7.0
18.0,742,13,46.0
,743,0,
74.0,744,85,5.0
,745,0,
,746,0,
,747,0,
,748,0,
74.0,749,85,5.0
,750,0,
25.0,751,24,45.0
,752,0,
,753,0,
,754,0,
,755,0,
,756,0,
,757,0,
60.0,758,1,44.0
80.0,759,23,21.0
23.0,760,35,26.0
61.0,761,86,5.0
,762,0,
,763,0,
,764,0,
48.0,765,50,8.0
,766,0,
,767,0,
,768,0,
,769,0,
,770,0,
32.0,771,56,15.0
19.0,772,34,11.0
70.0,773,6,48.0
55.0,774,36,31.0
80.0,775,23,21.0
58.0,776,79,4.0
20.0,777,22,82.0
20.0,778,22,82.0
20.0,779,22,82.0
70.0,780,6,48.0
53.0,781,87,4.0
,782,0,
,783,0,
53.0,784,87,4.0
,785,0,
,786,0,
,787,0,
,788,0,
80.0,789,23,21.0
30.0,790,18,53.0
,791,0,
45.0,792,3,39.0
20.0,793,22,82.0
,794,0,
80.0,795,23,21.0
,796,0,
22.0,797,46,35.0
,798,0,
72.0,799,66,8.0
,800,0,
,801,0,
,802,0,
,803,0,
47.0,804,63,9.0
75.0,805,17,31.0
,806,0,
,807,0,
20.0,808,22,82.0
,809,0,
27.0,810,38,20.0
104.0,811,58,2.0
,812,0,
,813,0,
60.0,814,1,44.0
28.0,815,14,25.0
,816,0,
70.0,817,6,48.0
,818,0,
,819,0,
,820,0,
,821,0,
18.0,822,13,46.0
65.0,823,9,54.0
,824,0,
,825,0,
,826,0,
,827,0,
,828,0,
,829,0,
,830,0,
,831,0,
,832,0,
,833,0,
,834,0,
97.0,835,88,1.0
,836,0,
19.0,837,34,11.0
16.0,838,53,24.0
17.0,839,5,25.0
42.0,840,4,25.0
50.0,841,15,23.0
65.0,842,9,54.0
42.0,843,4,25.0
73.0,844,89,2.0
40.0,845,30,41.0
20.0,846,22,82.0
,847,0,
,848,0,
,849,0,
90.0,850,76,12.0
,851,0,
17.0,852,5,25.0
21.0,853,25,22.0
,854,0,
9.0,855,68,13.0
47.0,856,63,9.0
21.0,857,25,22.0
,858,0,
,859,0,
28.0,860,14,25.0
36.0,861,28,15.0
70.0,862,6,48.0
,863,0,
69.0,864,39,13.0
18.0,865,13,46.0
27.0,866,38,20.0
33.0,867,27,13.0
,868,0,
20.0,869,22,82.0
,870,0,
10.0,871,37,18.0
70.0,872,6,48.0
5.0,873,47,5.0
,874,0,
,875,0,
,876,0,
35.0,877,10,60.0
45.0,878,3,39.0
30.0,879,18,53.0
80.0,880,23,21.0
32.0,881,56,15.0
24.0,882,74,23.0
42.0,883,4,25.0
73.0,884,89,2.0
,885,0,
50.0,886,15,23.0
15.0,887,16,40.0
26.0,888,19,15.0
70.0,889,6,48.0
75.0,890,17,31.0
35.0,891,10,60.0
74.0,892,85,5.0
70.0,893,6,48.0
92.0,894,2,3.0
60.0,895,1,44.0
15.0,896,16,40.0
65.0,897,9,54.0
60.0,898,1,44.0
,899,0,
20.0,900,22,82.0
70.0,901,6,48.0
70.0,902,6,48.0
60.0,903,1,44.0
15.0,904,16,40.0
11.0,905,12,15.0
70.0,906,6,48.0
18.0,907,13,46.0
36.0,908,28,15.0
103.0,909,29,3.0
54.0,910,59,4.0
64.0,911,69,7.0
36.0,912,28,15.0
40.0,913,30,41.0
55.0,914,36,31.0
30.0,915,18,53.0
30.0,916,18,53.0
18.0,917,13,46.0
18.0,918,13,46.0
20.0,919,22,82.0
19.0,920,34,11.0
,921,0,
,922,0,
,923,0,
,924,0,
21.0,925,25,22.0
21.0,926,25,22.0
35.0,927,10,60.0
22.0,928,46,35.0
18.0,929,13,46.0
33.0,930,27,13.0
60.0,931,1,44.0
27.0,932,38,20.0
22.0,933,46,35.0
33.0,934,27,13.0
25.0,935,24,45.0
36.0,936,28,15.0
18.0,937,13,46.0
27.0,938,38,20.0
25.0,939,24,45.0
13.0,940,20,12.0
65.0,941,9,54.0
66.0,942,90,5.0
33.0,943,27,13.0
23.0,944,35,26.0
26.0,945,19,15.0
60.0,946,1,44.0
22.0,947,46,35.0
,948,0,
,949,0,
,950,0,
,951,0,
,952,0,
,953,0,
75.0,954,17,31.0
,955,0,
,956,0,
15.0,957,16,40.0
15.0,958,16,40.0
49.0,959,84,5.0
,960,0,
5.0,961,47,5.0
22.0,962,46,35.0
,963,0,
,964,0,
20.0,965,22,82.0
30.0,966,18,53.0
,967,0,
10.0,968,37,18.0
30.0,969,18,53.0
48.0,970,50,8.0
99.0,971,77,4.0
22.0,972,46,35.0
70.0,973,6,48.0
25.0,974,24,45.0
25.0,975,24,45.0
36.0,976,28,15.0
48.0,977,50,8.0
30.0,978,18,53.0
30.0,979,18,53.0
44.0,980,54,12.0
71.0,981,82,3.0
,982,0,
69.0,983,39,13.0
,984,0,
54.0,985,59,4.0
20.0,986,22,82.0
,987,0,
34.0,988,57,12.0
54.0,989,59,4.0
22.0,990,46,35.0
6.0,991,33,3.0
,992,0,
25.0,993,24,45.0
35.0,994,10,60.0
25.0,995,24,45.0
,996,0,
35.0,997,10,60.0
55.0,998,36,31.0
,999,0,
43.0,1000,31,7.0
67.0,1001,40,3.0
,1002,0,
,1003,0,
,1004,0,
,1005,0,
,1006,0,
,1007,0,
,1008,0,
,1009,0,
,1010,0,
40.0,1011,30,41.0
18.0,1012,13,46.0
17.0,1013,5,25.0
14.0,1014,72,9.0
70.0,1015,6,48.0
18.0,1016,13,46.0
55.0,1017,36,31.0
15.0,1018,16,40.0
45.0,1019,3,39.0
,1020,0,
28.0,1021,14,25.0
42.0,1022,4,25.0
20.0,1023,22,82.0
30.0,1024,18,53.0
42.0,1025,4,25.0
28.0,1026,14,25.0
10.0,1027,37,18.0
28.0,1028,14,25.0
42.0,1029,4,25.0
,1030,0,
,1031,0,
,1032,0,
,1033,0,
,1034,0,
,1035,0,
,1036,0,
65.0,1037,9,54.0
40.0,1038,30,41.0
77.0,1039,78,5.0
45.0,1040,3,39.0
30.0,1041,18,53.0
,1042,0,
30.0,1043,18,53.0
86.0,1044,71,4.0
85.0,1045,52,30.0
21.0,1046,25,22.0
68.0,1047,21,10.0
22.0,1048,46,35.0
,1049,0,
,1050,0,
32.0,1051,56,15.0
34.0,1052,57,12.0
20.0,1053,22,82.0
60.0,1054,1,44.0
30.0,1055,18,53.0
,1056,0,
25.0,1057,24,45.0
28.0,1058,14,25.0
45.0,1059,3,39.0
20.0,1060,22,82.0
60.0,1061,1,44.0
70.0,1062,6,48.0
20.0,1063,22,82.0
13.0,1064,20,12.0
90.0,1065,76,12.0
90.0,1066,76,12.0
20.0,1067,22,82.0
,1068,0,
,1069,0,
40.0,1070,30,41.0
50.0,1071,15,23.0
,1072,0,
,1073,0,
21.0,1074,25,22.0
20.0,1075,22,82.0
20.0,1076,22,82.0
20.0,1077,22,82.0
20.0,1078,22,82.0
20.0,1079,22,82.0
20.0,1080,22,82.0
20.0,1081,22,82.0
20.0,1082,22,82.0
20.0,1083,22,82.0
20.0,1084,22,82.0
20.0,1085,22,82.0
20.0,1086,22,82.0
60.0,1087,1,44.0
35.0,1088,10,60.0
75.0,1089,17,31.0
70.0,1090,6,48.0
60.0,1091,1,44.0
60.0,1092,1,44.0
70.0,1093,6,48.0
32.0,1094,56,15.0
75.0,1095,17,31.0
,1096,0,
17.0,1097,5,25.0
,1098,0,
,1099,0,
,1100,0,
90.0,1101,76,12.0
22.0,1102,46,35.0
10.0,1103,37,18.0
27.0,1104,38,20.0
80.0,1105,23,21.0
45.0,1106,3,39.0
32.0,1107,56,15.0
42.0,1108,4,25.0
27.0,1109,38,20.0
58.0,1110,79,4.0
75.0,1111,17,31.0
20.0,1112,22,82.0
20.0,1113,22,82.0
55.0,1114,36,31.0
28.0,1115,14,25.0
,1116,0,
,1117,0,
18.0,1118,13,46.0
15.0,1119,16,40.0
80.0,1120,23,21.0
65.0,1121,9,54.0
45.0,1122,3,39.0
,1123,0,
,1124,0,
37.0,1125,65,12.0
,1126,0,
,1127,0,
,1128,0,
,1129,0,
,1130,0,
,1131,0,
,1132,0,
,1133,0,
,1134,0,
,1135,0,
,1136,0,
,1137,0,
15.0,1138,16,40.0
50.0,1139,15,23.0
90.0,1140,76,12.0
15.0,1141,16,40.0
,1142,0,
24.0,1143,74,23.0
16.0,1144,53,24.0
25.0,1145,24,45.0
40.0,1146,30,41.0
25.0,1147,24,45.0
20.0,1148,22,82.0
20.0,1149,22,82.0
85.0,1150,52,30.0
45.0,1151,3,39.0
15.0,1152,16,40.0
70.0,1153,6,48.0
19.0,1154,34,11.0
64.0,1155,69,7.0
23.0,1156,35,26.0
,1157,0,
15.0,1158,16,40.0
,1159,0,
,1160,0,
11.0,1161,12,15.0
65.0,1162,9,54.0
65.0,1163,9,54.0
50.0,1164,15,23.0
65.0,1165,9,54.0
11.0,1166,12,15.0
,1167,0,
,1168,0,
,1169,0,
,1170,0,
,1171,0,
,1172,0,
,1173,0,
,1174,0,
,1175,0,
70.0,1176,6,48.0
10.0,1177,37,18.0
,1178,0,
65.0,1179,9,54.0
11.0,1180,12,15.0
18.0,1181,13,46.0
18.0,1182,13,46.0
18.0,1183,13,46.0
18.0,1184,13,46.0
9.0,1185,68,13.0
,1186,0,
15.0,1187,16,40.0
100.0,1188,73,23.0
30.0,1189,18,53.0
28.0,1190,14,25.0
,1191,0,
,1192,0,
,1193,0,
,1194,0,
12.0,1195,43,16.0
9.0,1196,68,13.0
66.0,1197,90,5.0
95.0,1198,91,3.0
70.0,1199,6,48.0
,1200,0,
,1201,0,
,1202,0,
,1203,0,
,1204,0,
,1205,0,
30.0,1206,18,53.0
30.0,1207,18,53.0
40.0,1208,30,41.0
42.0,1209,4,25.0
20.0,1210,22,82.0
75.0,1211,17,31.0
40.0,1212,30,41.0
,1213,0,
,1214,0,
47.0,1215,63,9.0
11.0,1216,12,15.0
30.0,1217,18,53.0
42.0,1218,4,25.0
30.0,1219,18,53.0
33.0,1220,27,13.0
8.0,1221,44,9.0
30.0,1222,18,53.0
8.0,1223,44,9.0
20.0,1224,22,82.0
,1225,0,
,1226,0,
65.0,1227,9,54.0
55.0,1228,36,31.0
29.0,1229,81,11.0
,1230,0,
,1231,0,
,1232,0,
18.0,1233,13,46.0
31.0,1234,83,9.0
,1235,0,
20.0,1236,22,82.0
,1237,0,
,1238,0,
,1239,0,
32.0,1240,56,15.0
,1241,0,
,1242,0,
,1243,0,
18.0,1244,13,46.0
,1245,0,
18.0,1246,13,46.0
11.0,1247,12,15.0
40.0,1248,30,41.0
70.0,1249,6,48.0
32.0,1250,56,15.0
30.0,1251,18,53.0
20.0,1252,22,82.0
13.0,1253,20,12.0
20.0,1254,22,82.0
,1255,0,
,1256,0,
,1257,0,
,1258,0,
,1259,0,
,1260,0,
21.0,1261,25,22.0
,1262,0,
,1263,0,
18.0,1264,13,46.0
30.0,1265,18,53.0
14.0,1266,72,9.0
85.0,1267,52,30.0
93.0,1268,92,4.0
88.0,1269,93,3.0
25.0,1270,24,45.0
49.0,1271,84,5.0
44.0,1272,54,12.0
,1273,0,
,1274,0,
,1275,0,
,1276,0,
,1277,0,
,1278,0,
,1279,0,
20.0,1280,22,82.0
47.0,1281,63,9.0
35.0,1282,10,60.0
,1283,0,
,1284,0,
,1285,0,
,1286,0,
,1287,0,
60.0,1288,1,44.0
,1289,0,
60.0,1290,1,44.0
,1291,0,
,1292,0,
,1293,0,
,1294,0,
,1295,0,
12.0,1296,43,16.0
,1297,0,
,1298,0,
,1299,0,
,1300,0,
20.0,1301,22,82.0
,1302,0,
,1303,0,
,1304,0,
,1305,0,
24.0,1306,74,23.0
12.0,1307,43,16.0
68.0,1308,21,10.0
15.0,1309,16,40.0
18.0,1310,13,46.0
30.0,1311,18,53.0
65.0,1312,9,54.0
34.0,1313,57,12.0
21.0,1314,25,22.0
53.0,1315,87,4.0
,1316,0,
,1317,0,
,1318,0,
75.0,1319,17,31.0
75.0,1320,17,31.0
22.0,1321,46,35.0
27.0,1322,38,20.0
23.0,1323,35,26.0
42.0,1324,4,25.0
11.0,1325,12,15.0
30.0,1326,18,53.0
62.0,1327,45,7.0
16.0,1328,53,24.0
,1329,0,
61.0,1330,86,5.0
61.0,1331,86,5.0
12.0,1332,43,16.0
24.0,1333,74,23.0
70.0,1334,6,48.0
100.0,1335,73,23.0
85.0,1336,52,30.0
24.0,1337,74,23.0
100.0,1338,73,23.0
30.0,1339,18,53.0
28.0,1340,14,25.0
,1341,0,
,1342,0,
,1343,0,
,1344,0,
,1345,0,
8.0,1346,44,9.0
,1347,0,
,1348,0,
,1349,0,
,1350,0,
,1351,0,
,1352,0,
,1353,0,
80.0,1354,23,21.0
24.0,1355,74,23.0
51.0,1356,64,4.0
20.0,1357,22,82.0
,1358,0,
18.0,1359,13,46.0
24.0,1360,74,23.0
,1361,0,
,1362,0,
,1363,0,
,1364,0,
,1365,0,
,1366,0,
,1367,0,
,1368,0,
,1369,0,
,1370,0,
,1371,0,
,1372,0,
,1373,0,
,1374,0,
66.0,1375,90,5.0
44.0,1376,54,12.0
75.0,1377,17,31.0
,1378,0,
,1379,0,
,1380,0,
,1381,0,
,1382,0,
,1383,0,
,1384,0,
85.0,1385,52,30.0
75.0,1386,17,31.0
50.0,1387,15,23.0
75.0,1388,17,31.0
30.0,1389,18,53.0
46.0,1390,49,6.0
40.0,1391,30,41.0
115.0,1392,42,5.0
,1393,0,
,1394,0,
,1395,0,
,1396,0,
28.0,1397,14,25.0
49.0,1398,84,5.0
18.0,1399,13,46.0
24.0,1400,74,23.0
14.0,1401,72,9.0
24.0,1402,74,23.0
35.0,1403,10,60.0
21.0,1404,25,22.0
,1405,0,
,1406,0,
21.0,1407,25,22.0
70.0,1408,6,48.0
,1409,0,
,1410,0,
,1411,0,
,1412,0,
,1413,0,
,1414,0,
,1415,0,
,1416,0,
,1417,0,
10.0,1418,37,18.0
14.0,1419,72,9.0
10.0,1420,37,18.0
30.0,1421,18,53.0
30.0,1422,18,53.0
35.0,1423,10,60.0
24.0,1424,74,23.0
22.0,1425,46,35.0
24.0,1426,74,23.0
22.0,1427,46,35.0
32.0,1428,56,15.0
15.0,1429,16,40.0
,1430,0,
,1431,0,
86.0,1432,71,4.0
86.0,1433,71,4.0
,1434,0,
,1435,0,
11.0,1436,12,15.0
65.0,1437,9,54.0
10.0,1438,37,18.0
15.0,1439,16,40.0
