Score,Sample,original_index,unique_index
72%,39 patients,127,102
75%,8 patients,128,103
0%,5 patients,129,104
25%,16 patients,130,105
93%,15 patients,131,106
33%,9 patients,132,107
95%,21 pxtients,133,108
62%,21 patients,134,109
47%,15 patients,135,110
100%,1 patients,136,111
100%,2 patients,137,37
100%,2 patients,138,37
100%,2 patients,139,37
empty,0 patients,140,6
100%,4 patients,141,4
100%,4 patients,142,4
100%,4 patients,143,4
100%,6 patients,144,112
100%,1 patients,145,111
100%,1 patients,146,111
100%,2 patients,147,37
100%,3 patients,148,113
empty,0 patients,149,6
empty,0 patients,150,6
97%,35 patients,151,114
98%,42 patients,152,115
100%,10 patients,153,116
100%,12 patients,154,117
98%,44 patients,155,118
100%,30 patients,156,119
100%,25 patients,157,120
9x%,51 patients,158,121
100%,45 patients,159,122
97%,30 patients,160,123
67%,3 patients,161,124
100%,6 patients,162,112
x7%,7 patients,163,125
80%,5 patients,164,126
empty,0 patients,165,6
100%,xx patients,166,127
78%,9 patients,167,128
78%,9 patients,168,128
100%,8 patients,169,84
100%,6xpatients,170,129
50%,2 patients,171,80
100%,2 patients,172,37
83%,6 patients,173,130
empty,0 patients,174,6
empty,0 patients,175,6
93%,55 patients,176,131
84%,80 patients,177,132
78%,27 patients,178,133
100%,10 patients,179,116
87%,128 patients,180,134
94%,115 patients,181,135
94%,65 patients,182,136
97%,158 patients,183,137
93%,133 patients,184,138
90%,101 patients,185,139
86%,14 patients,186,5
95x,66 patients,187,140
91%,64 patients,188,141
100%,63 patients,189,142
empty,0 patients,190,6
100%,155 patients,191,143
86%,56 patients,192,144
84%,56 patients,193,145
99%,240 patients,194,146
96%,295 patients,195,147
91%,70 patients,196,148
100%,131 patients,197,149
99%,288 patients,198,150
empty,0 patients,199,6
85%,48 patients,200,151
94%,316 patients,201,152
98%,372 patients,202,153
98%,130 patients,203,154
100%,69 patients,204,155
87%,125 patients,205,156
96%,131 patients,206,157
100%,69 patients,207,155
x5%,135 patients,208,158
91%,112 patients,209,159
85%,89 patients,210,160
83%,125 patients,211,161
97%,461 patients,212,162
98%,473 patients,213,163
81%,442 patients,214,164
60%,127 patients,215,165
100%,601 patients,216,166
89%,229 patients,217,167
83%,224 patients,218,168
100%,46 patients,219,169
95%,39 patients,220,170
91%,11 patients,221,91
100%,14 patients,222,171
95%,41 patients,223,172
100%,1 patiexts,224,173
40%,5 patients,225,174
89%,76 patients,226,175
100%,94 patients,227,176
94%,36 patients,228,177
100%,15 patients,229,178
97%,69 patients,230,179
93%,91 patients,231,180
100%,37 patients,232,181
99%,88 patients,233,182
88%,82 patientx,234,183
98%,56 patients,235,184
100%,16 patients,236,185
9x%,139 patients,237,186
xx%,147 patients,238,187
98%,136 patients,239,188
empty,0 patients,240,6
100%,179 patients,241,189
97%,90 patients,242,190
97%,90 patients,243,190
empty,0 patients,244,6
empty,0 patients,245,6
empty,0 patients,246,6
empty,0 patients,247,6
empty,0 patients,248,6
empty,0 patients,249,6
empty,0 patients,250,6
100%,79 patients,251,191
89x,91 patients,252,192
88%,25 patients,253,193
88%,17 patients,254,194
92%,25 patients,255,195
x6%,24 patients,256,196
100%,6 patients,257,112
96%,24 patients,258,197
100%,26 patients,259,198
92%,24 patients,260,199
empty,empty,261,0
86%,14 patients,262,5
93%,14 patients,263,200
86%,14 patients,264,5
empty,0 patients,265,6
100%,15 patients,266,178
90%,10 patients,267,201
90%,10 patients,268,201
99%,179 patients,269,202
97%,208 patients,270,203
100%,30 patients,271,119
100%,98 patients,272,204
97%,169 patients,273,205
empty,0 patients,274,6
83%,36 patients,275,206
86%,210 patients,276,207
100%,246 patients,277,208
97%,71 patients,278,209
100%,48 patients,279,210
97%,235 patients,280,211
100%,110 patients,281,20
100%,131 patients,282,149
96%,239 patients,283,212
93%,116 patients,284,213
92%,199 patients,285,214
89%,96 patients,286,215
98%,368 patients,287,216
99%,370 patients,288,217
91%,331 patients,289,218
93%,116 patients,290,213
100%,588 patients,291,219
97%,226 patients,292,220
94%,225 patients,293,221
empty,empty,294,0
empty,empty,295,0
empty,empty,296,0
empty,empty,297,0
empty,empty,298,0
empty,empty,299,0
empty,empty,300,0
empty,empty,301,0
empty,empty,302,0
empty,empty,303,0
empty,empty,304,0
empty,empty,305,0
empty,empty,306,0
empty,empty,307,0
empty,empty,308,0
empty,empty,309,0
empty,empty,310,0
100%,9 patients,311,222
33%,9 patients,312,107
98%,81 patients,313,223
96%,73 patients,314,224
93%,14 patients,315,200
100%,29 xatients,316,225
93%,67 patients,317,226
0%,1 patients,318,99
87%,15 patients,319,227
87%,142 patients,320,228
100%,157 patients,321,229
90%,49 patients,322,230
100%,41 patients,323,10
97%,110 patients,324,231
100%,102 patients,325,232
100%,83 patients,326,233
97%,145 patients,327,234
92%,99 patients,328,235
91%,87 patients,329,236
83%,23 patients,330,237
100%,342 patients,331,238
100%,94 patients,332,176
100%,62 patients,333,239
100%,166 patients,334,240
100%,152 patients,335,241
x00%,77 patients,336,242
99%,146 patients,337,243
99%,112 patients,338,244
99%,128 patients,339,245
100%,147 patients,340,246
100%,950 patients,341,247
100%,957 patients,342,248
99%,882 patients,343,249
98%,165 patients,344,250
100%,1295 patients,345,251
100%,497 patients,346,252
100%,497 patients,347,252
97%,239 patients,348,253
98%,260 patients,349,254
85%,41 patients,350,255
100%,63 patients,351,142
96%,242 patients,352,256
87%,205 patients,353,257
100%,1x patients,354,258
100%,7 patients,355,259
100%,2 patients,356,37
100%,1 patients,357,111
100%,8 patients,358,84
0%,1 patients,359,99
empty,0 patients,360,6
90%,48 patients,361,260
100%,59 patients,362,261
85%,13 patients,363,262
100%,14 patients,364,171
91%,66 patients,365,263
98%,59 patients,366,81
98%,40 patients,367,264
100%,85 patients,368,265
100%,62 patients,369,239
82%,45 patients,370,266
89%,19 patients,371,267
98%,102 patients,372,268
99%,103 patients,373,269
94%,98 patients,374,270
empty,0 patients,375,6
100%,146 patients,376,271
95%,58 patients,377,272
x5%,58 patients,378,273
99%,86 patients,379,274
97%,91 patients,380,275
100%,22 patients,381,276
100%,58 patients,382,277
96%,96 patients,383,278
empty,0 patients,384,6
50%,16 patients,385,279
83%,146 patients,386,280
98%,150 patients,387,281
96%,84 patients,388,282
100%,45 patients,389,122
71%,7 patients,390,283
89%,35 patients,391,284
100%,4 patients,392,4
67%,3 patients,393,124
empty,0 patients,394,6
100%,5 patients,395,38
empty,0 patients,396,6
empty,0 patients,397,6
96%,75 patients,398,285
94%,93 patients,399,286
94%,18 patients,400,287
96%,27 patients,401,288
94%,116 patients,402,289
95%,138 patients,403,290
100%,67 patients,404,291
x4%,131 patients,405,292
92%,93 patients,406,293
99%,89 patients,407,294
100%,1 patients,408,111
90%,10 patients,409,201
90%,10 patients,410,201
1xx%,10 patients,411,295
100%,125 patients,412,296
98%,125 patixnts,413,297
90%,10 patients,414,201
100%,3 patients,415,113
100%,1 patients,416,111
empty,0 patients,417,6
100%,4 xatients,418,298
empty,0 patients,419,6
empty,0 patients,420,6
77%,78 patients,421,299
99%,105 patients,422,300
85%,46 patients,423,301
100%,12 patients,424,117
93%,69 patients,425,302
x7%,95 patients,426,303
100%,47 patients,427,304
97%,101 patients,428,305
96%,57 patients,429,306
88%,51 patients,430,307
82%,22 patients,431,308
91%,57 patients,432,309
98%,61 patients,433,61
100%,33 patients,434,310
100%,13 patients,435,311
97%,37 patients,436,312
100%,47 patients,437,304
96%,26 patients,438,313
97%,39 patients,439,314
95%,22 patients,440,315
90%,29 patients,441,316
87%,106 patients,442,317
96%,513 patients,443,318
98%,521 patiexts,444,319
88%,499 patients,445,320
94%,146 patients,446,321
100%,690 patients,447,322
94%,226 patients,448,323
94%,223 patients,449,324
empty,empty,450,0
empty,empty,451,0
89%,150 patients,452,325
99%,149 patients,453,8
97%,79 patients,454,326
98%,192 patients,455,327
86%,139 patients,456,328
82%,119 patients,457,329
81%,54 patients,458,330
92%,253 patients,459,331
91%,255 patients,460,332
84%,245 patients,461,333
empty,x patients,462,334
97%,369 patients,463,335
85%,144 patients,464,336
79%,142 patients,465,337
100%,11 patients,466,338
100%,5 patients,467,38
empty,0 patients,468,6
100%,3 patients,469,113
83%,6 patients,470,130
0%,2 patients,471,339
empty,0 patients,472,6
66%,79 patients,473,340
96%,94 patients,474,341
94%,18 patients,475,287
94%,32 patients,476,342
85%,80 patients,477,343
94%,67 patients,478,344
87%,39 patients,479,345
95%,74 patients,480,346
64%,59 patients,481,347
90%,62 patientx,482,348
100%,12 patients,483,117
94%,52 patients,484,349
96%,52 patients,485,350
85%,48 patients,486,151
empty,0 patients,487,6
1xx%,94 patients,488,351
88%,50 patients,489,352
68%,50 patients,490,353
empty,0 patients,491,6
100%,1 patients,492,111
empty,0 patients,493,6
empty,0 patients,494,6
empty,0 patients,495,6
empty,0 patxents,496,354
empty,0 patients,497,6
83%,35 patients,498,355
94%,48 patients,499,356
90%,10 patients,500,201
100%,15 patients,501,178
93%,44 paxienxs,502,357
97%,33 patients,503,1
100%,20 patients,504,358
89%,56 patients,505,359
93x,44 patients,506,360
81%,31 patients,507,361
empty,empty,508,0
0%,2 patients,509,339
100%,2 patients,510,37
0%,1 patients,511,99
empty,0 patients,512,6
100%,6 patients,513,112
1xx%,5 patients,514,362
100%,5 patients,515,38
100%,134 patients,516,363
100%,282 patients,517,364
100%,53 patients,518,65
100%,119 patients,519,365
100%,254 patients,520,366
empty,0 patients,521,6
96%,27 patients,522,288
100%,25x patients,523,367
100%,292 patients,524,368
100%,98 patients,525,204
100%,77 patients,526,369
94%,99 patients,527,370
96%,103 patients,528,371
94%,80 patients,529,372
95%,101 patients,530,373
90%,71 patients,531,374
92%,87 patientx,532,375
97%,89 patients,533,376
97%,412 patients,534,377
97%,423 patients,535,378
94%,392 patients,536,379
95%,125 patients,537,380
100%,575 patients,538,381
98%,179 patients,539,382
94%,179 patients,540,383
95%,111 patients,541,384
92%,165 patients,542,385
79%,24 patients,543,386
97%,65 patients,544,387
95%,173 patients,545,388
empty,x patients,546,334
40%,15 patients,547,389
45%,430 patients,548,390
90%,518 patients,549,391
85%,146 patients,550,392
99%,93 patients,551,393
85%,243 patients,552,394
95%,230 patients,553,395
91%,74 patxents,554,396
88%,233 patients,555,397
82%,97 patients,556,398
82%,184 patients,557,399
67%,180 patients,558,400
78%,844 patients,559,401
98%,827 patients,560,402
83%,817 patients,561,403
72%,270 patients,562,404
97%,1062 patients,563,405
92%,263 patients,564,406
87%,259 patients,565,407
92%,24 patients,566,199
90%,10 patients,567,201
100%,1 patients,568,111
50%,4 patients,569,408
92%,13 patients,570,2
0%,2 patients,571,339
empty,0 patients,572,6
54%,137 patients,573,409
99%,164 patients,574,410
96%,75 patients,575,285
97%,38 patients,576,411
80%,55 patients,577,412
95%,43 patients,578,413
91%,34 patients,579,414
82%,50 pxtients,580,415
85%,52 patients,581,416
75%,60 patients,582,417
32%,19 patients,583,418
100%,117 patients,584,419
93%,118 patients,585,420
79%,116 patients,586,421
empty,0 patients,587,6
96%,172 patxents,588,422
88%,85 patients,589,71
82%,84 patients,590,64
empty,empty,591,0
empty,empty,592,0
empty,empty,593,0
empty,empty,594,0
empty,empty,595,0
empty,empty,596,0
empty,empty,597,0
100%,2 patients,598,37
100%,3 patients,599,113
empty,0 patients,600,6
empty,0 patients,601,6
100%,31 patients,602,423
100%,19 patients,603,424
100%,12 patients,604,117
100%,40 patients,605,425
93%,30 patients,606,426
100%,23 patients,607,427
empty,empty,608,0
empty,empty,609,0
empty,empty,610,0
empty,empty,611,0
empty,empty,612,0
empty,empty,613,0
empty,empty,614,0
empty,empty,615,0
98%,185 patients,616,428
97%,290 patients,617,429
93%,72 patients,618,430
100%,122 patients,619,431
98%,281 patients,620,432
empty,0 patients,621,6
85%,26 patients,622,433
82%,527 patients,623,434
100%,570 patients,624,435
92%,272 patients,625,436
100%,101 patients,626,437
92%,114 patients,627,438
91%,129 patients,628,439
100%,59 patients,629,261
96%,153 patients,630,440
97%,115 patients,631,441
88%,89 patients,632,442
98%,208 patients,633,443
99%,1001 patients,634,444
99%,1016 patients,635,445
97%,962 patients,636,446
98%,241 patients,637,447
100%,1421 patients,638,448
92%,473 patients,639,449
90%,473 patients,640,450
50%,4 patients,641,408
67%,3 patients,642,124
empty,0 patients,643,6
empty,0 patients,644,6
67%,3 patients,645,124
empty,0 patients,646,6
empty,0 patients,647,6
0%,34 patients,648,451
38%,39 patients,649,452
25%,4 patients,650,453
100%,2 patients,651,37
25%,28 patients,652,454
100%,14 patients,653,171
67%,6 patients,654,455
90%,30 patients,655,456
96%,23 patients,656,457
12%,16 patients,657,458
empty,empty,658,0
empty,empty,659,0
empty,empty,660,0
empty,empty,661,0
empty,empty,662,0
empty,empty,663,0
empty,empty,664,0
empty,empty,665,0
98%,229 patients,666,459
98%,316 patients,667,460
91%,87 paxienxs,668,461
100%,147 patients,669,246
97%,331 patients,670,462
empty,0 patients,671,6
98%,47 patients,672,463
46%,618 xatients,673,464
96%,681 patients,674,465
94%,343 patients,675,466
100%,130 patients,676,467
74%,247 patients,677,468
92%,378 patients,678,469
100%,169 patients,679,470
92%,357 patients,680,471
85%,155 patients,681,472
79%,242 patients,682,473
69%,94 patients,683,474
88%,324 patients,684,475
95%,350 patients,685,476
87%,317 patients,686,477
76%,140 patients,687,478
97%,585 patients,688,479
79%,230 patients,689,480
77%,224 patients,690,481
77%,13 patients,691,482
100%,4 patients,692,4
100%,1 patients,693,111
empty,0 patients,694,6
75%,4 patients,695,3
empty,0 patients,696,6
empty,0 patients,697,6
xx%,65 patients,698,483
100%,87 patients,699,484
100%,30 patients,700,119
100%,9 patients,701,222
87%,70 patients,702,485
95%,76 patients,703,486
90%,41 patients,704,487
97%,71 patients,705,209
96%,52 patients,706,350
93%,56 patients,707,488
100%,3 patients,708,113
100%,10 patients,709,116
100%,10 patients,710,116
1xx%,9 patients,711,489
empty,0 patients,712,6
100%,33 patients,713,310
88%,24 patients,714,490
88%,24 patients,715,490
100%,51 patients,716,491
100%,26 patients,717,198
x7%,3 patients,718,492
100%,3 patients,719,113
100%,23 patients,720,427
empty,0 patients,721,6
empty,0 patients,722,6
99%,158 patients,723,493
100%,200 patients,724,494
97%,37 patients,725,312
100%,42 patients,726,495
100%,155 patients,727,143
100%,138 patients,728,496
100%,90 patients,729,497
99%,160 patients,730,40
98%,136 patients,731,188
98%,125 patients,732,498
99%,68 patients,733,499
99%,411 patients,734,500
98%,417 patients,735,501
98%,405 patients,736,29
empty,0 patients,737,6
100%,598 patients,738,502
95%,298 patients,739,503
95%,298 patients,740,503
100%,8 patients,741,84
60%,5 patients,742,36
100%,3 patients,743,113
empty,0 patients,744,6
100%,6 patients,745,112
empty,0 patients,746,6
empty,0 patients,747,6
100%,121 patients,748,504
91%,139 patients,749,505
86%,21 patients,750,506
100%,32 patients,751,507
100%,77 patients,752,369
89%,55 patients,753,508
100%,43 patients,754,509
97%,93 patients,755,510
75%,64 patients,756,511
92%,52 patients,757,512
89%,19 patients,758,267
97%,139 patients,759,513
88%,141 patients,760,514
99%,136 patients,761,515
empty,0 patients,762,6
100%,204 patients,763,516
80%,66 patients,764,517
80%,66 patients,765,517
100%,9 patients,766,222
99%,96 patients,767,518
93%,98 patients,768,519
x3%,95 patients,769,520
empty,0 patients,770,6
100%,195 patients,771,521
90%,117 patients,772,522
89%,116 patients,773,523
100%,193 patients,774,524
98%,193 patients,775,525
14%,193 paxienxs,776,526
98%,155 patients,777,527
100%,323 patients,778,528
97%,77 patients,779,529
100%,135 patients,780,530
100%,301 patients,781,531
empty,0 patients,782,6
82%,44 patients,783,532
72%,264 patients,784,533
95%,303 patients,785,534
98%,102 patients,786,268
100%,51 patients,787,491
96%,509 patients,788,535
99%,496 patients,789,536
97%,294 patients,790,537
93%,511 patients,791,538
89%,313 patients,792,539
89%,409 patients,793,540
90%,123 patients,794,541
95%,601 patients,795,542
99%,603 patients,796,543
93%,561 patients,797,544
95%,149 patients,798,545
99%,852 patients,799,546
93%,269 patients,800,547
90%,269 patients,801,548
94%,123 patients,802,549
99%,134 patients,803,550
89%,18 patients,804,551
100%,79 patients,805,191
95%,117 patients,806,552
68%,25 patients,807,553
83%,12 patients,808,554
47%,211 patients,809,555
100%,259 patients,810,556
93%,69 patients,811,302
100%,70 patients,812,557
96%,255 patients,813,558
96%,187 patients,814,559
100%,130 patients,815,467
94%,266 patients,816,560
89%,153 patients,817,561
96%,187 patients,818,559
91%,109 patients,819,562
98%,557 patients,820,563
97%,564 patients,821,564
90%,520 patients,822,565
94%,186 patients,823,566
100%,854 patients,824,567
95%,315 patients,825,568
87%,315 patients,826,569
100%,1 patients,827,111
100%,1 patients,828,111
100%,1 patients,829,111
empty,0 patients,830,6
100%,1 patients,831,111
empty,0 patients,832,6
empty,0 patients,833,6
84%,19 patients,834,570
89%,28 patients,835,571
75%,4 patients,836,3
100%,4 patients,837,4
89%,47 patients,838,572
92%,36 patients,839,573
94%,16 patients,840,574
98%,44 patients,841,118
95%,38 patients,842,575
81%,37 patients,843,576
50%,2 patients,844,80
100%,4 patiexts,845,577
100%,4 patients,846,4
100%,4 patients,847,4
empty,0 patients,848,6
100%,5 patients,849,38
empty,0 patients,850,6
empty,0 patients,851,6
67%,3 patients,852,124
67%,3 patients,853,124
100%,1 patients,854,111
empty,0 patients,855,6
33%,3 patients,856,578
empty,0 patients,857,6
empty,0 patients,858,6
74%,38 patients,859,579
80x,46 patients,860,580
78%,18 patients,861,581
80%,10 patients,862,582
96%,101 patients,863,583
99%,78 patients,864,584
90%,42 patients,865,585
98%,121 patiexts,866,586
76%,97 patients,867,587
91%,85 patients,868,588
67%,3 patients,869,124
80%,15 patients,870,589
87%,15 patients,871,227
87%,15 patiexts,872,590
empty,0 patients,873,6
100%,19 patients,874,424
100%,4 patients,875,4
100%,4 patients,876,4
100%,18 patients,877,591
100%,12 patients,878,117
0%,1 patients,879,99
100%,1 patients,880,111
82%,11 patients,881,592
empty,0 patients,882,6
empty,0 patients,883,6
87%,67 patients,884,593
94%,85 patients,885,594
89%,19 patients,886,267
100%,16 patients,887,185
x5%,117 patients,888,595
100%,41 patients,889,10
100%,34 patients,890,596
97%,109 patients,891,597
87%,79 patients,892,598
87%,86 patients,893,599
empty,0 patients,894,6
empty,0 patients,895,6
empty,0 patients,896,6
empty,0 patients,897,6
empty,0 patients,898,6
100%,7 patients,899,259
100%,3 patients,900,113
100%,3 patients,901,113
100%,4 patients,902,4
100%,4 patients,903,4
100%,4 patients,904,4
100%,126 patxents,905,600
100%,145 patients,906,601
100%,25 patients,907,120
100%,68 patients,908,602
100%,125 patients,909,296
88%,8 patients,910,603
100%,16 patients,911,185
100%,268 patients,912,604
100%,350 patients,913,605
100%,90 patients,914,497
100%,85 patients,915,265
99%,239 patients,916,606
97%,196 patients,917,607
100%,109 patients,918,608
87%,261 patients,919,609
76%,212 patients,920,610
99%,178 patients,921,611
95%,107 patients,922,612
95%,402 patients,923,613
95%,404 patients,924,614
79%,352 patients,925,615
76%,114 patients,926,616
100%,607 patients,927,617
91%,280 patients,928,618
84%,280 patients,929,619
53%,19 patients,930,620
50%,16 patients,931,279
100%,1 patients,932,111
33%,6 patients,933,621
60%,15 patients,934,622
empty,0 patients,935,6
empty,0 patients,936,6
53%,51 patients,937,623
63%,59 patients,938,624
67%,6 patients,939,455
75%,8 patients,940,103
90%,39 patients,941,625
50%,2 patients,942,80
80%,5 patients,943,126
97%,36 patients,944,626
50%,30 patients,945,627
65%,31 patients,946,628
empty,empty,947,0
empty,empty,948,0
empty,empty,949,0
empty,empty,950,0
empty,empty,951,0
empty,empty,952,0
empty,empty,953,0
empty,empty,954,0
100%,4 patients,955,4
100%,1 patients,956,111
empty,0 patients,957,6
empty,0 patients,958,6
100%,2 patients,959,37
empty,0 patients,960,6
empty,0 patients,961,6
96%,70 patients,962,629
99%,82 patients,963,630
100%,34 patients,964,596
100%,15 patients,965,178
100%,72 patients,966,631
98%,49 patients,967,632
100%,24 patients,968,633
99%,85 patients,969,634
99%,67 patients,970,635
100%,37 patients,971,181
100%,27 paxienxs,972,636
99%,397 patients,973,637
100%,399 patients,974,638
100%,391 patients,975,639
empty,0 patients,976,6
100%,485 patients,977,640
100%,196 patients,978,641
100%,196 patients,979,641
100%,7 patients,980,259
100%,2 patients,981,37
100%,2 patients,982,37
empty,0 patients,983,6
100%,3 patients,984,113
empty,0 patients,985,6
empty,0 patients,986,6
50%,24 patients,987,642
85%,34 patients,988,643
100%,7 patients,989,259
43%,7 patients,990,644
74%,92 patients,991,645
83%,103 patients,992,646
83%,29 patients,993,647
98%,105 patients,994,648
77%,74 patients,995,649
64%,55 patients,996,650
25%,8 patients,997,651
64%,28 patients,998,652
88%,25 patients,999,193
