abv,original_index,unique_index
0.051,854,70
0.042,855,38
0.067,856,74
0.06,857,15
0.052,858,47
0.06,859,15
0.05%,860,60
0.057,861,48
0.07,862,22
0.055999999999999994%,863,52
0.069,864,32
0.055,865,8
0.053,866,46
0.065%,867,45
0.06,868,15
0.042,869,38
0.068,870,61
0.042,871,38
0.059,872,28
0.044,873,19
0.04,874,42
0.045,875,39
0.08,876,40
0.065%,877,45
0.065,878,7
0.055999999999999994%,879,52
0.065%,880,45
0.053%,881,98
0.07%,882,23
0.052000000000000005%,883,34
0.07%,884,23
0.05%,885,60
0.072,886,10
0.049,887,20
0.05,888,0
0.067,889,74
0.072,890,10
0.057999999999999996%,891,55
0.074,892,105
0.08,893,40
0.094,894,111
0.059000000000000004%,895,51
0.046,896,78
0.068,897,61
0.059000000000000004%,898,51
0.05,899,0
0.055,900,8
0.08,901,40
0.08,902,40
0.059,903,28
0.046%,904,33
0.07,905,22
0.07,906,22
0.06,907,15
0.055999999999999994%,908,52
0.093,909,95
0.06,910,15
0.06,911,15
0.057999999999999996%,912,55
0.055,913,8
0.059,914,28
0.054,915,35
0.054000000000000006%,916,58
0.042%,917,91
0.042%,918,91
0.042%,919,91
0.052000000000000005%,920,34
0.05,921,0
0.052000000000000005%,922,34
0.054,923,35
,924,89
0.043,925,49
0.049,926,20
0.055,927,8
0.053,928,46
0.057,929,48
0.056,930,54
0.062,931,50
0.057,932,48
0.053,933,46
0.056,934,54
0.057%,935,56
0.045,936,39
0.057,937,48
0.057%,938,56
0.06%,939,64
0.051,940,70
0.075,941,4
0.08,942,40
0.055999999999999994%,943,52
0.057,944,48
0.042,945,38
0.062%,946,69
0.053%,947,98
0.05,948,0
0.087,949,112
0.061%,950,14
0.071,951,2
0.083%,952,113
0.05,953,0
0.095%,954,83
0.073%,955,88
0.071,956,2
0.045%,957,6
0.045,958,39
0.052,959,47
0.052,960,47
0.05,961,0
0.07%,962,23
0.048,963,67
0.048,964,67
0.048%,965,53
0.05,966,0
0.06%,967,64
0.055,968,8
0.054000000000000006%,969,58
0.053,970,46
0.09%,971,3
0.07,972,22
0.07%,973,23
0.059000000000000004%,974,51
0.048,975,67
0.06%,976,64
0.053%,977,98
0.054,978,35
0.05%,979,60
0.057,980,48
0.067,981,74
0.058,982,57
0.085,983,13
0.058,984,57
0.06%,985,64
0.04,986,42
0.055,987,8
0.06,988,15
0.06%,989,64
0.049%,990,21
0.045,991,39
0.065%,992,45
0.05,993,0
0.05%,994,60
0.065,995,7
0.075,996,4
0.05%,997,60
0.04,998,42
0.09,999,31
0.063,1000,73
0.069,1001,32
0.047,1002,63
0.07,1003,22
0.08,1004,40
0.057%,1005,56
0.055,1006,8
0.06,1007,15
0.06,1008,15
0.042,1009,38
0.052,1010,47
0.07,1011,22
0.052,1012,47
0.046,1013,78
0.043,1014,49
0.075,1015,4
0.044,1016,19
0.056,1017,54
0.052,1018,47
0.062,1019,50
0.048,1020,67
0.05%,1021,60
0.059,1022,28
0.059000000000000004%,1023,51
0.055,1024,8
0.059000000000000004%,1025,51
0.05%,1026,60
0.048,1027,67
0.05,1028,0
0.059000000000000004%,1029,51
,1030,89
0.048%,1031,53
0.049,1032,20
0.054000000000000006%,1033,58
0.064%,1034,92
0.064,1035,72
0.083,1036,27
0.076,1037,43
0.062%,1038,69
0.088,1039,80
0.072,1040,10
0.06%,1041,64
0.06,1042,15
0.063%,1043,104
0.08%,1044,71
0.099,1045,17
0.063,1046,73
0.07,1047,22
0.044,1048,19
0.045%,1049,6
0.055,1050,8
0.045%,1051,6
0.055%,1052,30
0.049,1053,20
0.055,1054,8
0.066%,1055,93
0.042,1056,38
0.042,1057,38
0.047%,1058,59
0.057999999999999996%,1059,55
0.049,1060,20
0.078%,1061,81
0.063,1062,73
0.049,1063,20
0.048,1064,67
0.065,1065,7
0.065,1066,7
0.049,1067,20
0.07,1068,22
0.051,1069,70
0.051,1070,70
0.06,1071,15
0.065,1072,7
0.068,1073,61
0.027000000000000003%,1074,107
0.039,1075,100
0.039,1076,100
0.039,1077,100
0.039%,1078,114
0.039%,1079,114
0.039,1080,100
0.039%,1081,114
0.039%,1082,114
0.039,1083,100
0.039%,1084,114
0.039,1085,100
0.039%,1086,114
0.058,1087,57
0.057999999999999996%,1088,55
0.066%,1089,93
0.073%,1090,88
0.06,1091,15
0.058,1092,57
0.073,1093,11
0.051,1094,70
0.066,1095,1
0.055999999999999994%,1096,52
0.051,1097,70
0.06,1098,15
0.065%,1099,45
0.055,1100,8
0.068%,1101,26
0.065,1102,7
0.05,1103,0
0.046,1104,78
0.065,1105,7
0.054000000000000006%,1106,58
0.048,1107,67
0.055,1108,8
0.059,1109,28
0.057999999999999996%,1110,55
0.07,1111,22
0.055%,1112,30
0.045%,1113,6
0.068,1114,61
0.053,1115,46
0.049,1116,20
,1117,89
0.052,1118,47
0.048,1119,67
0.072,1120,10
0.067%,1121,79
0.049%,1122,21
0.05,1123,0
0.051,1124,70
0.055%,1125,30
0.055,1126,8
0.065,1127,7
0.07%,1128,23
0.05,1129,0
0.067,1130,74
0.069%,1131,12
,1132,89
0.045,1133,39
0.055,1134,8
0.055,1135,8
0.06,1136,15
0.06%,1137,64
0.05%,1138,60
0.05%,1139,60
0.09300000000000001%,1140,115
0.052,1141,47
0.071,1142,2
0.075,1143,4
0.052000000000000005%,1144,34
0.057999999999999996%,1145,55
0.055,1146,8
0.055,1147,8
0.047%,1148,59
0.066%,1149,93
0.095%,1150,83
0.049%,1151,21
0.052,1152,47
0.066%,1153,93
0.057,1154,48
0.06,1155,15
0.055,1156,8
0.057999999999999996%,1157,55
0.05,1158,0
0.068,1159,61
0.058,1160,57
0.065%,1161,45
0.065%,1162,45
0.065,1163,7
0.055,1164,8
0.065%,1165,45
0.065,1166,7
,1167,89
,1168,89
,1169,89
,1170,89
,1171,89
,1172,89
,1173,89
0.051,1174,70
0.055,1175,8
0.06,1176,15
0.057%,1177,56
0.049,1178,20
0.063,1179,73
0.048,1180,67
0.046%,1181,33
0.046%,1182,33
0.046,1183,78
0.046,1184,78
0.04%,1185,106
0.08,1186,40
0.054,1187,35
0.07200000000000001%,1188,102
0.066%,1189,93
0.048,1190,67
0.045,1191,39
0.068%,1192,26
0.05%,1193,60
0.055,1194,8
0.05,1195,0
0.048,1196,67
0.064,1197,72
0.064,1198,72
0.056,1199,54
0.05,1200,0
0.051,1201,70
0.057,1202,48
0.05%,1203,60
0.05,1204,0
0.057,1205,48
0.052,1206,47
0.06,1207,15
0.058,1208,57
0.057,1209,48
0.052,1210,47
0.065,1211,7
0.057,1212,48
0.06%,1213,64
0.075%,1214,103
0.057,1215,48
0.058,1216,57
0.061,1217,75
0.059,1218,28
0.046,1219,78
0.072,1220,10
0.04,1221,42
0.046,1222,78
0.046%,1223,33
0.048,1224,67
0.055,1225,8
0.045%,1226,6
0.062,1227,50
0.056,1228,54
0.052,1229,47
0.062,1230,50
0.052,1231,47
0.048%,1232,53
0.038%,1233,77
0.051,1234,70
0.054000000000000006%,1235,58
0.053,1236,46
0.061,1237,75
0.057999999999999996%,1238,55
0.05,1239,0
0.051,1240,70
0.05,1241,0
0.055,1242,8
0.099,1243,17
0.043,1244,49
0.085,1245,13
0.079,1246,18
0.047,1247,63
0.05%,1248,60
0.069,1249,32
0.07,1250,22
0.06,1251,15
0.051,1252,70
0.055,1253,8
0.051%,1254,44
0.042,1255,38
0.065%,1256,45
0.042,1257,38
0.045,1258,39
0.07200000000000001%,1259,102
0.067,1260,74
0.045,1261,39
0.055,1262,8
0.055,1263,8
0.05%,1264,60
0.09,1265,31
0.06,1266,15
0.085,1267,13
0.099,1268,17
0.08,1269,40
0.06%,1270,64
0.095,1271,96
0.066,1272,1
0.047%,1273,59
0.062,1274,50
0.07200000000000001%,1275,102
0.05,1276,0
0.099,1277,17
0.063,1278,73
0.09699999999999999%,1279,116
0.05,1280,0
0.065,1281,7
0.05,1282,0
0.08%,1283,71
0.08,1284,40
0.05,1285,0
0.05,1286,0
0.065%,1287,45
0.065%,1288,45
0.042,1289,38
0.065,1290,7
0.051,1291,70
0.045,1292,39
0.045%,1293,6
0.048,1294,67
0.047%,1295,59
0.05,1296,0
0.06%,1297,64
0.047,1298,63
0.055,1299,8
0.055,1300,8
0.051,1301,70
0.055%,1302,30
0.05%,1303,60
0.07,1304,22
0.082,1305,16
0.06%,1306,64
0.05%,1307,60
0.068,1308,61
0.055,1309,8
0.045,1310,39
0.057,1311,48
0.062,1312,50
0.037,1313,117
0.037,1314,117
0.037,1315,117
0.069%,1316,12
0.069,1317,32
0.069,1318,32
0.072,1319,10
0.072,1320,10
0.042%,1321,91
0.052,1322,47
0.052,1323,47
0.054,1324,35
0.053%,1325,98
0.053,1326,46
0.071,1327,2
0.053,1328,46
0.056,1329,54
0.063,1330,73
0.063,1331,73
0.048,1332,67
0.05%,1333,60
0.057%,1334,56
0.08%,1335,71
0.075,1336,4
0.06,1337,15
0.08,1338,40
0.063,1339,73
0.058,1340,57
0.083,1341,27
0.08,1342,40
0.075%,1343,103
0.075%,1344,103
0.065,1345,7
0.043,1346,49
0.075,1347,4
0.053,1348,46
0.05,1349,0
0.068,1350,61
0.048,1351,67
0.048,1352,67
,1353,89
0.087,1354,112
0.051,1355,70
0.075%,1356,103
0.065%,1357,45
0.092,1358,65
0.048%,1359,53
0.051,1360,70
0.099,1361,17
0.054000000000000006%,1362,58
0.04,1363,42
0.05%,1364,60
0.062,1365,50
0.062,1366,50
0.055,1367,8
0.055%,1368,30
0.055,1369,8
0.05,1370,0
0.042,1371,38
0.055,1372,8
0.05,1373,0
0.05,1374,0
0.068,1375,61
0.048,1376,67
0.092,1377,65
0.04,1378,42
0.04,1379,42
0.04,1380,42
0.04,1381,42
0.055%,1382,30
0.056,1383,54
0.042,1384,38
0.075,1385,4
0.068,1386,61
0.052,1387,47
0.067,1388,74
0.055%,1389,30
0.047,1390,63
0.058,1391,57
0.065,1392,7
0.05,1393,0
0.054000000000000006%,1394,58
0.087,1395,112
0.058,1396,57
0.055999999999999994%,1397,52
0.06,1398,15
0.056,1399,54
0.049,1400,20
0.047,1401,63
0.046%,1402,33
0.05%,1403,60
0.052,1404,47
0.05,1405,0
0.05%,1406,60
0.052,1407,47
0.07,1408,22
0.082,1409,16
0.085,1410,13
0.072,1411,10
0.042,1412,38
0.085,1413,13
0.055,1414,8
0.05,1415,0
0.04,1416,42
0.04,1417,42
0.053,1418,46
0.053,1419,46
0.037,1420,117
0.052000000000000005%,1421,34
0.053,1422,46
0.086%,1423,118
0.042,1424,38
0.05,1425,0
0.042%,1426,91
0.07,1427,22
0.065,1428,7
0.055,1429,8
0.053%,1430,98
0.07400000000000001%,1431,109
0.085,1432,13
0.085,1433,13
0.07400000000000001%,1434,109
0.053,1435,46
0.061,1436,75
0.065,1437,7
0.048,1438,67
0.048,1439,67
0.057,1440,48
0.066%,1441,93
0.048,1442,67
0.045,1443,39
0.065,1444,7
0.05%,1445,60
0.055999999999999994%,1446,52
0.048,1447,67
0.055%,1448,30
0.052,1449,47
0.048%,1450,53
0.052000000000000005%,1451,34
0.05,1452,0
0.052,1453,47
0.05,1454,0
0.065%,1455,45
0.052,1456,47
0.065,1457,7
0.048,1458,67
0.052000000000000005%,1459,34
0.034,1460,119
0.062%,1461,69
0.05,1462,0
0.05,1463,0
0.09,1464,31
0.088,1465,80
0.09%,1466,3
0.088,1467,80
0.05,1468,0
0.05%,1469,60
0.062,1470,50
0.05%,1471,60
0.068,1472,61
0.088,1473,80
0.065%,1474,45
0.039,1475,100
0.049%,1476,21
0.056,1477,54
0.056,1478,54
0.052000000000000005%,1479,34
0.054000000000000006%,1480,58
0.046,1481,78
0.042%,1482,91
0.072,1483,10
0.054,1484,35
0.055,1485,8
0.055%,1486,30
0.051%,1487,44
0.072,1488,10
0.06,1489,15
0.061,1490,75
0.055,1491,8
0.045,1492,39
0.045%,1493,6
0.049%,1494,21
0.048%,1495,53
0.06,1496,15
0.06,1497,15
0.056,1498,54
0.069%,1499,12
0.063,1500,73
0.063%,1501,104
0.045,1502,39
0.045,1503,39
0.043,1504,49
0.04,1505,42
0.055,1506,8
0.061,1507,75
0.051,1508,70
0.067,1509,74
0.054,1510,35
0.058,1511,57
0.067%,1512,79
0.082,1513,16
0.049,1514,20
0.048,1515,67
0.048%,1516,53
0.047,1517,63
0.051%,1518,44
0.05,1519,0
0.045,1520,39
0.092%,1521,97
0.087,1522,112
0.054,1523,35
0.047,1524,63
0.051%,1525,44
0.051,1526,70
0.047,1527,63
0.095%,1528,83
0.065,1529,7
0.06%,1530,64
0.05%,1531,60
0.057,1532,48
0.05%,1533,60
0.06,1534,15
0.065,1535,7
0.068,1536,61
0.055,1537,8
0.046%,1538,33
0.045,1539,39
0.065,1540,7
0.075%,1541,103
0.055,1542,8
0.048%,1543,53
0.053%,1544,98
0.055%,1545,30
0.067%,1546,79
0.042,1547,38
0.040999999999999995%,1548,94
0.065,1549,7
0.053,1550,46
0.049%,1551,21
0.052,1552,47
0.08,1553,40
,1554,89
,1555,89
,1556,89
0.05,1557,0
,1558,89
0.065,1559,7
0.065,1560,7
0.053%,1561,98
0.085,1562,13
0.085,1563,13
0.065,1564,7
0.07%,1565,23
0.065,1566,7
0.065,1567,7
0.087%,1568,120
0.065,1569,7
0.065,1570,7
0.087,1571,112
0.09%,1572,3
0.08%,1573,71
0.08,1574,40
0.08%,1575,71
0.09,1576,31
0.087,1577,112
0.099,1578,17
0.053%,1579,98
0.099,1580,17
