HospitalName,HospitalType,original_index,unique_index,count
marshall medical center south,acute care hospitals,54,6,25
marshall medical center south,acute care hospitals,55,6,25
marshall medical center south,acute care hospitals,56,6,25
marshall medical center south,acute care hospitals,57,6,25
marshall medical center south,acute care hospitals,58,6,25
marshall medical center south,acute care hospitals,59,6,25
marshall medical center south,acute care hospitals,60,6,25
marshall medical center south,acute care hospitals,61,6,25
marshall medical center south,acute care hospitals,62,6,25
marshall medical center south,acute care hospitals,63,6,25
marshall medical center south,acute care hospitals,64,6,25
marshall medical center south,acute care hospitals,65,6,25
marshall medical center south,acute care hospitals,66,6,25
marshall medical center south,acute care hospitals,67,6,25
marshall medical center south,acute care hospitals,68,6,25
eliza coffee memorial hospital,acute care hospitals,69,7,25
eliza coffee memorial hospital,acute care hospitals,70,7,25
eliza coffee memorial hospital,acute care hospitals,71,7,25
eliza coffee memorial hospital,acute care hospitals,72,7,25
eliza coffee memorial hospital,acute care hospitals,73,7,25
eliza coffee memorial hospital,acute care hospitals,74,7,25
eliza coffee memorial hospital,acute care hospitals,75,7,25
eliza coffee memorial hospital,acute care hospitals,76,7,25
eliza coffee memorial hospital,acute care hospitals,77,7,25
eliza coffee memorial hospital,acute care hospitals,78,7,25
eliza coffee memorial hospital,acute care hospitals,79,7,25
eliza coffee memorial hospital,acute care hospitals,80,7,25
eliza coffee memorial hospital,acute care hospitals,81,7,25
eliza coffee memorial hospital,acute care hospitals,82,7,25
eliza coffee memorial hospital,acute care hospitals,83,7,25
eliza coffee memorial hospital,acute care hospitals,84,7,25
eliza coffee memorial hospital,acute care hospitals,85,7,25
eliza coffee memorial hospital,acute care hospitals,86,7,25
eliza coffee memorial hospital,acute care hospitals,87,7,25
eliza coffee memorial hospital,acute care hospitals,88,7,25
eliza coffee memorial hospital,acute care hospitals,89,7,25
eliza coffee memorial hospital,acute care hospitals,90,7,25
eliza coffee memorial hospital,acute care hospitals,91,7,25
eliza coffee memorial hospital,acute care hospitals,92,7,25
eliza coffee memorial hospital,acute care hospitals,93,7,25
mizell memorial hospital,acute care hospitals,94,8,24
mizell memorial hospital,acute care hospitals,95,8,24
mizell memorial hospital,acute care hospitals,96,8,24
mizell memorial hospital,acute care hospitals,97,8,24
mizell memorial hospital,acute care hosxitals,98,9,1
mizell memorial hospital,acute care hospitals,99,8,24
mizell memorial hospital,acute care hospitals,100,8,24
mizell memorial hospital,acute care hospitals,101,8,24
mizell memorial hospital,acute care hospitals,102,8,24
mizell memorial hospital,acute care hospitals,103,8,24
mizell memorial hospital,acute care hospitals,104,8,24
mizell memorial hospital,acute care hospitals,105,8,24
mizell memorial hospital,acute care hospitals,106,8,24
mizell memorial hospital,acute care hospitals,107,8,24
mizell memorial hospital,acute care hospitals,108,8,24
mizell memorial hospital,acute care hospitals,109,8,24
mizell memorial hospital,acute care hospitals,110,8,24
mizell memorial hospital,acute care hospitals,111,8,24
mizell memorial hospital,acute care hospitals,112,8,24
mizell memorial hospital,acute care hospitals,113,8,24
mizell memorial hospital,acute care hospitals,114,8,24
mizell memorial hospital,acute care hospitals,115,8,24
mizell memorial hospital,acute care hospitals,116,8,24
mizell memorial hospital,acute care hospitals,117,8,24
mizell memorial hospital,acute care hospitals,118,8,24
crenshaw community hospital,acute care hospitals,119,10,24
crenshaw community hospital,acute care hospitals,120,10,24
crenshaw community hospital,acute care hospitals,121,10,24
crenshaw community hospital,acute care hospitals,122,10,24
crenshaw community hospital,acute care hospitals,123,10,24
crenshaw community hospital,acute care hospitals,124,10,24
crenshaw community hospital,acute care hospitals,125,10,24
crenshaw community hospital,acute care hospitals,126,10,24
crenshaw community hospital,acute care hospitals,127,10,24
crenshaw community hospital,acute care hospitals,128,10,24
crenshaw community hospital,acute care hospitals,129,10,24
crenshaw community hospital,acute care hospitals,130,10,24
crenshaw cxmmunity hxspital,acute care hospitals,131,11,1
crenshaw community hospital,acute care hospitals,132,10,24
crenshaw community hospital,acute care hospitals,133,10,24
crenshaw community hospital,acute care hospitals,134,10,24
crenshaw community hospital,acute care hospitals,135,10,24
crenshaw community hospital,acute care hospitals,136,10,24
crenshaw community hospital,acute care hospitals,137,10,24
crenshaw community hospital,acute care hospitals,138,10,24
crenshaw community hospital,acute care hospitals,139,10,24
crenshaw community hospital,acute care hospitals,140,10,24
crenshaw community hospital,acute care hospitals,141,10,24
crenshaw community hospital,acute care hospitals,142,10,24
crenshaw community hospital,acute care hospitals,143,10,24
hartselle medical center,acute care hospitals,144,12,25
hartselle medical center,acute care hospitals,145,12,25
hartselle medical center,acute care hospitals,146,12,25
hartselle medical center,acute care hospitals,147,12,25
hartselle medical center,acute care hospitals,148,12,25
hartselle medical center,acute care hospitals,149,12,25
hartselle medical center,acute care hospitals,150,12,25
hartselle medical center,acute care hospitals,151,12,25
hartselle medical center,acute care hospitals,152,12,25
hartselle medical center,acute care hospitals,153,12,25
hartselle medical center,acute care hospitals,154,12,25
hartselle medical center,acute care hospitals,155,12,25
hartselle medical center,acute care hospitals,156,12,25
hartselle medical center,acute care hospitals,157,12,25
hartselle medical center,acute care hospitals,158,12,25
hartselle medical center,acute care hospitals,159,12,25
hartselle medical center,acute care hospitals,160,12,25
hartselle medical center,acute care hospitals,161,12,25
hartselle medical center,acute care hospitals,162,12,25
hartselle medical center,acute care hospitals,163,12,25
hartselle medical center,acute care hospitals,164,12,25
hartselle medical center,acute care hospitals,165,12,25
hartselle medical center,acute care hospitals,166,12,25
hartselle medical center,acute care hospitals,167,12,25
hartselle medical center,acute care hospitals,168,12,25
marshall medical center north,acute care hospitals,169,13,24
marshall medical center north,acute care hospitals,170,13,24
marshall medical cenxer norxh,acute care hospitals,171,14,1
marshall medical center north,acute care hospitals,172,13,24
marshall medical center north,acute care hospitals,173,13,24
marshall medical center north,acute care hospitals,174,13,24
marshall medical center north,acute care hospitals,175,13,24
marshall medical center north,acute care hospitals,176,13,24
marshall medical center north,acute care hospitals,177,13,24
marshall medical center north,acute care hospitals,178,13,24
marshall medical center north,acute care hospitals,179,13,24
marshall medical center north,acute care hospitals,180,13,24
marshall medical center north,acute care hospitals,181,13,24
marshall medical center north,acute care hospitals,182,13,24
marshall medical center north,acute care hospitals,183,13,24
marshall medical center north,acute care hospitals,184,13,24
marshall medical center north,acute care hospitals,185,13,24
marshall medical center north,acute care hospitals,186,13,24
marshall medical center north,acute care hospitals,187,13,24
marshall medical center north,acute care hospitals,188,13,24
marshall medical center north,acute care hospitals,189,13,24
marshall medical center north,acute care hospitals,190,13,24
marshall medical center north,acute care hospitals,191,13,24
marshall medical center north,acute care hospitals,192,13,24
marshall medical center north,acute care hospitals,193,13,24
st vincents east,acute care hospitals,194,15,23
st vincents east,acute care hospitals,195,15,23
st vincents east,acute care hospitals,196,15,23
st vincents east,acute care hospitals,197,15,23
st vincents east,acute care hospitals,198,15,23
st vincents east,acute care hosxitals,199,16,1
st vincents east,acute care hospitals,200,15,23
st vincents east,acute care hospitals,201,15,23
st vincents east,acute care hospitals,202,15,23
st vincents east,acute care hospitals,203,15,23
st vincents east,acute care hospitals,204,15,23
st vincents east,acute care hospitals,205,15,23
st vincents east,acute care hospitals,206,15,23
st vincents east,acute care hospitals,207,15,23
st vincents east,acute care hospitals,208,15,23
st vincents east,acute care hospitals,209,15,23
st vincents east,acute care hospitals,210,15,23
st vincents east,acute care hospitals,211,15,23
st vincents east,acute care hospitals,212,15,23
st vincents east,acutx carx hospitals,213,17,1
st vincents east,acute care hospitals,214,15,23
st vincents east,acute care hospitals,215,15,23
st vincents east,acute care hospitals,216,15,23
st vincents east,acute care hospitals,217,15,23
st vincents east,acute care hospitals,218,15,23
dekalb regional medical center,acute care hospitals,219,18,24
dekalb regional medical center,acute care hospitals,220,18,24
dekalb regional medical center,acute care hospitals,221,18,24
dekalb regional medical center,acute care hospitals,222,18,24
dekalb regional medical center,acute care hospitals,223,18,24
dekalb regional medical center,acute care hospitals,224,18,24
dekalb regional medical center,acute care hospitals,225,18,24
dekalb regional medical center,acute care hospitals,226,18,24
dekalb regional medical center,acute care hospitals,227,18,24
dekalb regional medical center,acute care hospitals,228,18,24
dekalb regional medical center,acute care hospitals,229,18,24
dekalb regional medical center,acute care hospitals,230,18,24
dekalb regional medical center,acute care hospitals,231,18,24
dekalb regional medical center,acute care hospitals,232,18,24
dekalb regional medical center,acute care hospitals,233,18,24
dekalb regional medical center,acute care hospitals,234,18,24
dekalb regional medical center,acute care hospitals,235,18,24
dekalb regional medical center,acute care hospitals,236,18,24
dekalb regional medical center,acute care hospitals,237,18,24
dekalb regional medical center,acute care hospitals,238,18,24
dekalb regional medical center,acute care hospitals,239,18,24
dekalb regional medical center,acute care hospitals,240,18,24
dekalb regional medical center,acute care hospitals,241,18,24
dekalb regional medical center,acute care hospitals,242,18,24
dexalb regional medical center,acute care hospitals,243,19,1
southwest alabama medical center,acute care hospitals,244,20,24
southwest alabama medical center,acute care hospitals,245,20,24
southwest alabama medical center,acute care hospitals,246,20,24
southwest alabama medical center,acute care hospitals,247,20,24
southwest alabama medical center,acute care hospitals,248,20,24
southwest alabama medical center,acute care hospitals,249,20,24
southwest alabama medical center,acute care hospitals,250,20,24
southwest alabama medical center,acute care hospitals,251,20,24
southwest alabama medical center,acute care hospitals,252,20,24
southwest alabama medical center,acute care hospitals,253,20,24
southwest alabama medical center,acute care hospitals,254,20,24
southwest alabama medical center,acute care hospitals,255,20,24
southwest alabama medical center,acute care hospitals,256,20,24
southwest alabama medical center,acute care hospitals,257,20,24
southwest alabama medical center,acute care hospitals,258,20,24
southwest alabama medical center,acute care hospitals,259,20,24
southwest alabama medical center,acute care hospitals,260,20,24
southwest alabama medical center,acute care hospitals,261,20,24
southwest alabama medical center,acute care hospitals,262,20,24
southwest alabama medical center,acute care hospitals,263,20,24
southwest alabama medical center,acute care hospitals,264,20,24
southwest alabama medical center,acute care hospitals,265,20,24
southwest alabama medical center,acuxe care hospixals,266,21,1
southwest alabama medical center,acute care hospitals,267,20,24
southwest alabama medical center,acute care hospitals,268,20,24
shelby baptist medical center,acute care hospitals,269,22,23
shelby baptist medical center,acute care hospitals,270,22,23
shelby baptist medical center,acute care hospitals,271,22,23
shelby baptist medical center,acute care hospitals,272,22,23
shelby baptist medical center,acute care hospitals,273,22,23
shelby baptist medical center,acute care hospitals,274,22,23
shelby baptist medical center,acute care hospitals,275,22,23
shelby baptist medical center,acute care hospitals,276,22,23
shelby baptist medical center,acute care hospitals,277,22,23
shelby baptist medical center,acute care hospitals,278,22,23
shelby baptist medical center,acute care hospitals,279,22,23
shelby baptist medical center,acutexcarexhospitals,280,23,1
shelby baptist medical center,acute care hospitals,281,22,23
shelby baptist medical center,acute care hospitals,282,22,23
shelby baptist medical center,acute care hospitals,283,22,23
shelby baptist medical center,acute care hospitals,284,22,23
shelby baptist medical center,acute care hospitals,285,22,23
shelby baptist medical center,acute care hospitals,286,22,23
shelby baptist medical center,acute care hospitals,287,22,23
shelby baptist medical center,acute care hospitals,288,22,23
shelby baptist medical center,acute care hospitals,289,22,23
shelby baptist medical center,acute care hospitals,290,22,23
shelby baptist medical center,acute care hospitals,291,22,23
shelby baptist medical center,acute care hospitals,292,22,23
shelby baptist medical center,acuxe care hospixals,293,24,1
callahan eye foundation hospital,acute care hospitals,294,0,25
callahan eye foundation hospital,acute care hospitals,295,0,25
callahan eye foundation hospital,acute care hospitals,296,0,25
callahan eye foundation hospital,acute care hospitals,297,0,25
callahan eye foundation hospital,acute care hospitals,298,0,25
callahan eye foundation hospital,acute care hospitals,299,0,25
callahan eye foundation hospital,acute care hospitals,300,0,25
callahan eye foundation hospital,acute care hospitals,301,0,25
callahan eye foundation hospital,acute care hospitals,302,0,25
callahan eye foundation hospital,acute care hospitals,303,0,25
callahan eye foundation hospital,acute care hospitals,304,0,25
callahan eye foundation hospital,acute care hospitals,305,0,25
callahan eye foundation hospital,acute care hospitals,306,0,25
callahan eye foundation hospital,acute care hospitals,307,0,25
callahan eye foundation hospital,acute care hospitals,308,0,25
callahan eye foundation hospital,acute care hospitals,309,0,25
callahan eye foundation hospital,acute care hospitals,310,0,25
stringfellow memorial hospital,acute care hospitals,311,25,28
stringfellow memorial hospital,acute care hospitals,312,25,28
stringfellow memorial hospital,acute care hospitals,313,25,28
stringfellow memorial hospital,acute care hospitals,314,25,28
stringfellow memorial hospital,acute care hospitals,315,25,28
stringfellow memorial hospital,acute care hospitals,316,25,28
stringfellow memorial hospital,acute care hospitals,317,25,28
stringfellow memorial hospital,acute care hospitals,318,25,28
stringfellow memorial hospital,acute care hospitals,319,25,28
stringfellow memorial hospital,acute care hospitals,320,25,28
stringfellow memorial hospital,acute care hospitals,321,25,28
stringfellow memorial hospital,acute care hospitals,322,25,28
stringfellow memorial hospital,acute care hospitals,323,25,28
stringfellow memorial hospital,acute care hospitals,324,25,28
stringfellow memorial hospital,acute care hospitals,325,25,28
stringfellow memorial hospital,acute care hospitals,326,25,28
stringfellow memorial hospital,acute care hospitals,327,25,28
stringfellow memorial hospital,acute care hospitals,328,25,28
stringfellow memorial hospital,acute care hospitals,329,25,28
stringfellow memorial hospital,acute care hospitals,330,25,28
flowers hospital,acute care hospitals,331,26,16
flowers hospital,acute care hospitals,332,26,16
flowers hospital,acute care hospitals,333,26,16
flowers hospital,acute care hospitals,334,26,16
flowers hospital,acute care hospitals,335,26,16
flowers hospital,acute care hospitals,336,26,16
floxers hospital,acute care hospitals,337,27,1
flowers hospital,acute care hospitals,338,26,16
flowers hospital,acute care hospitals,339,26,16
flowers hospital,acute care hospitals,340,26,16
flowers hospital,acute care hospitals,341,26,16
flowers hospital,acute care hospitals,342,26,16
flowers hospital,acute care hospitals,343,26,16
flowers hospital,acute care hospitals,344,26,16
flowers hospital,acute care hospitals,345,26,16
flowers hospital,acute care hospitals,346,26,16
flowers hospital,acute care hospitals,347,26,16
st vincents hospital,acute care hospitals,348,28,5
st vincents hospital,acute care hospitals,349,28,5
st vincents hospital,acute care hospitals,350,28,5
st vincents hospital,acute care hospitals,351,28,5
st vincents hospital,acute care hospitals,352,28,5
decatur general hospital,acute care hospitals,353,29,1
northwest medical center,acute care hospitals,354,30,25
northwest medical center,acute care hospitals,355,30,25
northwest medical center,acute care hospitals,356,30,25
northwest medical center,acute care hospitals,357,30,25
northwest medical center,acute care hospitals,358,30,25
northwest medical center,acute care hospitals,359,30,25
northwest medical center,acute care hospitals,360,30,25
northwest medical center,acute care hospitals,361,30,25
northwest medical center,acute care hospitals,362,30,25
northwest medical center,acute care hospitals,363,30,25
northwest medical center,acute care hospitals,364,30,25
northwest medical center,acute care hospitals,365,30,25
northwest medical center,acute care hospitals,366,30,25
northwest medical center,acute care hospitals,367,30,25
northwest medical center,acute care hospitals,368,30,25
northwest medical center,acute care hospitals,369,30,25
northwest medical center,acute care hospitals,370,30,25
northwest medical center,acute care hospitals,371,30,25
northwest medical center,acute care hospitals,372,30,25
northwest medical center,acute care hospitals,373,30,25
northwest medical center,acute care hospitals,374,30,25
northwest medical center,acute care hospitals,375,30,25
northwest medical center,acute care hospitals,376,30,25
northwest medical center,acute care hospitals,377,30,25
northwest medical center,acute care hospitals,378,30,25
univ of south alabama medical center,acute care hospitals,379,31,11
univ of south alabama medical center,acute care hospitals,380,31,11
univ of south alabama medical center,acute care hospitals,381,31,11
univ of south alabama medical center,acute care hospitals,382,31,11
univ of south alabama medical center,acute care hospitals,383,31,11
univ ox south alabama medical center,acute care hospitals,384,32,1
xniv of soxth alabama medical center,acute care hospitals,385,33,1
univ of south alabama medical center,acute care hospitals,386,31,11
univ of south alabama medical center,acute care hospitals,387,31,11
univ of south alabama medical center,acute care hospitals,388,31,11
univ of south alabama medical center,acute care hospitals,389,31,11
univ of south alabama medical center,acute care hospitals,390,31,11
univ of south alabama medical center,acute care hospitals,391,31,11
prattville baptist hospital,acute care hospitals,392,34,19
prattville baptist hospital,acute care hospitals,393,34,19
prattville baptist hospital,acute care hospitals,394,34,19
prattville baptist hospital,acute care hospitals,395,34,19
prattville baptist hospital,acute care hospitals,396,34,19
prattville baptist hospital,acute care hospitals,397,34,19
prattville baptist hospital,acute care hospitals,398,34,19
prattville baptist hospital,acute care hospitals,399,34,19
prattville baptist hospital,acute care hospitals,400,34,19
prattville baptist hospital,acute care hospitals,401,34,19
prattville baptist hospital,acute care hospitals,402,34,19
prattville baptist hospital,acute care hospitals,403,34,19
prattville baptist hospital,acute care hospitals,404,34,19
prattville baptist hospital,acute care hospitals,405,34,19
prattville baptist hospital,acute care hospitals,406,34,19
prattville baptist hospital,acute care hospitals,407,34,19
prattville baptist hospital,acute care hospitals,408,34,19
prattville baptist hospital,acute care hospitals,409,34,19
prattville baptist hospital,acute care hospitals,410,34,19
prattville baptist hospital,acute care hosxitals,411,35,1
russellville hospital,acute care hospitals,412,36,1
russellville hospital,acuxe care hospixals,413,37,1
coosa valley medical center,acute care hospitals,414,38,18
coosa valley medical center,acute care hospitals,415,38,18
coosa valley medical center,acute care hospitals,416,38,18
coosa valley medical center,acute care hospitals,417,38,18
coosa valley medical center,acute care hospitals,418,38,18
coosa valley medical center,acute care hospitals,419,38,18
coosa valley medical center,acute care hospitals,420,38,18
coosa valley medical center,acute care hospitals,421,38,18
coosa valley medical center,acute care hospitals,422,38,18
coosa valley medical center,acute care hospitals,423,38,18
coosa valley medical center,acute care hospitals,424,38,18
coosa valley medical center,acute care hospitals,425,38,18
coosa valley medical center,acute care hospitals,426,38,18
coosa valley medical center,acute care hospitals,427,38,18
coosa valley medical center,acute care hospitals,428,38,18
coosa valley medical center,acute care hospitals,429,38,18
coosa valley medical center,acute care hospitals,430,38,18
coosa valley medical center,acute care hospitals,431,38,18
alaska regional hospital,acute care hospitals,432,39,17
alaska regional hospital,acute care hospitals,433,39,17
alaska regional hospital,acute care hospitals,434,39,17
alaska regional hospital,acute care hospitals,435,39,17
alaska regional hospital,acute care hospitals,436,39,17
alaska regional hospital,acute care hospitals,437,39,17
alaska regional hospital,acute care hospitals,438,39,17
alaska regional hospital,acute care hospitals,439,39,17
alaska regional hospital,acute care hospitals,440,39,17
alaska regional hospital,acute care hospitals,441,39,17
alaska regional hospital,acute care hospitals,442,39,17
alaska regional hospital,acute care hospitals,443,39,17
alaska regional hospital,acute care hospitals,444,39,17
alaska regional hospital,acute care hospitals,445,39,17
alaska regional hospital,acute care hospitals,446,39,17
alaska regional hospital,acute care hospitals,447,39,17
xlxskx regionxl hospitxl,acute care hospitals,448,40,1
alaska regional hospital,acute care hospitals,449,39,17
yukon kuskokwim delta reg hospital,acute care hospitals,450,41,2
yukon kuskokwim delta reg hospital,acute care hospitals,451,41,2
helen keller memorial hospital,acute care hospitals,452,1,23
helen keller memorial hospital,acute care hospitaxs,453,42,1
helen keller memorial hospital,acute care hospitals,454,1,23
helen keller memorial hospital,acute care hospitals,455,1,23
helen keller memorial hospital,acute care hospitals,456,1,23
helen keller memorial hospital,acute care hospitals,457,1,23
helen keller memorial hospital,acute care hospitals,458,1,23
helen keller memorial hospital,acute care hospitals,459,1,23
helen keller memorial hospital,acute care hospitals,460,1,23
helen keller memorial hospital,acute care hospitals,461,1,23
helen keller memorial hospital,acute care hospitals,462,1,23
helen keller memorial hospital,acute care hospitals,463,1,23
helen keller memorial hospital,acute care hospitals,464,1,23
helen keller memorial hospital,acute care hospitals,465,1,23
dale medical center,acute care hospitals,466,43,24
dale medical center,acute care hospitals,467,43,24
dale medical center,acute care hospitals,468,43,24
dale medical center,acute care hospitals,469,43,24
dale medical center,acute care hospitals,470,43,24
dale medical center,acute care hospitals,471,43,24
dale medical center,acute care hospitals,472,43,24
dale medical center,acute care hospitals,473,43,24
dale medical center,acute care hospitals,474,43,24
dale medical center,acute care hospitals,475,43,24
dale medical center,acute care hospitals,476,43,24
dale medical center,acute care hospitals,477,43,24
dale medical center,acute care hospitals,478,43,24
dale medical center,acute care hospitals,479,43,24
dale medical center,acute care hospitals,480,43,24
dale medical center,acute care hospitals,481,43,24
dale medical center,acute care hospitals,482,43,24
dale medical center,acute care hospitals,483,43,24
dale medical center,acute care hospitals,484,43,24
dale medical center,acute care hospitals,485,43,24
dale medical center,acute care hospitals,486,43,24
dale medical center,acute care hospitals,487,43,24
dale medical center,acute care hospitals,488,43,24
dale medical center,acute care hospitals,489,43,24
dale medical center,acute caxe hospitals,490,44,1
cherokee medical center,acute care hospitals,491,45,22
cherokee medical center,acute care hospitals,492,45,22
cherokee medical center,acute care hxspitals,493,46,1
cherokee medical center,acute care hospitals,494,45,22
cherokee medical center,acute care hospitals,495,45,22
cherokee medical center,acute care hospitals,496,45,22
cherokee medical center,acutx carx hospitals,497,47,1
cherokee medical center,acute care hospitals,498,45,22
cherokee medical center,acute care hospitals,499,45,22
cherokee medical center,acute care hospitals,500,45,22
cherokee medical center,acute care hospitals,501,45,22
cherokee medical center,acute care hospitals,502,45,22
cherokee medical center,acute care hospitals,503,45,22
cherokee medical center,acute care hospitals,504,45,22
cherokee medical center,acute care hospitals,505,45,22
cherokee medical center,acute care hospitals,506,45,22
cherokee medical center,acute care hospitals,507,45,22
cherokee medical center,acute care hospitals,508,45,22
cherokee medical center,acute care hospitals,509,45,22
cherokee medical center,acute care hospitals,510,45,22
cherokee medical center,acuxe care hospixals,511,48,1
cherokee medical center,acute care hospitals,512,45,22
cherokee medical center,acute care hospitals,513,45,22
cherokee medical center,acute care hospitals,514,45,22
cherokee medical center,acute care hospitals,515,45,22
baptist medical center south,acute care hospitals,516,49,24
baptist medical center south,acute care hospitals,517,49,24
baptist medical center south,acute care hospitals,518,49,24
baptist medical center south,acute care hospitals,519,49,24
baptist medical center south,acute care hospitals,520,49,24
baptist medical center south,acute care hospitals,521,49,24
baptist medical center south,acute care hospitals,522,49,24
baptist medical center south,acute care hospitals,523,49,24
baptist medical center south,acute care hospitals,524,49,24
baptist medical center south,acute care hospitals,525,49,24
baptist medical center south,acute care hospitals,526,49,24
baptist medical center south,acute care hospitals,527,49,24
baptist medical center south,acute care hospitals,528,49,24
baptist medical center south,acute care hospitals,529,49,24
baptist medical center south,acute care hospitals,530,49,24
baptist medical center south,acute care hospitals,531,49,24
baptist medical cexter south,acute care hosxitals,532,50,1
baptist medical center south,acute care hospitals,533,49,24
baptist medical center south,acute care hospitals,534,49,24
baptist medical center south,acute care hospitals,535,49,24
baptist medical center south,acute care hospitals,536,49,24
baptist medical center south,acute care hospitals,537,49,24
baptist medical center south,acute care hospitals,538,49,24
baptist medical center south,acute care hospitals,539,49,24
baptist medical center south,acute care hospitals,540,49,24
jackson hospital & clinic inc,acute care hospitals,541,51,24
jackson hospital & clinic inc,acute care hospitals,542,51,24
jackson hospital & clinic inc,acute care hospitals,543,51,24
jackson hospital & clinic inc,acute care hospitals,544,51,24
jackson hospital & clinic inc,acute care hospitals,545,51,24
jackson hospital & clinic inc,acute care hospitals,546,51,24
jackson hospital & clinic inc,acute care hospitals,547,51,24
jackson hospital & clinic inc,acute care hospitals,548,51,24
jackson hospital & clinic inc,acute care hospitals,549,51,24
jackson hospital & clinic inc,acute care hospitals,550,51,24
jackson hospital & clinic inc,acute care hospitals,551,51,24
jackson hospital & clinic inc,acute care hospitals,552,51,24
jackson hospital & clinic inc,acute care hospitals,553,51,24
jackson hospital & clinic inc,acute care hospitals,554,51,24
jackson hospital & clinic inc,acute care hospitals,555,51,24
jackson hospital & clinic inc,acute care hospitals,556,51,24
jackson hospital & clinic inc,acute care hospitals,557,51,24
jackson hospital & clinic inc,acute care hospitals,558,51,24
jackson hospital & clinic inc,acute care hospitals,559,51,24
jaxkson hospital & xlinix inx,acute care hospitals,560,52,1
jackson hospital & clinic inc,acute care hospitals,561,51,24
jackson hospital & clinic inc,acute care hospitals,562,51,24
jackson hospital & clinic inc,acute care hospitals,563,51,24
jackson hospital & clinic inc,acute care hospitals,564,51,24
jackson hospital & clinic inc,acute care hospitals,565,51,24
g h lanier memorial hospital,acute care hospitals,566,53,24
g h lanier memorial hospital,acute care hospitals,567,53,24
g h lanier memorial hospital,acute care hospitals,568,53,24
g h lanier memorial hospital,acute care hospitals,569,53,24
g h lanier memorial hospital,acute care hospitals,570,53,24
g h lanier memorial hospital,acute care hospitals,571,53,24
g h lanier memorial hospital,acute care hospitals,572,53,24
g h lanier memorial hospital,acute care hospitals,573,53,24
g h lanier memorial hospital,acute care hospitals,574,53,24
g h lanier memorial hospital,acute care hospitals,575,53,24
g h lanier memorial hospital,acute care hospitals,576,53,24
g h lanier memorial hospital,acute care hospitals,577,53,24
g h lanier memorial hospital,acute care hospitals,578,53,24
g h lanier memorial hospital,acute care hospitals,579,53,24
g h lanier memorial hospital,acute care hospitals,580,53,24
g h lanier memorial hospital,acute care hospitals,581,53,24
g h lanier memorial hospital,acute care hospitals,582,53,24
g h lanier memorial hospital,acute care hospitals,583,53,24
g h lanier memorial hospital,acute care hospitals,584,53,24
g h lanier memorial hospital,acute care hospitals,585,53,24
g h lanier memorial hospital,acute care hospitals,586,53,24
g h lanier memorial hospital,acute care hospitals,587,53,24
g h lanier memorial hospital,acuxe care hospixals,588,54,1
g h lanier memorial hospital,acute care hospitals,589,53,24
g h lanier memorial hospital,acute care hospitals,590,53,24
