ounces,brewery_id,original_index,unique_index,count
16.0 ounce,1,74,30,4
16.0 oz,1,75,33,3
16.0 oz.,1,76,31,4
16.0 ounce,1,77,30,4
16.0 OZ.,1,78,32,2
16.0 ounce,1,79,30,4
16.0 oz.,1,80,31,4
16.0 oz,1,81,33,3
16.0 ounce,367,82,34,1
16.0 OZ.,367,83,35,1
16.0 oz.,367,84,36,1
12.0 OZ.,117,85,37,1
12.0 oz. Alumi-Tek,117,86,38,1
12.0 oz,117,87,39,1
12.0 oz.,270,88,40,1
12.0 OZ.,270,89,41,1
12.0 OZ.,73,90,42,1
16.0 oz,388,91,43,1
16.0 OZ.,388,92,44,1
16.0 oz. Alumi-Tek,401,93,45,1
16.0 oz,401,94,46,1
16.0 ounce,401,95,47,1
12.0 oz. Alumi-Tek,35,96,48,1
12.0 ounce,35,97,49,2
12.0 oz,35,98,50,1
12.0 oz.,35,99,51,1
12.0 ounce,35,100,49,2
12.0 oz.,171,101,52,6
12.0 oz,171,102,53,5
12.0 oz.,171,103,52,6
12.0 oz,171,104,53,5
12.0 ounce,171,105,54,5
12.0 ounce,171,106,54,5
12.0 oz,171,107,53,5
12.0 oz.,171,108,52,6
12.0 oz. Alumi-Tek,171,109,55,1
16.0 oz,171,110,56,1
12.0 oz.,171,111,52,6
12.0 oz,171,112,53,5
12.0 oz,171,113,53,5
12.0 ounce,171,114,54,5
12.0 ounce,171,115,54,5
12.0 ounce,171,116,54,5
12.0 oz.,171,117,52,6
12.0 oz.,171,118,52,6
16.0 ounce,146,119,57,1
16.0 oz,542,120,58,1
16.0 oz.,542,121,59,1
16.0 oz.,434,122,60,2
16.0 oz.,434,123,60,2
12.0 OZ.,434,124,61,1
12.0 oz.,193,125,62,1
12.0 ounce,193,126,63,1
12.0 OZ.,193,127,64,1
16.0 oz.,69,128,65,1
16.0 oz. Alumi-Tek,69,129,66,1
16.0 ounce,69,130,67,1
12.0 oz. Silo Can,541,131,68,1
12.0 oz.,541,132,69,1
12.0 oz,513,133,70,1
12.0 ounce,426,134,71,1
12.0 oz.,426,135,72,1
16.0 oz,461,136,73,1
16.0 oz.,429,137,74,1
12.0 oz,528,138,75,2
12.0 oz,528,139,75,2
12.0 oz.,528,140,76,1
16.0 ounce,353,141,77,1
16.0 oz. Alumi-Tek,353,142,78,1
16.0 oz. Silo Can,353,143,79,1
12.0 oz.,523,144,80,1
12.0 oz,523,145,81,1
12.0 oz.,374,146,82,2
12.0 oz.,374,147,82,2
12.0 ounce,374,148,83,1
12.0 OZ.,374,149,84,1
16.0 ounce,72,150,85,1
16.0 oz.,72,151,86,1
16.0 oz,72,152,87,1
12.0 oz.,72,153,88,2
12.0 oz,72,154,89,1
12.0 oz.,72,155,88,2
16.0 oz,413,156,90,1
12.0 OZ.,413,157,91,1
12.0 oz,413,158,92,1
12.0 oz.,413,159,93,1
12.0 ounce,413,160,94,1
12.0 oz.,37,161,95,4
12.0 oz.,37,162,95,4
12.0 oz.,37,163,95,4
12.0 oz.,37,164,95,4
12.0 oz,37,165,96,1
12.0 ounce,37,166,97,1
12.0 oz. Alumi-Tek,360,167,98,1
12.0 oz.,360,168,99,3
12.0 ounce,360,169,100,2
12.0 oz.,360,170,99,3
12.0 oz.,360,171,99,3
12.0 ounce,360,172,100,2
12.0 ounce,235,173,101,2
12.0 oz.,235,174,102,2
12.0 OZ.,235,175,103,1
12.0 oz.,235,176,102,2
12.0 ounce,235,177,101,2
12.0 ounce,286,178,104,1
12.0 oz,286,179,105,1
12.0 ounce,483,180,106,2
12.0 ounce,483,181,106,2
12.0 ounce,34,182,107,2
12.0 ounce,34,183,107,2
12.0 OZ.,34,184,108,2
12.0 OZ.,34,185,108,2
12.0 oz,34,186,109,1
12.0 oz.,34,187,110,1
12.0 oz. Alumi-Tek,318,188,111,1
12.0 oz,318,189,112,1
12.0 ounce,318,190,113,1
16.0 oz,20,191,114,1
12.0 oz.,251,192,115,1
12.0 oz,251,193,116,1
12.0 oz. Alumi-Tek,116,194,117,1
12.0 oz.,116,195,118,2
12.0 ounce,116,196,119,1
12.0 oz.,116,197,118,2
12.0 oz,116,198,120,1
12.0 ounce,258,199,121,1
12.0 oz.,258,200,122,3
12.0 oz.,258,201,122,3
12.0 oz.,258,202,122,3
12.0 oz,292,203,123,3
16.0 oz,292,204,124,1
12.0 oz,292,205,123,3
12.0 oz.,292,206,125,3
12.0 ounce,292,207,126,1
12.0 oz.,292,208,125,3
12.0 oz.,292,209,125,3
12.0 OZ.,292,210,127,1
12.0 oz,292,211,123,3
16.0 ounce,306,212,128,1
12.0 OZ.,103,213,129,1
12.0 oz. Alumi-Tek,103,214,130,1
12.0 oz.,103,215,131,1
12.0 ounce,103,216,132,1
12.0 oz,76,217,133,1
16.0 oz.,76,218,134,4
16.0 oz.,76,219,134,4
16.0 oz.,76,220,134,4
16.0 OZ.,76,221,135,1
16.0 oz.,76,222,134,4
12.0 oz.,53,223,136,2
16.0 ounce,53,224,137,1
12.0 oz.,53,225,136,2
12.0 OZ.,75,226,138,1
12.0 oz.,75,227,139,4
12.0 ounce,75,228,140,1
12.0 oz.,75,229,139,4
12.0 oz.,75,230,139,4
12.0 oz.,75,231,139,4
12.0 ounce,278,232,141,1
12.0 oz,278,233,142,1
12.0 oz.,463,234,143,2
12.0 oz.,463,235,143,2
12.0 oz,463,236,144,2
12.0 oz,463,237,144,2
12.0 OZ.,463,238,145,1
16.0 oz. Alumi-Tek,220,239,146,1
12.0 ounce,220,240,147,1
16.0 oz.,220,241,148,1
16.0 oz,220,242,149,1
12.0 ounce,477,243,150,2
12.0 OZ.,477,244,151,1
12.0 ounce,477,245,150,2
16.0 oz.,8,246,152,1
16.0 ounce,8,247,153,1
12.0 oz.,40,248,154,1
16.0 oz.,40,249,155,1
12.0 oz.,519,250,156,2
12.0 oz.,519,251,156,2
12.0 ounce,336,252,157,2
12.0 oz,336,253,158,5
12.0 oz,336,254,158,5
12.0 oz.,336,255,159,4
12.0 oz.,336,256,159,4
12.0 oz.,336,257,159,4
12.0 oz,336,258,158,5
12.0 OZ.,336,259,160,1
12.0 ounce,336,260,157,2
12.0 oz,336,261,158,5
12.0 oz,336,262,158,5
12.0 oz.,336,263,159,4
12.0 oz.,221,264,161,1
12.0 ounce,221,265,162,1
16.0 oz,444,266,163,1
16.0 ounce,444,267,164,1
16.0 OZ.,444,268,165,1
16.0 oz.,444,269,166,2
16.0 oz.,444,270,166,2
16.0 ounce,70,271,167,1
12.0 oz,407,272,168,2
12.0 oz,407,273,168,2
12.0 oz.,407,274,169,1
16.0 oz,18,275,170,1
12.0 oz,112,276,171,1
12.0 ounce,112,277,172,3
12.0 ounce,112,278,172,3
12.0 ounce,112,279,172,3
12.0 oz,294,280,173,2
12.0 ounce,294,281,174,1
12.0 oz.,294,282,175,1
12.0 oz,294,283,173,2
12.0 oz,79,284,176,2
12.0 oz,79,285,176,2
12.0 ounce,95,286,177,1
12.0 oz. Alumi-Tek,12,287,178,1
12.0 OZ.,12,288,179,1
12.0 ounce,12,289,180,3
12.0 ounce,12,290,180,3
12.0 oz,12,291,181,1
12.0 ounce,12,292,180,3
12.0 ounce,380,293,182,6
12.0 oz. Alumi-Tek,380,294,183,1
12.0 oz.,380,295,184,6
12.0 oz.,380,296,184,6
12.0 oz.,380,297,184,6
12.0 oz,380,298,185,1
12.0 ounce,380,299,182,6
12.0 ounce,380,300,182,6
12.0 ounce,380,301,182,6
12.0 oz.,380,302,184,6
12.0 oz.,380,303,184,6
12.0 ounce,380,304,182,6
12.0 ounce,380,305,182,6
12.0 oz.,380,306,184,6
12.0 oz.,422,307,186,1
12.0 oz,422,308,187,1
12.0 oz,304,309,188,1
12.0 ounce,382,310,189,2
12.0 oz.,382,311,190,2
12.0 oz.,382,312,190,2
12.0 ounce,382,313,189,2
12.0 oz,414,314,191,1
12.0 oz.,77,315,192,3
12.0 oz.,77,316,192,3
12.0 oz.,77,317,192,3
12.0 oz,77,318,193,1
16.0 oz. Alumi-Tek,489,319,194,1
12.0 oz.,489,320,195,1
12.0 ounce,489,321,196,2
12.0 ounce,489,322,196,2
12.0 oz.,364,323,197,3
12.0 oz.,364,324,197,3
12.0 oz.,364,325,197,3
12.0 oz,364,326,198,1
12.0 oz. Alumi-Tek,364,327,199,1
12.0 oz,378,328,200,1
12.0 oz. Alumi-Tek,378,329,201,1
12.0 oz.,378,330,202,1
16.0 OZ.,281,331,203,1
16.0 oz.,281,332,204,1
12.0 oz,525,333,205,1
12.0 oz.,525,334,206,1
12.0 ounce,107,335,207,3
16.0 oz.,107,336,208,3
16.0 ounce,107,337,209,4
12.0 oz.,107,338,210,5
16.0 ounce,107,339,209,4
12.0 oz. Alumi-Tek,107,340,211,1
16.0 oz. Alumi-Tek,107,341,212,1
12.0 oz,107,342,213,2
12.0 oz,107,343,213,2
12.0 oz.,107,344,210,5
16.0 oz.,107,345,208,3
12.0 oz.,107,346,210,5
12.0 oz.,107,347,210,5
16.0 ounce,107,348,209,4
12.0 ounce,107,349,207,3
12.0 oz.,107,350,210,5
12.0 ounce,107,351,207,3
16.0 oz.,107,352,208,3
16.0 ounce,107,353,209,4
16.0 oz. Alumi-Tek,231,354,214,1
12.0 ounce,300,355,215,2
16.0 oz,300,356,216,1
12.0 ounce,300,357,215,2
12.0 oz.,300,358,217,3
16.0 ounce,300,359,218,1
12.0 oz.,300,360,217,3
12.0 oz,300,361,219,2
12.0 oz,300,362,219,2
12.0 oz.,300,363,217,3
12.0 oz.,417,364,220,2
12.0 ounce,417,365,221,1
12.0 oz.,417,366,220,2
12.0 oz.,31,367,222,1
12.0 oz.,167,368,223,1
12.0 oz,167,369,224,1
12.0 ounce,167,370,225,1
12.0 oz.,219,371,226,2
12.0 ounce,219,372,227,2
12.0 ounce,219,373,227,2
12.0 oz.,219,374,226,2
12.0 oz,219,375,228,1
12.0 oz. Alumi-Tek,207,376,229,1
16.0 oz,195,377,230,1
12.0 oz.,391,378,231,1
12.0 ounce,391,379,232,2
12.0 ounce,391,380,232,2
12.0 oz,391,381,233,1
12.0 oz.,308,382,234,3
12.0 oz.,308,383,234,3
12.0 oz.,308,384,234,3
12.0 oz,308,385,235,1
16.0 oz.,19,386,236,1
16.0 ounce,85,387,237,1
16.0 oz,10,388,238,19
16.0 oz.,10,389,239,26
16.0 OZ.,10,390,240,3
16.0 oz,10,391,238,19
16.0 oz.,10,392,239,26
16.0 oz,10,393,238,19
16.0 oz.,10,394,239,26
16.0 oz. Alumi-Tek,10,395,241,3
16.0 oz,10,396,238,19
16.0 oz.,10,397,239,26
16.0 oz,10,398,238,19
16.0 ounce,10,399,242,10
16.0 oz.,10,400,239,26
16.0 OZ.,10,401,240,3
16.0 ounce,10,402,242,10
16.0 oz.,10,403,239,26
16.0 oz.,10,404,239,26
16.0 oz.,10,405,239,26
16.0 oz. Silo Can,10,406,243,1
16.0 oz.,10,407,239,26
16.0 oz,10,408,238,19
16.0 ounce,10,409,242,10
16.0 oz.,10,410,239,26
16.0 oz,10,411,238,19
16.0 oz,10,412,238,19
16.0 oz.,10,413,239,26
16.0 oz.,10,414,239,26
16.0 oz.,10,415,239,26
16.0 oz.,10,416,239,26
16.0 oz.,10,417,239,26
16.0 ounce,10,418,242,10
16.0 oz.,10,419,239,26
16.0 oz.,10,420,239,26
16.0 oz,10,421,238,19
16.0 oz,10,422,238,19
16.0 ounce,10,423,242,10
16.0 oz,10,424,238,19
16.0 oz.,10,425,239,26
16.0 oz,10,426,238,19
16.0 oz. Alumi-Tek,10,427,241,3
16.0 ounce,10,428,242,10
16.0 oz.,10,429,239,26
16.0 oz,10,430,238,19
16.0 ounce,10,431,242,10
16.0 ounce,10,432,242,10
16.0 oz,10,433,238,19
16.0 oz.,10,434,239,26
16.0 ounce,10,435,242,10
16.0 oz.,10,436,239,26
16.0 OZ.,10,437,240,3
16.0 oz,10,438,238,19
16.0 oz.,10,439,239,26
16.0 oz,10,440,238,19
16.0 ounce,10,441,242,10
16.0 oz.,10,442,239,26
16.0 oz.,10,443,239,26
16.0 oz,10,444,238,19
16.0 oz,10,445,238,19
16.0 oz. Alumi-Tek,10,446,241,3
16.0 oz.,10,447,239,26
16.0 oz.,10,448,239,26
16.0 oz,10,449,238,19
12.0 oz.,467,450,244,2
12.0 oz.,467,451,244,2
16.0 oz,89,452,245,1
12.0 oz.,493,453,246,3
12.0 oz. Alumi-Tek,493,454,247,1
12.0 oz.,493,455,246,3
12.0 oz.,493,456,246,3
16.0 oz,437,457,248,1
12.0 ounce,437,458,249,1
12.0 oz.,437,459,250,1
12.0 OZ.,437,460,251,1
16.0 oz.,437,461,252,1
12.0 oz. Alumi-Tek,437,462,253,1
16.0 oz,530,463,254,3
16.0 oz. Alumi-Tek,530,464,255,1
16.0 oz.,530,465,256,3
16.0 oz,530,466,254,3
16.0 oz,530,467,254,3
16.0 oz.,530,468,256,3
16.0 oz.,530,469,256,3
16.0 ounce,357,470,257,1
12.0 oz.,56,471,258,1
12.0 oz.,214,472,259,1
12.0 oz,214,473,260,1
16.0 ounce,214,474,261,1
16.0 OZ.,24,475,262,1
16.0 oz,24,476,263,4
24.0 oz.,24,477,264,1
12.0 oz,24,478,265,1
12.0 ounce,24,479,266,1
12.0 oz.,24,480,267,1
16.0 oz.,24,481,268,1
16.0 ounce,24,482,269,1
16.0 oz,24,483,263,4
16.0 oz,24,484,263,4
16.0 oz,24,485,263,4
12.0 oz,197,486,270,1
12.0 ounce,517,487,271,1
12.0 ounce,556,488,272,2
12.0 oz.,556,489,273,1
12.0 oz,556,490,274,1
12.0 ounce,556,491,272,2
12.0 ounce,5,492,275,1
12.0 oz. Alumi-Tek,5,493,276,1
12.0 oz.,5,494,277,1
16.0 oz.,5,495,278,3
16.0 oz.,5,496,278,3
16.0 oz.,5,497,278,3
16.0 ounce,182,498,279,2
16.0 oz,182,499,280,2
16.0 oz.,182,500,281,1
16.0 oz,182,501,280,2
16.0 OZ.,182,502,282,1
16.0 ounce,182,503,279,2
12.0 ounce,155,504,283,5
12.0 ounce,155,505,283,5
12.0 oz.,155,506,284,3
12.0 oz,155,507,285,4
12.0 ounce,155,508,283,5
12.0 oz,155,509,285,4
12.0 OZ.,155,510,286,1
12.0 oz,155,511,285,4
12.0 ounce,155,512,283,5
12.0 oz.,155,513,284,3
12.0 ounce,155,514,283,5
12.0 oz.,155,515,284,3
12.0 oz. Alumi-Tek,155,516,287,1
12.0 oz,155,517,285,4
12.0 oz.,178,518,288,2
12.0 oz.,178,519,288,2
12.0 oz,497,520,289,1
12.0 ounce,497,521,290,1
12.0 oz. Alumi-Tek,497,522,291,1
12.0 oz.,497,523,292,1
16.0 oz.,230,524,293,2
16.0 oz.,230,525,293,2
12.0 oz,230,526,294,1
12.0 oz.,230,527,295,1
12.0 ounce,230,528,296,1
16.0 oz.,267,529,297,2
16.0 oz.,267,530,297,2
12.0 oz,192,531,298,1
12.0 ounce,192,532,299,6
12.0 oz.,192,533,300,3
12.0 ounce,192,534,299,6
16.0 OZ.,192,535,301,1
12.0 oz.,192,536,300,3
12.0 ounce,192,537,299,6
12.0 oz.,192,538,300,3
12.0 ounce,192,539,299,6
12.0 ounce,192,540,299,6
12.0 ounce,192,541,299,6
12.0 ounce,504,542,302,2
12.0 ounce,504,543,302,2
12.0 oz,504,544,303,1
16.0 oz,179,545,304,1
12.0 oz.,179,546,305,2
12.0 oz.,179,547,305,2
16.0 oz.,222,548,306,1
16.0 ounce,222,549,307,1
16.0 oz,222,550,308,1
12.0 oz.,222,551,309,1
16.0 oz.,404,552,310,1
16.0 oz,404,553,311,1
12.0 oz,331,554,312,1
12.0 ounce,331,555,313,1
12.0 oz.,331,556,314,3
12.0 oz. Alumi-Tek,331,557,315,1
12.0 OZ.,331,558,316,1
12.0 oz.,331,559,314,3
12.0 oz.,331,560,314,3
16.0 ounce,285,561,317,1
16.0 OZ.,285,562,318,1
12.0 oz,96,563,319,2
12.0 oz,96,564,319,2
16.0 oz.,29,565,320,4
16.0 oz.,29,566,320,4
16.0 oz,29,567,321,2
16.0 oz.,29,568,320,4
16.0 oz,29,569,321,2
16.0 oz.,29,570,320,4
12.0 ounce,452,571,322,1
12.0 oz,452,572,323,1
12.0 ounce,122,573,324,2
12.0 oz. Alumi-Tek,122,574,325,1
12.0 ounce,122,575,324,2
12.0 OZ.,122,576,326,1
16.0 oz,350,577,327,2
16.0 oz.,350,578,328,2
16.0 oz.,350,579,328,2
16.0 oz,350,580,327,2
24.0 oz,236,581,329,1
12.0 OZ.,236,582,330,1
12.0 oz,236,583,331,2
12.0 oz,236,584,331,2
16.0 oz. Alumi-Tek,250,585,332,2
16.0 oz. Alumi-Tek,250,586,332,2
16.0 oz.,250,587,333,2
16.0 oz.,250,588,333,2
16.0 ounce,226,589,334,2
16.0 ounce,226,590,334,2
16.0 oz,121,591,335,1
16.0 oz.,121,592,336,1
16.0 ounce,121,593,337,1
12.0 oz.,99,594,338,1
12.0 oz,526,595,339,1
12.0 oz.,425,596,340,1
12.0 ounce,425,597,341,1
12.0 oz.,141,598,342,8
12.0 oz,141,599,343,8
12.0 oz.,141,600,342,8
12.0 oz,141,601,343,8
12.0 oz.,141,602,342,8
12.0 oz.,141,603,342,8
12.0 oz. Alumi-Tek,141,604,344,3
12.0 oz. Silo Can,141,605,345,1
12.0 ounce,141,606,346,4
12.0 oz. Alumi-Tek,141,607,344,3
12.0 oz.,141,608,342,8
12.0 ounce,141,609,346,4
12.0 oz.,141,610,342,8
12.0 oz.,141,611,342,8
16.0 oz,141,612,347,1
12.0 oz,141,613,343,8
12.0 ounce,141,614,346,4
12.0 oz,141,615,343,8
12.0 oz,141,616,343,8
12.0 ounce,141,617,346,4
12.0 oz,141,618,343,8
12.0 oz.,141,619,342,8
12.0 oz,141,620,343,8
12.0 oz,141,621,343,8
12.0 oz. Alumi-Tek,141,622,344,3
12.0 oz.,145,623,348,5
12.0 oz,145,624,349,2
12.0 oz.,145,625,348,5
12.0 oz.,145,626,348,5
12.0 oz,145,627,349,2
12.0 oz.,145,628,348,5
12.0 oz.,145,629,348,5
16.0 oz.,320,630,350,1
12.0 oz,418,631,351,1
16.0 oz,418,632,352,1
12.0 oz,415,633,353,1
12.0 ounce,415,634,354,1
12.0 ounce,101,635,355,2
12.0 ounce,101,636,355,2
12.0 oz.,101,637,356,1
12.0 oz,101,638,357,1
16.0 OZ.,232,639,358,1
16.0 ounce,482,640,359,2
16.0 ounce,482,641,359,2
16.0 oz.,482,642,360,1
12.0 oz.,139,643,361,2
12.0 oz,139,644,362,1
12.0 ounce,139,645,363,1
12.0 oz.,139,646,361,2
12.0 oz,512,647,364,1
12.0 ounce,553,648,365,1
16.0 oz.,515,649,366,2
16.0 oz,515,650,367,1
16.0 oz.,515,651,366,2
12.0 OZ.,63,652,368,1
12.0 oz,63,653,369,1
12.0 oz. Alumi-Tek,63,654,370,1
12.0 oz.,63,655,371,2
12.0 ounce,63,656,372,3
12.0 oz.,63,657,371,2
12.0 ounce,63,658,372,3
12.0 ounce,63,659,372,3
12.0 oz.,247,660,373,1
12.0 ounce,247,661,374,1
12.0 oz.,169,662,375,2
12.0 oz.,169,663,375,2
12.0 oz,169,664,376,1
12.0 OZ.,212,665,377,1
12.0 oz,212,666,378,3
12.0 oz.,212,667,379,2
12.0 oz,212,668,378,3
12.0 ounce,212,669,380,1
12.0 oz,212,670,378,3
12.0 oz.,212,671,379,2
16.0 oz.,472,672,381,1
16.0 oz,472,673,382,1
16.0 oz,315,674,383,2
16.0 oz.,315,675,384,2
16.0 oz,315,676,383,2
16.0 oz.,315,677,384,2
12.0 oz,323,678,385,1
12.0 oz. Alumi-Tek,323,679,386,1
12.0 oz,227,680,387,4
12.0 oz,227,681,387,4
12.0 oz,227,682,387,4
12.0 oz.,227,683,388,3
12.0 oz.,227,684,388,3
12.0 oz.,227,685,388,3
12.0 ounce,227,686,389,1
12.0 oz,227,687,387,4
16.0 oz.,451,688,390,1
16.0 ounce,451,689,391,1
16.0 ounce,358,690,392,1
12.0 oz.,554,691,393,1
12.0 oz,333,692,394,2
12.0 oz,333,693,394,2
12.0 ounce,330,694,395,1
12.0 ounce,127,695,396,1
12.0 oz.,127,696,397,4
12.0 oz,127,697,398,3
12.0 oz,127,698,398,3
12.0 oz.,127,699,397,4
16.0 oz,127,700,399,1
12.0 oz.,127,701,397,4
12.0 oz.,127,702,397,4
12.0 oz,127,703,398,3
12.0 oz,283,704,400,2
12.0 oz,283,705,400,2
12.0 ounce,453,706,401,1
12.0 oz.,453,707,402,1
12.0 oz,453,708,403,2
12.0 oz,453,709,403,2
12.0 oz,263,710,404,1
12.0 oz.,263,711,405,1
12.0 oz.,454,712,406,1
12.0 oz,57,713,407,1
12.0 OZ.,57,714,408,2
12.0 ounce,57,715,409,2
12.0 OZ.,57,716,408,2
12.0 oz.,57,717,410,2
12.0 oz.,57,718,410,2
12.0 ounce,57,719,409,2
12.0 oz.,237,720,411,1
12.0 OZ.,237,721,412,1
16.0 oz.,491,722,413,1
16.0 OZ.,491,723,414,1
16.0 oz,491,724,415,2
16.0 oz,491,725,415,2
12.0 oz.,319,726,416,1
16.0 ounce,311,727,417,1
12.0 OZ.,488,728,418,1
16.0 oz. Alumi-Tek,531,729,419,1
16.0 oz.,531,730,420,1
16.0 ounce,531,731,421,2
16.0 oz,531,732,422,2
16.0 ounce,531,733,421,2
16.0 oz,531,734,422,2
12.0 oz,446,735,423,2
12.0 oz,446,736,423,2
12.0 OZ.,496,737,424,1
12.0 ounce,496,738,425,2
12.0 oz,496,739,426,1
12.0 ounce,496,740,425,2
12.0 ounce,340,741,427,1
12.0 oz.,538,742,428,1
16.0 ounce,369,743,429,4
16.0 ounce,369,744,429,4
16.0 OZ.,369,745,430,1
16.0 oz.,369,746,431,1
16.0 ounce,369,747,429,4
16.0 ounce,369,748,429,4
16.0 oz,369,749,432,1
16.0 oz.,352,750,433,1
16.0 oz. Silo Can,516,751,434,1
12.0 ounce,465,752,435,1
16.0 ounce,473,753,436,1
12.0 oz. Alumi-Tek,81,754,437,1
12.0 oz,81,755,438,1
12.0 oz.,81,756,439,2
12.0 oz.,81,757,439,2
12.0 ounce,170,758,440,1
12.0 oz.,170,759,441,1
16.0 ounce,26,760,442,2
16.0 ounce,26,761,442,2
16.0 oz.,26,762,443,2
16.0 oz.,26,763,443,2
16.0 oz,26,764,444,2
16.0 oz,26,765,444,2
12.0 oz,173,766,445,2
16.0 oz.,173,767,446,1
12.0 oz.,173,768,447,2
12.0 oz,173,769,445,2
12.0 oz.,173,770,447,2
12.0 oz.,335,771,448,2
12.0 oz.,335,772,448,2
12.0 oz,335,773,449,1
12.0 oz,224,774,450,1
16.0 oz.,224,775,451,1
16.0 oz,405,776,452,2
16.0 oz.,405,777,453,2
16.0 oz.,405,778,453,2
16.0 oz,405,779,452,2
16.0 ounce,405,780,454,1
16.0 ounce,201,781,455,2
16.0 oz.,201,782,456,1
16.0 OZ.,201,783,457,2
16.0 OZ.,201,784,457,2
16.0 oz,201,785,458,1
16.0 ounce,201,786,455,2
12.0 oz.,172,787,459,1
16.0 oz.,172,788,460,3
16.0 oz.,172,789,460,3
16.0 oz.,172,790,460,3
12.0 oz.,36,791,461,3
12.0 oz.,36,792,461,3
12.0 oz.,36,793,461,3
16.0 oz.,256,794,462,3
16.0 ounce,256,795,463,4
16.0 oz.,256,796,462,3
16.0 ounce,256,797,463,4
16.0 oz.,256,798,462,3
16.0 oz. Alumi-Tek,256,799,464,1
16.0 ounce,256,800,463,4
16.0 ounce,256,801,463,4
16.0 oz,256,802,465,2
16.0 oz,256,803,465,2
12.0 oz,48,804,466,3
12.0 oz.,48,805,467,2
12.0 oz.,48,806,467,2
12.0 oz,48,807,466,3
12.0 oz,48,808,466,3
16.0 oz.,16,809,468,1
16.0 ounce,16,810,469,2
16.0 ounce,16,811,469,2
12.0 ounce,532,812,470,1
16.0 oz,54,813,471,1
12.0 ounce,521,814,472,1
12.0 oz.,521,815,473,1
12.0 oz.,50,816,474,1
12.0 ounce,50,817,475,1
12.0 oz. Alumi-Tek,279,818,476,1
12.0 oz,279,819,477,2
12.0 ounce,279,820,478,1
12.0 oz,279,821,477,2
12.0 oz.,217,822,479,2
12.0 oz.,217,823,479,2
12.0 oz.,206,824,480,1
12.0 ounce,206,825,481,1
16.0 oz.,206,826,482,5
16.0 oz.,206,827,482,5
16.0 oz.,206,828,482,5
16.0 ounce,206,829,483,3
16.0 oz.,206,830,482,5
16.0 oz.,206,831,482,5
16.0 oz,206,832,484,2
16.0 ounce,206,833,483,3
16.0 oz,206,834,484,2
16.0 ounce,206,835,483,3
12.0 oz.,151,836,485,1
12.0 oz.,4,837,486,1
12.0 ounce,4,838,487,1
12.0 oz,4,839,488,2
12.0 oz,4,840,488,2
12.0 ounce,15,841,489,1
12.0 oz.,15,842,490,2
12.0 oz.,15,843,490,2
12.0 oz,287,844,491,2
12.0 ounce,287,845,492,1
12.0 oz,287,846,491,2
16.0 oz,22,847,493,1
16.0 ounce,22,848,494,1
16.0 oz.,22,849,495,1
16.0 oz. Alumi-Tek,22,850,496,1
12.0 oz. Alumi-Tek,348,851,497,1
12.0 oz,160,852,498,4
12.0 oz,160,853,498,4
12.0 oz.,160,854,499,3
12.0 oz.,160,855,499,3
12.0 oz,160,856,498,4
12.0 oz.,160,857,499,3
