MeasureCode,Score,original_index,unique_index
hf-3,82%,78,66
hf-4,100%,79,18
pn-2,90%,80,67
pn-3b,95%,81,68
pn-4,100%,82,69
pn-5c,96%,83,50
pn-6,91%,84,70
pn-7,88%,85,71
scip-card-2,96%,86,72
scip-inf-1,99%,87,73
scip-inf-2,99%,88,74
scip-inf-3,94%,89,75
scip-inf-4,89%,90,76
scip-inf-6,100%,91,57
scip-vte-1,95%,92,77
scip-vte-2,92%,93,78
ami-1,60%,94,79
ami-2,50%,95,80
ami-3,empty,96,81
axi-4,empty,97,82
ami-5,100%,98,44
ami-7a,empty,99,13
ami-8a,empty,100,14
hfx1,98%,101,83
hf-2,87%,102,84
hf-3,64%,103,85
hf-4,100%,104,18
pn-2,87%,105,86
pn-3b,78%,106,87
pn-4,100%,107,69
pnx5c,95%,108,88
pn-6,88%,109,89
pn-7,90%,110,90
scip-card-2,91%,111,91
scip-inf-1,88%,112,92
scip-inf-2,91%,113,93
scip-inf-3,93%,114,94
scip-inf-4,empty,115,4
scip-inf-6,100%,116,57
scip-vte-1,87%,117,95
scip-vte-2,88%,118,96
ami-1,0%,119,97
axi-2,x00%,120,98
ami-3,empty,121,81
ami-4,empty,122,43
ami-5,0%,123,99
ami-7a,empty,124,13
ami-8a,empty,125,14
hf-1,4%,126,100
hf-2,72%,127,101
hf-3,75%,128,102
hf-4,0%,129,103
pn-2,25%,130,104
pn-3b,93%,131,105
pn-4,33%,132,106
pn-5c,95%,133,107
pn-6,62%,134,108
pn-7,47%,135,109
scip-card-2,100%,136,110
scip-inf-1,100%,137,111
scip-inf-2,100%,138,112
scip-inf-3,100%,139,113
scip-inf-4,empty,140,4
scip-inf-6,100%,141,57
scip-vte-1,100%,142,114
scip-vte-2,100%,143,115
ami-1,100%,144,116
ami-2,100%,145,117
ami-3,100%,146,42
ami-4,100%,147,11
ami-5,100%,148,44
ami-7a,empty,149,13
ami-8a,empty,150,14
hf-1,97%,151,118
hf-2,98%,152,119
hf-3,100%,153,120
hf-4,100%,154,18
pn-2,98%,155,121
pn-3b,100%,156,122
pn-4,100%,157,69
pn-5c,9x%,158,123
pn-6,100%,159,124
pn-7,97%,160,125
scip-card-2,67%,161,126
scip-inf-1,100%,162,111
scip-inf-2,x7%,163,127
scip-inf-3,80%,164,128
scip-inf-4,empty,165,4
scip-inf-6,100%,166,57
scip-vte-1,78%,167,58
scip-vte-2,78%,168,129
ami-1,100%,169,116
ami-2,100%,170,117
ami-3,50%,171,130
ami-4,100%,172,11
ami-5,83%,173,131
ami-7a,empty,174,13
ami-8a,empty,175,14
hf-1,93%,176,132
hf-x,84%,177,133
hf-3,78%,178,134
hf-4,100%,179,18
pn-2,87%,180,86
pn-3b,94%,181,135
pn-4,94%,182,136
pn-5c,97%,183,137
pn-6,93%,184,138
pn-7,90%,185,90
scip-card-2,86%,186,139
scip-inf-1,95x,187,140
scip-inf-2,91%,188,93
scip-inf-3,100%,189,113
scip-inx-4,empty,190,141
scip-inf-6,100%,191,57
scip-vte-1,86%,192,38
scip-vte-2,84%,193,142
ami-1,99%,194,143
ami-2,96%,195,60
ami-3,91%,196,144
ami-4,100%,197,11
ami-5,99%,198,22
ami-7a,empty,199,13
ami-8a,85%,200,145
hf-1,94%,201,146
hf-2,98%,202,119
hf-3,98%,203,147
hf-4,100%,204,18
pn-2,87%,205,86
pn-3b,96%,206,148
pn-4,100%,207,69
pn-5c,x5%,208,149
pn-6,91%,209,70
pn-7,85%,210,150
scip-card-2,83%,211,151
scip-inf-1,97%,212,152
scip-inf-2,98%,213,34
scip-inf-3,81%,214,153
scip-inf-4,60%,215,154
scip-inf-6,100%,216,57
scip-vte-1,89%,217,155
scip-vte-2,83%,218,39
ami-1,100%,219,116
ami-2,95%,220,156
ami-3,91%,221,144
ami-4,100%,222,11
ami-5,95%,223,157
ami-7a,100%,224,158
ami-8a,40%,225,159
hf-1,89%,226,160
hf-2,100%,227,161
hf-3,94%,228,162
hf-4,100%,229,18
pn-2,97%,230,47
pn-3b,93%,231,105
pn-4,100%,232,69
pn-5c,99%,233,163
pn-6,88%,234,89
pn-7,98%,235,164
scip-card-2,100%,236,110
scip-inf-1,9x%,237,165
scip-inf-2,xx%,238,166
scip-inf-3,98%,239,167
scip-inf-4,empty,240,4
scip-inf-6,100%,241,57
scip-vte-1,97%,242,168
scip-vte-2,97%,243,169
ami-1,empty,244,170
ami-2,empty,245,171
ami-3,empty,246,81
ami-4,empty,247,43
ami-5,empty,248,172
ami-7a,empty,249,13
ami-8a,empty,250,14
hf-1,100%,251,173
hf-2,89x,252,174
hf-3,88%,253,175
hf-4,88%,254,176
pn-2,92%,255,177
pn-3b,x6%,256,178
pn-4,100%,257,69
pn-5c,96%,258,50
pn-6,100%,259,124
pn-7,92%,260,179
scip-card-2,empty,261,0
scip-inf-1,86%,262,180
scip-inf-2,93%,263,55
scxp-xnf-3,86%,264,181
scip-inf-4,empty,265,4
scip-inf-6,100%,266,57
scip-vte-1,90%,267,182
scip-vte-2,90%,268,183
ami-1,99%,269,143
ami-2,97%,270,184
ami-3,100%,271,42
ami-4,100%,272,11
ami-5,97%,273,185
ami-7a,empty,274,13
ami-8a,83%,275,186
hf-1,86%,276,187
hf-2,100%,277,161
hf-3,97%,278,188
hf-4,100%,279,18
pn-2,97%,280,47
pn-3b,100%,281,122
pn-4,100%,282,69
pn-5c,96%,283,50
pn-6,93%,284,138
pn-7,92%,285,179
scip-card-2,89%,286,189
scip-inf-1,98%,287,190
scip-inf-2,99%,288,74
scip-inf-3,91%,289,191
scip-inf-4,93%,290,192
scip-inf-6,100%,291,57
scip-vte-1,97%,292,168
scip-vte-2,94%,293,193
ami-1,empty,294,170
ami-2,empty,295,171
ami-3,empty,296,81
ami-4,empty,297,43
ami-5,empty,298,172
ami-7a,empty,299,13
ami-8a,empty,300,14
hf-1,empty,301,194
hf-2,empty,302,195
hf-3,empty,303,196
hf-4,empty,304,197
pn-2,empty,305,198
pn-3b,empty,306,199
pn-4,empty,307,200
pn-5c,empty,308,201
pn-6,empty,309,202
pn-7,empty,310,203
cac-2,100%,311,204
cac-3,33%,312,205
ami-1,98%,313,19
ami-2,96%,314,60
ami-3,93%,315,61
ami-4,100%,316,11
ami-5,93%,317,206
ami-7a,0%,318,207
ami-8a,87%,319,208
hf-1,87%,320,209
hf-2,100%,321,161
hf-3,90%,322,45
hf-4,100%,323,18
pn-2,97%,324,47
pn-3b,100%,325,122
pn-4,100%,326,69
pn-5c,97%,327,137
pn-6,92%,328,51
pn-7,91%,329,210
scip-card-2,83%,330,151
hf-2,100%,331,161
hf-3,100%,332,120
hf-4,100%,333,18
pn-2,100%,334,211
pn-3b,100%,335,122
pn-4,x00%,336,212
pn-5c,99%,337,163
pn-6,99%,338,213
pn-7,99%,339,214
scip-card-2,100%,340,110
scip-inf-1,100%,341,111
scip-inf-2,100%,342,112
scip-inf-3,99%,343,215
scip-inf-4,98%,344,216
scip-inf-6,100%,345,57
scip-vte-1,100%,346,114
scip-vte-2,100%,347,115
ami-1,97%,348,8
amix2,98%,349,217
ami-3,85%,350,218
ami-4,100%,351,11
ami-5,96%,352,62
scip-vte-2,87%,353,219
ami-1,100%,354,116
ami-2,100%,355,117
ami-3,100%,356,42
ami-4,100%,357,11
ami-5,100%,358,44
ami-7a,0%,359,207
ami-8a,empty,360,14
hf-1,90%,361,220
hf-2,100%,362,161
hf-3,85%,363,221
hf-4,100%,364,18
pn-2,91%,365,222
pn-3b,98%,366,223
pn-4,98%,367,224
pn-5c,100%,368,225
pn-6,100%,369,124
pn-7,82%,370,226
scip-card-2,89%,371,189
scip-inf-1,98%,372,190
scip-inf-2,99%,373,74
scip-inf-3,94%,374,75
scip-inf-4,empty,375,4
scip-inf-6,100%,376,57
scip-vte-1,95%,377,77
scip-vte-2,x5%,378,227
ami-1,99%,379,143
ami-2,97%,380,184
ami-3,100%,381,42
ami-4,100%,382,11
ami-5,96%,383,62
ami-7a,empty,384,13
ami-8a,50%,385,228
hf-1,83%,386,229
hf-2,98%,387,119
hf-3,96%,388,230
hf-4,100%,389,18
pn-2,71%,390,231
pn-xb,89%,391,232
ami-2,100%,392,117
ami-3,67%,393,233
ami-4,empty,394,43
ami-5,100%,395,44
ami-7a,empty,396,13
ami-8a,empty,397,14
hx-1,96%,398,234
hf-2,94%,399,235
hf-3,94%,400,162
hf-4,96%,401,236
pn-2,94%,402,237
pn-3b,95%,403,68
pn-4,100%,404,69
pn-5c,x4%,405,238
pn-6,92%,406,51
pn-7,99%,407,214
scip-card-2,100%,408,110
scipxinfx1,90%,409,239
scip-inf-2,90%,410,240
scip-inf-3,1xx%,411,241
scip-vte-1,100%,412,114
scip-vte-2,98%,413,242
ami-1,90%,414,243
ami-2,100%,415,117
ami-3,100%,416,42
ami-4,empty,417,43
ami-5,100%,418,44
ami-7a,empty,419,13
ami-8a,empty,420,14
hf-1,77%,421,244
hf-2,99%,422,16
hf-3,85%,423,221
hf-4,100%,424,18
pn-2,93%,425,26
pn-3b,x7%,426,245
pn-4,100%,427,69
pn-5c,97%,428,137
pn-6,96%,429,246
pn-7,88%,430,71
scip-card-2,82%,431,247
hf-1,91%,432,248
hf-2,98%,433,119
hf-3,100%,434,120
hf-4,100%,435,18
pn-2,97%,436,47
pn-3b,100%,437,122
pn-4,96%,438,249
pn-5c,97%,439,137
pn-6,95%,440,250
pn-7,90%,441,90
scip-card-2,87%,442,251
scip-inf-1,96%,443,54
scip-inf-2,98%,444,34
scip-inf-3,88%,445,35
scip-inf-4,94%,446,252
scip-inf-6,100%,447,57
scip-vte-1,94%,448,253
scip-vte-2,94%,449,193
ami-1,empty,450,170
ami-2,empty,451,171
pn-2,89%,452,254
pn-3b,99%,453,255
pn-4,97%,454,49
pn-5c,98%,455,256
pn-6,86%,456,257
pn-7,82%,457,226
scip-card-2,81%,458,258
scip-inf-1,92%,459,259
scip-inf-2,91%,460,93
scip-inf-3,84%,461,260
scip-inf-4,empty,462,4
scip-inf-6,97%,463,261
sxip-vte-1,85%,464,262
scip-vte-2,79%,465,263
ami-1,100%,466,116
ami-2,100%,467,117
ami-3,empty,468,81
ami-4,100%,469,11
ami-5,83%,470,131
ami-7a,0%,471,207
ami-8a,empty,472,14
hf-1,66%,473,264
hf-2,96%,474,265
hf-3,94%,475,162
hf-4,94%,476,46
pn-2,85%,477,266
pn-3b,94%,478,135
pn-4,87%,479,267
pn-5c,95%,480,107
pn-6,64%,481,268
pn-7,90%,482,90
scip-card-2,100%,483,110
scip-inf-1,94%,484,33
scip-inf-2,96%,485,269
scip-inf-3,85%,486,270
scip-inf-4,empty,487,4
scip-inf-6,1xx%,488,271
scip-vte-1,88%,489,272
scip-vte-2,68%,490,273
ami-1,empty,491,170
ami-2,100%,492,117
ami-3,empty,493,81
ami-4,empty,494,43
ami-x,empty,495,274
ami-7a,empty,496,13
ami-8a,empty,497,14
hf-1,83%,498,229
hf-2,94%,499,235
hf-3,90%,500,45
hf-4,100%,501,18
pn-2,93%,502,26
pn-3b,97%,503,48
pn-4,100%,504,69
pn-5c,89%,505,275
pn-6,93x,506,276
pn-7,81%,507,52
scip-card-2,empty,508,0
scip-inf-1,0%,509,277
scip-inf-2,100%,510,112
scip-inf-3,0%,511,278
scip-inf-4,empty,512,4
scip-inf-6,100%,513,57
scip-vte-1,1xx%,514,279
scip-vte-2,100%,515,115
ami-1,100%,516,116
ami-2,100%,517,117
ami-3,100%,518,42
ami-4,100%,519,11
ami-5,100%,520,44
ami-7a,empty,521,13
ami-8a,96%,522,280
hf-1,100%,523,173
hf-2,100%,524,161
hf-3,100%,525,120
hf-4,100%,526,18
pn-2,94%,527,237
pn-3b,96%,528,148
pn-4,94%,529,136
pn-5c,95%,530,107
pn-6,90%,531,281
pn-7,92%,532,179
scip-card-2,97%,533,282
scip-inf-1,97%,534,152
scip-inf-2,97%,535,283
scip-inf-3,94%,536,75
scip-inf-4,95%,537,284
scip-inf-6,100%,538,57
scip-vte-1,98%,539,285
scip-vte-2,94%,540,193
ami-1,95%,541,286
ami-2,92%,542,9
ami-3,79%,543,287
ami-4,97%,544,288
ami-5,95%,545,157
ami-7a,empty,546,13
ami-8a,40%,547,159
hf-1,45%,548,289
hf-2,90%,549,290
hf-3,85%,550,221
hf-4,99%,551,291
pn-2,85%,552,266
pn-3b,95%,553,68
pn-4,91%,554,292
pn-5c,88%,555,293
pn-6,82%,556,294
pn-7,82%,557,226
scip-card-2,67%,558,126
scip-inf-1,78%,559,295
scip-inf-2,98%,560,34
scip-inf-3,83%,561,296
scip-inf-4,72%,562,297
scip-inf-6,97%,563,261
scip-vte-1,92%,564,298
scip-vte-2,87%,565,219
ami-1,92%,566,299
ami-2,90%,567,300
ami-3,100%,568,42
ami-4,50%,569,301
ami-5,92%,570,302
ami-7a,0%,571,207
ami-8a,empty,572,14
hf-1,54%,573,303
hf-2,99%,574,16
hf-3,96%,575,230
hf-4,97%,576,304
pn-2,80%,577,305
pn-3b,95%,578,68
pn-4,91%,579,292
px-5c,82%,580,306
pn-6,85%,581,307
pn-7,75%,582,308
scip-card-2,32%,583,309
scip-inf-1,100%,584,111
scip-inf-2,93%,585,55
scip-inf-3,79%,586,310
scip-inf-4,empty,587,4
scip-inf-6,96%,588,311
scip-vte-1,88%,589,272
scip-vte-2,82%,590,312
ami-1,empty,591,170
ami-2,empty,592,171
ami-3,empty,593,81
ami-4,empty,594,43
ami-5,empty,595,172
ami-7a,empty,596,13
ami-8a,empty,597,14
hf-1,100%,598,173
hf-2,100%,599,161
hf-3,empty,600,196
hf-4,empty,601,197
pn-2,100%,602,211
pn-3b,100%,603,122
pn-4,100%,604,69
pn-5c,100%,605,225
pn-6,93%,606,138
pn-7,100%,607,313
scip-card-2,empty,608,0
scip-inf-1,empty,609,1
scip-inf-2,empty,610,2
scip-inf-3,empty,611,3
scip-inf-4,empty,612,4
scip-inf-6,empty,613,5
scip-vte-1,empty,614,6
scip-vte-2,empty,615,7
ami-1,98%,616,19
ami-2,97%,617,184
ami-3,93%,618,61
ami-4,100%,619,11
ami-5,98%,620,314
ami-7a,empty,621,13
ami-8a,85%,622,145
hf-1,82%,623,315
hf-2,100%,624,161
hf-3,92%,625,17
hf-4,100%,626,18
pn-2,92%,627,177
pn-3b,91%,628,316
pn-4,100%,629,69
pn-5c,96%,630,50
pn-6,97%,631,317
pn-7,88%,632,71
scip-card-2,98%,633,318
scip-inf-1,99%,634,73
scip-inf-2,99%,635,74
scip-inf-3,97%,636,319
scip-inf-4,98%,637,216
scip-inf-6,100%,638,57
scip-vtx-1,92%,639,320
scip-vte-2,90%,640,183
ami-1,50%,641,321
ami-2,67%,642,322
ami-3,empty,643,81
ami-4,empty,644,43
ami-5,67%,645,323
ami-7a,empty,646,13
ami-8a,empty,647,14
hfx1,0%,648,324
hf-2,38%,649,325
hf-3,25%,650,326
hf-4,100%,651,18
pn-2,25%,652,104
pn-3b,100%,653,122
pn-4,67%,654,327
pn-5c,90%,655,328
pn-6,96%,656,246
pn-7,12%,657,329
scip-card-2,empty,658,0
scip-inf-1,empty,659,1
scip-inf-2,empty,660,2
scip-inf-3,empty,661,3
scip-inf-4,empty,662,4
scip-inf-6,empty,663,5
scip-vte-1,empty,664,6
scip-vte-2,empty,665,7
ami-1,98%,666,19
ami-2,98%,667,330
ami-3,91%,668,144
ami-4,100%,669,11
ami-5,97%,670,185
ami-7a,empty,671,13
ami-8a,98%,672,63
xf-1,46%,673,331
hf-2,96%,674,265
hf-3,94%,675,162
hfx4,100%,676,332
pn-2,74%,677,333
pn-3b,92%,678,334
pn-4,100%,679,69
pn-5c,92%,680,29
pn-6,85%,681,307
pn-7,79%,682,335
scip-card-2,69%,683,336
scip-inf-1,88%,684,92
scip-inf-2,95%,685,337
scip-inf-3,87%,686,338
scip-inf-4,76%,687,339
scip-inf-6,97%,688,261
scip-vte-1,79%,689,340
scip-vte-2,77%,690,341
amix1,77%,691,342
ami-2,100%,692,117
ami-3,100%,693,42
amx-4,empty,694,343
ami-5,75%,695,344
ami-7a,empty,696,13
ami-8a,empty,697,14
hf-1,xx%,698,345
hf-2,100%,699,161
hf-3,100%,700,120
hf-4,100%,701,18
pn-2,87%,702,86
pn-3b,95%,703,68
pn-4,90%,704,346
pn-5c,97%,705,137
pn-6,96%,706,246
pn-7,93%,707,347
scip-card-2,100%,708,110
scip-inf-1,100%,709,111
scip-inf-2,100%,710,112
scip-inf-3,1xx%,711,241
scip-inf-4,empty,712,4
scip-inf-6,100%,713,57
scip-vte-1,88%,714,272
scip-vte-2,88%,715,96
ami-1,100%,716,116
ami-2,100%,717,117
amx-3,x7%,718,348
ami-4,100%,719,11
ami-5,100%,720,44
ami-7a,empty,721,13
ami-8a,empty,722,14
hf-1,99%,723,349
hf-2,100%,724,161
hf-3,97%,725,188
hf-4,100%,726,18
pn-2,100%,727,211
pn-3b,100%,728,122
px-4,100%,729,350
pn-5c,99%,730,163
pn-6,98%,731,351
pn-7,98%,732,164
scip-card-2,99%,733,352
scip-inf-1,99%,734,73
scix-inf-2,98%,735,353
scip-inf-3,98%,736,167
scip-inf-4,empty,737,4
scip-inf-6,100%,738,57
scip-vte-1,95%,739,77
scip-vte-2,95%,740,354
ami-1,100%,741,116
ami-2,60%,742,41
ami-3,100%,743,42
ami-4,empty,744,43
ami-5,100%,745,44
ami-7a,empty,746,13
ami-8a,empty,747,14
hf-1,100%,748,173
hx-2,91%,749,355
hf-3,86%,750,356
hf-4,100%,751,18
pn-2,100%,752,211
pn-3b,89%,753,27
pn-4,100%,754,69
pn-5c,97%,755,137
pn-6,75%,756,357
pn-7,92%,757,179
scip-card-2,89%,758,189
scip-inf-1,97%,759,152
scip-inf-2,88%,760,358
scip-inf-3,99%,761,215
scip-inf-4,empty,762,4
scip-inf-6,100%,763,57
scip-vte-1,80%,764,359
scip-vte-2,80%,765,360
cac-1,100%,766,361
scip-inf-1,99%,767,73
scip-inf-2,93%,768,55
scip-inf-3,x3%,769,362
scip-inf-4,empty,770,4
scip-inf-6,100%,771,57
scip-vte-1,90%,772,182
scip-vte-2,89%,773,363
xax-1,100%,774,364
cac-2,98%,775,365
cac-3,14%,776,366
ami-1,98%,777,19
ami-2,100%,778,117
ami-3,97%,779,367
ami-4,100%,780,11
ami-5,100%,781,44
ami-7a,empty,782,13
ami-8a,82%,783,368
hf-1,72%,784,369
hf-2,95%,785,370
hf-3,98%,786,147
hf-4,100%,787,18
pn-x,96%,788,371
pn-3b,99%,789,255
pn-4,97%,790,49
pn-5c,93%,791,372
pn-6,89%,792,373
pn-7,89%,793,374
scip-card-2,90%,794,375
scip-inf-1,95%,795,376
scip-inf-2,99%,796,74
scip-inf-3,93%,797,94
scip-inf-4,95%,798,284
scip-inf-6,99%,799,377
scip-vte-1,93%,800,378
scip-vte-2,90%,801,183
ami-1,94%,802,379
ami-2,99%,803,20
ami-3,89%,804,380
ami-4,100%,805,11
ami-5,95%,806,157
ami-7a,68%,807,381
ami-8a,83%,808,186
hf-1,47%,809,382
hf-2,100%,810,161
hf-3,93%,811,383
hf-4,100%,812,18
pn-2,96%,813,384
pn-3b,96%,814,148
pn-4,100%,815,69
pn-5c,94%,816,385
pn-6,89%,817,373
pn-7,96%,818,386
scip-card-2,91%,819,91
scip-inf-1,98%,820,190
scip-inf-2,97%,821,283
scip-inf-3,90%,822,387
scip-inf-4,94%,823,252
scip-inf-6,100%,824,57
scip-vte-1,95%,825,77
scip-vte-2,87%,826,219
ami-1,100%,827,116
ami-2,100%,828,117
ami-3,100%,829,42
ami-4,empty,830,43
ami-5,100%,831,44
ami-7a,empty,832,13
ami-8a,empty,833,14
hf-1,84%,834,388
hf-2,89%,835,389
hf-3,75%,836,102
hf-4,100%,837,18
pn-2,89%,838,254
pn-3b,92%,839,334
pn-4,94%,840,136
pn-5c,98%,841,256
pnx6,95%,842,390
pn-7,81%,843,52
scip-card-2,50%,844,391
scip-inf-1,100%,845,111
scip-inf-2,100%,846,112
scip-inf-3,100%,847,113
scip-inf-4,empty,848,4
scip-inf-6,100%,849,57
scip-vte-1,empty,850,6
scip-vte-2,empty,851,7
ami-1,67%,852,392
ami-2,67%,853,322
ami-3,100%,854,42
ami-4,empty,855,43
ami-5,33%,856,393
ami-7a,empty,857,13
ami-8a,empty,858,14
hf-1,74%,859,394
hf-2,80x,860,395
hf-3,78%,861,134
hf-4,80%,862,396
pn-2,96%,863,384
pn-3b,99%,864,255
px-4,90%,865,397
pn-5c,98%,866,256
pn-6,76%,867,398
pn-7,91%,868,210
scip-card-2,67%,869,126
scip-inf-1,80%,870,399
scip-inf-2,87%,871,400
scip-inf-3,87%,872,338
scip-inf-4,empty,873,4
scip-inf-6,100%,874,57
scip-vte-1,100%,875,114
scip-vte-2,100%,876,115
ami-1,100%,877,116
ami-2,100%,878,117
ami-3,0%,879,401
ami-4,100%,880,11
ami-5,82%,881,402
ami-7a,empty,882,13
ami-8a,empty,883,14
hf-1,87%,884,209
hf-2,94%,885,235
hf-3,89%,886,403
hf-4,100%,887,18
pn-2,x5%,888,404
pn-3b,100%,889,122
pn-4,100%,890,69
pn-5c,97%,891,137
pn-6,87%,892,405
pn-7,87%,893,406
scip-card-2,empty,894,0
scip-inf-1,empty,895,1
scip-inf-2,empty,896,2
scip-inf-3,empty,897,3
scip-inf-4,empty,898,4
scip-inf-6,100%,899,57
scip-vte-1,100%,900,114
scip-vte-2,100%,901,115
cac-1,100%,902,361
cac-2,100%,903,204
cac-3,100%,904,407
ami-1,100%,905,116
ami-2,100%,906,117
ami-3,100%,907,42
ami-4,100%,908,11
ami-5,100%,909,44
ami-7a,88%,910,408
ami-8a,100%,911,409
hf-1,100%,912,173
hf-2,100%,913,161
hf-3,100%,914,120
hf-4,100%,915,18
pn-2,99%,916,410
pn-3b,97%,917,48
pn-4,100%,918,69
pn-5c,87%,919,411
pn-6,76%,920,398
pn-7,99%,921,214
scip-card-2,95%,922,412
scip-inf-1,95%,923,376
scip-inf-2,95%,924,337
scip-inf-3,79%,925,310
scip-inf-4,76%,926,339
scip-inf-6,100%,927,57
scip-vte-1,91%,928,413
scip-vte-2,84%,929,142
amix1,53%,930,414
ami-2,50%,931,80
ami-3,100%,932,42
ami-4,33%,933,415
ami-5,60%,934,416
ami-7a,empty,935,13
ami-8a,empty,936,14
hf-1,53%,937,417
hf-2,63%,938,418
hf-3,67%,939,419
hf-4,75%,940,420
pn-2,90%,941,67
pn-3b,50%,942,421
pn-4,80%,943,422
pn-5c,97%,944,137
pn-6,50%,945,423
pn-7,65%,946,424
scip-card-2,empty,947,0
scip-inf-1,empty,948,1
scip-inf-2,empty,949,2
scip-inf-3,empty,950,3
scip-inf-4,empty,951,4
scip-inf-6,empty,952,5
scip-vte-1,empty,953,6
scip-vte-2,empty,954,7
ami-1,100%,955,116
ami-2,100%,956,117
ami-3,empty,957,81
ami-4,empty,958,43
ami-5,100%,959,44
ami-7a,empty,960,13
ami-8a,empty,961,14
hf-1,96%,962,425
hf-2,99%,963,16
hf-3,100%,964,120
hf-4,100%,965,18
pn-2,100%,966,211
pn-3b,98%,967,223
pn-4,100%,968,69
pn-5c,99%,969,163
pn-6,99%,970,213
pn-7,100%,971,313
scip-card-2,100%,972,110
scip-inf-1,99%,973,73
scip-inf-2,100%,974,112
scip-inf-3,100%,975,113
scip-inf-4,empty,976,4
scip-inf-6,100%,977,57
scip-vte-1,100%,978,114
scip-vte-2,100%,979,115
ami-1,100%,980,116
ami-2,100%,981,117
ami-3,100%,982,42
ami-4,empty,983,43
ami-5,100%,984,44
ami-7a,empty,985,13
ami-8a,empty,986,14
hf-1,50%,987,426
hf-2,85%,988,427
hf-3,100%,989,120
hf-4,43%,990,428
pn-2,74%,991,333
pn-3b,83%,992,429
pn-4,83%,993,430
pn-5c,98%,994,256
pn-6,77%,995,431
pn-7,64%,996,432
scip-card-2,25%,997,433
scip-inf-1,64%,998,434
scip-inf-2,88%,999,358
