Director,original_index,unique_index
George Archainbaud,73,64
Richard Thorpe,74,65
J. Walter Ruben,75,66
Walter Lang,76,67
Arthur Lubin,77,68
Jean Yarbrough,78,69
Charles Lamont,79,70
Harry A. Pollard,80,71
J. Lee Thompson,81,72
Michael Anderson,82,73
Franklin J. Schaffner,83,74
James Ivory,84,75
Sydney Pollack,85,76
Martin Ritt,86,58
Preston Sturges,87,77
Cecil B. DeMille,88,78
Michael Curtiz,89,29
"Henry King,Otto Brower",90,79
Frank Capra,91,80
Frank Capra,92,80
Frank Capra,93,80
Frank Capra,94,80
Nick Grinde,95,81
Alfred E. Green,96,60
Mervyn LeRoy,97,82
William A. Wellman,98,83
William A. Wellman,99,83
Michael Curtiz,100,29
W.S. Van Dyke,101,84
Jack Conway,102,85
William K. Howard,103,86
W.S. Van Dyke,104,84
Menahem Golan,105,87
Cal Brunker,106,88
Richard Donner,107,54
Steven Soderbergh,108,89
John Dahl,109,90
"Joel Coen,Ethan Coen",110,91
Les Mayfield,111,92
Irving Rapper,112,93
Otto Preminger,113,94
Alex Kendrick,114,95
Douglas Aarniokoski,115,96
John Ford,116,97
William Wyler,117,28
Franklin J. Schaffner,118,74
Boris Sagal,119,98
Douglas Trumbull,120,99
John Badham,121,100
Fede Alvarez,122,101
Darren Lynn Bousman,123,102
James Wong,124,103
David R. Ellis,125,104
Ken Wiederhorn,126,105
Fred Dekker,127,106
Stuart Gordon,128,107
Mike Flanagan,129,108
Christopher Nolan,130,109
David Lynch,131,32
Jonathan Liebesman,132,110
Michael Simmons,133,111
"Bobby Farrelly,Peter Farrelly",134,112
Desmond Davis,135,113
Roy Ward Baker,136,114
Terence Fisher,137,115
Tod Browning,138,116
"Merian C. Cooper,Ernest B. Schoedsack",139,117
Morgan Spurlock,140,118
Tim Burton,141,119
Alfonso Cuarón,142,120
"Andrew Adamson,Vicky Jenson",143,121
"Roger Allers,Rob Minkoff",144,122
"Gary Trousdale,Kirk Wise",145,123
"Chris Buck,Kevin Lima",146,124
Mark Dindal,147,125
"Aaron Blaise,Robert Walker",148,126
"Bibo Bergeron,Don Paul",149,127
"Bibo Bergeron,Vicky Jenson",150,128
"George Miller,Warren Coleman",151,129
Gore Verbinski,152,130
"Phil Lord,Christopher Miller",153,131
"Eric Darnell,Tom McGrath",154,132
"Jerome Robbins,Robert Wise",155,133
Paul Mazursky,156,134
Alan J. Pakula,157,135
Michael Ritchie,158,136
Robert Aldrich,159,137
"Warren Beatty,Buck Henry",160,138
Barry Levinson,161,139
Danny DeVito,162,140
Sean Penn,163,141
Charles Shyer,164,142
Mick Jackson,165,143
Arthur Hiller,166,144
Herbert Ross,167,145
"Norman McLeod,Norman Z. McLeod",168,146
Ray Enright,169,147
William A. Seiter,170,148
"William A. Wellman,John Wayne",171,149
Edward Ludwig,172,150
"John Ford,Robert Montgomery",173,151
John Ford,174,97
Don Siegel,175,152
Henry Hathaway,176,153
Henry Hathaway,177,153
John Ford,178,97
Howard Hawks,179,154
Peter Weir,180,155
Katherine Brooks,181,156
Maria Maggenti,182,157
"Peter Hewitt (I),Peter Hewitt",183,158
Ken Kwapis,184,159
"James Franco,Travis Mathews",185,160
James Foley,186,161
Susan Seidelman,187,162
Jordan Mohr,188,163
Vincente Minnelli,189,164
Guy Ritchie,190,165
Bryan Johnson,191,166
Steve Stark,192,167
Kevin Smith,193,168
Kevin Smith,194,168
Kevin Smith,195,168
"Kenneth Kit Lamug,Thomas J. Vosicky",196,169
Kristin Hanggi,197,170
Robert Clouse,198,171
Rick Rosenthal,199,172
Michael Chapman,200,173
Ron Howard,201,174
Joel Schumacher,202,175
Joseph Ruben,203,176
Ryan Murphy,204,177
Tom Hanks,205,178
Tony Gilroy,206,179
Tom Tykwer,207,180
Spike Lee,208,181
John Flynn,209,182
Don Siegel,210,152
Ronald Neame,211,183
Tony Scott,212,25
Barry Shear,213,184
Tony Scott,214,25
Denis Villeneuve,215,185
Darren Aronofsky,216,31
Judd Apatow,217,186
William A. Fraker,218,187
Sam Peckinpah,219,188
Monte Hellman,220,189
"Arthur J. Beckhard,Joseph Lee",221,190
Ralph Nelson,222,191
Norman Jewison,223,192
Lee H. Katzin,224,193
John Frankenheimer,225,194
"John Frankenheimer,Arthur Penn",226,195
John Frankenheimer,227,194
Sydney Pollack,228,76
Robert Aldrich,229,137
Roy Huggins,230,196
André De Toth,231,197
Tay Garnett,232,198
Frank Perry,233,199
William Castle,234,200
Frank Capra,235,80
James Cruze,236,201
Maya Forbes,237,202
Josh Trank,238,203
Bernard Rose,239,204
David O. Russell,240,205
Ben Affleck,241,206
"Bobby Farrelly,Peter Farrelly",242,112
David Cronenberg,243,207
M. Night Shyamalan,244,208
Steven Soderbergh,245,89
Richard Donner,246,54
Danny Boyle,247,209
Richard Donner,248,54
"Bobby Farrelly,Peter Farrelly",249,112
Anthony Minghella,250,210
Rob Marshall,251,211
Jesús Franco,252,212
"John English,William Witney",253,213
Fred C. Brannon,254,214
Edgar G. Ulmer,255,215
Mikael Håfström,256,216
Sylvester Stallone,257,217
Ted Kotcheff,258,218
James Mangold,259,46
Gillian Armstrong,260,219
Simon Fellows,261,220
Philip Kaufman,262,221
Kathryn Bigelow,263,222
"John Berardo,Jessica Kaye",264,223
Martin Owen,265,224
Eric Hendershot,266,225
Tom Hooper,267,226
Matt Reeves,268,227
Pat O'Connor,269,228
"Clarence Brown,Maurice Tourneur",270,229
W.S. Van Dyke,271,84
George B. Seitz,272,230
Brian James O'Connell,273,231
Lloyd Bacon,274,232
George B. Seitz,275,230
George Sherman,276,233
Anthony DiBlasi,277,234
Jamie Babbit,278,235
Martin Scorsese,279,236
Martin Scorsese,280,236
Martin Scorsese,281,236
Martin Scorsese,282,236
Martin Scorsese,283,236
Martin Scorsese,284,236
Alex Holdridge,285,237
Stephen Frears,286,238
Martin Scorsese,287,236
Rob Reiner,288,239
Ridley Scott,289,240
Timur Bekmambetov,290,241
Robert Zemeckis,291,242
Randall Wallace,292,243
Jake Kasdan,293,244
Quentin Tarantino,294,245
"Frank Miller,Robert Rodriguez",295,246
M. Night Shyamalan,296,208
Kevin Reynolds,297,247
Adam Shankman,298,248
Robert Luketic,299,249
Anne Fletcher,300,250
Joe Nussbaum,301,251
Mark Waters,302,252
Garry Marshall,303,253
Adam Brooks,304,254
Billy Wilder,305,255
"Stanley Donen,Gene Kelly",306,256
John McTiernan,307,257
John Moore,308,258
Stephen Sommers,309,14
Michael Bay,310,259
Jon Favreau,311,260
"Anthony Russo,Joe Russo",312,261
Marc Webb,313,262
Roland Emmerich,314,263
Joan Chen,315,264
L. Gustavo Cooper,316,265
Peter Chelsom,317,266
"Buddy Cooper,John Douglass",318,267
"Stephen Carpenter,Jeffrey Obrow",319,268
Roger Spottiswoode,320,269
Charles E. Sellier Jr.,321,270
Juan Piquer Simón,322,271
Phil Joanou,323,272
George C. Wolfe,324,273
Danny DeVito,325,140
Robert Zemeckis,326,242
Ridley Scott,327,240
Thom Andersen,328,274
Ridley Scott,329,240
Ridley Scott,330,240
Ridley Scott,331,240
Ridley Scott,332,240
Brian Gibson,333,275
Jon Avnet,334,276
Clark Johnson,335,277
Harald Zwart,336,278
George Clooney,337,279
J.C. Chandor,338,280
Alex Gibney,339,281
Ethan Wiley,340,282
Mark Pavia,341,283
Tobe Hooper,342,53
Guillermo del Toro,343,284
Iain Softley,344,285
Charles Ferguson,345,286
J.C. Chandor,346,280
Mark Steven Johnson,347,287
Derek Cianfrance,348,288
John Hillcoat,349,289
Derick Martini,350,290
Stephen Gaghan,351,291
George Nolfi,352,292
Steven Soderbergh,353,89
Steven Soderbergh,354,89
Clint Eastwood,355,293
Clint Eastwood,356,293
Wes Craven,357,294
Kiff Scholl,358,295
Gregory Hatanaka,359,296
Jaume Collet-Serra,360,297
James Mangold,361,46
Mimi Leder,362,298
John Waters,363,299
Douglas Sirk,364,300
Gus Van Sant,365,301
Douglas Sirk,366,300
Douglas Sirk,367,300
Vincente Minnelli,368,164
Douglas Sirk,369,300
Douglas Sirk,370,300
Douglas Sirk,371,300
Douglas Sirk,372,300
Nicholas Ray,373,302
Douglas Sirk,374,300
Lawrence Kasdan,375,303
Zalman King,376,304
Anne Goursaud,377,305
Andrew Fleming,378,306
Jim Gillespie,379,307
Roger Kumble,380,308
Jay Lowi,381,309
Wes Craven,382,294
David Di Sabatino,383,310
"Tim Gagliardo,Donavon Warren",384,311
Kevin Swigert,385,312
Richard Gray,386,313
Luis Llosa,387,314
Gabriel Cowan,388,315
Shane Ryan,389,316
Kamal Ahmed,390,317
Jeremiah S. Chechik,391,318
Javier Elorrieta,392,319
Jeffrey Schwarz,393,320
Steve Rash,394,7
Chris Columbus,395,321
Chris Columbus,396,321
David Seltzer,397,322
Greg Beeman,398,323
Howard Deutch,399,324
Howard Deutch,400,324
John Hughes,401,325
Joe Dante,402,52
Stephen Herek,403,326
Michael Gottlieb,404,327
Scott Coffey,405,328
Tom Gormican,406,329
Greg Mottola,407,330
Ruben Fleischer,408,331
Greg Mottola,409,330
Ben Stiller,410,332
Adam McKay,411,333
Jay Roach,412,334
Kent Alterman,413,335
"Bobby Farrelly,Peter Farrelly",414,112
Tom Shadyac,415,336
Milos Forman,416,337
Brett Ratner,417,338
"Albert Hughes,Allen Hughes",418,339
Terry Gilliam,419,340
Bruce Robinson,420,341
Robert Schwentke,421,342
Tommy Wirkola,422,343
Peter Berg,423,344
Jon Favreau,424,260
Michael Bay,425,259
Tony Scott,426,25
Nick Cassavetes,427,345
Sidney Lumet,428,346
Guy Ritchie,429,165
Barry Sonnenfeld,430,347
Joseph M. Newman,431,348
Edward L. Cahn,432,349
Herbert L. Strock,433,350
"Lucien Hubbard,Benjamin Christensen",434,351
Victor Halperin,435,352
Terry Hughes,436,353
Paul Verhoeven,437,11
Joseph G. Quinn,438,354
Jesse Hibbs,439,355
Victor Fleming,440,59
James W. Horne,441,356
William A. Seiter,442,148
Steven Soderbergh,443,89
"Lionel Barrymore,Hal Roach",444,357
William K. Howard,445,86
Mervyn LeRoy,446,82
Mervyn LeRoy,447,82
Lloyd Bacon,448,232
William Keighley,449,358
Henry Koster,450,359
"Ronald Neame,Cliff Owen",451,360
Abraham Polonsky,452,361
Sydney Pollack,453,76
Gene Saks,454,362
Gene Saks,455,362
Howard Deutch,456,324
James Franco,457,363
Alexander Hall,458,364
Josh Evans,459,365
Steven Soderbergh,460,89
Spike Lee,461,181
"William Dieterle,George Cukor",462,366
Fielder Cook,463,367
Don Chaffey,464,368
Jessie Nelson,465,369
David Lynch,466,32
Richard Thorpe,467,65
David DeCoteau,468,370
Silvia St. Croix,469,371
Charles Band,470,372
Charles Band,471,372
Spike Lee,472,181
Russ Meyer,473,373
Gorman Bechard,474,374
Carol Frank,475,375
Michael A. Simpson,476,376
Dave Campfield,477,377
Dennis Devine,478,378
Dennis Devine,479,378
Charles Webb,480,379
John Curran,481,380
Philippe Blot,482,381
Spike Lee,483,181
Spike Lee,484,181
Spike Jonze,485,382
Alfred Hitchcock,486,0
Alfred Hitchcock,487,0
Oliver Stone,488,383
Gilles Paquet-Brenner,489,384
Tarsem Singh,490,385
"John Francis Daley,Jonathan M. Goldstein",491,386
Jake Schreier,492,387
Tony McNamara,493,388
"Shari Springer Berman,Robert Pulcini",494,389
"Rachel Davis,Mora Stephens",495,390
Harold F. Kress,496,391
Chad Burns,497,392
Kevin Carraway,498,393
Ryan Little,499,394
Marielle Heller,500,395
"Fax Bahr,George Hickenlooper",501,396
Wes Craven,502,294
Alfred Hitchcock,503,0
Mark L. Lester,504,397
Ken Wiederhorn,505,105
Richard Thorpe,506,65
Jon Turteltaub,507,398
Michael Mann,508,399
Stanley Kubrick,509,30
John Milius,510,400
Roger Spottiswoode,511,269
David Yarovesky,512,401
Tony Richardson,513,402
Brice Mack,514,403
Brian De Palma,515,404
Kevin Connor,516,405
Bob Kelljan,517,406
Edward D. Murphy,518,407
Ron Howard,519,174
George Stevens,520,408
John G. Adolfi,521,409
Darren Aronofsky,522,31
James Ivory,523,75
Michael Curtiz,524,29
Archie Mayo,525,410
William Dieterle,526,411
Terry Zwigoff,527,412
"Joel Coen,Ethan Coen",528,91
Steven Spielberg,529,413
Robert Aldrich,530,137
"Clyde Bruckman,Buster Keaton",531,414
James Wan,532,415
Steve Miner,533,416
Ridley Scott,534,240
Billy Kent,535,417
Tom McCarthy,536,418
George Clooney,537,279
Todd Field,538,419
"Patrick Gilmore,Tim Johnson",539,420
"Eric Darnell,Tom McGrath",540,132
Edward Ludwig,541,150
"Michael Curtiz,John Wayne",542,421
Andrew V. McLaglen,543,422
Alexander Payne,544,423
Terry Zwigoff,545,412
Barry Sonnenfeld,546,347
David Seltzer,547,322
Michael Caton-Jones,548,424
"Jesse Baget,Elias Benavidez",549,425
Rick Rosenthal,550,172
Tom Gries,551,426
Sam Peckinpah,552,188
Monte Hellman,553,189
Irvin Berwick,554,427
Felix E. Feist,555,428
Tim Hill,556,429
Brian Henson,557,430
Brian Henson,558,430
Frank Oz,559,431
James Frawley,560,432
Neil Young,561,433
"Paul Crowder,Murray Lerner",562,434
Clint Eastwood,563,293
Joseph B. Vasquez,564,435
Paul Tanter,565,436
Franco Zeffirelli,566,437
Curtis Hanson,567,438
Mick Jackson,568,143
Luis Mandoki,569,439
Michael Sucsy,570,440
Andy Fickman,571,441
Ken Kwapis,572,159
Bryan Singer,573,442
Stuart Gordon,574,107
Neil Jordan,575,443
Larry Cohen,576,444
Walter Hill,577,445
Howard Deutch,578,324
Edward Zwick,579,24
Jonathan Lynn,580,446
Rowdy Herrington,581,447
Tony Scott,582,25
Shane Black,583,448
F. Gary Gray,584,449
Michelangelo Antonioni,585,450
Marc Forster,586,451
Nicolas Winding Refn,587,452
Martin B. Cohen,588,453
Hal Ashby,589,454
Bob Rafelson,590,455
Mike Nichols,591,456
Martha Coolidge,592,457
Jack Nicholson,593,458
Gore Verbinski,594,130
Daniel Espinosa,595,459
Sidney Lumet,596,346
James Foley,597,161
David Fincher,598,460
Duncan Jones,599,461
Barry Sonnenfeld,600,347
"Douglas Hickox,Eugène Lourié",601,462
Sherman A. Rose,602,463
Byron Haskin,603,464
George Sherman,604,233
Robert Parrish,605,465
Stuart Gilmore,606,466
"George Marshall,Ray McCarey",607,467
Bob Rafelson,608,455
Michael Curtiz,609,29
Henry Koster,610,359
Jack Smight,611,468
Jason Connell,612,469
Mike Nichols,613,456
Jack Nicholson,614,458
Ken Dixon,615,470
David Keith,616,471
Henry Jaglom,617,472
Bob Rafelson,618,455
"Mike Justice,Stephen Kitaen",619,473
Nancy Meyers,620,474
Robert Zemeckis,621,242
Alfred Hitchcock,622,0
Alfred Hitchcock,623,0
F. Gary Gray,624,449
Zalman King,625,304
Zalman King,626,304
Michael Cristofer,627,475
Alex Proyas,628,476
"Andrew Stanton,Lee Unkrich",629,477
Werner Herzog,630,19
Stephen Sommers,631,14
Matthew Ogens,632,478
Matt Mahurin,633,479
Danny DeVito,634,140
Fred Zinnemann,635,480
Barbra Streisand,636,481
Stanley Kubrick,637,30
"Dan Klores,Fisher Stevens",638,482
Errol Morris,639,483
Daniel Taradash,640,484
Elia Kazan,641,485
Alexander Mackendrick,642,486
Frank Capra,643,80
Steve Miner,644,416
Anne Goursaud,645,305
Ralph Arlyck,646,487
Joe Johnston,647,488
Randal Kleiser,648,489
Joe Pytka,649,490
Cecil B. DeMille,650,78
"Christophe Gans,Shûsuke Kaneko",651,491
Dan O'Bannon,652,492
David Fincher,653,460
Alexandra Codina,654,493
Claes Lilja,655,494
John Orrichio,656,495
Morgan Spurlock,657,118
"Ron Clements,John Musker",658,496
Bruce Beresford,659,497
Bob Rafelson,660,455
Nancy Meyers,661,474
Ron Howard,662,174
"Howard Hawks,Arthur Rosson",663,498
"Tyler Measom,Jennilyn Merten",664,499
Jeff Malmberg,665,500
John Waters,666,299
Tom Dey,667,501
John Waters,668,299
Neil Jordan,669,443
Steven Soderbergh,670,89
Taylor Hackford,671,502
John Waters,672,299
Budd Boetticher,673,503
Joseph H. Lewis,674,504
John Waters,675,299
Robert Aldrich,676,137
Michael Curtiz,677,29
John Waters,678,299
Wendy Apple,679,505
"Ted Demme,Richard LaGravenese",680,506
David Strohmaier,681,507
Wim Wenders,682,508
Fred C. Brannon,683,214
Rob Cohen,684,509
Delmer Daves,685,510
Kirby Dick,686,511
"Ian Roumain,Michael Schwartz",687,512
Erik Sharkey,688,513
"Dwight H. Little,Mark Cullingham",689,514
David Gregory,690,515
David R. Ellis,691,104
Michael Stephenson,692,516
Oliver Stone,693,383
Antoine Fuqua,694,517
Ash Baron-Cohen,695,518
"Glenn Durfort,Colin Teague",696,519
Tony Scott,697,25
Steven Spielberg,698,413
Steven Spielberg,699,413
"Andy Cadiff,Shelly Ziegler",700,520
Martha Coolidge,701,457
Bryan Singer,702,442
"Tyler Measom,Justin Weinstein",703,521
Albert Band,704,522
Phillip J. Roth,705,523
"Enzo G. Castellari,Luigi Cozzi",706,524
Michael Mayer,707,525
"Seth Kramer,Daniel A. Miller",708,526
Anthony Hickox,709,527
Anthony Hickox,710,527
"W.S. Van Dyke,Julien Duvivier",711,528
Rob Zombie,712,529
Amos Kollek,713,530
Roger Holzberg,714,531
Martin Bell,715,532
Shawn Holmes,716,533
John Michael Williams,717,534
"Todd Burrows,Christopher Folino",718,535
Yuri Shapochka,719,536
Kevin Derek,720,537
Jay Summers,721,538
W. Scott Peake,722,539
Philip Haas,723,540
Josh Boone,724,541
James Ponsoldt,725,542
Nicholas Stoller,726,543
Todd Phillips,727,544
Todd Phillips,728,544
Ben Stiller,729,332
Milos Forman,730,337
Ridley Scott,731,240
Ted Demme,732,545
Jonathan Liebesman,733,110
J.J. Abrams,734,546
Christopher Nolan,735,109
Jack Arnold,736,547
Kurt Neumann,737,548
Fred F. Sears,738,549
Sidney Lanfield,739,550
Anthony Mann,740,551
Anthony Mann,741,551
Jacques Tourneur,742,552
Byron Haskin,743,464
Charles Marquis Warren,744,553
Dan Pascoe,745,554
Herb Gardner,746,555
Aaron Godfred,747,556
Ken Dixon,748,470
David DeCoteau,749,370
Charles Band,750,372
Chris Walas,751,557
Jim Markovic,752,558
Matthew Reel,753,559
Albert Magnoli,754,560
Fraser Clarke Heston,755,561
Werner Herzog,756,19
Boris Sagal,757,98
David Lynch,758,32
Azazel Jacobs,759,562
Charles Barton,760,563
Becky Smith,761,564
John Huston,762,565
Bruce Beresford,763,497
Nancy Meyers,764,474
Vincent Pereira,765,566
Brett Ratner,766,338
"Ian Stout,Robin Vada",767,567
Joel Schumacher,768,175
Budd Boetticher,769,503
Edwin L. Marin,770,568
Rebecca Thomas,771,569
"Andrey Konchalovskiy,Albert Magnoli",772,570
Miranda July,773,571
Adam Shankman,774,248
Steven Richter,775,572
York Alec Shackleton,776,573
Gene Fallaize,777,574
Bruce Campbell,778,575
Joe Carnahan,779,576
Peter Billingsley,780,577
Nathan Juran,781,578
Fred M. Wilcox,782,579
Rosemary Rodriguez,783,580
Sophie Barthes,784,581
Mike Judge,785,582
Genndy Tartakovsky,786,583
Bob Clark,787,584
Sara Hirsh Bordo,788,585
David Dobkin,789,586
Peter Ramsey,790,587
Will Gluck,791,588
Bob Clark,792,584
Joe Wright,793,589
Sean McNamara,794,590
Genndy Tartakovsky,795,583
"Bobby Farrelly,Peter Farrelly",796,112
Jason Bateman,797,591
Lawrence Guterman,798,592
Richard Gabai,799,593
"Josh Gordon,Will Speck",800,594
Bill Couturié,801,595
John Schultz,802,596
Alan Berg,803,597
"Kyle Tekiela,Rebecca Schaper",804,598
Mark Brian Smith,805,599
"Mark Helenowski,Kevin Pang",806,600
Shawn Levy,807,601
Steve Martino,808,602
Alexandra Anthony,809,603
Dana Nachman,810,604
Paul Tibbitt,811,605
"Graham Annable,Anthony Stacchi",812,606
"Steve Box,Nick Park",813,607
"Eric Darnell,Simon J. Smith",814,608
Tim Johnson,815,609
"Kyle Balda,Pierre Coffin",816,610
Nicholas Stoller,817,543
"Peter Lord,Nick Park",818,611
"Kris Pearn,Cody Cameron",819,612
"Kirk De Micco,Chris Sanders",820,613
Jennifer Yuh,821,614
J.J. Abrams,822,546
"Mark Andrews,Brenda Chapman",823,615
Carlos Saldanha,824,616
David Soren,825,617
Chris Wedge,826,618
"Byron Howard,Chris Williams",827,619
"Steve Martino,Mike Thurmeier",828,620
Tom McGrath,829,621
Kenneth Branagh,830,622
Oliver Stone,831,383
John Huston,832,565
Miguel Arteta,833,623
Shawn Levy,834,601
Mike Mitchell,835,624
Jay Roach,836,334
"Ishi Rudell,Jayson Thiessen",837,625
Jody Hill,838,626
P.J. Hogan,839,627
Michael Lembeck,840,628
Brad Bird,841,629
Usama Alshaibi,842,630
"Nathan Greno,Byron Howard",843,631
"Pierre Coffin,Chris Renaud",844,16
"Chris Buck,Jennifer Lee",845,632
Rich Moore,846,633
Mike Judge,847,582
Henry Selick,848,634
Nicholas Webster,849,635
Chuck Russell,850,636
John Murlowski,851,637
Don Bluth,852,638
Sean McNamara,853,590
Sean McNamara,854,590
Eric Brevig,855,639
James Merendino,856,640
"Robert Machoian,Rodrigo Ojeda-Beck",857,641
"Ricki Stern,Anne Sundberg",858,642
"David Osit,Malika Zouhali-Worrall",859,643
"Samantha Futerman,Ryan Miyamoto",860,644
Robin Hauser Reynolds,861,645
Lizzie Borden,862,646
Dereck Joubert,863,647
Rob Stewart,864,648
"Chris Hegedus,D.A. Pennebaker",865,649
David Kennard,866,650
Paul Rachman,867,651
Walt Becker,868,652
"Byron Howard,Rich Moore",869,653
James Westby,870,654
Bill Melendez,871,655
"Chris Renaud,Yarrow Cheney",872,656
"Andrew Stanton,Angus MacLane",873,657
"Alessandro Carloni,Jennifer Yuh",874,658
James Bobin,875,659
Trey Edward Shults,876,660
"Pete Docter,Ronnie Del Carmen",877,661
Lou Howe,878,662
Boaz Yakin,879,663
James Westby,880,654
"Don Hall,Chris Williams",881,664
"Stephen Hillenburg,Mark Osborne",882,665
"Rob Letterman,Conrad Vernon",883,666
Carlos Saldanha,884,616
Jorge R. Gutierrez,885,667
Rob Minkoff,886,668
Tim Burton,887,119
"Chris Butler,Sam Fell",888,669
"Chris Wedge,Carlos Saldanha",889,670
Christian Duguay,890,671
"David Bowers,Sam Fell",891,672
"Eric Darnell,Tim Johnson",892,673
"Tim Johnson,Karey Kirkpatrick",893,674
"John Lasseter,Andrew Stanton",894,675
"Eric Darnell,Tom McGrath",895,132
Dean DeBlois,896,676
Robert Zemeckis,897,242
"Pete Docter,David Silverman",898,677
"Phil Lord,Christopher Miller",899,131
"Pete Docter,Bob Peterson",900,678
Andrew Stanton,901,679
J. Lee Thompson,902,72
"Dean DeBlois,Chris Sanders",903,680
Billy Wilder,904,255
"Carlos Saldanha,Mike Thurmeier",905,681
"Mark Osborne,John Stevenson",906,682
"Chris Miller,Raman Hui",907,683
"Andrew Adamson,Kelly Asbury",908,684
Carlos Saldanha,909,616
"Chris Wedge,Carlos Saldanha",910,670
Mike Mitchell,911,624
Shane Black,912,448
Guillermo del Toro,913,284
James Cameron,914,685
Neill Blomkamp,915,686
Zack Snyder,916,47
Jon Favreau,917,260
Rupert Wyatt,918,687
J.J. Abrams,919,546
Roland Emmerich,920,263
Matthew Vaughn,921,688
"Brad Bird,Jan Pinkava",922,689
Brad Bird,923,629
"John Lasseter,Brad Lewis",924,690
Klay Hall,925,691
"John Lasseter,Joe Ranft",926,692
Richard Marquand,927,693
Woody Allen,928,694
Kevin Lima,929,695
Robert Stromberg,930,696
Michael Mann,931,399
Oliver Stone,932,383
Roger Donaldson,933,697
Oliver Stone,934,383
Oliver Stone,935,383
D.J. Caruso,936,45
Peter Berg,937,344
Harold Becker,938,698
Brian De Palma,939,404
Taylor Hackford,940,502
Howard Deutch,941,324
Jon Avnet,942,276
Robert Wise,943,699
Woody Allen,944,694
Mel Stuart,945,700
Wolfgang Reitherman,946,701
Robert Stevenson,947,702
Nancy Meyers,948,474
Woody Allen,949,694
Charles Martin Smith,950,703
Shawn Levy,951,601
Woody Allen,952,694
Peter Hedges,953,704
Andrew Adamson,954,705
Chris Columbus,955,321
Shawn Levy,956,601
Louie Psihoyos,957,706
Tim Burton,958,119
Chris Columbus,959,321
Chris Columbus,960,321
Joe Johnston,961,488
Raja Gosnell,962,707
Raja Gosnell,963,707
Kelly Asbury,964,708
Rob Minkoff,965,668
Tim Hill,966,429
Betty Thomas,967,709
Tim Hill,968,429
Tim Hill,969,429
Rob Minkoff,970,668
Peter Hewitt,971,710
Stephen Surjik,972,711
Trey Parker,973,712
Woody Allen,974,694
Ben Stiller,975,332
Tom Shadyac,976,336
Jay Roach,977,334
Penelope Spheeris,978,713
Trey Parker,979,712
Steve Oedekerk,980,714
David Silverman,981,715
Jay Roach,982,334
Larry Charles,983,716
Jay Roach,984,334
"Jayson Thiessen,Ishi Rudell",985,717
"Jayson Thiessen,Noelle Benvenuti",986,718
Jayson Thiessen,987,719
Woody Allen,988,694
Woody Allen,989,694
"Ash Brannon,Chris Buck",990,720
Woody Allen,991,694
Woody Allen,992,694
Woody Allen,993,694
Brad Silberling,994,721
Steven Spielberg,995,413
Mark Waters,996,252
"Don Bluth,Gary Goldman",997,722
Kirk Jones,998,723
Garry Marshall,999,253
Matthew Vaughn,1000,688
Tommy O'Haver,1001,724
"Clyde Geronimi,Wilfred Jackson",1002,725
Adam Shankman,1003,248
Brad Peyton,1004,726
Mark Waters,1005,252
Shawn Levy,1006,601
Eric Brevig,1007,639
"Jorge Blanco,Javier Abad",1008,727
Brian Levant,1009,728
Andy Fickman,1010,441
Andy Fickman,1011,441
Adam Shankman,1012,248
Andrew Adamson,1013,705
John Lasseter,1014,729
James Cameron,1015,685
Irvin Kershner,1016,730
"Mike Gabriel,Eric Goldberg",1017,731
