style,brewery-id,original_index,unique_index
Oatmeal Stout,171,113,78
Winter Warmer,171,114,83
American IPA,171,115,80
American Amber / Red Ale,171,116,81
Cream Ale,171,117,79
American Pale Ale (APA),171,118,76
American IPA,146,119,84
American Pale Ale (APA),542,120,85
Oatmeal Stout,542,121,86
Cider,434,122,87
Cider,434,123,87
Cider,434,124,87
Belgian Pale Ale,193,125,88
Witbier,193,126,89
American Stout,193,127,90
American IPA,69,128,91
American Blonde Ale,69,129,92
American Porter,69,130,93
American Pale Ale (APA),541,131,94
American Pale Wheat Ale,541,132,95
American Pale Ale (APA),513,133,96
American Double / Imperial Stout,426,134,97
Saison / Farmhouse Ale,426,135,98
Gose,461,136,99
American IPA,429,137,100
Kölsch,528,138,101
American Porter,528,139,102
American IPA,528,140,103
Kölsch,353,141,104
American IPA,353,142,105
American Amber / Red Ale,353,143,106
American Blonde Ale,523,144,107
American IPA,523,145,108
American Stout,374,146,109
American Double / Imperial IPA,374,147,110
American Porter,374,148,111
American Amber / Red Ale,374,149,112
American Double / Imperial IPA,72,150,113
American Porter,72,151,114
Fruit / Vegetable Beer,72,152,115
American Blonde Ale,72,153,116
American IPA,72,154,117
Munich Helles Lager,72,155,118
American Black Ale,413,156,119
American IPA,413,157,120
American Pale Ale (APA),413,158,121
German Pilsener,413,159,122
Schwarzbier,413,160,123
American Double / Imperial IPA,37,161,124
Saison / Farmhouse Ale,37,162,125
German Pilsener,37,163,126
Witbier,37,164,127
American IPA,37,165,128
American Brown Ale,37,166,129
Pumpkin Ale,360,167,130
Märzen / Oktoberfest,360,168,131
American Pale Wheat Ale,360,169,132
American IPA,360,170,133
Tripel,360,171,134
American Amber / Red Ale,360,172,135
American Double / Imperial IPA,235,173,136
American Porter,235,174,137
American Blonde Ale,235,175,138
American IPA,235,176,139
American Amber / Red Ale,235,177,140
English Brown Ale,286,178,141
American Pale Ale (APA),286,179,142
American IPA,483,180,143
American Pale Ale (APA),483,181,144
American IPA,34,182,145
American IPA,34,183,145
Kölsch,34,184,146
American IPA,34,185,145
Munich Helles Lager,34,186,147
American IPA,34,187,145
Extra Special / Strong Bitter (ESB),318,188,148
Rye Beer,318,189,149
American Amber / Red Ale,318,190,150
American IPA,20,191,151
American IPA,251,192,152
American Blonde Ale,251,193,153
American Pilsner,116,194,154
American IPA,116,195,155
American Pale Lager,116,196,156
Witbier,116,197,157
Euro Dark Lager,116,198,158
California Common / Steam Beer,258,199,159
American IPA,258,200,160
Schwarzbier,258,201,161
German Pilsener,258,202,162
California Common / Steam Beer,292,203,163
Hefeweizen,292,204,164
American Pale Wheat Ale,292,205,165
Foreign / Export Stout,292,206,166
Rye Beer,292,207,167
American Pale Wheat Ale,292,208,165
American Amber / Red Ale,292,209,168
American Pale Ale (APA),292,210,169
American IPA,292,211,170
American Double / Imperial IPA,306,212,171
Fruit / Vegetable Beer,103,213,172
American Pale Ale (APA),103,214,173
American IPA,103,215,174
Other,103,216,175
American Pale Wheat Ale,76,217,176
Rye Beer,76,218,177
Witbier,76,219,178
American Pale Wheat Ale,76,220,176
American IPA,76,221,179
American Brown Ale,76,222,180
English India Pale Ale (IPA),53,223,181
American Double / Imperial IPA,53,224,182
American Blonde Ale,53,225,183
American Black Ale,75,226,184
American IPA,75,227,185
Extra Special / Strong Bitter (ESB),75,228,186
American IPA,75,229,185
American Black Ale,75,230,184
German Pilsener,75,231,187
English India Pale Ale (IPA),278,232,188
American Pale Ale (APA),278,233,189
American IPA,463,234,190
Czech Pilsener,463,235,191
American Porter,463,236,192
Hefeweizen,463,237,193
American Blonde Ale,463,238,194
American Strong Ale,220,239,195
American Double / Imperial IPA,220,240,196
California Common / Steam Beer,220,241,197
American Amber / Red Ale,220,242,198
American IPA,477,243,199
American Stout,477,244,200
Saison / Farmhouse Ale,477,245,201
American Stout,8,246,202
American IPA,8,247,203
Fruit / Vegetable Beer,40,248,204
American IPA,40,249,205
Czech Pilsener,519,250,206
American IPA,519,251,207
American IPA,336,252,208
English Pale Ale,336,253,209
American Pale Wheat Ale,336,254,210
American Brown Ale,336,255,211
English Strong Ale,336,256,212
American Brown Ale,336,257,211
American Pale Wheat Ale,336,258,210
American IPA,336,259,208
American Blonde Ale,336,260,213
English Pale Ale,336,261,209
American Pale Wheat Ale,336,262,210
American Brown Ale,336,263,211
American IPA,221,264,214
American Amber / Red Ale,221,265,215
American Pale Ale (APA),444,266,216
Rye Beer,444,267,217
American Double / Imperial IPA,444,268,218
Oatmeal Stout,444,269,219
American IPA,444,270,220
American Pale Ale (APA),70,271,221
American Brown Ale,407,272,222
American Pale Ale (APA),407,273,223
American Blonde Ale,407,274,224
Rye Beer,18,275,225
American Blonde Ale,112,276,226
American IPA,112,277,227
Hefeweizen,112,278,228
American Pale Ale (APA),112,279,229
American Strong Ale,294,280,230
American Porter,294,281,231
Saison / Farmhouse Ale,294,282,232
American Amber / Red Ale,294,283,233
American Brown Ale,79,284,234
American Amber / Red Ale,79,285,235
Rye Beer,95,286,236
American IPA,12,287,237
Foreign / Export Stout,12,288,238
American Pale Wheat Ale,12,289,239
American Brown Ale,12,290,240
American IPA,12,291,237
Cream Ale,12,292,241
American Pale Wheat Ale,380,293,242
American Pilsner,380,294,243
American Brown Ale,380,295,244
American Amber / Red Ale,380,296,245
American Double / Imperial IPA,380,297,246
German Pilsener,380,298,247
American Double / Imperial IPA,380,299,246
American Stout,380,300,248
Saison / Farmhouse Ale,380,301,249
American Pale Ale (APA),380,302,250
Extra Special / Strong Bitter (ESB),380,303,251
Extra Special / Strong Bitter (ESB),380,304,251
Extra Special / Strong Bitter (ESB),380,305,251
American Pale Ale (APA),380,306,250
Mead,422,307,252
Mead,422,308,252
American Double / Imperial IPA,304,309,253
American Pale Ale (APA),382,310,254
Extra Special / Strong Bitter (ESB),382,311,255
Euro Pale Lager,382,312,256
American Pale Ale (APA),382,313,254
Kölsch,414,314,257
American Stout,77,315,258
American Pale Wheat Ale,77,316,259
American Amber / Red Ale,77,317,260
American Pale Ale (APA),77,318,261
American Black Ale,489,319,262
American White IPA,489,320,263
American Blonde Ale,489,321,264
Vienna Lager,489,322,265
Dortmunder / Export Lager,364,323,266
Altbier,364,324,267
Schwarzbier,364,325,268
Czech Pilsener,364,326,269
Vienna Lager,364,327,270
American IPA,378,328,271
Cream Ale,378,329,272
American Brown Ale,378,330,273
American IPA,281,331,274
Irish Dry Stout,281,332,275
Munich Helles Lager,525,333,276
Munich Helles Lager,525,334,276
American IPA,107,335,277
Scotch Ale / Wee Heavy,107,336,278
Czech Pilsener,107,337,279
Märzen / Oktoberfest,107,338,280
English India Pale Ale (IPA),107,339,281
American Blonde Ale,107,340,282
American IPA,107,341,277
American Blonde Ale,107,342,282
American Blonde Ale,107,343,282
Extra Special / Strong Bitter (ESB),107,344,283
Munich Dunkel Lager,107,345,284
American Pale Ale (APA),107,346,285
Winter Warmer,107,347,286
American Porter,107,348,287
American Pale Ale (APA),107,349,285
American Brown Ale,107,350,288
Czech Pilsener,107,351,279
American Blonde Ale,107,352,282
American IPA,107,353,277
American Porter,231,354,289
Radler,300,355,290
American IPA,300,356,291
Witbier,300,357,292
Bock,300,358,293
Vienna Lager,300,359,294
Vienna Lager,300,360,294
Märzen / Oktoberfest,300,361,295
American Pale Wheat Ale,300,362,296
Vienna Lager,300,363,294
American Pale Ale (APA),417,364,297
American Pale Ale (APA),417,365,297
American Pale Ale (APA),417,366,297
American IPA,31,367,298
American Pale Ale (APA),167,368,299
American IPA,167,369,300
English Dark Mild Ale,167,370,301
American Porter,219,371,302
American Porter,219,372,302
American IPA,219,373,303
Hefeweizen,219,374,304
American Amber / Red Ale,219,375,305
American Amber / Red Ale,207,376,306
Kölsch,195,377,307
American Pale Wheat Ale,391,378,308
American Pale Wheat Ale,391,379,308
American IPA,391,380,309
American Amber / Red Ale,391,381,310
Fruit / Vegetable Beer,308,382,311
American IPA,308,383,312
Irish Red Ale,308,384,313
American Pale Wheat Ale,308,385,314
American Pale Ale (APA),19,386,315
American Amber / Red Ale,85,387,316
Saison / Farmhouse Ale,10,388,317
Belgian Pale Ale,10,389,318
American Double / Imperial Stout,10,390,319
American IPA,10,391,320
Rauchbier,10,392,321
Bière de Garde,10,393,322
Belgian IPA,10,394,323
Doppelbock,10,395,324
Saison / Farmhouse Ale,10,396,317
Witbier,10,397,325
Belgian IPA,10,398,323
Saison / Farmhouse Ale,10,399,317
Belgian IPA,10,400,323
Saison / Farmhouse Ale,10,401,317
Rye Beer,10,402,326
Dunkelweizen,10,403,327
Belgian Strong Pale Ale,10,404,328
Dubbel,10,405,329
Belgian Dark Ale,10,406,330
Belgian Dark Ale,10,407,330
Belgian Pale Ale,10,408,318
Witbier,10,409,325
Oatmeal Stout,10,410,331
American Porter,10,411,332
Quadrupel (Quad),10,412,333
Rauchbier,10,413,321
Belgian IPA,10,414,323
Belgian Dark Ale,10,415,330
Belgian IPA,10,416,323
Rye Beer,10,417,326
American Stout,10,418,334
Fruit / Vegetable Beer,10,419,335
Belgian Dark Ale,10,420,330
Belgian Dark Ale,10,421,330
Belgian Pale Ale,10,422,318
Bière de Garde,10,423,322
Belgian Dark Ale,10,424,330
Witbier,10,425,325
American Stout,10,426,334
Belgian IPA,10,427,323
American Wild Ale,10,428,336
Fruit / Vegetable Beer,10,429,335
American Double / Imperial IPA,10,430,337
Bière de Garde,10,431,322
American Black Ale,10,432,338
Saison / Farmhouse Ale,10,433,317
Tripel,10,434,339
Belgian Dark Ale,10,435,330
American Amber / Red Ale,10,436,340
Quadrupel (Quad),10,437,333
American Double / Imperial Stout,10,438,319
American Wild Ale,10,439,336
Bière de Garde,10,440,322
Russian Imperial Stout,10,441,341
American Amber / Red Ale,10,442,340
Saison / Farmhouse Ale,10,443,317
Tripel,10,444,339
Belgian IPA,10,445,323
Belgian Strong Dark Ale,10,446,342
Saison / Farmhouse Ale,10,447,317
Belgian Pale Ale,10,448,318
Belgian IPA,10,449,323
American Pale Ale (APA),467,450,343
American Pale Wheat Ale,467,451,344
American Amber / Red Ale,89,452,345
American Amber / Red Ale,493,453,346
American Pale Ale (APA),493,454,347
Cream Ale,493,455,348
American IPA,493,456,349
English India Pale Ale (IPA),437,457,350
English Pale Mild Ale,437,458,351
English India Pale Ale (IPA),437,459,350
English Pale Mild Ale,437,460,351
American Amber / Red Lager,437,461,352
American Amber / Red Lager,437,462,352
Belgian IPA,530,463,353
Maibock / Helles Bock,530,464,354
American Black Ale,530,465,355
Schwarzbier,530,466,356
American Amber / Red Ale,530,467,357
Herbed / Spiced Beer,530,468,358
Schwarzbier,530,469,356
Munich Helles Lager,357,470,359
American Pale Ale (APA),56,471,360
American Blonde Ale,214,472,361
Witbier,214,473,362
American Double / Imperial IPA,214,474,363
American Brown Ale,24,475,364
American Black Ale,24,476,365
Fruit / Vegetable Beer,24,477,366
American Pale Ale (APA),24,478,367
American Double / Imperial IPA,24,479,368
Cream Ale,24,480,369
American Pale Wheat Ale,24,481,370
American Pale Wheat Ale,24,482,370
American IPA,24,483,371
American IPA,24,484,371
American Pale Ale (APA),24,485,367
American Pale Lager,197,486,372
American Pale Ale (APA),517,487,373
Hefeweizen,556,488,374
American IPA,556,489,375
Milk / Sweet Stout,556,490,376
American Pale Ale (APA),556,491,377
American Double / Imperial Stout,5,492,378
American Brown Ale,5,493,379
American Pale Ale (APA),5,494,380
Kölsch,5,495,381
American IPA,5,496,382
American Double / Imperial IPA,5,497,383
American Porter,182,498,384
American Blonde Ale,182,499,385
American Amber / Red Ale,182,500,386
American IPA,182,501,387
American Amber / Red Ale,182,502,386
American Blonde Ale,182,503,385
American IPA,155,504,388
American Porter,155,505,389
American Pale Ale (APA),155,506,390
American Adjunct Lager,155,507,391
American Amber / Red Ale,155,508,392
American IPA,155,509,388
American IPA,155,510,388
American Pale Ale (APA),155,511,390
American Pale Ale (APA),155,512,390
American Pale Ale (APA),155,513,390
American Pale Ale (APA),155,514,390
American Pale Ale (APA),155,515,390
American Amber / Red Ale,155,516,392
American IPA,155,517,388
American Pilsner,178,518,393
American IPA,178,519,394
Witbier,497,520,395
American Amber / Red Ale,497,521,396
American Blonde Ale,497,522,397
English Dark Mild Ale,497,523,398
Pumpkin Ale,230,524,399
American Double / Imperial IPA,230,525,400
American IPA,230,526,401
German Pilsener,230,527,402
American Amber / Red Ale,230,528,403
American Amber / Red Ale,267,529,404
American Blonde Ale,267,530,405
American Black Ale,192,531,406
Vienna Lager,192,532,407
Munich Helles Lager,192,533,408
American IPA,192,534,409
Munich Helles Lager,192,535,408
American IPA,192,536,409
Vienna Lager,192,537,407
American Pale Wheat Ale,192,538,410
Vienna Lager,192,539,407
American Pale Ale (APA),192,540,411
American Pale Lager,192,541,412
American Blonde Ale,504,542,413
American Blonde Ale,504,543,413
American Blonde Ale,504,544,413
Winter Warmer,179,545,414
English India Pale Ale (IPA),179,546,415
Kölsch,179,547,416
American Black Ale,222,548,417
Berliner Weissbier,222,549,418
American Double / Imperial IPA,222,550,419
American IPA,222,551,420
Cider,404,552,421
Cider,404,553,421
Cream Ale,331,554,422
American IPA,331,555,423
Witbier,331,556,424
Winter Warmer,331,557,425
Witbier,331,558,424
American IPA,331,559,423
Cream Ale,331,560,422
Witbier,285,561,426
Scottish Ale,285,562,427
American Brown Ale,96,563,428
American Porter,96,564,429
American Double / Imperial IPA,29,565,430
,29,566,431
American IPA,29,567,432
Smoked Beer,29,568,433
American Pale Ale (APA),29,569,434
Cream Ale,29,570,435
American Blonde Ale,452,571,436
American Amber / Red Ale,452,572,437
Altbier,122,573,438
American Amber / Red Lager,122,574,439
Altbier,122,575,438
American Pale Ale (APA),122,576,440
Herbed / Spiced Beer,350,577,441
American IPA,350,578,442
American Double / Imperial IPA,350,579,443
American Black Ale,350,580,444
Rye Beer,236,581,445
American Stout,236,582,446
Kölsch,236,583,447
American IPA,236,584,448
Kölsch,250,585,449
Fruit / Vegetable Beer,250,586,450
American Pale Ale (APA),250,587,451
English Brown Ale,250,588,452
American Strong Ale,226,589,453
Märzen / Oktoberfest,226,590,454
American IPA,121,591,455
Fruit / Vegetable Beer,121,592,456
Altbier,121,593,457
American Double / Imperial IPA,99,594,458
American Pilsner,526,595,459
Cider,425,596,460
Cider,425,597,460
Bock,141,598,461
American IPA,141,599,462
American Black Ale,141,600,463
American Brown Ale,141,601,464
Märzen / Oktoberfest,141,602,465
American Porter,141,603,466
American IPA,141,604,462
American IPA,141,605,462
American IPA,141,606,462
American Pale Ale (APA),141,607,467
American IPA,141,608,462
American IPA,141,609,462
American IPA,141,610,462
American Pale Ale (APA),141,611,467
American Pale Wheat Ale,141,612,468
American IPA,141,613,462
American IPA,141,614,462
American Porter,141,615,466
American Pale Ale (APA),141,616,467
English Brown Ale,141,617,469
American Brown Ale,141,618,464
Munich Helles Lager,141,619,470
American Amber / Red Ale,141,620,471
American IPA,141,621,462
Witbier,141,622,472
Light Lager,145,623,473
Pumpkin Ale,145,624,474
Witbier,145,625,475
Munich Helles Lager,145,626,476
American IPA,145,627,477
Light Lager,145,628,473
English Pale Ale,145,629,478
American IPA,320,630,479
American Black Ale,418,631,480
American Pale Wheat Ale,418,632,481
American Blonde Ale,415,633,482
American Brown Ale,415,634,483
Kölsch,101,635,484
American IPA,101,636,485
American Amber / Red Ale,101,637,486
American Amber / Red Ale,101,638,486
Fruit / Vegetable Beer,232,639,487
American IPA,482,640,488
German Pilsener,482,641,489
American Blonde Ale,482,642,490
American Pilsner,139,643,491
American Amber / Red Ale,139,644,492
Oatmeal Stout,139,645,493
Extra Special / Strong Bitter (ESB),139,646,494
American Pale Lager,512,647,495
Kölsch,553,648,496
American Blonde Ale,515,649,497
Oatmeal Stout,515,650,498
American Black Ale,515,651,499
American Pale Ale (APA),63,652,500
Belgian Strong Pale Ale,63,653,501
American Stout,63,654,502
American Amber / Red Ale,63,655,503
American Amber / Red Ale,63,656,503
Witbier,63,657,504
American Pale Ale (APA),63,658,500
American Amber / Red Ale,63,659,503
American IPA,247,660,505
Berliner Weissbier,247,661,506
American Blonde Ale,169,662,507
American Porter,169,663,508
American Pale Ale (APA),169,664,509
American Amber / Red Ale,212,665,510
Herbed / Spiced Beer,212,666,511
American Brown Ale,212,667,512
American Blonde Ale,212,668,513
Cream Ale,212,669,514
American Porter,212,670,515
American IPA,212,671,516
American Amber / Red Ale,472,672,517
Kölsch,472,673,518
American Blonde Ale,315,674,519
Witbier,315,675,520
Scottish Ale,315,676,521
American IPA,315,677,522
English Pale Ale,323,678,523
Kölsch,323,679,524
Scotch Ale / Wee Heavy,227,680,525
American Blonde Ale,227,681,526
Hefeweizen,227,682,527
American Porter,227,683,528
American Double / Imperial IPA,227,684,529
American IPA,227,685,530
Belgian Pale Ale,227,686,531
American Pale Ale (APA),227,687,532
American IPA,451,688,533
American IPA,451,689,533
American IPA,358,690,534
American Pale Lager,554,691,535
American Blonde Ale,333,692,536
American Pale Ale (APA),333,693,537
American Amber / Red Ale,330,694,538
Euro Pale Lager,127,695,539
American Brown Ale,127,696,540
American Double / Imperial IPA,127,697,541
American Pale Ale (APA),127,698,542
Baltic Porter,127,699,543
Saison / Farmhouse Ale,127,700,544
German Pilsener,127,701,545
American Blonde Ale,127,702,546
American IPA,127,703,547
American IPA,283,704,548
English Pale Mild Ale,283,705,549
Irish Dry Stout,453,706,550
American Blonde Ale,453,707,551
American IPA,453,708,552
Irish Red Ale,453,709,553
American IPA,263,710,554
American Porter,263,711,555
American Pale Ale (APA),454,712,556
Hefeweizen,57,713,557
Abbey Single Ale,57,714,558
American IPA,57,715,559
Gose,57,716,560
Fruit / Vegetable Beer,57,717,561
American Double / Imperial IPA,57,718,562
Abbey Single Ale,57,719,558
American Pale Ale (APA),237,720,563
American Pale Ale (APA),237,721,563
American Amber / Red Ale,491,722,564
American Black Ale,491,723,565
American IPA,491,724,566
Scotch Ale / Wee Heavy,491,725,567
American Pale Ale (APA),319,726,568
American IPA,311,727,569
American Amber / Red Ale,488,728,570
Hefeweizen,531,729,571
Extra Special / Strong Bitter (ESB),531,730,572
American Double / Imperial IPA,531,731,573
American Pale Ale (APA),531,732,574
Irish Dry Stout,531,733,575
English Dark Mild Ale,531,734,576
Cider,446,735,577
Cider,446,736,577
American IPA,496,737,578
Fruit / Vegetable Beer,496,738,579
Hefeweizen,496,739,580
American Amber / Red Ale,496,740,581
American IPA,340,741,582
American Pale Wheat Ale,538,742,583
Pumpkin Ale,369,743,584
American IPA,369,744,585
American Pale Ale (APA),369,745,586
Pumpkin Ale,369,746,584
Fruit / Vegetable Beer,369,747,587
German Pilsener,369,748,588
American IPA,369,749,585
Extra Special / Strong Bitter (ESB),352,750,589
American Amber / Red Lager,516,751,590
American Brown Ale,465,752,591
American Adjunct Lager,473,753,592
Fruit / Vegetable Beer,81,754,593
American Pale Ale (APA),81,755,594
American Pale Lager,81,756,595
American IPA,81,757,596
American IPA,170,758,597
American IPA,170,759,597
American Blonde Ale,26,760,598
Belgian IPA,26,761,599
American Pale Wheat Ale,26,762,600
American Pale Ale (APA),26,763,601
American Porter,26,764,602
Czech Pilsener,26,765,603
Berliner Weissbier,173,766,604
American Double / Imperial IPA,173,767,605
American Pale Ale (APA),173,768,606
American IPA,173,769,607
American Pale Ale (APA),173,770,606
American Pale Ale (APA),335,771,608
Scottish Ale,335,772,609
American IPA,335,773,610
American Pale Ale (APA),224,774,611
American IPA,224,775,612
American Stout,405,776,613
Belgian Pale Ale,405,777,614
Roggenbier,405,778,615
Kölsch,405,779,616
American IPA,405,780,617
American Amber / Red Ale,201,781,618
Fruit / Vegetable Beer,201,782,619
American IPA,201,783,620
American Amber / Red Ale,201,784,618
American Double / Imperial IPA,201,785,621
Scottish Ale,201,786,622
American Double / Imperial IPA,172,787,623
American Double / Imperial IPA,172,788,623
American Double / Imperial IPA,172,789,623
American Porter,172,790,624
Kristalweizen,36,791,625
Czech Pilsener,36,792,626
Kölsch,36,793,627
American Double / Imperial IPA,256,794,628
American Black Ale,256,795,629
Belgian Strong Dark Ale,256,796,630
American Pale Wheat Ale,256,797,631
American Stout,256,798,632
American Amber / Red Ale,256,799,633
American Pale Ale (APA),256,800,634
American IPA,256,801,635
American Pale Ale (APA),256,802,634
American Blonde Ale,256,803,636
American IPA,48,804,637
American IPA,48,805,637
German Pilsener,48,806,638
American Blonde Ale,48,807,639
American Blonde Ale,48,808,639
Doppelbock,16,809,640
American Blonde Ale,16,810,641
American IPA,16,811,642
American IPA,532,812,643
American Pale Ale (APA),54,813,644
American IPA,521,814,645
American Pale Lager,521,815,646
American Porter,50,816,647
American IPA,50,817,648
Saison / Farmhouse Ale,279,818,649
American IPA,279,819,650
American Porter,279,820,651
American Blonde Ale,279,821,652
Witbier,217,822,653
American IPA,217,823,654
Belgian Pale Ale,206,824,655
American IPA,206,825,656
American IPA,206,826,656
American IPA,206,827,656
American Black Ale,206,828,657
American IPA,206,829,656
American Pale Ale (APA),206,830,658
Witbier,206,831,659
American Pale Ale (APA),206,832,658
American Double / Imperial Stout,206,833,660
American Amber / Red Lager,206,834,661
American IPA,206,835,656
American Amber / Red Ale,151,836,662
American Pale Wheat Ale,4,837,663
American Amber / Red Ale,4,838,664
Kölsch,4,839,665
American IPA,4,840,666
Scotch Ale / Wee Heavy,15,841,667
American IPA,15,842,668
American IPA,15,843,668
American IPA,287,844,669
American Porter,287,845,670
American Blonde Ale,287,846,671
Oatmeal Stout,22,847,672
Belgian Pale Ale,22,848,673
American IPA,22,849,674
American IPA,22,850,674
American Pale Lager,348,851,675
Kölsch,160,852,676
,160,853,677
American Porter,160,854,678
Fruit / Vegetable Beer,160,855,679
American IPA,160,856,680
Scottish Ale,160,857,681
Kölsch,160,858,676
American Porter,105,859,682
American Pale Wheat Ale,105,860,683
American Pale Ale (APA),105,861,684
American White IPA,105,862,685
American Amber / Red Ale,253,863,686
American IPA,253,864,687
Munich Helles Lager,253,865,688
,66,866,689
American Brown Ale,66,867,690
Witbier,66,868,691
Munich Helles Lager,66,869,692
American Amber / Red Ale,66,870,693
Witbier,66,871,691
American IPA,66,872,694
Berliner Weissbier,66,873,695
American IPA,460,874,696
American Pale Ale (APA),460,875,697
English Strong Ale,460,876,698
Saison / Farmhouse Ale,460,877,699
American Pale Ale (APA),460,878,697
American Pale Ale (APA),460,879,697
American IPA,460,880,696
Kölsch,433,881,700
Scotch Ale / Wee Heavy,433,882,701
Extra Special / Strong Bitter (ESB),433,883,702
American IPA,180,884,703
American Pale Ale (APA),347,885,704
American IPA,228,886,705
American Blonde Ale,228,887,706
American Amber / Red Ale,228,888,707
American IPA,106,889,708
American Pale Lager,240,890,709
Saison / Farmhouse Ale,240,891,710
American IPA,240,892,711
American IPA,240,893,711
American IPA,240,894,711
American IPA,240,895,711
Hefeweizen,240,896,712
American IPA,240,897,711
American IPA,240,898,711
Kölsch,240,899,713
American Brown Ale,240,900,714
American IPA,240,901,711
American IPA,240,902,711
American IPA,240,903,711
Hefeweizen,240,904,712
American Porter,39,905,715
American IPA,464,906,716
American Pale Wheat Ale,464,907,717
American Pale Ale (APA),478,908,718
American Double / Imperial IPA,478,909,719
Oatmeal Stout,478,910,720
American IPA,478,911,721
American Brown Ale,478,912,722
American Pale Ale (APA),194,913,723
American IPA,196,914,724
American Pale Ale (APA),88,915,725
American Pale Ale (APA),88,916,725
American Pale Wheat Ale,88,917,726
American Pale Wheat Ale,88,918,726
American Pale Wheat Ale,88,919,726
American Pale Lager,420,920,727
American Pale Wheat Ale,536,921,728
American Pilsner,536,922,729
American Amber / Red Ale,536,923,730
American IPA,536,924,731
American Pale Wheat Ale,213,925,732
English Brown Ale,213,926,733
American Pale Ale (APA),213,927,734
American Blonde Ale,165,928,735
Fruit / Vegetable Beer,165,929,736
American Porter,165,930,737
American IPA,165,931,738
Dortmunder / Export Lager,165,932,739
American Blonde Ale,165,933,735
American Porter,165,934,737
Märzen / Oktoberfest,165,935,740
American Brown Ale,165,936,741
Fruit / Vegetable Beer,165,937,736
Dortmunder / Export Lager,165,938,739
American Dark Wheat Ale,165,939,742
Witbier,165,940,743
American Stout,165,941,744
English Stout,165,942,745
American Porter,165,943,737
Euro Dark Lager,165,944,746
English Dark Mild Ale,165,945,747
American IPA,165,946,738
American Blonde Ale,165,947,735
American Pale Ale (APA),6,948,748
Old Ale,6,949,749
American Pale Wheat Ale,6,950,750
American IPA,6,951,751
Tripel,6,952,752
American IPA,6,953,751
Russian Imperial Stout,6,954,753
