article_jcreated_at,original_index,unique_index,count
1/1/12,337,12,44.0
1/1/04,338,114,16.0
1/1/78,339,126,1.0
10/9/15,340,127,1.0
1/1/88,341,128,3.0
,342,31,
9/1/09,343,129,2.0
,344,31,
1/1/05,345,13,29.0
6/1/01,346,94,3.0
3/1/09,347,52,3.0
5/1/12,348,65,4.0
1/1/09,349,5,35.0
1/1/12,350,12,44.0
1/1/98,351,106,9.0
1/1/15,352,10,25.0
1/1/12,353,12,44.0
8/1/15,354,130,1.0
1/1/10,355,33,37.0
3/7/15,356,131,1.0
7/1/08,357,132,2.0
1/1/01,358,84,9.0
,359,31,
2/28/14,360,133,1.0
1/1/06,361,9,20.0
2/1/13,362,134,4.0
10/15/13,363,135,1.0
1/1/12,364,12,44.0
1/1/14,365,27,66.0
1/1/09,366,5,35.0
10/1/94,367,136,1.0
1/1/10,368,33,37.0
1/1/11,369,8,43.0
3/1/84,370,137,1.0
9/2/14,371,138,1.0
1/1/12,372,12,44.0
1/1/14,373,27,66.0
1/1/05,374,13,29.0
7/1/14,375,87,5.0
1/1/15,376,10,25.0
1/1/12,377,12,44.0
1/1/96,378,111,5.0
1/1/04,379,114,16.0
5/1/06,380,139,2.0
9/1/99,381,140,1.0
8/1/05,382,141,2.0
1/1/12,383,12,44.0
1/1/09,384,5,35.0
1/1/85,385,142,1.0
1/1/07,386,39,28.0
1/1/05,387,13,29.0
,388,31,
1/1/12,389,12,44.0
1/1/01,390,84,9.0
2/1/81,391,143,1.0
7/1/08,392,132,2.0
12/1/08,393,20,4.0
1/1/12,394,12,44.0
8/1/12,395,144,2.0
4/1/14,396,56,9.0
1/1/11,397,8,43.0
,398,31,
3/1/14,399,19,7.0
1/1/13,400,3,55.0
2/1/14,401,117,2.0
1/1/14,402,27,66.0
1/1/12,403,12,44.0
2/1/13,404,134,4.0
12/1/98,405,145,1.0
4/1/09,406,146,3.0
7/1/13,407,147,1.0
1/1/04,408,114,16.0
1/1/97,409,14,8.0
1/1/10,410,33,37.0
3/1/06,411,57,3.0
11/1/10,412,35,5.0
1/1/00,413,59,12.0
,414,31,
7/15/14,415,148,1.0
2/1/13,416,134,4.0
3/1/99,417,45,2.0
1/1/04,418,114,16.0
,419,31,
1/1/08,420,26,21.0
1/1/63,421,149,1.0
1/1/12,422,12,44.0
1/1/15,423,10,25.0
1/1/09,424,5,35.0
1/1/95,425,29,9.0
,426,31,
12/1/09,427,122,2.0
8/13/10,428,150,1.0
1/1/97,429,14,8.0
1/1/00,430,59,12.0
1/1/07,431,39,28.0
1/1/11,432,8,43.0
1/1/13,433,3,55.0
1/1/01,434,84,9.0
1/1/08,435,26,21.0
1/1/14,436,27,66.0
1/1/11,437,8,43.0
1/1/15,438,10,25.0
6/17/02,439,151,1.0
,440,31,
4/1/14,441,56,9.0
6/1/14,442,119,4.0
1/1/07,443,39,28.0
1/1/07,444,39,28.0
10/20/14,445,152,1.0
1/1/13,446,3,55.0
1/1/07,447,39,28.0
5/1/14,448,76,3.0
1/1/03,449,105,12.0
5/1/09,450,153,2.0
9/1/12,451,154,3.0
1/1/10,452,33,37.0
1/1/11,453,8,43.0
1/1/04,454,114,16.0
1/1/07,455,39,28.0
1/1/09,456,5,35.0
12/1/12,457,155,2.0
1/1/09,458,5,35.0
1/1/09,459,5,35.0
1/1/12,460,12,44.0
11/1/13,461,113,6.0
12/1/14,462,17,6.0
1/1/04,463,114,16.0
1/1/13,464,3,55.0
1/1/11,465,8,43.0
1/1/15,466,10,25.0
5/1/11,467,156,4.0
,468,31,
1/1/13,469,3,55.0
1/1/13,470,3,55.0
5/1/09,471,153,2.0
4/3/15,472,157,1.0
1/1/13,473,3,55.0
7/1/12,474,158,4.0
6/21/10,475,159,1.0
3/1/14,476,19,7.0
8/26/10,477,160,1.0
1/1/11,478,8,43.0
4/1/09,479,146,3.0
1/1/06,480,9,20.0
1/1/99,481,36,10.0
4/1/11,482,161,4.0
6/1/96,483,162,1.0
1/1/99,484,36,10.0
1/1/00,485,59,12.0
3/1/10,486,163,2.0
,487,31,
,488,31,
,489,31,
1/1/14,490,27,66.0
7/1/12,491,158,4.0
9/1/10,492,164,1.0
1/1/07,493,39,28.0
4/1/68,494,165,1.0
8/1/13,495,166,3.0
1/1/10,496,33,37.0
1/1/05,497,13,29.0
1/1/11,498,8,43.0
1/1/04,499,114,16.0
2/12/07,500,167,1.0
1/1/91,501,112,5.0
1/1/11,502,8,43.0
1/1/09,503,5,35.0
,504,31,
3/1/08,505,168,3.0
1/1/00,506,59,12.0
1/1/67,507,169,2.0
1/1/13,508,3,55.0
1/1/13,509,3,55.0
1/1/02,510,80,9.0
6/1/15,511,170,2.0
1/1/13,512,3,55.0
1/1/97,513,14,8.0
,514,31,
4/1/14,515,56,9.0
1/1/11,516,8,43.0
8/1/13,517,166,3.0
10/1/11,518,171,3.0
10/26/05,519,172,1.0
1/1/77,520,173,1.0
1/1/13,521,3,55.0
1/1/00,522,59,12.0
4/1/15,523,174,4.0
10/3/14,524,175,1.0
10/5/08,525,176,1.0
3/1/08,526,168,3.0
1/1/14,527,27,66.0
1/1/14,528,27,66.0
6/1/09,529,177,1.0
,530,31,
5/11/07,531,178,1.0
12/19/13,532,179,1.0
5/22/14,533,180,1.0
5/1/01,534,181,2.0
3/1/00,535,182,1.0
,536,31,
10/1/11,537,171,3.0
1/1/06,538,9,20.0
1/1/04,539,114,16.0
5/1/05,540,183,1.0
,541,31,
1/1/95,542,29,9.0
1/1/04,543,114,16.0
,544,31,
1/1/05,545,13,29.0
1/1/06,546,9,20.0
1/1/14,547,27,66.0
3/1/92,548,184,1.0
7/28/14,549,185,1.0
7/24/15,550,186,1.0
1/1/09,551,5,35.0
,552,31,
1/1/07,553,39,28.0
9/1/12,554,154,3.0
6/1/12,555,44,4.0
1/1/10,556,33,37.0
1/1/13,557,3,55.0
1/1/98,558,106,9.0
10/1/96,559,187,1.0
1/1/11,560,8,43.0
11/1/12,561,38,2.0
1/1/04,562,114,16.0
5/1/10,563,188,2.0
1/1/11,564,8,43.0
2/1/15,565,25,3.0
1/1/05,566,13,29.0
6/29/98,567,189,1.0
1/1/10,568,33,37.0
6/1/00,569,190,1.0
7/1/11,570,191,1.0
1/1/12,571,12,44.0
1/1/12,572,12,44.0
1/1/96,573,111,5.0
3/1/14,574,19,7.0
1/1/05,575,13,29.0
6/1/14,576,119,4.0
1/1/14,577,27,66.0
1/1/08,578,26,21.0
7/1/07,579,89,3.0
6/1/10,580,192,2.0
4/1/14,581,56,9.0
1/1/13,582,3,55.0
1/1/11,583,8,43.0
,584,31,
10/1/09,585,193,1.0
9/1/09,586,129,2.0
12/1/03,587,95,3.0
1/1/13,588,3,55.0
1/1/95,589,29,9.0
1/1/13,590,3,55.0
1/1/14,591,27,66.0
1/1/98,592,106,9.0
1/1/05,593,13,29.0
4/1/05,594,194,1.0
1/1/10,595,33,37.0
10/1/10,596,42,3.0
1/1/02,597,80,9.0
1/1/11,598,8,43.0
1/1/14,599,27,66.0
9/1/15,600,195,2.0
1/1/14,601,27,66.0
8/1/07,602,196,1.0
1/1/12,603,12,44.0
10/1/14,604,32,3.0
1/1/99,605,36,10.0
1/1/09,606,5,35.0
6/15/92,607,197,1.0
12/1/70,608,198,1.0
12/1/03,609,95,3.0
9/1/14,610,60,5.0
10/1/03,611,199,2.0
1/1/86,612,21,6.0
1/1/13,613,3,55.0
4/1/11,614,161,4.0
2/6/14,615,200,1.0
9/1/04,616,201,2.0
1/22/15,617,202,1.0
1/1/08,618,26,21.0
1/1/14,619,27,66.0
1/1/06,620,9,20.0
8/1/10,621,203,1.0
1/1/05,622,13,29.0
1/1/13,623,3,55.0
1/1/11,624,8,43.0
9/1/08,625,204,2.0
5/1/90,626,205,1.0
12/1/01,627,115,2.0
12/1/13,628,16,4.0
1/1/15,629,10,25.0
1/1/11,630,8,43.0
1/1/00,631,59,12.0
1/1/13,632,3,55.0
1/1/12,633,12,44.0
,634,31,
1/1/03,635,105,12.0
1/1/09,636,5,35.0
1/1/09,637,5,35.0
8/1/14,638,206,1.0
1/1/09,639,5,35.0
3/27/14,640,207,1.0
1/1/06,641,9,20.0
11/4/15,642,208,1.0
11/1/11,643,109,2.0
5/1/96,644,209,1.0
,645,31,
3/1/12,646,210,1.0
4/1/90,647,211,1.0
1/1/07,648,39,28.0
4/1/89,649,212,1.0
7/2/08,650,213,1.0
6/1/11,651,214,1.0
1/1/10,652,33,37.0
1/1/15,653,10,25.0
1/1/13,654,3,55.0
1/1/04,655,114,16.0
10/1/08,656,215,1.0
10/1/10,657,42,3.0
3/1/15,658,216,1.0
10/1/13,659,82,6.0
7/1/14,660,87,5.0
1/1/11,661,8,43.0
5/1/11,662,156,4.0
1/1/14,663,27,66.0
5/1/12,664,65,4.0
1/1/15,665,10,25.0
1/1/15,666,10,25.0
2/1/13,667,134,4.0
1/1/08,668,26,21.0
1/1/07,669,39,28.0
1/1/14,670,27,66.0
1/1/11,671,8,43.0
,672,31,
1/1/09,673,5,35.0
10/1/04,674,217,1.0
1/1/11,675,8,43.0
1/1/00,676,59,12.0
1/1/07,677,39,28.0
1/1/10,678,33,37.0
8/1/08,679,77,2.0
3/1/13,680,218,2.0
1/1/13,681,3,55.0
1/1/13,682,3,55.0
9/1/01,683,219,1.0
1/1/10,684,33,37.0
1/1/14,685,27,66.0
1/1/14,686,27,66.0
1/1/09,687,5,35.0
7/1/09,688,220,1.0
1/1/81,689,221,1.0
11/1/06,690,222,1.0
1/1/08,691,26,21.0
1/1/14,692,27,66.0
6/1/97,693,223,1.0
8/1/06,694,224,1.0
1/1/14,695,27,66.0
1/1/96,696,111,5.0
1/1/08,697,26,21.0
1/1/07,698,39,28.0
7/1/00,699,225,1.0
1/1/12,700,12,44.0
1/1/14,701,27,66.0
1/1/15,702,10,25.0
,703,31,
1/1/14,704,27,66.0
1/1/70,705,226,1.0
6/1/12,706,44,4.0
7/1/02,707,227,1.0
2/1/93,708,228,1.0
1/1/07,709,39,28.0
1/1/01,710,84,9.0
,711,31,
1/1/12,712,12,44.0
1/1/08,713,26,21.0
10/1/13,714,82,6.0
4/1/14,715,56,9.0
1/1/02,716,80,9.0
1/1/14,717,27,66.0
1/1/04,718,114,16.0
1/1/08,719,26,21.0
1/1/12,720,12,44.0
1/1/15,721,10,25.0
1/1/07,722,39,28.0
10/1/12,723,73,3.0
,724,31,
1/1/86,725,21,6.0
,726,31,
1/1/75,727,101,2.0
1/1/01,728,84,9.0
10/1/11,729,171,3.0
1/1/14,730,27,66.0
1/1/08,731,26,21.0
8/1/05,732,141,2.0
1/1/14,733,27,66.0
1/1/09,734,5,35.0
1/1/02,735,80,9.0
1/1/06,736,9,20.0
1/1/10,737,33,37.0
,738,31,
1/1/00,739,59,12.0
1/1/10,740,33,37.0
1/1/98,741,106,9.0
1/1/05,742,13,29.0
,743,31,
1/1/86,744,21,6.0
1/1/13,745,3,55.0
1/1/14,746,27,66.0
,747,31,
1/1/13,748,3,55.0
5/1/11,749,156,4.0
1/1/04,750,114,16.0
8/1/02,751,229,1.0
1/1/05,752,13,29.0
5/1/13,753,120,2.0
1/1/95,754,29,9.0
1/1/10,755,33,37.0
6/1/01,756,94,3.0
,757,31,
,758,31,
,759,31,
1/1/03,760,105,12.0
7/1/07,761,89,3.0
7/1/06,762,78,3.0
1/1/12,763,12,44.0
11/1/13,764,113,6.0
4/1/09,765,146,3.0
,766,31,
9/1/98,767,230,1.0
7/4/14,768,231,1.0
1/1/14,769,27,66.0
9/1/08,770,204,2.0
1/1/01,771,84,9.0
7/1/14,772,87,5.0
11/13/12,773,232,1.0
2/1/82,774,233,1.0
1/1/98,775,106,9.0
6/1/13,776,234,1.0
1/1/97,777,14,8.0
1/1/06,778,9,20.0
5/1/02,779,108,2.0
1/1/98,780,106,9.0
6/1/10,781,192,2.0
,782,31,
4/1/11,783,161,4.0
7/1/12,784,158,4.0
1/1/13,785,3,55.0
1/1/14,786,27,66.0
3/1/71,787,235,1.0
1/1/10,788,33,37.0
1/1/01,789,84,9.0
12/1/14,790,17,6.0
9/23/14,791,236,1.0
1/1/00,792,59,12.0
1/1/13,793,3,55.0
5/1/98,794,237,1.0
12/1/12,795,155,2.0
,796,31,
9/1/04,797,201,2.0
,798,31,
8/1/12,799,144,2.0
11/1/14,800,69,2.0
1/1/03,801,105,12.0
1/1/93,802,79,8.0
1/1/05,803,13,29.0
1/1/82,804,238,1.0
,805,31,
2/10/14,806,239,1.0
1/1/15,807,10,25.0
3/1/08,808,168,3.0
1/1/67,809,169,2.0
1/1/12,810,12,44.0
,811,31,
1/1/14,812,27,66.0
7/1/06,813,78,3.0
1/1/14,814,27,66.0
1/1/14,815,27,66.0
1/1/13,816,3,55.0
1/1/88,817,128,3.0
1/1/05,818,13,29.0
,819,31,
1/1/14,820,27,66.0
4/1/14,821,56,9.0
1/1/04,822,114,16.0
10/28/13,823,240,1.0
4/1/11,824,161,4.0
4/1/15,825,174,4.0
1/1/08,826,26,21.0
11/1/10,827,35,5.0
1/1/12,828,12,44.0
4/1/15,829,174,4.0
1/1/03,830,105,12.0
4/15/05,831,241,1.0
,832,31,
10/1/07,833,242,2.0
5/1/06,834,139,2.0
1/1/13,835,3,55.0
6/1/95,836,243,1.0
3/1/10,837,163,2.0
11/1/13,838,113,6.0
1/1/99,839,36,10.0
,840,31,
5/7/09,841,244,1.0
1/1/14,842,27,66.0
1/1/94,843,37,4.0
1/1/14,844,27,66.0
1/1/10,845,33,37.0
1/1/14,846,27,66.0
1/1/11,847,8,43.0
10/1/07,848,242,2.0
1/1/11,849,8,43.0
5/1/07,850,245,1.0
1/1/14,851,27,66.0
2/16/10,852,246,1.0
6/10/02,853,247,1.0
1/1/14,854,27,66.0
1/1/88,855,128,3.0
1/1/10,856,33,37.0
1/1/06,857,9,20.0
1/1/09,858,5,35.0
1/1/15,859,10,25.0
1/1/14,860,27,66.0
3/22/14,861,248,1.0
1/1/15,862,10,25.0
7/7/14,863,249,1.0
1/1/10,864,33,37.0
1/1/05,865,13,29.0
1/1/06,866,9,20.0
3/1/09,867,52,3.0
1/1/10,868,33,37.0
1/1/05,869,13,29.0
1/1/02,870,80,9.0
1/1/14,871,27,66.0
9/1/97,872,250,1.0
1/1/05,873,13,29.0
1/1/14,874,27,66.0
1/1/04,875,114,16.0
1/1/93,876,79,8.0
,877,31,
3/1/13,878,218,2.0
5/1/01,879,181,2.0
6/1/03,880,67,2.0
1/1/11,881,8,43.0
1/1/11,882,8,43.0
1/1/89,883,107,2.0
1/1/96,884,111,5.0
1/1/15,885,10,25.0
1/1/06,886,9,20.0
10/24/14,887,251,1.0
1/1/13,888,3,55.0
1/1/09,889,5,35.0
1/1/97,890,14,8.0
1/1/03,891,105,12.0
1/1/08,892,26,21.0
6/1/12,893,44,4.0
1/1/09,894,5,35.0
1/1/98,895,106,9.0
1/1/95,896,29,9.0
1/1/05,897,13,29.0
,898,31,
7/1/05,899,102,2.0
1/1/10,900,33,37.0
11/1/07,901,252,1.0
9/1/13,902,93,2.0
1/1/09,903,5,35.0
3/1/14,904,19,7.0
1/1/14,905,27,66.0
1/1/12,906,12,44.0
9/1/14,907,60,5.0
1/1/05,908,13,29.0
12/1/13,909,16,4.0
1/1/07,910,39,28.0
6/1/15,911,170,2.0
1/1/00,912,59,12.0
11/1/13,913,113,6.0
3/1/14,914,19,7.0
1/1/02,915,80,9.0
1/1/98,916,106,9.0
8/31/10,917,253,1.0
3/1/02,918,254,1.0
1/1/14,919,27,66.0
9/1/94,920,255,1.0
,921,31,
1/1/03,922,105,12.0
,923,31,
4/1/15,924,174,4.0
1/1/93,925,79,8.0
9/1/12,926,154,3.0
,927,31,
1/1/86,928,21,6.0
1/1/01,929,84,9.0
2/1/15,930,25,3.0
7/10/13,931,256,1.0
,932,31,
,933,31,
1/1/05,934,13,29.0
1/1/15,935,10,25.0
1/1/03,936,105,12.0
1/1/87,937,257,1.0
1/1/14,938,27,66.0
1/1/08,939,26,21.0
1/1/14,940,27,66.0
1/1/10,941,33,37.0
,942,31,
5/1/11,943,156,4.0
1/1/09,944,5,35.0
1/1/11,945,8,43.0
1/1/76,946,62,3.0
,947,31,
,948,31,
1/1/12,949,12,44.0
1/1/14,950,27,66.0
1/1/14,951,27,66.0
,952,31,
5/1/10,953,188,2.0
1/1/10,954,33,37.0
,955,31,
1/1/05,956,13,29.0
10/1/13,957,82,6.0
1/1/95,958,29,9.0
5/1/15,959,51,2.0
1/1/15,960,10,25.0
6/1/05,961,258,1.0
1/1/14,962,27,66.0
1/1/94,963,37,4.0
1/1/13,964,3,55.0
8/1/13,965,166,3.0
10/1/03,966,199,2.0
1/1/13,967,3,55.0
1/1/91,968,112,5.0
1/1/91,969,112,5.0
1/1/13,970,3,55.0
1/1/13,971,3,55.0
1/1/07,972,39,28.0
6/1/14,973,119,4.0
10/1/14,974,32,3.0
9/1/15,975,195,2.0
,976,31,
11/1/10,977,35,5.0
1/1/93,978,79,8.0
7/1/12,979,158,4.0
8/1/09,980,55,2.0
1/1/86,981,21,6.0
1/1/10,982,33,37.0
2/1/01,983,259,1.0
1/1/13,984,3,55.0
1/1/90,985,260,1.0
1/1/13,986,3,55.0
1/1/99,987,36,10.0
1/1/05,988,13,29.0
9/1/14,989,60,5.0
1/1/00,990,59,12.0
11/1/13,991,113,6.0
4/1/14,992,56,9.0
1/1/14,993,27,66.0
6/1/02,994,261,1.0
1/1/91,995,112,5.0
1/1/07,996,39,28.0
10/27/14,997,262,1.0
1/1/11,998,8,43.0
1/1/12,999,12,44.0
