article_pagination,original_index,unique_index,count
326-327,96,88,1.0
1228-37,97,89,1.0
E556-64,98,90,1.0
319-324,99,91,1.0
,100,1,
283-296,101,92,1.0
160-6,102,93,1.0
667-77,103,94,1.0
721-7,104,95,2.0
248-58,105,96,1.0
255-62,106,97,1.0
135-41,107,98,1.0
146-51,108,99,1.0
CD001047,109,100,1.0
911-24,110,101,1.0
,111,1,
8-16 ST  - Cardiac atrophy in women following bed rest-,112,102,1.0
,113,1,
745-50,114,103,1.0
,115,1,
57-61,116,104,2.0
305-310,117,105,1.0
323-330,118,106,1.0
13,119,107,1.0
999-1004,120,108,1.0
110-6,121,109,1.0
S13,122,110,1.0
2603-8,123,111,1.0
378-84,124,112,2.0
202-11,125,113,1.0
208-213,126,114,1.0
57-64,127,115,1.0
421-7,128,116,1.0
817-823,129,117,1.0
1182-7,130,118,1.0
721-7,131,95,2.0
,132,1,
,133,1,
251-264,134,119,1.0
B570-9,135,120,1.0
1605-11,136,121,1.0
275-287,137,122,1.0
327-32,138,123,2.0
384-6 ST  - Proximal migration of a 5 French pancreatic stent during bile stone extraction: a successful retrieval using mini-snare-,139,124,1.0
152-9,140,125,1.0
"1261-9 ST  - Multicenter, randomized, placebo-controlled trial of amitriptyline in children with functional gastrointestinal disorders-",141,126,1.0
,142,1,
574-80,143,127,1.0
290-5,144,128,1.0
451-457,145,129,1.0
930-936,146,130,1.0
6-Oct,147,131,1.0
364-71,148,132,1.0
253-4,149,133,1.0
131-134,150,134,2.0
2752-63,151,135,1.0
1241; author reply 1241,152,136,1.0
1128-31,153,137,1.0
149-156,154,138,1.0
368-72,155,139,1.0
1577-1588,156,140,1.0
45-53; quiz 54,157,141,1.0
256-62,158,142,1.0
156-61,159,143,1.0
1171-1178,160,144,1.0
ZC70-5,161,145,1.0
574-578,162,146,1.0
551-561 ST  - Scar Management Practice and Science: A Comprehensive Approach to Controlling Scar Tissue and Avoiding Hypertrophic Scarring.... Reprinted and adapted with permission from Wound Healing South Africa and Medpharm. Widgerow AD. Scar management,163,147,1.0
123-6,164,148,1.0
290-293,165,149,1.0
43-4,166,150,1.0
1203-14,167,151,1.0
,168,1,
,169,1,
729-35,170,152,1.0
139-43,171,153,1.0
469-75,172,154,1.0
251-257,173,155,1.0
201-205,174,156,1.0
479-82,175,157,1.0
87-95; discussion 95-6,176,158,1.0
143-9,177,159,1.0
305-11,178,160,2.0
e1327-9,179,161,1.0
19th Congress of the European Hematology Association Milan Italy. Conference Start: 20140612 Conference End: 20140615. Conference Publication: (var.pagings). 99 (pp 233),180,162,1.0
,181,1,
,182,1,
1108-18,183,163,1.0
612-7,184,164,1.0
733-748,185,165,1.0
,186,1,
30-35,187,166,1.0
135-144,188,167,1.0
449-+,189,168,1.0
603-11,190,169,1.0
57-61,191,104,2.0
14-17,192,170,1.0
1078-87,193,171,1.0
207-212,194,172,1.0
"633-58 ST  - Prebiotics, immune function, infection and inflammation: a review of the evidence-",195,173,1.0
,196,1,
25,197,174,2.0
46-55,198,175,1.0
237-45,199,176,1.0
17,200,177,1.0
,201,1,
1035-46,202,178,1.0
715-721,203,179,1.0
182-91,204,180,1.0
310-5,205,181,1.0
,206,1,
,207,1,
240-6,208,182,1.0
,209,1,
840-54,210,183,1.0
305-11,211,160,2.0
3541-4,212,184,1.0
,213,1,
130-48,214,185,1.0
361-3,215,186,1.0
265-72,216,187,1.0
81-83,217,188,1.0
562-569,218,189,1.0
112-120,219,190,1.0
447-52,220,191,2.0
609-21,221,192,1.0
291S-297S,222,193,1.0
S29-36,223,194,1.0
,224,1,
,225,1,
3118-29,226,195,1.0
237-40,227,196,1.0
432-438,228,197,1.0
,229,1,
291-297,230,198,1.0
179-81,231,199,1.0
593-610,232,200,1.0
425.e1-6,233,201,1.0
e867-98,234,202,1.0
259-65,235,203,1.0
29-32,236,204,1.0
S10-3,237,205,1.0
e005601,238,206,1.0
419-21,239,207,1.0
113,240,208,1.0
52-63,241,209,1.0
e005077,242,210,1.0
eS502-eS503,243,211,1.0
159-73,244,212,1.0
e249-,245,213,1.0
58-69,246,214,2.0
331-338,247,215,1.0
49-55,248,216,1.0
S46-S61,249,217,1.0
245-8,250,218,1.0
415-422 8p,251,219,1.0
22,252,220,2.0
15-16,253,221,1.0
110-1,254,222,1.0
642-55,255,223,1.0
265-9,256,224,1.0
524-529,257,225,1.0
1232-40,258,226,1.0
,259,1,
431-446 16p,260,227,1.0
69-74,261,228,1.0
774-9,262,229,1.0
589-96,263,230,1.0
922-9,264,231,1.0
212-8,265,232,1.0
714-9,266,233,1.0
58,267,234,1.0
733,268,235,1.0
10-Oct,269,236,1.0
203-277,270,237,1.0
227,271,238,1.0
185-185,272,239,1.0
341-51,273,240,1.0
314-320,274,241,1.0
,275,1,
323-326,276,242,1.0
1314-21,277,243,1.0
1419-25,278,244,1.0
761-762,279,245,1.0
736-44,280,246,1.0
1024-1025,281,247,1.0
550-64,282,248,1.0
37-41 DO  - 10.1080/10810730902805788,283,249,1.0
,284,1,
27-32 ST  - Wound care-,285,250,1.0
529-33,286,251,1.0
,287,1,
e35061,288,252,1.0
823-830,289,253,1.0
7-Jan,290,254,2.0
223-38,291,255,1.0
23-31,292,256,1.0
,293,1,
435-442,294,257,1.0
2777-85,295,258,1.0
477-505,296,259,1.0
22-34,297,260,1.0
390-3,298,261,1.0
251-6,299,262,1.0
64-70,300,263,1.0
84301,301,264,1.0
204-9,302,265,1.0
119-125 7p,303,266,1.0
39-44,304,267,1.0
327-32,305,123,2.0
,306,1,
1295-1305,307,268,1.0
835-42,308,269,1.0
1635-1643,309,270,1.0
,310,1,
1331-4,311,271,1.0
,312,1,
663-695,313,272,1.0
544-7 ST  - Recurrent distal 16q duplication and terminal 22q deletion: prenatal diagnosis and genetic counseling-,314,273,1.0
629-30,315,274,1.0
616-626,316,275,1.0
590-6,317,276,1.0
159-86,318,277,1.0
520-3,319,278,1.0
2049,320,279,1.0
20120261,321,280,1.0
196-203,322,281,1.0
,323,1,
173-181,324,282,1.0
,325,1,
130-2,326,283,1.0
,327,1,
237-48,328,284,1.0
,329,1,
26-Jan,330,285,1.0
53-62,331,286,1.0
331-373,332,287,1.0
"392-7 ST  - [Dinggui Oil Capsule in treating irritable bowel syndrome with stagnation of qi and cold: a prospective, multi-center, randomized, placebo-controlled, double-blind trial]-",333,288,1.0
259-64,334,289,1.0
527-33,335,290,1.0
441-55,336,291,1.0
842-848,337,292,1.0
112-7,338,293,1.0
79-105,339,294,1.0
,340,1,
145-8,341,295,1.0
,342,1,
461-7,343,296,1.0
,344,1,
146-152,345,297,1.0
447-52,346,191,2.0
233-43; discussion 243,347,298,1.0
217-26,348,299,1.0
870-5,349,300,1.0
195-203,350,301,2.0
708-711,351,302,1.0
1444,352,303,1.0
8,353,304,1.0
627-30,354,305,1.0
131-137,355,306,1.0
,356,1,
373-6,357,307,1.0
149-57,358,308,1.0
106-119,359,309,1.0
,360,1,
1127-33,361,310,1.0
56-64,362,311,1.0
2700-7,363,312,1.0
458-462,364,313,1.0
316272,365,314,1.0
182-195,366,315,1.0
1556-9,367,316,1.0
1112-6,368,317,1.0
673-692,369,318,1.0
239-46,370,319,1.0
347-55,371,320,1.0
298-308,372,321,1.0
e92590,373,322,1.0
143-153,374,323,1.0
1257-61,375,324,1.0
392-398,376,325,1.0
e50836,377,326,1.0
9-Jan,378,327,1.0
51-54 4p,379,328,1.0
1427-30,380,329,1.0
875-916,381,330,1.0
565-9,382,331,1.0
,383,1,
70-6,384,332,1.0
233-44,385,333,1.0
346-352,386,334,2.0
239-244 6p,387,335,1.0
,388,1,
353-7,389,336,1.0
207-13,390,337,1.0
144-56,391,338,1.0
167-72,392,339,1.0
639-46,393,340,1.0
1050-1055,394,341,1.0
437-42,395,342,1.0
177-91,396,343,1.0
605-9,397,344,1.0
11-Jan,398,345,1.0
725.e11-5,399,346,1.0
380-4,400,347,1.0
141-51,401,348,1.0
395,402,349,1.0
160-172,403,350,1.0
24-32,404,351,1.0
1323-30,405,352,1.0
231-5-,406,353,1.0
1005-7,407,354,1.0
30-33 ST  - No need for routine closed suction drainage in elective arthroplasty of the hip: a prospective randomized trial in 104 operations-,408,355,1.0
359-61,409,356,1.0
184-9 ST  - Continuation of metformin reduces early pregnancy loss in obese Pakistani women with polycystic ovarian syndrome-,410,357,1.0
15-Jan,411,358,1.0
1556-1579,412,359,1.0
1164-1173 DO  - 10.1002/cncr.11174,413,360,1.0
,414,1,
2207-14,415,361,1.0
314-21,416,362,1.0
91-3,417,363,1.0
607-10,418,364,1.0
,419,1,
226-232,420,365,1.0
328-39,421,366,1.0
974-7,422,367,1.0
43-8,423,368,1.0
827-836,424,369,1.0
685-90,425,370,1.0
,426,1,
465-6,427,371,1.0
468-493,428,372,1.0
373-378,429,373,1.0
5-Feb,430,374,1.0
695-702,431,375,1.0
94-95,432,376,1.0
w13728,433,377,1.0
714-22,434,378,1.0
"2562-9 ST  - Randomized, double-blind, placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome-",435,379,1.0
66,436,380,1.0
706-17,437,381,1.0
36,438,382,1.0
1858-63,439,383,1.0
S223,440,384,1.0
100-4,441,385,1.0
447-55,442,386,1.0
400-405,443,387,1.0
3-Mar,444,388,1.0
,445,1,
721,446,389,1.0
3196-3199,447,390,1.0
535-41,448,391,1.0
1001-24,449,392,1.0
260-87,450,393,1.0
780-98,451,394,1.0
913-9,452,395,1.0
21-24,453,396,1.0
31-40,454,397,1.0
51-5,455,398,1.0
227-33,456,399,1.0
1763-9,457,400,1.0
708-715,458,401,1.0
7111-7120,459,402,1.0
101-108,460,403,1.0
1074-9,461,404,1.0
2692-9,462,405,1.0
19-35,463,406,1.0
121-36,464,407,1.0
1972-4,465,408,1.0
100A,466,409,1.0
241-242,467,410,1.0
431-438,468,411,1.0
13-21,469,412,1.0
581-91,470,413,1.0
545-53,471,414,1.0
20,472,415,1.0
923129,473,416,1.0
18-24,474,417,1.0
3535-44,475,418,1.0
493-503,476,419,1.0
2571,477,420,1.0
851-9,478,421,1.0
94-9,479,422,1.0
343-7,480,423,1.0
577-588,481,424,1.0
119-126 8p,482,425,1.0
54-62,483,426,1.0
350,484,427,1.0
269-77,485,428,1.0
68-74,486,429,1.0
,487,1,
-,488,430,2.0
S306-S314,489,431,1.0
917-920,490,432,1.0
1777-86,491,433,1.0
1282-9,492,434,1.0
193-9,493,435,1.0
273-6,494,436,1.0
731-741,495,437,1.0
277-286,496,438,1.0
33-43,497,439,1.0
141,498,440,1.0
190-1,499,441,1.0
593-5,500,442,1.0
289-318,501,443,1.0
360-374,502,444,1.0
238,503,445,1.0
60-61,504,446,1.0
130-4,505,447,1.0
339-52,506,448,1.0
1145-53,507,449,1.0
875-81,508,450,1.0
1309-1318,509,451,1.0
55-56 2p,510,452,1.0
440-4,511,453,1.0
f5001,512,454,1.0
381-386,513,455,1.0
57-65,514,456,1.0
383-4,515,457,1.0
4327-4335,516,458,1.0
223-7,517,459,1.0
834-40,518,460,1.0
2815-7,519,461,1.0
7-Jan,520,254,2.0
254-262,521,462,1.0
CD001880,522,463,1.0
759-63,523,464,1.0
27386-99,524,465,1.0
1945-52,525,466,1.0
83-7,526,467,1.0
S136,527,468,1.0
195-201,528,469,1.0
446-53,529,470,1.0
,530,1,
889-94,531,471,1.0
80-96,532,472,1.0
,533,1,
453-60,534,473,1.0
105,535,474,1.0
,536,1,
319-330,537,475,1.0
230-232,538,476,1.0
435-40,539,477,1.0
1652-6,540,478,1.0
,541,1,
195-203,542,301,2.0
E315-6,543,479,1.0
,544,1,
1442-6,545,480,1.0
238-49,546,481,1.0
,547,1,
559-62,548,482,1.0
6-Jan,549,483,1.0
,550,1,
408-427,551,484,1.0
,552,1,
361-5,553,485,1.0
1433-41,554,486,1.0
843-54,555,487,1.0
1723-7,556,488,1.0
25-26,557,489,1.0
26-39,558,490,1.0
1173-8,559,491,1.0
S156-S157,560,492,1.0
2761-2769 9p,561,493,1.0
398-407,562,494,1.0
389-95,563,495,1.0
207-220,564,496,1.0
89-101,565,497,1.0
36-42,566,498,1.0
143-156,567,499,1.0
163-176,568,500,1.0
231-47,569,501,1.0
544-55,570,502,1.0
S131-2,571,503,1.0
"421-6, 435, 434",572,504,1.0
78-83,573,505,1.0
2427-36,574,506,1.0
664-669,575,507,1.0
489-93,576,508,1.0
454-460,577,509,1.0
655-661,578,510,1.0
411-3,579,511,1.0
e213-8,580,512,1.0
631-8,581,513,1.0
S149,582,514,1.0
2276-83,583,515,1.0
,584,1,
1727-33,585,516,1.0
766-71,586,517,1.0
950-959,587,518,1.0
1255-1272,588,519,1.0
1061-5,589,520,1.0
81-3,590,521,1.0
597-605,591,522,1.0
53,592,523,1.0
3236-42 ST  - Changes in glucose tolerance over time in women with polycystic ovary syndrome: a controlled study-,593,524,1.0
,594,1,
502-8,595,525,1.0
288-94,596,526,1.0
281-5,597,527,1.0
4-47-53,598,528,1.0
584-92,599,529,1.0
437-41,600,530,1.0
202-208,601,531,1.0
615-622 8p,602,532,1.0
e1919,603,533,1.0
81-90,604,534,1.0
131-4,605,535,1.0
1126-1141,606,536,1.0
96-160,607,537,1.0
99-106,608,538,1.0
383-92,609,539,1.0
189-196,610,540,1.0
613-5,611,541,1.0
477-83,612,542,1.0
348-357,613,543,1.0
617-22,614,544,1.0
93-6,615,545,1.0
378-84,616,112,2.0
290-296,617,546,1.0
327-35,618,547,1.0
223-230,619,548,1.0
391-406,620,549,1.0
1531-7,621,550,1.0
"1114-7 ST  - A randomized, double-blind, placebo controlled triphosphate in study of oral adenosine subacute low back pain-",622,551,1.0
2018-2020,623,552,1.0
550-561,624,553,1.0
1271-6,625,554,1.0
527-35,626,555,1.0
2055-9,627,556,1.0
320-6,628,557,1.0
361-368,629,558,1.0
591-5,630,559,1.0
359-362,631,560,1.0
75,632,561,1.0
iii25-iii25,633,562,1.0
62928,634,563,1.0
153-6,635,564,1.0
328,636,565,1.0
138-139,637,566,1.0
156-9,638,567,1.0
120-6 ST  - Bioavailability and tolerability of intranasal diazepam in healthy adult volunteers-,639,568,1.0
2755-72,640,569,1.0
862-869,641,570,1.0
,642,1,
e483; author's reply e484,643,571,1.0
214-8,644,572,1.0
,645,1,
307-17,646,573,1.0
336-48,647,574,1.0
72,648,575,1.0
83-88,649,576,1.0
S67-8 1p,650,577,1.0
1883-94,651,578,1.0
55-60,652,579,1.0
2335-2340,653,580,1.0
19-24,654,581,1.0
167-175,655,582,1.0
3111-9,656,583,1.0
720-6,657,584,2.0
615-9,658,585,1.0
1237-48,659,586,1.0
945-52,660,587,1.0
A31,661,588,1.0
341-7,662,589,1.0
e103065,663,590,1.0
599-606,664,591,1.0
,665,1,
542-549,666,592,1.0
209-234,667,593,1.0
32,668,594,1.0
142-166,669,595,1.0
139,670,596,1.0
700-4,671,597,1.0
422-424,672,598,1.0
209-19,673,599,1.0
207-20,674,600,1.0
55-56,675,601,1.0
1704-10 ST  - Aerobic fitness testing in patients with chronic low back pain: which test is best?-,676,602,1.0
"262-265 ST  - Poster abstracts. The National Association of Bariatric Nurses, 4th Annual Meeting and Conference, October 24-27, 2007, North Charleston, South Carolina-",677,603,1.0
79-85,678,604,1.0
514-27,679,605,1.0
50-55,680,606,1.0
22,681,220,2.0
113-129,682,607,1.0
5635-42,683,608,1.0
10-14 DO  - 10.1016/S0748-7983(10)00156-3,684,609,1.0
9-Mar,685,610,1.0
257-264,686,611,1.0
1487-90,687,612,1.0
15-21,688,613,1.0
447-52 ST  - [Studies on cefotaxime (HR 756) concentration in human biliary tract and clinical effect for acute or subacute cholecystitis with cholelithiasis (author's transl)]-,689,614,1.0
983-6,690,615,1.0
G11-G15,691,616,1.0
,692,1,
139-145,693,617,1.0
603-10,694,618,1.0
2425-31,695,619,1.0
332-3,696,620,1.0
4482-4486,697,621,1.0
47-51 ST  - The concept of neurosis in a cross-cultural perspective-,698,622,1.0
1-Jan,699,623,1.0
,700,1,
120 [TP 184],701,624,1.0
Cd006178,702,625,1.0
,703,1,
987149,704,626,1.0
36-9,705,627,1.0
375-93,706,628,1.0
601-7,707,629,1.0
274-82,708,630,1.0
459-65,709,631,1.0
77-95,710,632,1.0
,711,1,
25,712,174,2.0
414-6,713,633,1.0
1756-1764,714,634,1.0
419,715,635,1.0
297-310,716,636,1.0
64-7,717,637,1.0
923-931,718,638,1.0
13-May,719,639,1.0
13-21 DO  - 10.1016/j.brat.2011.10.009,720,640,1.0
413-27,721,641,1.0
93-99 7p,722,642,1.0
900-14,723,643,1.0
,724,1,
,725,1,
,726,1,
170-5,727,644,1.0
S32-47,728,645,1.0
393-411,729,646,1.0
1947-1963,730,647,1.0
56-60,731,648,1.0
974-81,732,649,1.0
172-82,733,650,1.0
28-Jul,734,651,1.0
74-6,735,652,1.0
53-58,736,653,1.0
462-70,737,654,1.0
,738,1,
119-26,739,655,1.0
791-799,740,656,1.0
59-63,741,657,1.0
25-29,742,658,1.0
,743,1,
105-18,744,659,1.0
,745,1,
,746,1,
,747,1,
286-91,748,660,1.0
584-90,749,661,1.0
68-9 ST  - The cost of national service frameworks-,750,662,1.0
98--100,751,663,1.0
166-188,752,664,1.0
464-468,753,665,1.0
1017-28,754,666,1.0
798-805,755,667,1.0
815-22,756,668,1.0
,757,1,
"48-57; quiz 58, 60",758,669,1.0
A776,759,670,1.0
283-90,760,671,1.0
1307-12,761,672,1.0
187-93,762,673,1.0
40-43,763,674,1.0
1541-7,764,675,1.0
204-16,765,676,1.0
,766,1,
769-86,767,677,1.0
,768,1,
e112077,769,678,1.0
1140-50,770,679,1.0
B123-6,771,680,1.0
,772,1,
2211-22,773,681,1.0
152-6,774,682,1.0
194,775,683,1.0
15-Oct,776,684,1.0
190-192,777,685,1.0
572-84,778,686,1.0
271-7,779,687,1.0
84-8,780,688,1.0
336-49,781,689,1.0
,782,1,
234-249,783,690,1.0
266-8,784,691,1.0
-,785,430,2.0
29-38,786,692,1.0
79-80,787,693,1.0
20-20,788,694,1.0
35-40,789,695,1.0
694-702,790,696,1.0
,791,1,
221-32,792,697,1.0
18-31 14p,793,698,1.0
615-7,794,699,1.0
1257-66,795,700,1.0
91-8,796,701,1.0
841-7,797,702,1.0
,798,1,
42-53,799,703,1.0
,800,1,
39-51,801,704,1.0
186-192,802,705,1.0
124-31,803,706,1.0
125-142,804,707,1.0
346-352,805,334,2.0
1928-33,806,708,1.0
47-55,807,709,1.0
299-314,808,710,1.0
756-60,809,711,1.0
,810,1,
,811,1,
348,812,712,1.0
161-5,813,713,1.0
11342-11352,814,714,1.0
119-125,815,715,1.0
178-88,816,716,1.0
66-76,817,717,1.0
127-31 ST  - Premature androgenic alopecia and insulin resistance. Male equivalent of polycystic ovary syndrome?-,818,718,1.0
A326,819,719,1.0
,820,1,
976-9,821,720,1.0
10-10 ST  - CSM2004 best platform-,822,721,1.0
1796-7,823,722,1.0
636-45,824,723,1.0
382-7,825,724,1.0
65-68-,826,725,1.0
2063-8,827,726,1.0
1337-45,828,727,1.0
209-14,829,728,1.0
632-9,830,729,1.0
1652-8,831,730,1.0
,832,1,
835-40,833,4,2.0
639-49,834,731,1.0
925-31,835,732,1.0
890-902,836,733,1.0
249-50,837,734,1.0
366-74,838,735,1.0
693-6; discussion 697 ST  - Value of intravenous cholangiography prior to laparoscopic cholecystectomy-,839,736,1.0
,840,1,
2024; author reply 2026-7,841,737,1.0
1068-1074,842,738,1.0
15-20,843,739,1.0
,844,1,
13-14,845,740,1.0
969-75,846,741,1.0
525-531 ST  - How to appraise the effectiveness of treatment-,847,742,1.0
1296-304,848,743,1.0
3224,849,744,1.0
390-8,850,745,1.0
435-441,851,746,1.0
750-758 9p,852,747,1.0
1039-46,853,748,1.0
343-51,854,749,1.0
330-7,855,750,1.0
,856,1,
2826-34,857,751,1.0
1325-1332,858,752,1.0
A176,859,753,1.0
P3021,860,754,1.0
,861,1,
72-7,862,755,1.0
29-33,863,756,1.0
531-9,864,757,1.0
217-24,865,758,1.0
CD001364,866,759,1.0
759-60,867,760,1.0
,868,1,
58-68 ST  - Exercise-induced changes of the upper extremity in chronic stroke survivors-,869,761,1.0
287-291,870,762,1.0
e004623,871,763,1.0
371-80; discussion 435-513,872,764,1.0
Cd001799,873,765,1.0
6-May,874,766,1.0
643-50 ST  - Cost-utility analysis of osteopathy in primary care: results from a pragmatic randomized controlled trial-,875,767,1.0
138-52 ST  - The cost of depression-complicated alcoholism: health-care utilization and treatment effectiveness-,876,768,1.0
,877,1,
507-18,878,769,1.0
526,879,770,1.0
722-7,880,771,1.0
646-666,881,772,1.0
,882,1,
146-160,883,773,1.0
,884,1,
791-802,885,774,1.0
650-4,886,775,1.0
,887,1,
e70858,888,776,1.0
153,889,777,1.0
391-398,890,778,1.0
94-104,891,779,1.0
63-71 ST  - Polycystic ovary syndrome (PCOS) and other androgen excess-related conditions: can changes in dietary intake make a difference?-,892,780,1.0
1468-74,893,781,1.0
34-41 ST  - Shedding health risks with bariatric weight loss surgery-,894,782,1.0
427-35,895,55,2.0
471-6,896,783,1.0
"1347-53 ST  - Significantly higher adrenocorticotropin-stimulated cortisol and 17-hydroxyprogesterone levels in 337 consecutive, premenopausal, caucasian, hirsute patients compared with healthy controls-",897,784,1.0
,898,1,
S50-5,899,785,1.0
74-82,900,786,1.0
495-503,901,787,1.0
255-63,902,788,1.0
22-25,903,789,1.0
625-31,904,790,1.0
58-69,905,214,2.0
,906,1,
195-202,907,791,1.0
16-Mar,908,792,1.0
4086-93,909,793,1.0
14306-14311,910,794,1.0
e1001835; discussion e1001835-e1001835; discussion e1001835,911,795,1.0
244-233,912,796,1.0
e734-41,913,797,1.0
322-9,914,798,1.0
177-88,915,799,1.0
,916,1,
813-20,917,800,1.0
277-80,918,801,1.0
41-7,919,802,1.0
471-3,920,803,1.0
,921,1,
P435,922,804,1.0
131-134,923,134,2.0
248-54,924,805,1.0
409-414,925,806,1.0
733-743,926,807,1.0
18-Nov,927,808,1.0
20-4 ST  - Preferences and practices of Americans and their physicians in antihypertensive therapy-,928,809,1.0
e7,929,810,1.0
141-8,930,811,1.0
2607-18,931,812,1.0
,932,1,
,933,1,
105-109,934,813,1.0
2.05427E+015,935,814,1.0
454-60,936,815,1.0
570-4,937,816,1.0
545-9,938,817,1.0
247-256 10p,939,818,1.0
449-457,940,819,1.0
S25-7,941,820,1.0
300-306,942,821,1.0
446-55,943,822,1.0
134-44,944,823,1.0
488-96,945,824,1.0
449-455,946,825,1.0
,947,1,
,948,1,
261-270 ST  - Are stretches effective in the prevention and treatment of glenohumeral internal rotation deficit?-,949,826,1.0
e109114,950,827,1.0
677-680,951,828,1.0
159-166,952,829,1.0
791-9,953,830,1.0
720-6,954,584,2.0
225-263,955,831,1.0
323-333,956,832,1.0
574-84,957,833,1.0
179-186,958,834,1.0
703,959,835,1.0
1943-1946,960,836,1.0
546-8,961,837,1.0
iii-vii,962,838,1.0
701-707,963,839,1.0
,964,1,
1270-7,965,840,1.0
693-9,966,841,1.0
556-65,967,842,1.0
104-7; discussion 108,968,843,1.0
103-119,969,844,1.0
68-75,970,845,1.0
25-33,971,846,1.0
11-Sep,972,847,1.0
1159-73,973,848,1.0
513-6,974,849,1.0
71-7,975,850,1.0
,976,1,
iii35-44,977,851,1.0
,978,1,
3017-28,979,852,1.0
74570A-74570A-9,980,853,1.0
240-54,981,854,1.0
i48-55,982,855,1.0
295-301,983,856,1.0
S331-,984,857,1.0
728-730-,985,858,1.0
2371-8,986,859,1.0
617-23,987,860,1.0
63-66,988,861,1.0
833-9,989,862,1.0
1343S-1353S,990,863,1.0
1147-60,991,864,1.0
3917-31,992,865,1.0
141-149,993,866,1.0
374-8,994,867,1.0
297-301,995,868,1.0
33501,996,869,1.0
,997,1,
1219-1220,998,870,1.0
71-80,999,871,1.0
