Duration,original_index,unique_index
111 min,210,44
106 min,211,17
146 min,212,24
102 min,213,26
98 min,214,65
153 min,215,84
84 min,216,39
125 min,217,15
106 min,218,17
112 min,219,53
83 min,220,85
64 min,221,45
88 min,222,31
102 min,223,26
106 min,224,17
176 min,225,86
133 min,226,80
1 hr. 50 min.,227,87
102 min,228,26
103 min,229,36
81 min,230,76
82 min,231,66
119 min,232,88
129 min,233,63
93 min,234,3
62 min,235,89
72 min,236,57
90 min,237,34
100 min,238,8
93 min,239,3
100 min,240,8
125 min,241,15
116 min,242,52
100 min,243,8
106 min,244,17
123 min,245,90
127 min,246,12
94 min,247,33
113 min,248,23
118 min,249,51
139 min,250,91
118 min,251,51
92 min,252,5
269 min,253,92
167 min,254,93
58 min,255,94
115 min,256,11
92 min,257,5
93 min,258,3
104 min,259,18
115 min,260,11
101 min,261,42
171 min,262,95
157 min,263,79
,264,7
86 min,265,30
84 min,266,39
158 min,267,96
85 min,268,35
94 min,269,33
73 min,270,46
122 min,271,20
91 min,272,19
86 min,273,30
88 min,274,31
,275,7
79 min,276,32
90 min,277,34
96 min,278,1
112 min,279,53
134 min,280,97
164 min,281,98
121 min,282,16
109 min,283,0
155 min,284,99
90 min,285,34
119 min,286,88
97 min,287,37
89 min,288,56
128 min,289,100
110 min,290,10
115 min,291,11
132 min,292,101
88 min,293,31
113 min,294,23
124 min,295,13
107 min,296,71
143 min,297,4
101 min,298,42
96 min,299,1
111 min,300,44
108 min,301,50
100 min,302,8
125 min,303,15
112 min,304,53
120 min,305,2
103 min,306,36
131 min,307,102
98 min,308,65
118 min,309,51
144 min,310,49
,311,7
136 min,312,55
142 min,313,69
,314,7
103 min,315,36
84 min,316,39
106 min,317,17
86 min,318,30
84 min,319,39
97 min,320,37
79 min,321,32
89 min,322,56
124 min,323,13
97 min,324,37
88 min,325,31
104 min,326,18
129 min,327,63
169 min,328,103
125 min,329,15
89 min,330,56
130 min,331,104
106 min,332,17
118 min,333,51
124 min,334,13
108 min,335,50
93 min,336,3
101 min,337,42
106 min,338,17
110 min,339,10
88 min,340,31
94 min,341,33
106 min,342,17
105 min,343,9
120 min,344,2
105 min,345,9
125 min,346,15
91 min,347,19
140 min,348,74
116 min,349,52
1 hr. 35 min.,350,105
128 min,351,100
106 min,352,17
108 min,353,50
106 min,354,17
129 min,355,63
134 min,356,97
85 min,357,35
99 min,358,62
89 min,359,56
123 min,360,90
90 min,361,34
123 min,362,90
86 min,363,30
132 min,364,101
110 min,365,10
108 min,366,50
89 min,367,56
112 min,368,53
84 min,369,39
91 min,370,19
125 min,371,15
88 min,372,31
95 min,373,6
79 min,374,32
113 min,375,23
105 min,376,9
105 min,377,9
101 min,378,42
101 min,379,42
1 hr. 34 min.,380,106
87 min,381,38
111 min,382,44
95 min,383,6
115 min,384,11
109 min,385,0
100 min,386,8
110 min,387,10
90 min,388,34
71 min,389,58
100 min,390,8
107 min,391,71
113 min,392,23
90 min,393,34
94 min,394,33
104 min,395,18
97 min,396,37
100 min,397,8
88 min,398,31
95 min,399,6
91 min,400,19
94 min,401,33
120 min,402,2
102 min,403,26
90 min,404,34
97 min,405,37
94 min,406,33
113 min,407,23
88 min,408,31
104 min,409,18
107 min,410,71
107 min,411,71
85 min,412,35
91 min,413,19
119 min,414,88
86 min,415,30
118 min,416,51
124 min,417,13
122 min,418,20
118 min,419,51
120 min,420,2
96 min,421,1
88 min,422,31
131 min,423,102
119 min,424,88
136 min,425,55
,426,7
116 min,427,52
125 min,428,15
128 min,429,100
106 min,430,17
87 min,431,38
67 min,432,107
85 min,433,35
95 min,434,6
69 min,435,108
107 min,436,71
128 min,437,100
47 min,438,109
81 min,439,76
91 min,440,19
64 min,441,45
68 min,442,47
135 min,443,77
104 min,444,18
66 min,445,110
92 min,446,5
97 min,447,37
101 min,448,42
120 min,449,2
90 min,450,34
97 min,451,37
98 min,452,65
110 min,453,10
106 min,454,17
105 min,455,9
97 min,456,37
,457,7
80 min,458,48
102 min,459,26
77 min,460,111
202 min,461,112
85 min,462,35
105 min,463,9
100 min,464,8
132 min,465,101
147 min,466,113
76 min,467,61
72 min,468,57
82 min,469,66
80 min,470,48
80 min,471,48
138 min,472,114
106 min,473,17
88 min,474,31
74 min,475,60
80 min,476,48
,477,7
,478,7
,479,7
73 min,480,46
125 min,481,15
83 min,482,85
120 min,483,2
128 min,484,100
112 min,485,53
109 min,486,0
128 min,487,100
56 min,488,115
113 min,489,23
117 min,490,14
99 min,491,62
109 min,492,0
100 min,493,8
113 min,494,23
1 hr. 43 min.,495,116
68 min,496,47
103 min,497,36
88 min,498,31
88 min,499,31
102 min,500,26
96 min,501,1
111 min,502,44
136 min,503,55
114 min,504,41
84 min,505,39
93 min,506,3
131 min,507,102
120 min,508,2
136 min,509,55
129 min,510,63
128 min,511,100
93 min,512,3
108 min,513,50
90 min,514,34
92 min,515,5
101 min,516,42
96 min,517,1
86 min,518,30
,519,7
180 min,520,117
80 min,521,48
109 min,522,0
126 min,523,54
106 min,524,17
66 min,525,110
68 min,526,47
119 min,527,88
99 min,528,62
115 min,529,11
134 min,530,97
67 min,531,107
103 min,532,36
86 min,533,30
155 min,534,99
88 min,535,31
106 min,536,17
,537,7
130 min,538,104
86 min,539,30
93 min,540,3
90 min,541,34
107 min,542,71
121 min,543,16
125 min,544,15
102 min,545,26
96 min,546,1
132 min,547,101
104 min,548,18
91 min,549,19
92 min,550,5
108 min,551,50
123 min,552,90
102 min,553,26
82 min,554,66
82 min,555,66
87 min,556,38
85 min,557,35
99 min,558,62
94 min,559,33
95 min,560,6
103 min,561,36
237 min,562,118
161 min,563,119
88 min,564,31
,565,7
116 min,566,52
100 min,567,8
129 min,568,63
131 min,569,102
,570,7
105 min,571,9
129 min,572,63
,573,7
85 min,574,35
122 min,575,20
101 min,576,42
101 min,577,42
98 min,578,65
116 min,579,52
,580,7
102 min,581,26
105 min,582,9
103 min,583,36
109 min,584,0
111 min,585,44
113 min,586,23
100 min,587,8
78 min,588,70
104 min,589,18
122 min,590,20
98 min,591,65
99 min,592,62
105 min,593,9
149 min,594,120
115 min,595,11
130 min,596,104
100 min,597,8
157 min,598,79
93 min,599,3
98 min,600,65
80 min,601,48
75 min,602,83
101 min,603,42
80 min,604,48
80 min,605,48
90 min,606,34
68 min,607,47
98 min,608,65
94 min,609,33
84 min,610,39
96 min,611,1
84 min,612,39
88 min,613,31
95 min,614,6
73 min,615,46
92 min,616,5
94 min,617,33
86 min,618,30
88 min,619,31
121 min,620,16
142 min,621,69
80 min,622,48
106 min,623,17
109 min,624,0
,625,7
102 min,626,26
116 min,627,52
,628,7
100 min,629,8
103 min,630,36
130 min,631,104
92 min,632,5
80 min,633,48
109 min,634,0
145 min,635,121
126 min,636,54
67 min,637,107
92 min,638,5
87 min,639,38
85 min,640,35
126 min,641,54
96 min,642,1
124 min,643,13
86 min,644,30
92 min,645,5
87 min,646,38
93 min,647,3
89 min,648,56
88 min,649,31
220 min,650,122
96 min,651,1
108 min,652,50
127 min,653,12
68 min,654,47
92 min,655,5
107 min,656,71
90 min,657,34
83 min,658,85
99 min,659,62
101 min,660,42
120 min,661,2
124 min,662,13
133 min,663,80
85 min,664,35
83 min,665,85
89 min,666,56
110 min,667,10
91 min,668,19
123 min,669,90
131 min,670,102
118 min,671,51
95 min,672,6
77 min,673,111
75 min,674,83
74 min,675,60
107 min,676,71
94 min,677,33
90 min,678,34
98 min,679,65
138 min,680,114
93 min,681,3
121 min,682,16
167 min,683,93
114 min,684,41
92 min,685,5
93 min,686,3
79 min,687,32
97 min,688,37
1 hr. 28 min.,689,123
97 min,690,37
94 min,691,33
91 min,692,19
175 min,693,124
126 min,694,54
104 min,695,18
95 min,696,6
120 min,697,2
127 min,698,12
127 min,699,12
,700,7
111 min,701,44
132 min,702,101
90 min,703,34
69 min,704,108
98 min,705,65
93 min,706,3
,707,7
90 min,708,34
104 min,709,18
95 min,710,6
149 min,711,120
109 min,712,0
81 min,713,76
104 min,714,18
113 min,715,23
70 min,716,125
83 min,717,85
90 min,718,34
96 min,719,1
90 min,720,34
75 min,721,83
94 min,722,33
93 min,723,3
97 min,724,37
95 min,725,6
97 min,726,37
100 min,727,8
101 min,728,42
96 min,729,1
129 min,730,63
131 min,731,102
,732,7
99 min,733,62
112 min,734,53
118 min,735,51
80 min,736,48
78 min,737,70
75 min,738,83
87 min,739,38
78 min,740,70
84 min,741,39
81 min,742,76
82 min,743,66
81 min,744,76
,745,7
135 min,746,77
93 min,747,3
76 min,748,61
80 min,749,48
86 min,750,30
91 min,751,19
70 min,752,125
82 min,753,66
111 min,754,44
120 min,755,2
107 min,756,71
91 min,757,19
135 min,758,77
105 min,759,9
84 min,760,39
89 min,761,56
126 min,762,54
105 min,763,9
128 min,764,100
87 min,765,38
,766,7
93 min,767,3
115 min,768,11
78 min,769,70
80 min,770,48
96 min,771,1
104 min,772,18
91 min,773,19
103 min,774,36
97 min,775,37
,776,7
112 min,777,53
90 min,778,34
108 min,779,50
113 min,780,23
79 min,781,32
98 min,782,65
94 min,783,33
118 min,784,51
84 min,785,39
89 min,786,56
88 min,787,31
78 min,788,70
112 min,789,53
97 min,790,37
118 min,791,51
97 min,792,37
111 min,793,44
82 min,794,66
91 min,795,19
105 min,796,9
89 min,797,56
94 min,798,33
94 min,799,33
101 min,800,42
94 min,801,33
91 min,802,19
91 min,803,19
76 min,804,61
97 min,805,37
92 min,806,5
88 min,807,31
,808,7
97 min,809,37
87 min,810,38
92 min,811,5
96 min,812,1
85 min,813,35
92 min,814,5
94 min,815,33
91 min,816,19
111 min,817,44
84 min,818,39
,819,7
98 min,820,65
91 min,821,19
127 min,822,12
93 min,823,3
96 min,824,1
96 min,825,1
102 min,826,26
96 min,827,1
88 min,828,31
95 min,829,6
105 min,830,9
162 min,831,126
127 min,832,12
81 min,833,76
98 min,834,65
87 min,835,38
89 min,836,56
72 min,837,57
86 min,838,30
113 min,839,23
101 min,840,42
130 min,841,104
63 min,842,59
100 min,843,8
98 min,844,65
102 min,845,26
101 min,846,42
89 min,847,56
93 min,848,3
81 min,849,76
101 min,850,42
97 min,851,37
82 min,852,66
110 min,853,10
93 min,854,3
80 min,855,48
97 min,856,37
,857,7
93 min,858,3
80 min,859,48
89 min,860,56
80 min,861,48
80 min,862,48
88 min,863,31
85 min,864,35
87 min,865,38
91 min,866,19
100 min,867,8
86 min,868,30
,869,7
95 min,870,6
86 min,871,30
,872,7
,873,7
,874,7
,875,7
83 min,876,85
94 min,877,33
85 min,878,35
111 min,879,44
97 min,880,37
102 min,881,26
87 min,882,38
94 min,883,33
101 min,884,42
1 hr. 35 min.,885,105
92 min,886,5
87 min,887,38
92 min,888,5
91 min,889,19
108 min,890,50
85 min,891,35
83 min,892,85
83 min,893,85
95 min,894,6
86 min,895,30
102 min,896,26
116 min,897,52
92 min,898,5
100 min,899,8
96 min,900,1
98 min,901,65
158 min,902,96
85 min,903,35
120 min,904,2
94 min,905,33
92 min,906,5
93 min,907,3
93 min,908,3
91 min,909,19
81 min,910,76
93 min,911,3
,912,7
131 min,913,102
162 min,914,126
112 min,915,53
143 min,916,4
124 min,917,13
105 min,918,9
132 min,919,101
145 min,920,121
132 min,921,101
111 min,922,44
115 min,923,11
106 min,924,17
,925,7
117 min,926,14
134 min,927,97
93 min,928,3
107 min,929,71
97 min,930,37
157 min,931,79
126 min,932,54
115 min,933,11
189 min,934,127
129 min,935,63
122 min,936,20
118 min,937,51
111 min,938,44
144 min,939,49
144 min,940,49
118 min,941,51
101 min,942,42
174 min,943,128
88 min,944,31
100 min,945,8
78 min,946,70
139 min,947,91
127 min,948,12
85 min,949,35
107 min,950,71
108 min,951,50
88 min,952,31
105 min,953,9
143 min,954,4
103 min,955,36
105 min,956,9
92 min,957,5
115 min,958,11
120 min,959,2
152 min,960,29
104 min,961,18
103 min,962,36
105 min,963,9
84 min,964,39
84 min,965,39
,966,7
88 min,967,31
78 min,968,70
95 min,969,6
77 min,970,111
80 min,971,48
95 min,972,6
81 min,973,76
82 min,974,66
89 min,975,56
86 min,976,30
95 min,977,6
94 min,978,33
98 min,979,65
90 min,980,34
87 min,981,38
108 min,982,50
84 min,983,39
94 min,984,33
75 min,985,83
72 min,986,57
,987,7
89 min,988,56
88 min,989,31
85 min,990,35
89 min,991,56
79 min,992,32
84 min,993,39
108 min,994,50
142 min,995,69
96 min,996,1
94 min,997,33
,998,7
115 min,999,11
127 min,1000,12
96 min,1001,1
77 min,1002,111
94 min,1003,33
94 min,1004,33
94 min,1005,33
98 min,1006,65
93 min,1007,3
91 min,1008,19
94 min,1009,33
98 min,1010,65
110 min,1011,10
95 min,1012,6
150 min,1013,129
81 min,1014,76
107 min,1015,71
124 min,1016,13
81 min,1017,76
95 min,1018,6
107 min,1019,71
96 min,1020,1
82 min,1021,66
104 min,1022,18
78 min,1023,70
80 min,1024,48
90 min,1025,34
104 min,1026,18
101 min,1027,42
107 min,1028,71
115 min,1029,11
116 min,1030,52
84 min,1031,39
80 min,1032,48
75 min,1033,83
74 min,1034,60
93 min,1035,3
77 min,1036,111
76 min,1037,61
86 min,1038,30
84 min,1039,39
77 min,1040,111
69 min,1041,108
92 min,1042,5
104 min,1043,18
84 min,1044,39
85 min,1045,35
93 min,1046,3
85 min,1047,35
82 min,1048,66
75 min,1049,83
93 min,1050,3
90 min,1051,34
84 min,1052,39
71 min,1053,58
91 min,1054,19
97 min,1055,37
99 min,1056,62
98 min,1057,65
104 min,1058,18
106 min,1059,17
95 min,1060,6
75 min,1061,83
60 min,1062,82
72 min,1063,57
96 min,1064,1
56 min,1065,115
1 hr. 15 min.,1066,130
60 min,1067,82
90 min,1068,34
94 min,1069,33
74 min,1070,60
72 min,1071,57
70 min,1072,125
90 min,1073,34
62 min,1074,89
71 min,1075,58
108 min,1076,50
,1077,7
65 min,1078,131
78 min,1079,70
84 min,1080,39
117 min,1081,14
76 min,1082,61
75 min,1083,83
81 min,1084,76
92 min,1085,5
,1086,7
,1087,7
89 min,1088,56
82 min,1089,66
103 min,1090,36
98 min,1091,65
59 min,1092,132
115 min,1093,11
99 min,1094,62
113 min,1095,23
99 min,1096,62
88 min,1097,31
124 min,1098,13
,1099,7
,1100,7
92 min,1101,5
123 min,1102,90
137 min,1103,68
118 min,1104,51
108 min,1105,50
116 min,1106,52
153 min,1107,84
154 min,1108,22
119 min,1109,88
99 min,1110,62
122 min,1111,20
146 min,1112,24
113 min,1113,23
172 min,1114,133
91 min,1115,19
115 min,1116,11
91 min,1117,19
90 min,1118,34
79 min,1119,32
86 min,1120,30
76 min,1121,61
83 min,1122,85
81 min,1123,76
86 min,1124,30
111 min,1125,44
95 min,1126,6
98 min,1127,65
89 min,1128,56
121 min,1129,16
88 min,1130,31
79 min,1131,32
102 min,1132,26
88 min,1133,31
90 min,1134,34
93 min,1135,3
101 min,1136,42
136 min,1137,55
121 min,1138,16
131 min,1139,102
108 min,1140,50
118 min,1141,51
71 min,1142,58
70 min,1143,125
70 min,1144,125
75 min,1145,83
74 min,1146,60
79 min,1147,32
99 min,1148,62
73 min,1149,46
150 min,1150,129
178 min,1151,134
161 min,1152,119
158 min,1153,96
144 min,1154,49
132 min,1155,101
175 min,1156,124
126 min,1157,54
121 min,1158,16
167 min,1159,93
118 min,1160,51
144 min,1161,49
91 min,1162,19
95 min,1163,6
95 min,1164,6
170 min,1165,135
96 min,1166,1
111 min,1167,44
118 min,1168,51
114 min,1169,41
113 min,1170,23
125 min,1171,15
172 min,1172,133
115 min,1173,11
110 min,1174,10
116 min,1175,52
107 min,1176,71
101 min,1177,42
110 min,1178,10
83 min,1179,85
136 min,1180,55
143 min,1181,4
129 min,1182,63
104 min,1183,18
121 min,1184,16
121 min,1185,16
112 min,1186,53
115 min,1187,11
124 min,1188,13
92 min,1189,5
134 min,1190,97
112 min,1191,53
109 min,1192,0
119 min,1193,88
116 min,1194,52
123 min,1195,90
89 min,1196,56
101 min,1197,42
124 min,1198,13
130 min,1199,104
113 min,1200,23
169 min,1201,103
169 min,1202,103
142 min,1203,69
161 min,1204,119
143 min,1205,4
151 min,1206,25
194 min,1207,136
146 min,1208,24
126 min,1209,54
,1210,7
84 min,1211,39
154 min,1212,22
127 min,1213,12
107 min,1214,71
104 min,1215,18
126 min,1216,54
150 min,1217,129
165 min,1218,67
116 min,1219,52
88 min,1220,31
92 min,1221,5
158 min,1222,96
151 min,1223,25
124 min,1224,13
103 min,1225,36
118 min,1226,51
131 min,1227,102
120 min,1228,2
100 min,1229,8
124 min,1230,13
100 min,1231,8
143 min,1232,4
83 min,1233,85
179 min,1234,137
201 min,1235,138
178 min,1236,134
136 min,1237,55
140 min,1238,74
142 min,1239,69
118 min,1240,51
113 min,1241,23
110 min,1242,10
133 min,1243,80
131 min,1244,102
118 min,1245,51
130 min,1246,104
104 min,1247,18
95 min,1248,6
113 min,1249,23
97 min,1250,37
97 min,1251,37
125 min,1252,15
157 min,1253,79
113 min,1254,23
146 min,1255,24
153 min,1256,84
138 min,1257,114
161 min,1258,119
170 min,1259,135
156 min,1260,139
119 min,1261,88
127 min,1262,12
157 min,1263,79
112 min,1264,53
107 min,1265,71
133 min,1266,80
119 min,1267,88
128 min,1268,100
147 min,1269,113
105 min,1270,9
110 min,1271,10
192 min,1272,140
113 min,1273,23
145 min,1274,121
81 min,1275,76
100 min,1276,8
,1277,7
78 min,1278,70
117 min,1279,14
108 min,1280,50
140 min,1281,74
107 min,1282,71
140 min,1283,74
118 min,1284,51
181 min,1285,141
145 min,1286,121
130 min,1287,104
119 min,1288,88
93 min,1289,3
121 min,1290,16
129 min,1291,63
90 min,1292,34
95 min,1293,6
124 min,1294,13
131 min,1295,102
118 min,1296,51
118 min,1297,51
128 min,1298,100
113 min,1299,23
,1300,7
129 min,1301,63
125 min,1302,15
,1303,7
136 min,1304,55
135 min,1305,77
,1306,7
113 min,1307,23
124 min,1308,13
85 min,1309,35
56 min,1310,115
99 min,1311,62
1 hr. 57 min.,1312,142
121 min,1313,16
229 min,1314,143
178 min,1315,134
129 min,1316,63
116 min,1317,52
138 min,1318,114
129 min,1319,63
121 min,1320,16
138 min,1321,114
102 min,1322,26
99 min,1323,62
113 min,1324,23
107 min,1325,71
106 min,1326,17
107 min,1327,71
111 min,1328,44
96 min,1329,1
97 min,1330,37
138 min,1331,114
124 min,1332,13
170 min,1333,135
102 min,1334,26
117 min,1335,14
118 min,1336,51
175 min,1337,124
1 hr. 32 min.,1338,144
104 min,1339,18
102 min,1340,26
125 min,1341,15
68 min,1342,47
78 min,1343,70
64 min,1344,45
83 min,1345,85
88 min,1346,31
75 min,1347,83
76 min,1348,61
79 min,1349,32
94 min,1350,33
70 min,1351,125
74 min,1352,60
75 min,1353,83
101 min,1354,42
89 min,1355,56
94 min,1356,33
112 min,1357,53
87 min,1358,38
91 min,1359,19
87 min,1360,38
87 min,1361,38
102 min,1362,26
124 min,1363,13
93 min,1364,3
105 min,1365,9
94 min,1366,33
109 min,1367,0
124 min,1368,13
130 min,1369,104
99 min,1370,62
97 min,1371,37
128 min,1372,100
83 min,1373,85
124 min,1374,13
95 min,1375,6
123 min,1376,90
94 min,1377,33
120 min,1378,2
122 min,1379,20
94 min,1380,33
112 min,1381,53
128 min,1382,100
119 min,1383,88
90 min,1384,34
119 min,1385,88
133 min,1386,80
102 min,1387,26
126 min,1388,54
102 min,1389,26
97 min,1390,37
,1391,7
129 min,1392,63
100 min,1393,8
85 min,1394,35
103 min,1395,36
87 min,1396,38
92 min,1397,5
88 min,1398,31
93 min,1399,3
1 hr. 45 min.,1400,43
89 min,1401,56
97 min,1402,37
103 min,1403,36
130 min,1404,104
119 min,1405,88
100 min,1406,8
119 min,1407,88
89 min,1408,56
92 min,1409,5
93 min,1410,3
94 min,1411,33
119 min,1412,88
,1413,7
98 min,1414,65
92 min,1415,5
94 min,1416,33
81 min,1417,76
101 min,1418,42
88 min,1419,31
108 min,1420,50
98 min,1421,65
83 min,1422,85
95 min,1423,6
85 min,1424,35
86 min,1425,30
90 min,1426,34
93 min,1427,3
94 min,1428,33
,1429,7
93 min,1430,3
86 min,1431,30
104 min,1432,18
113 min,1433,23
96 min,1434,1
106 min,1435,17
126 min,1436,54
114 min,1437,41
104 min,1438,18
96 min,1439,1
101 min,1440,42
106 min,1441,17
99 min,1442,62
93 min,1443,3
82 min,1444,66
103 min,1445,36
98 min,1446,65
88 min,1447,31
92 min,1448,5
106 min,1449,17
,1450,7
118 min,1451,51
84 min,1452,39
92 min,1453,5
102 min,1454,26
96 min,1455,1
94 min,1456,33
89 min,1457,56
88 min,1458,31
140 min,1459,74
115 min,1460,11
137 min,1461,68
109 min,1462,0
117 min,1463,14
114 min,1464,41
113 min,1465,23
90 min,1466,34
141 min,1467,145
101 min,1468,42
108 min,1469,50
107 min,1470,71
102 min,1471,26
101 min,1472,42
82 min,1473,66
89 min,1474,56
72 min,1475,57
91 min,1476,19
88 min,1477,31
119 min,1478,88
78 min,1479,70
82 min,1480,66
94 min,1481,33
102 min,1482,26
112 min,1483,53
112 min,1484,53
104 min,1485,18
68 min,1486,47
72 min,1487,57
74 min,1488,60
95 min,1489,6
98 min,1490,65
109 min,1491,0
109 min,1492,0
87 min,1493,38
93 min,1494,3
90 min,1495,34
95 min,1496,6
89 min,1497,56
72 min,1498,57
83 min,1499,85
74 min,1500,60
78 min,1501,70
78 min,1502,70
71 min,1503,58
71 min,1504,58
82 min,1505,66
90 min,1506,34
101 min,1507,42
89 min,1508,56
76 min,1509,61
86 min,1510,30
71 min,1511,58
74 min,1512,60
96 min,1513,1
96 min,1514,1
96 min,1515,1
80 min,1516,48
98 min,1517,65
99 min,1518,62
100 min,1519,8
104 min,1520,18
100 min,1521,8
103 min,1522,36
107 min,1523,71
88 min,1524,31
106 min,1525,17
100 min,1526,8
93 min,1527,3
91 min,1528,19
92 min,1529,5
1 hr. 33 min.,1530,146
92 min,1531,5
96 min,1532,1
90 min,1533,34
81 min,1534,76
107 min,1535,71
101 min,1536,42
87 min,1537,38
88 min,1538,31
87 min,1539,38
94 min,1540,33
99 min,1541,62
112 min,1542,53
59 min,1543,132
101 min,1544,42
96 min,1545,1
90 min,1546,34
100 min,1547,8
,1548,7
104 min,1549,18
119 min,1550,88
49 min,1551,147
99 min,1552,62
90 min,1553,34
105 min,1554,9
95 min,1555,6
108 min,1556,50
104 min,1557,18
,1558,7
103 min,1559,36
108 min,1560,50
116 min,1561,52
94 min,1562,33
86 min,1563,30
97 min,1564,37
108 min,1565,50
100 min,1566,8
100 min,1567,8
122 min,1568,20
116 min,1569,52
88 min,1570,31
72 min,1571,57
88 min,1572,31
100 min,1573,8
93 min,1574,3
91 min,1575,19
90 min,1576,34
93 min,1577,3
95 min,1578,6
123 min,1579,90
197 min,1580,148
155 min,1581,99
88 min,1582,31
94 min,1583,33
81 min,1584,76
93 min,1585,3
91 min,1586,19
100 min,1587,8
85 min,1588,35
72 min,1589,57
73 min,1590,46
71 min,1591,58
70 min,1592,125
69 min,1593,108
69 min,1594,108
84 min,1595,39
99 min,1596,62
148 min,1597,149
83 min,1598,85
95 min,1599,6
124 min,1600,13
122 min,1601,20
127 min,1602,12
110 min,1603,10
130 min,1604,104
135 min,1605,77
119 min,1606,88
132 min,1607,101
92 min,1608,5
139 min,1609,91
91 min,1610,19
113 min,1611,23
99 min,1612,62
100 min,1613,8
107 min,1614,71
90 min,1615,34
124 min,1616,13
98 min,1617,65
96 min,1618,1
95 min,1619,6
107 min,1620,71
108 min,1621,50
160 min,1622,27
99 min,1623,62
96 min,1624,1
120 min,1625,2
118 min,1626,51
127 min,1627,12
118 min,1628,51
135 min,1629,77
105 min,1630,9
73 min,1631,46
81 min,1632,76
100 min,1633,8
127 min,1634,12
90 min,1635,34
99 min,1636,62
105 min,1637,9
88 min,1638,31
91 min,1639,19
84 min,1640,39
107 min,1641,71
101 min,1642,42
100 min,1643,8
101 min,1644,42
97 min,1645,37
126 min,1646,54
107 min,1647,71
94 min,1648,33
96 min,1649,1
91 min,1650,19
105 min,1651,9
133 min,1652,80
107 min,1653,71
117 min,1654,14
85 min,1655,35
73 min,1656,46
57 min,1657,150
1 hr. 29 min.,1658,151
82 min,1659,66
80 min,1660,48
65 min,1661,131
105 min,1662,9
97 min,1663,37
125 min,1664,15
108 min,1665,50
87 min,1666,38
92 min,1667,5
