MeasureCode,Score,original_index,unique_index,count
scip-vte-2,100%,347,115,6
ami-1,97%,348,8,3
amix2,98%,349,217,1
ami-3,85%,350,218,1
ami-4,100%,351,11,21
ami-5,96%,352,62,3
scip-vte-2,87%,353,219,3
ami-1,100%,354,116,13
ami-2,100%,355,117,16
ami-3,100%,356,42,15
ami-4,100%,357,11,21
ami-5,100%,358,44,14
ami-7a,0%,359,207,4
ami-8a,empty,360,14,25
hf-1,90%,361,220,1
hf-2,100%,362,161,12
hf-3,85%,363,221,3
hf-4,100%,364,18,28
pn-2,91%,365,222,1
pn-3b,98%,366,223,2
pn-4,98%,367,224,1
pn-5c,100%,368,225,2
pn-6,100%,369,124,3
pn-7,82%,370,226,3
scip-card-2,89%,371,189,3
scip-inf-1,98%,372,190,3
scip-inf-2,99%,373,74,5
scip-inf-3,94%,374,75,3
scip-inf-4,empty,375,4,23
scip-inf-6,100%,376,57,26
scip-vte-1,95%,377,77,4
scip-vte-2,x5%,378,227,1
ami-1,99%,379,143,3
ami-2,97%,380,184,3
ami-3,100%,381,42,15
ami-4,100%,382,11,21
ami-5,96%,383,62,3
ami-7a,empty,384,13,32
ami-8a,50%,385,228,1
hf-1,83%,386,229,2
hf-2,98%,387,119,4
hf-3,96%,388,230,2
hf-4,100%,389,18,28
pn-2,71%,390,231,1
pn-xb,89%,391,232,1
ami-2,100%,392,117,16
ami-3,67%,393,233,1
ami-4,empty,394,43,14
ami-5,100%,395,44,14
ami-7a,empty,396,13,32
ami-8a,empty,397,14,25
hx-1,96%,398,234,1
hf-2,94%,399,235,3
hf-3,94%,400,162,4
hf-4,96%,401,236,1
pn-2,94%,402,237,2
pn-3b,95%,403,68,5
pn-4,100%,404,69,19
pn-5c,x4%,405,238,1
pn-6,92%,406,51,3
pn-7,99%,407,214,3
scip-card-2,100%,408,110,7
scipxinfx1,90%,409,239,1
scip-inf-2,90%,410,240,1
scip-inf-3,1xx%,411,241,2
scip-vte-1,100%,412,114,6
scip-vte-2,98%,413,242,1
ami-1,90%,414,243,1
ami-2,100%,415,117,16
ami-3,100%,416,42,15
ami-4,empty,417,43,14
ami-5,100%,418,44,14
ami-7a,empty,419,13,32
ami-8a,empty,420,14,25
hf-1,77%,421,244,1
hf-2,99%,422,16,6
hf-3,85%,423,221,3
hf-4,100%,424,18,28
pn-2,93%,425,26,3
pn-3b,x7%,426,245,1
pn-4,100%,427,69,19
pn-5c,97%,428,137,8
pn-6,96%,429,246,3
pn-7,88%,430,71,3
scip-card-2,82%,431,247,1
hf-1,91%,432,248,1
hf-2,98%,433,119,4
hf-3,100%,434,120,8
hf-4,100%,435,18,28
pn-2,97%,436,47,5
pn-3b,100%,437,122,9
pn-4,96%,438,249,1
pn-5c,97%,439,137,8
pn-6,95%,440,250,1
pn-7,90%,441,90,4
scip-card-2,87%,442,251,1
scip-inf-1,96%,443,54,2
scip-inf-2,98%,444,34,4
scip-inf-3,88%,445,35,2
scip-inf-4,94%,446,252,2
scip-inf-6,100%,447,57,26
scip-vte-1,94%,448,253,1
scip-vte-2,94%,449,193,3
ami-1,empty,450,170,5
ami-2,empty,451,171,4
pn-2,89%,452,254,2
pn-3b,99%,453,255,3
pn-4,97%,454,49,3
pn-5c,98%,455,256,4
pn-6,86%,456,257,1
pn-7,82%,457,226,3
scip-card-2,81%,458,258,1
scip-inf-1,92%,459,259,1
scip-inf-2,91%,460,93,3
scip-inf-3,84%,461,260,1
scip-inf-4,empty,462,4,23
scip-inf-6,97%,463,261,3
sxip-vte-1,85%,464,262,1
scip-vte-2,79%,465,263,1
ami-1,100%,466,116,13
ami-2,100%,467,117,16
ami-3,empty,468,81,9
ami-4,100%,469,11,21
ami-5,83%,470,131,2
ami-7a,0%,471,207,4
ami-8a,empty,472,14,25
hf-1,66%,473,264,1
hf-2,96%,474,265,2
hf-3,94%,475,162,4
hf-4,94%,476,46,2
pn-2,85%,477,266,2
pn-3b,94%,478,135,2
pn-4,87%,479,267,1
pn-5c,95%,480,107,3
pn-6,64%,481,268,1
pn-7,90%,482,90,4
scip-card-2,100%,483,110,7
scip-inf-1,94%,484,33,2
scip-inf-2,96%,485,269,1
scip-inf-3,85%,486,270,1
scip-inf-4,empty,487,4,23
scip-inf-6,1xx%,488,271,1
scip-vte-1,88%,489,272,3
scip-vte-2,68%,490,273,1
ami-1,empty,491,170,5
ami-2,100%,492,117,16
ami-3,empty,493,81,9
ami-4,empty,494,43,14
ami-x,empty,495,274,1
ami-7a,empty,496,13,32
ami-8a,empty,497,14,25
hf-1,83%,498,229,2
hf-2,94%,499,235,3
hf-3,90%,500,45,3
hf-4,100%,501,18,28
pn-2,93%,502,26,3
pn-3b,97%,503,48,3
pn-4,100%,504,69,19
pn-5c,89%,505,275,1
pn-6,93x,506,276,1
pn-7,81%,507,52,3
scip-card-2,empty,508,0,7
scip-inf-1,0%,509,277,1
scip-inf-2,100%,510,112,6
scip-inf-3,0%,511,278,1
scip-inf-4,empty,512,4,23
scip-inf-6,100%,513,57,26
scip-vte-1,1xx%,514,279,1
scip-vte-2,100%,515,115,6
ami-1,100%,516,116,13
ami-2,100%,517,117,16
ami-3,100%,518,42,15
ami-4,100%,519,11,21
ami-5,100%,520,44,14
ami-7a,empty,521,13,32
ami-8a,96%,522,280,1
hf-1,100%,523,173,5
hf-2,100%,524,161,12
hf-3,100%,525,120,8
hf-4,100%,526,18,28
pn-2,94%,527,237,2
pn-3b,96%,528,148,3
pn-4,94%,529,136,3
pn-5c,95%,530,107,3
pn-6,90%,531,281,1
pn-7,92%,532,179,4
scip-card-2,97%,533,282,1
scip-inf-1,97%,534,152,3
scip-inf-2,97%,535,283,2
scip-inf-3,94%,536,75,3
scip-inf-4,95%,537,284,2
scip-inf-6,100%,538,57,26
scip-vte-1,98%,539,285,1
scip-vte-2,94%,540,193,3
ami-1,95%,541,286,1
ami-2,92%,542,9,2
ami-3,79%,543,287,1
ami-4,97%,544,288,1
ami-5,95%,545,157,3
ami-7a,empty,546,13,32
ami-8a,40%,547,159,2
hf-1,45%,548,289,1
hf-2,90%,549,290,1
hf-3,85%,550,221,3
hf-4,99%,551,291,1
pn-2,85%,552,266,2
pn-3b,95%,553,68,5
pn-4,91%,554,292,2
pn-5c,88%,555,293,1
pn-6,82%,556,294,1
pn-7,82%,557,226,3
scip-card-2,67%,558,126,3
scip-inf-1,78%,559,295,1
scip-inf-2,98%,560,34,4
scip-inf-3,83%,561,296,1
scip-inf-4,72%,562,297,1
scip-inf-6,97%,563,261,3
scip-vte-1,92%,564,298,1
scip-vte-2,87%,565,219,3
ami-1,92%,566,299,1
ami-2,90%,567,300,1
ami-3,100%,568,42,15
ami-4,50%,569,301,1
ami-5,92%,570,302,1
ami-7a,0%,571,207,4
ami-8a,empty,572,14,25
hf-1,54%,573,303,1
hf-2,99%,574,16,6
hf-3,96%,575,230,2
hf-4,97%,576,304,1
pn-2,80%,577,305,1
pn-3b,95%,578,68,5
pn-4,91%,579,292,2
px-5c,82%,580,306,1
pn-6,85%,581,307,2
pn-7,75%,582,308,1
scip-card-2,32%,583,309,1
scip-inf-1,100%,584,111,6
scip-inf-2,93%,585,55,4
scip-inf-3,79%,586,310,2
scip-inf-4,empty,587,4,23
scip-inf-6,96%,588,311,1
scip-vte-1,88%,589,272,3
scip-vte-2,82%,590,312,1
ami-1,empty,591,170,5
ami-2,empty,592,171,4
ami-3,empty,593,81,9
ami-4,empty,594,43,14
ami-5,empty,595,172,3
ami-7a,empty,596,13,32
ami-8a,empty,597,14,25
hf-1,100%,598,173,5
hf-2,100%,599,161,12
hf-3,empty,600,196,2
hf-4,empty,601,197,2
pn-2,100%,602,211,5
pn-3b,100%,603,122,9
pn-4,100%,604,69,19
pn-5c,100%,605,225,2
pn-6,93%,606,138,3
pn-7,100%,607,313,2
scip-card-2,empty,608,0,7
scip-inf-1,empty,609,1,5
scip-inf-2,empty,610,2,5
scip-inf-3,empty,611,3,5
scip-inf-4,empty,612,4,23
scip-inf-6,empty,613,5,4
scip-vte-1,empty,614,6,5
scip-vte-2,empty,615,7,5
ami-1,98%,616,19,5
ami-2,97%,617,184,3
ami-3,93%,618,61,3
ami-4,100%,619,11,21
ami-5,98%,620,314,1
ami-7a,empty,621,13,32
ami-8a,85%,622,145,2
hf-1,82%,623,315,1
hf-2,100%,624,161,12
hf-3,92%,625,17,2
hf-4,100%,626,18,28
pn-2,92%,627,177,2
pn-3b,91%,628,316,1
pn-4,100%,629,69,19
pn-5c,96%,630,50,5
pn-6,97%,631,317,1
pn-7,88%,632,71,3
scip-card-2,98%,633,318,1
scip-inf-1,99%,634,73,5
scip-inf-2,99%,635,74,5
scip-inf-3,97%,636,319,1
scip-inf-4,98%,637,216,2
scip-inf-6,100%,638,57,26
scip-vtx-1,92%,639,320,1
scip-vte-2,90%,640,183,3
ami-1,50%,641,321,1
ami-2,67%,642,322,2
ami-3,empty,643,81,9
ami-4,empty,644,43,14
ami-5,67%,645,323,1
ami-7a,empty,646,13,32
ami-8a,empty,647,14,25
hfx1,0%,648,324,1
hf-2,38%,649,325,1
hf-3,25%,650,326,1
hf-4,100%,651,18,28
pn-2,25%,652,104,2
pn-3b,100%,653,122,9
pn-4,67%,654,327,1
pn-5c,90%,655,328,1
pn-6,96%,656,246,3
pn-7,12%,657,329,1
scip-card-2,empty,658,0,7
scip-inf-1,empty,659,1,5
scip-inf-2,empty,660,2,5
scip-inf-3,empty,661,3,5
scip-inf-4,empty,662,4,23
scip-inf-6,empty,663,5,4
scip-vte-1,empty,664,6,5
scip-vte-2,empty,665,7,5
ami-1,98%,666,19,5
ami-2,98%,667,330,1
ami-3,91%,668,144,3
ami-4,100%,669,11,21
ami-5,97%,670,185,2
ami-7a,empty,671,13,32
ami-8a,98%,672,63,2
xf-1,46%,673,331,1
hf-2,96%,674,265,2
hf-3,94%,675,162,4
hfx4,100%,676,332,1
pn-2,74%,677,333,2
pn-3b,92%,678,334,2
pn-4,100%,679,69,19
pn-5c,92%,680,29,2
pn-6,85%,681,307,2
pn-7,79%,682,335,1
scip-card-2,69%,683,336,1
scip-inf-1,88%,684,92,2
scip-inf-2,95%,685,337,2
scip-inf-3,87%,686,338,2
scip-inf-4,76%,687,339,2
scip-inf-6,97%,688,261,3
scip-vte-1,79%,689,340,1
scip-vte-2,77%,690,341,1
amix1,77%,691,342,1
ami-2,100%,692,117,16
ami-3,100%,693,42,15
amx-4,empty,694,343,1
ami-5,75%,695,344,1
ami-7a,empty,696,13,32
ami-8a,empty,697,14,25
hf-1,xx%,698,345,1
hf-2,100%,699,161,12
hf-3,100%,700,120,8
hf-4,100%,701,18,28
pn-2,87%,702,86,4
pn-3b,95%,703,68,5
pn-4,90%,704,346,1
pn-5c,97%,705,137,8
pn-6,96%,706,246,3
pn-7,93%,707,347,1
scip-card-2,100%,708,110,7
scip-inf-1,100%,709,111,6
scip-inf-2,100%,710,112,6
scip-inf-3,1xx%,711,241,2
scip-inf-4,empty,712,4,23
scip-inf-6,100%,713,57,26
scip-vte-1,88%,714,272,3
scip-vte-2,88%,715,96,2
ami-1,100%,716,116,13
ami-2,100%,717,117,16
amx-3,x7%,718,348,1
ami-4,100%,719,11,21
ami-5,100%,720,44,14
ami-7a,empty,721,13,32
ami-8a,empty,722,14,25
hf-1,99%,723,349,1
hf-2,100%,724,161,12
hf-3,97%,725,188,2
hf-4,100%,726,18,28
pn-2,100%,727,211,5
pn-3b,100%,728,122,9
px-4,100%,729,350,1
pn-5c,99%,730,163,4
pn-6,98%,731,351,1
pn-7,98%,732,164,2
scip-card-2,99%,733,352,1
scip-inf-1,99%,734,73,5
scix-inf-2,98%,735,353,1
scip-inf-3,98%,736,167,2
scip-inf-4,empty,737,4,23
scip-inf-6,100%,738,57,26
scip-vte-1,95%,739,77,4
scip-vte-2,95%,740,354,1
ami-1,100%,741,116,13
ami-2,60%,742,41,2
ami-3,100%,743,42,15
ami-4,empty,744,43,14
ami-5,100%,745,44,14
ami-7a,empty,746,13,32
ami-8a,empty,747,14,25
hf-1,100%,748,173,5
hx-2,91%,749,355,1
hf-3,86%,750,356,1
hf-4,100%,751,18,28
pn-2,100%,752,211,5
pn-3b,89%,753,27,2
pn-4,100%,754,69,19
pn-5c,97%,755,137,8
pn-6,75%,756,357,1
pn-7,92%,757,179,4
scip-card-2,89%,758,189,3
scip-inf-1,97%,759,152,3
scip-inf-2,88%,760,358,2
scip-inf-3,99%,761,215,2
scip-inf-4,empty,762,4,23
scip-inf-6,100%,763,57,26
scip-vte-1,80%,764,359,1
scip-vte-2,80%,765,360,1
cac-1,100%,766,361,2
scip-inf-1,99%,767,73,5
scip-inf-2,93%,768,55,4
scip-inf-3,x3%,769,362,1
scip-inf-4,empty,770,4,23
scip-inf-6,100%,771,57,26
scip-vte-1,90%,772,182,2
scip-vte-2,89%,773,363,1
xax-1,100%,774,364,1
cac-2,98%,775,365,1
cac-3,14%,776,366,1
ami-1,98%,777,19,5
ami-2,100%,778,117,16
ami-3,97%,779,367,1
ami-4,100%,780,11,21
ami-5,100%,781,44,14
ami-7a,empty,782,13,32
ami-8a,82%,783,368,1
hf-1,72%,784,369,1
hf-2,95%,785,370,1
hf-3,98%,786,147,2
hf-4,100%,787,18,28
pn-x,96%,788,371,1
pn-3b,99%,789,255,3
pn-4,97%,790,49,3
pn-5c,93%,791,372,1
pn-6,89%,792,373,2
pn-7,89%,793,374,1
scip-card-2,90%,794,375,1
scip-inf-1,95%,795,376,2
scip-inf-2,99%,796,74,5
scip-inf-3,93%,797,94,2
scip-inf-4,95%,798,284,2
scip-inf-6,99%,799,377,1
scip-vte-1,93%,800,378,1
scip-vte-2,90%,801,183,3
ami-1,94%,802,379,1
ami-2,99%,803,20,2
ami-3,89%,804,380,1
ami-4,100%,805,11,21
ami-5,95%,806,157,3
ami-7a,68%,807,381,1
ami-8a,83%,808,186,2
hf-1,47%,809,382,1
hf-2,100%,810,161,12
hf-3,93%,811,383,1
hf-4,100%,812,18,28
pn-2,96%,813,384,2
pn-3b,96%,814,148,3
pn-4,100%,815,69,19
pn-5c,94%,816,385,1
pn-6,89%,817,373,2
pn-7,96%,818,386,1
scip-card-2,91%,819,91,2
scip-inf-1,98%,820,190,3
scip-inf-2,97%,821,283,2
scip-inf-3,90%,822,387,1
scip-inf-4,94%,823,252,2
scip-inf-6,100%,824,57,26
scip-vte-1,95%,825,77,4
scip-vte-2,87%,826,219,3
ami-1,100%,827,116,13
ami-2,100%,828,117,16
ami-3,100%,829,42,15
ami-4,empty,830,43,14
ami-5,100%,831,44,14
ami-7a,empty,832,13,32
ami-8a,empty,833,14,25
hf-1,84%,834,388,1
hf-2,89%,835,389,1
hf-3,75%,836,102,2
hf-4,100%,837,18,28
pn-2,89%,838,254,2
pn-3b,92%,839,334,2
pn-4,94%,840,136,3
pn-5c,98%,841,256,4
pnx6,95%,842,390,1
pn-7,81%,843,52,3
scip-card-2,50%,844,391,1
scip-inf-1,100%,845,111,6
scip-inf-2,100%,846,112,6
scip-inf-3,100%,847,113,4
scip-inf-4,empty,848,4,23
scip-inf-6,100%,849,57,26
scip-vte-1,empty,850,6,5
scip-vte-2,empty,851,7,5
ami-1,67%,852,392,1
ami-2,67%,853,322,2
ami-3,100%,854,42,15
ami-4,empty,855,43,14
ami-5,33%,856,393,1
ami-7a,empty,857,13,32
ami-8a,empty,858,14,25
hf-1,74%,859,394,1
hf-2,80x,860,395,1
hf-3,78%,861,134,2
hf-4,80%,862,396,1
pn-2,96%,863,384,2
pn-3b,99%,864,255,3
px-4,90%,865,397,1
pn-5c,98%,866,256,4
pn-6,76%,867,398,2
pn-7,91%,868,210,2
scip-card-2,67%,869,126,3
scip-inf-1,80%,870,399,1
scip-inf-2,87%,871,400,1
scip-inf-3,87%,872,338,2
scip-inf-4,empty,873,4,23
scip-inf-6,100%,874,57,26
scip-vte-1,100%,875,114,6
scip-vte-2,100%,876,115,6
ami-1,100%,877,116,13
ami-2,100%,878,117,16
ami-3,0%,879,401,1
ami-4,100%,880,11,21
ami-5,82%,881,402,1
ami-7a,empty,882,13,32
ami-8a,empty,883,14,25
hf-1,87%,884,209,2
hf-2,94%,885,235,3
hf-3,89%,886,403,1
hf-4,100%,887,18,28
pn-2,x5%,888,404,1
pn-3b,100%,889,122,9
pn-4,100%,890,69,19
pn-5c,97%,891,137,8
pn-6,87%,892,405,1
pn-7,87%,893,406,1
scip-card-2,empty,894,0,7
scip-inf-1,empty,895,1,5
scip-inf-2,empty,896,2,5
scip-inf-3,empty,897,3,5
scip-inf-4,empty,898,4,23
scip-inf-6,100%,899,57,26
scip-vte-1,100%,900,114,6
scip-vte-2,100%,901,115,6
cac-1,100%,902,361,2
cac-2,100%,903,204,2
cac-3,100%,904,407,1
ami-1,100%,905,116,13
ami-2,100%,906,117,16
ami-3,100%,907,42,15
ami-4,100%,908,11,21
ami-5,100%,909,44,14
ami-7a,88%,910,408,1
ami-8a,100%,911,409,1
hf-1,100%,912,173,5
hf-2,100%,913,161,12
hf-3,100%,914,120,8
hf-4,100%,915,18,28
pn-2,99%,916,410,1
pn-3b,97%,917,48,3
pn-4,100%,918,69,19
pn-5c,87%,919,411,1
pn-6,76%,920,398,2
pn-7,99%,921,214,3
scip-card-2,95%,922,412,1
scip-inf-1,95%,923,376,2
scip-inf-2,95%,924,337,2
scip-inf-3,79%,925,310,2
