article_language,jounral_abbreviation,original_index,unique_index,count
ENG,Int J Colorectal Dis,323,159,1.0
,,324,9,
,,325,9,
eng,Neurologist,326,160,1.0
,,327,9,
,Expert Opin Emerg Drugs,328,161,
,,329,9,
,,330,9,
eng,Drugs Aging,331,162,1.0
,,332,9,
chi,,333,163,
eng,Endod Dent Traumatol,334,164,1.0
eng,Cardiology in the young,335,165,1.0
eng,,336,5,
,,337,9,
eng,Hematol. J.,338,166,1.0
,,339,9,
ENG,Int J Geriatr Psychiatry,340,167,1.0
eng,Acta neurochirurgica. Supplementum,341,168,1.0
,,342,9,
eng,,343,5,
,,344,9,
,,345,9,
eng,,346,5,
eng,Colorectal Dis,347,169,1.0
eng,Allergy Asthma Proc,348,170,1.0
eng,,349,5,
English,,350,8,
,,351,9,
English,,352,8,
eng,,353,5,
eng,J Anesth,354,171,1.0
,,355,9,
ENG,Parkinsonism Relat. Disord.,356,172,1.0
eng,,357,5,
eng,,358,5,
,,359,9,
ENG,Dis. Esophagus,360,173,1.0
fre,Annales francaises d'anesthesie et de reanimation,361,174,1.0
eng,,362,5,
eng,Exp. Cell Res.,363,175,1.0
,,364,9,
eng,Biomed Res Int,365,176,2.0
,,366,9,
jpn,,367,177,
eng,Injury,368,178,1.0
English,,369,8,
eng,,370,5,
eng,Ann. Intern. Med.,371,179,1.0
,,372,9,
English,,373,8,
,,374,9,
eng,Hepatogastroenterology,375,180,1.0
English,,376,8,
eng,PloS one,377,19,6.0
,,378,9,
,,379,9,
eng,Anesth Analg,380,181,2.0
eng,Bull. Math. Biol.,381,182,1.0
jpn,Kekkaku,382,183,1.0
,,383,9,
eng,Br J Sports Med,384,184,1.0
,Sci. Total Environ.,385,185,
,,386,9,
,,387,9,
,,388,9,
eng,The Annals of pharmacotherapy,389,186,1.0
eng,Pharmacoeconomics,390,187,1.0
eng,Am.J.Epidemiol.,391,188,1.0
spa,Cir Pediatr,392,189,1.0
por,,393,190,
,,394,9,
eng,Postgrad Med J,395,191,1.0
eng,Minerva Cardioangiol,396,192,1.0
eng,Anesth Analg,397,181,2.0
,,398,9,
eng,Neurobiol. Aging,399,193,1.0
eng,World journal for pediatric & congenital heart surgery,400,194,1.0
eng,Am. J. Vet. Res.,401,195,1.0
English,,402,8,
,,403,9,
eng,Clin Psychol Rev,404,196,1.0
eng,,405,5,
,,406,9,
eng,J Plast Reconstr Aesthet Surg,407,197,1.0
,,408,9,
German,,409,198,
eng,,410,5,
,,411,9,
,,412,9,
,,413,9,
,,414,9,
eng,Cancer,415,199,2.0
eng,Ann Oncol,416,200,1.0
eng,,417,5,
eng,Clin Cardiol,418,201,1.0
,,419,9,
,,420,9,
eng,J. Dent. Res.,421,202,2.0
,Addict.Behav.,422,203,
eng,American journal of perinatology,423,204,1.0
,,424,9,
,,425,9,
,,426,9,
tur,Anadolu Kardiyol Derg,427,205,1.0
,,428,9,
English,,429,8,
,,430,9,
eng,,431,5,
,,432,9,
English,,433,8,
eng,The American journal of clinical nutrition,434,206,2.0
eng,,435,5,
eng,BMC oral health,436,207,1.0
English,J Cell Sci,437,208,1.0
,,438,9,
eng,,439,5,
,,440,9,
eng,Rev Stomatol Chir Maxillofac Chir Orale,441,209,1.0
eng,J Cardiovasc Med (Hagerstown),442,210,1.0
,,443,9,
,,444,9,
ENG,J Clin Hypertens (Greenwich),445,211,1.0
eng,Front Hum Neurosci,446,212,1.0
English,,447,8,
eng,J Am Med Inform Assoc,448,213,1.0
eng,,449,5,
eng,J Learn Disabil,450,214,1.0
eng,Obes Rev,451,215,1.0
eng,Diabetes Technol. Ther.,452,216,1.0
eng,Ophthalmol Eye Dis,453,217,1.0
English,,454,8,
pol,,455,3,
eng,,456,5,
eng,Int Urogynecol J,457,218,1.0
,,458,9,
,,459,9,
,Rev Lat Am Enfermagem,460,219,
eng,Thromb Haemost,461,220,1.0
eng,Public Health Nutr,462,221,1.0
English,,463,8,
eng,Journal of pain research,464,222,1.0
eng,Journal of clinical microbiology,465,223,1.0
English,,466,8,
,,467,9,
,,468,9,
,,469,9,
eng,Health education & behavior : the official publication of the Society for Public Health Education,470,224,1.0
eng,J Am Acad Child Adolesc Psychiatry,471,225,1.0
eng,Science,472,226,2.0
eng,Case Rep.Med.,473,227,1.0
eng,Korean J.Anesth.,474,228,1.0
eng,Phys Med Biol,475,229,1.0
eng,Surgery,476,230,1.0
ENG,IEEE Trans Nucl Sci,477,231,1.0
eng,Int. J. Dev. Biol.,478,232,1.0
eng,Scand. Cardiovasc. J.,479,233,1.0
eng,"Rheumatology (Oxford, England)",480,234,1.0
,Pain,481,235,
,EMERG RADIOL,482,236,
,AUST NZ J MENT HEALTH NURS,483,237,
eng,Tobacco control,484,238,1.0
eng,Physiol Res,485,239,1.0
eng,Physiotherapy,486,240,1.0
,,487,9,
,,488,9,
,,489,9,
,,490,9,
eng,Eur. Heart J.,491,241,1.0
eng,Knee Surg Sports Traumatol Arthrosc,492,34,2.0
,,493,9,
jpn,Horumon To Rinsho,494,242,1.0
eng,,495,5,
,,496,9,
,,497,9,
,,498,9,
,Clin Med,499,243,
dan,,500,244,
English,,501,8,
,,502,9,
,,503,9,
,,504,9,
eng,Scand. J. Rheumatol.,505,245,1.0
,Adm Policy Ment Health,506,246,
pol,Czas Stomatol,507,247,1.0
English,,508,8,
,,509,9,
,,510,9,
eng,J Korean Neurosurg Soc,511,248,1.0
eng,,512,5,
,,513,9,
,,514,9,
eng,JAMA Otolaryngol Head Neck Surg,515,249,1.0
,,516,9,
eng,J Aerosol Med Pulm Drug Deliv,517,250,1.0
eng,,518,5,
chi,Chung Hua I Hsueh Tsa Chih,519,251,1.0
engfre,Can Forces Dent Serv Q,520,252,1.0
,,521,9,
eng,,522,5,
eng,,523,5,
eng,J. Biol. Chem.,524,253,1.0
eng,Chin. Med. J.,525,254,1.0
eng,,526,5,
,,527,9,
eng,Environ. Toxicol. Pharmacol.,528,255,1.0
eng,,529,5,
English,,530,8,
eng,Science,531,226,2.0
eng,Neuroscience,532,256,1.0
ENG,Exp. Neurol.,533,257,1.0
eng,,534,5,
eng,Paediatr Child Health,535,258,1.0
,,536,9,
,,537,9,
English,,538,8,
eng,,539,5,
eng,AJR Am J Roentgenol,540,259,1.0
,,541,9,
,,542,9,
,,543,9,
,,544,9,
,"Rheumatology (Oxford, England)",545,260,
English,,546,8,
,,547,9,
eng,,548,5,
ENG,Disabil Rehabil,549,261,1.0
ENG,J Stroke Cerebrovasc Dis,550,262,1.0
,,551,9,
,,552,9,
eng,The Journal of bone and joint surgery. British volume,553,263,1.0
eng,J. Cancer Res. Clin. Oncol.,554,264,1.0
eng,Int J Obes (Lond),555,265,2.0
English,,556,8,
,,557,9,
eng,,558,5,
eng,"Alcoholism, clinical and experimental research",559,266,1.0
,Klin.Psikofarmakol.Bul.,560,267,
,REV ENFERMAGEM UFPE,561,268,
,,562,9,
eng,Br J Psychiatry,563,269,1.0
,,564,9,
eng,Hernia,565,270,1.0
eng,Lancet,566,271,1.0
,,567,9,
,,568,9,
eng,Int Psychogeriatr,569,272,1.0
engpor,,570,273,
,,571,9,
heb,,572,274,
eng,,573,5,
eng,Tumour Biol.,574,147,3.0
,Croat.Med.J.,575,275,
eng,Int J Stroke,576,276,1.0
English,Eur. J. Heart Fail.,577,277,1.0
English,Yonsei Med.J.,578,278,1.0
ita,,579,279,
eng,Can Fam Physician,580,280,1.0
eng,Childs Nerv Syst,581,281,1.0
,,582,9,
English,,583,8,
,,584,9,
eng,Arch Phys Med Rehabil,585,282,1.0
eng,Eur J Anaesthesiol,586,283,2.0
,,587,9,
,Pharmacogenomics,588,284,
jpn,Rinsho byori. The Japanese journal of clinical pathology,589,285,1.0
eng,Journal of nutrition in gerontology and geriatrics,590,286,1.0
,,591,9,
English,,592,8,
eng,,593,5,
,,594,9,
eng,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,595,151,2.0
eng,Geriatrics & gerontology international,596,287,1.0
,,597,9,
eng,,598,5,
,,599,9,
eng,Vet Clin Pathol,600,288,1.0
English,,601,8,
,Bull.WHO,602,289,
eng,,603,5,
eng,Neuropharmacology,604,290,1.0
eng,,605,5,
,Phys Ther,606,291,
,,607,9,
ger,Z Erkr Atmungsorgane Folia Bronchol,608,292,1.0
eng,,609,5,
,Blood Rev.,610,293,
eng,"Journal of alternative and complementary medicine (New York, N.Y.)",611,294,1.0
eng,Jama,612,295,1.0
,,613,9,
eng,Catheter Cardiovasc Interv,614,296,1.0
eng,Nature,615,297,1.0
eng,Eur. Respir. J.,616,298,2.0
,,617,9,
,Public Health Nurs,618,299,
English,,619,8,
English,,620,8,
ger,,621,124,
eng,,622,5,
,,623,9,
,,624,9,
eng,Sleep,625,300,1.0
eng,,626,5,
eng,J. Dent. Res.,627,202,2.0
eng,Ther Adv Respir Dis,628,301,1.0
English,,629,8,
English,,630,8,
,,631,9,
,Onkologie,632,302,
,Rheumatology,633,303,
,,634,9,
eng,Neurological research,635,304,1.0
,Helicobacter,636,305,
,,637,9,
eng,Aust J Rural Health,638,306,1.0
English,,639,8,
eng,J. Med. Chem.,640,307,1.0
,,641,9,
ENG,Public Health Nurs,642,308,1.0
eng,Circulation,643,309,1.0
eng,Acta Derm. Venereol.,644,310,1.0
,,645,9,
eng,Protein Sci.,646,311,1.0
eng,Am J Orthod Dentofacial Orthop,647,312,1.0
eng,,648,5,
eng,Am J Infect Control,649,313,1.0
,,650,9,
eng,Hepatology,651,314,1.0
eng,,652,5,
,Stroke,653,315,
eng,Journal of graduate medical education,654,316,1.0
,,655,9,
eng,Nephrol. Dial. Transplant.,656,104,2.0
eng,Oral Oncol.,657,317,1.0
eng,Stroke,658,318,1.0
eng,Curr Drug Targets,659,319,1.0
eng,Epilepsy Res.,660,320,1.0
,,661,9,
eng,J. Heart Valve Dis.,662,321,1.0
eng,PloS one,663,19,6.0
eng,Acad Radiol,664,322,1.0
Eng,,665,323,
"Chinese     English, Chinese",Chin.J.Evid.-Based Med.,666,324,1.0
,,667,9,
,Cases journal,668,325,
,,669,9,
,,670,9,
French,,671,326,
,,672,9,
,Environ Monit Assess,673,327,
eng,Acta neurologica Scandinavica,674,328,1.0
,,675,9,
eng,,676,5,
,,677,9,
,,678,9,
eng,,679,5,
,,680,9,
,,681,9,
English,,682,8,
eng,Infect. Immun.,683,329,1.0
,,684,9,
eng,Photomed Laser Surg,685,330,1.0
,,686,9,
eng,The Journal of bone and joint surgery. American volume,687,331,1.0
eng,Oral Surg Oral Med Oral Pathol Oral Radiol Endod,688,332,1.0
jpn,,689,177,
eng,Clin Radiol,690,333,1.0
,,691,9,
English,,692,8,
ENG,Blood Press Monit,693,334,1.0
eng,Psicothema,694,335,1.0
,,695,9,
,Journal of analytical toxicology,696,336,
,,697,9,
eng,,698,5,
English,,699,8,
,,700,9,
English,Respirology,701,337,1.0
eng,,702,5,
,,703,9,
eng,Biomed Res Int,704,176,2.0
eng,Journal of applied physiology,705,338,1.0
eng,Ann. Med.,706,339,1.0
eng,Eur J Clin Nutr,707,340,1.0
eng,J Pers Soc Psychol,708,341,1.0
eng,The Journal of hand surgery,709,342,3.0
English,Physiother. Theory Pract.,710,343,1.0
,,711,9,
eng,BMC Neurol,712,344,1.0
eng,,713,5,
,,714,9,
eng,Pharm Pract (Granada),715,345,1.0
,NeuroRehabilitation,716,346,
eng,Microsurgery,717,347,1.0
English,Int.J.Neurosci.,718,348,1.0
eng,BJOG : an international journal of obstetrics and gynaecology,719,349,1.0
,,720,9,
eng,Jornal de pediatria,721,350,1.0
,,722,9,
eng,Mol. Plant Pathol.,723,351,1.0
,,724,9,
,,725,9,
,,726,9,
,,727,9,
,Bioelectromagnetics,728,352,
,,729,9,
,,730,9,
,Occup Environ Med,731,353,
eng,,732,5,
eng,,733,5,
eng,,734,5,
eng,,735,5,
eng,J Addict Dis,736,354,1.0
eng,Psychosom Med,737,355,1.0
,,738,9,
eng,The Journal of hospital infection,739,356,1.0
,,740,9,
eng,,741,5,
,,742,9,
,,743,9,
eng,,744,5,
,Circulation,745,357,
Eng,Annals of the rheumatic diseases,746,358,1.0
,,747,9,
,Hawai'i journal of medicine & public health : a journal of Asia Pacific Medicine & Public Health,748,359,
ger,Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,749,360,1.0
eng,,750,5,
eng,Diabetes Forecast,751,361,1.0
,,752,9,
ENG,Biomed Rep,753,362,1.0
jpn,[Nihon koshu eisei zasshi] Japanese journal of public health,754,363,1.0
eng,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,755,364,1.0
eng,Oncol Nurs Forum,756,365,1.0
,,757,9,
en,Nursing standard (Royal College of Nursing (Great Britain) : 1987),758,366,1.0
,,759,9,
eng,,760,5,
eng,,761,5,
eng,,762,5,
,,763,9,
eng,Headache,764,367,1.0
eng,,765,5,
,,766,9,
jpn,,767,177,
ENG,Circ. J.,768,368,1.0
eng,PloS one,769,19,6.0
fre,,770,52,
eng,,771,5,
eng,J. Natl. Cancer Inst.,772,98,3.0
eng,AIDS,773,369,1.0
eng,Oral Surg. Oral Med. Oral Pathol.,774,370,1.0
eng,Archives of internal medicine,775,371,1.0
,,776,9,
,,777,9,
English     Italian,,778,372,
eng,Oper Dent,779,373,1.0
eng,Movement disorders : official journal of the Movement Disorder Society,780,374,1.0
eng,Psychol Assess,781,375,1.0
,,782,9,
,,783,9,
ita,,784,279,
,,785,9,
English,,786,8,
rus,Stomatologiia (Mosk),787,376,1.0
eng,BMC Med,788,377,1.0
,,789,9,
eng,Oral Surg Oral Med Oral Pathol Oral Radiol,790,378,1.0
ENG,J Cardiovasc Med (Hagerstown),791,379,1.0
,,792,9,
,,793,9,
eng,Appl Radiat Isot,794,380,1.0
eng,J Clin Epidemiol,795,381,1.0
pt,,796,382,
eng,The Journal of hand surgery,797,342,3.0
,,798,9,
eng,Eur J Prev Cardiol,799,383,1.0
eng,J. Natl. Cancer Inst.,800,98,3.0
eng,,801,5,
eng,,802,5,
English,,803,8,
,,804,9,
,,805,9,
eng,Angew. Chem. Int. Ed. Engl.,806,384,1.0
eng,Cardiol Young,807,134,3.0
eng,,808,5,
,,809,9,
,,810,9,
,,811,9,
English,,812,8,
eng,Acta Clin Belg,813,385,1.0
English,,814,8,
eng,,815,5,
English,,816,8,
English,Acta Endocrinol Suppl (Copenh),817,386,1.0
eng,,818,5,
,,819,9,
,,820,9,
eng,Obesity (Silver Spring),821,387,1.0
,,822,9,
eng,JAMA Intern Med,823,388,1.0
eng,J. Hypertens.,824,389,1.0
eng,Thorax,825,390,1.0
,,826,9,
eng,J Am Geriatr Soc,827,391,1.0
English,,828,8,
eng,World J Pediatr Congenit Heart Surg,829,392,1.0
English,,830,8,
eng,,831,5,
,,832,9,
eng,Am. J. Med.,833,393,1.0
eng,Intensive Care Med,834,394,1.0
,,835,9,
eng,J. Bone Miner. Res.,836,395,1.0
eng,Pediatr Allergy Immunol,837,396,1.0
eng,Shock,838,397,1.0
eng,,839,5,
,,840,9,
eng,N. Engl. J. Med.,841,398,1.0
eng,Foot & ankle international,842,399,1.0
,,843,9,
,,844,9,
English,,845,8,
eng,"International journal of surgery (London, England)",846,400,1.0
,,847,9,
eng,Annals of the rheumatic diseases,848,401,1.0
English,,849,8,
eng,,850,5,
,,851,9,
,Circulation,852,357,
eng,Hum. Gene Ther.,853,402,1.0
eng,Respiration,854,403,1.0
eng,,855,5,
,,856,9,
,Circulation,857,357,
,,858,9,
,,859,9,
,,860,9,
ENG,Oral Dis,861,404,1.0
spa,,862,405,
spa,,863,405,
English,,864,8,
eng,Pediatrics,865,406,1.0
eng,,866,5,
eng,Cancer Chemother. Pharmacol.,867,60,2.0
,,868,9,
eng,,869,5,
,,870,9,
eng,,871,5,
eng,Behav Brain Sci,872,407,1.0
eng,,873,5,
eng,Arch. Gynecol. Obstet.,874,408,1.0
eng,,875,5,
eng,,876,5,
,,877,9,
eng,Psychol Med,878,409,1.0
eng,,879,5,
eng,Nepal Med Coll J,880,43,2.0
,,881,9,
,,882,9,
,,883,9,
,,884,9,
German,,885,198,
,,886,9,
ENG,Catheter Cardiovasc Interv,887,410,1.0
eng,PloS one,888,19,6.0
English; ABSTRACT LANGUAGE:English,,889,7,
,,890,9,
eng,The Journal of hand surgery,891,342,3.0
eng,,892,5,
eng,Eur. Respir. J.,893,298,2.0
,,894,9,
eng,Science and engineering ethics,895,411,1.0
,Br J Clin Pharmacol,896,412,
eng,,897,5,
,,898,9,
eng,Clin. Infect. Dis.,899,413,1.0
,,900,9,
,,901,9,
eng,Rev Endocr Metab Disord,902,414,1.0
English,Auton.Neurosc.Basic Clin.,903,415,1.0
eng,Chest,904,416,1.0
,,905,9,
,,906,9,
eng,J ECT,907,417,1.0
English,Integr. Physiol. Behav. Sci.,908,418,1.0
eng,Cancer,909,199,2.0
English,Proc.Natl.Acad.Sci.U.S.A.,910,419,1.0
eng,,911,5,
English,,912,8,
eng,Eur J Radiol,913,420,1.0
eng,Psychooncology,914,61,2.0
,Bioelectromagnetics,915,352,
,,916,9,
eng,J. Am. Coll. Cardiol.,917,421,1.0
eng,Anaesthesia,918,422,1.0
eng,JAMA Neurol,919,423,1.0
ita,Pediatr Med Chir,920,424,1.0
,,921,9,
,,922,9,
,,923,9,
eng,Eur J Anaesthesiol,924,283,2.0
English,,925,8,
,,926,9,
,,927,9,
eng,,928,5,
English,Neurosurg,929,425,1.0
eng,Int J Med Inform,930,426,1.0
eng,J. Clin. Oncol.,931,16,2.0
,,932,9,
,,933,9,
,,934,9,
eng,JRSM Open,935,427,1.0
eng,"American journal of critical care : an official publication, American Association of Critical-Care Nurses",936,428,1.0
eng,The Journal of surgical research,937,429,1.0
eng,"Clinical nutrition (Edinburgh, Scotland)",938,430,1.0
,,939,9,
English,,940,8,
eng,Techniques in coloproctology,941,431,1.0
,,942,9,
eng,,943,5,
,J Environ Monit,944,432,
