Director,Creator,original_index,unique_index
Frank Capra,"Hal Kanter,Harry Tugend",91,91
Frank Capra,"Robert Riskin,Clarence Budington Kelland",92,92
Frank Capra,"Harry Chandlee,Douglas W. Churchill",93,93
Frank Capra,"Jo Swerling,John Meehan",94,94
Nick Grinde,"Sarah Y. Mason,Jo Swerling",95,95
Alfred E. Green,"Gene Markey,Kathryn Scola",96,96
Mervyn LeRoy,"Lucien Hubbard,Kubec Glasmon",97,97
William A. Wellman,"Anita Loos,Gene Markey",98,98
William A. Wellman,"Robert Lord,Wilson Mizner",99,99
Michael Curtiz,"S.S. Van Dine,Robert N. Lee",100,100
W.S. Van Dyke,"Frances Goodrich,Albert Hackett",101,101
Jack Conway,"William Ludwig,Charles Lederer",102,102
William K. Howard,"Lenore J. Coffee,W.E. Woodward",103,103
W.S. Van Dyke,"Irving Brecher,Harry Kurnitz",104,104
Menahem Golan,"Menahem Golan,Coby Recht",105,105
Cal Brunker,"Scott Bindley,Peter Lepeniotis",106,106
Richard Donner,"Jeffrey Boam,Shane Black",107,107
Steven Soderbergh,Lem Dobbs,108,108
John Dahl,Steve Barancik,109,109
"Joel Coen,Ethan Coen","Joel Coen,Ethan Coen",110,110
Les Mayfield,"Samuel W. Taylor,John Hughes",111,111
Irving Rapper,"Casey Robinson,Olive Higgins Prouty",112,112
Otto Preminger,"Wendell Mayes,John D. Voelker",113,113
Alex Kendrick,"Alex Kendrick,Stephen Kendrick",114,114
Douglas Aarniokoski,"Gregory Widen,Eric Bernt",115,115
John Ford,"Nunnally Johnson,John Steinbeck",116,116
William Wyler,"Lew Wallace,Karl Tunberg",117,117
Franklin J. Schaffner,"Michael Wilson,Rod Serling",118,118
Boris Sagal,"John William Corrington,Joyce Hooper Corrington",119,119
Douglas Trumbull,"Deric Washburn,Michael Cimino",120,120
John Badham,"Lawrence Lasker,Walter F. Parkes",121,121
Fede Alvarez,"Fede Alvarez,Rodo Sayagues",122,122
Darren Lynn Bousman,"Leigh Whannell,James Wan",123,123
James Wong,"Glen Morgan,James Wong",124,124
David R. Ellis,"Eric Bress,Jeffrey Reddick",125,125
Ken Wiederhorn,Ken Wiederhorn,126,126
Fred Dekker,Fred Dekker,127,127
Stuart Gordon,"H.P. Lovecraft,Brian Yuzna",128,128
Mike Flanagan,Mike Flanagan,129,129
Christopher Nolan,"Jonathan Nolan,Christopher Nolan",130,130
David Lynch,"Frank Herbert,David Lynch",131,131
Jonathan Liebesman,Christopher Bertolini,132,132
Michael Simmons,Michael Simmons,133,133
"Bobby Farrelly,Peter Farrelly",Marc Hyman,134,134
Desmond Davis,Beverley Cross,135,135
Roy Ward Baker,"Sheridan Le Fanu,Harry Fine",136,136
Terence Fisher,Jimmy Sangster,137,137
Tod Browning,"Bram Stoker,Hamilton Deane",138,138
"Merian C. Cooper,Ernest B. Schoedsack","James Ashmore Creelman,Ruth Rose",139,139
Morgan Spurlock,Morgan Spurlock,140,140
Tim Burton,"Linda Woolverton,Lewis Carroll",141,141
Alfonso Cuarón,"J.K. Rowling,Steve Kloves",142,142
"Andrew Adamson,Vicky Jenson","William Steig,Ted Elliott",143,143
"Roger Allers,Rob Minkoff","Irene Mecchi,Jonathan Roberts",144,144
"Gary Trousdale,Kirk Wise","Linda Woolverton,Roger Allers",145,145
"Chris Buck,Kevin Lima","Tab Murphy,Bob Tzudiker",146,146
Mark Dindal,"Chris Williams,Mark Dindal",147,147
"Aaron Blaise,Robert Walker","Tab Murphy,Lorne Cameron",148,148
"Bibo Bergeron,Don Paul","Terry Rossio,Ted Elliott",149,149
"Bibo Bergeron,Vicky Jenson","Michael J. Wilson,Rob Letterman",150,150
"George Miller,Warren Coleman","George Miller,John Collee",151,151
Gore Verbinski,"John Logan,John Logan",152,152
"Phil Lord,Christopher Miller","Phil Lord,Christopher Miller",153,153
"Eric Darnell,Tom McGrath","Etan Cohen,Eric Darnell",154,154
"Jerome Robbins,Robert Wise","Ernest Lehman,Arthur Laurents",155,155
Paul Mazursky,Paul Mazursky,156,156
Alan J. Pakula,"Dan Wakefield,James L. Brooks",157,157
Michael Ritchie,"Walter Bernstein,Dan Jenkins",158,158
Robert Aldrich,"Tracy Keenan Wynn,Albert S. Ruddy",159,159
"Warren Beatty,Buck Henry","Elaine May,Warren Beatty",160,160
Barry Levinson,James Toback,161,161
Danny DeVito,David Mamet,162,162
Sean Penn,"Friedrich Dürrenmatt,Jerzy Kromolowski",163,163
Charles Shyer,"Albert Hackett,Frances Goodrich",164,164
Mick Jackson,Steve Martin,165,165
Arthur Hiller,"Bruce Jay Friedman,Neil Simon",166,166
Herbert Ross,Dennis Potter,167,167
"Norman McLeod,Norman Z. McLeod","Katherine Leslie Moore,William Rankin,Jo Swerling",168,168
Ray Enright,"Rex Beach,Lawrence Hazard",169,169
William A. Seiter,"P.J. Wolfson,Neil H. Swanson",170,170
"William A. Wellman,John Wayne","Albert Sidney Fleischman,Albert Sidney Fleischman",171,171
Edward Ludwig,"Borden Chase,Æneas MacKenzie",172,172
"John Ford,Robert Montgomery","William L. White,Frank Wead",173,173
John Ford,Frank S. Nugent,174,174
Don Siegel,"Glendon Swarthout,Miles Hood Swarthout",175,175
Henry Hathaway,"William H. Wright,Allan Weiss",176,176
Henry Hathaway,"John Lee Mahin,Martin Rackin",177,177
John Ford,"Frank S. Nugent,James Edward Grant",178,178
Howard Hawks,"Leigh Brackett,Harry Kurnitz",179,179
Peter Weir,"Keith R. Clarke,Slavomir Rawicz",180,180
Katherine Brooks,"Olivia Bohnhoff,Katherine Brooks",181,181
Maria Maggenti,Maria Maggenti,182,182
"Peter Hewitt (I),Peter Hewitt","John Kamps,Gavin Scott,John Camps",183,183
Ken Kwapis,"Rick Kerb,Bill Holderman",184,184
"James Franco,Travis Mathews",Travis Mathews,185,185
James Foley,"Andrew Smith,Andrew Smith",186,186
Susan Seidelman,Leora Barish,187,187
Jordan Mohr,Jordan Mohr,188,188
Vincente Minnelli,"James Jones,John Patrick",189,189
Guy Ritchie,Guy Ritchie,190,190
Bryan Johnson,Bryan Johnson,191,191
Steve Stark,Kevin Smith,192,192
Kevin Smith,"Kevin Smith,Kevin Smith",193,193
Kevin Smith,Kevin Smith,194,194
Kevin Smith,"Robb Cullen,Mark Cullen",195,195
"Kenneth Kit Lamug,Thomas J. Vosicky","Kenneth Kit Lamug,Thomas J. Vosicky",196,196
Kristin Hanggi,"Amy Andelson,Amy Andelson",197,197
Robert Clouse,"Robert Clouse,Robert Clouse",198,198
Rick Rosenthal,Richard Di Lello,199,199
Michael Chapman,"Pat Jordan,Michael Kane",200,200
Ron Howard,"Bob Dolman,Ron Howard",201,201
Joel Schumacher,"Jan Fischer,James Jeremias",202,202
Joseph Ruben,"Nancy Price,Ronald Bass",203,203
Ryan Murphy,"Ryan Murphy,Jennifer Salt",204,204
Tom Hanks,"Tom Hanks,Nia Vardalos",205,205
Tony Gilroy,Tony Gilroy,206,206
Tom Tykwer,Eric Warren Singer,207,207
Spike Lee,Russell Gewirtz,208,208
John Flynn,"Donald E. Westlake,John Flynn",209,209
Don Siegel,"John Reese,Howard Rodman",210,210
Ronald Neame,"Brian Garfield,Brian Garfield",211,211
Tony Scott,"A.J. Quinnell,Brian Helgeland",212,212
Barry Shear,"Luther Davis,Wally Ferris",213,213
Tony Scott,Mark Bomback,214,214
Denis Villeneuve,Aaron Guzikowski,215,215
Darren Aronofsky,"Darren Aronofsky,Darren Aronofsky",216,216
Judd Apatow,Amy Schumer,217,217
William A. Fraker,"Lukas Heller,David Zelag Goodman",218,218
Sam Peckinpah,"Frank Kowalski,Sam Peckinpah",219,219
Monte Hellman,"Charles Willeford,Charles Willeford",220,220
"Arthur J. Beckhard,Joseph Lee","Arthur J. Beckhard,Cedric Worth",221,221
Ralph Nelson,"Maurice Richlin,Blake Edwards",222,222
Norman Jewison,"Richard Jessup,Ring Lardner Jr.",223,223
Lee H. Katzin,Harry Kleiner,224,224
John Frankenheimer,"Robert Alan Aurthur,Robert Alan Aurthur",225,225
"John Frankenheimer,Arthur Penn","Franklin Coen,Frank Davis",226,226
John Frankenheimer,"Edward Anhalt,J.P. Miller",227,227
Sydney Pollack,William W. Norton,228,228
Robert Aldrich,Alan Sharp,229,229
Roy Huggins,Roy Huggins,230,230
André De Toth,Russell S. Hughes,231,231
Tay Garnett,"John Meehan,Sonya Levien",232,232
Frank Perry,"Christina Crawford,Frank Yablans",233,233
William Castle,Robert Bloch,234,234
Frank Capra,"Sonya Levien,Fred Thompson",235,235
James Cruze,"Rex Beach,Walter Woods",236,236
Maya Forbes,Maya Forbes,237,237
Josh Trank,"Jeremy Slater,Simon Kinberg",238,238
Bernard Rose,"Leo Tolstoy,Bernard Rose",239,239
David O. Russell,David O. Russell,240,240
Ben Affleck,"Peter Craig,Ben Affleck",241,241
"Bobby Farrelly,Peter Farrelly","Scot Armstrong,Leslie Dixon",242,242
David Cronenberg,Steven Knight,243,243
M. Night Shyamalan,M. Night Shyamalan,244,244
Steven Soderbergh,"Elmore Leonard,Scott Frank",245,245
Richard Donner,"Roy Huggins,William Goldman",246,246
Danny Boyle,"Danny Boyle,Simon Beaufoy",247,247
Richard Donner,"Todd Walton,Valerie Curtin",248,248
"Bobby Farrelly,Peter Farrelly","Charles B. Wessler,Bennett Yellin",249,249
Anthony Minghella,"Patricia Highsmith,Anthony Minghella",250,250
Rob Marshall,"Michael Tolkin,Anthony Minghella",251,251
Jesús Franco,"Jesús Franco,Sax Rohmer",252,252
"John English,William Witney","Sax Rohmer,Franklin Adreon",253,253
Fred C. Brannon,Ronald Davidson,254,254
Edgar G. Ulmer,Jack Lewis,255,255
Mikael Håfström,"Miles Chapman,Jason Keller",256,256
Sylvester Stallone,"Art Monterastelli,Sylvester Stallone",257,257
Ted Kotcheff,"David Morrell,Michael Kozoll",258,258
James Mangold,James Mangold,259,259
Gillian Armstrong,"Louisa May Alcott,Robin Swicord",260,260
Simon Fellows,"Moshe Diamant,Michael Franzese",261,261
Philip Kaufman,"Milan Kundera,Jean-Claude Carrière",262,262
Kathryn Bigelow,Mark Boal,263,263
"John Berardo,Jessica Kaye","Kristen Davila,Rosanne Flynn",264,264
Martin Owen,"Martin Owen,Abigail Wright",265,265
Eric Hendershot,Eric Hendershot,266,266
Tom Hooper,"William Nicholson,Alain Boublil",267,267
Matt Reeves,Drew Goddard,268,268
Pat O'Connor,"William Boyd,William Boyd",269,269
"Clarence Brown,Maurice Tourneur","James Fenimore Cooper,Robert Dillon",270,270
W.S. Van Dyke,"Ethelreda Lewis,Dale Van Every",271,271
George B. Seitz,"James Fenimore Cooper,Philip Dunne",272,272
Brian James O'Connell,"Dr. God,Ryan Mitts",273,273
Lloyd Bacon,"Earl Baldwin,Richard Connell",274,274
George B. Seitz,James Fenimore Cooper,275,275
George Sherman,"James Fenimore Cooper,Herbert Dalmas",276,276
Anthony DiBlasi,"Anthony DiBlasi,Anthony DiBlasi",277,277
Jamie Babbit,"Abdi Nazemian,Micah Schraft",278,278
Martin Scorsese,Robert Getchell,279,279
Martin Scorsese,Melissa Mathison,280,280
Martin Scorsese,"Nikos Kazantzakis,Paul Schrader",281,281
Martin Scorsese,"Joe Connelly,Paul Schrader",282,282
Martin Scorsese,Paul D. Zimmerman,283,283
Martin Scorsese,"Earl Mac Rauch,Mardik Martin",284,284
Alex Holdridge,Alex Holdridge,285,285
Stephen Frears,"Christopher Hampton,Choderlos de Laclos",286,286
Martin Scorsese,Joseph Minion,287,287
Rob Reiner,"Stephen King,Raynold Gideon",288,288
Ridley Scott,"William Monahan,David Ignatius",289,289
Timur Bekmambetov,"Michael Brandt,Derek Haas",290,290
Robert Zemeckis,"Neil Gaiman,Roger Avary",291,291
Randall Wallace,"Alexandre Dumas père,Randall Wallace",292,292
Jake Kasdan,Jake Kasdan,293,293
Quentin Tarantino,Quentin Tarantino,294,294
"Frank Miller,Robert Rodriguez",Frank Miller,295,295
M. Night Shyamalan,M. Night Shyamalan,296,244
Kevin Reynolds,"Pen Densham,Pen Densham",297,296
Adam Shankman,"Nicholas Sparks,Karen Janszen",298,297
Robert Luketic,"Nicole Eastman,Karen McCullah",299,298
Anne Fletcher,Aline Brosh McKenna,300,299
Joe Nussbaum,Chad Gomez Creasey,301,300
Mark Waters,"Jon Lucas,Scott Moore",302,301
Garry Marshall,"Katherine Fugate,Katherine Fugate",303,302
Adam Brooks,Adam Brooks,304,303
Billy Wilder,"Billy Wilder,I.A.L. Diamond",305,304
"Stanley Donen,Gene Kelly","Adolph Green,Betty Comden",306,305
John McTiernan,"Jonathan Hensleigh,Roderick Thorp",307,306
John Moore,"Skip Woods,Roderick Thorp",308,307
Stephen Sommers,"Stuart Beattie,David Elliot",309,308
Michael Bay,"Roberto Orci,Alex Kurtzman",310,309
Jon Favreau,"Matthew Holloway,Arthur Marcum,Matthew Hollaway,Mark Fergus,Hawk Ostby",311,310
"Anthony Russo,Joe Russo","Christopher Markus,Stephen McFeely",312,311
Marc Webb,"Alex Kurtzman,Roberto Orci",313,312
Roland Emmerich,"Carter Blanchard,Dean Devlin",314,313
Joan Chen,Allison Burnett,315,314
L. Gustavo Cooper,"Sharon Y. Cobb,L. Gustavo Cooper",316,315
Peter Chelsom,"Masayuki Suo,Audrey Wells",317,316
"Buddy Cooper,John Douglass",Buddy Cooper,318,317
"Stephen Carpenter,Jeffrey Obrow","Stephen Carpenter,Jeffrey Obrow",319,318
Roger Spottiswoode,T.Y. Drake,320,319
Charles E. Sellier Jr.,"Paul Caimi,Michael Hickey",321,320
Juan Piquer Simón,"Dick Randall,Joe D'Amato",322,321
Phil Joanou,"Robert Berger,Wesley Strick",323,322
George C. Wolfe,"Ann Peacock,John Romano",324,323
Danny DeVito,Stu Silver,325,324
Robert Zemeckis,"Martin Donovan,David Koepp",326,325
Ridley Scott,"Charles Gieg Jr.,Felix Sutton",327,326
Thom Andersen,Thom Andersen,328,327
Ridley Scott,"Danielle Alexandra,David Twohy",329,328
Ridley Scott,William Hjortsberg,330,329
Ridley Scott,Callie Khouri,331,330
Ridley Scott,Howard Franklin,332,331
Brian Gibson,"George Dawes Green,Ted Tally",333,332
Jon Avnet,"Joan Didion,John Gregory Dunne",334,333
Clark Johnson,"George Nolfi,Gerald Petievich",335,334
Harald Zwart,Stan Seidel,336,335
George Clooney,"George Clooney,Grant Heslov",337,336
J.C. Chandor,J.C. Chandor,338,337
Alex Gibney,"Alex Gibney,Bethany McLean",339,338
Ethan Wiley,"Fred Dekker,Ethan Wiley",340,339
Mark Pavia,"Stephen King,Mark Pavia",341,340
Tobe Hooper,"Stephen King,Tobe Hooper",342,341
Guillermo del Toro,"Donald A. Wollheim,Matthew Robbins",343,342
Iain Softley,"Gene Brewer,Charles Leavitt",344,343
Charles Ferguson,"Charles Ferguson,Chad Beck",345,344
J.C. Chandor,J.C. Chandor,346,337
Mark Steven Johnson,Evan Daugherty,347,345
Derek Cianfrance,"Derek Cianfrance,Ben Coccio",348,346
John Hillcoat,"Nick Cave,Matt Bondurant",349,347
Derick Martini,"Andrea Portes,Derick Martini",350,348
Stephen Gaghan,"Stephen Gaghan,Robert Baer",351,349
George Nolfi,"George Nolfi,Philip K. Dick",352,350
Steven Soderbergh,"Scott Z. Burns,Kurt Eichenwald",353,351
Steven Soderbergh,Scott Z. Burns,354,352
Clint Eastwood,Peter Morgan,355,353
Clint Eastwood,"Anthony Peckham,John Carlin",356,354
Wes Craven,"Carl Ellsworth,Carl Ellsworth",357,355
Kiff Scholl,"Bill Robens,Kiff Scholl",358,356
Gregory Hatanaka,"Gregory Hatanaka,Norith Soth",359,357
Jaume Collet-Serra,"David Johnson,Alex Mace",360,358
James Mangold,Michael Cooney,361,359
Mimi Leder,"Catherine Ryan Hyde,Leslie Dixon",362,360
John Waters,John Waters,363,361
Douglas Sirk,"Orin Jannings,Erich Maria Remarque",364,362
Gus Van Sant,Chris Sparling,365,363
Douglas Sirk,"Lloyd C. Douglas,Robert Blees",366,364
Douglas Sirk,"Peg Fenwick,Edna L. Lee",367,365
Vincente Minnelli,"Betty Comden,Adolph Green",368,366
Douglas Sirk,"Bernard C. Schoenfeld,Ursula Parrott",369,367
Douglas Sirk,"William Faulkner,George Zuckerman",370,368
Douglas Sirk,"Eleanore Griffin,Allan Scott",371,369
Douglas Sirk,"Joseph Hoffman,Eleanor H. Porter",372,370
Nicholas Ray,"Cyril Hume,Richard Maibaum",373,371
Douglas Sirk,"James Gunn,Robert Blees",374,372
Lawrence Kasdan,Lawrence Kasdan,375,373
Zalman King,"Patricia Louisianna Knop,Zalman King",376,374
Anne Goursaud,"Elizabeth McNeill,Mick Davis",377,375
Andrew Fleming,"Peter Filardi,Peter Filardi",378,376
Jim Gillespie,"Lois Duncan,Kevin Williamson",379,377
Roger Kumble,Roger Kumble,380,378
Jay Lowi,"Andy Hurst,Ross Helford",381,379
Wes Craven,Kevin Williamson,382,380
David Di Sabatino,,383,381
"Tim Gagliardo,Donavon Warren",Donavon Warren,384,382
Kevin Swigert,"Robert Gregg,Jack London",385,383
Richard Gray,Michele Davis-Gray,386,384
Luis Llosa,"John Shirley,Alexandra Seros",387,385
Gabriel Cowan,Adam Chanzit,388,386
Shane Ryan,"Michiko Jimenez,Shane Ryan",389,387
Kamal Ahmed,Kamal Ahmed,390,388
Jeremiah S. Chechik,"Pierre Boileau,Thomas Narcejac",391,389
Javier Elorrieta,"Rafael Azcona,Vicente Blasco Ibáñez",392,390
Jeffrey Schwarz,,393,391
Steve Rash,Michael Swerdlick,394,392
Chris Columbus,Chris Columbus,395,393
Chris Columbus,Chris Columbus,396,393
David Seltzer,David Seltzer,397,394
Greg Beeman,Neil Tolkin,398,395
Howard Deutch,John Hughes,399,396
Howard Deutch,John Hughes,400,396
John Hughes,John Hughes,401,397
Joe Dante,"Chip Proser,Jeffrey Boam",402,398
Stephen Herek,"Neil Landau,Tara Ison",403,399
Michael Gottlieb,"Edward Rugoff,Michael Gottlieb",404,400
Scott Coffey,Andy Cochran,405,401
Tom Gormican,Tom Gormican,406,402
Greg Mottola,"Seth Rogen,Evan Goldberg",407,403
Ruben Fleischer,"Rhett Reese,Paul Wernick",408,404
Greg Mottola,"Simon Pegg,Nick Frost",409,405
Ben Stiller,"Justin Theroux,Ben Stiller",410,406
Adam McKay,"Adam McKay,Chris Henchy",411,407
Jay Roach,"Chris Henchy,Shawn Harwell",412,408
Kent Alterman,Scot Armstrong,413,409
"Bobby Farrelly,Peter Farrelly","Ed Decter,John J. Strauss",414,410
Tom Shadyac,"Paul Guay,Stephen Mazur",415,411
Milos Forman,"Scott Alexander,Larry Karaszewski",416,412
Brett Ratner,"Thomas Harris,Ted Tally",417,413
"Albert Hughes,Allen Hughes","Alan Moore,Eddie Campbell",418,414
Terry Gilliam,"Hunter S. Thompson,Terry Gilliam",419,415
Bruce Robinson,"Bruce Robinson,Hunter S. Thompson",420,416
Robert Schwentke,"Phil Hay,Matt Manfredi",421,417
Tommy Wirkola,Tommy Wirkola,422,418
Peter Berg,"Jon Hoeber,Erich Hoeber",423,419
Jon Favreau,"Roberto Orci,Alex Kurtzman",424,420
Michael Bay,"Caspian Tredwell-Owen,Alex Kurtzman",425,421
Tony Scott,"Bill Marsilii,Terry Rossio",426,422
Nick Cassavetes,James Kearns,427,423
Sidney Lumet,"Frank Pierson,P.F. Kluge",428,424
Guy Ritchie,"Michael Robert Johnson,Anthony Peckham",429,425
Barry Sonnenfeld,"Etan Cohen,Lowell Cunningham",430,426
Joseph M. Newman,"Raymond F. Jones,Franklin Coen",431,427
Edward L. Cahn,Samuel Newman,432,428
Herbert L. Strock,"Tom Taggart,Richard G. Taylor",433,429
"Lucien Hubbard,Benjamin Christensen","Jules Verne,Lucien Hubbard",434,430
Victor Halperin,"Garnett Weston,Garnett Weston",435,431
Terry Hughes,"Ezra Litwak,Marjorie Schwartz",436,432
Paul Verhoeven,Joe Eszterhas,437,14
Joseph G. Quinn,Joseph G. Quinn,438,433
Jesse Hibbs,"Daniel Mainwaring,Les Savage Jr.",439,434
Victor Fleming,"Owen Wister,Kirk La Shelle",440,435
James W. Horne,"Jack Jevne,Charley Rogers",441,436
William A. Seiter,"Frank Craven,Byron Morgan",442,437
Steven Soderbergh,"Peter Buchman,Benjamin A. van der Veen",443,438
"Lionel Barrymore,Hal Roach","Robert Bodansky,John Colton",444,439
William K. Howard,"Tom Barry,John Hunter Booth",445,440
Mervyn LeRoy,"Robert E. Burns,Howard J. Green",446,441
Mervyn LeRoy,"Erwin S. Gelsey,James Seymour",447,442
Lloyd Bacon,"Warren Duff,Richard Maibaum",448,443
William Keighley,"Jerry Wald,Richard Macaulay",449,444
Henry Koster,"Norman Krasna,Leo Townsend",450,445
"Ronald Neame,Cliff Owen","Richard L. Breen,T.E.B. Clarke",451,446
Abraham Polonsky,"Harry Lawton,Abraham Polonsky",452,447
Sydney Pollack,"Tennessee Williams,Francis Ford Coppola",453,448
Gene Saks,"Neil Simon,Neil Simon",454,449
Gene Saks,"Neil Simon,Neil Simon",455,449
Howard Deutch,Neil Simon,456,450
James Franco,"Matt Rager,Matt Rager",457,451
Alexander Hall,"Damon Runyon,William R. Lipman",458,452
Josh Evans,Josh Evans,459,453
Steven Soderbergh,"David Levien,Brian Koppelman",460,454
Spike Lee,"Alex Haley,Malcolm X",461,455
"William Dieterle,George Cukor","Charles Martin,Marion Parsonnet",462,456
Fielder Cook,"E.L. Konigsburg,Blanche Hanalis",463,457
Don Chaffey,"Robert B. Sherman,Richard M. Sherman",464,458
Jessie Nelson,"Kristine Johnson,Jessie Nelson",465,459
David Lynch,David Lynch,466,38
Richard Thorpe,"William Ludwig,Eleanor Atkinson",467,460
David DeCoteau,"Buford Hauser,David DeCoteau",468,461
Silvia St. Croix,"Muffy Bolding,William Butler",469,462
Charles Band,"William Butler,Domonic Muir",470,463
Charles Band,Kent Roudebush,471,464
Spike Lee,"Michael Genet,Michael Genet",472,465
Russ Meyer,Russ Meyer,473,466
Gorman Bechard,"Gorman Bechard,Carmine Capobianco",474,467
Carol Frank,Carol Frank,475,468
Michael A. Simpson,"Fritz Gordon,Robert Hiltzik",476,469
Dave Campfield,"Dave Campfield,Dave Campfield",477,470
Dennis Devine,"Brandon Benz,Dennis Devine",478,471
Dennis Devine,"Ted Chalmers,Annie T. Conlon",479,472
Charles Webb,,480,473
John Curran,"Ron Nyswaner,W. Somerset Maugham",481,474
