ounces,abv,original_index,unique_index,count
12.0 ounce,0.048,216,170,11.0
12.0 oz,0.057999999999999996%,217,171,7.0
16.0 oz.,0.06%,218,172,6.0
16.0 oz.,0.05,219,105,17.0
16.0 oz.,0.058,220,173,5.0
16.0 OZ.,0.07,221,174,1.0
16.0 oz.,0.058,222,173,5.0
12.0 oz.,0.044,223,175,3.0
16.0 ounce,0.083,224,176,1.0
12.0 oz.,0.057%,225,177,6.0
12.0 OZ.,0.06,226,128,8.0
12.0 oz.,0.072,227,10,11.0
12.0 ounce,0.056,228,92,10.0
12.0 oz.,0.062,229,113,14.0
12.0 oz.,0.06%,230,178,8.0
12.0 oz.,0.05,231,34,32.0
12.0 ounce,0.055,232,55,27.0
12.0 oz,0.053,233,120,11.0
12.0 oz.,0.078%,234,179,2.0
12.0 oz.,0.047%,235,180,2.0
12.0 oz,0.064,236,181,3.0
12.0 oz,0.055999999999999994%,237,182,4.0
12.0 OZ.,0.06,238,128,8.0
16.0 oz. Alumi-Tek,0.081,239,183,1.0
12.0 ounce,0.095%,240,184,2.0
16.0 oz.,0.041,241,185,2.0
16.0 oz,0.067,242,186,3.0
12.0 ounce,0.07%,243,151,3.0
12.0 OZ.,0.065,244,187,3.0
12.0 ounce,0.06,245,15,13.0
16.0 oz.,0.08,246,188,10.0
16.0 ounce,0.062,247,84,4.0
12.0 oz.,0.06,248,16,31.0
16.0 oz.,0.075,249,189,7.0
12.0 oz.,0.05,250,34,32.0
12.0 oz.,0.06,251,16,31.0
12.0 ounce,0.062,252,127,7.0
12.0 oz,0.05%,253,131,14.0
12.0 oz,0.05,254,0,28.0
12.0 oz.,0.051,255,190,16.0
12.0 oz.,0.072,256,10,11.0
12.0 oz.,0.051,257,190,16.0
12.0 oz,0.05,258,0,28.0
12.0 OZ.,0.062,259,191,3.0
12.0 ounce,0.047,260,192,3.0
12.0 oz,0.05,261,0,28.0
12.0 oz,0.05,262,0,28.0
12.0 oz.,0.051%,263,116,5.0
12.0 oz.,0.069,264,193,5.0
12.0 ounce,0.057999999999999996%,265,194,4.0
16.0 oz,0.053,266,195,3.0
16.0 ounce,0.099%,267,196,2.0
16.0 OZ.,0.098,268,197,2.0
16.0 oz.,0.055,269,66,13.0
16.0 oz.,0.066,270,198,2.0
16.0 ounce,0.055,271,199,10.0
12.0 oz,0.052,272,114,17.0
12.0 oz,0.063,273,139,5.0
12.0 oz.,0.054,274,162,5.0
16.0 oz,0.072,275,200,3.0
12.0 oz,0.045%,276,37,5.0
12.0 ounce,0.075,277,201,2.0
12.0 ounce,0.05,278,146,25.0
12.0 ounce,0.058,279,100,6.0
12.0 oz,0.071,280,202,2.0
12.0 ounce,0.071,281,2,4.0
12.0 oz.,0.078,282,203,1.0
12.0 oz,0.066,283,204,2.0
12.0 oz,0.048%,284,205,4.0
12.0 oz,0.046,285,155,4.0
12.0 ounce,0.073%,286,206,1.0
12.0 oz. Alumi-Tek,0.048,287,207,3.0
12.0 OZ.,0.06,288,128,8.0
12.0 ounce,0.052,289,135,10.0
12.0 ounce,0.068,290,149,4.0
12.0 oz,0.07,291,93,8.0
12.0 ounce,0.055,292,55,27.0
12.0 ounce,0.05%,293,208,15.0
12.0 oz. Alumi-Tek,,294,209,
12.0 oz.,0.055%,295,39,16.0
12.0 oz.,0.08,296,210,3.0
12.0 oz.,0.096,297,211,2.0
12.0 oz,0.052,298,114,17.0
12.0 ounce,,299,212,
12.0 ounce,0.05,300,146,25.0
12.0 ounce,0.064,301,213,2.0
12.0 oz.,0.045,302,57,15.0
12.0 oz.,0.056,303,101,14.0
12.0 ounce,0.055999999999999994%,304,87,3.0
12.0 ounce,0.055999999999999994%,305,87,3.0
12.0 oz.,0.046,306,214,7.0
12.0 oz.,0.059,307,35,6.0
12.0 oz,0.059000000000000004%,308,215,6.0
12.0 oz,0.08%,309,216,2.0
12.0 ounce,0.059,310,217,4.0
12.0 oz.,0.065,311,41,18.0
12.0 oz.,0.053,312,77,9.0
12.0 ounce,0.059,313,217,4.0
12.0 oz,0.049,314,218,7.0
12.0 oz.,,315,219,
12.0 oz.,,316,219,
12.0 oz.,,317,219,
12.0 oz,,318,220,
16.0 oz. Alumi-Tek,0.07,319,221,1.0
12.0 oz.,0.06%,320,178,8.0
12.0 ounce,0.044,321,222,2.0
12.0 ounce,0.055,322,55,27.0
12.0 oz.,0.06,323,16,31.0
12.0 oz.,0.053,324,77,9.0
12.0 oz.,0.04,325,223,8.0
12.0 oz,0.05%,326,131,14.0
12.0 oz. Alumi-Tek,0.05,327,224,3.0
12.0 oz,0.065,328,40,14.0
12.0 oz. Alumi-Tek,0.055,329,225,1.0
12.0 oz.,0.06%,330,178,8.0
16.0 OZ.,0.042%,331,226,1.0
16.0 oz.,0.04,332,227,3.0
12.0 oz,0.051,333,134,9.0
12.0 oz.,0.045,334,57,15.0
12.0 ounce,0.066,335,165,3.0
16.0 oz.,0.075,336,189,7.0
16.0 ounce,0.048,337,121,4.0
12.0 oz.,0.056,338,101,14.0
16.0 ounce,0.07,339,228,8.0
12.0 oz. Alumi-Tek,0.047,340,229,2.0
16.0 oz. Alumi-Tek,0.068,341,230,2.0
12.0 oz,0.047,342,164,12.0
12.0 oz,0.047,343,164,12.0
12.0 oz.,0.048,344,231,14.0
16.0 oz.,0.049%,345,232,2.0
12.0 oz.,0.053,346,77,9.0
12.0 oz.,0.064%,347,233,2.0
16.0 ounce,0.061,348,234,2.0
12.0 ounce,0.058,349,100,6.0
12.0 oz.,0.057999999999999996%,350,94,7.0
12.0 ounce,0.048,351,170,11.0
16.0 oz.,0.048,352,235,7.0
16.0 ounce,0.066,353,64,2.0
16.0 oz. Alumi-Tek,0.071,354,236,1.0
12.0 ounce,0.045,355,237,10.0
16.0 oz,0.065,356,238,8.0
12.0 ounce,0.055,357,55,27.0
12.0 oz.,0.055999999999999994%,358,239,9.0
16.0 ounce,0.049,359,240,2.0
12.0 oz.,0.049,360,25,17.0
12.0 oz,0.053,361,120,11.0
12.0 oz,0.053,362,120,11.0
12.0 oz.,0.049,363,25,17.0
12.0 oz.,0.049,364,25,17.0
12.0 ounce,0.057,365,91,9.0
12.0 oz.,0.049,366,25,17.0
12.0 oz.,0.062,367,113,14.0
12.0 oz.,0.065,368,41,18.0
12.0 oz,0.058,369,241,8.0
12.0 ounce,0.047%,370,242,5.0
12.0 oz.,0.06%,371,178,8.0
12.0 ounce,0.057,372,91,9.0
12.0 ounce,0.07,373,33,15.0
12.0 oz.,0.06,374,16,31.0
12.0 oz,0.055%,375,38,6.0
12.0 oz. Alumi-Tek,0.052,376,243,5.0
16.0 oz,0.05,377,63,15.0
12.0 oz.,0.042,378,88,12.0
12.0 ounce,0.045,379,237,10.0
12.0 ounce,0.062%,380,244,3.0
12.0 oz,0.054,381,245,6.0
12.0 oz.,0.05,382,34,32.0
12.0 oz.,0.072,383,10,11.0
12.0 oz.,0.05%,384,246,16.0
12.0 oz,0.055,385,54,15.0
16.0 oz.,0.057999999999999996%,386,247,3.0
16.0 ounce,0.053,387,71,4.0
16.0 oz,0.067,388,186,3.0
16.0 oz.,0.06,389,70,12.0
16.0 OZ.,0.098,390,197,2.0
16.0 oz,0.06,391,248,6.0
16.0 oz.,0.07,392,118,8.0
16.0 oz,0.077,393,249,1.0
16.0 oz.,0.065,394,250,14.0
16.0 oz. Alumi-Tek,0.065,395,251,2.0
16.0 oz,0.065%,396,252,2.0
16.0 oz.,0.065,397,250,14.0
16.0 oz,0.05,398,63,15.0
16.0 ounce,0.09,399,253,4.0
16.0 oz.,0.055,400,66,13.0
16.0 OZ.,0.059,401,254,1.0
16.0 ounce,0.066%,402,255,1.0
16.0 oz.,0.040999999999999995%,403,256,1.0
16.0 oz.,0.08199999999999999%,404,257,2.0
16.0 oz.,0.065,405,250,14.0
16.0 oz. Silo Can,0.062%,406,258,1.0
16.0 oz.,,407,259,
16.0 oz,,408,260,
16.0 ounce,0.061,409,234,2.0
16.0 oz.,0.063,410,261,8.0
16.0 oz,0.055999999999999994%,411,262,1.0
16.0 oz,0.099,412,263,5.0
16.0 oz.,0.051,413,264,5.0
16.0 oz.,0.062,414,265,7.0
16.0 oz.,0.062,415,265,7.0
16.0 oz.,0.053,416,266,7.0
16.0 oz.,0.063,417,261,8.0
16.0 ounce,0.064,418,267,2.0
16.0 oz.,0.07%,419,268,5.0
16.0 oz.,0.067%,420,269,1.0
16.0 oz,0.067,421,186,3.0
16.0 oz,0.05,422,63,15.0
16.0 ounce,0.06,423,102,7.0
16.0 oz,0.065,424,238,8.0
16.0 oz.,0.045%,425,270,3.0
16.0 oz,0.063,426,271,5.0
16.0 oz. Alumi-Tek,0.093,427,272,1.0
16.0 ounce,0.073,428,273,1.0
16.0 oz.,0.055999999999999994%,429,274,5.0
16.0 oz,0.093,430,275,1.0
16.0 ounce,0.065,431,42,8.0
16.0 ounce,0.05%,432,276,6.0
16.0 oz,0.09%,433,277,3.0
16.0 oz.,0.082,434,278,4.0
16.0 ounce,0.098,435,279,1.0
16.0 oz.,0.06%,436,172,6.0
16.0 OZ.,0.099%,437,280,1.0
16.0 oz,0.095,438,281,1.0
16.0 oz.,0.092%,439,282,1.0
16.0 oz,0.065,440,238,8.0
16.0 ounce,0.099,441,283,1.0
16.0 oz.,0.062,442,265,7.0
16.0 oz.,0.09,443,44,3.0
16.0 oz,0.092,444,284,1.0
16.0 oz,0.097,445,285,1.0
16.0 oz. Alumi-Tek,0.085,446,286,1.0
16.0 oz.,0.055%,447,130,8.0
16.0 oz.,0.06%,448,172,6.0
16.0 oz,0.065,449,238,8.0
12.0 oz.,,450,219,
12.0 oz.,,451,219,
16.0 oz,0.061,452,287,1.0
12.0 oz.,0.05,453,34,32.0
12.0 oz. Alumi-Tek,0.052,454,243,5.0
12.0 oz.,0.048%,455,89,7.0
12.0 oz.,0.061,456,288,5.0
16.0 oz,0.068%,457,289,5.0
12.0 ounce,0.045,458,237,10.0
12.0 oz.,0.068,459,108,9.0
12.0 OZ.,0.045,460,290,4.0
16.0 oz.,0.052,461,73,13.0
12.0 oz. Alumi-Tek,0.052000000000000005%,462,291,2.0
16.0 oz,0.08%,463,292,3.0
16.0 oz. Alumi-Tek,,464,293,
16.0 oz.,0.073,465,294,1.0
16.0 oz,0.099,466,263,5.0
16.0 oz,0.062%,467,295,2.0
16.0 oz.,0.057999999999999996%,468,247,3.0
16.0 oz.,0.052,469,73,13.0
16.0 ounce,0.053%,470,296,3.0
12.0 oz.,0.045%,471,6,11.0
12.0 oz.,0.06,472,16,31.0
12.0 oz,0.06,473,90,10.0
16.0 ounce,0.09,474,253,4.0
16.0 OZ.,0.065%,475,297,1.0
16.0 oz,0.068,476,298,5.0
24.0 oz.,0.078,477,299,1.0
12.0 oz,0.055,478,54,15.0
12.0 ounce,0.099,479,300,6.0
12.0 oz.,0.06,480,16,31.0
16.0 oz.,0.065,481,250,14.0
16.0 ounce,0.068%,482,301,2.0
16.0 oz,0.072,483,200,3.0
16.0 oz,0.068,484,298,5.0
16.0 oz,0.055,485,96,11.0
12.0 oz,0.05,486,0,28.0
12.0 ounce,0.056,487,92,10.0
12.0 ounce,0.049%,488,302,5.0
12.0 oz.,0.068,489,108,9.0
12.0 oz,0.049,490,218,7.0
12.0 ounce,0.043%,491,303,2.0
12.0 ounce,0.093,492,304,1.0
12.0 oz. Alumi-Tek,0.062,493,140,2.0
12.0 oz.,0.06,494,16,31.0
16.0 oz.,0.048,495,235,7.0
16.0 oz.,0.077,496,305,3.0
16.0 oz.,0.097,497,306,1.0
16.0 ounce,0.052,498,307,8.0
16.0 oz,0.053,499,195,3.0
16.0 oz.,0.063,500,261,8.0
16.0 oz,0.068%,501,289,5.0
16.0 OZ.,0.063,502,308,2.0
16.0 ounce,0.053,503,71,4.0
12.0 ounce,0.068%,504,31,3.0
12.0 ounce,0.06,505,15,13.0
12.0 oz.,0.055999999999999994%,506,239,9.0
12.0 oz,0.039,507,309,1.0
12.0 ounce,0.054,508,160,6.0
12.0 oz,0.061,509,310,5.0
12.0 OZ.,0.061%,510,311,1.0
12.0 oz,0.055999999999999994%,511,182,4.0
12.0 ounce,0.056,512,92,10.0
12.0 oz.,0.056,513,101,14.0
12.0 ounce,0.056,514,92,10.0
12.0 oz.,0.056,515,101,14.0
12.0 oz. Alumi-Tek,0.054,516,312,1.0
12.0 oz,0.061,517,310,5.0
12.0 oz.,0.05,518,34,32.0
12.0 oz.,0.065%,519,313,11.0
12.0 oz,,520,220,
12.0 ounce,,521,212,
12.0 oz. Alumi-Tek,,522,209,
12.0 oz.,,523,219,
16.0 oz.,0.099,524,314,3.0
16.0 oz.,0.09,525,44,3.0
12.0 oz,0.055%,526,38,6.0
12.0 oz.,0.054,527,162,5.0
12.0 ounce,0.055%,528,315,5.0
16.0 oz.,0.055,529,66,13.0
16.0 oz.,0.049%,530,232,2.0
12.0 oz,0.065,531,40,14.0
12.0 ounce,0.052,532,135,10.0
12.0 oz.,0.046%,533,316,2.0
12.0 ounce,0.056,534,92,10.0
16.0 OZ.,0.046,535,317,1.0
12.0 oz.,0.062,536,113,14.0
12.0 ounce,0.052000000000000005%,537,318,3.0
12.0 oz.,0.042%,538,319,4.0
12.0 ounce,0.052,539,135,10.0
12.0 ounce,0.05,540,146,25.0
12.0 ounce,,541,212,
12.0 ounce,0.04,542,320,7.0
12.0 ounce,0.05%,543,208,15.0
12.0 oz,0.035,544,36,3.0
16.0 oz,0.059,545,49,2.0
12.0 oz.,0.057%,546,177,6.0
12.0 oz.,0.051,547,190,16.0
16.0 oz.,0.099,548,314,3.0
16.0 ounce,0.039,549,321,3.0
16.0 oz,0.078,550,322,2.0
12.0 oz.,0.042,551,88,12.0
16.0 oz.,0.069,552,45,6.0
16.0 oz,0.069,553,323,2.0
12.0 oz,0.056,554,97,5.0
12.0 ounce,0.052,555,135,10.0
12.0 oz.,0.047,556,138,15.0
12.0 oz. Alumi-Tek,0.07,557,324,3.0
12.0 OZ.,0.047,558,325,3.0
12.0 oz.,0.052,559,326,11.0
12.0 oz.,0.056,560,101,14.0
16.0 ounce,0.048,561,121,4.0
16.0 OZ.,0.078,562,327,1.0
12.0 oz,0.057999999999999996%,563,171,7.0
12.0 oz,0.054,564,245,6.0
16.0 oz.,0.085,565,328,2.0
16.0 oz.,,566,259,
16.0 oz,0.068%,567,289,5.0
16.0 oz.,0.051%,568,329,3.0
16.0 oz,0.051%,569,330,1.0
16.0 oz.,0.05,570,105,17.0
12.0 ounce,0.05%,571,208,15.0
12.0 oz,0.05,572,0,28.0
12.0 ounce,0.05,573,146,25.0
12.0 oz. Alumi-Tek,0.045,574,156,4.0
12.0 ounce,0.05,575,146,25.0
12.0 OZ.,0.052,576,331,3.0
16.0 oz,0.051,577,332,8.0
16.0 oz.,0.072,578,333,4.0
16.0 oz.,0.095,579,334,1.0
16.0 oz,0.075,580,335,4.0
24.0 oz,0.07,581,336,1.0
12.0 OZ.,0.06,582,128,8.0
12.0 oz,0.05,583,0,28.0
12.0 oz,0.07%,584,124,6.0
16.0 oz. Alumi-Tek,0.045,585,337,2.0
16.0 oz. Alumi-Tek,0.065,586,251,2.0
16.0 oz.,0.055,587,66,13.0
16.0 oz.,0.045%,588,270,3.0
16.0 ounce,0.08%,589,338,3.0
16.0 ounce,0.055,590,199,10.0
16.0 oz,0.057%,591,339,2.0
16.0 oz.,0.057%,592,340,5.0
16.0 ounce,0.052,593,307,8.0
12.0 oz.,0.089,594,341,1.0
12.0 oz,0.049,595,218,7.0
12.0 oz.,0.05,596,34,32.0
12.0 ounce,0.05%,597,208,15.0
12.0 oz.,0.055,598,8,27.0
12.0 oz,0.062,599,342,5.0
12.0 oz.,0.082,600,18,3.0
12.0 oz,0.055,601,54,15.0
12.0 oz.,0.055,602,8,27.0
12.0 oz.,0.06,603,16,31.0
12.0 oz. Alumi-Tek,0.045,604,156,4.0
12.0 oz. Silo Can,0.07,605,343,1.0
12.0 ounce,0.07,606,33,15.0
12.0 oz. Alumi-Tek,0.063,607,344,2.0
12.0 oz.,0.07%,608,28,3.0
12.0 ounce,0.07,609,33,15.0
12.0 oz.,0.07,610,26,11.0
12.0 oz.,0.055,611,8,27.0
16.0 oz,0.052,612,117,12.0
12.0 oz,0.075,613,345,3.0
12.0 ounce,0.075,614,201,2.0
12.0 oz,0.08,615,346,7.0
12.0 oz,0.05%,616,131,14.0
12.0 ounce,0.055,617,55,27.0
12.0 oz,0.055%,618,38,6.0
12.0 oz.,0.05%,619,246,16.0
12.0 oz,0.07200000000000001%,620,347,2.0
12.0 oz,0.075,621,345,3.0
12.0 oz. Alumi-Tek,0.05%,622,348,3.0
12.0 oz.,0.048,623,231,14.0
12.0 oz,0.06,624,90,10.0
12.0 oz.,0.045,625,57,15.0
12.0 oz.,0.062%,626,349,6.0
12.0 oz,0.065,627,40,14.0
12.0 oz.,0.038%,628,350,1.0
12.0 oz.,0.055999999999999994%,629,239,9.0
16.0 oz.,0.067,630,351,2.0
12.0 oz,0.06%,631,148,8.0
16.0 oz,0.044,632,352,1.0
12.0 oz,0.047,633,164,12.0
12.0 ounce,0.062,634,127,7.0
12.0 ounce,0.046,635,353,6.0
12.0 ounce,0.065,636,7,11.0
12.0 oz.,0.052,637,326,11.0
12.0 oz,0.052,638,114,17.0
16.0 OZ.,0.058,639,354,2.0
16.0 ounce,0.068,640,355,2.0
16.0 ounce,0.048,641,121,4.0
16.0 oz.,0.056,642,356,4.0
12.0 oz.,0.05,643,34,32.0
12.0 oz,0.052,644,114,17.0
12.0 ounce,0.057,645,91,9.0
12.0 oz.,0.061,646,288,5.0
12.0 oz,0.038,647,357,1.0
12.0 ounce,0.05%,648,208,15.0
16.0 oz.,0.048%,649,358,4.0
16.0 oz,0.075%,650,359,3.0
16.0 oz.,0.077,651,305,3.0
12.0 OZ.,0.06,652,128,8.0
12.0 oz,0.075%,653,360,1.0
12.0 oz. Alumi-Tek,0.059,654,361,2.0
12.0 oz.,,655,219,
12.0 ounce,,656,212,
12.0 oz.,0.052,657,326,11.0
12.0 ounce,0.06,658,15,13.0
12.0 ounce,0.052,659,135,10.0
12.0 oz.,0.065,660,41,18.0
12.0 ounce,0.045%,661,362,3.0
12.0 oz.,0.049%,662,24,5.0
12.0 oz.,0.055%,663,39,16.0
12.0 oz,0.056,664,97,5.0
12.0 OZ.,0.065,665,187,3.0
12.0 oz,0.066,666,204,2.0
12.0 oz.,0.055%,667,39,16.0
12.0 oz,0.045,668,158,16.0
12.0 ounce,0.055%,669,315,5.0
12.0 oz,0.069,670,166,5.0
12.0 oz.,0.06,671,16,31.0
16.0 oz.,0.06%,672,172,6.0
16.0 oz,0.052,673,117,12.0
16.0 oz,0.049%,674,363,2.0
16.0 oz.,0.054,675,364,7.0
16.0 oz,0.08,676,365,6.0
