Address1,HospitalType,original_index,unique_index,count
101 hospital circle,acute care hospitals,122,12,25
101 hospital circle,acute care hospitals,123,12,25
101 hospital circle,acute care hospitals,124,12,25
101 hospital circle,acute care hospitals,125,12,25
101 hospital circle,acute care hospitals,126,12,25
101 hospital circle,acute care hospitals,127,12,25
101 hospital circle,acute care hospitals,128,12,25
101 hospital circle,acute care hospitals,129,12,25
101 hospital circle,acute care hospitals,130,12,25
101 hospital circle,acute care hospitals,131,12,25
101 hospital circle,acute care hospitals,132,12,25
101 hospital circle,acute care hospitals,133,12,25
101 hospital circle,acute care hospitals,134,12,25
101 hospital circle,acute care hospitals,135,12,25
101 hospital circle,acute care hospitals,136,12,25
101 hospital circle,acute care hospitals,137,12,25
101 hospital circle,acute care hospitals,138,12,25
101 hospital circle,acute care hospitals,139,12,25
101 hospital circle,acute care hospitals,140,12,25
101 hospital circle,acute care hospitals,141,12,25
101 hospital circle,acute care hospitals,142,12,25
101 hospital circle,acute care hospitals,143,12,25
201 pine street northwest,acute care hospitals,144,13,24
201 pine street northwest,acute care hospitals,145,13,24
201 pine street northwest,acute care hospitals,146,13,24
201 pine street northwest,acute care hospitals,147,13,24
201 pine street northwest,acute care hospitals,148,13,24
201 pine street northwest,acute care hospitals,149,13,24
201 pine street northwest,acute care hospitals,150,13,24
201 pine street northwest,acute care hospitals,151,13,24
201 pine street northwest,acute care hospitals,152,13,24
201 pine street northwest,acute care hospitals,153,13,24
201 pine street northwest,acute care hospitals,154,13,24
201 pine street northwest,acute care hospitals,155,13,24
201 pine street northwest,acute care hospitals,156,13,24
201 pine street northwest,acute care hospitals,157,13,24
201 pine street northwest,acute care hospitals,158,13,24
201 pine street northwest,acute care hospitals,159,13,24
201 pine street northwest,acute care hospitals,160,13,24
201 pine sxreex norxhwesx,acute care hospitals,161,14,1
201 pine street northwest,acute care hospitals,162,13,24
201 pine street northwest,acute care hospitals,163,13,24
201 pine street northwest,acute care hospitals,164,13,24
201 pine street northwest,acute care hospitals,165,13,24
201 pine street northwest,acute care hospitals,166,13,24
201 pine street northwest,acute care hospitals,167,13,24
201 pine street northwest,acute care hospitals,168,13,24
8000 alabama highway 69,acute care hospitals,169,15,24
8000 alabama highway 69,acute care hospitals,170,15,24
8000 alabama highway 69,acute care hospitals,171,15,24
8000 alabama highway 69,acute care hospitals,172,15,24
8000 alabama highway 69,acute care hospitals,173,15,24
8000 alabama highway 69,acute care hospitals,174,15,24
8000 alabama xigxway 69,acute care hospitals,175,16,1
8000 alabama highway 69,acute care hospitals,176,15,24
8000 alabama highway 69,acute care hospitals,177,15,24
8000 alabama highway 69,acute care hospitals,178,15,24
8000 alabama highway 69,acute care hospitals,179,15,24
8000 alabama highway 69,acute care hospitals,180,15,24
8000 alabama highway 69,acute care hospitals,181,15,24
8000 alabama highway 69,acute care hospitals,182,15,24
8000 alabama highway 69,acute care hospitals,183,15,24
8000 alabama highway 69,acute care hospitals,184,15,24
8000 alabama highway 69,acute care hospitals,185,15,24
8000 alabama highway 69,acute care hospitals,186,15,24
8000 alabama highway 69,acute care hospitals,187,15,24
8000 alabama highway 69,acute care hospitals,188,15,24
8000 alabama highway 69,acute care hospitals,189,15,24
8000 alabama highway 69,acute care hospitals,190,15,24
8000 alabama highway 69,acute care hospitals,191,15,24
8000 alabama highway 69,acute care hospitals,192,15,24
8000 alabama highway 69,acute care hospitals,193,15,24
50 medical park east drive,acute care hospitals,194,17,23
50 medical park east drive,acute care hospitals,195,17,23
50 medical park east drive,acute care hospitals,196,17,23
50 medical park east drive,acute care hospitals,197,17,23
50 medical park east drive,acute care hospitals,198,17,23
50 medical park east drive,acute care hosxitals,199,18,1
50 medical park east drive,acute care hospitals,200,17,23
50 medical park east drive,acute care hospitals,201,17,23
50 medical park east drive,acute care hospitals,202,17,23
50 medical park east drive,acute care hospitals,203,17,23
50 medical park east drive,acute care hospitals,204,17,23
50 medical park east drive,acute care hospitals,205,17,23
50 medical park east drive,acute care hospitals,206,17,23
50 medical park east drive,acute care hospitals,207,17,23
50 medical park east drive,acute care hospitals,208,17,23
50 medical park east drive,acute care hospitals,209,17,23
50 medical park east drive,acute care hospitals,210,17,23
50 medical park east drive,acute care hospitals,211,17,23
50 medical park east drive,acute care hospitals,212,17,23
50 medical park east drive,acutx carx hospitals,213,19,1
50 medical park east drive,acute care hospitals,214,17,23
50 medical park east drive,acute care hospitals,215,17,23
50 medical park east drive,acute care hospitals,216,17,23
50 medical park east drive,acute care hospitals,217,17,23
50 medical park east drive,acute care hospitals,218,17,23
200 med center drive,acute care hospitals,219,20,25
200 med center drive,acute care hospitals,220,20,25
200 med center drive,acute care hospitals,221,20,25
200 med center drive,acute care hospitals,222,20,25
200 med center drive,acute care hospitals,223,20,25
200 med center drive,acute care hospitals,224,20,25
200 med center drive,acute care hospitals,225,20,25
200 med center drive,acute care hospitals,226,20,25
200 med center drive,acute care hospitals,227,20,25
200 med center drive,acute care hospitals,228,20,25
200 med center drive,acute care hospitals,229,20,25
200 med center drive,acute care hospitals,230,20,25
200 med center drive,acute care hospitals,231,20,25
200 med center drive,acute care hospitals,232,20,25
200 med center drive,acute care hospitals,233,20,25
200 med center drive,acute care hospitals,234,20,25
200 med center drive,acute care hospitals,235,20,25
200 med center drive,acute care hospitals,236,20,25
200 med center drive,acute care hospitals,237,20,25
200 med center drive,acute care hospitals,238,20,25
200 med center drive,acute care hospitals,239,20,25
200 med center drive,acute care hospitals,240,20,25
200 med center drive,acute care hospitals,241,20,25
200 med center drive,acute care hospitals,242,20,25
200 med center drive,acute care hospitals,243,20,25
33700 highway 43,acute care hospitals,244,21,22
33700 highway 43,acute care hospitals,245,21,22
33700 highway 43,acute care hospitals,246,21,22
33700 highway 43,acute care hospitals,247,21,22
33700 highway 43,acute care hospitals,248,21,22
33700 highway 43,acute care hospitals,249,21,22
33700 highway 43,acute care hospitals,250,21,22
33700 highway 43,acute care hospitals,251,21,22
33700 highway 43,acute care hospitals,252,21,22
33700 highway 43,acute care hospitals,253,21,22
33700 highway 43,acute care hospitals,254,21,22
33700 highway 43,acute care hospitals,255,21,22
33700 highway 43,acute care hospitals,256,21,22
33700 highway 43,acute care hospitals,257,21,22
33700 highway 43,acute care hospitals,258,21,22
33700 highway 43,acute care hospitals,259,21,22
33700 hxghway 43,acute care hospitals,260,22,1
33700 highway 43,acute care hospitals,261,21,22
33700 highway 43,acute care hospitals,262,21,22
33700 highway 43,acute care hospitals,263,21,22
33700 highway x3,acute care hospitals,264,23,1
33700 highway 43,acute care hospitals,265,21,22
33700 highway 43,acuxe care hospixals,266,24,1
33700 highway 43,acute care hospitals,267,21,22
33700 highway 43,acute care hospitals,268,21,22
1000 first street north,acute care hospitals,269,25,22
1000 first street north,acute care hospitals,270,25,22
1000 first street north,acute care hospitals,271,25,22
1000 first street north,acute care hospitals,272,25,22
1000 first street north,acute care hospitals,273,25,22
1000 first street north,acute care hospitals,274,25,22
1000 fixst stxeet noxth,acute care hospitals,275,26,1
1000 first street north,acute care hospitals,276,25,22
1000 first street north,acute care hospitals,277,25,22
1000 first street north,acute care hospitals,278,25,22
1000 first street north,acute care hospitals,279,25,22
1000 first street north,acutexcarexhospitals,280,27,1
1000 first street north,acute care hospitals,281,25,22
1000 first street north,acute care hospitals,282,25,22
1000 first street north,acute care hospitals,283,25,22
1000 first street north,acute care hospitals,284,25,22
1000 first street north,acute care hospitals,285,25,22
1000 first street north,acute care hospitals,286,25,22
1000 first street north,acute care hospitals,287,25,22
1000 first street north,acute care hospitals,288,25,22
1000 first street north,acute care hospitals,289,25,22
1000 first street north,acute care hospitals,290,25,22
1000 first street north,acute care hospitals,291,25,22
1000 first street north,acute care hospitals,292,25,22
1000 first street north,acuxe care hospixals,293,28,1
1720 university blvd,acute care hospitals,294,0,24
1720 univxrsity blvd,acute care hospitals,295,29,1
1720 university blvd,acute care hospitals,296,0,24
1720 university blvd,acute care hospitals,297,0,24
1720 university blvd,acute care hospitals,298,0,24
1720 university blvd,acute care hospitals,299,0,24
1720 university blvd,acute care hospitals,300,0,24
1720 university blvd,acute care hospitals,301,0,24
1720 university blvd,acute care hospitals,302,0,24
1720 university blvd,acute care hospitals,303,0,24
1720 university blvd,acute care hospitals,304,0,24
1720 university blvd,acute care hospitals,305,0,24
1720 university blvd,acute care hospitals,306,0,24
1720 university blvd,acute care hospitals,307,0,24
1720 university blvd,acute care hospitals,308,0,24
1720 university blvd,acute care hospitals,309,0,24
1720 university blvd,acute care hospitals,310,0,24
301 east 18th st,acute care hospitals,311,30,26
301 east 18th st,acute care hospitals,312,30,26
301 east 18th st,acute care hospitals,313,30,26
301 east 18th st,acute care hospitals,314,30,26
301 east 18th st,acute care hospitals,315,30,26
301xeastx18thxst,acute care hospitals,316,31,1
301 east 18th st,acute care hospitals,317,30,26
301 east 18th st,acute care hospitals,318,30,26
301 east 18th st,acute care hospitals,319,30,26
301 east 18th st,acute care hospitals,320,30,26
301 east 18th st,acute care hospitals,321,30,26
301 east 18th st,acute care hospitals,322,30,26
301 east 18th st,acute care hospitals,323,30,26
301 east 18th st,acute care hospitals,324,30,26
301 east 18th st,acute care hospitals,325,30,26
301 east 18th st,acute care hospitals,326,30,26
301 east 18th st,acute care hospitals,327,30,26
301 east 18th st,acute care hospitals,328,30,26
301 east 18th st,acute care hospitals,329,30,26
301 east 18th st,acute care hospitals,330,30,26
4370 west main street,acute care hospitals,331,32,16
4370 west main street,acute care hospitals,332,32,16
4370 west main street,acute care hospitals,333,32,16
4370xwestxmainxstreet,acute care hospitals,334,33,1
4370 west main street,acute care hospitals,335,32,16
4370 west main street,acute care hospitals,336,32,16
4370 west main street,acute care hospitals,337,32,16
4370 west main street,acute care hospitals,338,32,16
4370 west main street,acute care hospitals,339,32,16
4370 west main street,acute care hospitals,340,32,16
4370 west main street,acute care hospitals,341,32,16
4370 west main street,acute care hospitals,342,32,16
4370 west main street,acute care hospitals,343,32,16
4370 west main street,acute care hospitals,344,32,16
4370 west main street,acute care hospitals,345,32,16
4370 west main street,acute care hospitals,346,32,16
4370 west main street,acute care hospitals,347,32,16
810 st vincents drive,acute care hospitals,348,34,4
810 st vincents drive,acute care hospitals,349,34,4
810 st vxncents drxve,acute care hospitals,350,35,1
810 st vincents drive,acute care hospitals,351,34,4
810 st vincents drive,acute care hospitals,352,34,4
1201 7th street se,acute care hospitals,353,36,1
1530 u s highway 43,acute care hospitals,354,37,24
1530 u s highway 43,acute care hospitals,355,37,24
1530 u s highway 43,acute care hospitals,356,37,24
1530 u s highway 43,acute care hospitals,357,37,24
1530 u s highway 43,acute care hospitals,358,37,24
1530 u s highway 43,acute care hospitals,359,37,24
1530 u s highway 43,acute care hospitals,360,37,24
1530 u s highway 43,acute care hospitals,361,37,24
1530 u s highway 43,acute care hospitals,362,37,24
1530xuxsxhighwayx43,acute care hospitals,363,38,1
1530 u s highway 43,acute care hospitals,364,37,24
1530 u s highway 43,acute care hospitals,365,37,24
1530 u s highway 43,acute care hospitals,366,37,24
1530 u s highway 43,acute care hospitals,367,37,24
1530 u s highway 43,acute care hospitals,368,37,24
1530 u s highway 43,acute care hospitals,369,37,24
1530 u s highway 43,acute care hospitals,370,37,24
1530 u s highway 43,acute care hospitals,371,37,24
1530 u s highway 43,acute care hospitals,372,37,24
1530 u s highway 43,acute care hospitals,373,37,24
1530 u s highway 43,acute care hospitals,374,37,24
1530 u s highway 43,acute care hospitals,375,37,24
1530 u s highway 43,acute care hospitals,376,37,24
1530 u s highway 43,acute care hospitals,377,37,24
1530 u s highway 43,acute care hospitals,378,37,24
2451 fillingim street,acute care hospitals,379,39,13
2451 fillingim street,acute care hospitals,380,39,13
2451 fillingim street,acute care hospitals,381,39,13
2451 fillingim street,acute care hospitals,382,39,13
2451 fillingim street,acute care hospitals,383,39,13
2451 fillingim street,acute care hospitals,384,39,13
2451 fillingim street,acute care hospitals,385,39,13
2451 fillingim street,acute care hospitals,386,39,13
2451 fillingim street,acute care hospitals,387,39,13
2451 fillingim street,acute care hospitals,388,39,13
2451 fillingim street,acute care hospitals,389,39,13
2451 fillingim street,acute care hospitals,390,39,13
2451 fillingim street,acute care hospitals,391,39,13
124 s memorial dr,acute care hospitals,392,40,18
124xsxmemorialxdr,acute care hospitals,393,41,1
124 s memorial dr,acute care hospitals,394,40,18
124 s memorial dr,acute care hospitals,395,40,18
124 s memorial dr,acute care hospitals,396,40,18
124 s memorial dr,acute care hospitals,397,40,18
124 s memorial dr,acute care hospitals,398,40,18
124 s memorial dr,acute care hospitals,399,40,18
124 s memorial dr,acute care hospitals,400,40,18
124 s memorial dr,acute care hospitals,401,40,18
124 s memorial dr,acute care hospitals,402,40,18
124 s memorial dr,acute care hospitals,403,40,18
124 s memorial dr,acute care hospitals,404,40,18
124 s memorial dr,acute care hospitals,405,40,18
124 s memorial dr,acute care hospitals,406,40,18
124 s memorial dr,acute care hospitals,407,40,18
124 s memorial dr,acute care hospitals,408,40,18
124 s memorial dr,acute care hospitals,409,40,18
124 s memorial dr,acute care hospitals,410,40,18
124 s mxmorial dr,acute care hosxitals,411,42,1
15155 highway 43,acute care hospitals,412,43,1
15155 highway 43,acuxe care hospixals,413,44,1
315 w hickory st,acute care hospitals,414,45,16
315 w hickxry st,acute care hospitals,415,46,1
315 w hickory st,acute care hospitals,416,45,16
315 w hickory st,acute care hospitals,417,45,16
315 w hickory st,acute care hospitals,418,45,16
315 w hickory st,acute care hospitals,419,45,16
315 w hickory st,acute care hospitals,420,45,16
315 w hickory st,acute care hospitals,421,45,16
315 w hickory st,acute care hospitals,422,45,16
315 w hickory st,acute care hospitals,423,45,16
315 w hickory st,acute care hospitals,424,45,16
315 w hickory st,acute care hospitals,425,45,16
315 w hickory st,acute care hospitals,426,45,16
315 w hickory st,acute care hospitals,427,45,16
315 w hickory st,acute care hospitals,428,45,16
315 w hickory st,acute care hospitals,429,45,16
315 w hickory st,acute care hospitals,430,45,16
315xwxhickoryxst,acute care hospitals,431,47,1
2801 debarr road,acute care hospitals,432,48,18
2801 debarr road,acute care hospitals,433,48,18
2801 debarr road,acute care hospitals,434,48,18
2801 debarr road,acute care hospitals,435,48,18
2801 debarr road,acute care hospitals,436,48,18
2801 debarr road,acute care hospitals,437,48,18
2801 debarr road,acute care hospitals,438,48,18
2801 debarr road,acute care hospitals,439,48,18
2801 debarr road,acute care hospitals,440,48,18
2801 debarr road,acute care hospitals,441,48,18
2801 debarr road,acute care hospitals,442,48,18
2801 debarr road,acute care hospitals,443,48,18
2801 debarr road,acute care hospitals,444,48,18
2801 debarr road,acute care hospitals,445,48,18
2801 debarr road,acute care hospitals,446,48,18
2801 debarr road,acute care hospitals,447,48,18
2801 debarr road,acute care hospitals,448,48,18
2801 debarr road,acute care hospitals,449,48,18
po box 287,acute care hospitals,450,49,1
poxboxx287,acute care hospitals,451,50,1
1300 south montgomery avenue,acute care hospitals,452,1,23
1300 south montgomery avenue,acute care hospitaxs,453,51,1
1300 south montgomery avenue,acute care hospitals,454,1,23
1300 south montgomery avenue,acute care hospitals,455,1,23
1300 south montgomery avenue,acute care hospitals,456,1,23
1300 south montgomery avenue,acute care hospitals,457,1,23
1300 south montgomery avenue,acute care hospitals,458,1,23
1300 south montgomery avenue,acute care hospitals,459,1,23
1300 south montgomery avenue,acute care hospitals,460,1,23
1300 south montgomery avenue,acute care hospitals,461,1,23
1300 south montgomery avenue,acute care hospitals,462,1,23
1300 south montgomery avenue,acute care hospitals,463,1,23
1300 south montgomery avenue,acute care hospitals,464,1,23
1300 south montgomery avenue,acute care hospitals,465,1,23
126 hospital ave,acute care hospitals,466,52,22
126 hospital ave,acute care hospitals,467,52,22
126 hospital ave,acute care hospitals,468,52,22
126 hospital ave,acute care hospitals,469,52,22
126 hospital ave,acute care hospitals,470,52,22
126 hospital ave,acute care hospitals,471,52,22
126xhospitalxave,acute care hospitals,472,53,1
126 hospital ave,acute care hospitals,473,52,22
126 hospital ave,acute care hospitals,474,52,22
126 hospital ave,acute care hospitals,475,52,22
126 hospital ave,acute care hospitals,476,52,22
126 hospital ave,acute care hospitals,477,52,22
126 hospital ave,acute care hospitals,478,52,22
126 hospital ave,acute care hospitals,479,52,22
126 hospital ave,acute care hospitals,480,52,22
126 hospital ave,acute care hospitals,481,52,22
126 hospital ave,acute care hospitals,482,52,22
126 hospital ave,acute care hospitals,483,52,22
1x6 hospital ave,acute care hospitals,484,54,1
126 hospital ave,acute care hospitals,485,52,22
126 hospital ave,acute care hospitals,486,52,22
126 hospital ave,acute care hospitals,487,52,22
126 hospital ave,acute care hospitals,488,52,22
126 hospital ave,acute care hospitals,489,52,22
126 hospital ave,acute caxe hospitals,490,55,1
400 northwood dr,acute care hospitals,491,56,22
400 northwood dr,acute care hospitals,492,56,22
400 northwood dr,acute care hxspitals,493,57,1
400 northwood dr,acute care hospitals,494,56,22
400 northwood dr,acute care hospitals,495,56,22
400 northwood dr,acute care hospitals,496,56,22
400 northwood dr,acutx carx hospitals,497,58,1
400 northwood dr,acute care hospitals,498,56,22
400 northwood dr,acute care hospitals,499,56,22
400 northwood dr,acute care hospitals,500,56,22
400 northwood dr,acute care hospitals,501,56,22
400 northwood dr,acute care hospitals,502,56,22
400 northwood dr,acute care hospitals,503,56,22
400 northwood dr,acute care hospitals,504,56,22
400 northwood dr,acute care hospitals,505,56,22
400 northwood dr,acute care hospitals,506,56,22
400 northwood dr,acute care hospitals,507,56,22
400 northwood dr,acute care hospitals,508,56,22
400 northwood dr,acute care hospitals,509,56,22
400 northwood dr,acute care hospitals,510,56,22
400 northwood dr,acuxe care hospixals,511,59,1
400 northwood dr,acute care hospitals,512,56,22
400 northwood dr,acute care hospitals,513,56,22
400 northwood dr,acute care hospitals,514,56,22
400 northwood dr,acute care hospitals,515,56,22
2105 east south boulevard,acute care hospitals,516,60,24
2105 east south boulevard,acute care hospitals,517,60,24
2105 east south boulevard,acute care hospitals,518,60,24
2105 east south boulevard,acute care hospitals,519,60,24
2105 east south boulevard,acute care hospitals,520,60,24
2105 east south boulevard,acute care hospitals,521,60,24
2105 east south boulevard,acute care hospitals,522,60,24
2105 east south boulevard,acute care hospitals,523,60,24
2105 east south boulevard,acute care hospitals,524,60,24
2105 east south boulevard,acute care hospitals,525,60,24
2105 east south boulevard,acute care hospitals,526,60,24
2105 east south boulevard,acute care hospitals,527,60,24
2105 east south boulevard,acute care hospitals,528,60,24
2105 east south boulevard,acute care hospitals,529,60,24
2105 east south boulevard,acute care hospitals,530,60,24
2105 east south boulevard,acute care hospitals,531,60,24
2105 east south boulevard,acute care hosxitals,532,61,1
2105 east south boulevard,acute care hospitals,533,60,24
2105 east south boulevard,acute care hospitals,534,60,24
2105 east south boulevard,acute care hospitals,535,60,24
2105 east south boulevard,acute care hospitals,536,60,24
2105 east south boulevard,acute care hospitals,537,60,24
2105 east south boulevard,acute care hospitals,538,60,24
2105 east south boulevard,acute care hospitals,539,60,24
2105 east south boulevard,acute care hospitals,540,60,24
1725 pine street,acute care hospitals,541,62,25
1725 pine street,acute care hospitals,542,62,25
1725 pine street,acute care hospitals,543,62,25
1725 pine street,acute care hospitals,544,62,25
1725 pine street,acute care hospitals,545,62,25
1725 pine street,acute care hospitals,546,62,25
1725 pine street,acute care hospitals,547,62,25
1725 pine street,acute care hospitals,548,62,25
1725 pine street,acute care hospitals,549,62,25
1725 pine street,acute care hospitals,550,62,25
1725 pine street,acute care hospitals,551,62,25
1725 pine street,acute care hospitals,552,62,25
1725 pine street,acute care hospitals,553,62,25
1725 pine street,acute care hospitals,554,62,25
1725 pine street,acute care hospitals,555,62,25
1725 pine street,acute care hospitals,556,62,25
1725 pine street,acute care hospitals,557,62,25
1725 pine street,acute care hospitals,558,62,25
1725 pine street,acute care hospitals,559,62,25
1725 pine street,acute care hospitals,560,62,25
1725 pine street,acute care hospitals,561,62,25
1725 pine street,acute care hospitals,562,62,25
1725 pine street,acute care hospitals,563,62,25
1725 pine street,acute care hospitals,564,62,25
1725 pine street,acute care hospitals,565,62,25
4800 48th st,acute care hospitals,566,63,24
4800 48th st,acute care hospitals,567,63,24
4800 48th st,acute care hospitals,568,63,24
4800 48th st,acute care hospitals,569,63,24
4800 48th st,acute care hospitals,570,63,24
4800 48th st,acute care hospitals,571,63,24
4800 48th st,acute care hospitals,572,63,24
4800 48th st,acute care hospitals,573,63,24
4800 48th st,acute care hospitals,574,63,24
4800 48th st,acute care hospitals,575,63,24
4800 48th st,acute care hospitals,576,63,24
4800 48th st,acute care hospitals,577,63,24
4800 48th st,acute care hospitals,578,63,24
4800 48th st,acute care hospitals,579,63,24
4800 48th st,acute care hospitals,580,63,24
4800 48th st,acute care hospitals,581,63,24
4800 48th st,acute care hospitals,582,63,24
4800 48th st,acute care hospitals,583,63,24
4800 48th st,acute care hospitals,584,63,24
4800 48th st,acute care hospitals,585,63,24
4800 48th st,acute care hospitals,586,63,24
4800 48th st,acute care hospitals,587,63,24
4800 48th st,acuxe care hospixals,588,64,1
4800 48th st,acute care hospitals,589,63,24
4800 48th st,acute care hospitals,590,63,24
987 drayton street,acute care hospitals,591,65,25
987 drayton street,acute care hospitals,592,65,25
987 drayton street,acute care hospitals,593,65,25
987 drayton street,acute care hospitals,594,65,25
987 drayton street,acute care hospitals,595,65,25
987 drayton street,acute care hospitals,596,65,25
987 drayton street,acute care hospitals,597,65,25
987 drayton street,acute care hospitals,598,65,25
987 drayton street,acute care hospitals,599,65,25
987 drayton street,acute care hospitals,600,65,25
987 drayton street,acute care hospitals,601,65,25
987 drayton street,acute care hospitals,602,65,25
987 drayton street,acute care hospitals,603,65,25
987 drayton street,acute care hospitals,604,65,25
987 drayton street,acute care hospitals,605,65,25
987 drayton street,acute care hospitals,606,65,25
987 drayton street,acute care hospitals,607,65,25
987 drayton street,acute care hospitals,608,65,25
987 drayton street,acute care hospitals,609,65,25
987 drayton street,acute care hospitals,610,65,25
987 drayton street,acute care hospitals,611,65,25
987 drayton street,acute care hospitals,612,65,25
987 drayton street,acute care hospitals,613,65,25
987 drayton street,acute care hospitals,614,65,25
987 drayton street,acute care hospitals,615,65,25
2000 pepperell parkway,acute care hospitals,616,66,24
