journal_title,original_index,unique_index,count
Neuropsychologia,151,124,1.0
"Euthanasie en andere medische beslissingen rond het levenseinde, 1990-1995",152,125,1.0
,153,3,
American Journal of Acupuncture,154,126,1.0
Swiss Med. Wkly,155,127,1.0
Circulation Journal,156,128,1.0
CNS spectrums,157,129,1.0
Paliativn�_ Schanzova osteotomie p��i nereponibiln�_ luxaci ky��eln�_ho kloubu u pacient�� s d��tskou mozkovou obrnou v adolescentn�_m v��u,158,130,1.0
Hippokratia,159,131,1.0
Psycho-Oncology,160,132,1.0
Journal of Clinical and Diagnostic Research,161,133,1.0
,162,3,
,163,3,
Strabismus,164,134,1.0
,165,3,
Focus on Alternative and Complementary Therapies,166,135,2.0
Animal,167,136,1.0
Cochrane Database of Systematic Reviews,168,137,1.0
,169,3,
Diabet Med,170,138,1.0
,171,3,
Journal of receptor and signal transduction research,172,139,1.0
Functional Neurology,173,140,2.0
Spine,174,141,1.0
Annals of the New York Academy of Sciences,175,142,1.0
Ann N Y Acad Sci,176,143,1.0
"Obesity (Silver Spring, Md.)",177,144,2.0
Water science and technology : a journal of the International Association on Water Pollution Research,178,145,1.0
Orthopedics,179,146,1.0
Haematologica,180,147,2.0
Scandinavian journal of psychology,181,148,1.0
,182,3,
,183,3,
AIDS Care,184,149,1.0
Mount Sinai Journal of Medicine,185,150,1.0
Radiotherapy and Oncology,186,151,1.0
Alternative Therapies in Health and Medicine,187,152,1.0
Journal of International Education Research,188,153,1.0
Radiologic Clinics of North America,189,154,1.0
Health Education & Behavior,190,155,1.0
Pediatric annals,191,156,1.0
Learning & Leading with Technology,192,157,1.0
Journal of the National Cancer Institute,193,158,3.0
Journal of Science & Medicine in Sport,194,159,1.0
,195,3,
European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,196,160,1.0
BMC Medical Research Methodology,197,161,1.0
Annals Of Surgery,198,162,1.0
Journal of biomaterials applications,199,163,1.0
The journal of headache and pain,200,164,1.0
ProQuest LLC,201,165,2.0
Journal of sports sciences,202,166,1.0
European Journal of Endocrinology,203,167,1.0
"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",204,168,2.0
Cytokine,205,169,1.0
,206,3,
,207,3,
Arch Surg,208,170,1.0
Muscle & nerve,209,171,1.0
Social science & medicine (1982),210,172,1.0
International archives of occupational and environmental health,211,173,1.0
Ugeskr Laeger,212,174,1.0
,213,3,
Critical reviews in oncology/hematology,214,175,1.0
,215,3,
"Public health reports (Washington, D.C. : 1974)",216,176,1.0
Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,217,177,2.0
,218,3,
Journal of Consulting and Clinical Psychology,219,178,2.0
Computerized Medical Imaging and Graphics: The Official Journal of the Computerized Medical Imaging Society,220,179,1.0
,221,3,
American Journal of Clinical Nutrition,222,180,1.0
Int J Obes (Lond),223,181,1.0
,224,3,
,225,3,
Endocrinology,226,182,2.0
American Journal of Clinical Oncology-Cancer Clinical Trials,227,183,1.0
International Journal of Behavioral Consultation and Therapy,228,184,1.0
,229,3,
McNeill Mathematics Program,230,185,1.0
The Journal of hospital infection,231,186,1.0
Best practice & research. Clinical gastroenterology,232,187,1.0
Am J Obstet Gynecol,233,188,1.0
Medical teacher,234,189,1.0
Acta cytologica,235,190,1.0
Atherosclerosis. Supplements,236,191,1.0
Schlafsțrungen bei kritisch kranken patienten,237,192,1.0
BMJ Open,238,95,3.0
Mycoses,239,193,1.0
BMC Musculoskelet Disord,240,194,1.0
Clinical Oncology (Royal College of Radiologists),241,195,1.0
BMJ Open,242,95,3.0
Physiotherapy,243,196,2.0
Public health genomics,244,197,1.0
,245,3,
Journal of the International Neuropsychological Society : JINS,246,198,1.0
Revista Brasileira de terapia intensiva,247,199,1.0
Gene,248,200,1.0
Am. J. Managed Care,249,201,1.0
Journal of Clinical Gastroenterology,250,202,1.0
Journal of Health Care for the Poor & Underserved,251,203,1.0
Biomedical engineering online,252,204,1.0
Disease Management and Clinical Outcomes,253,205,1.0
Nature: New biology,254,206,1.0
Cardiology in the young,255,207,3.0
Journal of Huazhong University of Science and Technology. Medical Sciences,256,208,1.0
Journal of Epidemiology and Community Health,257,209,1.0
Critical care medicine,258,210,1.0
"Molecular Biology of the Cell. Conference: Annual Meeting of the American Society for Cell Biology, ASCB",259,211,1.0
Experimental Aging Research,260,212,1.0
Johns Hopkins Medical Journal,261,213,1.0
Urologe A,262,214,1.0
Prev Med,263,215,1.0
Chest,264,216,3.0
Psychiatric Services.,265,217,1.0
Archives of General Psychiatry,266,218,1.0
Journal of Sexual Medicine,267,219,2.0
Interactive Cardiovascular & Thoracic Surgery,268,220,1.0
"The Chartered Society of Physiotherapy Annual Congress and Exhibition: Defining Practice, Friday, October 17 to Sunday, October 19 2003, International Convention Centre, Birmingham.",269,221,1.0
Curr. Probl. Cardiol.,270,222,1.0
Vox Sanguinis,271,223,1.0
The British Journal of Psychiatry,272,224,1.0
American Journal of Community Psychology,273,225,1.0
Ultrasound Obstet. Gynecol.,274,226,1.0
,275,3,
,276,3,
Annual Abstract Supplement,277,227,1.0
Journal of psychiatric research,278,228,1.0
Proceedings of the 23rd ACM international conference on Multimedia,279,229,1.0
Neurology,280,230,1.0
International Journal of Oral and Maxillofacial Surgery,281,231,1.0
Journal of the American Veterinary Medical Association,282,232,1.0
,283,3,
,284,3,
,285,3,
Journal of medical imaging and radiation oncology,286,233,1.0
European Respiratory Journal,287,234,1.0
PLoS One,288,25,6.0
Kardiologia Polska,289,235,1.0
European journal of applied physiology and occupational physiology,290,236,1.0
Nutrients,291,237,1.0
Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,292,238,1.0
Chin. Med,293,239,1.0
Current Immunology Reviews,294,240,1.0
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,295,241,3.0
CNS Drugs,296,242,1.0
Scandinavian journal of infectious diseases. Supplementum,297,243,1.0
,298,3,
Applied nursing research : ANR,299,244,1.0
Aktuelle Traumatologie,300,245,1.0
JOURNAL OF CHEMICAL PHYSICS,301,246,1.0
J Orthop Sci,302,247,2.0
,303,3,
Rev Med Chir Soc Med Nat Iasi,304,248,1.0
J Okla State Med Assoc,305,249,1.0
,306,3,
Social Science and Medicine,307,250,1.0
Gut,308,121,2.0
Chest,309,216,3.0
,310,3,
,311,3,
European journal of applied physiology,312,251,1.0
,313,3,
,314,3,
Radiology,315,252,1.0
Journal of Neurocytology,316,253,1.0
Canadian Journal of Anaesthesia,317,254,1.0
The British journal of social psychology / the British Psychological Society,318,255,1.0
Cardiology in the young,319,207,3.0
Urban Studies (Routledge),320,256,1.0
Dento maxillo facial radiology,321,257,1.0
Actas espa̱olas de psiquiatr�_a,322,258,1.0
International journal of colorectal disease,323,259,1.0
,324,3,
,325,3,
The neurologist,326,260,1.0
,327,3,
Expert opinion on emerging drugs,328,261,1.0
,329,3,
American Indian and Alaska Native Mental Health Research: The Journal of the National Center,330,262,1.0
Drugs & aging,331,263,1.0
,332,3,
,333,3,
Endodontics & dental traumatology,334,264,1.0
Cardiol Young,335,265,1.0
AACN Clinical Issues: Advanced Practice in Acute & Critical Care,336,266,1.0
Leukemia and Lymphoma,337,267,1.0
The hematology journal : the official journal of the European Haematology Association / EHA,338,268,1.0
,339,3,
International journal of geriatric psychiatry,340,269,1.0
Acta Neurochir Suppl (Wien),341,270,1.0
,342,3,
Acta Clin. Croat.,343,271,1.0
,344,3,
Aging & Mental Health,345,272,1.0
Supplement: Active Living Research - Niche to Norm,346,273,1.0
Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,347,177,2.0
Allergy and asthma proceedings : the official journal of regional and state allergy societies,348,274,1.0
,349,3,
International Journal of Social Psychiatry,350,275,1.0
East African Medical Journal,351,276,1.0
,352,3,
Bmc Cancer,353,277,1.0
Journal Of Anesthesia,354,278,1.0
Eating Behaviors,355,279,1.0
Parkinsonism & related disorders,356,280,1.0
Turk. J. Pediatr.,357,281,1.0
,358,3,
Psychother. Psychosom.,359,282,1.0
Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus / I.S.D.E,360,283,1.0
Ann Fr Anesth Reanim,361,284,1.0
Journal of Sports Medicine & Physical Fitness,362,285,1.0
Experimental cell research,363,286,1.0
Journal of Substance Abuse Treatment,364,287,1.0
BioMed research international,365,288,2.0
Multicultural Education & Technology Journal,366,289,1.0
JPN. J. ANESTHESIOL.,367,290,1.0
Injury,368,291,1.0
International Journal of Qualitative Studies in Education (QSE),369,292,1.0
BR J ANAESTH,370,293,1.0
Annals of internal medicine,371,294,2.0
Energy Policy,372,295,2.0
PLoS ONE [Electronic Resource],373,296,1.0
Journal of Biomolecular Techniques,374,297,1.0
Hepato-gastroenterology,375,298,1.0
Current Opinion in Ophthalmology,376,299,1.0
PLoS One,377,25,6.0
J Toxicol Environ Health,378,300,1.0
,379,3,
Anesthesia And Analgesia,380,301,2.0
Bulletin of mathematical biology,381,302,1.0
Kekkaku : [Tuberculosis],382,303,1.0
,383,3,
British journal of sports medicine,384,304,1.0
The Science of the total environment,385,305,1.0
,386,3,
,387,3,
,388,3,
Ann Pharmacother,389,306,1.0
PharmacoEconomics,390,307,1.0
American Journal of Epidemiology,391,308,1.0
Cirug�_a Pedi��trica: Organo Oficial De La Sociedad Espa̱ola De Cirug�_a Pedi��trica,392,309,1.0
O papel dos profissionais de saude em casos de violencia domestica: um relato de experiencia.,393,310,1.0
Pediatrics,394,311,5.0
Postgraduate medical journal,395,312,1.0
Minerva cardioangiologica,396,313,1.0
Anesthesia And Analgesia,397,301,2.0
Int. J.  Pharmcy Pharm. Sci.,398,314,1.0
Neurobiology of aging,399,315,1.0
World J Pediatr Congenit Heart Surg,400,316,1.0
American journal of veterinary research,401,317,1.0
Supply Chain Management,402,318,1.0
Critical Care Nursing Quarterly,403,319,1.0
Clinical psychology review,404,320,1.0
ANN. ONCOL.,405,321,1.0
Polskie Archiwum Medycyny Wewnetrznej,406,322,1.0
"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",407,323,1.0
,408,3,
Wiener Medizinische Wochenschrift,409,324,1.0
,410,3,
PRIMUS,411,325,1.0
Developmental Psychology,412,326,1.0
,413,3,
,414,3,
Cancer,415,327,2.0
Annals of oncology : official journal of the European Society for Medical Oncology / ESMO,416,328,1.0
PALLIATIVE MED.,417,329,1.0
Clinical cardiology,418,330,1.0
,419,3,
Nature Clinical Practice Neurology,420,331,1.0
Journal of dental research,421,332,2.0
Addictive Behaviors,422,333,1.0
Am J Perinatol,423,334,1.0
,424,3,
,425,3,
,426,3,
Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cardiology,427,335,1.0
The Lancet,428,336,1.0
,429,3,
Nederlands Tijdschrift Voor Fysiotherapie,430,337,1.0
,431,3,
European Heart Journal,432,338,1.0
Swiss Medical Weekly,433,339,1.0
Am J Clin Nutr,434,340,3.0
,435,3,
BMC Oral Health,436,341,1.0
JOURNAL OF CELL SCIENCE,437,342,1.0
Respirology,438,343,1.0
BR. J. CANCER,439,344,1.0
J. Am. Geriatr. Soc.,440,345,1.0
"Revue de stomatologie, de chirurgie maxillo-faciale et de chirurgie orale",441,346,1.0
"Journal of cardiovascular medicine (Hagerstown, Md.)",442,347,2.0
Italian Journal of Psychopathology,443,348,1.0
Consumer Reports on Health,444,349,1.0
"Journal of clinical hypertension (Greenwich, Conn.)",445,350,1.0
Frontiers in human neuroscience,446,351,1.0
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,447,352,1.0
Journal of the American Medical Informatics Association : JAMIA,448,353,1.0
Pharmacoeconomics,449,115,2.0
Journal of learning disabilities,450,354,1.0
Obesity reviews : an official journal of the International Association for the Study of Obesity,451,355,1.0
Diabetes technology & therapeutics,452,356,1.0
Ophthalmology and eye diseases,453,357,1.0
Indian Journal of Physiology and Pharmacology,454,358,1.0
Nowoczesne biomateria��y jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.,455,359,1.0
,456,3,
International urogynecology journal,457,360,1.0
Pain Medicine,458,361,1.0
Cancer Research,459,362,1.0
Revista latino-americana de enfermagem,460,363,1.0
Thrombosis And Haemostasis,461,364,1.0
Public health nutrition,462,365,1.0
Cancer Treatment Reviews,463,366,1.0
J Pain Res,464,367,1.0
J Clin Microbiol,465,368,1.0
Laboratory Investigation,466,369,1.0
Child & Family Social Work,467,370,1.0
Surg. Endosc. Interv. Tech.,468,371,1.0
,469,3,
Health Educ Behav,470,372,1.0
Journal of the American Academy of Child and Adolescent Psychiatry,471,373,1.0
"Science (New York, N.Y.)",472,374,2.0
Case Reports in Medicine,473,375,1.0
Korean Journal of Anesthesiology,474,376,1.0
Physics in medicine and biology,475,377,1.0
Surgery,476,378,1.0
IEEE transactions on nuclear science,477,379,1.0
The International journal of developmental biology,478,380,1.0
Scandinavian cardiovascular journal : SCJ,479,381,1.0
Rheumatology (Oxford),480,382,2.0
Pain,481,383,1.0
Emergency Radiology,482,384,1.0
Australian & New Zealand Journal of Mental Health Nursing,483,385,1.0
Tob Control,484,386,1.0
Physiological research / Academia Scientiarum Bohemoslovaca,485,387,1.0
Physiotherapy,486,196,2.0
,487,3,
,488,3,
Pediatrics,489,311,5.0
,490,3,
European heart journal,491,388,1.0
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",492,50,2.0
,493,3,
Horumon to rinsho. Clinical endocrinology,494,389,1.0
JAMA,495,390,1.0
"Proceedings of the Asme Pressure Vessels and Piping Conference 2010, Vol 7",496,391,1.0
LaboratoriumsMedizin,497,392,1.0
,498,3,
"Clinical medicine (London, England)",499,393,1.0
Forsinket implementering af internationale retningslinjer for computertomografi med iodholdigt kontraststof .,500,394,1.0
,501,3,
Journal of Women & Aging,502,395,1.0
Dissertation Abstracts International: Section B: The Sciences and Engineering,503,396,1.0
TAKAYASUSCHE ARTERIITIS MIT MULTIPLEN INTRAKRANIELLEN ANEURYSMEN,504,397,1.0
Scandinavian journal of rheumatology,505,398,1.0
Administration and policy in mental health,506,399,1.0
Czasopismo stomatologiczne,507,400,1.0
International Journal of Medical Informatics,508,401,1.0
International Urology and Nephrology,509,402,1.0
Pediatric physical therapy,510,403,1.0
Journal of Korean Neurosurgical Society,511,404,1.0
Bmj-British Medical Journal,512,405,1.0
,513,3,
J. Pediatric Infect. Dis. Soc.,514,406,1.0
JAMA otolaryngology-- head & neck surgery,515,407,1.0
Molecular Biology Reports,516,408,1.0
Journal of aerosol medicine and pulmonary drug delivery,517,409,1.0
Journal of epidemiology and community health.,518,410,1.0
CHUNG-HUA I HSUEH TSA CHIH [CHINESE MEDICAL JOURNAL],519,411,1.0
Canadian Forces Dental Services quarterly,520,412,1.0
British Journal of Midwifery,521,413,1.0
Cochrane Database Syst. Rev.,522,42,3.0
Journal Of Oral And Maxillofacial Surgery: Official Journal Of The American Association Of Oral And Maxillofacial Surgeons,523,414,1.0
The Journal of biological chemistry,524,415,1.0
Chinese medical journal,525,416,1.0
Occupational Medicine-Oxford,526,417,1.0
,527,3,
Environmental toxicology and pharmacology,528,418,1.0
J. Cardiovasc. Med.,529,419,1.0
"Dissertation Abstracts International, A: The Humanities and Social Sciences",530,420,1.0
"Science (New York, N.Y.)",531,374,2.0
Neuroscience,532,421,1.0
Experimental neurology,533,422,1.0
Annals of Emergency Medicine American College of Emergency Physician's Research Forum,534,423,1.0
Paediatrics & child health,535,424,1.0
,536,3,
Family & Community Health,537,425,1.0
,538,3,
,539,3,
AJR. American Journal Of Roentgenology,540,426,1.0
,541,3,
Cancer Biotherapy,542,427,1.0
BMJ,543,428,1.0
,544,3,
Rheumatology (Oxford),545,382,2.0
,546,3,
,547,3,
J. Urol.,548,429,1.0
Disability and rehabilitation,549,430,1.0
Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,550,30,2.0
Games and Economic Behavior,551,431,1.0
,552,3,
J Bone Joint Surg Br,553,432,1.0
Journal of cancer research and clinical oncology,554,433,1.0
International journal of obesity (2005),555,434,2.0
,556,3,
American Acupuncturist,557,435,1.0
,558,3,
Alcohol Clin Exp Res,559,436,1.0
Klinik Psikofarmakoloji Bulteni,560,437,1.0
Journal of Nursing UFPE / Revista de Enfermagem UFPE,561,438,1.0
,562,3,
The British journal of psychiatry : the journal of mental science,563,439,1.0
,564,3,
Hernia : the journal of hernias and abdominal wall surgery,565,440,1.0
Lancet,566,441,1.0
Small Ruminant Research,567,442,1.0
,568,3,
International psychogeriatrics / IPA,569,443,1.0
Jornal brasileiro de pneumologia : publicacao oficial da Sociedade Brasileira de Pneumologia e Tisilogia,570,444,1.0
"JOGNN: Journal of Obstetric, Gynecologic & Neonatal Nursing",571,445,1.0
Harefuah,572,446,1.0
,573,3,
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,574,241,3.0
Croatian Medical Journal,575,447,1.0
International journal of stroke : official journal of the International Stroke Society,576,448,1.0
European journal of heart failure,577,449,1.0
Yonsei Medical Journal,578,450,1.0
Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,579,451,2.0
Canadian family physician Medecin de famille canadien,580,452,1.0
Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,581,453,1.0
,582,3,
Journal of Sexual Medicine,583,219,2.0
,584,3,
Archives Of Physical Medicine And Rehabilitation,585,454,1.0
European Journal Of Anaesthesiology,586,455,2.0
Clinical Biomechanics,587,456,1.0
Pharmacogenomics,588,457,2.0
Rinsho Byori,589,458,1.0
J Nutr Gerontol Geriatr,590,459,1.0
Journal of Epidemiology & Community Health,591,460,1.0
,592,3,
,593,3,
Online Submission,594,461,1.0
J Orthop Sci,595,247,2.0
Geriatr Gerontol Int,596,462,1.0
,597,3,
,598,3,
Respiratory medicine,599,463,1.0
Veterinary clinical pathology / American Society for Veterinary Clinical Pathology,600,464,1.0
Cardiovascular therapeutics,601,465,1.0
Bulletin of the World Health Organization,602,466,1.0
Plos Neglected Tropical Diseases,603,467,1.0
Neuropharmacology,604,468,1.0
,605,3,
Physical therapy,606,469,1.0
Physica D: Nonlinear Phenomena,607,470,1.0
Zeitschrift f��r Erkrankungen der Atmungsorgane mit Folia bronchologica,608,471,1.0
Int. Angiol.,609,472,1.0
Blood Reviews,610,473,1.0
J Altern Complement Med,611,474,1.0
Jama,612,475,1.0
Complementary Therapies in Medicine,613,476,1.0
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,614,477,2.0
Nature,615,478,1.0
The European respiratory journal,616,479,2.0
,617,3,
"Public health nursing (Boston, Mass.)",618,480,2.0
Value in Health,619,481,2.0
Feminist Legal Studies,620,482,1.0
Impfstoffe: Akzeptanz und Sicherheit.,621,483,1.0
,622,3,
Journal of Psychiatric Research,623,484,1.0
International Journal of Obesity,624,485,1.0
Sleep,625,486,1.0
JPN. J. CANCER RES.,626,487,1.0
Journal of dental research,627,332,2.0
Therapeutic advances in respiratory disease,628,488,1.0
Cancer Epidemiology Biomarkers and Prevention,629,489,1.0
,630,3,
,631,3,
Onkologie,632,490,1.0
Rheumatology (United Kingdom),633,491,1.0
,634,3,
Neurol Res,635,492,1.0
Helicobacter,636,493,1.0
Haematologica,637,147,2.0
The Australian journal of rural health,638,494,1.0
,639,3,
Journal of medicinal chemistry,640,495,1.0
Journal of Women's Health (15409996),641,496,1.0
"Public health nursing (Boston, Mass.)",642,480,2.0
Circulation,643,497,4.0
Acta dermato-venereologica,644,498,1.0
,645,3,
Protein science : a publication of the Protein Society,646,499,1.0
"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",647,500,1.0
"JAAPA: Journal of the American Academy of Physician Assistants (Haymarket Media, Inc.)",648,501,1.0
American journal of infection control,649,502,1.0
Journal of Aging & Physical Activity,650,503,1.0
"Hepatology (Baltimore, Md.)",651,504,1.0
Microb Drug Resist,652,505,1.0
Stroke; a journal of cerebral circulation,653,506,2.0
J Grad Med Educ,654,507,1.0
Health & Social Work,655,508,1.0
"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",656,168,2.0
Oral oncology,657,509,1.0
Stroke; a journal of cerebral circulation,658,506,2.0
Current drug targets,659,510,1.0
Epilepsy research,660,511,1.0
,661,3,
The Journal of heart valve disease,662,512,1.0
PLoS One,663,25,6.0
Academic radiology,664,513,1.0
,665,3,
Chinese Journal of Evidence-Based Medicine,666,514,1.0
American Journal of Education,667,515,1.0
Cases J,668,516,1.0
,669,3,
,670,3,
,671,3,
Acta Derm.-Venereol.,672,517,1.0
Environmental monitoring and assessment,673,518,1.0
Acta Neurol Scand,674,519,1.0
,675,3,
,676,3,
,677,3,
,678,3,
Journal of Experimental Psychology: General,679,520,1.0
Science and Children,680,521,1.0
Basic and Clinical Pharmacology and Toxicology,681,522,1.0
Health Education Research,682,523,1.0
Infection and immunity,683,524,1.0
,684,3,
Photomedicine and laser surgery,685,525,1.0
Eastern Mediterranean Health Journal,686,526,1.0
J Bone Joint Surg Am,687,527,1.0
"Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics",688,528,1.0
,689,3,
Clinical radiology,690,529,1.0
Vaccine,691,530,1.0
FASEB Journal. Conference: Experimental Biology,692,531,1.0
Blood pressure monitoring,693,532,1.0
Psicothema,694,533,1.0
Am J Public Health,695,534,1.0
J Anal Toxicol,696,535,1.0
Energy Policy,697,295,2.0
,698,3,
