MeasureName,Stateavg,original_index,unique_index
heart attack patients given smoking cessation advice/counseling,al_ami-4,122,11
heart attack patients given beta blocker at discharge,al_ami-5,123,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,124,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,125,14
heart failure patients given discharge instructions,al_hf-1,126,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,127,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,128,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,129,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,130,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,131,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,132,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,133,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,134,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,135,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,136,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,137,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,138,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,139,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,140,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,141,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,142,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,143,7
heart attack patients given aspirin at arrival,al_ami-1,144,8
heart attaxk patients given aspirin at disxharge,al_ami-2,145,31
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,146,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,147,11
heart attack patients given beta blocker at discharge,al_ami-5,148,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,149,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,150,14
heart failure patients given discharge instructions,al_hf-1,151,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,152,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,153,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,154,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,155,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,156,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,157,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,158,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,159,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,160,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,161,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,162,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,163,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,164,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,165,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,166,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,167,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,168,7
heart attack patients given aspirin at arrival,al_ami-1,169,8
heart attack patients given aspirin at discharge,al_ami-2,170,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,171,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,172,11
heart attack patients given beta blocker at discharge,al_ami-5,173,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,174,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,175,14
heart failure patients given discharge instructions,al_hf-1,176,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,177,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,178,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,179,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,180,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,181,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,182,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,183,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,184,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,185,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,186,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,187,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,188,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,189,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,190,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,191,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,192,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scix-vte-2,193,32
heart attack patients given aspirin at arrival,al_ami-1,194,8
heart attack patients given aspirin at discharge,al_ami-2,195,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,196,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,197,11
heart attack patients given beta blocker at discharge,al_ami-5,198,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,199,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,200,14
heart failure patients given discharge instructions,al_hf-1,201,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,202,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,203,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,204,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,205,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,206,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,207,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,208,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,209,23
pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,al_pn-7,210,33
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,211,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,212,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_sxip-inf-2,213,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,214,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,215,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,216,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,217,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,218,7
heartxattackxpatientsxgivenxaspirinxatxarrival,al_ami-1,219,35
heart attack patients given aspirin at discharge,al_ami-2,220,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,221,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,222,11
heart attack patients given beta blocker at discharge,al_ami-5,223,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,224,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,225,14
heart failure patients given discharge instructions,al_hf-1,226,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,227,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,228,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,229,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,230,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,231,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,232,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,233,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,234,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,235,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,236,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,237,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,238,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,239,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,240,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,241,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,242,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,243,7
heart attack patients given aspirin at arrival,ax_ami-1,244,36
heart attack patients given aspirin at discharge,al_ami-2,245,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,246,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,247,11
heart attack patients given beta blocker at discharge,xl_xmi-5,248,37
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,249,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,250,14
heart failure patients given discharge instructions,al_hf-1,251,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,252,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,253,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,254,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,255,19
pneumonxa patxents whose inxtxal emergency room blood culture was performed prxor to the admxnxstratxon of the fxrst hospxtal dose of antxbxotxcs,al_pn-3b,256,38
pneumonia patients given smoking cessation advice/counseling,al_pn-4,257,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,258,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,259,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,260,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,261,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,262,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,263,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,264,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,265,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,266,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,267,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,268,7
heart attack patients given aspirin at arrival,al_axi-1,269,39
heart attack patients given aspirin at discharge,al_ami-2,270,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,271,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,272,11
heart attack patients given beta blocker at discharge,al_ami-5,273,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,274,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,275,14
heart failure patients given discharge instructions,al_hf-1,276,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,277,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,278,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,279,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,280,19
pnxumonia patixnts whosx initial emxrgxncy room blood culturx was pxrformxd prior to thx administration of thx first hospital dosx of antibiotics,al_pn-3b,281,40
pneumonia patients given smoking cessation advice/counseling,al_pn-4,282,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,283,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,284,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,285,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,286,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,287,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,288,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,289,3
all heart surgerx patients whose blood sugar (blood glucose) is kept under good control in the daxs right after surgerx,al_scip-inf-4,290,41
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,291,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,292,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,293,7
heart attack patients given aspirin at arrival,al_ami-1,294,8
heart attack patients given aspirin at discharge,al_ami-2,295,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,296,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,297,11
heart attack patients given beta blocker at discharge,al_ami-5,298,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,299,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,300,14
heart failure patients given discharge instructions,al_hf-1,301,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,302,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,303,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,304,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,305,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,306,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,307,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,308,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,309,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,310,24
children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,al_cac-2,311,42
children and their caregivers who received a home management plan of care document while hospitalized for asthma,al_cac-3,312,43
heart attack patients given aspirin at arrival,al_ami-1,313,8
heart attack patients given aspirin at discharge,al_ami-2,314,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,315,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,316,11
heart attack patients given beta blocker at discharge,al_ami-5,317,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,318,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,319,14
heart failure patients given discharge instructions,al_hf-1,320,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,321,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,322,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,323,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,324,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,325,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,326,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,327,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,328,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,329,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,330,25
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,331,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,332,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,333,18
pneumonia patients assessed and given pneumococcal vaccination,al_pnx2,334,44
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,335,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,336,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,337,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,338,23
