ibu,brewery_id,original_index,unique_index,count
,353,141,84,
,353,142,84,
,353,143,84,
27.0,523,144,85,1.0
67.0,523,145,86,1.0
40.0,374,146,87,1.0
138.0,374,147,88,1.0
35.0,374,148,89,2.0
35.0,374,149,89,2.0
115.0,72,150,90,1.0
12.0,72,151,91,2.0
,72,152,92,
8.0,72,153,93,1.0
62.0,72,154,94,1.0
12.0,72,155,91,2.0
,413,156,95,
,413,157,95,
,413,158,95,
,413,159,95,
,413,160,95,
,37,161,96,
,37,162,96,
42.0,37,163,97,1.0
10.0,37,164,98,1.0
69.0,37,165,99,1.0
17.0,37,166,100,1.0
17.0,360,167,101,1.0
22.0,360,168,102,1.0
23.0,360,169,103,1.0
,360,170,104,
5.0,360,171,105,1.0
41.0,360,172,106,1.0
,235,173,107,
,235,174,107,
,235,175,107,
,235,176,107,
,235,177,107,
,286,178,108,
43.0,286,179,109,1.0
70.0,483,180,110,1.0
38.0,483,181,111,1.0
,34,182,112,
40.0,34,183,113,1.0
23.0,34,184,114,1.0
75.0,34,185,115,1.0
,34,186,112,
70.0,34,187,116,1.0
,318,188,117,
20.0,318,189,118,1.0
45.0,318,190,119,1.0
46.0,20,191,120,1.0
60.0,251,192,121,1.0
,251,193,122,
22.0,116,194,123,1.0
60.0,116,195,124,1.0
62.0,116,196,125,1.0
20.0,116,197,126,1.0
45.0,116,198,127,1.0
55.0,258,199,128,1.0
70.0,258,200,129,1.0
28.0,258,201,130,1.0
48.0,258,202,131,1.0
,292,203,132,
42.0,292,204,133,1.0
,292,205,132,
,292,206,132,
,292,207,132,
,292,208,132,
35.0,292,209,134,1.0
28.0,292,210,135,1.0
69.0,292,211,136,1.0
108.0,306,212,137,1.0
10.0,103,213,138,1.0
45.0,103,214,139,1.0
85.0,103,215,140,1.0
16.0,103,216,141,1.0
,76,217,142,
,76,218,142,
,76,219,142,
,76,220,142,
,76,221,142,
,76,222,142,
44.0,53,223,143,1.0
,53,224,144,
27.0,53,225,145,1.0
,75,226,146,
87.0,75,227,147,1.0
32.0,75,228,148,1.0
68.0,75,229,149,1.0
34.0,75,230,150,1.0
38.0,75,231,151,1.0
40.0,278,232,152,1.0
20.0,278,233,153,1.0
,463,234,154,
,463,235,154,
,463,236,154,
,463,237,154,
,463,238,154,
17.0,220,239,155,1.0
104.0,220,240,156,1.0
,220,241,157,
85.0,220,242,158,1.0
,477,243,159,
,477,244,159,
,477,245,159,
54.0,8,246,160,1.0
,8,247,161,
,40,248,162,
60.0,40,249,163,1.0
32.0,519,250,164,1.0
55.0,519,251,165,1.0
65.0,336,252,166,2.0
40.0,336,253,167,2.0
35.0,336,254,168,3.0
26.0,336,255,169,3.0
60.0,336,256,170,1.0
26.0,336,257,169,3.0
35.0,336,258,168,3.0
65.0,336,259,166,2.0
,336,260,171,
40.0,336,261,167,2.0
35.0,336,262,168,3.0
26.0,336,263,169,3.0
81.0,221,264,172,1.0
38.0,221,265,173,1.0
43.0,444,266,174,1.0
85.0,444,267,175,1.0
76.0,444,268,176,1.0
35.0,444,269,177,1.0
50.0,444,270,178,1.0
45.0,70,271,179,1.0
,407,272,180,
,407,273,180,
,407,274,180,
75.0,18,275,181,1.0
16.0,112,276,182,1.0
35.0,112,277,183,1.0
8.0,112,278,184,1.0
44.0,112,279,185,1.0
83.0,294,280,186,1.0
45.0,294,281,187,1.0
34.0,294,282,188,1.0
44.0,294,283,189,1.0
16.0,79,284,190,1.0
20.0,79,285,191,1.0
,95,286,192,
47.0,12,287,193,1.0
30.0,12,288,194,1.0
,12,289,195,
,12,290,195,
51.0,12,291,196,1.0
,12,292,195,
,380,293,197,
,380,294,197,
,380,295,197,
,380,296,197,
,380,297,197,
,380,298,197,
,380,299,197,
,380,300,197,
,380,301,197,
,380,302,197,
37.0,380,303,198,3.0
37.0,380,304,198,3.0
37.0,380,305,198,3.0
35.0,380,306,199,1.0
,422,307,200,
,422,308,200,
80.0,304,309,201,1.0
60.0,382,310,202,2.0
30.0,382,311,203,1.0
22.0,382,312,204,1.0
60.0,382,313,202,2.0
16.0,414,314,205,1.0
,77,315,206,
,77,316,206,
,77,317,206,
,77,318,206,
,489,319,207,
40.0,489,320,208,1.0
16.0,489,321,209,1.0
28.0,489,322,210,1.0
,364,323,211,
,364,324,211,
,364,325,211,
,364,326,211,
,364,327,211,
,378,328,212,
,378,329,212,
,378,330,212,
30.0,281,331,213,1.0
34.0,281,332,214,1.0
,525,333,215,
27.0,525,334,216,1.0
72.0,107,335,217,2.0
22.0,107,336,218,1.0
30.0,107,337,219,1.0
26.0,107,338,220,1.0
94.0,107,339,221,1.0
,107,340,222,
,107,341,222,
,107,342,222,
,107,343,222,
38.0,107,344,223,1.0
,107,345,222,
45.0,107,346,224,1.0
,107,347,222,
,107,348,222,
,107,349,222,
,107,350,222,
,107,351,222,
,107,352,222,
72.0,107,353,217,2.0
16.0,231,354,225,1.0
8.0,300,355,226,1.0
45.0,300,356,227,1.0
,300,357,228,
,300,358,228,
30.0,300,359,229,3.0
30.0,300,360,229,3.0
15.0,300,361,230,1.0
7.0,300,362,231,1.0
30.0,300,363,229,3.0
35.0,417,364,232,3.0
35.0,417,365,232,3.0
35.0,417,366,232,3.0
80.0,31,367,233,1.0
,167,368,234,
,167,369,234,
,167,370,234,
52.0,219,371,235,2.0
52.0,219,372,235,2.0
80.0,219,373,236,1.0
25.0,219,374,237,1.0
,219,375,238,
40.0,207,376,239,1.0
,195,377,240,
9.0,391,378,241,1.0
15.0,391,379,242,1.0
68.0,391,380,243,1.0
19.0,391,381,244,1.0
,308,382,245,
60.0,308,383,246,1.0
21.0,308,384,247,1.0
28.0,308,385,248,1.0
,19,386,249,
,85,387,250,
,10,388,251,
,10,389,251,
,10,390,251,
,10,391,251,
,10,392,251,
,10,393,251,
,10,394,251,
,10,395,251,
,10,396,251,
,10,397,251,
,10,398,251,
,10,399,251,
,10,400,251,
,10,401,251,
,10,402,251,
,10,403,251,
,10,404,251,
,10,405,251,
,10,406,251,
,10,407,251,
,10,408,251,
,10,409,251,
,10,410,251,
,10,411,251,
,10,412,251,
,10,413,251,
,10,414,251,
,10,415,251,
,10,416,251,
,10,417,251,
,10,418,251,
,10,419,251,
,10,420,251,
,10,421,251,
,10,422,251,
,10,423,251,
,10,424,251,
,10,425,251,
,10,426,251,
,10,427,251,
,10,428,251,
,10,429,251,
,10,430,251,
,10,431,251,
,10,432,251,
,10,433,251,
,10,434,251,
,10,435,251,
,10,436,251,
,10,437,251,
,10,438,251,
,10,439,251,
,10,440,251,
,10,441,251,
,10,442,251,
,10,443,251,
,10,444,251,
,10,445,251,
,10,446,251,
,10,447,251,
,10,448,251,
,10,449,251,
,467,450,252,
,467,451,252,
,89,452,253,
15.0,493,453,254,1.0
17.0,493,454,255,1.0
,493,455,256,
64.0,493,456,257,1.0
47.0,437,457,258,2.0
,437,458,259,
47.0,437,459,258,2.0
,437,460,259,
,437,461,259,
,437,462,259,
,530,463,260,
,530,464,260,
85.0,530,465,261,1.0
,530,466,260,
42.0,530,467,262,1.0
35.0,530,468,263,1.0
40.0,530,469,264,1.0
,357,470,265,
,56,471,266,
40.0,214,472,267,1.0
20.0,214,473,268,1.0
118.0,214,474,269,1.0
,24,475,270,
,24,476,270,
,24,477,270,
40.0,24,478,271,2.0
115.0,24,479,272,1.0
,24,480,270,
,24,481,270,
16.0,24,482,273,1.0
86.0,24,483,274,1.0
,24,484,270,
40.0,24,485,271,2.0
14.0,197,486,275,1.0
36.0,517,487,276,1.0
,556,488,277,
,556,489,277,
,556,490,277,
,556,491,277,
,5,492,278,
,5,493,278,
,5,494,278,
,5,495,278,
,5,496,278,
,5,497,278,
,182,498,279,
25.0,182,499,280,2.0
35.0,182,500,281,2.0
100.0,182,501,282,1.0
35.0,182,502,281,2.0
25.0,182,503,280,2.0
100.0,155,504,283,1.0
,155,505,284,
55.0,155,506,285,6.0
16.0,155,507,286,1.0
24.0,155,508,287,2.0
94.0,155,509,288,3.0
94.0,155,510,288,3.0
55.0,155,511,285,6.0
55.0,155,512,285,6.0
55.0,155,513,285,6.0
55.0,155,514,285,6.0
55.0,155,515,285,6.0
24.0,155,516,287,2.0
94.0,155,517,288,3.0
,178,518,289,
,178,519,289,
,497,520,290,
,497,521,290,
,497,522,290,
,497,523,290,
43.0,230,524,291,1.0
130.0,230,525,292,1.0
64.0,230,526,293,1.0
35.0,230,527,294,1.0
30.0,230,528,295,1.0
35.0,267,529,296,1.0
10.0,267,530,297,1.0
80.0,192,531,298,1.0
28.0,192,532,299,1.0
18.0,192,533,300,2.0
55.0,192,534,301,1.0
18.0,192,535,300,2.0
70.0,192,536,302,1.0
,192,537,303,
,192,538,303,
,192,539,303,
,192,540,303,
,192,541,303,
,504,542,304,
,504,543,304,
,504,544,304,
22.0,179,545,305,1.0
,179,546,306,
,179,547,306,
100.0,222,548,307,1.0
9.0,222,549,308,1.0
80.0,222,550,309,1.0
35.0,222,551,310,1.0
,404,552,311,
,404,553,311,
,331,554,312,
,331,555,312,
,331,556,312,
,331,557,312,
,331,558,312,
,331,559,312,
,331,560,312,
16.0,285,561,313,2.0
16.0,285,562,313,2.0
,96,563,314,
,96,564,314,
90.0,29,565,315,1.0
,29,566,316,
70.0,29,567,317,1.0
35.0,29,568,318,1.0
36.0,29,569,319,1.0
18.0,29,570,320,1.0
,452,571,321,
,452,572,321,
40.0,122,573,322,2.0
24.0,122,574,323,1.0
40.0,122,575,322,2.0
42.0,122,576,324,1.0
15.0,350,577,325,1.0
85.0,350,578,326,1.0
99.0,350,579,327,1.0
77.0,350,580,328,1.0
,236,581,329,
45.0,236,582,330,1.0
22.0,236,583,331,1.0
65.0,236,584,332,1.0
,250,585,333,
8.0,250,586,334,1.0
30.0,250,587,335,1.0
,250,588,333,
69.0,226,589,336,1.0
40.0,226,590,337,1.0
58.0,121,591,338,1.0
10.0,121,592,339,1.0
,121,593,340,
126.0,99,594,341,1.0
29.0,526,595,342,1.0
,425,596,343,
,425,597,343,
25.0,141,598,344,3.0
65.0,141,599,345,3.0
65.0,141,600,345,3.0
,141,601,346,
,141,602,346,
,141,603,346,
,141,604,346,
60.0,141,605,347,5.0
60.0,141,606,347,5.0
,141,607,346,
60.0,141,608,347,5.0
60.0,141,609,347,5.0
60.0,141,610,347,5.0
,141,611,346,
,141,612,346,
70.0,141,613,348,3.0
70.0,141,614,348,3.0
65.0,141,615,345,3.0
,141,616,346,
25.0,141,617,344,3.0
25.0,141,618,344,3.0
,141,619,346,
75.0,141,620,349,1.0
70.0,141,621,348,3.0
18.0,141,622,350,1.0
,145,623,351,
,145,624,351,
,145,625,351,
,145,626,351,
,145,627,351,
,145,628,351,
,145,629,351,
60.0,320,630,352,1.0
75.0,418,631,353,1.0
13.0,418,632,354,1.0
17.0,415,633,355,1.0
55.0,415,634,356,1.0
11.0,101,635,357,1.0
75.0,101,636,358,1.0
24.0,101,637,359,2.0
24.0,101,638,359,2.0
,232,639,360,
75.0,482,640,361,1.0
22.0,482,641,362,1.0
21.0,482,642,363,1.0
,139,643,364,
,139,644,364,
,139,645,364,
,139,646,364,
,512,647,365,
,553,648,366,
,515,649,367,
29.0,515,650,368,1.0
71.0,515,651,369,1.0
46.0,63,652,370,1.0
25.0,63,653,371,2.0
,63,654,372,
,63,655,372,
,63,656,372,
15.0,63,657,373,1.0
,63,658,372,
25.0,63,659,371,2.0
65.0,247,660,374,1.0
,247,661,375,
25.0,169,662,376,1.0
,169,663,377,
,169,664,377,
,212,665,378,
,212,666,378,
,212,667,378,
,212,668,378,
,212,669,378,
,212,670,378,
,212,671,378,
31.0,472,672,379,1.0
23.0,472,673,380,1.0
,315,674,381,
,315,675,381,
,315,676,381,
,315,677,381,
,323,678,382,
,323,679,382,
,227,680,383,
15.0,227,681,384,1.0
11.0,227,682,385,1.0
,227,683,383,
115.0,227,684,386,1.0
80.0,227,685,387,1.0
,227,686,383,
,227,687,383,
,451,688,388,
,451,689,388,
,358,690,389,
,554,691,390,
,333,692,391,
,333,693,391,
37.0,330,694,392,1.0
,127,695,393,
33.0,127,696,394,1.0
100.0,127,697,395,1.0
,127,698,393,
,127,699,393,
25.0,127,700,396,1.0
,127,701,393,
23.0,127,702,397,1.0
70.0,127,703,398,1.0
44.0,283,704,399,1.0
16.0,283,705,400,1.0
55.0,453,706,401,1.0
46.0,453,707,402,2.0
71.0,453,708,403,1.0
46.0,453,709,402,2.0
,263,710,404,
,263,711,404,
40.0,454,712,405,1.0
16.0,57,713,406,1.0
22.0,57,714,407,2.0
76.0,57,715,408,1.0
12.0,57,716,409,1.0
,57,717,410,
85.0,57,718,411,1.0
22.0,57,719,407,2.0
45.0,237,720,412,1.0
26.0,237,721,413,1.0
27.0,491,722,414,1.0
,491,723,415,
85.0,491,724,416,1.0
12.0,491,725,417,1.0
,319,726,418,
72.0,311,727,419,1.0
,488,728,420,
,531,729,421,
,531,730,421,
,531,731,421,
,531,732,421,
,531,733,421,
,531,734,421,
,446,735,422,
,446,736,422,
100.0,496,737,423,1.0
17.0,496,738,424,1.0
12.0,496,739,425,1.0
49.0,496,740,426,1.0
64.0,340,741,427,1.0
18.0,538,742,428,1.0
,369,743,429,
74.0,369,744,430,2.0
,369,745,429,
,369,746,429,
,369,747,429,
,369,748,429,
74.0,369,749,430,2.0
,352,750,431,
25.0,516,751,432,1.0
,465,752,433,
,473,753,434,
,81,754,435,
,81,755,435,
,81,756,435,
,81,757,435,
60.0,170,758,436,1.0
80.0,170,759,437,1.0
23.0,26,760,438,1.0
61.0,26,761,439,1.0
,26,762,440,
,26,763,440,
,26,764,440,
48.0,26,765,441,1.0
,173,766,442,
,173,767,442,
,173,768,442,
,173,769,442,
,173,770,442,
32.0,335,771,443,1.0
19.0,335,772,444,1.0
70.0,335,773,445,1.0
55.0,224,774,446,1.0
80.0,224,775,447,1.0
58.0,405,776,448,1.0
20.0,405,777,449,3.0
20.0,405,778,449,3.0
20.0,405,779,449,3.0
70.0,405,780,450,1.0
53.0,201,781,451,2.0
,201,782,452,
,201,783,452,
53.0,201,784,451,2.0
,201,785,452,
,201,786,452,
,172,787,453,
,172,788,453,
80.0,172,789,454,1.0
30.0,172,790,455,1.0
,36,791,456,
45.0,36,792,457,1.0
20.0,36,793,458,1.0
,256,794,459,
80.0,256,795,460,1.0
,256,796,459,
22.0,256,797,461,1.0
,256,798,459,
72.0,256,799,462,1.0
,256,800,459,
,256,801,459,
,256,802,459,
,256,803,459,
47.0,48,804,463,1.0
75.0,48,805,464,1.0
,48,806,465,
,48,807,465,
20.0,48,808,466,1.0
,16,809,467,
27.0,16,810,468,1.0
104.0,16,811,469,1.0
,532,812,470,
,54,813,471,
60.0,521,814,472,1.0
28.0,521,815,473,1.0
,50,816,474,
70.0,50,817,475,1.0
,279,818,476,
,279,819,476,
,279,820,476,
,279,821,476,
18.0,217,822,477,1.0
65.0,217,823,478,1.0
,206,824,479,
,206,825,479,
,206,826,479,
,206,827,479,
,206,828,479,
,206,829,479,
,206,830,479,
,206,831,479,
,206,832,479,
,206,833,479,
,206,834,479,
97.0,206,835,480,1.0
,151,836,481,
19.0,4,837,482,1.0
16.0,4,838,483,1.0
17.0,4,839,484,1.0
42.0,4,840,485,1.0
50.0,15,841,486,1.0
65.0,15,842,487,1.0
42.0,15,843,488,1.0
73.0,287,844,489,1.0
40.0,287,845,490,1.0
20.0,287,846,491,1.0
,22,847,492,
,22,848,492,
,22,849,492,
90.0,22,850,493,1.0
,348,851,494,
17.0,160,852,495,1.0
21.0,160,853,496,2.0
,160,854,497,
9.0,160,855,498,1.0
47.0,160,856,499,1.0
21.0,160,857,496,2.0
,160,858,497,
,105,859,500,
28.0,105,860,501,1.0
36.0,105,861,502,1.0
70.0,105,862,503,1.0
,253,863,504,
69.0,253,864,505,1.0
18.0,253,865,506,1.0
27.0,66,866,507,1.0
33.0,66,867,508,1.0
,66,868,509,
20.0,66,869,510,1.0
,66,870,509,
10.0,66,871,511,1.0
70.0,66,872,512,1.0
5.0,66,873,513,1.0
,460,874,514,
,460,875,514,
,460,876,514,
35.0,460,877,515,1.0
45.0,460,878,516,1.0
30.0,460,879,517,1.0
80.0,460,880,518,1.0
32.0,433,881,519,1.0
24.0,433,882,520,1.0
42.0,433,883,521,1.0
73.0,180,884,522,1.0
,347,885,523,
50.0,228,886,524,1.0
15.0,228,887,525,1.0
26.0,228,888,526,1.0
70.0,106,889,527,1.0
75.0,240,890,528,1.0
35.0,240,891,529,1.0
74.0,240,892,530,1.0
70.0,240,893,531,3.0
92.0,240,894,532,1.0
60.0,240,895,533,3.0
15.0,240,896,534,2.0
65.0,240,897,535,1.0
60.0,240,898,533,3.0
,240,899,536,
20.0,240,900,537,1.0
70.0,240,901,531,3.0
70.0,240,902,531,3.0
60.0,240,903,533,3.0
15.0,240,904,534,2.0
11.0,39,905,538,1.0
70.0,464,906,539,1.0
18.0,464,907,540,1.0
36.0,478,908,541,2.0
103.0,478,909,542,1.0
54.0,478,910,543,1.0
64.0,478,911,544,1.0
36.0,478,912,541,2.0
40.0,194,913,545,1.0
55.0,196,914,546,1.0
30.0,88,915,547,2.0
30.0,88,916,547,2.0
18.0,88,917,548,2.0
18.0,88,918,548,2.0
20.0,88,919,549,1.0
19.0,420,920,550,1.0
,536,921,551,
,536,922,551,
,536,923,551,
,536,924,551,
21.0,213,925,552,2.0
21.0,213,926,552,2.0
35.0,213,927,553,1.0
22.0,165,928,554,3.0
18.0,165,929,555,2.0
33.0,165,930,556,3.0
60.0,165,931,557,2.0
27.0,165,932,558,2.0
22.0,165,933,554,3.0
33.0,165,934,556,3.0
25.0,165,935,559,2.0
36.0,165,936,560,1.0
18.0,165,937,555,2.0
27.0,165,938,558,2.0
25.0,165,939,559,2.0
13.0,165,940,561,1.0
65.0,165,941,562,1.0
66.0,165,942,563,1.0
33.0,165,943,556,3.0
23.0,165,944,564,1.0
26.0,165,945,565,1.0
60.0,165,946,557,2.0
22.0,165,947,554,3.0
,6,948,566,
,6,949,566,
,6,950,566,
,6,951,566,
,6,952,566,
,6,953,566,
75.0,6,954,567,1.0
,6,955,566,
,6,956,566,
15.0,543,957,568,2.0
15.0,543,958,568,2.0
49.0,269,959,569,1.0
,269,960,570,
5.0,365,961,571,1.0
22.0,365,962,572,2.0
,365,963,573,
,365,964,573,
20.0,365,965,574,1.0
30.0,365,966,575,3.0
,365,967,573,
10.0,365,968,576,1.0
30.0,365,969,575,3.0
48.0,365,970,577,2.0
99.0,365,971,578,1.0
22.0,365,972,572,2.0
70.0,365,973,579,1.0
25.0,365,974,580,2.0
25.0,365,975,580,2.0
36.0,365,976,581,1.0
48.0,365,977,577,2.0
30.0,365,978,575,3.0
30.0,466,979,582,1.0
44.0,156,980,583,1.0
71.0,156,981,584,1.0
,86,982,585,
69.0,86,983,586,1.0
,379,984,587,
54.0,379,985,588,2.0
20.0,379,986,589,1.0
,379,987,587,
34.0,379,988,590,1.0
54.0,379,989,588,2.0
22.0,379,990,591,1.0
6.0,124,991,592,1.0
,124,992,593,
25.0,124,993,594,2.0
35.0,124,994,595,2.0
25.0,124,995,594,2.0
,124,996,593,
35.0,124,997,595,2.0
55.0,124,998,596,1.0
,124,999,593,
43.0,144,1000,597,1.0
67.0,290,1001,598,1.0
,290,1002,599,
,327,1003,600,
,327,1004,600,
,327,1005,600,
,327,1006,600,
,327,1007,600,
,327,1008,600,
,327,1009,600,
,327,1010,600,
40.0,248,1011,601,1.0
18.0,248,1012,602,1.0
17.0,476,1013,603,1.0
14.0,476,1014,604,1.0
70.0,343,1015,605,1.0
18.0,343,1016,606,1.0
55.0,343,1017,607,1.0
15.0,234,1018,608,1.0
45.0,234,1019,609,1.0
,234,1020,610,
28.0,234,1021,611,3.0
42.0,234,1022,612,3.0
20.0,234,1023,613,1.0
30.0,234,1024,614,1.0
42.0,234,1025,612,3.0
28.0,234,1026,611,3.0
10.0,234,1027,615,1.0
28.0,234,1028,611,3.0
42.0,234,1029,612,3.0
,535,1030,616,
,535,1031,616,
,204,1032,617,
,204,1033,617,
,204,1034,617,
,204,1035,617,
,204,1036,617,
65.0,280,1037,618,1.0
40.0,280,1038,619,1.0
77.0,280,1039,620,1.0
45.0,479,1040,621,1.0
30.0,479,1041,622,1.0
,479,1042,623,
30.0,423,1043,624,1.0
86.0,423,1044,625,1.0
85.0,423,1045,626,1.0
21.0,168,1046,627,1.0
68.0,168,1047,628,1.0
22.0,500,1048,629,1.0
,500,1049,630,
,500,1050,630,
32.0,362,1051,631,1.0
34.0,362,1052,632,1.0
20.0,362,1053,633,1.0
60.0,362,1054,634,1.0
30.0,362,1055,635,1.0
,349,1056,636,
25.0,297,1057,637,1.0
28.0,297,1058,638,1.0
45.0,297,1059,639,1.0
20.0,198,1060,640,3.0
60.0,198,1061,641,1.0
70.0,198,1062,642,1.0
20.0,198,1063,640,3.0
13.0,198,1064,643,1.0
90.0,198,1065,644,2.0
90.0,198,1066,644,2.0
20.0,198,1067,640,3.0
,395,1068,645,
,395,1069,645,
40.0,395,1070,646,1.0
50.0,395,1071,647,1.0
,136,1072,648,
,80,1073,649,
21.0,80,1074,650,1.0
20.0,80,1075,651,12.0
20.0,80,1076,651,12.0
20.0,80,1077,651,12.0
20.0,80,1078,651,12.0
20.0,80,1079,651,12.0
20.0,80,1080,651,12.0
20.0,80,1081,651,12.0
20.0,80,1082,651,12.0
20.0,80,1083,651,12.0
20.0,80,1084,651,12.0
20.0,80,1085,651,12.0
20.0,80,1086,651,12.0
60.0,80,1087,652,3.0
35.0,80,1088,653,1.0
75.0,80,1089,654,2.0
70.0,80,1090,655,2.0
60.0,80,1091,652,3.0
60.0,80,1092,652,3.0
70.0,80,1093,655,2.0
32.0,80,1094,656,1.0
75.0,80,1095,654,2.0
,120,1096,657,
17.0,120,1097,658,1.0
,120,1098,657,
,445,1099,659,
,445,1100,659,
90.0,277,1101,660,1.0
22.0,277,1102,661,1.0
10.0,277,1103,662,1.0
27.0,277,1104,663,1.0
80.0,277,1105,664,1.0
45.0,277,1106,665,1.0
32.0,140,1107,666,1.0
42.0,140,1108,667,1.0
27.0,140,1109,668,1.0
58.0,23,1110,669,1.0
75.0,242,1111,670,1.0
20.0,242,1112,671,1.0
20.0,527,1113,672,1.0
55.0,527,1114,673,1.0
28.0,527,1115,674,1.0
,123,1116,675,
,316,1117,676,
18.0,2,1118,677,1.0
15.0,2,1119,678,1.0
80.0,2,1120,679,1.0
65.0,2,1121,680,1.0
45.0,2,1122,681,1.0
,416,1123,682,
,416,1124,682,
37.0,312,1125,683,1.0
,92,1126,684,
,92,1127,684,
,92,1128,684,
,92,1129,684,
,92,1130,684,
,114,1131,685,
,32,1132,686,
,32,1133,686,
,32,1134,686,
,32,1135,686,
,32,1136,686,
,32,1137,686,
15.0,233,1138,687,2.0
50.0,233,1139,688,1.0
90.0,233,1140,689,1.0
15.0,233,1141,687,2.0
,208,1142,690,
24.0,208,1143,691,1.0
16.0,125,1144,692,1.0
25.0,125,1145,693,2.0
40.0,125,1146,694,1.0
25.0,125,1147,693,2.0
20.0,125,1148,695,2.0
20.0,125,1149,695,2.0
85.0,125,1150,696,1.0
45.0,125,1151,697,1.0
15.0,125,1152,698,1.0
70.0,125,1153,699,1.0
19.0,342,1154,700,1.0
64.0,342,1155,701,1.0
23.0,342,1156,702,1.0
,458,1157,703,
15.0,458,1158,704,1.0
,458,1159,703,
,458,1160,703,
11.0,510,1161,705,2.0
65.0,510,1162,706,3.0
65.0,510,1163,706,3.0
50.0,510,1164,707,1.0
65.0,510,1165,706,3.0
11.0,510,1166,705,2.0
,84,1167,708,
,84,1168,708,
,84,1169,708,
,84,1170,708,
,84,1171,708,
,84,1172,708,
,84,1173,708,
,102,1174,709,
,102,1175,709,
70.0,102,1176,710,1.0
10.0,102,1177,711,1.0
,102,1178,709,
65.0,87,1179,712,1.0
11.0,87,1180,713,1.0
18.0,439,1181,714,4.0
18.0,439,1182,714,4.0
18.0,439,1183,714,4.0
18.0,439,1184,714,4.0
9.0,505,1185,715,1.0
,354,1186,716,
15.0,332,1187,717,1.0
100.0,332,1188,718,1.0
30.0,545,1189,719,1.0
28.0,545,1190,720,1.0
,59,1191,721,
,59,1192,721,
,59,1193,721,
,59,1194,721,
12.0,218,1195,722,1.0
9.0,218,1196,723,1.0
66.0,218,1197,724,1.0
95.0,345,1198,725,1.0
70.0,345,1199,726,1.0
,406,1200,727,
,537,1201,728,
,537,1202,728,
,537,1203,728,
,537,1204,728,
