Address1,HospitalOwner,original_index,unique_index,count
2505 u s highway 431 north,government - hospital district or authority,62,7,24
2505 u s highway 431 north,government - hospital district or authority,63,7,24
2505 u s highway 431 north,government - hospital district or authority,64,7,24
2505 u s highway 431 north,government - hospital district or authority,65,7,24
2505 u s highway 431 north,government - hospital district or authority,66,7,24
2505 u s highway 431 north,government - hospital district or authority,67,7,24
2505 u s highway 431 north,government - hospital district or authority,68,7,24
205 marengo street,voluntary non-profit - other,69,9,25
205 marengo street,voluntary non-profit - other,70,9,25
205 marengo street,voluntary non-profit - other,71,9,25
205 marengo street,voluntary non-profit - other,72,9,25
205 marengo street,voluntary non-profit - other,73,9,25
205 marengo street,voluntary non-profit - other,74,9,25
205 marengo street,voluntary non-profit - other,75,9,25
205 marengo street,voluntary non-profit - other,76,9,25
205 marengo street,voluntary non-profit - other,77,9,25
205 marengo street,voluntary non-profit - other,78,9,25
205 marengo street,voluntary non-profit - other,79,9,25
205 marengo street,voluntary non-profit - other,80,9,25
205 marengo street,voluntary non-profit - other,81,9,25
205 marengo street,voluntary non-profit - other,82,9,25
205 marengo street,voluntary non-profit - other,83,9,25
205 marengo street,voluntary non-profit - other,84,9,25
205 marengo street,voluntary non-profit - other,85,9,25
205 marengo street,voluntary non-profit - other,86,9,25
205 marengo street,voluntary non-profit - other,87,9,25
205 marengo street,voluntary non-profit - other,88,9,25
205 marengo street,voluntary non-profit - other,89,9,25
205 marengo street,voluntary non-profit - other,90,9,25
205 marengo street,voluntary non-profit - other,91,9,25
205 marengo street,voluntary non-profit - other,92,9,25
205 marengo street,voluntary non-profit - other,93,9,25
702xnxmainxst,voluntary non-profit - private,94,10,1
702 n main st,voluntary non-profit - private,95,11,22
702 n main st,voluntary non-profit - private,96,11,22
702 n main st,voluntary non-profit - private,97,11,22
702 n main st,voluntary non-profit - private,98,11,22
702 n main st,voluntary non-profit - private,99,11,22
702 n main st,voluntary non-profit - private,100,11,22
702 n main st,voluntary non-profit - private,101,11,22
702 n main st,voluntary non-profit - private,102,11,22
702 n main st,voluntary non-profit - private,103,11,22
702 n main st,voluntary non-profit - private,104,11,22
702 n main st,voluntary non-profit - private,105,11,22
702 x maix st,voluntary non-profit - private,106,12,1
702 n main st,voluntary non-profit - private,107,11,22
702 n main st,voluntary non-profit - private,108,11,22
702 n main st,voluntary non-profit - private,109,11,22
702 n main st,voluntary non-profit - private,110,11,22
702 n main st,voluntary non-profit - private,111,11,22
702 n main st,voluntary non-profit - private,112,11,22
702 n main st,volunxary non-profix - privaxe,113,13,1
702 n main st,voluntary non-profit - private,114,11,22
702 n main st,voluntary non-profit - private,115,11,22
702 n main st,voluntary non-profit - private,116,11,22
702 n main st,voluntary non-profit - private,117,11,22
702 n main st,voluntary non-profit - private,118,11,22
101 hospital circle,government - federal,119,14,25
101 hospital circle,government - federal,120,14,25
101 hospital circle,government - federal,121,14,25
101 hospital circle,government - federal,122,14,25
101 hospital circle,government - federal,123,14,25
101 hospital circle,government - federal,124,14,25
101 hospital circle,government - federal,125,14,25
101 hospital circle,government - federal,126,14,25
101 hospital circle,government - federal,127,14,25
101 hospital circle,government - federal,128,14,25
101 hospital circle,government - federal,129,14,25
101 hospital circle,government - federal,130,14,25
101 hospital circle,government - federal,131,14,25
101 hospital circle,government - federal,132,14,25
101 hospital circle,government - federal,133,14,25
101 hospital circle,government - federal,134,14,25
101 hospital circle,government - federal,135,14,25
101 hospital circle,government - federal,136,14,25
101 hospital circle,government - federal,137,14,25
101 hospital circle,government - federal,138,14,25
101 hospital circle,government - federal,139,14,25
101 hospital circle,government - federal,140,14,25
101 hospital circle,government - federal,141,14,25
101 hospital circle,government - federal,142,14,25
101 hospital circle,government - federal,143,14,25
201 pine street northwest,proprietary,144,15,20
201 pine street northwest,proprietary,145,15,20
201 pine street northwest,proprietary,146,15,20
201 pine street northwest,proprietary,147,15,20
201 pine street northwest,proprietary,148,15,20
201 pine street northwest,proprietary,149,15,20
201 pine street northwest,proprietary,150,15,20
201 pine street northwest,proprietary,151,15,20
201 pine street northwest,proprietary,152,15,20
201 pine street northwest,proprietary,153,15,20
201 pine street northwest,proprietary,154,15,20
201 pine street northwest,proprietary,155,15,20
201 pine street northwest,proprietary,156,15,20
201 pine street northwest,pxopxietaxy,157,16,2
201 pine street northwest,proprietary,158,15,20
201 pine street northwest,proxrietary,159,17,1
201 pine street northwest,proprietary,160,15,20
201 pine sxreex norxhwesx,proprietary,161,18,1
201 pine street northwest,xroprietary,162,19,1
201 pine street northwest,proprietary,163,15,20
201 pine street northwest,pxopxietaxy,164,16,2
201 pine street northwest,proprietary,165,15,20
201 pine street northwest,proprietary,166,15,20
201 pine street northwest,proprietary,167,15,20
201 pine street northwest,proprietary,168,15,20
8000 alabama highway 69,government - hospital district or authority,169,20,24
8000 alabama highway 69,government - hospital district or authority,170,20,24
8000 alabama highway 69,government - hospital district or authority,171,20,24
8000 alabama highway 69,government - hospital district or authority,172,20,24
8000 alabama highway 69,government - hospital district or authority,173,20,24
8000 alabama highway 69,government - hospital district or authority,174,20,24
8000 alabama xigxway 69,government - hospital district or authority,175,21,1
8000 alabama highway 69,government - hospital district or authority,176,20,24
8000 alabama highway 69,government - hospital district or authority,177,20,24
8000 alabama highway 69,government - hospital district or authority,178,20,24
8000 alabama highway 69,government - hospital district or authority,179,20,24
8000 alabama highway 69,government - hospital district or authority,180,20,24
8000 alabama highway 69,government - hospital district or authority,181,20,24
8000 alabama highway 69,government - hospital district or authority,182,20,24
8000 alabama highway 69,government - hospital district or authority,183,20,24
8000 alabama highway 69,government - hospital district or authority,184,20,24
8000 alabama highway 69,government - hospital district or authority,185,20,24
8000 alabama highway 69,government - hospital district or authority,186,20,24
8000 alabama highway 69,government - hospital district or authority,187,20,24
8000 alabama highway 69,government - hospital district or authority,188,20,24
8000 alabama highway 69,government - hospital district or authority,189,20,24
8000 alabama highway 69,government - hospital district or authority,190,20,24
8000 alabama highway 69,government - hospital district or authority,191,20,24
8000 alabama highway 69,government - hospital district or authority,192,20,24
8000 alabama highway 69,government - hospital district or authority,193,20,24
50 medical park east drive,voluntary non-profit - private,194,22,23
50 medical park east drive,voluntary non-profit - private,195,22,23
50 medical park east drive,voluntary non-profit - private,196,22,23
50 medical park east drive,voluntary non-profit - private,197,22,23
50 medical park east drive,voluntary non-profit - private,198,22,23
50 medical park east drive,voluntary non-profit - private,199,22,23
50 medical park east drive,voluntary non-profit - private,200,22,23
50 medical park east drive,voluntary non-profit - private,201,22,23
50 medical park east drive,voluntary non-profit - private,202,22,23
50 medical park east drive,voluntary non-profit - private,203,22,23
50 medical park east drive,voluntary non-profit - private,204,22,23
50 medical park east drive,voluntary non-profit - private,205,22,23
50 medical park east drive,voluntary non-profit - private,206,22,23
50 medical park east drive,voluntary non-profit - private,207,22,23
50 medical park east drive,voluntary non-profit - private,208,22,23
50 medical park east drive,voluntary non-profit - private,209,22,23
50 medical park east drive,voluntary non-profit - private,210,22,23
50 medical park east drive,voluntary non-profit - private,211,22,23
50 medical park east drive,voluntary non-profit - private,212,22,23
50 medical park east drive,voluntary non-profit - private,213,22,23
50 medical park east drive,voluntary non-profit - private,214,22,23
50 medical park east drive,voluntary non-profit - private,215,22,23
50 medical park east drive,volunxary non-profix - privaxe,216,23,1
50 medical park east drive,voluntary non-profit - private,217,22,23
50 medical park east drive,voluntary nonxprofit x private,218,24,1
200 med center drive,voluntary non-profit - church,219,25,23
200 med center drive,voluntary non-profit - church,220,25,23
200 med center drive,voluntaryxnon-profitx-xchurch,221,26,1
200 med center drive,voluntary non-profit - church,222,25,23
200 med center drive,voluntary non-profit - church,223,25,23
200 med center drive,voluntary non-profit - church,224,25,23
200 med center drive,voluntary non-profit - church,225,25,23
200 med center drive,voluntary non-profit - church,226,25,23
200 med center drive,voluntary non-profit - church,227,25,23
200 med center drive,voluntary non-profit - church,228,25,23
200 med center drive,voluntary non-profit - church,229,25,23
200 med center drive,voluntary non-profit - church,230,25,23
200 med center drive,voluntary non-profit - church,231,25,23
200 med center drive,voluntary non-profit - church,232,25,23
200 med center drive,voluntary non-profit - church,233,25,23
200 med center drive,voluntary non-profit - church,234,25,23
200 med center drive,voluntary non-profit - church,235,25,23
200 med center drive,voluntary non-profit - church,236,25,23
200 med center drive,voluntary non-profit - church,237,25,23
200 med center drive,voxuntary non-profit - church,238,27,1
200 med center drive,voluntary non-profit - church,239,25,23
200 med center drive,voluntary non-profit - church,240,25,23
200 med center drive,voluntary non-profit - church,241,25,23
200 med center drive,voluntary non-profit - church,242,25,23
200 med center drive,voluntary non-profit - church,243,25,23
33700 highway 43,government - federal,244,28,22
33700 highway 43,government - federal,245,28,22
33700 highway 43,government - federal,246,28,22
33700 highway 43,governxent - federal,247,29,1
33700 highway 43,government - federal,248,28,22
33700 highway 43,government - federal,249,28,22
33700 highway 43,government - federal,250,28,22
33700 highway 43,government - federal,251,28,22
33700 highway 43,government - federal,252,28,22
33700 highway 43,government - federal,253,28,22
33700 highway 43,government - federal,254,28,22
33700 highway 43,government - federal,255,28,22
33700 highway 43,government - federal,256,28,22
33700 highway 43,government - federal,257,28,22
33700 highway 43,government - federal,258,28,22
33700 highway 43,government - federal,259,28,22
33700 hxghway 43,government - federal,260,30,1
33700 highway 43,government - federal,261,28,22
33700 highway 43,government - federal,262,28,22
33700 highway 43,government - federal,263,28,22
33700 highway x3,government - federal,264,31,1
33700 highway 43,government - federal,265,28,22
33700 highway 43,government - federal,266,28,22
33700 highway 43,government - federal,267,28,22
33700 highway 43,government - federal,268,28,22
1000 first street north,voluntary non-profit - church,269,32,24
1000 first street north,voluntary non-profit - church,270,32,24
1000 first street north,voluntary non-profit - church,271,32,24
1000 first street north,voluntary non-profit - church,272,32,24
1000 first street north,voluntary non-profit - church,273,32,24
1000 first street north,voluntary non-profit - church,274,32,24
1000 fixst stxeet noxth,voluntary non-profit - church,275,33,1
1000 first street north,voluntary non-profit - church,276,32,24
1000 first street north,voluntary non-profit - church,277,32,24
1000 first street north,voluntary non-profit - church,278,32,24
1000 first street north,voluntary non-profit - church,279,32,24
1000 first street north,voluntary non-profit - church,280,32,24
1000 first street north,voluntary non-profit - church,281,32,24
1000 first street north,voluntary non-profit - church,282,32,24
1000 first street north,voluntary non-profit - church,283,32,24
1000 first street north,voluntary non-profit - church,284,32,24
1000 first street north,voluntary non-profit - church,285,32,24
1000 first street north,voluntary non-profit - church,286,32,24
1000 first street north,voluntary non-profit - church,287,32,24
1000 first street north,voluntary non-profit - church,288,32,24
1000 first street north,voluntary non-profit - church,289,32,24
1000 first street north,voluntary non-profit - church,290,32,24
1000 first street north,voluntary non-profit - church,291,32,24
1000 first street north,voluntary non-profit - church,292,32,24
1000 first street north,voluntary non-profit - church,293,32,24
1720 university blvd,voluntary non-profit - private,294,0,24
1720 univxrsity blvd,voluntary non-profit - private,295,34,1
1720 university blvd,voluntary non-profit - private,296,0,24
1720 university blvd,voluntary non-profit - private,297,0,24
1720 university blvd,voluntary non-profit - private,298,0,24
1720 university blvd,voluntary non-profit - private,299,0,24
1720 university blvd,voluntary non-profit - private,300,0,24
1720 university blvd,voluntary non-profit - private,301,0,24
1720 university blvd,voluntary non-profit - private,302,0,24
1720 university blvd,voluntary non-profit - private,303,0,24
1720 university blvd,voluntary non-profit - private,304,0,24
1720 university blvd,voluntary non-profit - private,305,0,24
1720 university blvd,voluntary non-profit - private,306,0,24
1720 university blvd,voluntary non-profit - private,307,0,24
1720 university blvd,voluntary non-profit - private,308,0,24
1720 university blvd,voluntary non-profit - private,309,0,24
1720 university blvd,voluntary non-profit - private,310,0,24
301 east 18th st,proprietary,311,35,25
301 east 18th st,proprietary,312,35,25
301 east 18th st,prxprietary,313,36,1
301 east 18th st,proprietary,314,35,25
301 east 18th st,proprietary,315,35,25
301xeastx18thxst,proprietary,316,37,1
301 east 18th st,proprietary,317,35,25
301 east 18th st,proprietary,318,35,25
301 east 18th st,proprietary,319,35,25
301 east 18th st,proprietary,320,35,25
301 east 18th st,proprietary,321,35,25
301 east 18th st,proprietary,322,35,25
301 east 18th st,proprietary,323,35,25
301 east 18th st,proprietary,324,35,25
301 east 18th st,proprietary,325,35,25
301 east 18th st,proprietary,326,35,25
301 east 18th st,proprietary,327,35,25
301 east 18th st,proprietary,328,35,25
301 east 18th st,proprietary,329,35,25
301 east 18th st,proprietary,330,35,25
4370 west main street,proprietary,331,38,15
4370 west main street,proxrietary,332,39,1
4370 west main street,proprietary,333,38,15
4370xwestxmainxstreet,proprietary,334,40,1
4370 west main street,proprietary,335,38,15
4370 west main street,proprietary,336,38,15
4370 west main street,proprietary,337,38,15
4370 west main street,proprietary,338,38,15
4370 west main street,proprietary,339,38,15
4370 west main street,proprietary,340,38,15
4370 west main street,proprietary,341,38,15
4370 west main street,proprietary,342,38,15
4370 west main street,proprietary,343,38,15
4370 west main street,proprietary,344,38,15
4370 west main street,proprietary,345,38,15
4370 west main street,proprietary,346,38,15
4370 west main street,proprietary,347,38,15
810 st vincents drive,voluntary non-profit - other,348,41,4
810 st vincents drive,voluntary non-profit - other,349,41,4
810 st vxncents drxve,voluntary non-profit - other,350,42,1
810 st vincents drive,voluntary non-profit - other,351,41,4
810 st vincents drive,voluntary non-profit - other,352,41,4
1201 7th street se,government - hospital district or authority,353,43,1
1530 u s highway 43,proprietary,354,44,23
1530 u s highway 43,proprietary,355,44,23
1530 u s highway 43,prxprietary,356,45,1
1530 u s highway 43,proprietary,357,44,23
1530 u s highway 43,proprietary,358,44,23
1530 u s highway 43,proprietary,359,44,23
1530 u s highway 43,proprietary,360,44,23
1530 u s highway 43,proprietary,361,44,23
1530 u s highway 43,proprietary,362,44,23
1530xuxsxhighwayx43,proprietary,363,46,1
1530 u s highway 43,proprietary,364,44,23
1530 u s highway 43,proprietary,365,44,23
1530 u s highway 43,proprietary,366,44,23
1530 u s highway 43,proprietary,367,44,23
1530 u s highway 43,proprietary,368,44,23
1530 u s highway 43,proprietary,369,44,23
1530 u s highway 43,proprietary,370,44,23
1530 u s highway 43,proprietary,371,44,23
1530 u s highway 43,proprietary,372,44,23
1530 u s highway 43,proprietary,373,44,23
1530 u s highway 43,proprietary,374,44,23
1530 u s highway 43,proprietary,375,44,23
1530 u s highway 43,proprietary,376,44,23
1530 u s highway 43,proprietary,377,44,23
1530 u s highway 43,proprietary,378,44,23
2451 fillingim street,government - state,379,47,13
2451 fillingim street,government - state,380,47,13
2451 fillingim street,government - state,381,47,13
2451 fillingim street,government - state,382,47,13
2451 fillingim street,government - state,383,47,13
2451 fillingim street,government - state,384,47,13
2451 fillingim street,government - state,385,47,13
2451 fillingim street,government - state,386,47,13
2451 fillingim street,government - state,387,47,13
2451 fillingim street,government - state,388,47,13
2451 fillingim street,government - state,389,47,13
2451 fillingim street,government - state,390,47,13
2451 fillingim street,government - state,391,47,13
124 s memorial dr,voluntary non-profit - private,392,48,18
124xsxmemorialxdr,voluntary non-profit - private,393,49,1
124 s memorial dr,voluntary non-profit - private,394,48,18
124 s memorial dr,voluntary non-profit - private,395,48,18
124 s memorial dr,voluntary non-profit - private,396,48,18
124 s memorial dr,voluntary non-profit - private,397,48,18
124 s memorial dr,voluntary non-profit - private,398,48,18
124 s memorial dr,voluntary non-profit - private,399,48,18
124 s memorial dr,voluntary non-profit - private,400,48,18
124 s memorial dr,voluntary non-profit - private,401,48,18
124 s memorial dr,voluntary non-profit - private,402,48,18
124 s memorial dr,voluntary non-profit - private,403,48,18
124 s memorial dr,voluntary non-profit - private,404,48,18
124 s memorial dr,voluntary non-profit - private,405,48,18
124 s memorial dr,voluntary non-profit - private,406,48,18
124 s memorial dr,voluntary non-profit - private,407,48,18
124 s memorial dr,voluntary non-profit - private,408,48,18
124 s memorial dr,voluntary non-profit - private,409,48,18
124 s memorial dr,voluntary non-profit - private,410,48,18
124 s mxmorial dr,voluntary non-profit - private,411,50,1
15155 highway 43,proprietary,412,51,2
15155 highway 43,proprietary,413,51,2
315 w hickory st,voluntary non-profit - other,414,52,16
315 w hickxry st,voluntary non-profit - other,415,53,1
315 w hickory st,voluntary non-profit - other,416,52,16
315 w hickory st,voluntary non-profit - other,417,52,16
315 w hickory st,voluntary non-profit - other,418,52,16
315 w hickory st,voluntary non-profit - other,419,52,16
315 w hickory st,voluntary non-profit - other,420,52,16
315 w hickory st,voluntary non-profit - other,421,52,16
315 w hickory st,voluntary non-profit - other,422,52,16
315 w hickory st,voluntary non-profit - other,423,52,16
315 w hickory st,voluntary non-profit - other,424,52,16
315 w hickory st,voluntary non-profit - other,425,52,16
315 w hickory st,voluntary non-profit - other,426,52,16
315 w hickory st,voluntary non-profit - other,427,52,16
315 w hickory st,voluntary non-profit - other,428,52,16
315 w hickory st,voluntary non-profit - other,429,52,16
315 w hickory st,voluntary non-profit - other,430,52,16
315xwxhickoryxst,voluntary non-profit - other,431,54,1
2801 debarr road,proprietary,432,55,17
2801 debarr road,proprietary,433,55,17
2801 debarr road,proprietary,434,55,17
2801 debarr road,proprietary,435,55,17
2801 debarr road,proprietary,436,55,17
2801 debarr road,proprietary,437,55,17
2801 debarr road,proprietary,438,55,17
2801 debarr road,proprietary,439,55,17
2801 debarr road,proprietary,440,55,17
2801 debarr road,proprietary,441,55,17
2801 debarr road,proprietary,442,55,17
2801 debarr road,proprietary,443,55,17
2801 debarr road,proprietary,444,55,17
2801 debarr road,proprietary,445,55,17
2801 debarr road,proprietary,446,55,17
2801 debarr road,proprietary,447,55,17
2801 debarr road,proprietary,448,55,17
2801 debarr road,proxrietary,449,56,1
po box 287,government - federal,450,57,1
poxboxx287,government - federal,451,58,1
1300 south montgomery avenue,government - hospital district or authority,452,1,24
1300 south montgomery avenue,government - hospital district or authority,453,1,24
1300 south montgomery avenue,government - hospital district or authority,454,1,24
1300 south montgomery avenue,government - hospital district or authority,455,1,24
1300 south montgomery avenue,gxvernment - hxspital district xr authxrity,456,59,1
1300 south montgomery avenue,government - hospital district or authority,457,1,24
1300 south montgomery avenue,government - hospital district or authority,458,1,24
1300 south montgomery avenue,government - hospital district or authority,459,1,24
1300 south montgomery avenue,government - hospital district or authority,460,1,24
1300 south montgomery avenue,government - hospital district or authority,461,1,24
1300 south montgomery avenue,government - hospital district or authority,462,1,24
1300 south montgomery avenue,government - hospital district or authority,463,1,24
1300 south montgomery avenue,government - hospital district or authority,464,1,24
1300 south montgomery avenue,government - hospital district or authority,465,1,24
126 hospital ave,government - hospital district or authority,466,60,23
126 hospital ave,government - hospital district or authority,467,60,23
126 hospital ave,government - hospital district or authority,468,60,23
126 hospital ave,government - hospital district or authority,469,60,23
126 hospital ave,government - hospital district or authority,470,60,23
126 hospital ave,government - hospital district or authority,471,60,23
126xhospitalxave,government - hospital district or authority,472,61,1
126 hospital ave,government - hospital district or authority,473,60,23
126 hospital ave,government - hospital district or authority,474,60,23
126 hospital ave,government - hospital district or authority,475,60,23
126 hospital ave,government - hospital district or authority,476,60,23
126 hospital ave,government - hospital district or authority,477,60,23
126 hospital ave,government - hospital district or authority,478,60,23
126 hospital ave,government - hospital district or authority,479,60,23
126 hospital ave,government - hospital district or authority,480,60,23
126 hospital ave,government - hospital district or authority,481,60,23
126 hospital ave,government - hospital district or authority,482,60,23
126 hospital ave,government - hospital district or authority,483,60,23
1x6 hospital ave,government - hospital district or authority,484,62,1
126 hospital ave,government - hospital district or authority,485,60,23
126 hospital ave,government - hospital district or authority,486,60,23
126 hospital ave,government - hospital district or authority,487,60,23
126 hospital ave,government - hospital district or authority,488,60,23
126 hospital ave,government - hospital district or authority,489,60,23
126 hospital ave,government - hospital district or authority,490,60,23
400 northwood dr,voluntary non-profit - private,491,63,24
400 northwood dr,voluntary non-profit - private,492,63,24
400 northwood dr,voluntaryxnon-profitx-xprivate,493,64,1
400 northwood dr,voluntary non-profit - private,494,63,24
400 northwood dr,voluntary non-profit - private,495,63,24
400 northwood dr,voluntary non-profit - private,496,63,24
400 northwood dr,voluntary non-profit - private,497,63,24
400 northwood dr,voluntary non-profit - private,498,63,24
400 northwood dr,voluntary non-profit - private,499,63,24
400 northwood dr,voluntary non-profit - private,500,63,24
400 northwood dr,voluntary non-profit - private,501,63,24
400 northwood dr,voluntary non-profit - private,502,63,24
400 northwood dr,voluntary non-profit - private,503,63,24
400 northwood dr,voluntary non-profit - private,504,63,24
400 northwood dr,voluntary non-profit - private,505,63,24
400 northwood dr,voluntary non-profit - private,506,63,24
400 northwood dr,voluntary non-profit - private,507,63,24
400 northwood dr,voluntary non-profit - private,508,63,24
400 northwood dr,voluntary non-profit - private,509,63,24
400 northwood dr,voluntary non-profit - private,510,63,24
400 northwood dr,voluntary non-profit - private,511,63,24
400 northwood dr,voluntary non-profit - private,512,63,24
400 northwood dr,voluntary non-profit - private,513,63,24
400 northwood dr,voluntary non-profit - private,514,63,24
400 northwood dr,voluntary non-profit - private,515,63,24
2105 east south boulevard,voluntary non-profit - church,516,65,24
2105 east south boulevard,voluntary non-profit - church,517,65,24
2105 east south boulevard,voluntary non-profit - church,518,65,24
2105 east south boulevard,voluntary non-profit - church,519,65,24
2105 east south boulevard,voluntary non-profit - church,520,65,24
2105 east south boulevard,voluntary non-profit - church,521,65,24
2105 east south boulevard,voluntary non-profit - church,522,65,24
2105 east south boulevard,voluntary non-profit - church,523,65,24
2105 east south boulevard,voluntary non-profit - church,524,65,24
2105 east south boulevard,voluntary non-profit - church,525,65,24
2105 east south boulevard,volxntary non-profit - chxrch,526,66,1
2105 east south boulevard,voluntary non-profit - church,527,65,24
2105 east south boulevard,voluntary non-profit - church,528,65,24
2105 east south boulevard,voluntary non-profit - church,529,65,24
2105 east south boulevard,voluntary non-profit - church,530,65,24
2105 east south boulevard,voluntary non-profit - church,531,65,24
2105 east south boulevard,voluntary non-profit - church,532,65,24
2105 east south boulevard,voluntary non-profit - church,533,65,24
2105 east south boulevard,voluntary non-profit - church,534,65,24
2105 east south boulevard,voluntary non-profit - church,535,65,24
2105 east south boulevard,voluntary non-profit - church,536,65,24
2105 east south boulevard,voluntary non-profit - church,537,65,24
2105 east south boulevard,voluntary non-profit - church,538,65,24
2105 east south boulevard,voluntary non-profit - church,539,65,24
2105 east south boulevard,voluntary non-profit - church,540,65,24
1725 pine street,voluntary non-profit - private,541,67,25
1725 pine street,voluntary non-profit - private,542,67,25
1725 pine street,voluntary non-profit - private,543,67,25
1725 pine street,voluntary non-profit - private,544,67,25
1725 pine street,voluntary non-profit - private,545,67,25
1725 pine street,voluntary non-profit - private,546,67,25
1725 pine street,voluntary non-profit - private,547,67,25
1725 pine street,voluntary non-profit - private,548,67,25
1725 pine street,voluntary non-profit - private,549,67,25
1725 pine street,voluntary non-profit - private,550,67,25
1725 pine street,voluntary non-profit - private,551,67,25
1725 pine street,voluntary non-profit - private,552,67,25
1725 pine street,voluntary non-profit - private,553,67,25
1725 pine street,voluntary non-profit - private,554,67,25
1725 pine street,voluntary non-profit - private,555,67,25
1725 pine street,voluntary non-profit - private,556,67,25
1725 pine street,voluntary non-profit - private,557,67,25
1725 pine street,voluntary non-profit - private,558,67,25
1725 pine street,voluntary non-profit - private,559,67,25
1725 pine street,voluntary non-profit - private,560,67,25
1725 pine street,voluntary non-profit - private,561,67,25
1725 pine street,voluntary non-profit - private,562,67,25
1725 pine street,voluntary non-profit - private,563,67,25
1725 pine street,voluntary non-profit - private,564,67,25
1725 pine street,voluntary non-profit - private,565,67,25
4800 48th st,voluntary non-profit - other,566,68,24
4800 48th st,voluntary non-profit - other,567,68,24
4800 48th st,voluntary non-profit - other,568,68,24
4800 48th st,voluntary non-profit - other,569,68,24
4800 48th st,voluntary non-profit - other,570,68,24
4800 48th st,voluntary non-profit - other,571,68,24
4800 48th st,voluntary non-profit - otxer,572,69,1
4800 48th st,voluntary non-profit - other,573,68,24
4800 48th st,voluntary non-profit - other,574,68,24
4800 48th st,voluntary non-profit - other,575,68,24
4800 48th st,voluntary non-profit - other,576,68,24
4800 48th st,voluntary non-profit - other,577,68,24
4800 48th st,voluntary non-profit - other,578,68,24
4800 48th st,voluntary non-profit - other,579,68,24
4800 48th st,voluntary non-profit - other,580,68,24
4800 48th st,voluntary non-profit - other,581,68,24
4800 48th st,voluntary non-profit - other,582,68,24
4800 48th st,voluntary non-profit - other,583,68,24
4800 48th st,voluntary non-profit - other,584,68,24
4800 48th st,voluntary non-profit - other,585,68,24
