beer_name,brewery_name,original_index,unique_index,count
British Pale Ale,7 Seas Brewing Company,59,58,1
Ballz Deep Double IPA,7 Seas Brewing Company,60,59,1
Wolfman's Berliner,7venth Sun,61,60,1
Colorado Native,AC Golden Brewing Company,62,61,1
Colorado Native (2011),AC Golden Brewing Company,63,62,1
Jockamo IPA,Abita Brewing Company,64,63,1
Purple Haze,Abita Brewing Company,65,64,1
Abita Amber,Abita Brewing Company,66,65,1
Citra Ass Down,Against The Grain Brewery,67,66,1
The Brown Note,Against The Grain Brewery,68,67,1
Citra Ass Down,Against the Grain Brewery,69,68,1
London Balling,Against the Grain Brewery,70,69,1
35 K,Against the Grain Brewery,71,70,1
A Beer,Against the Grain Brewery,72,71,1
Rules are Rules,Against the Grain Brewery,73,72,1
Flesh Gourd'n,Against the Grain Brewery,74,73,1
Sho'nuff,Against the Grain Brewery,75,74,1
Bloody Show,Against the Grain Brewery,76,75,1
Rico Sauvin,Against the Grain Brewery,77,76,1
Coq de la Marche,Against the Grain Brewery,78,77,1
Kamen Knuddeln,Against the Grain Brewery,79,78,1
Pile of Face,Against the Grain Brewery,80,79,1
The Brown Note,Against the Grain Brewery,81,80,1
Maylani's Coconut Stout,Airways Brewing Company,82,81,1
Oatmeal PSA,Airways Brewing Company,83,82,1
Pre Flight Pilsner,Airways Brewing Company,84,83,1
P-Town Pilsner,Alameda Brewing,85,84,1
Klickitat Pale Ale,Alameda Brewing,86,85,1
Yellow Wolf Imperial IPA,Alameda Brewing,87,86,1
Freeride APA,Alaskan Brewing Company,88,87,1
Alaskan Amber,Alaskan Brewing Company,89,88,1
Hopalicious,Ale Asylum,90,89,1
Kentucky Kölsch,Alltech's Lexington Brewing Company,91,90,1
Kentucky IPA,Alltech's Lexington Brewing Company,92,91,1
Dusty Trail Pale Ale,Amnesia Brewing Company,93,92,1
Damnesia,Amnesia Brewing Company,94,93,1
Desolation IPA,Amnesia Brewing Company,95,94,1
Liberty Ale,Anchor Brewing Company,96,95,1
IPA,Anchor Brewing Company,97,96,1
Summer Wheat,Anchor Brewing Company,98,97,1
California Lager,Anchor Brewing Company,99,98,1
Brotherhood Steam,Anchor Brewing Company,100,99,1
Blood Orange Gose,Anderson Valley Brewing Company,101,100,1
Keebarlin' Pale Ale,Anderson Valley Brewing Company,102,101,1
"the Kimmie, the Yink and the Holy Gose",Anderson Valley Brewing Company,103,102,1
Fall Hornin',Anderson Valley Brewing Company,104,103,1
Barney Flats Oatmeal Stout,Anderson Valley Brewing Company,105,104,2
Summer Solstice,Anderson Valley Brewing Company,106,105,1
Hop Ottin' IPA,Anderson Valley Brewing Company,107,106,1
Boont Amber Ale,Anderson Valley Brewing Company,108,107,1
Barney Flats Oatmeal Stout,Anderson Valley Brewing Company,109,104,2
El Steinber Dark Lager,Anderson Valley Brewing Company,110,108,1
Boont Amber Ale (2010),Anderson Valley Brewing Company,111,109,1
Summer Solstice Cerveza Crema (2009),Anderson Valley Brewing Company,112,110,1
Barney Flats Oatmeal Stout (2012),Anderson Valley Brewing Company,113,111,1
Winter Solstice,Anderson Valley Brewing Company,114,112,1
Hop Ottin' IPA (2011),Anderson Valley Brewing Company,115,113,1
Boont Amber Ale (2011),Anderson Valley Brewing Company,116,114,1
Summer Solstice (2011),Anderson Valley Brewing Company,117,115,1
Poleeko Gold Pale Ale (2009),Anderson Valley Brewing Company,118,116,1
Charlie's Rye IPA,Angry Minnow,119,117,1
River Pig Pale Ale,Angry Minnow Brewing Company,120,118,1
Oaky's Oatmeal Stout,Angry Minnow Brewing Company,121,119,1
Angry Orchard Apple Ginger,Angry Orchard Cider Company,122,120,1
Angry Orchard Crisp Apple,Angry Orchard Cider Company,123,121,2
Angry Orchard Crisp Apple,Angry Orchard Cider Company,124,121,2
Golden One,Anthem Brewing Company,125,122,1
Arjuna,Anthem Brewing Company,126,123,1
Uroboros,Anthem Brewing Company,127,124,1
Long Leaf,Appalachian Mountain Brewery,128,125,1
Honey Badger Blonde,Appalachian Mountain Brewery,129,126,1
Porter (a/k/a Black Gold Porter),Appalachian Mountain Brewery,130,127,1
Sky High Rye,Arcadia Brewing Company,131,128,1
Whitsun,Arcadia Brewing Company,132,129,1
On-On Ale (2008),Arctic Craft Brewery,133,130,1
Quakertown Stout,Armadillo Ale Works,134,131,1
Greenbelt Farmhouse Ale,Armadillo Ale Works,135,132,1
Mo's Gose,Armstrong Brewing Company,136,133,1
Green Bullet Organic India Pale Ale,Asher Brewing Company,137,134,1
Rocket Girl,Asheville Brewing Company,138,135,1
Ninja Porter,Asheville Brewing Company,139,136,1
Shiva IPA,Asheville Brewing Company,140,137,1
Aslan Kölsch,Aslan Brewing Company,141,138,1
Aslan IPA,Aslan Brewing Company,142,139,1
Aslan Amber,Aslan Brewing Company,143,140,1
This Season's Blonde,Aspen Brewing Company,144,141,1
Independence Pass Ale,Aspen Brewing Company,145,142,1
Trolley Stop Stout,Astoria Brewing Company,146,143,1
Bitter Bitch Imperial IPA,Astoria Brewing Company,147,144,1
Poop Deck Porter,Astoria Brewing Company,148,145,1
Old Red Beard Amber Ale,Astoria Brewing Company,149,146,1
Hop A-Peel,Atwater Brewery,150,147,1
Vanilla Java Porter,Atwater Brewery,151,148,1
Michelada,Atwater Brewery,152,149,1
Dirty Blonde Ale,Atwater Brewery,153,150,1
Grand Circus IPA,Atwater Brewery,154,151,1
Atwater's Lager,Atwater Brewery,155,152,1
Heavy Machinery IPA Series #1: Heavy Fist,Austin Beerworks,156,153,1
Fire Eagle IPA,Austin Beerworks,157,154,1
Peacemaker,Austin Beerworks,158,155,1
Pearl-Snap,Austin Beerworks,159,156,1
Black Thunder,Austin Beerworks,160,157,1
Raja,Avery Brewing Company,161,158,1
Perzik Saison,Avery Brewing Company,162,159,1
Avery Joe’s Premium American Pilsner,Avery Brewing Company,163,160,1
White Rascal,Avery Brewing Company,164,161,1
Avery India Pale Ale,Avery Brewing Company,165,162,1
Ellie’s Brown Ale,Avery Brewing Company,166,163,1
Pumpkin Beast,Aviator Brewing Company,167,164,1
OktoberBeast,Aviator Brewing Company,168,165,1
Mad Beach,Aviator Brewing Company,169,166,1
Hog Wild India Pale Ale,Aviator Brewing Company,170,167,1
Devils Tramping Ground Tripel,Aviator Brewing Company,171,168,1
Hot Rod Red,Aviator Brewing Company,172,169,1
Palate Mallet,Back East Brewing Company,173,170,1
Back East Porter,Back East Brewing Company,174,171,1
Back East Golden Ale,Back East Brewing Company,175,172,1
Misty Mountain IPA,Back East Brewing Company,176,173,1
Back East Ale,Back East Brewing Company,177,174,1
Truck Stop Honey Brown Ale,Back Forty Beer Company,178,175,1
Naked Pig Pale Ale,Back Forty Beer Company,179,176,1
Topcutter India Pale Ale,Bale Breaker Brewing Company,180,177,1
Field 41 Pale Ale,Bale Breaker Brewing Company,181,178,1
Grapefruit Sculpin,Ballast Point Brewing Company,182,179,1
Even Keel,Ballast Point Brewing Company,183,180,1
Ballast Point Pale Ale,Ballast Point Brewing Company,184,181,1
Big Eye India Pale Ale,Ballast Point Brewing Company,185,182,1
Longfin Lager,Ballast Point Brewing Company,186,183,1
Sculpin IPA,Ballast Point Brewing Company,187,184,1
All Nighter Ale,Banner Beer Company,188,185,1
Banner American Rye,Banner Beer Company,189,186,1
Banner American Ale,Banner Beer Company,190,187,1
Thai.p.a,Bare Hands Brewery,191,188,1
Barrio Blanco,Barrio Brewing Company,192,189,1
Barrio Tucson Blonde,Barrio Brewing Company,193,190,1
Hop in the ‘Pool Helles,Base Camp Brewing Co.,194,191,1
Ultra Gnar Gnar IPA,Base Camp Brewing Co.,195,192,1
In-Tents India Pale Lager,Base Camp Brewing Co.,196,193,1
Lost Meridian Wit,Base Camp Brewing Co.,197,194,1
Celestial Meridian Cascadian Dark Lager,Base Camp Brewing Co.,198,195,1
Wagon Party,Bauhaus Brew Labs,199,196,1
Sky-Five,Bauhaus Brew Labs,200,197,1
Stargrazer,Bauhaus Brew Labs,201,198,1
Wonderstuff,Bauhaus Brew Labs,202,199,1
Tarnation California-Style Lager,Baxter Brewing Company,203,200,1
On the Count of 3 (2015),Baxter Brewing Company,204,201,1
Summer Swelter,Baxter Brewing Company,205,202,1
Phantom Punch Winter Stout,Baxter Brewing Company,206,203,1
Hayride Autumn Ale,Baxter Brewing Company,207,204,1
Celsius Summer Ale (2012),Baxter Brewing Company,208,205,1
Amber Road,Baxter Brewing Company,209,206,1
Pamola Xtra Pale Ale,Baxter Brewing Company,210,207,1
Stowaway IPA,Baxter Brewing Company,211,208,1
Hoptopus Double IPA,Beach Brewing Company,212,209,1
Watermelon Ale,Beer Works Brewery,213,210,1
Fenway American Pale Ale,Beer Works Brewery,214,211,1
Back Bay IPA,Beer Works Brewery,215,212,1
Bunker Hill Blueberry Ale,Beer Works Brewery,216,213,1
Oberon,Bell's Brewery,217,214,2
Smitten,Bell's Brewery,218,215,1
Winter White,Bell's Brewery,219,216,1
Oberon,Bell's Brewery,220,214,2
Two Hearted,Bell's Brewery,221,217,1
Best Brown,Bell's Brewery,222,218,1
Moar,Bent Brewstillery,223,219,1
Uber Lupin Schwarz IPA,Bent Brewstillery,224,220,1
Nordic Blonde,Bent Brewstillery,225,221,1
Cold Press,Bent Paddle Brewing Company,226,222,1
Harness the Winter,Bent Paddle Brewing Company,227,223,1
14° ESB,Bent Paddle Brewing Company,228,224,1
Bent Hop Golden IPA,Bent Paddle Brewing Company,229,225,1
Bent Paddle Black Ale,Bent Paddle Brewing Company,230,226,1
Venture Pils,Bent Paddle Brewing Company,231,227,1
Lost Sailor IPA,Berkshire Brewing Company,232,228,1
Steel Rail Extra Pale Ale,Berkshire Brewing Company,233,229,1
La Frontera Premium IPA,Big Bend Brewing Company,234,230,1
Tejas Lager,Big Bend Brewing Company,235,231,1
Number 22 Porter,Big Bend Brewing Company,236,232,1
Big Bend Hefeweizen,Big Bend Brewing Company,237,233,1
Terlingua Gold,Big Bend Brewing Company,238,234,1
Aprè Shred,Big Choice Brewing,239,235,1
Hemlock Double IPA,Big Choice Brewing,240,236,1
West Portal Colorado Common Summer Ale,Big Choice Brewing,241,237,1
Disconnected Red,Big Choice Brewing,242,238,1
Big Elm IPA,Big Elm Brewing,243,239,1
Gerry Dog Stout,Big Elm Brewing,244,240,1
413 Farmhouse Ale,Big Elm Brewing,245,241,1
Dark Star,Big Lake Brewing,246,242,1
Ryecoe,Big Lake Brewing,247,243,1
Blueberry Blonde,Big Muddy Brewing,248,244,1
Galaxy IPA,Big Muddy Brewing,249,245,1
Big River Pilsner,Big River Brewing Company,250,246,1
House Brand IPA,Big River Brewing Company,251,247,1
Big Sky IPA,Big Sky Brewing Company,252,248,1
Scape Goat Pale Ale,Big Sky Brewing Company,253,249,1
Montana Trout Slayer Ale,Big Sky Brewing Company,254,250,1
Moose Drool Brown Ale,Big Sky Brewing Company,255,251,1
Powder Hound Winter Ale,Big Sky Brewing Company,256,252,1
Moose Drool Brown Ale (2011),Big Sky Brewing Company,257,253,1
Montana Trout Slayer Ale (2012),Big Sky Brewing Company,258,254,1
Big Sky IPA (2012),Big Sky Brewing Company,259,255,1
Summer Honey,Big Sky Brewing Company,260,256,1
Scape Goat Pale Ale (2010),Big Sky Brewing Company,261,257,1
Montana Trout Slayer Ale (2009),Big Sky Brewing Company,262,258,1
Moose Drool Brown Ale (2009),Big Sky Brewing Company,263,259,1
Arcus IPA,Big Storm Brewing Company,264,260,1
Wavemaker,Big Storm Brewing Company,265,261,1
Jack Pine Savage,Big Wood Brewery,266,262,1
Forest Fire Imperial Smoked Rye,Big Wood Brewery,267,263,1
Bad Axe Imperial IPA,Big Wood Brewery,268,264,1
Morning Wood,Big Wood Brewery,269,265,1
Bark Bite IPA,Big Wood Brewery,270,266,1
Jalapeno Pale Ale,Birdsong Brewing Company,271,267,1
Blown Out Brown,Bitter Root Brewing,272,268,1
Single Hop Ale,Bitter Root Brewing,273,269,1
Sawtooth Ale,Bitter Root Brewing,274,270,1
Saucy Intruder,Black Acre Brewing Co.,275,271,1
Deception,Black Market Brewing Company,276,272,1
Blackmarket Rye IPA,Black Market Brewing Company,277,273,1
Black Market Hefeweizen,Black Market Brewing Company,278,274,1
Aftermath Pale Ale,Black Market Brewing Company,279,275,1
American India Red Ale,Black Shirt Brewing Company,280,276,1
American Red Porter,Black Shirt Brewing Company,281,277,1
American Red Saison,Black Shirt Brewing Company,282,278,1
Colorado Red Ale,Black Shirt Brewing Company,283,279,1
Saddle Bronc Brown Ale,Black Tooth Brewing Company,284,280,1
Bomber Mountain Amber Ale,Black Tooth Brewing Company,285,281,1
Flying Sailor,Blackrocks Brewery,286,282,1
Nordskye,Blackrocks Brewery,287,283,1
North Third Stout,Blackrocks Brewery,288,284,1
Honey Lav,Blackrocks Brewery,289,285,1
Coconut Brown Ale,Blackrocks Brewery,290,286,1
51K IPA,Blackrocks Brewery,291,287,1
Grand Rabbits,Blackrocks Brewery,292,288,1
1800 Big Log Wheat (2012),Blue Blood Brewing Company,293,289,1
Double Play Pilsner,Blue Blood Brewing Company,294,290,1
Brewerhood Brown Ale,Blue Blood Brewing Company,295,291,1
Last Call Imperial Amber Ale,Blue Blood Brewing Company,296,292,1
Pernicious Double IPA,Blue Blood Brewing Company,297,293,1
6-4-3 Double Play Pilsner,Blue Blood Brewing Company,298,294,1
N Street Drive-In 50th Anniversary IPA,Blue Blood Brewing Company,299,295,1
467 Ethan's Stout,Blue Blood Brewing Company,300,296,1
1335 Wicked Snout,Blue Blood Brewing Company,301,297,1
543 Skull Creek Fresh Hopped Pale Ale,Blue Blood Brewing Company,302,298,1
1327 Pod's ESB,Blue Blood Brewing Company,303,299,3
1327 Pod's ESB,Blue Blood Brewing Company,304,299,3
1327 Pod's ESB,Blue Blood Brewing Company,305,299,3
834 Happy As Ale,Blue Blood Brewing Company,306,300,1
Yellow Collar,Blue Dog Mead,307,301,1
Green Collar,Blue Dog Mead,308,302,1
Quarter Mile Double IPA,Blue Hills Brewery,309,303,1
Full Nelson Pale Ale,Blue Mountain Brewery,310,304,1
Steel Wheels ESB,Blue Mountain Brewery,311,305,1
Blue Mountain Classic Lager,Blue Mountain Brewery,312,306,1
Full Nelson Pale Ale (2010),Blue Mountain Brewery,313,307,1
Kölsch 151,Blue Mountain Brewery,314,308,1
Professor Black,Blue Owl Brewing,315,309,1
Little Boss,Blue Owl Brewing,316,310,1
Van Dayum!,Blue Owl Brewing,317,311,1
Spirit Animal,Blue Owl Brewing,318,312,1
Toxic Sludge,Blue Point Brewing Company,319,313,1
Blue Point White IPA,Blue Point Brewing Company,320,314,1
Blue Point Summer Ale,Blue Point Brewing Company,321,315,1
Toasted Lager,Blue Point Brewing Company,322,316,1
Bohemian Export Lager,Bohemian Brewery,323,317,1
Altus Bohemes Altbier,Bohemian Brewery,324,318,1
Cherny Bock,Bohemian Brewery,325,319,1
Czech Pilsner,Bohemian Brewery,326,320,1
Viennese Lager,Bohemian Brewery,327,321,1
Mad Manatee IPA,Bold City Brewery,328,322,1
Killer Whale Cream Ale,Bold City Brewery,329,323,1
Duke's Cold Nose Brown Ale,Bold City Brewery,330,324,1
Longhop IPA,Bolero Snort Brewery,331,325,1
Lucky Buck,Bolero Snort Brewery,332,326,1
Bomb Lager (New Recipe),Bomb Beer Company,333,327,1
Bomb Lager (Old Recipe),Bomb Beer Company,334,328,1
Firestarter India Pale Ale,Bonfire Brewing Company,335,329,2
Kilt Dropper Scotch Ale,Bonfire Brewing Company,336,330,1
Wood Splitter Pilsner,Bonfire Brewing Company,337,331,1
Gyptoberfest,Bonfire Brewing Company,338,332,1
Farmer Wirtz India Pale Ale,Bonfire Brewing Company,339,333,1
Slow & Steady Golden Ale,Bonfire Brewing Company,340,334,1
Pink-I Raspberry IPA,Bonfire Brewing Company,341,335,1
Moe's Original Bar B Que 'Bama Brew Golden Ale,Bonfire Brewing Company,342,336,1
Live Local Golden Ale,Bonfire Brewing Company,343,337,1
Screaming Eagle Special Ale ESB,Bonfire Brewing Company,344,338,1
Dirtbag Dunkel,Bonfire Brewing Company,345,339,1
Kindler Pale Ale,Bonfire Brewing Company,346,340,1
Mistress Winter Wheat,Bonfire Brewing Company,347,341,1
Tent Pole Vanilla Porter,Bonfire Brewing Company,348,342,1
Awry Rye Pale Ale,Bonfire Brewing Company,349,343,1
Demshitz Brown Ale,Bonfire Brewing Company,350,344,1
Wood Splitter Pilsner (2012),Bonfire Brewing Company,351,345,1
Brush Creek Blonde,Bonfire Brewing Company,352,346,1
Firestarter India Pale Ale,Bonfire Brewing Company,353,329,2
Noche Dulce,Borderlands Brewing Company,354,347,1
Porch Rocker,Boston Beer Company,355,348,1
Rebel IPA,Boston Beer Company,356,349,1
Cold Snap,Boston Beer Company,357,350,1
Samuel Adams Winter Lager,Boston Beer Company,358,351,1
Boston Lager,Boston Beer Company,359,352,3
Boston Lager,Boston Beer Company,360,352,3
Samuel Adams Octoberfest,Boston Beer Company,361,353,1
Samuel Adams Summer Ale,Boston Beer Company,362,354,1
Boston Lager,Boston Beer Company,363,352,3
Hazed & Infused,Boulder Beer Company,364,355,1
Hoopla Pale Ale,Boulder Beer Company,365,356,1
Hazed & Infused (2010),Boulder Beer Company,366,357,1
Heavy Lifting,Boulevard Brewing Company,367,358,1
1492,Boxcar Brewing Company,368,359,1
Mango Ginger,Boxcar Brewing Company,369,360,1
Passenger,Boxcar Brewing Company,370,361,1
Plum St. Porter,Bozeman Brewing Company,371,362,2
Plum St. Porter,Bozeman Brewing Company,372,362,2
Bozone HopZone IPA,Bozeman Brewing Company,373,363,1
Bozone Hefe Weizen,Bozeman Brewing Company,374,364,1
Bozone Select Amber Ale,Bozeman Brewing Company,375,365,1
Evil Owl,Branchline Brewing Company,376,366,1
Post Time Kölsch,Breakside Brewery,377,367,1
Agave Wheat,Breckenridge Brewery,378,368,1
SummerBright Ale,Breckenridge Brewery,379,369,1
Lucky U IPA,Breckenridge Brewery,380,370,1
Avalanche Ale,Breckenridge Brewery,381,371,1
"You're My Boy, Blue",Brew Bus Brewing,382,372,1
Last Stop IPA,Brew Bus Brewing,383,373,1
Rollin Dirty Red Ale,Brew Bus Brewing,384,374,1
Are Wheat There Yet?,Brew Bus Brewing,385,375,1
Insert Hop Reference,Brew Link Brewing,386,376,1
Manitou Amber,Brewery Terra Firma,387,377,1
Belfort,Brewery Vivant,388,378,1
Star Runner,Brewery Vivant,389,379,1
Tart Side of the Barrel,Brewery Vivant,390,380,1
Linnaeus Mango IPA,Brewery Vivant,391,381,1
Beasts A'Burnin',Brewery Vivant,392,382,1
Verdun,Brewery Vivant,393,383,1
Barrel Aged Triomphe,Brewery Vivant,394,384,1
Cherry Doppelbock,Brewery Vivant,395,385,1
Tropical Saison,Brewery Vivant,396,386,1
Beach Patrol,Brewery Vivant,397,387,1
Nuit Serpent,Brewery Vivant,398,388,1
Paris,Brewery Vivant,399,389,1
The Grand Army,Brewery Vivant,400,390,1
Acidulated Trip,Brewery Vivant,401,391,1
Root Stock,Brewery Vivant,402,392,1
Mind Games,Brewery Vivant,403,393,1
Sous Chef,Brewery Vivant,404,394,1
Dubbelicious,Brewery Vivant,405,395,1
Psychopomp,Brewery Vivant,406,396,1
Fat Paczki,Brewery Vivant,407,397,1
Earth-Like Planets,Brewery Vivant,408,398,1
Ski Patrol,Brewery Vivant,409,399,1
Viking Ice Hole,Brewery Vivant,410,400,1
Rye Porter,Brewery Vivant,411,401,1
Wizard Burial Ground,Brewery Vivant,412,402,1
Smoky Wheat,Brewery Vivant,413,403,1
BRIPA,Brewery Vivant,414,404,1
Mela,Brewery Vivant,415,405,1
W.I.P.A Snappa,Brewery Vivant,416,406,1
Pepper in the Rye,Brewery Vivant,417,407,1
Moe Lasses',Brewery Vivant,418,408,1
Pumpkin Tart,Brewery Vivant,419,409,1
Undertaker,Brewery Vivant,420,410,1
Undertaker (2014),Brewery Vivant,421,411,1
Coq D'Or,Brewery Vivant,422,412,1
North French,Brewery Vivant,423,413,1
Agent a Deux,Brewery Vivant,424,414,1
Belgian Wit,Brewery Vivant,425,415,1
Pothole Stout,Brewery Vivant,426,416,1
Tree Bucket,Brewery Vivant,427,417,1
Le Flaneur Ale,Brewery Vivant,428,418,1
Maize & Blueberry,Brewery Vivant,429,419,1
Trebuchet Double IPA,Brewery Vivant,430,420,1
Contemplation,Brewery Vivant,431,421,1
Black Rabbit,Brewery Vivant,432,422,1
Zaison,Brewery Vivant,433,423,1
Vivant Tripel,Brewery Vivant,434,424,1
Tart Side of the Moon,Brewery Vivant,435,425,1
Big Red Coq,Brewery Vivant,436,426,1
Hubris Quadrupel Anniversary Ale,Brewery Vivant,437,427,1
Plow Horse Belgian Style Imperial Stout,Brewery Vivant,438,428,1
Escoffier Bretta Ale,Brewery Vivant,439,429,1
Contemplation (2012),Brewery Vivant,440,430,1
Vivant Belgian Style Imperial Stout (2012),Brewery Vivant,441,431,1
Big Red Coq (2012),Brewery Vivant,442,432,1
Zaison (2012),Brewery Vivant,443,433,1
Vivant Tripel (2012),Brewery Vivant,444,434,1
Trebuchet Double IPA (2012),Brewery Vivant,445,435,1
Kludde,Brewery Vivant,446,436,1
Farm Hand,Brewery Vivant,447,437,1
Solitude,Brewery Vivant,448,438,1
Triomphe,Brewery Vivant,449,439,1
Tampa Pale Ale,Brindle Dog Brewing Company,450,440,1
Orange Grove Wheat Ale,Brindle Dog Brewing Company,451,441,1
Broad Brook Ale,Broad Brook Brewing LLC,452,442,1
Northern Lights Amber Ale,Broken Tooth Brewing Company,453,443,1
Polar Pale Ale,Broken Tooth Brewing Company,454,444,1
Chugach Session Ale,Broken Tooth Brewing Company,455,445,1
Fairweather IPA,Broken Tooth Brewing Company,456,446,1
East India Pale Ale,Brooklyn Brewery,457,447,2
Brooklyn Summer Ale,Brooklyn Brewery,458,448,1
East India Pale Ale,Brooklyn Brewery,459,447,2
Brooklyn Summer Ale (2011),Brooklyn Brewery,460,449,1
Brooklyn Lager (16 oz.),Brooklyn Brewery,461,450,1
Brooklyn Lager (12 oz.),Brooklyn Brewery,462,451,1
Tour de Nez Belgian IPA (Current),Buckbean Brewing Company,463,452,1
Roler Bock (Current),Buckbean Brewing Company,464,453,1
Black Adder IBA (Current),Buckbean Brewing Company,465,454,1
Very Noddy Lager (Current),Buckbean Brewing Company,466,455,1
Tule Duck Red Ale (Current),Buckbean Brewing Company,467,456,1
Original Orange Blossom Ale (Current),Buckbean Brewing Company,468,457,1
Black Noddy Lager (Current),Buckbean Brewing Company,469,458,1
Cleveland Beer Week 2013,Buckeye Brewing,470,459,1
Painted Turtle,BuckleDown Brewing,471,460,1
1836,Buffalo Bayou Brewing Company,472,461,1
Summer's Wit,Buffalo Bayou Brewing Company,473,462,1
More Cowbell,Buffalo Bayou Brewing Company,474,463,1
Wrath of Pele,Burn 'Em Brewing,475,464,1
Black Beer'd,Burn 'Em Brewing,476,465,1
Mr. Tea,Burn 'Em Brewing,477,466,1
Pale Alement,Burn 'Em Brewing,478,467,2
Hopkick Dropkick,Burn 'Em Brewing,479,468,1
Kreamed Corn,Burn 'Em Brewing,480,469,1
Coconoats,Burn 'Em Brewing,481,470,1
Joey Wheat,Burn 'Em Brewing,482,471,1
3:33 Black IPA,Burn 'Em Brewing,483,472,1
MCA,Burn 'Em Brewing,484,473,1
Pale Alement,Burn 'Em Brewing,485,467,2
Couch Select Lager,Burnside Brewing Co.,486,474,1
Mucho Aloha Hawaiian Pale Ale,Butcher's Brewing,487,475,1
Heinnieweisse Weissebier,Butternuts Beer and Ale,488,476,1
Snapperhead IPA,Butternuts Beer and Ale,489,477,1
Moo Thunder Stout,Butternuts Beer and Ale,490,478,1
Porkslap Pale Ale,Butternuts Beer and Ale,491,479,1
Blackbeard,COAST Brewing Company,492,480,1
Rye Knot,COAST Brewing Company,493,481,1
Dead Arm,COAST Brewing Company,494,482,1
32°/50° Kölsch,COAST Brewing Company,495,483,1
HopArt,COAST Brewing Company,496,484,1
Boy King,COAST Brewing Company,497,485,1
Gran Sport,COOP Ale Works,498,486,1
Horny Toad Cerveza,COOP Ale Works,499,487,1
Native Amber,COOP Ale Works,500,488,1
F5 IPA,COOP Ale Works,501,489,1
Native Amber (2013),COOP Ale Works,502,490,1
Horny Toad Cerveza (2013),COOP Ale Works,503,491,1
Hopportunity Knocks IPA,Caldera Brewing Company,504,492,1
Pilot Rock Porter,Caldera Brewing Company,505,493,1
Caldera Pale Ale,Caldera Brewing Company,506,494,1
Lawnmower Lager,Caldera Brewing Company,507,495,1
Ashland Amber Ale (2009),Caldera Brewing Company,508,496,1
Caldera IPA (2009),Caldera Brewing Company,509,497,1
