Year,Filming Locations,original_index,unique_index
2005,"Bowie High School - 4103 W. Slaughter Lane, Austin, Texas, USA",278,259
1974,"Monterey Village. Tucson, Arizona, USA",279,260
1997,"Ait Benhaddou, Morocco",280,261
1988,"Ait Benhaddou, Morocco",281,262
1999,"Manhattan, New York City, New York, USA",282,263
1982,"Paramount Building, 1633 Broadway, New York City, New York, USA",283,264
1977,"Ballroom, Park Plaza Hotel - 607 S. Park View Street, Los Angeles, California, USA",284,265
2007,"Austin, Texas, USA",285,266
1988,"Hôtel de Sully, Paris 4, Paris, France",286,267
1985,"128 Spring Street, Soho, Manhattan, New York City, New York, USA",287,268
1986,"380 South San Rafael Avenue, Pasadena, California, USA",288,269
2008,"White House - 1600 Pennsylvania Avenue NW, Washington, District of Columbia, USA",289,270
2008,"Sokolec, Czech Republic",290,271
2007,"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",291,272
1998,"Château de Pierrefonds, Pierrefonds, Oise, France",292,273
2006,"Beverly Center - 8500 Beverly Blvd., Los Angeles, California, USA",293,274
2007,"Austin, Texas, USA",294,266
2005,"Austin, Texas, USA",295,275
1999,"Blue Bell, Pennsylvania, USA",296,276
1991,"Alnwick Castle, Alnwick, Northumberland, England, UK",297,277
2002,"North Carolina, USA",298,278
2009,"1930 Rodney Drive, Los Angeles, California, USA",299,279
2008,"Broadway, Manhattan, New York City, New York, USA",300,280
2007,"Church Street Station - 129 W. Church Street, Orlando, Florida, USA",301,281
2009,"Brophy Elementary School, Framingham, Massachusetts, USA",302,282
2010,"The Original Los Angeles Flower Market - 754 Wall St, Los Angeles, California, USA",303,283
2008,"New York City, New York, USA",304,284
1959,"Coronado Beach, Coronado, California, USA",305,285
1952,"Grauman's Chinese Theater - 6925 Hollywood Blvd., Hollywood, Los Angeles, California, USA",306,286
1995,"72nd Street, Broadway, Manhattan, New York City, New York, USA",307,287
2013,Hungary,308,288
2009,Arctic,309,289
2007,"Cesar E Chavez Avenue Viaduct, Downtown, Los Angeles, California, USA",310,290
2007 2008 2009,"Palmdale Regional Airport, Palmdale, California, USA",311,291
2014,"Los Angeles, California, USA",312,41
2014,"Ironhead Studio, Los Angeles, California, USA",313,292
2016,"Albuquerque, New Mexico, USA",314,293
2000,"Central Park, Manhattan, New York City, New York, USA",315,294
2015,"Baton Rouge, Louisiana, USA",316,295
2004,"Chicago, Illinois, USA",317,296
1984,"Atlantic Beach, North Carolina, USA",318,297
1982,"Los Angeles, California, USA",319,298
1980,"Montréal, Québec, Canada",320,299
1984,"Oyster Bay, Long Island, New York, USA",321,300
1982,"Boston, Massachusetts, USA",322,301
1992,"Hotaling Cafe - 60 Hotaling Pl, San Francisco, California, USA",323,302
2008,"Carolina Beach, North Carolina, USA",324,303
1987,"Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",325,304
1992,"The Ebell of Los Angeles - 743 South Lucerne Bouelvard, Los Angeles, California, USA",326,305
1996,"Beaufort, South Carolina, USA",327,306
2003,"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",328,307
1997,"Beaufort, South Carolina, USA",329,308
1985,"Agnes Scott College - 141 E. College Avenue, Decatur, Georgia, USA",330,309
1991,"Bakersfield, California, USA",331,310
1987,"Forest Hills, Queens, New York City, New York, USA",332,311
1996,"Harriman State Park, Bear Mountain, New York, USA",333,312
1996,"Holmesburg Prison - 8215 Torresdale Avenue, Philadelphia, Pennsylvania, USA",334,313
2006,"Chesapeake Bay Bridge, Chesapeake Bay, Maryland, USA",335,314
2001,"Agoura Hills, California, USA",336,315
2011,"Oxford, Ohio, USA",337,316
2013,Bahamas,338,317
2005,,339,318
1987,"2421 S Figueroa St, Los Angeles, California, USA",340,319
1997,"Wilmington, North Carolina, USA",341,320
1995,"London, England, UK",342,321
1997,"Osgoode Hall, Toronto, Ontario, Canada",343,322
2001,"Rose Center for Earth & Space - 200 Central Park West, Manhattan, New York City, New York, USA",344,323
2010,China,345,324
2014,"New York City, New York, USA",346,325
2013,"Stone Mountain - Highway 78, Stone Mountain, Georgia, USA",347,326
2012,"Glenville, New York, USA",348,327
2012,"Woodbury, Georgia USA",349,328
2011 2012 2013,"Reidsville, North Carolina, USA",350,329
2005,"Annapolis, Maryland, USA",351,330
2011,"Statue of Liberty, Liberty Island, New York Harbor, New York City, New York, USA",352,331
2009,"Blue Mound, Illinois, USA",353,332
2011,"Taylor Street, San Francisco, California, USA",354,333
2010,"Alexandra Palace, Alexandra Palace Way, Muswell Hill, London, England, UK",355,334
2009,South Africa,356,335
2005,"Continuum At South Beach - 100 South Pointe Drive, Miami Beach, Florida, USA",357,336
2009,"Los Angeles, California, USA",358,11
2006,"Los Angeles, California, USA",359,337
2009,"Centennial College, Toronto, Ontario, Canada",360,338
2003,"Four Aces - 14499 E. Avenue Q, Palmdale, California, USA",361,339
2000,"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",362,340
1981,"Greenmount Avenue at 33rd Street, Baltimore, Maryland, USA",363,341
1958,"Hopfenohe, Grafenwöhr, Bavaria, Germany",364,342
2015,"Foxborough, Massachusetts, USA",365,343
1954,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",366,344
1955,"Circle Drive, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",367,345
1953,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",368,346
1956,"Apple Valley Inn - Apple Valley Inn Road, Apple Valley, California, USA",369,347
1957,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",370,348
1959,"Aquarius Theater - 6230 Sunset Blvd., Hollywood, Los Angeles, California, USA",371,349
1952,"Colonial Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",372,350
1956,"Beverly Hilton Hotel - 9876 Wilshire Blvd., Beverly Hills, California, USA",373,351
1953,"Circle Drive, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",374,352
1981,"Delray Beach, Florida, USA",375,353
1989,"Bahia, Brazil",376,354
1997,"Paris, France",377,355
1996,"Culver City, California, USA",378,356
1997,"209 Short Street, Southport, North Carolina, USA",379,357
1998 1999 2000,"5th Avenue, Manhattan, New York City, New York, USA",380,358
2005,"Fort Lauderdale, Florida, USA",381,359
1996,"3871 Tomales Road, Tomales, California, USA",382,360
2009,,383,126
2014,"Los Angeles, California, USA",384,41
2012,,385,47
2014,"New Orleans, Louisiana, USA",386,361
1994,"Cookeville, Tennessee, USA",387,362
2014,"Agua Dulce Movie Ranch - 34855 Petersen Road, Agua Dulce, California, USA",388,363
2006,"Lompoc, California, USA",389,364
2015,"New York City, New York, USA",390,365
1996,"Allegheny County, Pennsylvania, USA",391,366
1989,"Sevilla, Andalucía, Spain",392,367
2015,,393,49
1987,"3324 N. Christmas Avenue, Tucson, Arizona, USA",394,368
1991,"1152 S Wabash Ave, Chicago, Illinois, USA",395,369
1988,"Austin, Texas, USA",396,370
1986,"1382 Waverly Rd., Highland Park, Illinois, USA",397,371
1988,"340 N. Faring Rd. Los Angeles, California",398,372
1987,"Koi, former L'Ermitage Restaurant - 730 North La Cienega Boulevard, Los Angeles, California, USA",399,373
1988,"Yosemite National Park, California, USA",400,374
1985,"Black Lagoon, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",401,375
1987,"391 Filbert Street - San Francisco, California, USA",402,376
1991,"California, USA",403,377
1987,"Boscov's Camp Hill - 170 South 32nd Street, Camp Hill, Pennsylvania, USA",404,378
2013,"Syracuse, New York, USA",405,379
2014,"Manhattan, New York City, New York, USA",406,380
2007,"California State University Northridge - 18111 Nordhoff Street, Northridge, Los Angeles, California, USA",407,381
2009,"One Park Place B5, Atlanta, Georgia, USA",408,382
2011,"Rio Grande Gorge Bridge, Taos, New Mexico, USA",409,383
2008,"Santa Clarita, California, USA",410,384
2010,"9 Broadway, Manhattan, New York City, New York, USA",411,385
2012,"Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",412,386
2008,"Santa Clarita, California, USA",413,384
1998,"Baltimore, Maryland, USA",414,387
1997,"1004 Highland Street, South Pasadena, California, USA",415,388
1999,"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",416,389
2002,"4160 Country Club Drive, Long Beach, California, USA",417,390
2001,Czech Republic,418,391
1998,"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",419,392
2011,"San Juan, Puerto Rico",420,393
2013,"Fore River Ship Yard, Quincy, Massachusetts, USA",421,394
2013,"Sächsische Schweiz, Saxony, Germany",422,395
2012,"Figueroa Hotel - 939 S. Figueroa Street, Downtown, Los Angeles, California, USA",423,396
2011,"Abiquiu, New Mexico, USA",424,397
2005,"Cook Bank Building, Rhyolite, Nevada, USA",425,398
2005 2006 2007,"Castle Green Apartments - 99 S. Raymond, Pasadena, California, USA",426,399
2002,"Ajax, Ontario, Canada",427,400
1975,"New York, USA",428,401
2009,"Chatham Historic Dockyard, Chatham, Kent, England, UK",429,402
2012,"Bronx, New York City, New York, USA",430,403
1955,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",431,404
1959,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",432,405
1954,"George Air Force Base, Victorville, California, USA",433,406
1929,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",434,407
1932,"RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",435,408
1991,"Bald Head Island, North Carolina, USA",436,409
1995,"Carson City, Nevada, USA",437,410
2011,"Santa Monica, California, USA",438,411
1954,"Guadalupe Canyon, Arizona, USA",439,412
1929,"Lone Pine, California, USA",440,413
1937,"Santa Clarita, California, USA",441,414
1933,"Hal Roach Studios - 8822 Washington Blvd., Culver City, California, USA",442,415
2008,"Huelva, Andalucía, Spain",443,416
1930,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",444,417
1929,,445,418
1932,"Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",446,419
1933,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",447,93
1936,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",448,420
1937,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",449,421
1941,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",450,422
1966,"Rome, Italy",451,423
1969,"Banning, California, USA",452,424
1966,"Bay St. Louis, Mississippi, USA",453,425
1967,"111 Waverly Place, Greenwich Village, Manhattan, New York City, New York, USA",454,426
1968,"190 Riverside Drive, Manhattan, New York City, New York, USA",455,427
1998,"Los Angeles, California, USA",456,428
2016,,457,429
1934,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",458,430
2005,"Sable Ranch - 25933 Sand Canyon Road, Santa Clarita, California, USA",459,431
2009,USA,460,24
1992,USA,461,432
1944,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",462,433
1973,"Madison, New Jersey, USA",463,434
1978,"Hop Kiln Winery, Sonoma, California, USA",464,435
2001,"Echo Park, Los Angeles, California, USA",465,436
2001,"387 South Main Street, Los Angeles, California, USA",466,437
1949,"Hollywood, California, USA",467,438
1987,"Downtown, Los Angeles, California, USA",468,439
2008,"Los Angeles, California, USA",469,178
2013,"Los Angeles, California, USA",470,175
2013,"Los Angeles, California, USA",471,175
2004,"Jersey City, New Jersey, USA",472,440
1975,"Arizona, USA",473,441
1987,"Goshen, Connecticut, USA",474,442
1986,"California, USA",475,30
1988,"Bremen, Georgia, USA",476,443
2015,"13780 Rayen Street - Arleta, California, USA",477,444
2013,"Los Angeles, California, USA",478,175
2013,,479,45
2015,"San Francisco, California, USA",480,445
2006,"Beijing Film Studio, Beijing, China",481,446
1988,"Lake Mead, Nevada, USA",482,447
1989,"Bedford-Stuyvesant, Brooklyn, New York City, New York, USA",483,448
1995,"88th Precinct - 298 Classon Avenue, Fort Greene, Brooklyn, New York City, New York, USA",484,449
1999,"California, USA",485,450
1942,"Owens Lake, California, USA",486,451
1966,"Hotel d'Angleterre, Copenhagen, Denmark",487,452
2012,,488,47
2015,"Shreveport, Louisiana, USA",489,453
2015,"Louisiana, USA",490,454
2015,"Atlanta, Georgia, USA",491,455
2015,"North Carolina, USA",492,107
2015,"Charlotte, North Carolina, USA",493,456
2015,"Ossining, New York, USA",494,457
2014 2015 2016,"Louisiana, USA",495,458
1951,"California, USA",496,459
2015,"Michigan, USA",497,460
2015,"Cincinnati, Ohio, USA",498,461
