zip   ,original_index,unique_index
36330 ,978,69
36330 ,979,69
35121 ,980,70
35121 ,981,70
35121 ,982,70
35121 ,983,70
35121 ,984,70
35121 ,985,70
35121 ,986,70
35121 ,987,70
35121 ,988,70
35121 ,989,70
35121 ,990,70
35121 ,991,70
35121 ,992,70
35121 ,993,70
35121 ,994,70
35121 ,995,70
35121 ,996,70
35121 ,997,70
35121 ,998,70
35121 ,999,70
