Name,Director,original_index,unique_index
Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,55,55
Fantastic Mr. Fox,Wes Anderson,56,56
The Perfect Guy,David M. Rosenthal,57,57
Immortals,"Tarsem Singh,Tarsem Singh Dhandwar",58,58
Hidden,"Matt Duffer,Ross Duffer",59,59
American Ultra,Nima Nourizadeh,60,60
Gremlins 2: The New Batch,Joe Dante,61,61
Poltergeist,Tobe Hooper,62,62
Scrooged,Richard Donner,63,63
Catwoman,Pitof,64,64
Final Justice,Greydon Clark,65,65
Anne B. Real,Lisa France,66,66
Sounder,Martin Ritt,67,67
Captains Courageous,Victor Fleming,68,68
Dangerous,Alfred E. Green,69,69
Old Acquaintance,Vincent Sherman,70,70
Junior,Ivan Reitman,71,71
Where Love Has Gone,Edward Dmytryk,72,72
Three Who Loved,George Archainbaud,73,73
The Unknown Man,Richard Thorpe,74,74
The Roadhouse Murder,J. Walter Ruben,75,75
Meet the Baron,Walter Lang,76,76
Buck Privates,Arthur Lubin,77,77
Here Come the Co-eds,Jean Yarbrough,78,78
Abbott and Costello Meet the Keystone Kops,Charles Lamont,79,79
Uncle Tom's Cabin,Harry A. Pollard,80,80
Kings of the Sun,J. Lee Thompson,81,81
Flight from Ashiya,Michael Anderson,82,82
Sphinx,Franklin J. Schaffner,83,83
The Bostonians,James Ivory,84,84
Absence of Malice,Sydney Pollack,85,85
Hud,Martin Ritt,86,86
Sullivan's Travels,Preston Sturges,87,87
North West Mounted Police,Cecil B. DeMille,88,88
Virginia City,Michael Curtiz,89,89
Stanley and Livingstone,"Henry King,Otto Brower",90,90
Pocketful of Miracles,Frank Capra,91,91
Mr. Deeds Goes to Town,Frank Capra,92,92
Platinum Blonde,Frank Capra,93,93
The Miracle Woman,Frank Capra,94,94
Shopworn,Nick Grinde,95,95
Baby Face,Alfred E. Green,96,96
Three on a Match,Mervyn LeRoy,97,97
Midnight Mary,William A. Wellman,98,98
Heroes for Sale,William A. Wellman,99,99
The Kennel Murder Case,Michael Curtiz,100,100
Another Thin Man,W.S. Van Dyke,101,101
Love Crazy,Jack Conway,102,102
Evelyn Prentice,William K. Howard,103,103
Shadow of the Thin Man,W.S. Van Dyke,104,104
The Apple,Menahem Golan,105,105
The Nut Job 2,Cal Brunker,106,106
Lethal Weapon 2,Richard Donner,107,107
The Limey,Steven Soderbergh,108,108
The Last Seduction,John Dahl,109,109
Miller's Crossing,"Joel Coen,Ethan Coen",110,110
Flubber,Les Mayfield,111,111
"Now, Voyager",Irving Rapper,112,112
Anatomy of a Murder,Otto Preminger,113,113
War Room,Alex Kendrick,114,114
Highlander: Endgame,Douglas Aarniokoski,115,115
The Grapes of Wrath,John Ford,116,116
Ben-Hur,William Wyler,117,117
Planet of the Apes,Franklin J. Schaffner,118,118
The Omega Man,Boris Sagal,119,119
Silent Running,Douglas Trumbull,120,120
WarGames,John Badham,121,121
Evil Dead,Fede Alvarez,122,122
Saw III,Darren Lynn Bousman,123,123
Final Destination 3,James Wong,124,124
The Final Destination,David R. Ellis,125,125
Return of the Living Dead II,Ken Wiederhorn,126,126
Night of the Creeps,Fred Dekker,127,127
From Beyond,Stuart Gordon,128,128
Absentia,Mike Flanagan,129,129
The Dark Knight Rises,Christopher Nolan,130,130
Dune,David Lynch,131,131
Battle Los Angeles,Jonathan Liebesman,132,132
American Fetish,Michael Simmons,133,133
Osmosis Jones,"Bobby Farrelly,Peter Farrelly",134,134
Clash of the Titans,Desmond Davis,135,135
The Vampire Lovers,Roy Ward Baker,136,136
The Mummy,Terence Fisher,137,137
Dracula,Tod Browning,138,138
King Kong,"Merian C. Cooper,Ernest B. Schoedsack",139,139
Super Size Me,Morgan Spurlock,140,140
Alice in Wonderland,Tim Burton,141,141
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,142,142
Shrek,"Andrew Adamson,Vicky Jenson",143,143
The Lion King,"Roger Allers,Rob Minkoff",144,144
Beauty and the Beast,"Gary Trousdale,Kirk Wise",145,145
Tarzan,"Chris Buck,Kevin Lima",146,146
The Emperor's New Groove,Mark Dindal,147,147
Brother Bear,"Aaron Blaise,Robert Walker",148,148
The Road to El Dorado,"Bibo Bergeron,Don Paul",149,149
Shark Tale,"Bibo Bergeron,Vicky Jenson",150,150
Happy Feet,"George Miller,Warren Coleman",151,151
Rango,Gore Verbinski,152,152
Cloudy with a Chance of Meatballs,"Phil Lord,Christopher Miller",153,153
Madagascar: Escape 2 Africa,"Eric Darnell,Tom McGrath",154,154
West Side Story,"Jerome Robbins,Robert Wise",155,155
An Unmarried Woman,Paul Mazursky,156,156
Starting Over,Alan J. Pakula,157,157
Semi-Tough,Michael Ritchie,158,158
The Longest Yard,Robert Aldrich,159,159
Heaven Can Wait,"Warren Beatty,Buck Henry",160,160
Bugsy,Barry Levinson,161,161
Hoffa,Danny DeVito,162,162
The Pledge,Sean Penn,163,163
Father of the Bride Part II,Charles Shyer,164,164
L.A. Story,Mick Jackson,165,165
The Lonely Guy,Arthur Hiller,166,166
Pennies from Heaven,Herbert Ross,167,167
Pennies From Heaven,"Norman McLeod,Norman Z. McLeod",168,168
The Spoilers,Ray Enright,169,169
Allegheny Uprising,William A. Seiter,170,170
Blood Alley,"William A. Wellman,John Wayne",171,171
The Fighting Seabees,Edward Ludwig,172,172
They Were Expendable,"John Ford,Robert Montgomery",173,173
Fort Apache,John Ford,174,174
The Shootist,Don Siegel,175,175
The Sons of Katie Elder,Henry Hathaway,176,176
North to Alaska,Henry Hathaway,177,177
Donovan's Reef,John Ford,178,178
Hatari!,Howard Hawks,179,179
The Way Back,Peter Weir,180,180
Loving Annabelle,Katherine Brooks,181,181
The Incredibly True Adventure of Two Girls in Love,Maria Maggenti,182,182
The Borrowers,"Peter Hewitt (I),Peter Hewitt",183,183
A Walk in the Woods,Ken Kwapis,184,184
Interior. Leather Bar.,"James Franco,Travis Mathews",185,185
Who's That Girl,James Foley,186,186
Desperately Seeking Susan,Susan Seidelman,187,187
Hollywood Mouth,Jordan Mohr,188,188
Some Came Running,Vincente Minnelli,189,189
RocknRolla,Guy Ritchie,190,190
Vulgar,Bryan Johnson,191,191
Jay and Silent Bob's Super Groovy Cartoon Movie,Steve Stark,192,192
Jay and Silent Bob Strike Back,Kevin Smith,193,193
Jersey Girl,Kevin Smith,194,194
Cop Out,Kevin Smith,195,195
Vegasland,"Kenneth Kit Lamug,Thomas J. Vosicky",196,196
Naomi and Ely's No Kiss List,Kristin Hanggi,197,197
Battle Creek Brawl,Robert Clouse,198,198
Bad Boys,Rick Rosenthal,199,199
All the Right Moves,Michael Chapman,200,200
Far and Away,Ron Howard,201,201
The Lost Boys,Joel Schumacher,202,202
Sleeping with the Enemy,Joseph Ruben,203,203
Eat Pray Love,Ryan Murphy,204,204
Larry Crowne,Tom Hanks,205,205
Duplicity,Tony Gilroy,206,206
The International,Tom Tykwer,207,207
Inside Man,Spike Lee,208,208
The Outfit,John Flynn,209,209
Charley Varrick,Don Siegel,210,210
Hopscotch,Ronald Neame,211,211
Man on Fire,Tony Scott,212,212
Across 110th Street,Barry Shear,213,213
Unstoppable,Tony Scott,214,214
Prisoners,Denis Villeneuve,215,215
Pi,Darren Aronofsky,216,216
Trainwreck,Judd Apatow,217,217
Monte Walsh,William A. Fraker,218,218
Bring Me the Head of Alfredo Garcia,Sam Peckinpah,219,219
Cockfighter,Monte Hellman,220,220
Girl on the Run,"Arthur J. Beckhard,Joseph Lee",221,221
Soldier in the Rain,Ralph Nelson,222,222
The Cincinnati Kid,Norman Jewison,223,223
Le Mans,Lee H. Katzin,224,224
Grand Prix,John Frankenheimer,225,225
The Train,"John Frankenheimer,Arthur Penn",226,226
The Young Savages,John Frankenheimer,227,227
The Scalphunters,Sydney Pollack,228,228
Ulzana's Raid,Robert Aldrich,229,229
Hangman's Knot,Roy Huggins,230,230
Thunder Over the Plains,André De Toth,231,231
The Valley of Decision,Tay Garnett,232,232
Mommie Dearest,Frank Perry,233,233
Strait-Jacket,William Castle,234,234
The Power of the Press,Frank Capra,235,235
The Mating Call,James Cruze,236,236
Infinitely Polar Bear,Maya Forbes,237,237
Fantastic Four,Josh Trank,238,238
Ivansxtc,Bernard Rose,239,239
Spanking the Monkey,David O. Russell,240,240
The Town,Ben Affleck,241,241
The Heartbreak Kid,"Bobby Farrelly,Peter Farrelly",242,242
Eastern Promises,David Cronenberg,243,243
Signs,M. Night Shyamalan,244,244
Out of Sight,Steven Soderbergh,245,245
Maverick,Richard Donner,246,246
127 Hours,Danny Boyle,247,247
Inside Moves,Richard Donner,248,248
Stuck on You,"Bobby Farrelly,Peter Farrelly",249,249
The Talented Mr. Ripley,Anthony Minghella,250,250
Nine,Rob Marshall,251,251
The Blood of Fu Manchu,Jesús Franco,252,252
Drums of Fu Manchu,"John English,William Witney",253,253
Radar Men from the Moon,Fred C. Brannon,254,254
The Amazing Transparent Man,Edgar G. Ulmer,255,255
Escape Plan,Mikael Håfström,256,256
Rambo,Sylvester Stallone,257,257
First Blood,Ted Kotcheff,258,258
Cop Land,James Mangold,259,259
Little Women,Gillian Armstrong,260,260
God the Father,Simon Fellows,261,261
The Unbearable Lightness of Being,Philip Kaufman,262,262
Zero Dark Thirty,Kathryn Bigelow,263,263
The Labyrinth,"John Berardo,Jessica Kaye",264,264
L.A. Slasher,Martin Owen,265,265
Horse Crazy,Eric Hendershot,266,266
Les Misérables,Tom Hooper,267,267
Cloverfield,Matt Reeves,268,268
Stars and Bars,Pat O'Connor,269,269
The Last of the Mohicans,"Clarence Brown,Maurice Tourneur",270,270
Trader Horn,W.S. Van Dyke,271,271
The Last of the Mohicans,George B. Seitz,272,272
Bloodsucking Bastards,Brian James O'Connell,273,273
Brother Orchid,Lloyd Bacon,274,274
Leatherstocking,George B. Seitz,275,275
Last of the Redmen,George Sherman,276,276
Last Shift,Anthony DiBlasi,277,277
The Quiet,Jamie Babbit,278,278
Alice Doesn't Live Here Anymore,Martin Scorsese,279,279
Kundun,Martin Scorsese,280,280
The Last Temptation of Christ,Martin Scorsese,281,281
Bringing Out the Dead,Martin Scorsese,282,282
The King of Comedy,Martin Scorsese,283,283
"New York, New York",Martin Scorsese,284,284
In Search of a Midnight Kiss,Alex Holdridge,285,285
Dangerous Liaisons,Stephen Frears,286,286
After Hours,Martin Scorsese,287,287
Stand by Me,Rob Reiner,288,288
Body of Lies,Ridley Scott,289,289
Wanted,Timur Bekmambetov,290,290
Beowulf,Robert Zemeckis,291,291
The Man in the Iron Mask,Randall Wallace,292,292
The TV Set,Jake Kasdan,293,293
Death Proof,Quentin Tarantino,294,294
Sin City,"Frank Miller,Robert Rodriguez",295,295
The Sixth Sense,M. Night Shyamalan,296,296
Robin Hood: Prince of Thieves,Kevin Reynolds,297,297
A Walk to Remember,Adam Shankman,298,298
The Ugly Truth,Robert Luketic,299,299
27 Dresses,Anne Fletcher,300,300
Sydney White,Joe Nussbaum,301,301
Ghosts of Girlfriends Past,Mark Waters,302,302
Valentine's Day,Garry Marshall,303,303
"Definitely, Maybe",Adam Brooks,304,304
Some Like It Hot,Billy Wilder,305,305
Singin' in the Rain,"Stanley Donen,Gene Kelly",306,306
Die Hard: With a Vengeance,John McTiernan,307,307
A Good Day to Die Hard,John Moore,308,308
G.I. Joe: The Rise of Cobra,Stephen Sommers,309,309
Transformers,Michael Bay,310,310
Iron Man,Jon Favreau,311,311
Captain America: The Winter Soldier,"Anthony Russo,Joe Russo",312,312
The Amazing Spider-Man 2,Marc Webb,313,313
Independence Day: Resurgence,Roland Emmerich,314,314
Autumn in New York,Joan Chen,315,315
June,L. Gustavo Cooper,316,316
Shall We Dance,Peter Chelsom,317,317
The Mutilator,"Buddy Cooper,John Douglass",318,318
The Dorm That Dripped Blood,"Stephen Carpenter,Jeffrey Obrow",319,319
Terror Train,Roger Spottiswoode,320,320
"Silent Night, Deadly Night",Charles E. Sellier Jr.,321,321
Pieces,Juan Piquer Simón,322,322
Final Analysis,Phil Joanou,323,323
Nights in Rodanthe,George C. Wolfe,324,324
Throw Momma from the Train,Danny DeVito,325,325
Death Becomes Her,Robert Zemeckis,326,326
White Squall,Ridley Scott,327,327
Los Angeles Plays Itself,Thom Andersen,328,328
G.I. Jane,Ridley Scott,329,329
Legend,Ridley Scott,330,330
Thelma & Louise,Ridley Scott,331,331
Someone to Watch Over Me,Ridley Scott,332,332
The Juror,Brian Gibson,333,333
Up Close & Personal,Jon Avnet,334,334
The Sentinel,Clark Johnson,335,335
One Night at McCool's,Harald Zwart,336,336
The Ides of March,George Clooney,337,337
All Is Lost,J.C. Chandor,338,338
Enron: The Smartest Guys in the Room,Alex Gibney,339,339
House II: The Second Story,Ethan Wiley,340,340
The Night Flier,Mark Pavia,341,341
The Mangler,Tobe Hooper,342,342
Mimic,Guillermo del Toro,343,343
K-PAX,Iain Softley,344,344
Inside Job,Charles Ferguson,345,345
A Most Violent Year,J.C. Chandor,346,346
Killing Season,Mark Steven Johnson,347,347
The Place Beyond the Pines,Derek Cianfrance,348,348
Lawless,John Hillcoat,349,349
Hick,Derick Martini,350,350
Syriana,Stephen Gaghan,351,351
The Adjustment Bureau,George Nolfi,352,352
The Informant!,Steven Soderbergh,353,353
Contagion,Steven Soderbergh,354,354
Hereafter,Clint Eastwood,355,355
Invictus,Clint Eastwood,356,356
Red Eye,Wes Craven,357,357
Scream of the Bikini,Kiff Scholl,358,358
Mad Cowgirl,Gregory Hatanaka,359,359
Orphan,Jaume Collet-Serra,360,360
Identity,James Mangold,361,361
Pay It Forward,Mimi Leder,362,362
Polyester,John Waters,363,363
A Time to Love and a Time to Die,Douglas Sirk,364,364
The Sea of Trees,Gus Van Sant,365,365
Magnificent Obsession,Douglas Sirk,366,366
All That Heaven Allows,Douglas Sirk,367,367
The Band Wagon,Vincente Minnelli,368,368
There's Always Tomorrow,Douglas Sirk,369,369
The Tarnished Angels,Douglas Sirk,370,370
Imitation of Life,Douglas Sirk,371,371
Has Anybody Seen My Gal,Douglas Sirk,372,372
Bigger Than Life,Nicholas Ray,373,373
All I Desire,Douglas Sirk,374,374
Body Heat,Lawrence Kasdan,375,375
Wild Orchid,Zalman King,376,376
Another Nine & a Half Weeks,Anne Goursaud,377,377
The Craft,Andrew Fleming,378,378
I Know What You Did Last Summer,Jim Gillespie,379,379
Cruel Intentions,Roger Kumble,380,380
Wild Things: Diamonds in the Rough,Jay Lowi,381,381
Scream,Wes Craven,382,382
Fallen Angel: The Outlaw Larry Norman,David Di Sabatino,383,383
Wheels,"Tim Gagliardo,Donavon Warren",384,384
Jack London's Love of Life,Kevin Swigert,385,385
The Lookalike,Richard Gray,386,386
The Specialist,Luis Llosa,387,387
3 Nights in the Desert,Gabriel Cowan,388,388
Amateur Porn Star Killer,Shane Ryan,389,389
Laugh Killer Laugh,Kamal Ahmed,390,390
Diabolique,Jeremiah S. Chechik,391,391
Sangre y arena,Javier Elorrieta,392,392
Tab Hunter Confidential,Jeffrey Schwarz,393,393
Can't Buy Me Love,Steve Rash,394,394
Only the Lonely,Chris Columbus,395,395
Heartbreak Hotel,Chris Columbus,396,396
Lucas,David Seltzer,397,397
License to Drive,Greg Beeman,398,398
Some Kind of Wonderful,Howard Deutch,399,399
The Great Outdoors,Howard Deutch,400,400
Weird Science,John Hughes,401,401
Innerspace,Joe Dante,402,402
Don't Tell Mom the Babysitter's Dead,Stephen Herek,403,403
Mannequin,Michael Gottlieb,404,404
Adult World,Scott Coffey,405,405
That Awkward Moment,Tom Gormican,406,406
Superbad,Greg Mottola,407,407
Zombieland,Ruben Fleischer,408,408
Paul,Greg Mottola,409,409
Tropic Thunder,Ben Stiller,410,410
The Other Guys,Adam McKay,411,411
The Campaign,Jay Roach,412,412
Semi-Pro,Kent Alterman,413,413
There's Something About Mary,"Bobby Farrelly,Peter Farrelly",414,414
Liar Liar,Tom Shadyac,415,415
Man on the Moon,Milos Forman,416,416
Red Dragon,Brett Ratner,417,417
From Hell,"Albert Hughes,Allen Hughes",418,418
Fear and Loathing in Las Vegas,Terry Gilliam,419,419
The Rum Diary,Bruce Robinson,420,420
R.I.P.D.,Robert Schwentke,421,421
Hansel & Gretel: Witch Hunters,Tommy Wirkola,422,422
Battleship,Peter Berg,423,423
Cowboys & Aliens,Jon Favreau,424,424
The Island,Michael Bay,425,425
Déjà Vu,Tony Scott,426,426
John Q,Nick Cassavetes,427,427
Dog Day Afternoon,Sidney Lumet,428,428
Sherlock Holmes,Guy Ritchie,429,429
Men in Black 3,Barry Sonnenfeld,430,430
This Island Earth,Joseph M. Newman,431,431
Invisible Invaders,Edward L. Cahn,432,432
Gog,Herbert L. Strock,433,433
The Mysterious Island,"Lucien Hubbard,Benjamin Christensen",434,434
White Zombie,Victor Halperin,435,435
The Butcher's Wife,Terry Hughes,436,436
Showgirls,Paul Verhoeven,437,437
Revolutions,Joseph G. Quinn,438,438
Black Horse Canyon,Jesse Hibbs,439,439
The Virginian,Victor Fleming,440,440
Way Out West,James W. Horne,441,441
Sons of the Desert,William A. Seiter,442,442
Che: Part Two,Steven Soderbergh,443,443
The Rogue Song,"Lionel Barrymore,Hal Roach",444,444
The Valiant,William K. Howard,445,445
I Am a Fugitive from a Chain Gang,Mervyn LeRoy,446,446
Gold Diggers of 1933,Mervyn LeRoy,447,447
Gold Diggers of 1937,Lloyd Bacon,448,448
Varsity Show,William Keighley,449,449
It Started with Eve,Henry Koster,450,450
A Man Could Get Killed,"Ronald Neame,Cliff Owen",451,451
Tell Them Willie Boy Is Here,Abraham Polonsky,452,452
This Property Is Condemned,Sydney Pollack,453,453
Barefoot in the Park,Gene Saks,454,454
The Odd Couple,Gene Saks,455,455
The Odd Couple II,Howard Deutch,456,456
In Dubious Battle,James Franco,457,457
Little Miss Marker,Alexander Hall,458,458
Che Guevara,Josh Evans,459,459
The Girlfriend Experience,Steven Soderbergh,460,460
Malcolm X,Spike Lee,461,461
I'll Be Seeing You,"William Dieterle,George Cukor",462,462
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,Fielder Cook,463,463
The Magic of Lassie,Don Chaffey,464,464
I Am Sam,Jessie Nelson,465,465
Mulholland Dr.,David Lynch,466,466
Challenge to Lassie,Richard Thorpe,467,467
Creepozoids,David DeCoteau,468,468
Gingerdead Man 2: Passion of the Crust,Silvia St. Croix,469,469
Gingerdead Man Vs. Evil Bong,Charles Band,470,470
Nazithon: Decadence and Destruction,Charles Band,471,471
She Hate Me,Spike Lee,472,472
Supervixens,Russ Meyer,473,473
Psychos in Love,Gorman Bechard,474,474
Sorority House Massacre,Carol Frank,475,475
Sleepaway Camp II: Unhappy Campers,Michael A. Simpson,476,476
Caesar and Otto's Paranormal Halloween,Dave Campfield,477,477
Fat Planet,Dennis Devine,478,478
Lizzie Borden's Revenge,Dennis Devine,479,479
The G-string Horror: Demon Cut,Charles Webb,480,480
The Painted Veil,John Curran,481,481
The Arrogant,Philippe Blot,482,482
Do the Right Thing,Spike Lee,483,483
Clockers,Spike Lee,484,484
Being John Malkovich,Spike Jonze,485,485
Saboteur,Alfred Hitchcock,486,486
Torn Curtain,Alfred Hitchcock,487,487
Castro in Winter,Oliver Stone,488,488
Dark Places,Gilles Paquet-Brenner,489,489
Self/less,Tarsem Singh,490,490
Vacation,"John Francis Daley,Jonathan M. Goldstein",491,491
Paper Towns,Jake Schreier,492,492
Ashby,Tony McNamara,493,493
"10,000 Saints","Shari Springer Berman,Robert Pulcini",494,494
Zipper,"Rachel Davis,Mora Stephens",495,495
The Painted Hills,Harold F. Kress,496,496
Beyond the Mask,Chad Burns,497,497
Chain of Command,Kevin Carraway,498,498
War Pigs,Ryan Little,499,499
The Diary of a Teenage Girl,Marielle Heller,500,500
Hearts of Darkness: A Filmmaker's Apocalypse,"Fax Bahr,George Hickenlooper",501,501
Scream 4,Wes Craven,502,502
North by Northwest,Alfred Hitchcock,503,503
Firestarter,Mark L. Lester,504,504
Eyes of a Stranger,Ken Wiederhorn,505,505
The Sun Comes Up,Richard Thorpe,506,506
National Treasure,Jon Turteltaub,507,507
Collateral,Michael Mann,508,508
A Clockwork Orange,Stanley Kubrick,509,509
Conan the Barbarian,John Milius,510,510
Under Fire,Roger Spottiswoode,511,511
The Hive,David Yarovesky,512,512
The Border,Tony Richardson,513,513
Jennifer,Brice Mack,514,514
Phantom of the Paradise,Brian De Palma,515,515
Motel Hell,Kevin Connor,516,516
Scream Blacula Scream,Bob Kelljan,517,517
Kung Fu Cannibals,Edward D. Murphy,518,518
Cinderella Man,Ron Howard,519,519
The Diary of Anne Frank,George Stevens,520,520
The Man Who Played God,John G. Adolfi,521,521
The Wrestler,Darren Aronofsky,522,522
Mr. & Mrs. Bridge,James Ivory,523,523
The Private Lives of Elizabeth and Essex,Michael Curtiz,524,524
Gambling Lady,Archie Mayo,525,525
Jewel Robbery,William Dieterle,526,526
Crumb,Terry Zwigoff,527,527
Blood Simple.,"Joel Coen,Ethan Coen",528,528
E.T. the Extra-Terrestrial,Steven Spielberg,529,529
What Ever Happened to Baby Jane?,Robert Aldrich,530,530
The General,"Clyde Bruckman,Buster Keaton",531,531
Saw,James Wan,532,532
Day of the Dead,Steve Miner,533,533
Gladiator,Ridley Scott,534,534
The Oh in Ohio,Billy Kent,535,535
Win Win,Tom McCarthy,536,536
Confessions of a Dangerous Mind,George Clooney,537,537
In the Bedroom,Todd Field,538,538
Sinbad: Legend of the Seven Seas,"Patrick Gilmore,Tim Johnson",539,539
Madagascar 3: Europe's Most Wanted,"Eric Darnell,Tom McGrath",540,540
Big Jim McLain,Edward Ludwig,541,541
The Comancheros,"Michael Curtiz,John Wayne",542,542
Hellfighters,Andrew V. McLaglen,543,543
About Schmidt,Alexander Payne,544,544
Art School Confidential,Terry Zwigoff,545,545
For Love or Money,Barry Sonnenfeld,546,546
Shining Through,David Seltzer,547,547
Doc Hollywood,Michael Caton-Jones,548,548
All Hallows' Eve 2,"Jesse Baget,Elias Benavidez",549,549
Halloween II,Rick Rosenthal,550,550
Will Penny,Tom Gries,551,551
Major Dundee,Sam Peckinpah,552,552
Two-Lane Blacktop,Monte Hellman,553,553
The 7th Commandment,Irvin Berwick,554,554
The Man Behind the Gun,Felix E. Feist,555,555
Muppets from Space,Tim Hill,556,556
The Muppet Christmas Carol,Brian Henson,557,557
Muppet Treasure Island,Brian Henson,558,558
The Muppets Take Manhattan,Frank Oz,559,559
The Muppet Movie,James Frawley,560,560
Rust Never Sleeps,Neil Young,561,561
Amazing Journey: The Story of The Who,"Paul Crowder,Murray Lerner",562,562
Bird,Clint Eastwood,563,563
Hangin' with the Homeboys,Joseph B. Vasquez,564,564
The Fixer,Paul Tanter,565,565
Endless Love,Franco Zeffirelli,566,566
Losin' It,Curtis Hanson,567,567
The Bodyguard,Mick Jackson,568,568
Message in a Bottle,Luis Mandoki,569,569
The Vow,Michael Sucsy,570,570
She's the Man,Andy Fickman,571,571
He's Just Not That Into You,Ken Kwapis,572,572
X-Men: Apocalypse,Bryan Singer,573,573
Robot Jox,Stuart Gordon,574,574
The Brave One,Neil Jordan,575,575
A Return to Salem's Lot,Larry Cohen,576,576
Last Man Standing,Walter Hill,577,577
The Whole Ten Yards,Howard Deutch,578,578
The Siege,Edward Zwick,579,579
The Whole Nine Yards,Jonathan Lynn,580,580
Striking Distance,Rowdy Herrington,581,581
The Last Boy Scout,Tony Scott,582,582
Kiss Kiss Bang Bang,Shane Black,583,583
Law Abiding Citizen,F. Gary Gray,584,584
Blow-Up,Michelangelo Antonioni,585,585
Stranger Than Fiction,Marc Forster,586,586
Drive,Nicolas Winding Refn,587,587
The Rebel Rousers,Martin B. Cohen,588,588
The Last Detail,Hal Ashby,589,589
The Postman Always Rings Twice,Bob Rafelson,590,590
Carnal Knowledge,Mike Nichols,591,591
Valley Girl,Martha Coolidge,592,592
Goin' South,Jack Nicholson,593,593
The Lone Ranger,Gore Verbinski,594,594
Safe House,Daniel Espinosa,595,595
Serpico,Sidney Lumet,596,596
Glengarry Glen Ross,James Foley,597,597
Zodiac,David Fincher,598,598
Source Code,Duncan Jones,599,599
Men in Black,Barry Sonnenfeld,600,600
The Giant Behemoth,"Douglas Hickox,Eugène Lourié",601,601
Target Earth,Sherman A. Rose,602,602
From the Earth to the Moon,Byron Haskin,603,603
The Lone Hand,George Sherman,604,604
The San Francisco Story,Robert Parrish,605,605
The Virginian,Stuart Gilmore,606,606
Pack Up Your Troubles,"George Marshall,Ray McCarey",607,607
Five Easy Pieces,Bob Rafelson,608,608
Black Fury,Michael Curtiz,609,609
Three Smart Girls,Henry Koster,610,610
I'd Rather Be Rich,Jack Smight,611,611
Strictly Background,Jason Connell,612,612
The Fortune,Mike Nichols,613,613
"Drive, He Said",Jack Nicholson,614,614
Zombiethon,Ken Dixon,615,615
The Curse,David Keith,616,616
A Safe Place,Henry Jaglom,617,617
Head,Bob Rafelson,618,618
The Trouble with Barry,"Mike Justice,Stephen Kitaen",619,619
The Intern,Nancy Meyers,620,620
Forrest Gump,Robert Zemeckis,621,621
Rope,Alfred Hitchcock,622,622
To Catch a Thief,Alfred Hitchcock,623,623
A Man Apart,F. Gary Gray,624,624
Wildfire,Zalman King,625,625
Delta of Venus,Zalman King,626,626
Original Sin,Michael Cristofer,627,627
"I, Robot",Alex Proyas,628,628
Finding Nemo,"Andrew Stanton,Lee Unkrich",629,629
