act_dep_time,act_arr_time,original_index,unique_index
4:44 p.m.,6:28 p.m.,390,83
4:37 p.m.,7:23 p.m.,391,84
8:23 p.m.,9:47 p.m.,392,85
,,393,2
7:30 a.m.,10:43 a.m.,394,86
11:02 a.m.,2:58 p.m.,395,87
1:48 p.m.,4:20 p.m.,396,88
12:42 p.m.,2:50 p.m.,397,89
,,398,2
12:11 a.m.,5:52 a.m.,399,90
4:28 p.m.,12/2/11 12:01 a.m.,400,91
9:06 p.m.,11:49 p.m.,401,92
8:29 p.m.,11:35 p.m.,402,93
7:23 a.m.,9:45 a.m.,403,94
8:52 a.m.,11:33 a.m.,404,95
8:37 a.m.,9:13 a.m.,405,96
1:41 p.m.,3:29 p.m.,406,97
,,407,2
7:41 a.m.,8:33 a.m.,408,98
,,409,2
5:38 p.m.,6:19 p.m.,410,99
1:50 p.m. (+8:00),7:50 a.m.,411,100
11:47 a.m.,1:52 p.m.,412,101
8:40 p.m.,9:12 p.m.,413,102
3:04 p.m.,4:22 p.m.,414,103
,,415,2
,,416,2
2:44 p.m.,3:36 p.m.,417,104
3:28 p.m.,5:39 p.m.,418,105
7:22 a.m.,11:04 a.m.,419,106
12:11 p.m.,1:42 p.m.,420,107
8:04 a.m.,10:58 a.m.,421,108
,,422,2
1:20 p.m.,2:49 p.m.,423,109
8:55 a.m.,10:12 a.m.,424,110
3:38 p.m.,6:30 p.m.,425,111
8:04 a.m.,7:59 a.m.,426,112
4:12 p.m.,6:11 p.m.,427,113
11:52 a.m.,2:21 p.m.,428,114
,,429,2
11:55 a.m.,5:34 p.m.,430,115
10:55 a.m.,12:37 p.m.,431,116
6:58 a.m.,7:37 a.m.,432,117
,,433,2
6:11 a.m.,6:15 a.m.,434,118
7:40 a.m.,10:52 a.m.,435,119
7:32 a.m.,3:12 p.m.,436,120
7:16 a.m.,9:22 a.m.,437,45
7:42 p.m.,10:29 p.m.,438,224
6:54 a.m.,9:28 a.m.,439,3
8:49 a.m.,11:58 a.m.,440,225
9:01 a.m.,9:43 a.m.,441,226
7:59 p.m.,,442,227
12:12 p.m.,3:16 p.m.,443,228
3:50 p.m.,5:17 p.m.,444,127
12:37 p.m.,3:31 p.m.,445,229
10:53 a.m.,11:21 a.m.,446,230
,,447,2
6:10 a.m.,7:17 a.m.,448,231
12:58 a.m.,5:26 a.m.,449,232
4:10 p.m.,6:25 p.m.,450,55
7:56 a.m.,9:09 a.m.,451,133
10:35 a.m.,1:19 p.m.,452,233
10:11 a.m.,1:18 p.m.,453,135
8:26 a.m.,9:56 a.m.,454,57
7:25 a.m.,9:45 a.m.,455,5
4:30 p.m.,7:39 p.m.,456,234
10:55 a.m.,1:40 p.m.,457,9
2:59 p.m.,7:10 p.m.,458,235
8:18 a.m.,11:32 a.m.,459,236
3:04 p.m.,5:00 p.m.,460,237
12:13 p.m.,4:09 p.m.,461,143
12:06 p.m.,1:14 p.m.,462,238
6:09 a.m.,9:05 a.m.,463,239
11:45 a.m.,5:03 p.m.,464,146
6:17 a.m.,10:27 a.m.,465,240
9:01 a.m.,10:56 a.m.,466,241
10:19 a.m.,11:50 a.m.,467,65
2:04 p.m.,3:19 p.m.,468,149
8:07 a.m.,1:30 p.m.,469,242
12:56 p.m.,3:21 p.m.,470,243
12:14 p.m.,2:01 p.m.,471,152
2:43 p.m.,5:42 p.m.,472,244
12:08 p.m.,1:14 p.m.,473,154
5:38 p.m.,8:03 p.m.,474,245
8:36 p.m.,9:38 p.m.,475,156
11:06 a.m.,2:46 p.m.,476,246
1:43 p.m.,5:34 p.m.,477,247
3:36 p.m.,3:25 p.m.,478,158
7:22 a.m.,10:29 a.m.,479,159
,,480,2
6:56 p.m.,8:43 p.m.,481,160
,,482,2
2:38 p.m.,7:58 p.m.,483,248
9:58 a.m.,12:09 p.m.,484,249
6:57 a.m.,7:51 a.m.,485,163
7:31 a.m.,9:29 a.m.,486,164
5:09 p.m.,7:53 p.m.,487,165
4:46 p.m.,6:35 p.m.,488,250
4:37 p.m.,7:36 p.m.,489,251
8:23 p.m.,9:49 p.m.,490,168
10:37 a.m.,6:34 p.m.,491,252
7:31 a.m.,10:45 a.m.,492,170
11:02 a.m.,3:04 p.m.,493,253
1:48 p.m.,4:23 p.m.,494,254
12:42 p.m.,2:52 p.m.,495,173
2:01 p.m.,4:17 p.m.,496,255
,,497,2
,,498,2
,,499,2
,,500,2
7:23 a.m.,10:04 a.m.,501,256
8:52 a.m.,11:44 a.m.,502,257
8:37 a.m.,9:13 a.m.,503,96
,,504,2
3:17 p.m.,4:59 p.m.,505,258
7:41 a.m.,8:45 a.m.,506,259
,,507,2
,,508,2
1:45 p.m.,8:02 a.m.,509,260
11:47 a.m.,2:02 p.m.,510,181
8:40 p.m.,9:11 p.m.,511,182
3:04 p.m.,4:24 p.m.,512,183
2:59 p.m.,7:10 p.m.,513,235
9:43 a.m.,12:12 p.m.,514,261
2:44 p.m.,3:36 p.m.,515,104
3:28 p.m.,5:34 p.m.,516,185
7:23 a.m.,11:07 a.m.,517,186
12:11 p.m.,1:43 p.m.,518,262
8:05 a.m.,11:00 a.m.,519,188
9:05 a.m.,12:09 p.m.,520,263
1:20 p.m.,3:01 p.m.,521,190
8:56 a.m.,10:10 a.m.,522,191
3:38 p.m.,6:43 p.m.,523,264
8:04 a.m.,7:57 a.m.,524,193
11:41 a.m.,4:56 p.m.,525,265
4:12 p.m.,6:09 p.m.,526,195
11:52 a.m.,2:27 p.m.,527,18
7:40 a.m.,11:06 a.m.,528,266
4:02 p.m.,5:26 p.m.,529,267
11:55 a.m.,6:17 p.m.,530,268
10:55 a.m.,12:48 p.m.,531,200
6:58 a.m.,7:32 a.m.,532,201
4:15 p.m.,6:36 p.m.,533,269
6:11 a.m.,6:19 a.m.,534,270
7:40 a.m.,11:12 a.m.,535,271
7:32 a.m.,3:14 p.m.,536,272
7:16 a.m.,9:32 a.m.,537,0
7:14 p.m.,10:29 p.m.,538,273
6:54 a.m.,9:28 a.m.,539,3
8:29 a.m.,11:58 a.m.,540,274
8:42 a.m.,9:43 a.m.,541,275
7:58 p.m.,10:30 p.m. (Estimated),542,276
12:13 p.m.,2:10 p.m.,543,15
6:47 p.m. (Estimated runway),7:25 p.m. (Estimated runway),544,277
3:28 p.m.,5:17 p.m.,545,278
11:32 a.m.,3:31 p.m.,546,279
11:29 p.m. (Estimated runway),6:35 a.m. (Estimated runway),547,280
5:56 a.m.,7:17 a.m.,548,281
12:41 a.m.,5:26 a.m.,549,282
3:58 p.m.,6:28 p.m.,550,283
7:29 a.m.,9:14 a.m.,551,284
10:19 a.m.,1:19 p.m.,552,285
7:25 a.m.,9:45 a.m.,553,5
8:12 a.m.,9:56 a.m.,554,286
4:29 p.m.,7:39 p.m.,555,6
10:10 a.m.,1:27 p.m.,556,14
2:48 p.m.,7:10 p.m.,557,287
5:22 p.m.,8:03 p.m.,558,288
12:12 p.m.,4:09 p.m.,559,7
11:56 a.m.,1:14 p.m.,560,289
6:08 a.m.,9:05 a.m.,561,8
11:30 a.m.,5:05 p.m.,562,290
6:02 a.m.,10:27 a.m.,563,291
8:40 a.m.,10:56 a.m.,564,292
8:04 a.m.,11:01 a.m.,565,10
10:18 a.m.,11:56 a.m.,566,11
8:04 a.m.,8:06 a.m.,567,12
2:04 p.m.,3:20 p.m. (runway),568,293
6:57 a.m.,7:40 a.m.,569,17
12:41 p.m.,2:50 p.m.,570,4
12:35 p.m.,3:21 p.m.,571,294
11:51 a.m.,1:15 p.m.,572,295
8:25 p.m.,9:52 p.m. (Estimated),573,296
11:52 a.m.,2:27 p.m.,574,18
11:05 a.m.,2:46 p.m.,575,19
1:32 p.m.,5:34 p.m.,576,297
3:36 p.m.,3:33 p.m.,577,20
7:21 a.m.,10:36 a.m.,578,21
8:00 a.m.,11:32 a.m.,579,298
6:55 p.m.,8:53 p.m.,580,22
12:11 p.m.,3:16 p.m.,581,23
7:15 p.m. (Estimated),12:21 a.m. (Estimated),582,299
2:10 p.m.,7:58 p.m.,583,300
9:14 a.m.,12:09 p.m.,584,301
6:56 a.m.,7:51 a.m.,585,24
7:30 a.m.,9:31 a.m.,586,25
5:08 p.m.,7:55 p.m.,587,26
7:39 a.m.,11:06 a.m.,588,16
4:28 p.m.,6:38 p.m.,589,302
4:15 p.m.,7:36 p.m.,590,303
8:23 p.m.,9:53 p.m.,591,27
10:20 a.m.,6:34 p.m.,592,304
7:07 a.m.,10:47 a.m.,593,305
11:01 a.m.,3:04 p.m.,594,28
1:31 p.m.,4:23 p.m.,595,306
1:48 p.m.,4:17 p.m.,596,307
12:10 a.m. (Estimated runway),5:42 a.m. (Estimated runway),597,308
4:28 p.m. (Estimated runway),12:01 a.m. (Estimated runway),598,309
9:06 p.m. (Estimated runway),11:49 p.m. (Estimated runway),599,310
8:29 p.m. (Estimated runway),11:35 p.m. (Estimated runway),600,311
2:46 p.m.,4:47 p.m.,601,312
7:22 a.m.,10:04 a.m.,602,30
8:51 a.m.,11:44 a.m.,603,31
2:26 p.m.,5:42 p.m.,604,313
8:26 a.m.,9:13 a.m.,605,314
3:01 p.m.,4:59 p.m.,606,315
,,607,2
5:30 p.m. (Estimated),6:40 p.m. (Estimated),608,316
11:15 a.m.,2:00 p.m.,609,317
8:39 p.m.,9:19 p.m. (Estimated),610,318
2:52 p.m.,4:44 p.m.,611,319
2:48 p.m.,7:10 p.m.,612,287
2:44 p.m.,3:43 p.m.,613,33
3:27 p.m.,5:43 p.m.,614,34
7:22 a.m.,11:06 a.m.,615,35
12:10 p.m.,1:43 p.m.,616,36
1:19 p.m.,3:13 p.m.,617,37
7:49 a.m.,1:30 p.m.,618,320
8:56 a.m.,10:16 a.m.,619,38
3:36 p.m.,6:43 p.m.,620,39
4:12 p.m.,6:15 p.m.,621,41
7:31 a.m.,3:14 p.m.,622,42
3:31 p.m.,5:26 p.m.,623,321
11:43 a.m.,5:38 p.m.,624,322
10:54 a.m.,12:50 p.m.,625,29
3:58 p.m.,6:36 p.m.,626,323
6:10 a.m.,6:19 a.m.,627,43
7:39 a.m.,11:12 a.m.,628,44
7:16 a.m.,9:22 a.m.,629,45
7:42 p.m.,10:29 p.m.,630,224
6:54 a.m.,9:28 a.m.,631,3
8:49 a.m.,11:58 a.m.,632,225
9:01 a.m.,9:43 a.m.,633,226
7:59 p.m.,,634,227
12:12 p.m.,3:16 p.m.,635,228
3:50 p.m.,5:17 p.m.,636,127
12:37 p.m.,3:31 p.m.,637,229
10:53 a.m.,11:21 a.m.,638,230
,,639,2
6:10 a.m.,7:17 a.m.,640,231
12:58 a.m.,5:26 a.m.,641,232
4:10 p.m.,6:25 p.m.,642,55
7:56 a.m.,9:09 a.m.,643,133
10:35 a.m.,1:19 p.m.,644,233
10:11 a.m.,1:18 p.m.,645,135
8:26 a.m.,9:56 a.m.,646,57
7:25 a.m.,9:45 a.m.,647,5
4:30 p.m.,7:39 p.m.,648,234
10:55 a.m.,1:40 p.m.,649,9
2:59 p.m.,7:10 p.m.,650,235
8:18 a.m.,11:32 a.m.,651,236
3:04 p.m.,5:00 p.m.,652,237
12:13 p.m.,4:09 p.m.,653,143
12:06 p.m.,1:14 p.m.,654,238
6:09 a.m.,9:05 a.m.,655,239
11:45 a.m.,5:03 p.m.,656,146
6:17 a.m.,10:27 a.m.,657,240
9:01 a.m.,10:56 a.m.,658,241
10:19 a.m.,11:50 a.m.,659,65
2:04 p.m.,3:19 p.m.,660,149
8:07 a.m.,1:30 p.m.,661,242
12:56 p.m.,3:21 p.m.,662,243
12:14 p.m.,2:01 p.m.,663,152
2:43 p.m.,5:42 p.m.,664,244
12:08 p.m.,1:14 p.m.,665,154
5:38 p.m.,8:03 p.m.,666,245
8:36 p.m.,9:38 p.m.,667,156
11:06 a.m.,2:46 p.m.,668,246
1:43 p.m.,5:34 p.m.,669,247
3:36 p.m.,3:25 p.m.,670,158
7:22 a.m.,10:29 a.m.,671,159
,,672,2
6:56 p.m.,8:43 p.m.,673,160
,,674,2
2:38 p.m.,7:58 p.m.,675,248
9:58 a.m.,12:09 p.m.,676,249
6:57 a.m.,7:51 a.m.,677,163
7:31 a.m.,9:29 a.m.,678,164
5:09 p.m.,7:53 p.m.,679,165
4:46 p.m.,6:35 p.m.,680,250
4:37 p.m.,7:36 p.m.,681,251
8:23 p.m.,9:49 p.m.,682,168
10:37 a.m.,6:34 p.m.,683,252
7:31 a.m.,10:45 a.m.,684,170
11:02 a.m.,3:04 p.m.,685,253
1:48 p.m.,4:23 p.m.,686,254
12:42 p.m.,2:52 p.m.,687,173
2:01 p.m.,4:17 p.m.,688,255
,,689,2
,,690,2
,,691,2
,,692,2
7:23 a.m.,10:04 a.m.,693,256
8:52 a.m.,11:44 a.m.,694,257
8:37 a.m.,9:13 a.m.,695,96
,,696,2
3:17 p.m.,4:59 p.m.,697,258
7:41 a.m.,8:45 a.m.,698,259
,,699,2
,,700,2
1:45 p.m.,8:02 a.m.,701,260
11:47 a.m.,2:02 p.m.,702,181
8:40 p.m.,9:11 p.m.,703,182
3:04 p.m.,4:24 p.m.,704,183
2:59 p.m.,7:10 p.m.,705,235
9:43 a.m.,12:12 p.m.,706,261
2:44 p.m.,3:36 p.m.,707,104
3:28 p.m.,5:34 p.m.,708,185
7:23 a.m.,11:07 a.m.,709,186
12:11 p.m.,1:43 p.m.,710,262
8:05 a.m.,11:00 a.m.,711,188
9:05 a.m.,12:09 p.m.,712,263
1:20 p.m.,3:01 p.m.,713,190
8:56 a.m.,10:10 a.m.,714,191
3:38 p.m.,6:43 p.m.,715,264
8:04 a.m.,7:57 a.m.,716,193
11:41 a.m.,4:56 p.m.,717,265
4:12 p.m.,6:09 p.m.,718,195
11:52 a.m.,2:27 p.m.,719,18
7:40 a.m.,11:06 a.m.,720,266
4:02 p.m.,5:26 p.m.,721,267
11:55 a.m.,6:17 p.m.,722,268
10:55 a.m.,12:48 p.m.,723,200
6:58 a.m.,7:32 a.m.,724,201
4:15 p.m.,6:36 p.m.,725,269
6:11 a.m.,6:19 a.m.,726,270
7:40 a.m.,11:12 a.m.,727,271
7:32 a.m.,3:14 p.m.,728,272
7:16 a.m.,9:22 a.m.,729,45
7:59 p.m.,10:28 p.m.,730,324
7:41 p.m.,10:22 p.m.,731,325
8:47 a.m.,11:30 a.m.,732,326
