Score,original_index,unique_index,count
empty,174,0,167
empty,175,0,167
93%,176,13,24
84%,177,15,6
78%,178,11,9
100%,179,4,243
87%,180,28,20
94%,181,16,30
94%,182,16,30
97%,183,1,49
93%,184,13,24
90%,185,18,27
86%,186,5,9
95x,187,40,1
91%,188,12,21
100%,189,4,243
empty,190,0,167
100%,191,4,243
86%,192,5,9
84%,193,15,6
99%,194,7,43
96%,195,9,37
91%,196,12,21
100%,197,4,243
99%,198,7,43
empty,199,0,167
85%,200,41,14
94%,201,16,30
98%,202,8,44
98%,203,8,44
100%,204,4,243
87%,205,28,20
96%,206,9,37
100%,207,4,243
x5%,208,42,3
91%,209,12,21
85%,210,41,14
83%,211,19,13
97%,212,1,49
98%,213,8,44
81%,214,21,5
60%,215,20,5
100%,216,4,243
89%,217,14,19
83%,218,19,13
100%,219,4,243
95%,220,23,30
91%,221,12,21
100%,222,4,243
95%,223,23,30
100%,224,4,243
40%,225,43,2
89%,226,14,19
100%,227,4,243
94%,228,16,30
100%,229,4,243
97%,230,1,49
93%,231,13,24
100%,232,4,243
99%,233,7,43
88%,234,17,20
98%,235,8,44
100%,236,4,243
9x%,237,37,2
xx%,238,44,2
98%,239,8,44
empty,240,0,167
100%,241,4,243
97%,242,1,49
97%,243,1,49
empty,244,0,167
empty,245,0,167
empty,246,0,167
empty,247,0,167
empty,248,0,167
empty,249,0,167
empty,250,0,167
100%,251,4,243
89x,252,45,1
88%,253,17,20
88%,254,17,20
92%,255,2,23
x6%,256,46,1
100%,257,4,243
96%,258,9,37
100%,259,4,243
92%,260,2,23
empty,261,0,167
86%,262,5,9
93%,263,13,24
86%,264,5,9
empty,265,0,167
100%,266,4,243
90%,267,18,27
90%,268,18,27
99%,269,7,43
97%,270,1,49
100%,271,4,243
100%,272,4,243
97%,273,1,49
empty,274,0,167
83%,275,19,13
86%,276,5,9
100%,277,4,243
97%,278,1,49
100%,279,4,243
97%,280,1,49
100%,281,4,243
100%,282,4,243
96%,283,9,37
93%,284,13,24
92%,285,2,23
89%,286,14,19
98%,287,8,44
99%,288,7,43
91%,289,12,21
93%,290,13,24
100%,291,4,243
97%,292,1,49
94%,293,16,30
empty,294,0,167
empty,295,0,167
empty,296,0,167
empty,297,0,167
empty,298,0,167
empty,299,0,167
empty,300,0,167
empty,301,0,167
empty,302,0,167
empty,303,0,167
empty,304,0,167
empty,305,0,167
empty,306,0,167
empty,307,0,167
empty,308,0,167
empty,309,0,167
empty,310,0,167
100%,311,4,243
33%,312,34,4
98%,313,8,44
96%,314,9,37
93%,315,13,24
100%,316,4,243
93%,317,13,24
0%,318,30,11
87%,319,28,20
87%,320,28,20
100%,321,4,243
90%,322,18,27
100%,323,4,243
97%,324,1,49
100%,325,4,243
100%,326,4,243
97%,327,1,49
92%,328,2,23
91%,329,12,21
83%,330,19,13
100%,331,4,243
100%,332,4,243
100%,333,4,243
100%,334,4,243
100%,335,4,243
x00%,336,31,2
99%,337,7,43
99%,338,7,43
99%,339,7,43
100%,340,4,243
100%,341,4,243
100%,342,4,243
99%,343,7,43
98%,344,8,44
100%,345,4,243
100%,346,4,243
100%,347,4,243
97%,348,1,49
98%,349,8,44
85%,350,41,14
100%,351,4,243
96%,352,9,37
87%,353,28,20
100%,354,4,243
100%,355,4,243
100%,356,4,243
100%,357,4,243
100%,358,4,243
0%,359,30,11
empty,360,0,167
90%,361,18,27
100%,362,4,243
85%,363,41,14
100%,364,4,243
91%,365,12,21
98%,366,8,44
98%,367,8,44
100%,368,4,243
100%,369,4,243
82%,370,26,11
89%,371,14,19
98%,372,8,44
99%,373,7,43
94%,374,16,30
empty,375,0,167
100%,376,4,243
95%,377,23,30
x5%,378,42,3
99%,379,7,43
97%,380,1,49
100%,381,4,243
100%,382,4,243
96%,383,9,37
empty,384,0,167
50%,385,27,10
83%,386,19,13
98%,387,8,44
96%,388,9,37
100%,389,4,243
71%,390,47,1
89%,391,14,19
100%,392,4,243
67%,393,38,10
empty,394,0,167
100%,395,4,243
empty,396,0,167
empty,397,0,167
96%,398,9,37
94%,399,16,30
94%,400,16,30
96%,401,9,37
94%,402,16,30
95%,403,23,30
100%,404,4,243
x4%,405,48,1
92%,406,2,23
99%,407,7,43
100%,408,4,243
90%,409,18,27
90%,410,18,27
1xx%,411,49,4
100%,412,4,243
98%,413,8,44
90%,414,18,27
100%,415,4,243
100%,416,4,243
empty,417,0,167
100%,418,4,243
empty,419,0,167
empty,420,0,167
77%,421,50,4
99%,422,7,43
85%,423,41,14
100%,424,4,243
93%,425,13,24
x7%,426,39,3
100%,427,4,243
97%,428,1,49
96%,429,9,37
88%,430,17,20
82%,431,26,11
91%,432,12,21
98%,433,8,44
100%,434,4,243
100%,435,4,243
97%,436,1,49
100%,437,4,243
96%,438,9,37
97%,439,1,49
95%,440,23,30
90%,441,18,27
87%,442,28,20
96%,443,9,37
98%,444,8,44
88%,445,17,20
94%,446,16,30
100%,447,4,243
94%,448,16,30
94%,449,16,30
empty,450,0,167
empty,451,0,167
89%,452,14,19
99%,453,7,43
97%,454,1,49
98%,455,8,44
86%,456,5,9
82%,457,26,11
81%,458,21,5
92%,459,2,23
91%,460,12,21
84%,461,15,6
empty,462,0,167
97%,463,1,49
85%,464,41,14
79%,465,25,7
100%,466,4,243
100%,467,4,243
empty,468,0,167
100%,469,4,243
83%,470,19,13
0%,471,30,11
empty,472,0,167
66%,473,51,1
96%,474,9,37
94%,475,16,30
94%,476,16,30
85%,477,41,14
94%,478,16,30
87%,479,28,20
95%,480,23,30
64%,481,29,4
90%,482,18,27
100%,483,4,243
94%,484,16,30
96%,485,9,37
85%,486,41,14
empty,487,0,167
1xx%,488,49,4
88%,489,17,20
68%,490,52,2
empty,491,0,167
100%,492,4,243
empty,493,0,167
empty,494,0,167
empty,495,0,167
empty,496,0,167
empty,497,0,167
83%,498,19,13
94%,499,16,30
90%,500,18,27
100%,501,4,243
93%,502,13,24
97%,503,1,49
100%,504,4,243
89%,505,14,19
93x,506,53,1
81%,507,21,5
empty,508,0,167
0%,509,30,11
100%,510,4,243
0%,511,30,11
empty,512,0,167
100%,513,4,243
1xx%,514,49,4
100%,515,4,243
100%,516,4,243
100%,517,4,243
100%,518,4,243
100%,519,4,243
100%,520,4,243
empty,521,0,167
96%,522,9,37
100%,523,4,243
100%,524,4,243
100%,525,4,243
100%,526,4,243
94%,527,16,30
96%,528,9,37
94%,529,16,30
95%,530,23,30
90%,531,18,27
92%,532,2,23
97%,533,1,49
97%,534,1,49
97%,535,1,49
94%,536,16,30
95%,537,23,30
100%,538,4,243
98%,539,8,44
94%,540,16,30
95%,541,23,30
92%,542,2,23
79%,543,25,7
97%,544,1,49
95%,545,23,30
empty,546,0,167
40%,547,43,2
45%,548,54,1
90%,549,18,27
85%,550,41,14
99%,551,7,43
85%,552,41,14
95%,553,23,30
91%,554,12,21
88%,555,17,20
82%,556,26,11
82%,557,26,11
67%,558,38,10
78%,559,11,9
98%,560,8,44
83%,561,19,13
72%,562,10,5
97%,563,1,49
92%,564,2,23
87%,565,28,20
92%,566,2,23
90%,567,18,27
100%,568,4,243
50%,569,27,10
92%,570,2,23
0%,571,30,11
empty,572,0,167
54%,573,55,1
99%,574,7,43
96%,575,9,37
97%,576,1,49
80%,577,6,10
95%,578,23,30
91%,579,12,21
82%,580,26,11
85%,581,41,14
75%,582,3,7
32%,583,56,1
100%,584,4,243
93%,585,13,24
79%,586,25,7
empty,587,0,167
96%,588,9,37
88%,589,17,20
82%,590,26,11
empty,591,0,167
empty,592,0,167
empty,593,0,167
empty,594,0,167
empty,595,0,167
empty,596,0,167
empty,597,0,167
100%,598,4,243
100%,599,4,243
empty,600,0,167
empty,601,0,167
100%,602,4,243
100%,603,4,243
100%,604,4,243
100%,605,4,243
93%,606,13,24
100%,607,4,243
empty,608,0,167
empty,609,0,167
empty,610,0,167
empty,611,0,167
empty,612,0,167
empty,613,0,167
empty,614,0,167
empty,615,0,167
98%,616,8,44
97%,617,1,49
93%,618,13,24
100%,619,4,243
98%,620,8,44
empty,621,0,167
85%,622,41,14
82%,623,26,11
100%,624,4,243
92%,625,2,23
100%,626,4,243
92%,627,2,23
91%,628,12,21
100%,629,4,243
96%,630,9,37
97%,631,1,49
88%,632,17,20
98%,633,8,44
99%,634,7,43
99%,635,7,43
97%,636,1,49
98%,637,8,44
100%,638,4,243
92%,639,2,23
90%,640,18,27
50%,641,27,10
67%,642,38,10
empty,643,0,167
empty,644,0,167
67%,645,38,10
empty,646,0,167
empty,647,0,167
0%,648,30,11
38%,649,57,1
25%,650,33,4
100%,651,4,243
25%,652,33,4
100%,653,4,243
67%,654,38,10
90%,655,18,27
96%,656,9,37
12%,657,58,1
empty,658,0,167
empty,659,0,167
empty,660,0,167
empty,661,0,167
empty,662,0,167
empty,663,0,167
empty,664,0,167
empty,665,0,167
98%,666,8,44
98%,667,8,44
91%,668,12,21
100%,669,4,243
97%,670,1,49
empty,671,0,167
98%,672,8,44
46%,673,59,1
96%,674,9,37
94%,675,16,30
100%,676,4,243
74%,677,24,4
92%,678,2,23
100%,679,4,243
92%,680,2,23
85%,681,41,14
79%,682,25,7
69%,683,60,1
88%,684,17,20
95%,685,23,30
87%,686,28,20
76%,687,61,4
97%,688,1,49
79%,689,25,7
77%,690,50,4
77%,691,50,4
100%,692,4,243
100%,693,4,243
empty,694,0,167
75%,695,3,7
empty,696,0,167
empty,697,0,167
xx%,698,44,2
100%,699,4,243
100%,700,4,243
100%,701,4,243
87%,702,28,20
95%,703,23,30
90%,704,18,27
97%,705,1,49
96%,706,9,37
93%,707,13,24
100%,708,4,243
100%,709,4,243
100%,710,4,243
1xx%,711,49,4
empty,712,0,167
100%,713,4,243
88%,714,17,20
88%,715,17,20
100%,716,4,243
100%,717,4,243
x7%,718,39,3
100%,719,4,243
100%,720,4,243
empty,721,0,167
empty,722,0,167
99%,723,7,43
100%,724,4,243
97%,725,1,49
100%,726,4,243
100%,727,4,243
100%,728,4,243
100%,729,4,243
99%,730,7,43
98%,731,8,44
98%,732,8,44
99%,733,7,43
99%,734,7,43
98%,735,8,44
98%,736,8,44
empty,737,0,167
100%,738,4,243
95%,739,23,30
95%,740,23,30
100%,741,4,243
60%,742,20,5
100%,743,4,243
empty,744,0,167
100%,745,4,243
empty,746,0,167
empty,747,0,167
100%,748,4,243
91%,749,12,21
86%,750,5,9
100%,751,4,243
100%,752,4,243
89%,753,14,19
100%,754,4,243
97%,755,1,49
75%,756,3,7
92%,757,2,23
89%,758,14,19
97%,759,1,49
88%,760,17,20
99%,761,7,43
empty,762,0,167
100%,763,4,243
80%,764,6,10
80%,765,6,10
100%,766,4,243
99%,767,7,43
93%,768,13,24
x3%,769,62,1
empty,770,0,167
100%,771,4,243
90%,772,18,27
89%,773,14,19
100%,774,4,243
98%,775,8,44
14%,776,63,1
98%,777,8,44
100%,778,4,243
97%,779,1,49
100%,780,4,243
100%,781,4,243
empty,782,0,167
82%,783,26,11
72%,784,10,5
95%,785,23,30
98%,786,8,44
100%,787,4,243
96%,788,9,37
99%,789,7,43
97%,790,1,49
93%,791,13,24
89%,792,14,19
89%,793,14,19
90%,794,18,27
95%,795,23,30
99%,796,7,43
93%,797,13,24
95%,798,23,30
99%,799,7,43
93%,800,13,24
90%,801,18,27
94%,802,16,30
99%,803,7,43
89%,804,14,19
100%,805,4,243
95%,806,23,30
68%,807,52,2
83%,808,19,13
47%,809,36,2
100%,810,4,243
93%,811,13,24
100%,812,4,243
96%,813,9,37
96%,814,9,37
100%,815,4,243
94%,816,16,30
89%,817,14,19
96%,818,9,37
91%,819,12,21
98%,820,8,44
97%,821,1,49
90%,822,18,27
94%,823,16,30
100%,824,4,243
95%,825,23,30
87%,826,28,20
100%,827,4,243
100%,828,4,243
100%,829,4,243
empty,830,0,167
100%,831,4,243
empty,832,0,167
empty,833,0,167
84%,834,15,6
89%,835,14,19
75%,836,3,7
100%,837,4,243
89%,838,14,19
92%,839,2,23
94%,840,16,30
98%,841,8,44
95%,842,23,30
81%,843,21,5
50%,844,27,10
100%,845,4,243
100%,846,4,243
100%,847,4,243
empty,848,0,167
100%,849,4,243
empty,850,0,167
empty,851,0,167
67%,852,38,10
67%,853,38,10
100%,854,4,243
empty,855,0,167
33%,856,34,4
empty,857,0,167
empty,858,0,167
74%,859,24,4
80x,860,64,1
78%,861,11,9
80%,862,6,10
96%,863,9,37
99%,864,7,43
90%,865,18,27
98%,866,8,44
76%,867,61,4
91%,868,12,21
67%,869,38,10
80%,870,6,10
87%,871,28,20
87%,872,28,20
empty,873,0,167
100%,874,4,243
100%,875,4,243
100%,876,4,243
100%,877,4,243
100%,878,4,243
0%,879,30,11
100%,880,4,243
82%,881,26,11
empty,882,0,167
empty,883,0,167
87%,884,28,20
94%,885,16,30
89%,886,14,19
100%,887,4,243
x5%,888,42,3
100%,889,4,243
100%,890,4,243
97%,891,1,49
87%,892,28,20
87%,893,28,20
empty,894,0,167
empty,895,0,167
empty,896,0,167
empty,897,0,167
empty,898,0,167
100%,899,4,243
100%,900,4,243
100%,901,4,243
100%,902,4,243
100%,903,4,243
100%,904,4,243
100%,905,4,243
100%,906,4,243
100%,907,4,243
100%,908,4,243
100%,909,4,243
88%,910,17,20
100%,911,4,243
100%,912,4,243
100%,913,4,243
100%,914,4,243
100%,915,4,243
99%,916,7,43
97%,917,1,49
100%,918,4,243
87%,919,28,20
76%,920,61,4
99%,921,7,43
95%,922,23,30
95%,923,23,30
95%,924,23,30
79%,925,25,7
76%,926,61,4
100%,927,4,243
91%,928,12,21
84%,929,15,6
53%,930,65,2
50%,931,27,10
100%,932,4,243
33%,933,34,4
60%,934,20,5
empty,935,0,167
empty,936,0,167
53%,937,65,2
63%,938,66,1
67%,939,38,10
75%,940,3,7
90%,941,18,27
50%,942,27,10
80%,943,6,10
97%,944,1,49
50%,945,27,10
65%,946,67,1
empty,947,0,167
empty,948,0,167
empty,949,0,167
empty,950,0,167
empty,951,0,167
empty,952,0,167
empty,953,0,167
empty,954,0,167
100%,955,4,243
100%,956,4,243
empty,957,0,167
empty,958,0,167
100%,959,4,243
empty,960,0,167
empty,961,0,167
96%,962,9,37
99%,963,7,43
100%,964,4,243
100%,965,4,243
100%,966,4,243
98%,967,8,44
100%,968,4,243
99%,969,7,43
99%,970,7,43
100%,971,4,243
100%,972,4,243
99%,973,7,43
100%,974,4,243
100%,975,4,243
empty,976,0,167
100%,977,4,243
100%,978,4,243
100%,979,4,243
100%,980,4,243
100%,981,4,243
100%,982,4,243
empty,983,0,167
100%,984,4,243
empty,985,0,167
empty,986,0,167
50%,987,27,10
85%,988,41,14
100%,989,4,243
43%,990,68,1
74%,991,24,4
83%,992,19,13
83%,993,19,13
98%,994,8,44
77%,995,50,4
64%,996,29,4
25%,997,33,4
64%,998,29,4
88%,999,17,20
