article_jvolumn,article_jissue,original_index,unique_index
3.0,1.0,514,387
140.0,4.0,515,388
38.0,7.0,516,389
26.0,4.0,517,245
65.0,10.0,518,390
85.0,40.0,519,391
18.0,1.0,520,392
21.0,4.0,521,129
,4.0,522,393
73.0,4.0,523,95
289.0,40.0,524,394
121.0,19.0,525,395
58.0,2.0,526,275
37.0,1.0,527,396
37.0,1.0,528,396
10.0,6.0,529,397
0.0,0.0,530,32
316.0,5826.0,531,398
254.0,,532,399
,,533,1
37.0,5.0,534,88
5.0,2.0,535,268
0.0,0.0,536,32
34.0,4.0,537,187
47.0,3.0,538,400
54.0,2.0,539,401
184.0,5.0,540,402
0.0,0.0,541,32
10.0,3.0,542,86
329.0,7462.0,543,403
0.0,0.0,544,32
44.0,11.0,545,404
82.0,3.0,546,405
0.0,0.0,547,32
147.0,3.0,548,406
,,549,1
,,550,1
67.0,2.0,551,407
0.0,0.0,552,32
89.0,3.0,553,408
138.0,9.0,554,409
36.0,6.0,555,410
110.0,11.0,556,411
63.0,0.0,557,338
0.0,350.0,558,412
20.0,7.0,559,413
21.0,0.0,560,48
6.0,11.0,561,111
33.0,0.0,562,189
196.0,5.0,563,414
0.0,0.0,564,32
19.0,1.0,565,89
365.0,9453.0,566,415
29.0,2.0,567,6
33.0,2.0,568,416
12.0,2.0,569,59
37.0,4.0,570,417
41.0,0.0,571,418
151.0,7.0,572,419
62.0,0.0,573,420
35.0,3.0,574,210
46.0,4.0,575,421
9.0,4.0,576,422
16.0,4.0,577,205
49.0,4.0,578,423
29.0,3.0,579,66
56.0,6.0,580,251
30.0,4.0,581,424
20.0,5.0,582,425
8.0,8.0,583,426
0.0,0.0,584,32
90.0,10.0,585,427
26.0,9.0,586,428
18.0,10.0,587,429
14.0,11.0,588,430
43.0,10.0,589,286
32.0,1.0,590,325
68.0,7.0,591,431
0.0,0.0,592,32
90.0,0.0,593,432
0.0,0.0,594,32
15.0,4.0,595,433
10.0,4.0,596,5
141.0,9.0,597,434
24.0,4.0,598,435
108.0,4.0,599,436
44.0,3.0,600,437
32.0,5.0,601,438
85.0,8.0,602,439
6.0,11.0,603,111
85.0,,604,440
28.0,2.0,605,441
89.0,11.0,606,442
57.0,1.0,607,443
133.0,1.0,608,444
22.0,4.0,609,445
28.0,5.0,610,446
9.0,5.0,611,447
256.0,4.0,612,448
21.0,4.0,613,129
77.0,5.0,614,449
506.0,7486.0,615,450
24.0,3.0,616,191
284.0,0.0,617,451
25.0,4.0,618,452
17.0,2.0,619,453
14.0,3.0,620,454
135.0,31.0,621,455
32.0,0.0,622,331
47.0,12.0,623,456
35.0,4.0,624,457
31.0,9.0,625,458
81.0,5.0,626,459
80.0,12.0,627,460
7.0,6.0,628,461
24.0,2.0,629,34
17.0,8.0,630,462
91.0,5.0,631,463
36.0,0.0,632,464
51.0,0.0,633,465
0.0,0.0,634,32
25.0,2.0,635,466
14.0,4.0,636,467
94.0,0.0,637,468
22.0,4.0,638,445
84.0,0.0,639,3
57.0,6.0,640,384
15.0,7.0,641,469
,,642,1
124.0,18.0,643,470
76.0,3.0,644,471
0.0,0.0,645,32
21.0,3.0,646,304
97.0,4.0,647,472
20.0,1.0,648,131
17.0,2.0,649,453
16.0,0.0,650,473
53.0,6.0,651,474
16.0,1.0,652,79
46.0,8.0,653,475
5.0,1.0,654,115
29.0,3.0,655,66
23.0,10.0,656,476
46.0,10.0,657,477
46.0,3.0,658,72
14.0,11.0,659,430
108.0,5.0,660,478
45.0,0.0,661,303
20.0,3.0,662,479
9.0,7.0,663,480
19.0,5.0,664,226
0.0,0.0,665,32
15.0,5.0,666,481
119.0,2.0,667,482
1.0,1.0,668,213
18.0,2.0,669,133
111.0,9.0,670,483
7.0,288.0,671,484
86.0,5.0,672,485
151.0,1.0,673,486
110.0,4.0,674,487
6.0,2.0,675,25
25.0,0.0,676,264
2.0,0.0,677,488
2.0,4.0,678,83
137.0,3.0,679,489
50.0,7.0,680,490
113.0,0.0,681,491
28.0,1.0,682,175
69.0,9.0,683,492
36.0,0.0,684,464
32.0,1.0,685,325
20.0,4.0,686,207
91.0,6.0,687,493
108.0,1.0,688,494
34.0,0.0,689,495
61.0,11.0,690,496
26.0,0.0,691,497
28.0,1.0,692,175
2.0,3.0,693,192
18.0,3.0,694,128
104.0,12.0,695,498
20.0,5.0,696,425
36.0,12.0,697,499
20.0,0.0,698,336
0.0,0.0,699,32
126.0,0.0,700,500
0.0,0.0,701,32
2.0,0.0,702,488
0.0,0.0,703,32
2014.0,,704,285
29.0,1.0,705,373
44.0,4.0,706,501
56.0,7.0,707,502
64.0,2.0,708,37
32.0,4.0,709,219
17.0,2.0,710,453
0.0,0.0,711,32
12.0,,712,169
35.0,3.0,713,210
15.0,10.0,714,503
12.0,2.0,715,59
17.0,4.0,716,504
34.0,1.0,717,505
114.0,8.0,718,506
115.0,1.0,719,507
50.0,1.0,720,508
91.0,5.0,721,463
18.0,1.0,722,392
13.0,8.0,723,509
0.0,0.0,724,32
0.0,0.0,725,32
0.0,0.0,726,32
30.0,2.0,727,510
0.0,9.0,728,511
14.0,5.0,729,10
44.0,0.0,730,236
65.0,1.0,731,512
66.0,8.0,732,513
25.0,1.0,733,514
25.0,1.0,734,514
29.0,1.0,735,373
25.0,2.0,736,466
72.0,5.0,737,515
28.0,15.0,738,516
44.0,2.0,739,517
44.0,9.0,740,201
194.0,1.0,741,518
23.0,0.0,742,519
0.0,0.0,743,32
58.0,,744,520
128.0,22.0,745,521
0.0,0.0,746,32
0.0,0.0,747,32
72.0,8.0,748,522
54.0,5.0,749,523
65.0,0.0,750,524
55.0,8.0,751,525
0.0,0.0,752,32
1.0,3.0,753,80
42.0,12.0,754,44
67.0,10.0,755,526
28.0,5.0,756,446
0.0,0.0,757,32
23.0,12.0,758,350
17.0,7.0,759,527
284.0,2.0,760,528
48.0,7.0,761,529
240.0,1.0,762,530
56.0,0.0,763,531
53.0,10.0,764,532
32.0,2.0,765,533
0.0,0.0,766,32
26.0,9.0,767,428
,,768,1
9.0,11.0,769,534
89.0,9.0,770,535
80.0,,771,536
106.0,7.0,772,537
26.0,17.0,773,538
53.0,2.0,774,539
158.0,2.0,775,540
14.0,2.0,776,541
13.0,4.0,777,542
111.0,4.0,778,543
27.0,3.0,779,544
13.0,1.0,780,545
22.0,2.0,781,546
0.0,0.0,782,32
10.0,2.0,783,547
34.0,3.0,784,548
49.0,0.0,785,255
56.0,0.0,786,531
50.0,2.0,787,549
8.0,0.0,788,550
26.0,1.0,789,551
118.0,6.0,790,552
,,791,1
128.0,2.0,792,553
33.0,5.0,793,227
49.0,5.0,794,355
65.0,12.0,795,554
3.0,2.0,796,98
29.0,5.0,797,555
0.0,0.0,798,32
19.0,2.0,799,78
106.0,11.0,800,556
27.0,1.0,801,43
16.0,0.0,802,473
14.0,2.0,803,541
15.0,1.0,804,146
15.0,3.0,805,39
53.0,7.0,806,557
25.0,1.0,807,514
29.0,3.0,808,66
13.0,10.0,809,75
0.0,0.0,810,32
0.0,0.0,811,32
7.0,0.0,812,56
61.0,4.0,813,558
289.0,16.0,814,559
64.0,0.0,815,90
71.0,1.0,816,560
288.0,0.0,817,561
39.0,0.0,818,562
41.0,12.0,819,563
14.0,0.0,820,114
22.0,4.0,821,445
4.0,0.0,822,564
173.0,19.0,823,565
29.0,4.0,824,277
70.0,4.0,825,566
14.0,14.0,826,567
58.0,11.0,827,568
141.0,5.0,828,569
6.0,2.0,829,25
123.0,2.0,830,570
103.0,8.0,831,571
0.0,0.0,832,32
120.0,10.0,833,572
32.0,5.0,834,438
15.0,0.0,835,206
10.0,6.0,836,397
21.0,2.0,837,112
40.0,5.0,838,164
23.0,0.0,839,519
0.0,0.0,840,32
360.0,19.0,841,573
35.0,10.0,842,574
159.0,1.0,843,575
15.0,0.0,844,206
15.0,1.0,845,146
12.0,9.0,846,576
27.0,0.0,847,577
66.0,10.0,848,578
0.0,0.0,849,32
22.0,3.0,850,579
11.0,3.0,851,107
121.0,6.0,852,580
13.0,9.0,853,346
87.0,4.0,854,581
11.0,4.0,855,582
0.0,0.0,856,32
113.0,24.0,857,583
124.0,5.0,858,584
18.0,3.0,859,128
44.0,0.0,860,236
,,861,1
31.0,,862,585
143.0,1.0,863,119
48.0,6.0,864,586
115.0,1.0,865,507
,3.0,866,587
63.0,4.0,867,588
40.0,7.0,868,589
12.0,0.0,869,225
21.0,4.0,870,129
4.0,5.0,871,590
20.0,3.0,872,479
0.0,4.0,873,17
289.0,1.0,874,591
21.0,0.0,875,48
20.0,0.0,876,336
0.0,0.0,877,32
43.0,3.0,878,592
76.0,5.0,879,50
27.0,6.0,880,136
25.0,5.0,881,593
9.0,1.0,882,594
63.0,1.0,883,361
0.0,0.0,884,32
56.0,7.0,885,502
55.0,6.0,886,595
,,887,1
8.0,7.0,888,596
0.0,0.0,889,32
23.0,5.0,890,215
28.0,1.0,891,175
23.0,0.0,892,519
39.0,6.0,893,19
39.0,0.0,894,562
4.0,4.0,895,198
39.0,5.0,896,597
90.0,0.0,897,432
0.0,0.0,898,32
41.0,,899,598
113.0,1.0,900,599
32.0,6.0,901,272
14.0,3.0,902,454
146.0,1.0,903,600
145.0,3.0,904,601
42.0,2.0,905,602
0.0,0.0,906,32
30.0,3.0,907,67
40.0,1.0,908,240
119.0,23.0,909,603
104.0,36.0,910,604
12.0,6.0,911,605
24.0,3.0,912,191
82.0,11.0,913,606
23.0,3.0,914,122
23.0,3.0,915,122
0.0,0.0,916,32
56.0,10.0,917,607
57.0,3.0,918,608
71.0,1.0,919,560
16.0,5.0,920,609
0.0,0.0,921,32
22.0,0.0,922,184
12.0,3.0,923,65
32.0,4.0,924,219
8.0,6.0,925,11
34.0,9.0,926,610
119.0,1.0,927,611
81.0,0.0,928,612
11.0,5.0,929,613
84.0,2.0,930,614
31.0,20.0,931,615
0.0,0.0,932,32
0.0,0.0,933,32
100.0,0.0,934,616
6.0,1.0,935,58
12.0,5.0,936,617
42.0,5.0,937,217
33.0,3.0,938,273
4.0,4.0,939,198
15.0,4.0,940,433
14.0,0.0,941,114
20.0,3.0,942,479
15.0,4.0,943,433
11.0,1.0,944,618
14.0,4.0,945,467
44.0,3.0,946,437
0.0,0.0,947,32
0.0,0.0,948,32
17.0,0.0,949,124
9.0,10.0,950,619
27.0,6.0,951,136
26.0,1.0,952,551
34.0,5.0,953,620
35.0,3.0,954,210
5.0,0.0,955,265
25.0,3.0,956,74
25.0,5.0,957,593
122.0,3.0,958,621
174.0,5.0,959,622
42.0,10.0,960,623
19.0,6.0,961,624
39.0,1.0,962,625
7.0,6.0,963,461
0.0,0.0,964,32
54.0,8.0,965,626
82.0,10.0,966,627
24.0,2.0,967,34
379.0,,968,628
8.0,2.0,969,162
13.0,1.0,970,545
202.0,1.0,971,629
7.0,,972,16
239.0,6.0,973,630
15.0,5.0,974,481
101.0,,975,631
0.0,0.0,976,32
65.0,,977,632
0.0,0.0,978,32
153.0,7.0,979,633
7457.0,0.0,980,634
29.0,2.0,981,6
39.0,0.0,982,562
73.0,2.0,983,635
19.0,2.0,984,78
0.0,6.0,985,636
51.0,7.0,986,637
13.0,9.0,987,346
21.0,0.0,988,48
55.0,7.0,989,363
72.0,5.0,990,515
188.0,9.0,991,638
35.0,4.0,992,457
11.0,2.0,993,69
28.0,4.0,994,104
144.0,2.0,995,639
78.0,3.0,996,640
,,997,1
26.0,9.0,998,428
13.0,1.0,999,545
