act_dep_time,original_index,unique_index,count
7:59 p.m.,155,43,13.0
12:12 p.m.,156,7,23.0
3:50 p.m.,157,44,10.0
12:37 p.m.,158,96,6.0
10:53 a.m.,159,46,11.0
Not Available,160,97,18.0
6:10 a.m.,161,40,23.0
12:58 a.m.,162,98,6.0
4:10 p.m.,163,48,12.0
7:56 a.m.,164,99,9.0
10:35 a.m.,165,100,7.0
10:11 a.m.,166,49,13.0
8:26 a.m.,167,50,19.0
7:25 a.m.,168,5,22.0
4:30 p.m.,169,101,8.0
10:55 a.m.,170,9,25.0
2:59 p.m.,171,102,12.0
8:18 a.m.,172,103,7.0
3:04 p.m.,173,51,21.0
12:13 p.m.,174,14,19.0
12:06 p.m.,175,104,8.0
6:09 a.m.,176,52,16.0
11:45 a.m.,177,53,13.0
6:17 a.m.,178,105,6.0
9:01 a.m.,179,95,14.0
10:19 a.m.,180,54,23.0
2:04 p.m.,181,12,22.0
8:07 a.m.,182,56,13.0
12:56 p.m.,183,57,14.0
12:14 p.m.,184,58,12.0
2:43 p.m.,185,59,12.0
12:08 p.m.,186,106,7.0
5:38 p.m.,187,80,14.0
8:36 p.m.,188,107,6.0
11:06 a.m.,189,61,14.0
,190,2,
3:36 p.m.,191,19,27.0
7:22 a.m.,192,29,33.0
Not Available,193,97,18.0
6:56 p.m.,194,64,17.0
Not Available,195,97,18.0
2:38 p.m.,196,108,7.0
9:58 a.m.,197,109,6.0
6:57 a.m.,198,16,22.0
7:31 a.m.,199,39,29.0
5:09 p.m.,200,65,11.0
4:46 p.m.,201,110,7.0
4:37 p.m.,202,67,11.0
8:23 p.m.,203,26,21.0
10:37 a.m.,204,111,6.0
7:31 a.m.,205,39,29.0
11:02 a.m.,206,68,12.0
1:48 p.m.,207,69,23.0
12:42 p.m.,208,70,14.0
2:01 p.m.,209,112,8.0
,210,2,
Not Available,211,97,18.0
Not Available,212,97,18.0
Not Available,213,97,18.0
7:23 a.m.,214,75,24.0
8:52 a.m.,215,76,17.0
8:37 a.m.,216,77,11.0
Not Available,217,97,18.0
3:17 p.m.,218,113,7.0
7:41 a.m.,219,79,14.0
,220,2,
,221,2,
12:45 a.m.,222,114,1.0
11:47 a.m.,223,82,13.0
8:40 p.m.,224,83,12.0
3:04 p.m.,225,51,21.0
2:59 p.m.,226,102,12.0
9:43 a.m.,227,115,8.0
2:44 p.m.,228,32,22.0
3:28 p.m.,229,84,17.0
7:23 a.m.,230,75,24.0
12:11 p.m.,231,22,20.0
8:05 a.m.,232,116,9.0
9:05 a.m.,233,117,6.0
1:20 p.m.,234,85,12.0
8:56 a.m.,235,36,13.0
3:38 p.m.,236,87,12.0
8:04 a.m.,237,10,32.0
11:41 a.m.,238,45,11.0
4:12 p.m.,239,38,21.0
11:52 a.m.,240,17,22.0
7:40 a.m.,241,91,22.0
4:02 p.m.,242,118,7.0
11:55 a.m.,243,88,13.0
10:55 a.m.,244,9,25.0
6:58 a.m.,245,89,12.0
4:15 p.m.,246,119,14.0
6:11 a.m.,247,90,11.0
7:40 a.m.,248,91,22.0
7:32 a.m.,249,92,14.0
,250,2,
6:54 a.m.,251,3,21.0
8:49 a.m.,252,94,7.0
,253,2,
,254,2,
6:56 p.m.,255,64,17.0
,256,2,
,257,2,
,258,2,
,259,2,
11:58 p.m.,260,120,1.0
,261,2,
,262,2,
,263,2,
,264,2,
,265,2,
,266,2,
,267,2,
,268,2,
,269,2,
6:09 a.m.,270,52,16.0
,271,2,
,272,2,
,273,2,
,274,2,
10:19 a.m.,275,54,23.0
,276,2,
2:04 p.m.,277,12,22.0
,278,2,
10:11 a.m.,279,49,13.0
,280,2,
,281,2,
7:40 a.m.,282,91,22.0
11:52 a.m.,283,17,22.0
11:06 a.m.,284,61,14.0
7:22 a.m.,285,29,33.0
,286,2,
,287,2,
12:12 p.m.,288,7,23.0
,289,2,
,290,2,
,291,2,
,292,2,
7:31 a.m.,293,39,29.0
,294,2,
,295,2,
,296,2,
,297,2,
,298,2,
11:02 a.m.,299,68,12.0
,300,2,
12:11 a.m.,301,71,5.0
4:30 p.m.,302,101,8.0
,303,2,
8:44 p.m.,304,121,1.0
7:23 a.m.,305,75,24.0
8:52 a.m.,306,76,17.0
,307,2,
,308,2,
,309,2,
,310,2,
,311,2,
,312,2,
,313,2,
,314,2,
,315,2,
,316,2,
,317,2,
,318,2,
7:23 a.m.,319,75,24.0
,320,2,
,321,2,
,322,2,
,323,2,
1:20 p.m.,324,85,12.0
8:07 a.m.,325,56,13.0
,326,2,
,327,2,
,328,2,
,329,2,
,330,2,
,331,2,
6:58 a.m.,332,89,12.0
,333,2,
,334,2,
7:40 a.m.,335,91,22.0
,336,2,
7:16 a.m.,337,0,22.0
,338,2,
6:54 a.m.,339,3,21.0
8:48 a.m.,340,41,5.0
9:00 a.m.,341,42,5.0
7:59 p.m.,342,43,13.0
3:50 p.m.,343,44,10.0
,344,2,
11:41 a.m.,345,45,11.0
10:53 a.m.,346,46,11.0
11:29 p.m.,347,47,4.0
6:10 a.m.,348,40,23.0
,349,2,
4:10 p.m.,350,48,12.0
,351,2,
,352,2,
10:11 a.m.,353,49,13.0
8:26 a.m.,354,50,19.0
7:25 a.m.,355,5,22.0
4:29 p.m.,356,6,13.0
10:54 a.m.,357,28,11.0
,358,2,
,359,2,
3:04 p.m.,360,51,21.0
12:13 p.m.,361,14,19.0
,362,2,
6:09 a.m.,363,52,16.0
11:45 a.m.,364,53,13.0
,365,2,
,366,2,
10:19 a.m.,367,54,23.0
2:03 p.m.,368,55,4.0
8:07 a.m.,369,56,13.0
12:56 p.m.,370,57,14.0
12:14 p.m.,371,58,12.0
2:43 p.m.,372,59,12.0
12:07 p.m.,373,60,6.0
,374,2,
,375,2,
11:06 a.m.,376,61,14.0
1:43 p.m.,377,62,9.0
,378,2,
7:22 a.m.,379,29,33.0
6:47 p.m.,380,63,7.0
6:56 p.m.,381,64,17.0
12:12 p.m.,382,7,23.0
,383,2,
2:04 p.m.,384,12,22.0
,385,2,
6:57 a.m.,386,16,22.0
7:31 a.m.,387,39,29.0
5:09 p.m.,388,65,11.0
7:39 a.m.,389,15,25.0
4:44 p.m.,390,66,4.0
4:37 p.m.,391,67,11.0
8:23 p.m.,392,26,21.0
,393,2,
7:30 a.m.,394,24,11.0
11:02 a.m.,395,68,12.0
1:48 p.m.,396,69,23.0
12:42 p.m.,397,70,14.0
,398,2,
12:11 a.m.,399,71,5.0
4:28 p.m.,400,72,12.0
9:06 p.m.,401,73,4.0
8:29 p.m.,402,74,7.0
7:23 a.m.,403,75,24.0
8:52 a.m.,404,76,17.0
8:37 a.m.,405,77,11.0
1:41 p.m.,406,78,4.0
,407,2,
7:41 a.m.,408,79,14.0
,409,2,
5:38 p.m.,410,80,14.0
1:50 p.m. (+8:00),411,81,4.0
11:47 a.m.,412,82,13.0
8:40 p.m.,413,83,12.0
3:04 p.m.,414,51,21.0
,415,2,
,416,2,
2:44 p.m.,417,32,22.0
3:28 p.m.,418,84,17.0
7:22 a.m.,419,29,33.0
12:11 p.m.,420,22,20.0
8:04 a.m.,421,10,32.0
,422,2,
1:20 p.m.,423,85,12.0
8:55 a.m.,424,86,4.0
3:38 p.m.,425,87,12.0
8:04 a.m.,426,10,32.0
4:12 p.m.,427,38,21.0
11:52 a.m.,428,17,22.0
,429,2,
11:55 a.m.,430,88,13.0
10:55 a.m.,431,9,25.0
6:58 a.m.,432,89,12.0
,433,2,
6:11 a.m.,434,90,11.0
7:40 a.m.,435,91,22.0
7:32 a.m.,436,92,14.0
7:16 a.m.,437,0,22.0
7:42 p.m.,438,93,9.0
6:54 a.m.,439,3,21.0
8:49 a.m.,440,94,7.0
9:01 a.m.,441,95,14.0
7:59 p.m.,442,43,13.0
12:12 p.m.,443,7,23.0
3:50 p.m.,444,44,10.0
12:37 p.m.,445,96,6.0
10:53 a.m.,446,46,11.0
,447,2,
6:10 a.m.,448,40,23.0
12:58 a.m.,449,98,6.0
4:10 p.m.,450,48,12.0
7:56 a.m.,451,99,9.0
10:35 a.m.,452,100,7.0
10:11 a.m.,453,49,13.0
8:26 a.m.,454,50,19.0
7:25 a.m.,455,5,22.0
4:30 p.m.,456,101,8.0
10:55 a.m.,457,9,25.0
2:59 p.m.,458,102,12.0
8:18 a.m.,459,103,7.0
3:04 p.m.,460,51,21.0
12:13 p.m.,461,14,19.0
12:06 p.m.,462,104,8.0
6:09 a.m.,463,52,16.0
11:45 a.m.,464,53,13.0
6:17 a.m.,465,105,6.0
9:01 a.m.,466,95,14.0
10:19 a.m.,467,54,23.0
2:04 p.m.,468,12,22.0
8:07 a.m.,469,56,13.0
12:56 p.m.,470,57,14.0
12:14 p.m.,471,58,12.0
2:43 p.m.,472,59,12.0
12:08 p.m.,473,106,7.0
5:38 p.m.,474,80,14.0
8:36 p.m.,475,107,6.0
11:06 a.m.,476,61,14.0
1:43 p.m.,477,62,9.0
3:36 p.m.,478,19,27.0
7:22 a.m.,479,29,33.0
,480,2,
6:56 p.m.,481,64,17.0
,482,2,
2:38 p.m.,483,108,7.0
9:58 a.m.,484,109,6.0
6:57 a.m.,485,16,22.0
7:31 a.m.,486,39,29.0
5:09 p.m.,487,65,11.0
4:46 p.m.,488,110,7.0
4:37 p.m.,489,67,11.0
8:23 p.m.,490,26,21.0
10:37 a.m.,491,111,6.0
7:31 a.m.,492,39,29.0
11:02 a.m.,493,68,12.0
1:48 p.m.,494,69,23.0
12:42 p.m.,495,70,14.0
2:01 p.m.,496,112,8.0
,497,2,
,498,2,
,499,2,
,500,2,
7:23 a.m.,501,75,24.0
8:52 a.m.,502,76,17.0
8:37 a.m.,503,77,11.0
,504,2,
3:17 p.m.,505,113,7.0
7:41 a.m.,506,79,14.0
,507,2,
,508,2,
1:45 p.m.,509,122,5.0
11:47 a.m.,510,82,13.0
8:40 p.m.,511,83,12.0
3:04 p.m.,512,51,21.0
2:59 p.m.,513,102,12.0
9:43 a.m.,514,115,8.0
2:44 p.m.,515,32,22.0
3:28 p.m.,516,84,17.0
7:23 a.m.,517,75,24.0
12:11 p.m.,518,22,20.0
8:05 a.m.,519,116,9.0
9:05 a.m.,520,117,6.0
1:20 p.m.,521,85,12.0
8:56 a.m.,522,36,13.0
3:38 p.m.,523,87,12.0
8:04 a.m.,524,10,32.0
11:41 a.m.,525,45,11.0
4:12 p.m.,526,38,21.0
11:52 a.m.,527,17,22.0
7:40 a.m.,528,91,22.0
4:02 p.m.,529,118,7.0
11:55 a.m.,530,88,13.0
10:55 a.m.,531,9,25.0
6:58 a.m.,532,89,12.0
4:15 p.m.,533,119,14.0
6:11 a.m.,534,90,11.0
7:40 a.m.,535,91,22.0
7:32 a.m.,536,92,14.0
7:16 a.m.,537,0,22.0
7:14 p.m.,538,123,8.0
6:54 a.m.,539,3,21.0
8:29 a.m.,540,124,7.0
8:42 a.m.,541,125,7.0
7:58 p.m.,542,1,5.0
12:13 p.m.,543,14,19.0
6:47 p.m. (Estimated runway),544,126,3.0
3:28 p.m.,545,84,17.0
11:32 a.m.,546,127,7.0
11:29 p.m. (Estimated runway),547,128,3.0
5:56 a.m.,548,129,7.0
12:41 a.m.,549,130,7.0
3:58 p.m.,550,131,17.0
7:29 a.m.,551,132,6.0
10:19 a.m.,552,54,23.0
7:25 a.m.,553,5,22.0
8:12 a.m.,554,133,6.0
4:29 p.m.,555,6,13.0
10:10 a.m.,556,13,12.0
2:48 p.m.,557,134,17.0
5:22 p.m.,558,135,7.0
12:12 p.m.,559,7,23.0
11:56 a.m.,560,136,6.0
6:08 a.m.,561,8,9.0
11:30 a.m.,562,137,7.0
6:02 a.m.,563,138,8.0
8:40 a.m.,564,139,7.0
8:04 a.m.,565,10,32.0
10:18 a.m.,566,11,7.0
8:04 a.m.,567,10,32.0
2:04 p.m.,568,12,22.0
6:57 a.m.,569,16,22.0
12:41 p.m.,570,4,8.0
12:35 p.m.,571,140,7.0
11:51 a.m.,572,141,6.0
8:25 p.m.,573,142,8.0
11:52 a.m.,574,17,22.0
11:05 a.m.,575,18,10.0
1:32 p.m.,576,143,11.0
3:36 p.m.,577,19,27.0
7:21 a.m.,578,20,11.0
8:00 a.m.,579,144,7.0
6:55 p.m.,580,21,8.0
12:11 p.m.,581,22,20.0
7:15 p.m. (Estimated),582,145,5.0
2:10 p.m.,583,146,6.0
9:14 a.m.,584,147,9.0
6:56 a.m.,585,23,12.0
7:30 a.m.,586,24,11.0
5:08 p.m.,587,25,8.0
7:39 a.m.,588,15,25.0
4:28 p.m.,589,72,12.0
4:15 p.m.,590,119,14.0
8:23 p.m.,591,26,21.0
10:20 a.m.,592,148,7.0
7:07 a.m.,593,149,5.0
11:01 a.m.,594,27,9.0
1:31 p.m.,595,150,9.0
1:48 p.m.,596,69,23.0
12:10 a.m. (Estimated runway),597,151,4.0
4:28 p.m. (Estimated runway),598,152,5.0
9:06 p.m. (Estimated runway),599,153,4.0
8:29 p.m. (Estimated runway),600,154,4.0
2:46 p.m.,601,155,7.0
7:22 a.m.,602,29,33.0
8:51 a.m.,603,30,13.0
2:26 p.m.,604,156,7.0
8:26 a.m.,605,50,19.0
3:01 p.m.,606,157,10.0
,607,2,
5:30 p.m. (Estimated),608,158,2.0
11:15 a.m.,609,159,6.0
8:39 p.m.,610,31,8.0
2:52 p.m.,611,160,6.0
2:48 p.m.,612,134,17.0
2:44 p.m.,613,32,22.0
3:27 p.m.,614,33,12.0
7:22 a.m.,615,29,33.0
12:10 p.m.,616,34,11.0
1:19 p.m.,617,35,12.0
7:49 a.m.,618,161,7.0
8:56 a.m.,619,36,13.0
3:36 p.m.,620,19,27.0
4:12 p.m.,621,38,21.0
7:31 a.m.,622,39,29.0
3:31 p.m.,623,162,9.0
11:43 a.m.,624,163,7.0
10:54 a.m.,625,28,11.0
3:58 p.m.,626,131,17.0
6:10 a.m.,627,40,23.0
7:39 a.m.,628,15,25.0
7:16 a.m.,629,0,22.0
7:42 p.m.,630,93,9.0
6:54 a.m.,631,3,21.0
8:49 a.m.,632,94,7.0
9:01 a.m.,633,95,14.0
7:59 p.m.,634,43,13.0
12:12 p.m.,635,7,23.0
3:50 p.m.,636,44,10.0
12:37 p.m.,637,96,6.0
10:53 a.m.,638,46,11.0
,639,2,
6:10 a.m.,640,40,23.0
12:58 a.m.,641,98,6.0
4:10 p.m.,642,48,12.0
7:56 a.m.,643,99,9.0
10:35 a.m.,644,100,7.0
10:11 a.m.,645,49,13.0
8:26 a.m.,646,50,19.0
7:25 a.m.,647,5,22.0
4:30 p.m.,648,101,8.0
10:55 a.m.,649,9,25.0
2:59 p.m.,650,102,12.0
8:18 a.m.,651,103,7.0
3:04 p.m.,652,51,21.0
12:13 p.m.,653,14,19.0
12:06 p.m.,654,104,8.0
6:09 a.m.,655,52,16.0
11:45 a.m.,656,53,13.0
6:17 a.m.,657,105,6.0
9:01 a.m.,658,95,14.0
10:19 a.m.,659,54,23.0
2:04 p.m.,660,12,22.0
8:07 a.m.,661,56,13.0
12:56 p.m.,662,57,14.0
12:14 p.m.,663,58,12.0
2:43 p.m.,664,59,12.0
12:08 p.m.,665,106,7.0
5:38 p.m.,666,80,14.0
8:36 p.m.,667,107,6.0
11:06 a.m.,668,61,14.0
1:43 p.m.,669,62,9.0
3:36 p.m.,670,19,27.0
7:22 a.m.,671,29,33.0
,672,2,
6:56 p.m.,673,64,17.0
,674,2,
2:38 p.m.,675,108,7.0
9:58 a.m.,676,109,6.0
6:57 a.m.,677,16,22.0
7:31 a.m.,678,39,29.0
5:09 p.m.,679,65,11.0
4:46 p.m.,680,110,7.0
4:37 p.m.,681,67,11.0
8:23 p.m.,682,26,21.0
10:37 a.m.,683,111,6.0
7:31 a.m.,684,39,29.0
11:02 a.m.,685,68,12.0
1:48 p.m.,686,69,23.0
12:42 p.m.,687,70,14.0
2:01 p.m.,688,112,8.0
,689,2,
,690,2,
,691,2,
,692,2,
7:23 a.m.,693,75,24.0
8:52 a.m.,694,76,17.0
8:37 a.m.,695,77,11.0
,696,2,
3:17 p.m.,697,113,7.0
7:41 a.m.,698,79,14.0
,699,2,
,700,2,
1:45 p.m.,701,122,5.0
11:47 a.m.,702,82,13.0
8:40 p.m.,703,83,12.0
3:04 p.m.,704,51,21.0
2:59 p.m.,705,102,12.0
9:43 a.m.,706,115,8.0
2:44 p.m.,707,32,22.0
3:28 p.m.,708,84,17.0
7:23 a.m.,709,75,24.0
12:11 p.m.,710,22,20.0
8:05 a.m.,711,116,9.0
9:05 a.m.,712,117,6.0
1:20 p.m.,713,85,12.0
8:56 a.m.,714,36,13.0
3:38 p.m.,715,87,12.0
8:04 a.m.,716,10,32.0
11:41 a.m.,717,45,11.0
4:12 p.m.,718,38,21.0
11:52 a.m.,719,17,22.0
7:40 a.m.,720,91,22.0
4:02 p.m.,721,118,7.0
11:55 a.m.,722,88,13.0
10:55 a.m.,723,9,25.0
6:58 a.m.,724,89,12.0
4:15 p.m.,725,119,14.0
6:11 a.m.,726,90,11.0
7:40 a.m.,727,91,22.0
7:32 a.m.,728,92,14.0
7:16 a.m.,729,0,22.0
7:59 p.m.,730,43,13.0
7:41 p.m.,731,164,1.0
8:47 a.m.,732,165,1.0
9:01 a.m.,733,95,14.0
,734,2,
11:41 a.m.,735,45,11.0
10:53 a.m.,736,46,11.0
,737,2,
6:09 a.m.,738,52,16.0
12:57 a.m.,739,166,1.0
12:42 p.m.,740,70,14.0
7:25 a.m.,741,5,22.0
4:30 p.m.,742,101,8.0
10:11 a.m.,743,49,13.0
12:13 p.m.,744,14,19.0
12:05 p.m.,745,167,1.0
6:09 a.m.,746,52,16.0
8:05 a.m.,747,116,9.0
10:19 a.m.,748,54,23.0
8:04 a.m.,749,10,32.0
2:04 p.m.,750,12,22.0
12:55 p.m.,751,168,1.0
12:14 p.m.,752,58,12.0
2:41 p.m.,753,169,1.0
11:52 a.m.,754,17,22.0
11:06 a.m.,755,61,14.0
,756,2,
3:36 p.m.,757,19,27.0
7:22 a.m.,758,29,33.0
6:56 p.m.,759,64,17.0
12:12 p.m.,760,7,23.0
9:56 a.m.,761,170,1.0
6:57 a.m.,762,16,22.0
7:31 a.m.,763,39,29.0
5:09 p.m.,764,65,11.0
7:40 a.m.,765,91,22.0
4:35 p.m.,766,171,3.0
8:23 p.m.,767,26,21.0
10:55 a.m.,768,9,25.0
1:46 p.m.,769,172,1.0
1:59 p.m.,770,173,1.0
,771,2,
,772,2,
,773,2,
7:23 a.m.,774,75,24.0
8:52 a.m.,775,76,17.0
8:37 a.m.,776,77,11.0
,777,2,
11/30/2011 11:34 p.m.,778,174,1.0
,779,2,
8:17 a.m.,780,175,1.0
2:44 p.m.,781,32,22.0
7:23 a.m.,782,75,24.0
,783,2,
7:41 a.m.,784,79,14.0
12:11 p.m.,785,22,20.0
1:20 p.m.,786,85,12.0
7:32 a.m.,787,92,14.0
10:55 a.m.,788,9,25.0
6:58 a.m.,789,89,12.0
6:11 a.m.,790,90,11.0
7:40 a.m.,791,91,22.0
,792,2,
,793,2,
,794,2,
,795,2,
,796,2,
12:30,797,176,1.0
,798,2,
,799,2,
,800,2,
,801,2,
,802,2,
,803,2,
,804,2,
,805,2,
,806,2,
,807,2,
,808,2,
,809,2,
,810,2,
7:16 a.m.,811,0,22.0
7:14 p.m.,812,123,8.0
6:54 a.m.,813,3,21.0
8:29 a.m.,814,124,7.0
8:42 a.m.,815,125,7.0
,816,2,
12:11 p.m.,817,22,20.0
3:28 p.m.,818,84,17.0
11:32 a.m.,819,127,7.0
10:33 a.m.,820,177,4.0
,821,2,
5:56 a.m.,822,129,7.0
12:41 a.m.,823,130,7.0
3:58 p.m.,824,131,17.0
7:29 a.m.,825,132,6.0
10:19 a.m.,826,54,23.0
10:10 a.m.,827,13,12.0
8:12 a.m.,828,133,6.0
7:25 a.m.,829,5,22.0
4:29 p.m.,830,6,13.0
10:55 a.m.,831,9,25.0
2:48 p.m.,832,134,17.0
8:00 a.m.,833,144,7.0
2:46 p.m.,834,155,7.0
12:12 p.m.,835,7,23.0
11:56 a.m.,836,136,6.0
6:08 a.m.,837,8,9.0
11:30 a.m.,838,137,7.0
6:02 a.m.,839,138,8.0
8:40 a.m.,840,139,7.0
10:18 a.m.,841,11,7.0
2:04 p.m.,842,12,22.0
7:49 a.m.,843,161,7.0
12:35 p.m.,844,140,7.0
12:13 p.m.,845,14,19.0
2:26 p.m.,846,156,7.0
11:51 a.m.,847,141,6.0
5:22 p.m.,848,135,7.0
8:25 p.m.,849,142,8.0
11:05 a.m.,850,18,10.0
1:32 p.m.,851,143,11.0
3:36 p.m.,852,19,27.0
7:21 a.m.,853,20,11.0
,854,2,
6:55 p.m.,855,21,8.0
,856,2,
2:10 p.m.,857,146,6.0
9:14 a.m.,858,147,9.0
6:56 a.m.,859,23,12.0
7:30 a.m.,860,24,11.0
5:08 p.m.,861,25,8.0
4:28 p.m.,862,72,12.0
4:15 p.m.,863,119,14.0
8:23 p.m.,864,26,21.0
10:20 a.m.,865,148,7.0
7:07 a.m.,866,149,5.0
11:01 a.m.,867,27,9.0
1:31 p.m.,868,150,9.0
12:41 p.m.,869,4,8.0
1:48 p.m.,870,69,23.0
,871,2,
,872,2,
,873,2,
,874,2,
7:22 a.m.,875,29,33.0
8:51 a.m.,876,30,13.0
8:26 a.m.,877,50,19.0
,878,2,
3:01 p.m.,879,157,10.0
7:27 a.m.,880,178,4.0
,881,2,
,882,2,
1:32 p.m.,883,143,11.0
11:15 a.m.,884,159,6.0
8:39 p.m.,885,31,8.0
2:52 p.m.,886,160,6.0
2:48 p.m.,887,134,17.0
9:16 a.m.,888,179,3.0
2:44 p.m.,889,32,22.0
3:27 p.m.,890,33,12.0
7:22 a.m.,891,29,33.0
12:10 p.m.,892,34,11.0
8:04 a.m.,893,10,32.0
8:52 a.m.,894,76,17.0
1:19 p.m.,895,35,12.0
8:56 a.m.,896,36,13.0
3:36 p.m.,897,19,27.0
8:04 a.m.,898,10,32.0
11:40 a.m.,899,37,4.0
4:12 p.m.,900,38,21.0
11:52 a.m.,901,17,22.0
7:39 a.m.,902,15,25.0
3:31 p.m.,903,162,9.0
11:43 a.m.,904,163,7.0
10:54 a.m.,905,28,11.0
6:57 a.m.,906,16,22.0
3:58 p.m.,907,131,17.0
6:10 a.m.,908,40,23.0
7:39 a.m.,909,15,25.0
7:31 a.m.,910,39,29.0
7:16 a.m.,911,0,22.0
6:56 p.m.,912,64,17.0
,913,2,
12:14 p.m.,914,58,12.0
,915,2,
,916,2,
7:56 a.m.,917,99,9.0
,918,2,
,919,2,
,920,2,
6:09 a.m.,921,52,16.0
10:19 a.m.,922,54,23.0
2:04 p.m.,923,12,22.0
6:57 a.m.,924,16,22.0
12:56 p.m.,925,57,14.0
4:02 p.m.,926,118,7.0
10:11 a.m.,927,49,13.0
11:52 a.m.,928,17,22.0
11:06 a.m.,929,61,14.0
6:55 p.m.,930,21,8.0
12:12 p.m.,931,7,23.0
7:15 p.m. (Estimated),932,145,5.0
,933,2,
4:46 p.m.,934,110,7.0
4:37 p.m.,935,67,11.0
,936,2,
,937,2,
7:31 a.m.,938,39,29.0
11:02 a.m.,939,68,12.0
