article_language,original_index,unique_index,count
eng,525,0,464.0
eng,526,0,464.0
,527,5,
eng,528,0,464.0
eng,529,0,464.0
English,530,4,95.0
eng,531,0,464.0
eng,532,0,464.0
ENG,533,1,23.0
eng,534,0,464.0
eng,535,0,464.0
,536,5,
,537,5,
English,538,4,95.0
eng,539,0,464.0
eng,540,0,464.0
,541,5,
,542,5,
,543,5,
,544,5,
,545,5,
English,546,4,95.0
,547,5,
eng,548,0,464.0
ENG,549,1,23.0
ENG,550,1,23.0
,551,5,
,552,5,
eng,553,0,464.0
eng,554,0,464.0
eng,555,0,464.0
English,556,4,95.0
,557,5,
eng,558,0,464.0
eng,559,0,464.0
,560,5,
,561,5,
,562,5,
eng,563,0,464.0
,564,5,
eng,565,0,464.0
eng,566,0,464.0
,567,5,
,568,5,
eng,569,0,464.0
engpor,570,24,1.0
,571,5,
heb,572,25,1.0
eng,573,0,464.0
eng,574,0,464.0
,575,5,
eng,576,0,464.0
English,577,4,95.0
English,578,4,95.0
ita,579,26,3.0
eng,580,0,464.0
eng,581,0,464.0
,582,5,
English,583,4,95.0
,584,5,
eng,585,0,464.0
eng,586,0,464.0
,587,5,
,588,5,
jpn,589,19,7.0
eng,590,0,464.0
,591,5,
English,592,4,95.0
eng,593,0,464.0
,594,5,
eng,595,0,464.0
eng,596,0,464.0
,597,5,
eng,598,0,464.0
,599,5,
eng,600,0,464.0
English,601,4,95.0
,602,5,
eng,603,0,464.0
eng,604,0,464.0
eng,605,0,464.0
,606,5,
,607,5,
ger,608,17,6.0
eng,609,0,464.0
,610,5,
eng,611,0,464.0
eng,612,0,464.0
,613,5,
eng,614,0,464.0
eng,615,0,464.0
eng,616,0,464.0
,617,5,
,618,5,
English,619,4,95.0
English,620,4,95.0
ger,621,17,6.0
eng,622,0,464.0
,623,5,
,624,5,
eng,625,0,464.0
eng,626,0,464.0
eng,627,0,464.0
eng,628,0,464.0
English,629,4,95.0
English,630,4,95.0
,631,5,
,632,5,
,633,5,
,634,5,
eng,635,0,464.0
,636,5,
,637,5,
eng,638,0,464.0
English,639,4,95.0
eng,640,0,464.0
,641,5,
ENG,642,1,23.0
eng,643,0,464.0
eng,644,0,464.0
,645,5,
eng,646,0,464.0
eng,647,0,464.0
eng,648,0,464.0
eng,649,0,464.0
,650,5,
eng,651,0,464.0
eng,652,0,464.0
,653,5,
eng,654,0,464.0
,655,5,
eng,656,0,464.0
eng,657,0,464.0
eng,658,0,464.0
eng,659,0,464.0
eng,660,0,464.0
,661,5,
eng,662,0,464.0
eng,663,0,464.0
eng,664,0,464.0
Eng,665,27,2.0
"Chinese     English, Chinese",666,28,1.0
,667,5,
,668,5,
,669,5,
,670,5,
French,671,29,1.0
,672,5,
,673,5,
eng,674,0,464.0
,675,5,
eng,676,0,464.0
,677,5,
,678,5,
eng,679,0,464.0
,680,5,
,681,5,
English,682,4,95.0
eng,683,0,464.0
,684,5,
eng,685,0,464.0
,686,5,
eng,687,0,464.0
eng,688,0,464.0
jpn,689,19,7.0
eng,690,0,464.0
,691,5,
English,692,4,95.0
ENG,693,1,23.0
eng,694,0,464.0
,695,5,
,696,5,
,697,5,
eng,698,0,464.0
English,699,4,95.0
,700,5,
English,701,4,95.0
eng,702,0,464.0
,703,5,
eng,704,0,464.0
eng,705,0,464.0
eng,706,0,464.0
eng,707,0,464.0
eng,708,0,464.0
eng,709,0,464.0
English,710,4,95.0
,711,5,
eng,712,0,464.0
eng,713,0,464.0
,714,5,
eng,715,0,464.0
,716,5,
eng,717,0,464.0
English,718,4,95.0
eng,719,0,464.0
,720,5,
eng,721,0,464.0
,722,5,
eng,723,0,464.0
,724,5,
,725,5,
,726,5,
,727,5,
,728,5,
,729,5,
,730,5,
,731,5,
eng,732,0,464.0
eng,733,0,464.0
eng,734,0,464.0
eng,735,0,464.0
eng,736,0,464.0
eng,737,0,464.0
,738,5,
eng,739,0,464.0
,740,5,
eng,741,0,464.0
,742,5,
,743,5,
eng,744,0,464.0
,745,5,
Eng,746,27,2.0
,747,5,
,748,5,
ger,749,17,6.0
eng,750,0,464.0
eng,751,0,464.0
,752,5,
ENG,753,1,23.0
jpn,754,19,7.0
eng,755,0,464.0
eng,756,0,464.0
,757,5,
en,758,30,1.0
,759,5,
eng,760,0,464.0
eng,761,0,464.0
eng,762,0,464.0
,763,5,
eng,764,0,464.0
eng,765,0,464.0
,766,5,
jpn,767,19,7.0
ENG,768,1,23.0
eng,769,0,464.0
fre,770,10,4.0
eng,771,0,464.0
eng,772,0,464.0
eng,773,0,464.0
eng,774,0,464.0
eng,775,0,464.0
,776,5,
,777,5,
English     Italian,778,31,1.0
eng,779,0,464.0
eng,780,0,464.0
eng,781,0,464.0
,782,5,
,783,5,
ita,784,26,3.0
,785,5,
English,786,4,95.0
rus,787,32,1.0
eng,788,0,464.0
,789,5,
eng,790,0,464.0
ENG,791,1,23.0
,792,5,
,793,5,
eng,794,0,464.0
eng,795,0,464.0
pt,796,33,2.0
eng,797,0,464.0
,798,5,
eng,799,0,464.0
eng,800,0,464.0
eng,801,0,464.0
eng,802,0,464.0
English,803,4,95.0
,804,5,
,805,5,
eng,806,0,464.0
eng,807,0,464.0
eng,808,0,464.0
,809,5,
,810,5,
,811,5,
English,812,4,95.0
eng,813,0,464.0
English,814,4,95.0
eng,815,0,464.0
English,816,4,95.0
English,817,4,95.0
eng,818,0,464.0
,819,5,
,820,5,
eng,821,0,464.0
,822,5,
eng,823,0,464.0
eng,824,0,464.0
eng,825,0,464.0
,826,5,
eng,827,0,464.0
English,828,4,95.0
eng,829,0,464.0
English,830,4,95.0
eng,831,0,464.0
,832,5,
eng,833,0,464.0
eng,834,0,464.0
,835,5,
eng,836,0,464.0
eng,837,0,464.0
eng,838,0,464.0
eng,839,0,464.0
,840,5,
eng,841,0,464.0
eng,842,0,464.0
,843,5,
,844,5,
English,845,4,95.0
eng,846,0,464.0
,847,5,
eng,848,0,464.0
English,849,4,95.0
eng,850,0,464.0
,851,5,
,852,5,
eng,853,0,464.0
eng,854,0,464.0
eng,855,0,464.0
,856,5,
,857,5,
,858,5,
,859,5,
,860,5,
ENG,861,1,23.0
spa,862,11,4.0
spa,863,11,4.0
English,864,4,95.0
eng,865,0,464.0
eng,866,0,464.0
eng,867,0,464.0
,868,5,
eng,869,0,464.0
,870,5,
eng,871,0,464.0
eng,872,0,464.0
eng,873,0,464.0
eng,874,0,464.0
eng,875,0,464.0
eng,876,0,464.0
,877,5,
eng,878,0,464.0
eng,879,0,464.0
eng,880,0,464.0
,881,5,
,882,5,
,883,5,
,884,5,
German,885,21,2.0
,886,5,
ENG,887,1,23.0
eng,888,0,464.0
English; ABSTRACT LANGUAGE:English,889,3,4.0
,890,5,
eng,891,0,464.0
eng,892,0,464.0
eng,893,0,464.0
,894,5,
eng,895,0,464.0
,896,5,
eng,897,0,464.0
,898,5,
eng,899,0,464.0
,900,5,
,901,5,
eng,902,0,464.0
English,903,4,95.0
eng,904,0,464.0
,905,5,
,906,5,
eng,907,0,464.0
English,908,4,95.0
eng,909,0,464.0
English,910,4,95.0
eng,911,0,464.0
English,912,4,95.0
eng,913,0,464.0
eng,914,0,464.0
,915,5,
,916,5,
eng,917,0,464.0
eng,918,0,464.0
eng,919,0,464.0
ita,920,26,3.0
,921,5,
,922,5,
,923,5,
eng,924,0,464.0
English,925,4,95.0
,926,5,
,927,5,
eng,928,0,464.0
English,929,4,95.0
eng,930,0,464.0
eng,931,0,464.0
,932,5,
,933,5,
,934,5,
eng,935,0,464.0
eng,936,0,464.0
eng,937,0,464.0
eng,938,0,464.0
,939,5,
English,940,4,95.0
eng,941,0,464.0
,942,5,
eng,943,0,464.0
,944,5,
eng,945,0,464.0
,946,5,
,947,5,
,948,5,
,949,5,
eng,950,0,464.0
,951,5,
pt,952,33,2.0
eng,953,0,464.0
eng,954,0,464.0
,955,5,
,956,5,
eng,957,0,464.0
,958,5,
eng,959,0,464.0
,960,5,
eng,961,0,464.0
,962,5,
English,963,4,95.0
,964,5,
eng,965,0,464.0
ger,966,17,6.0
,967,5,
eng,968,0,464.0
English,969,4,95.0
English,970,4,95.0
English,971,4,95.0
fre,972,10,4.0
eng,973,0,464.0
eng,974,0,464.0
eng,975,0,464.0
,976,5,
eng,977,0,464.0
eng,978,0,464.0
eng,979,0,464.0
,980,5,
eng,981,0,464.0
eng,982,0,464.0
eng,983,0,464.0
,984,5,
,985,5,
eng,986,0,464.0
eng,987,0,464.0
,988,5,
eng,989,0,464.0
,990,5,
eng,991,0,464.0
eng,992,0,464.0
,993,5,
eng,994,0,464.0
eng,995,0,464.0
,996,5,
ENG,997,1,23.0
English,998,4,95.0
,999,5,
